a	a˧˥
a-la-văng	a˧˥-la˧˥-jăŋ˧˥
a-len	a˧˥-lɛŋ˧˥
a-lu-min	a˧˥-lu˧˥-min˧˥
a-léc	a˧˥-lɛk˦˥
a-lê	a˧˥-le˧˥
a-lê hấp	a˧˥-le˧˥ hɤ̆p˦˥
a-lô	a˧˥-lo˧˥
a-ma-tơ	a˧˥-ma˧˥-tɤ˧˥
a-mam	a˧˥-mam˧˥
a-me-ri-xi	a˧˥-mɛ˧˥-ʐi˧˥-si˧˥
a-men	a˧˥-mɛŋ˧˥
a-mi	a˧˥-mi˧˥
a-mi-nô a-xít	a˧˥-mi˧˥-no˧˥ a˧˥-sit˦˥
a-mi-ăng	a˧˥-mi˧˥-ăŋ˧˥
a-mi-đan	a˧˥-mi˧˥-daŋ˧˥
a-min	a˧˥-min˧˥
a-míp	a˧˥-mip˦˥
a-mô-ni-ác	a˧˥-mo˧˥-ni˧˥-ak˦˥
a-mô-ni-ắc	a˧˥-mo˧˥-ni˧˥-ăk˦˥
a-măng	a˧˥-măŋ˧˥
a-nan-gin	a˧˥-naŋ˧˥-zin˧˥
a-ni-lin	a˧˥-ni˧˥-lin˧˥
a-ni-ôn	a˧˥-ni˧˥-oŋ͡m˧˥
a-ni-ông	a˧˥-ni˧˥-oŋ͡m˧˥
a-nô-phen	a˧˥-no˧˥-fɛŋ˧˥
a-nốt	a˧˥-nok͡p˦˥
a-pa-tít	a˧˥-pa˧˥-tit˦˥
a-pác-thai	a˧˥-pak˦˥-tʰaj˧˥
a-pê-ri-típ	a˧˥-pe˧˥-ʐi˧˥-tip˦˥
a-rập học	a˧˥-ʐɤ̆p˨ˀ˩ʔ hɔk͡p˨ˀ˩ʔ
a-sen	a˧˥-ʂɛŋ˧˥
a-ta-tin	a˧˥-ta˧˥-tin˧˥
a-ti-sô	a˧˥-ti˧˥-ʂo˧˥
a-trô-pin	a˧˥-ʈo˧˥-pin˧˥
a-tu-la	a˧˥-tu˧˥-la˧˥
a-tua-đờ-rôn	a˧˥-tuə˧˥-dɤ˦˨-ʐoŋ͡m˧˥
a-vi	a˧˥-ji˧˥
a-vô-ca	a˧˥-jo˧˥-ka˧˥
a-văng	a˧˥-jăŋ˧˥
a-văng-ta	a˧˥-jăŋ˧˥-ta˧˥
a-văng-xê	a˧˥-jăŋ˧˥-se˧˥
a-xen	a˧˥-sɛŋ˧˥
a-xit	a˧˥-sit˧˥
a-xê-ti-len	a˧˥-se˧˥-ti˧˥-lɛŋ˧˥
a-xê-ti-len lỏng	a˧˥-se˧˥-ti˧˥-lɛŋ˧˥ lɔŋ͡m˧˩˨
a-xê-ton	a˧˥-se˧˥-tɔŋ͡m˧˥
a-xê-tôn	a˧˥-se˧˥-toŋ͡m˧˥
a-xít	a˧˥-sit˦˥
a-xít a-min	a˧˥-sit˦˥ a˧˥-min˧˥
a-xít a-xê-tic	a˧˥-sit˦˥ a˧˥-se˧˥-tit˧˥
a-xít béo	a˧˥-sit˦˥ beo˩˧
a-xít các-bon-nic	a˧˥-sit˦˥ kak˦˥-bɔŋ͡m˧˥-nit˧˥
a-xít lác-tíc	a˧˥-sit˦˥ lak˦˥-tit˦˥
a-xít lưu huỳnh	a˧˥-sit˦˥ lɯw˧˥ hwin˦˨
a-xít đường	a˧˥-sit˦˥ dɯəŋ˦˨
a-đa	a˧˥-da˧˥
a-đam	a˧˥-dam˧˥
a-đi-xơn	a˧˥-di˧˥-sɤŋ˧˥
ai	aj˧˥
ai ai	aj˧˥ aj˧˥
ai bi	aj˧˥ bi˧˥
ai biết phận nấy	aj˧˥ biək˦˥ fɤ̆ŋ˨ˀ˩ʔ nɤ̆j˩˧
ai biết đâu	aj˧˥ biək˦˥ dɤ̆w˧˥
ai bảo	aj˧˥ baw˧˩˨
ai chỉ	aj˧˥ ci˧˩˨
ai cảm	aj˧˥ kam˧˩˨
ai cập học	aj˧˥ kɤ̆p˨ˀ˩ʔ hɔk͡p˨ˀ˩ʔ
ai cắt rốn cho	aj˧˥ kăk˦˥ ʐoŋ͡m˩˧ cɔ˧˥
ai dà	aj˧˥ ja˦˨
ai dè	aj˧˥ jɛ˦˨
ai hoài	aj˧˥ hwaj˦˨
ai khiến	aj˧˥ xiəŋ˩˧
ai khảo mà xưng	aj˧˥ xaw˧˩˨ ma˦˨ sɯŋ˧˥
ai lại	aj˧˥ laj˨ˀ˩ʔ
ai mà	aj˧˥ ma˦˨
ai mượn	aj˧˥ mɯəŋ˨ˀ˩ʔ
ai ngờ	aj˧˥ ŋɤ˦˨
ai nấy	aj˧˥ nɤ̆j˩˧
ai oán	aj˧˥ waŋ˩˧
ai tư vãn	aj˧˥ tɯ˧˥ jaŋ˧˩˨
ai tử	aj˧˥ tɯ˧˩˨
ai điếu	aj˧˥ diəw˩˧
ai đời	aj˧˥ dɤj˦˨
am	am˧˥
am hiểu	am˧˥ hiəw˧˩˨
am mây	am˧˥ mɤ̆j˧˥
am thanh cảnh vắng	am˧˥ tʰan˧˥ kan˧˩˨ jăŋ˩˧
am tường	am˧˥ tɯəŋ˦˨
am tự	am˧˥ tɯ˨ˀ˩ʔ
am váp	am˧˥ jap˦˥
am đồng	am˧˥ doŋ͡m˦˨
am-mô-ni-ắc	am˧˥-mo˧˥-ni˧˥-ăk˦˥
am-pe	am˧˥-pɛ˧˥
am-pe giờ	am˧˥-pɛ˧˥ jɤ˦˨
am-pe kế	am˧˥-pɛ˧˥ ke˩˧
am-pun	am˧˥-puŋ͡m˧˥
an	aŋ˧˥
an bang	aŋ˧˥ baŋ˧˥
an biên	aŋ˧˥ biəŋ˧˥
an bài	aŋ˧˥ baj˦˨
an bá	aŋ˧˥ ba˩˧
an bình	aŋ˧˥ bin˦˨
an bình a	aŋ˧˥ bin˦˨ a˧˥
an bình tây	aŋ˧˥ bin˦˨ tɤ̆j˧˥
an bần	aŋ˧˥ bɤ̆ŋ˦˨
an bần lạc đạo	aŋ˧˥ bɤ̆ŋ˦˨ lak˨ˀ˩ʔ daw˨ˀ˩ʔ
an bồi	aŋ˧˥ boj˦˨
an châu	aŋ˧˥ cɤ̆w˧˥
an chấn	aŋ˧˥ cɤ̆ŋ˩˧
an cư	aŋ˧˥ kɯ˧˥
an cư lạc nghiệp	aŋ˧˥ kɯ˧˥ lak˨ˀ˩ʔ ŋiəp˨ˀ˩ʔ
an cầu	aŋ˧˥ kɤ̆w˦˨
an cựu	aŋ˧˥ kɯw˨ˀ˩ʔ
an dân	aŋ˧˥ jɤ̆ŋ˧˥
an dũng	aŋ˧˥ juŋ͡m˧˩˨
an dương	aŋ˧˥ jɯəŋ˧˥
an dương vương	aŋ˧˥ jɯəŋ˧˥ jɯəŋ˧˥
an dưỡng	aŋ˧˥ jɯəŋ˧˩˨
an dưỡng đường	aŋ˧˥ jɯəŋ˧˩˨ dɯəŋ˦˨
an dạ	aŋ˧˥ ja˨ˀ˩ʔ
an dật	aŋ˧˥ jɤ̆k˨ˀ˩ʔ
an dục	aŋ˧˥ juk͡p˨ˀ˩ʔ
an giang	aŋ˧˥ jaŋ˧˥
an giấc	aŋ˧˥ jɤ̆k˦˥
an giấc nghìn thu	aŋ˧˥ jɤ̆k˦˥ ŋin˦˨ tʰu˧˥
an giấc ngàn thu	aŋ˧˥ jɤ̆k˦˥ ŋaŋ˦˨ tʰu˧˥
an hiệp	aŋ˧˥ hiəp˨ˀ˩ʔ
an hoà	aŋ˧˥ hwa˦˨
an hoà tây	aŋ˧˥ hwa˦˨ tɤ̆j˧˥
an hoá	aŋ˧˥ hwa˩˧
an hà	aŋ˧˥ ha˦˨
an hùng	aŋ˧˥ huŋ͡m˦˨
an hưng	aŋ˧˥ hɯŋ˧˥
an hưởng	aŋ˧˥ hɯəŋ˧˩˨
an hải	aŋ˧˥ haj˧˩˨
an hải bắc	aŋ˧˥ haj˧˩˨ băk˦˥
an hải tây	aŋ˧˥ haj˧˩˨ tɤ̆j˧˥
an hải đông	aŋ˧˥ haj˧˩˨ doŋ͡m˧˥
an hảo	aŋ˧˥ haw˧˩˨
an hồng	aŋ˧˥ hoŋ͡m˦˨
an hội	aŋ˧˥ hoj˨ˀ˩ʔ
an hữu	aŋ˧˥ hɯw˧˩˨
an khang	aŋ˧˥ xaŋ˧˥
an khánh	aŋ˧˥ xan˩˧
an khê	aŋ˧˥ xe˧˥
an khương	aŋ˧˥ xɯəŋ˧˥
an long	aŋ˧˥ lɔŋ͡m˧˥
an lành	aŋ˧˥ lan˦˨
an lâm	aŋ˧˥ lɤ̆m˧˥
an lão	aŋ˧˥ law˧˩˨
an lĩnh	aŋ˧˥ lin˧˩˨
an lư	aŋ˧˥ lɯ˧˥
an lưu	aŋ˧˥ lɯw˧˥
an lương	aŋ˧˥ lɯəŋ˧˥
an lạc	aŋ˧˥ lak˨ˀ˩ʔ
an lạc thôn	aŋ˧˥ lak˨ˀ˩ʔ tʰoŋ͡m˧˥
an lạc tây	aŋ˧˥ lak˨ˀ˩ʔ tɤ̆j˧˥
an lập	aŋ˧˥ lɤ̆p˨ˀ˩ʔ
an lễ	aŋ˧˥ le˧˩˨
an lộc	aŋ˧˥ lok͡p˨ˀ˩ʔ
an lợi đông	aŋ˧˥ lɤj˨ˀ˩ʔ doŋ͡m˧˥
an lục	aŋ˧˥ luk͡p˨ˀ˩ʔ
an minh	aŋ˧˥ min˧˥
an minh bắc	aŋ˧˥ min˧˥ băk˦˥
an mỹ	aŋ˧˥ mi˧˩˨
an nghiệp	aŋ˧˥ ŋiəp˨ˀ˩ʔ
an nghĩa	aŋ˧˥ ŋiə˧˩˨
an nghỉ	aŋ˧˥ ŋi˧˩˨
an ngãi	aŋ˧˥ ŋaj˧˩˨
an ngãi trung	aŋ˧˥ ŋaj˧˩˨ ʈuŋ͡m˧˥
an ngãi tây	aŋ˧˥ ŋaj˧˩˨ tɤ̆j˧˥
an nhiên	aŋ˧˥ ɲiəŋ˧˥
an nhiên tự tại	aŋ˧˥ ɲiəŋ˧˥ tɯ˨ˀ˩ʔ taj˨ˀ˩ʔ
an nhàn	aŋ˧˥ ɲaŋ˦˨
an nhơn	aŋ˧˥ ɲɤŋ˧˥
an nhơn tây	aŋ˧˥ ɲɤŋ˧˥ tɤ̆j˧˥
an nhựt tân	aŋ˧˥ ɲɯk˨ˀ˩ʔ tɤ̆ŋ˧˥
an ninh	aŋ˧˥ nin˧˥
an ninh tây	aŋ˧˥ nin˧˥ tɤ̆j˧˥
an ninh đông	aŋ˧˥ nin˧˥ doŋ͡m˧˥
an nông	aŋ˧˥ noŋ͡m˧˥
an nội	aŋ˧˥ noj˨ˀ˩ʔ
an phong	aŋ˧˥ fɔŋ͡m˧˥
an phú	aŋ˧˥ fu˩˧
an phú thuận	aŋ˧˥ fu˩˧ tʰwɤ̆ŋ˨ˀ˩ʔ
an phú trung	aŋ˧˥ fu˩˧ ʈuŋ͡m˧˥
an phú tân	aŋ˧˥ fu˩˧ tɤ̆ŋ˧˥
an phú tây	aŋ˧˥ fu˩˧ tɤ̆j˧˥
an phú đông	aŋ˧˥ fu˩˧ doŋ͡m˧˥
an phúc	aŋ˧˥ fuk͡p˦˥
an phước	aŋ˧˥ fɯək˦˥
an phận	aŋ˧˥ fɤ̆ŋ˨ˀ˩ʔ
an phận thủ kỉ	aŋ˧˥ fɤ̆ŋ˨ˀ˩ʔ tʰu˧˩˨ ki˧˩˨
an phận thủ thường	aŋ˧˥ fɤ̆ŋ˨ˀ˩ʔ tʰu˧˩˨ tʰɯəŋ˦˨
an phụ	aŋ˧˥ fu˨ˀ˩ʔ
an quang	aŋ˧˥ waŋ˧˥
an quy	aŋ˧˥ wi˧˥
an quý	aŋ˧˥ wi˩˧
an quảng hữu	aŋ˧˥ waŋ˧˩˨ hɯw˧˩˨
an sinh	aŋ˧˥ ʂin˧˥
an sơn	aŋ˧˥ ʂɤŋ˧˥
an thai	aŋ˧˥ tʰaj˧˥
an thanh	aŋ˧˥ tʰan˧˥
an thuận	aŋ˧˥ tʰwɤ̆ŋ˨ˀ˩ʔ
an thuỷ	aŋ˧˥ tʰwi˧˩˨
an thành	aŋ˧˥ tʰan˦˨
an thái	aŋ˧˥ tʰaj˩˧
an thái trung	aŋ˧˥ tʰaj˩˧ ʈuŋ͡m˧˥
an thái đông	aŋ˧˥ tʰaj˩˧ doŋ͡m˧˥
an thân	aŋ˧˥ tʰɤ̆ŋ˧˥
an thân thủ phận	aŋ˧˥ tʰɤ̆ŋ˧˥ tʰu˧˩˨ fɤ̆ŋ˨ˀ˩ʔ
an thương	aŋ˧˥ tʰɯəŋ˧˥
an thường thủ phận	aŋ˧˥ tʰɯəŋ˦˨ tʰu˧˩˨ fɤ̆ŋ˨ˀ˩ʔ
an thượng	aŋ˧˥ tʰɯəŋ˨ˀ˩ʔ
an thạch	aŋ˧˥ tʰak˨ˀ˩ʔ
an thạnh	aŋ˧˥ tʰan˨ˀ˩ʔ
an thạnh thuỷ	aŋ˧˥ tʰan˨ˀ˩ʔ tʰwi˧˩˨
an thạnh trung	aŋ˧˥ tʰan˨ˀ˩ʔ ʈuŋ͡m˧˥
an thần	aŋ˧˥ tʰɤ̆ŋ˦˨
an thắng	aŋ˧˥ tʰăŋ˩˧
an thịnh	aŋ˧˥ tʰin˨ˀ˩ʔ
an thọ	aŋ˧˥ tʰɔ˨ˀ˩ʔ
an thới	aŋ˧˥ tʰɤj˩˧
an thới đông	aŋ˧˥ tʰɤj˩˧ doŋ͡m˧˥
an tiêm	aŋ˧˥ tiəm˧˥
an tiến	aŋ˧˥ tiəŋ˩˧
an toàn	aŋ˧˥ twaŋ˦˨
an toàn khu	aŋ˧˥ twaŋ˦˨ xu˧˥
an toàn lao động	aŋ˧˥ twaŋ˦˨ law˧˥ doŋ͡m˨ˀ˩ʔ
an toạ	aŋ˧˥ twa˨ˀ˩ʔ
an trung	aŋ˧˥ ʈuŋ͡m˧˥
an tràng	aŋ˧˥ ʈaŋ˦˨
an trí	aŋ˧˥ ʈi˩˧
an trường	aŋ˧˥ ʈɯəŋ˦˨
an trường a	aŋ˧˥ ʈɯəŋ˦˨ a˧˥
an trạch	aŋ˧˥ ʈak˨ˀ˩ʔ
an táng	aŋ˧˥ taŋ˩˧
an tâm	aŋ˧˥ tɤ̆m˧˥
an tân	aŋ˧˥ tɤ̆ŋ˧˥
an tây	aŋ˧˥ tɤ̆j˧˥
an tĩnh	aŋ˧˥ tin˧˩˨
an tường	aŋ˧˥ tɯəŋ˦˨
an tịnh	aŋ˧˥ tin˨ˀ˩ʔ
an tọa	aŋ˧˥ twa˨ˀ˩ʔ
an tức hương	aŋ˧˥ tɯk˦˥ hɯəŋ˧˥
an uỷ	aŋ˧˥ wi˧˩˨
an vinh	aŋ˧˥ jin˧˥
an viên	aŋ˧˥ jiəŋ˧˥
an viễn	aŋ˧˥ jiəŋ˧˩˨
an vĩ	aŋ˧˥ ji˧˩˨
an vĩnh ngãi	aŋ˧˥ jin˧˩˨ ŋaj˧˩˨
an vũ	aŋ˧˥ ju˧˩˨
an vị	aŋ˧˥ ji˨ˀ˩ʔ
an xuyên	aŋ˧˥ swiəŋ˧˥
an xuân	aŋ˧˥ swɤ̆ŋ˧˥
an điền	aŋ˧˥ diəŋ˦˨
an đô	aŋ˧˥ do˧˥
an đôn phác	aŋ˧˥ doŋ͡m˧˥ fak˦˥
an đạo	aŋ˧˥ daw˨ˀ˩ʔ
an định	aŋ˧˥ din˨ˀ˩ʔ
an đồng	aŋ˧˥ doŋ͡m˦˨
an đức	aŋ˧˥ dɯk˦˥
an đức tây	aŋ˧˥ dɯk˦˥ tɤ̆j˧˥
an ấp	aŋ˧˥ ɤ̆p˦˥
an ổn	aŋ˧˥ oŋ͡m˧˩˨
an ủi	aŋ˧˥ uj˧˩˨
an-bom	aŋ˧˥-bɔm˧˥
an-bu-min	aŋ˧˥-bu˧˥-min˧˥
an-ca-lo-ít	aŋ˧˥-ka˧˥-lɔ˧˥-it˦˥
an-ca-lô-ít	aŋ˧˥-ka˧˥-lo˧˥-it˦˥
an-côn	aŋ˧˥-koŋ͡m˧˥
an-gin	aŋ˧˥-zin˧˥
an-go-rít	aŋ˧˥-ɣɔ˧˥-ʐit˦˥
an-gô-rít	aŋ˧˥-ɣo˧˥-ʐit˦˥
an-két	aŋ˧˥-kɛk˦˥
an-ma-nác	aŋ˧˥-ma˧˥-nak˦˥
an-pha	aŋ˧˥-fa˧˥
an-pha-bê	aŋ˧˥-fa˧˥-be˧˥
an-te	aŋ˧˥-tɛ˧˥
an-ten	aŋ˧˥-tɛŋ˧˥
an-ti-mon	aŋ˧˥-ti˧˥-mɔŋ͡m˧˥
an-ti-pi-rin	aŋ˧˥-ti˧˥-pi˧˥-ʐin˧˥
an-tra-xít	aŋ˧˥-ʈa˧˥-sit˦˥
an-tô	aŋ˧˥-to˧˥
an-tơ-ra-xít	aŋ˧˥-tɤ˧˥-ʐa˧˥-sit˦˥
an-đe-hít	aŋ˧˥-dɛ˧˥-hit˦˥
an-đê-hít	aŋ˧˥-de˧˥-hit˦˥
ang	aŋ˧˥
ang áng	aŋ˧˥ aŋ˩˧
anh	an˧˥
anh chàng	an˧˥ caŋ˦˨
anh chị	an˧˥ ci˨ˀ˩ʔ
anh chị em	an˧˥ ci˨ˀ˩ʔ ɛm˧˥
anh cả	an˧˥ ka˧˩˨
anh danh	an˧˥ jan˧˥
anh dũng	an˧˥ juŋ͡m˧˩˨
anh em	an˧˥ ɛm˧˥
anh em cọc chèo	an˧˥ ɛm˧˥ kɔk͡p˨ˀ˩ʔ ceo˦˨
anh em thúc bá	an˧˥ ɛm˧˥ tʰuk͡p˦˥ ba˩˧
anh giai	an˧˥ jaj˧˥
anh hai	an˧˥ haj˧˥
anh hoa	an˧˥ hwa˧˥
anh hài	an˧˥ haj˦˨
anh hào	an˧˥ haw˦˨
anh hùng	an˧˥ huŋ͡m˦˨
anh hùng bạt tuỵ	an˧˥ huŋ͡m˦˨ bak˨ˀ˩ʔ twi˨ˀ˩ʔ
anh hùng ca	an˧˥ huŋ͡m˦˨ ka˧˥
anh hùng chủ nghĩa	an˧˥ huŋ͡m˦˨ cu˧˩˨ ŋiə˧˩˨
anh hùng cá nhân	an˧˥ huŋ͡m˦˨ ka˩˧ ɲɤ̆ŋ˧˥
anh hùng cái thế	an˧˥ huŋ͡m˦˨ kaj˩˧ tʰe˩˧
anh hùng hào kiệt	an˧˥ huŋ͡m˦˨ haw˦˨ kiək˨ˀ˩ʔ
anh hùng không đất dụng võ	an˧˥ huŋ͡m˦˨ xoŋ͡m˧˥ dɤ̆k˦˥ juŋ͡m˨ˀ˩ʔ jɔ˧˩˨
anh hùng lao động	an˧˥ huŋ͡m˦˨ law˧˥ doŋ͡m˨ˀ˩ʔ
anh hùng lực lượng vũ trang	an˧˥ huŋ͡m˦˨ lɯk˨ˀ˩ʔ lɯəŋ˨ˀ˩ʔ ju˧˩˨ ʈaŋ˧˥
anh hùng mạt lộ	an˧˥ huŋ͡m˦˨ mak˨ˀ˩ʔ lo˨ˀ˩ʔ
anh hùng một khoảnh	an˧˥ huŋ͡m˦˨ mok͡p˨ˀ˩ʔ xwan˧˩˨
anh hùng nhất khoảnh	an˧˥ huŋ͡m˦˨ ɲɤ̆k˦˥ xwan˧˩˨
anh hùng rơm	an˧˥ huŋ͡m˦˨ ʐɤm˧˥
anh hùng tương ngộ	an˧˥ huŋ͡m˦˨ tɯəŋ˧˥ ŋo˨ˀ˩ʔ
anh hùng tạo thời thế	an˧˥ huŋ͡m˦˨ taw˨ˀ˩ʔ tʰɤj˦˨ tʰe˩˧
anh họ	an˧˥ hɔ˨ˀ˩ʔ
anh kim	an˧˥ kim˧˥
anh kiệt	an˧˥ kiək˨ˀ˩ʔ
anh linh	an˧˥ lin˧˥
anh lùn xem hội	an˧˥ luŋ͡m˦˨ sɛm˧˥ hoj˨ˀ˩ʔ
anh minh	an˧˥ min˧˥
anh mù dạy anh lòa	an˧˥ mu˦˨ jăj˨ˀ˩ʔ an˧˥ lwa˦˨
anh ngữ	an˧˥ ŋɯ˧˩˨
anh nhi	an˧˥ ɲi˧˥
anh nhuệ	an˧˥ ɲwe˨ˀ˩ʔ
anh nuôi	an˧˥ nuəj˧˥
anh quân	an˧˥ wɤ̆ŋ˧˥
anh ruột	an˧˥ ʐuək˨ˀ˩ʔ
anh rể	an˧˥ ʐe˧˩˨
anh sơn	an˧˥ ʂɤŋ˧˥
anh thư	an˧˥ tʰɯ˧˥
anh trai	an˧˥ ʈaj˧˥
anh tuấn	an˧˥ twɤ̆ŋ˩˧
anh tài	an˧˥ taj˦˨
anh tú	an˧˥ tu˩˧
anh túc	an˧˥ tuk͡p˦˥
anh túc xác	an˧˥ tuk͡p˦˥ sak˦˥
anh tử túc	an˧˥ tɯ˧˩˨ tuk͡p˦˥
anh văn	an˧˥ jăŋ˧˥
anh vũ	an˧˥ ju˧˩˨
anh yến	an˧˥ iɛŋ˩˧
anh ách	an˧˥ ak˦˥
anh ánh	an˧˥ an˩˧
anh đào	an˧˥ daw˦˨
anh-te	an˧˥-tɛ˧˥
anh-te-phôn	an˧˥-tɛ˧˥-foŋ͡m˧˥
anh-te-ruýp-tơ	an˧˥-tɛ˧˥-ʐwip˦˥-tɤ˧˥
ao	aw˧˥
ao chuôm	aw˧˥ cuəm˧˥
ao có bờ, sông có bến	aw˧˥ kɔ˩˧ bɤ˦˨ ʂoŋ͡m˧˥ kɔ˩˧ ben˩˧
ao hồ	aw˧˥ ho˦˨
ao không cá, đá không màu	aw˧˥ xoŋ͡m˧˥ ka˩˧ da˩˧ xoŋ͡m˧˥ măw˦˨
ao liền ruộng cả	aw˧˥ liəŋ˦˨ ʐuəŋ˨ˀ˩ʔ ka˧˩˨
ao sâu nước cả	aw˧˥ ʂɤ̆w˧˥ nɯək˦˥ ka˧˩˨
ao sâu tốt cá	aw˧˥ ʂɤ̆w˧˥ tok͡p˦˥ ka˩˧
ao tù	aw˧˥ tu˦˨
ao tù nước đọng	aw˧˥ tu˦˨ nɯək˦˥ dɔŋ͡m˨ˀ˩ʔ
ao ước	aw˧˥ ɯək˦˥
ao ảo	aw˧˥ aw˧˩˨
ao-xơ	aw˧˥-sɤ˧˥
au	ăw˧˥
au au	ăw˧˥ ăw˧˥
au-xơ	ăw˧˥-sɤ˧˥
ay áy	ăj˧˥ ăj˩˧
ba	ba˧˥
ba ba	ba˧˥ ba˧˥
ba ba ấp bóng	ba˧˥ ba˧˥ ɤ̆p˦˥ bɔŋ͡m˩˧
ba bà bốn chuyện	ba˧˥ ba˦˨ boŋ͡m˩˧ cwiəŋ˨ˀ˩ʔ
ba bè bảy bối	ba˧˥ bɛ˦˨ băj˧˩˨ boj˩˧
ba bè bảy mảng	ba˧˥ bɛ˦˨ băj˧˩˨ maŋ˧˩˨
ba bè bảy mối	ba˧˥ bɛ˦˨ băj˧˩˨ moj˩˧
ba bích	ba˧˥ bit˦˥
ba bò chín trâu	ba˧˥ bɔ˦˨ cin˩˧ ʈɤ̆w˧˥
ba bó một giạ	ba˧˥ bɔ˩˧ mok͡p˨ˀ˩ʔ ja˨ˀ˩ʔ
ba búa	ba˧˥ buə˩˧
ba bảy	ba˧˥ băj˧˩˨
ba bảy hai mươi mốt	ba˧˥ băj˧˩˨ haj˧˥ mɯəj˧˥ mok͡p˦˥
ba bảy hăm mốt ngày	ba˧˥ băj˧˩˨ hăm˧˥ mok͡p˦˥ ŋăj˦˨
ba bề bốn bên	ba˧˥ be˦˨ boŋ͡m˩˧ ben˧˥
ba bể	ba˧˥ be˧˩˨
ba bị	ba˧˥ bi˨ˀ˩ʔ
ba bị chín quai mười hai con mắt	ba˧˥ bi˨ˀ˩ʔ cin˩˧ waj˧˥ mɯəj˦˨ haj˧˥ kɔŋ͡m˧˥ măk˦˥
ba bớp	ba˧˥ bɤp˦˥
ba bửa	ba˧˥ bɯə˧˩˨
ba bữa cơm chín	ba˧˥ bɯə˧˩˨ kɤm˧˥ cin˩˧
ba cha bảy mẹ	ba˧˥ ca˧˥ băj˧˩˨ mɛ˨ˀ˩ʔ
ba chân	ba˧˥ cɤ̆ŋ˧˥
ba chân bốn cẳng	ba˧˥ cɤ̆ŋ˧˥ boŋ͡m˩˧ kăŋ˧˩˨
ba chìm bảy nổi	ba˧˥ cim˦˨ băj˧˩˨ noj˧˩˨
ba chùa	ba˧˥ cuə˦˨
ba chúc	ba˧˥ cuk͡p˦˥
ba chạc	ba˧˥ cak˨ˀ˩ʔ
ba chấm	ba˧˥ cɤ̆m˩˧
ba chẽ	ba˧˥ cɛ˧˩˨
ba chỉ	ba˧˥ ci˧˩˨
ba chốn bốn nơi	ba˧˥ coŋ͡m˩˧ boŋ͡m˩˧ nɤj˧˥
ba chốn đôi nơi	ba˧˥ coŋ͡m˩˧ doj˧˥ nɤj˧˥
ba chớp bảy nhoáng	ba˧˥ cɤp˦˥ băj˧˩˨ ɲwaŋ˩˧
