admirális	ɒdmiraːliʃ
finoman	finomɒn
foglalkozó	foɡlɒlkozoː
foglalt	foɡlɒlt
fognak	foɡnɒk
fogyasztás	foɟɒstaːʃ
forgalmi	forɡɒlmi
forintos	forintoʃ
formája	formaːjɒ
félév	feːleːv
férje	feːrjɛ
földi	føldi
fúzió	fuːziʲoː
főszerkesztője	føːsɛrkɛstøːjɛ
fővel	føːvɛl
főváros	føːvaːroʃ
fővárosban	føːvaːroʒbɒn
gazdaság	ɡɒzdɒʃaːɡ
gond	ɡond
gondot	ɡondot
gratulálok	ɡrɒtulaːlok
gróf	ɡroːf
gyümölcs	ɟymølt͡ʃ
gyümölcsök	ɟymølt͡ʃøk
gyümölcsöt	ɟymølt͡ʃøt
gél	ɡeːl
géza	ɡeːzɒ
hagynia	hɒɟniʲɒ
hallgat	hɒlɡɒt
hallgatni	hɒlɡɒtni
harc	hɒrt͡s
harci	hɒrt͡si
harcot	hɒrt͡sot
használták	hɒsnaːltaːk
határai	hɒtaːrɒʲi
hatású	hɒtaːʃuː
hazafi	hɒzɒfi
hegy	hɛɟ
hektár	hɛktaːr
hiszi	hisi
hitel	hitɛl
hogyan	hoɟɒn
horgászbot	horɡaːzbot
hozott	hozotː
hónap	hoːnɒp
hónapok	hoːnɒpok
hónapot	hoːnɒpot
hónapra	hoːnɒprɒ
igazgatója	iɡɒzɡɒtoːjɒ
igazán	iɡɒzaːn
igyekezett	iɟɛkɛzɛtː
igyekszik	iɟɛksik
igénye	iɡeːɲɛ
illik	ilːik
import	import
indulnak	indulnɒk
innen	inːɛn
integráció	intɛɡraːt͡siʲoː
irányítása	iraːɲiːtaːʃɒ
ismerkedik	iʃmɛrkɛdik
itthon	ithon
jelentős	jɛlɛntøːʃ
jellegzetes	jɛlːɛɡzɛtɛʃ
juttatás	jutːɒtaːʃ
jóllehet	joːlːɛhɛt
jóval	joːvɒl
kabinetje	kɒbinɛcːɛ
kamionok	kɒmiʲonok
kar	kɒr
kategória	kɒtɛɡoːriʲɒ
kategóriában	kɒtɛɡoːriʲaːbɒn
kategóriákat	kɒtɛɡoːriʲaːkɒt
kedden	kɛdːɛn
kedvezmény	kɛdvɛzmeːɲ
kedvezmények	kɛdvɛzmeːɲɛk
kenyeret	kɛɲɛrɛt
kereskedelmi	kɛrɛʃkɛdɛlmi
kevesen	kɛvɛʃɛn
kevés	kɛveːʃ
kezd	kɛzd
kezdeményezésére	kɛzdɛmeːɲɛzeːʃeːrɛ
kiadott	kiʲɒdotː
kiderült	kidɛrylt
kismama	kiʃmɒmɒ
kiszolgáló	kisolɡaːloː
kitűnik	kityːnik
kitűnő	kityːnøː
kiválasztása	kivaːlɒstaːʃɒ
kizárólag	kizaːroːlɒɡ
komolyabb	komojɒbː
komolyan	komojɒn
konföderáció	koɱfødɛraːt͡siʲoː
koreai	korɛɒʲi
kormánypárti	kormaːɲpaːrti
kulturális	kulturaːliʃ
kutatók	kutɒtoːk
kártékony	kaːrteːkoɲ
kérvény	keːrveːɲ
készülék	keːsyleːk
később	keːʃøːbː
kíván	kiːvaːn
kölcsönös	kølt͡ʃønøʃ
körüli	køryli
köze	køzɛ
közeli	køzɛli
közepes	køzɛpɛʃ
közismert	køziʃmɛrt
köztársaság	køstaːrʃɒʃaːɡ
közé	køzeː
közép	køzeːp
középiskolák	køzeːpiʃkolaːk
külön	kyløn
leadni	lɛɒdni
legközelebb	lɛkːøzɛlɛbː
legkülönbözőbb	lɛkːylømbøzøːbː
letöltése	lɛtølteːʃɛ
látszólagos	laːt͡sːoːlɒɡoʃ
látták	laːtːaːk
látvány	laːtvaːɲ
látványos	laːtvaːɲoʃ
létrehozni	leːtrɛɦozni
magam	mɒɡɒm
maguknak	mɒɡuknɒk
magukra	mɒɡukrɒ
magyarul	mɒɟɒrul
magyarán	mɒɟɒraːn
magyarázó	mɒɟɒraːzoː
manapság	mɒnɒpʃaːɡ
maximális	mɒksimaːliʃ
meggyőző	mɛɡɟøːzøː
megszerez	mɛksɛrɛz
meleg	mɛlɛɡ
menedzsment	mɛnɛd͡ʒmɛnt
menj	mɛɲː
ment	mɛnt
messzi	mɛsːi
mesél	mɛʃeːl
mezei	mɛzɛʲi
meztelen	mɛstɛlɛn
mihez	miɦɛz
miként	mikeːnt
mindhárom	minthaːrom
mintha	minthɒ
minőséget	minøːʃeːɡɛt
mit	mit
mivel	mivɛl
mobiltelefon	mobiltɛlɛfon
mosdó	moʒdoː
mostanában	moʃtɒnaːbɒn
mozgalom	mozɡɒlom
munkálatok	muŋkaːlɒtok
mutatja	mutɒcːɒ
mágia	maːɡiʲɒ
májusában	maːjuʃaːbɒn
mária	maːriʲɒ
mérhető	meːrɦɛtøː
módosított	moːdoʃiːtotː
módosítások	moːdoʃiːtaːʃok
múltja	muːlcɒ
múmia	muːmiʲɒ
működés	myːkødeːʃ
működése	myːkødeːʃɛ
működésének	myːkødeːʃeːnɛk
működését	myːkødeːʃeːt
nagyjából	nɒɟːaːboːl
nagymama	nɒɟmɒmɒ
nagyszabású	nɒcsɒbaːʃuː
nap	nɒp
napig	nɒpiɡ
napja	nɒpjɒ
napjától	nɒpjaːtoːl
napnak	nɒpnɒk
napokat	nɒpokɒt
napokban	nɒpoɡbɒn
napokra	nɒpokrɒ
napon	nɒpon
napot	nɒpot
napra	nɒprɒ
napról	nɒproːl
naptár	nɒptaːr
naptól	nɒptoːl
negyedévben	nɛɟɛdeːvbɛn
neki	nɛki
nemzedékek	nɛmzɛdeːkɛk
nevű	nɛvyː
nyújtani	ɲuːjtɒni
német	neːmɛt
németek	neːmɛtɛk
némi	neːmi
nőknek	nøːknɛk
oktatás	oktɒtaːʃ
oktatást	oktɒtaːʃt
olimpia	olimpiʲɒ
olvasható	olvɒʃhɒtoː
olyanok	ojɒnok
országgyűlési	orsaːɡɟyːleːʃi
osztályba	ostaːjbɒ
padok	pɒdok
parádé	pɒraːdeː
piacok	piʲɒt͡sok
piacokat	piʲɒt͡sokɒt
piacokra	piʲɒt͡sokrɒ
piacon	piʲɒt͡son
piacra	piʲɒt͡srɒ
probléma	probleːmɒ
problémák	probleːmaːk
problémákkal	probleːmaːkːɒl
problémát	probleːmaːt
professzorokra	profɛsːorokrɒ
próféták	proːfeːtaːk
pszichológiai	psiɦoloːɡiʲɒʲi
párbaj	paːrbɒj
párhuzamos	paːrɦuzɒmoʃ
rangos	rɒŋɡoʃ
recept	rɛt͡sɛpt
rendezett	rɛndɛzɛtː
rendszerint	rɛnt͡sɛrint
rendszerváltozás	rɛntsɛrvaːltozaːʃ
romániában	romaːniʲaːbɒn
ruha	ruɦɒ
ráadásul	raːɒdaːʃul
rádiós	raːdiʲoːʃ
rám	raːm
résztvevő	reːstvɛvøː
résztvevők	reːstvɛvøːk
rómába	roːmaːbɒ
sebességű	ʃɛbɛʃːeːɡyː
statisztika	ʃtɒtistikɒ
stressz	ʃtrɛsː
sugár	ʃuɡaːr
szakadt	sɒkɒtː
szakmát	sɒkmaːt
szavakat	sɒvɒkɒt
személye	sɛmeːjɛ
személyi	sɛmeːji
szerek	sɛrɛk
szerencsém	sɛrɛnt͡ʃeːm
szereti	sɛrɛti
szokatlan	sokɒtlɒn
szolgál	solɡaːl
sztem	sɛrintɛm
számolni	saːmolni
számoltak	saːmoltɒk
számítástechnika	saːmiːtaːʃtɛxnikɒ
széchenyi	seːt͡ʃeːɲi
szélesebb	seːlɛʃɛbː
szélhámosok	seːlɦaːmoʃok
szövetségi	søvɛt͡ʃːeːɡi
szülők	syløːk
szőlő	søːløː
sándor	ʃaːndor
találtak	tɒlaːltɒk
tanév	tɒneːv
tart	tɒrt
tartalmának	tɒrtɒlmaːnɒk
tartalmát	tɒrtɒlmaːt
tartott	tɒrtotː
tartunk	tɒrtuŋk
technikát	tɛxnikaːt
technológiák	tɛxnoloːɡiʲaːk
tehát	tɛɦaːt
tekintve	tɛkintvɛ
teljesítését	tɛjːɛʃiːteːʃeːt
templom	tɛmplom
tenni	tɛnːi
terület	tɛrylɛt
területek	tɛrylɛtɛk
területen	tɛrylɛtɛn
területet	tɛrylɛtɛt
területi	tɛrylɛti
testek	tɛʃtɛk
tetején	tɛtɛjeːn
tetejére	tɛtɛjeːrɛ
tetemes	tɛtɛmɛʃ
titka	titkɒ
tizenöt	tizɛnøt
tomi	tomi
továbbra	tovaːbrɒ
tranzakció	trɒnzɒkt͡siʲoː
tud	tud
tudja	tuɟːɒ
tudnak	tudnɒk
tudnivalók	tudnivɒloːk
tudok	tudok
tudományos	tudomaːɲoʃ
tulajdonosi	tulɒjdonoʃi
tv	teːveː
támogató	taːmoɡɒtoː
társul	taːrʃul
téglalapok	teːɡlɒlɒpok
térkép	teːrkeːp
térképen	teːrkeːpɛn
többi	tøbːi
többit	tøbːit
törnek	tørnɛk
tört	tørt
törtek	tørtɛk
történet	tørteːnɛt
történetet	tørteːnɛtɛt
történik	tørteːnik
török	tørøk
túlélés	tuːleːleːʃ
tőletek	tøːlɛtɛk
urat	urɒt
utazni	utɒzni
vadon	vɒdon
vagyis	vɒɟiʃ
valaki	vɒlɒki
valamikor	vɒlɒmikor
valószínű	vɒloːsiːnyː
valószínűleg	vɒloːsiːnyːlɛɡ
vasas	vɒʃɒʃ
velem	vɛlɛm
velence	vɛlɛnt͡sɛ
vesz	vɛs
vették	vɛtːeːk
vezetését	vɛzɛteːʃeːt
vezetője	vɛzɛtøːjɛ
vicces	vit͡sːɛʃ
villant	vilːɒnt
világháborús	vilaːkhaːboruːʃ
vivát	vivaːt
vizuális	vizuaːliʃ
vonalak	vonɒlɒk
vonalon	vonɒlon
vonások	vonaːʃok
válaszul	vaːlɒsul
várható	vaːrɦɒtoː
város	vaːroʃ
városa	vaːroʃɒ
városba	vaːroʒbɒ
városokat	vaːroʃokɒt
városokban	vaːroʃoɡbɒn
víz	viːz
vízbe	viːzbɛ
zenekar	zɛnɛkɒr
zsolt	ʒolt
zsűri	ʒyːri
zárják	zaːrjaːk
állampolgárságú	aːlːɒmpolɡaːrʃaːɡuː
általunk	aːltɒluŋk
átfogó	aːtfoɡoː
élesen	eːlɛʃɛn
élje	eːjːɛ
én	eːn
ér	eːr
értelemben	eːrtɛlɛmbɛn
értelmet	eːrtɛlmɛt
érvényes	eːrveːɲɛʃ
érvényesek	eːrveːɲɛʃɛk
évi	eːvi
évszázad	eːfsaːzɒd
évszázadok	eːfsaːzɒdok
évtizedekben	eːftizɛdɛɡbɛn
ökumenikus	økumɛnikuʃ
ölt	ølt
önmaga	ømːɒɡɒ
ördögök	ørdøɡøk
összege	øsːɛɡɛ
összegyűlik	øsːɛɟyːlik
ötvenedik	øtvɛnɛdik
úr	uːr
ült	ylt
üzletek	yzlɛtɛk
őt	øːt
űrállomás	yːraːlːomaːʃ
