a da mek	adamek
ivalv	ivalv
ivenchuali	iventʃuali
ivent	ivent
jaagrafi	dʒaːgɹafi
jaagrofi	dʒaːgɹofi
jaaj	dʒaːdʒ
jaaloji	dʒaːlodʒi
jain	dʒaɪn
jainop	dʒaɪnop
jakfruut	dʒakfɹuːt
jaloji	dʒalodʒi
jan	dʒan
jangkro	dʒaŋkɹo
janiweri	dʒaniweɹi
japan	dʒapan
jeli	dʒeli
jeliduo	dʒeliduɔ
jiel	dʒɪɛl
jiemz	dʒɪɛmz
jien	dʒɪɛn
jinaral	dʒinaɹal
jinarasiti	dʒinaɹasiti
jinarieshan	dʒinaɹɪɛʃan
jinja	dʒindʒa
joj	dʒodʒ
jomp	dʒomp
jomp-up	dʒompop
jonjo	dʒondʒo
jork	dʒoɹk
jork chikin	dʒoɹk tʃikin
jork puok	dʒoɹk puɔk
jork siiznin	dʒoɹk siːznin
jork spais	dʒoɹk spaɪs
jormani	joɹmani
jornal	dʒoɹnal
jostis	dʒostis
jraa	dʒɹaː
jraadong	dʒɹaːdoŋ
jraaf	dʒɹaːf
jraafut	dʒɹaːfut
jraaz	dʒɹaːz
jragan	dʒɹagan
jrai	dʒɹaɪ
jramatik	dʒɹamatik
jrap	dʒɹap
jred	dʒɹed
jres	dʒɹes
jresbak	dʒɹesbak
jresdong	dʒɹesdoŋ
jriepop	dʒɹɪɛpop
jringk	dʒɹiŋk
jrog	dʒɹog
jrom	dʒɹom
juk	dʒuk
juki-juki	dʒukidʒuki
julai	dʒulaɪ
jumieka	dʒumɪɛka
jumieka lieba paati	jumɪɛka lɪɛba paːti
jumieka taak	dʒumɪɛka taːk
junjo	dʒundʒo
juo	dʒuɔ
juok	dʒuɔk
juu tu	dʒuːtu
juun	dʒuːn
juun plom	dʒuːnplom
juurin	dʒuːɹin
juus	dʒuːs
kaa	kaː
kaal	kaːl
kaan	kaːn
kaanful	kaːnful
kaanwal kounti	kaːnwal kounti
kaaz	kaːz
kaazn	kaːzn̩
kach banit pepa	katʃ banit pepa
kain	kaɪn
kait	kaɪt
kak	kak
kala	kala
kalalu	kalalu
kalani	kalani
kalanis	kalanis
kalek	kalek
kalekshan	kalekʃan
kalij	kalɪdʒ
kaman	kaman
kaman yuusij	kaman juːsidʒ
kamedi	kamedi
kanchosnis	kantʃosnis
kanchrak	kantʃɹak
kanchuol	kantʃuɔl
kanekshan	kanekʃan
kanschrokshan	kanstʃɹokʃan
kansda	kansda
kantent	kantent
kantinyu	kantiɲu
kanvasieshan	kanvasɪɛʃan
karambuola	kaɹambuɔla
kasaada	kasaːda
kasaava	kasaːva
kasta riika	kastaɹiːka
katn	katn̩
katn chrii	katn̩ tʃɹiː
kazmopalitan	kazmopalitan
kech	ketʃ
kech di riek	ketʃ di ɹɪɛk
kechop	ketʃop
kelyan	keljan
kenet	kenet
kianada	kjanada
kiaribiyan	kjaɹibijan
kidni biin	kidni biːn
kiedens	kɪɛdens
kieful	kɪɛful
kiek	kɪɛk
kien	kien
kies	kɪɛs
kiet	kɪɛt
kilomita	kilomita
kimischri	kimistʃɹi
kin	kin
kindom	kindom
kinston	kinston
kisaada	kisaːda
klaat	klaːt
klaax tong	klaːkstoŋ
klarindan	klaɹindan
klasikal	klasikal
klie	klɪɛ
klie pat	klɪɛ pat
kliem	klɪɛm
klier	klɪɛɹ
kliermont	klɪɛɹmont
klifod	klifod
kliin	kliːn
kola	kola
kolcha	koltʃa
kom	kom
kom iin laka	komiːn laka
kom ya	kom ja
komiunikieshan	komjunikɪɛʃan
kompail	kompaɪl
kompyuuta	kompjuːta
kompyuuta manita	kompjuːta manita
konchri	kontʃɹi
kongk	koŋk
koni	koni
korant	koɹant
kori guot	koɹi guɔt
koril	koɹil
korl	koɹl
kos	kos
koskos	koskos
kostad apl	kostad apl̩
kot	kot
kot patwa	kot patwa
kot yai	kot jaɪ
kotlis	kotlis
kou	kɔu
kounti	kɔunti
kowich	kowitʃ
kozn	koːzn̩
kraani	kɹaːni
kraitiirya	kɹaɪtiːɹja
krap	kɹap
krichoul	kɹitʃɔul
kriebn	kɹɪɛbn̩
kriep	kɹɪɛp
kriet	kɹiet
krietiv	kɹɪɛtiv
krietiv raitn	kɹɪɛtiv ɹaɪtn̩
kriim	kɹiːm
krikit	kɹikit
kris	kɹis
kritikal akliem	kɹitikal aklɪɛm
ku	ku
kudn	kudn̩
kuk	kuk
kukumba	kukumba
kunu	kunu
kuoknat	kuɔknat
kuoknat chrii	kuɔknat tʃɹiː
kuoknat milk	kuɔknat mɪlk
kuoknat waata	kuɔknat waːta
kuoko	kuɔko
kuol	kuɔl
kuos	kuɔs
kuot	kuɔt
kuul	kuːl
kwaadinet	kwaːdinet
kwaat	kwaːt
kwait	kwaɪt
kwaiyat	kwaɪjat
kwestiyan	kwestijan
kwiin	kwiːn
kwik	kwik
kwik-taim	kwiktaɪm
kwint	kwint
kyaa	kjaː
kyaahn	kjãː
kyaar	kjaːɹ
kyaarat	kjaːɹat
kyabij	kjabidʒ
kyahn	kjã
kyaklik	kjaklik
kyamil	kjamil
kyanal	kjanal
kyanggl	kjaŋgl̩
kyangkro	kjaŋkɹo
kyapasiti	kjapasiti
kyapcha	kjaptʃa
kyapital	kjapital
kyapitalis	kjapitalis
kyaptin	kjaptin
kyar	kjaɹ
kyarakta	kjaɹakta
kyari	kjaɹi
kyash	kjaʃ
kyash krap	kjaʃ kɹap
kyashu	kjaʃu
kyata	kjata
kyatalis	kjatalis
kyatigari	kjatigaɹi
kyuuba	kjuːba
laa	laː
laaf	laːf
laaj	laːdʒ
laan	laːn
labsta	labsta
lai	laɪ
laibri	laɪbɹi
laif	laɪf
laifstail	laɪfstaɪl
laik	laɪk
lait	laɪt
laitous	laɪtɔus
laiyad	laɪjad
laiyan	laɪjan
laka	laka
laka se	lakase
lam	lam
lan	lan
landan	landan
lang	laŋ
langwij	laŋwidʒ
larans	laɹans
layad	lajad
lebl	lebl̩
lebm	lebm̩
leda	leda
lef	lef
lego	lego
lego biis	lego biːs
lejislieta	ledʒislɪɛta
lent	lent
leta	leta
lib a farin	libafaɹin
libn	libn̩
libn langwij	libn̩ laŋwidʒ
lichicha	litʃitʃa
lieba	lɪɛba
liedi	lɪɛdi
liet	lɪɛt
lieta	lɪɛta
lieya	lɪɛja
lifop	lifop
liida	liːda
liig	liːg
liin	liːn
lik	lik
likl	likl̩
likl muos	likl̩ muɔs
lili	lili
lingguistik	liŋguistik
linggwis	liŋgwis
lis	lis
lis a	lisa
lisn	lisn̩
litosfier	litosfɪɛɹ
lizad	lizad
lob	lob
long	loŋ
lorn	loɹn
lou	lɔu
luk	luk
luo	lʊo
luokal	luɔkal
luokalaiz	luɔkalaɪz
luokiet	luɔkɪɛt
luokiet ina	luɔkɪɛt ina
luokiet nier	luɔkɪɛt nɪɛɹ
luusi	luːsi
luwi	luwi
luwiiz	luwi:z
maach	maːtʃ
maaga	maːga
maak	maːk
maakit	maːkit
maakos	maːkos
maanin	maːnin
mada	mada
mada-tong	madatoŋ
madan	madan
madifai	madifaɪ
madifikieshan	madifikɪɛʃan
magaziin	magaziːn
magij	magɪdʒ
magl	magl̩
maigrieshan	maɪgɹɪɛʃan
maikal	maɪkal
main	maɪn
mait	maɪt
maitbi	maɪtbi
majariti	madʒaɹiti
man	man
manatii	manatiː
manazebl	manazebl̩
manchesta	mantʃesta
mandivl	mandivl̩
manggo	maŋgo
mangguus	maŋguːs
manita	manita
mantiga bie	mantiga bɪɛ
manyufakcha	maɲufaktʃa
manyufakcharin	maɲufaktʃaɹin
maruun tong	maɹuːntoŋ
mas	mas
mas komiunikieshan	mas komjunikɪɛʃan
mashet	maʃet
mashiin	maʃiːn
mashiin tuul	maʃiːn tuːl
mashiinri	maʃiːnɹi
matiirialis	matiːɹialis
matimatix	matimatiks
matyu	matju
medisn	medisn̩
meditieshan	meditɪɛʃan
meja	medʒa
mejament	medʒament
mek	mek
mekop	mekop
memba	memba
mexiko	meksiko
mi	mi
midiom	midiom
midya	midja
mie	mɪɛ
mie pen	mɪɛpen
miebi	mɪɛbi
mieja	mɪɛdʒa
miel	mɪɛl
mien	mɪɛn
mienli	mɪɛnli
mieri	mɪɛɹi
migl	migl̩
migl iis	migl̩ iːs
migl-klaas	migl̩ klaːs
miglsex kounti	migl̩seks kounti
miin	miːn
miinin	miːnin
miit	miːt
miita	miːta
miizolek	miːzolek
milichri	militʃɹi
miliyan	milijan
mimuorial	mimuɔɹial
minista	minista
mishaneri	miʃaneɹi
misnuoma	misnuɔma
mixcha	mikstʃa
mixcho	mikstʃo
mobie	mɔbɪɛ
mongx	moŋks
moni	moni
morant bie	moɹantbɪɛ
mountn	mɔuntn̩
mout	mɔut
muo	muɔ
muo dahn	muɔdã
muobail	muɔbaɪl
muor	muɔɹ
muos	muɔs
muosli	muɔsli
muotaim	muɔtaɪm
muuv	muːv
muuv frahn	muːvfɹã
muuv gaa	muːvgaː
myuuzik	mjuːzik
myuziom	mjuziom
na	na
na fi	nafi
na kech di riek	na ketʃ di ɹɪɛk
na onggl	na oŋgl̩
naamali	naːmali
naaman	naːman
naasi	naːsi
naasti	naːsti
naat	naːt
naat afrika	naːt afɹika
naat amerika	naːt amɛɹɪka
naatiis	naːtiːs
naatwes	naːtwes
nadan	nadan
naijiiria	naɪdʒiːɹja
nain	naɪn
naint	naɪnt
naintiin	naɪntiːn
nais	naɪs
nait	naɪt
naiz	naɪz
nalij	nalidʒ
nanfikshan	nanfikʃan
nansi	nansi
naritiv	naɹitiv
navl	navl̩
neba	neba
nedalanz	nedalanz
nex	neks
nex ier	neks ɪɛɹ
niecha	nɪɛtʃa
niel	nɪɛl
niem	nɪɛm
niernis	nɪɛɹnis
nieshan	nɪɛʃan
nieshan stiet	nɪɛʃan stɪɛt
nietib	nɪɛtib
nietib langwij	nɪɛtib laŋwidʒ
nigril	nigɹil
niigl	niːgl̩
niyilis	nijilis
no kja	nokja
no kja umoch	nokja umotʃ
no kwait	no kwaɪt
no kya	no kja
no kya ou	no kyja ɔu
no riili	no ɹiːli
nof	nof
nof piipl	nof piːpl̩
nof tangx	nof taŋks
nof-nof	nofnof
noftaim	noftaɪm
nomba	nomba
non	non
nondiles	nondiles
notn	notn̩
notn na go so	notn̩ nagoso
novemba	novemba
nuo	nuɔ
nuot	nuɔt
nuotobl	nuɔtobl̩
nuoz	nuɔz
nyaamps	ɲaːmps
nyam	ɲam
nyam aaf	ɲamaːf
nyami-nyami	ɲamiɲami
nyuu	ɲuː
nyuu yaak	njuːjaːk
nyuu yaak siti	njuːjaːk siti
nyuuz	ɲuːz
nyuuzpiepa	ɲuːzpɪɛpa
