ագահ	ɑɡɑh
վերջիվերջո	vɛɾt͡ʃʰivɛɾt͡ʃʰɔ
վերջնականապես	vɛɾt͡ʃʰnɑkɑnɑpɛs
վիթխարի	vitʰχɑɾi
վստահաբար	vəstɑhɑbɑɾ
վրաերթ	vəɾɑjɛɾtʰ
տակավին	tɑkɑvin
տատ	tɑt
տատի	tɑti
տարածաշրջանային	tɑɾɑt͡sɑʃəɾd͡ʒɑnɑjin
տաքսի	tɑkʰsi
տեխնիկական	tɛχnikɑkɑn
տեղ	tɛʁ
տեռորիստ	tɛroɾist
տեսակետ	tɛsɑkɛt
տեսչական	tɛst͡ʃʰɑkɑn
տիգրան	tiɡɾɑn
տիկնիկային	tiknikɑjin
տնտես	təntɛs
տրամաբանական	tɾɑmɑbɑnɑkɑn
տրամադրություն	tɾɑmɑdɾut͡sʰjun
ցայսօր	tsɑjsoɾ
ցեղասպան	t͡sʰɛʁɑspɑn
ցինիզմ	tsʰinizm
ցլամարտ	tsʰəlɑmɑɾt
ցույց	t͡sʰujt͡sʰ
փաստաթուղթ	pʰɑstɑtʰuχtʰ
փարիզյան	pʰɑɾizjɑn
փետրվար	pʰɛtəɾvɑɾ
փիլիսոփայություն	pʰilisɔpʰɑjutʰjun
փյունիկ	pʰjunik
փոխառել	pʰɔχɑrɛl
փոխարինել	pʰɔχɑɾinɛl
փոխարինող	pʰɔχɑɾinɔʁ
փոխզիջում	pʰɔχzit͡ʃʰum
փոստ	pʰɔst
փորել	pʰɔɾɛl
փորձարկվել	pʰɔɾt͡sʰɑɾkvɛl
փուշ	pʰuʃ
քաղել	kʰɑʁɛl
քաղվածք	kʰɑʁvɑt͡skʰ
քանակ	kʰɑnɑk
քարոզարշավ	kʰɑɾozɑɾʃɑv
քարոզիչ	kʰɑɾɔzit͡ʃʰ
քեզ	kʰɛz
քիթ	kʰitʰ
քնել	kʰənɛl
քննություն	kʰənːutʰjun
քուն	kʰun
քսաներորդ	kʰsɑnɛɾoɾtʰ
քվեարկություն	kʰəvɛɑɾkutʰjun
քցել	kʰətsʰɛl
օգնել	ɔkʰnɛl
օգոստոս	ɔɡɔstɔs
օժանդակել	ɔʒɑndɑkɛl
օղակ	ɔʁɑk
ֆինլանդական	finlɑndɑkɑn
ֆլեշմոբ	flɛʃmɔb
ֆուտբոլիստ	futbɔlist
ֆրանկ	fəɾɑŋk
ֆրանսիական	fɾɑnsjɑkɑn
ֆրիդրիխ	fɾidɾiχ
