abadžija	âbad͡ʒija
ambasadorski	ambǎsaːdorskiː
ambiciozan	âmbit͡sioːzan
ambiciozno	âmbit͡sioːzno
ambigvitet	ambiɡʋǐteːt
ambigvitetan	âmbiɡʋiteːtan
ambijent	ambǐjent
ambijentalan	âmbijentaːlan
ambis	ǎmbis
ambivalencija	ambiʋalěnt͡sija
ambivalentan	ambiʋǎlentan
ambivalentnost	ambiʋǎlentnoːst
ambrela	ambrěːla
ambrozija	ǎmbroːzija
ambulantni	ambǔlantniː
ambulantski	ambǔlantskiː
ameba	aměːba
amebni	ǎmeːbniː
amelioracija	ameliorǎːt͡sija
amer	âmer
amerika	aměrika
amerikanac	amerikǎːnat͡s
amerikanizam	amerikanǐzam
amerikanizirati	amerikanizǐːrati
amerikanka	amerǐkaːnka
američki	aměritʃki
američki	aměritʃkiː
ametice	ǎmetit͡se
ametist	amětist
amfibija	ǎmfiːbija
amfiteatar	amfitěaːtar
amfiteatralan	amfitěatraːlan
amfora	ǎmfora
amharski	ǎmxarskiː
amidža	ǎmid͡ʒa
aminokiselina	aminokiselǐna
amnestirati	amnestǐːrati
amnezija	ǎmneːzija
amo	âːmo
amoder	âːmoder
amoralan	âmoraːlan
amoralnost	amorǎːlnoːst
amorfan	ǎmorfan
amorfno	ǎmorfno
amortizacija	amortizǎːt͡sija
amortizacijski	amortizǎːt͡siːjskiː
ampak	ampak
amplifikacija	amplifikǎːt͡sija
amplituda	amplitǔːda
amputacija	amputǎːt͡sija
amputirati	amputǐːrati
amsterdam	ǎmsterdam
amsterdamski	ǎmsterdamskiː
amulet	amǔlet
ana	âna
ana	ǎːna
anabaza	anabǎːza
anabolik	anabǒlik
anabolizam	anabolǐzam
anadiploza	anadiplǒːza
anadolija	anadǒːlija
anaeroban	ǎnaeroban
anagram	anǎɡram
anahronizam	anaxronǐzam
anakronističan	anakronǐstit͡ʃan
anakronizam	anakronǐzam
anakroničan	anakrǒnit͡ʃan
analeptik	analěptik
analfabet	analfǎbeːt
analfabetizam	analfabetǐzam
analfabetski	analfǎbetski
analfabetski	analfǎbetskiː
analgetički	analɡětit͡ʃki
analgetički	analɡětit͡ʃkiː
analgezija	anǎlɡeːzija
anali	anǎːli
analitičan	analǐtit͡ʃan
analitičar	analǐtit͡ʃaːr
analiza	analǐːza
analizator	analǐzaːtor
analizirati	analizǐːrati
analni	ǎnaːlniː
analogan	ânaloɡan
analogija	analǒɡija
analogijski	analǒɡiːjskiː
analogno	ânaloɡno
analoški	anǎloʃki
analoški	anǎloʃkiː
anamneza	anamněːza
ananas	ânanas
anarhija	anǎrxija
anarhist	anǎrxist
anarhistički	anarxǐstitʃki
anarhistički	anarxǐstitʃkiː
anarhizam	anarxǐzam
anarhičan	anǎrxit͡ʃan
anarhičnost	anǎrxit͡ʃnoːst
anason	anǎsoːn
anastrofa	anastrǒːfa
anatemizirati	anatemizǐːrati
anatolija	anatǒːlija
anatom	anǎtoːm
anatomija	anatǒmija
anda	andaː
andaluski	andǎluskiː
andaluzija	andǎluːzija
andaluzijski	andǎluzijskiː
ande	âːnde
andora	andôːra
andorac	andǒːrat͡s
andorski	ǎndorskiː
andrija	ǎndrija
androklo	andrǒklo
andrologija	androlǒɡija
andromaha	andrǒmaxa
andromeda	andrǒmeda
anduz	ǎnduz
andžar	ǎnd͡ʒaːr
anegdota	aneɡdǒta
anegdotalan	aneɡdǒtaːlan
anegdotalnost	aneɡdotǎːlnoːst
anegdotičan	aneɡdǒtit͡ʃan
anegdotičnost	aneɡdǒtit͡ʃnoːst
anegdotski	aněɡdotski
anegdotski	aněɡdotskiː
aneksija	aněksija
aneksijski	aněksiːjski
aneksijski	aněksiːjskiː
aneksioni	âneksioːniː
aneksionist	aneksiǒnist
aneksionistički	aneksionǐstit͡ʃki
aneksionistički	aneksionǐstit͡ʃkiː
anektirati	anektǐːrati
anemičan	aněmit͡ʃan
aneroid	anerǒiːd
anestetik	anestětik
anestezija	anestězija
angažiran	anɡǎʒiːran
angažirati	anɡaʒǐːrati
angelologija	anɡelolǒɡija
angiologija	anɡiolǒɡija
anglikan	anɡlǐkaːn
anglikanski	anɡlǐkaːnskiː
anglist	ǎnɡlist
anglistika	anɡlǐstika
anglistički	anɡlǐstit͡ʃki
anglistički	anɡlǐstit͡ʃkiː
anglizam	anɡlǐzam
angloamerika	anɡloaměrika
anglofil	anɡlǒfiːl
anglofob	anɡlǒfoːb
anglosaksonski	anɡlosǎksoːnskiː
anglosaski	anɡlǒsaskiː
angola	anɡôːla
angolka	ǎnɡoːlka
angolski	ǎnɡolskiː
anihilacija	anixilǎːt͡sija
anilin	anǐliːn
anilinski	anǐliːnskiː
animacija	animǎːt͡sija
animalan	ânimaːlan
animator	anǐmaːtor
animirati	animǐːrati
animizam	animǐzam
animozitet	animozǐteːt
anis	ǎnis
anka	âːnka
ankara	ǎnkara
anketa	ankěta
anketar	ankětaːr
anketirati	anketǐːrati
anketni	ǎnketniː
anoda	anǒːda
anodni	ǎnoːdniː
anomalija	anomǎlija
anoniman	ânoniːman
anonimno	ânoniːmno
anonimnost	anonǐːmnoːst
anorganski	ânorɡaːnskiː
anotirati	anotǐːrati
antagonizam	antaɡonǐzam
antarktik	antǎrktik
antarktika	antǎrktika
ante	ǎːnte
antialkoholizam	antialkoxolǐzam
antibiotik	antibiǒtik
anticiklona	antit͡siklǒːna
anticipacija	antit͡sipǎːt͡sija
anticipirati	antit͡sipǐːrati
antidržavni	antidřʒaːʋniː
antifašist	antifǎʃist
antifašistički	antifaʃǐstitʃki
antifašistički	antifaʃǐstitʃkiː
antifašistkinja	antifǎʃistkiɲa
antifašizam	antifaʃǐzam
antifeminizam	antifeminǐzam
antiheroj	antixěroːj
antiimperijalizam	antiimperijalǐzam
antik	ǎntik
antika	ǎntika
antiklinala	antiklinǎːla
antikni	ǎntikniː
antikomunist	antikomǔnist
antikomunistički	antikomunǐstit͡ʃki
antikomunistički	antikomunǐstit͡ʃkiː
antikomunizam	antikomunǐzam
antikvar	antǐkʋaːr
antikvaran	ântikʋaːran
antilogaritam	antiloɡarǐtam
antimaterija	antimǎteːrija
antimetabola	antimetǎbola
antimon	ǎntimon
antipatičan	antipǎtit͡ʃan
antipatično	antipǎtit͡ʃno
antipod	antǐpoːd
antireligiozan	antirěliɡioːzan
antisemitizam	antisemitǐzam
antisemitski	antisěmiːtski
antisemitski	antisěmiːtskiː
antiseptički	antisěptit͡ʃki
antiseptički	antisěptit͡ʃkiː
antisocijalan	antisǒt͡sijaːlan
antisocijalistički	antisot͡sijalǐstit͡ʃki
antisocijalistički	antisot͡sijalǐstit͡ʃkiː
antisocijalizam	antisot͡sijalǐzam
antitelo	ǎntiteːlo
antiteza	antǐteza
antitijelo	ǎntitjeːlo
antički	ǎntit͡ʃkiː
antologija	antolǒɡija
antonim	antǒniːm
antonimija	antonǐmija
antonomazija	antonomǎːzija
antraks	ǎntraks
antropoidan	ântropoiːdan
antropolog	antropǒloɡ
antropologija	antropolǒɡija
antropološki	antropǒloʃki
antropološki	antropǒloʃkiː
antropomorfan	antropomǒrfan
antropomorfizam	antropomorfǐzam
antun	ǎntuːn
anulirati	anulǐːrati
anđelak	and͡ʑěːlak
anđelić	âːnd͡ʑelit͡ɕ
anđelski	âːnd͡ʑelskiː
anđelčić	and͡ʑělt͡ʃit͡ɕ
anđeo	âːnd͡ʑeo
anđeoski	andʑeǒski
anđeoski	andʑeǒskiː
aorist	âorist
aoristni	âoristniː
aorta	ǎoːrta
apanaža	apanǎːʒa
aparatčik	aparǎtt͡ʃik
apartan	ǎpartan
aparthejd	âpartxejd
apatija	apǎtija
apatičan	apǎtit͡ʃan
apatično	apǎtit͡ʃno
apatrid	apǎtriːd
apel	ǎpel
apelirati	apelǐːrati
aperitiv	aperǐtiːʋ
apetit	apětiːt
aplaudirati	aplaudǐːrati
aplauz	ǎplauz
aplicirati	aplit͡sǐːrati
aplikacija	aplikǎːt͡sija
apodiktički	apodǐktit͡ʃki
apoen	apǒeːn
apokalipsa	apokalǐpsa
apokaliptičan	apokalǐptit͡ʃan
apokrifan	apǒkrifan
apolitičan	apolǐtit͡ʃan
apolitički	apolǐtitʃki
apolitički	apolǐtitʃkiː
apologet	apolǒɡeːt
apologetika	apoloɡětika
apologija	apolǒɡija
apolon	apǒloːn
apostol	ǎpostol
apostrof	ǎpostrof
apostrofa	apǒstrofa
apostrofirati	apostrofǐːrati
apoteoza	apoteǒːza
apozicija	apozǐːt͡sija
aprecijacija	apret͡sijǎːt͡sija
april	ǎpriːl
aprilski	ǎpriːlskiː
aprioran	âprioːran
aproksimativan	âproksimatiːʋan
aproksimativno	âproksimatiːʋno
aproksimirati	aproksimǐːrati
apscisa	apst͡sǐsa
apsida	ǎpsida
apsolucija	apsolǔːt͡sija
apsolut	âpsoluːt
apsolutan	âpsoluːtan
apsolutizam	apsolutǐzam
apsolutizirati	apsolutizǐːrati
apsolutno	âpsoluːtno
apsolvirati	apsolʋǐːrati
apsorbirati	apsorbǐːrati
apsorpcija	apsǒrpt͡sija
apstinencija	apstiněnt͡sija
apstinirati	apstinǐːrati
apstrahirati	apstraxǐːrati
apstrakcija	apstrǎkt͡sija
apstrakt	ǎpstrakt
apstraktan	ǎpstraktan
apstraktno	ǎpstraktno
apsurdan	ǎpsurdan
apsurdno	ǎpsurdno
apsurdnost	ǎpsurdnoːst
arabeska	arǎbeska
arabica	arǎbit͡sa
arabija	ǎraːbija
arabijski	arǎːbiːjskiː
arabljanin	arǎːbʎaniːn
aramejski	aramějskiː
aranžirati	aranʒǐːrati
aranžman	arǎnʒmaːn
arapin	ǎrapin
arapski	ǎrapskiː
arbanas	arbǎnas
arbitar	ǎrbitar
arbitraran	ârbitraːran
arbitraža	arbitrǎːʒa
arbitražni	ârbitraːʒniː
arbun	ǎrbuːn
arebica	arěbit͡sa
arena	arěːna
argat	ǎrɡat
argentina	arɡentǐːna
argentinac	arɡentǐːnat͡s
argentinski	arɡěntiːnskiː
argon	ǎrɡoːn
argument	arɡǔment
argumentacija	arɡumentǎːt͡sija
argumentirano	arɡuměntiːrano
arhaik	arxǎik
arhaizam	arxaǐzam
arhaizirati	arxaizǐːrati
arhaičan	arxǎit͡ʃan
arhaično	arxǎit͡ʃno
arheolog	arxeǒloɡ
arheologija	arxeolǒɡija
arheološki	arxeǒloʃkiː
arhiepiskop	arxiěpiskop
arhipelag	arxipělaːɡ
arhitekt	arxǐtekt
arhitektica	arxǐtektit͡sa
arhitektonski	arxitěktoːnskiː
arhitektura	arxitektǔːra
arhitekturni	arxitěktuːrniː
arhiv	ǎrxiːʋ
arhivar	arxǐʋaːr
arhivist	arxǐʋist
arhiđakon	ǎrxid͡ʑakon
arija	âːrija
arijac	âːrijat͡s
arijka	âːriːjka
arijski	âːriːjskiː
aristokracija	aristokrǎt͡sija
aristokrat	aristǒkrat
aristokratija	aristokrǎtija
aristokratkinja	aristǒkratkiɲa
aristokratski	aristǒkratski
aristokratski	aristǒkratskiː
aristotel	aristǒtel
aritmetika	aritmětika
aritmetički	aritmětitʃki
aritmetički	aritmětitʃkiː
aritmija	arǐtmija
armatura	armatǔːra
armenac	arměːnat͡s
armenija	ǎrmeːnija
armenski	ǎrmeːnskiː
arogancija	aroɡǎnt͡sija
arogantan	aroɡǎntan
arogantno	aroɡǎntno
aroma	arǒːma
aromatičan	aromǎtit͡ʃan
arsen	ǎrseːn
arsenal	arsěnaːl
artefakt	ârtefakt
arterija	ǎrteːrija
arterijski	ǎrteːriːjskiː
artikulacija	artikulǎːt͡sija
artikulacijski	artikulǎːt͡siːjskiː
artikulirati	artikulǐːrati
artiljerac	artiʎěːrat͡s
artiljerija	artiʎěrija
artiljerijski	artiʎěriːjskiː
artiljerski	artǐʎeːrski
artiljerski	artǐʎeːrskiː
artist	ǎrtist
artistički	artǐstitʃki
artistički	artǐstitʃkiː
artičoka	artit͡ʃǒːka
artritis	artrǐtis
arzuhal	arzǔxaːl
aršin	ǎrʃiːn
as	âs
asamski	ǎsamskiː
aseptičan	asěptit͡ʃan
aseptički	asěptit͡ʃkiː
asfalt	ǎsfalt
asfaltirati	asfaltǐːrati
asimetrija	asimětrija
asimetričan	asimětrit͡ʃan
asimilacija	asimilǎːt͡sija
asimilirati	asimilǐːrati
asirac	asǐːrat͡s
asirija	asǐːrija
asirologija	asirolǒɡija
asirski	ǎsiːrskiː
asistencija	asistěnt͡sija
asistent	asǐstent
asistirati	asistǐːrati
asketizam	asketǐzam
asocijacionizam	asot͡sijat͡sionǐzam
asocijacizam	asot͡sijat͡sǐzam
asocijalan	âsot͡sijaːlan
asocirati	asot͡sǐːrati
asonanca	asǒnaːnt͡sa
asortiman	asortǐmaːn
aspekt	ǎspekt
aspirin	aspǐriːn
aspra	âspra
astma	ǎstma
astmatičan	astmǎtit͡ʃan
astmatičar	astmǎtit͡ʃaːr
astralan	ǎstraːlan
astrobiologija	astrobiolǒɡija
astrofizika	astrofǐzika
astrofizičar	astrofǐzit͡ʃaːr
astrogeologija	astroɡeolǒɡija
astrolog	astrǒloɡ
astrologija	astrolǒɡija
astrološki	astrǒloʃki
astrološki	astrǒloʃkiː
astronaut	astronǎut
astronautika	astronaǔtika
astronomija	astronǒmija
astronomijski	astronǒmiːjskiː
astronomski	astrǒnomskiː
asturija	ǎstuːrija
asturijac	astǔriːjat͡s
asturijski	ǎstuːriːjskiː
asuan	ǎsuan
ataman	atǎmaːn
atar	âtaːr
ateist	atěist
ateizam	ateǐzam
atena	atěːna
atentat	atěntaːt
atentator	atěntaːtor
aterirati	aterǐːrati
atina	atǐːna
atički	ǎtit͡ʃkiː
atlanta	atlǎnta
atlantida	atlantǐːda
atlantik	atlǎntik
atlantski	ǎtlantskiː
atlet	ǎtleːt
atletika	atlětika
atletičar	atlětit͡ʃaːr
atletičarka	atlětit͡ʃaːrka
atletski	ǎtleːtskiː
atmosfera	atmosfěːra
atom	ǎtoːm
atomizacija	atomizǎːt͡sija
atomizirati	atomizǐːrati
atomski	ǎtoːmskiː
atonalan	âtonaːlan
atrakcija	atrǎkt͡sija
atraktivan	âtraktiːʋan
atribut	atrǐbuːt
atrofija	atrǒfija
audicija	audǐːt͡sija
audiolog	audiǒloɡ
audiologija	audiolǒɡija
augmentativ	ǎuɡmentatiːʋ
aukcija	aǔkt͡sija
aureola	aurěola
australac	austrǎːlat͡s
australija	aǔstraːlija
australijanac	australijǎːnat͡s
australijanski	australǐjaːnskiː
australijski	aǔstraːliːjskiː
australski	aǔstraːlski
australski	aǔstraːlskiː
austrija	ǎustrija
austrijanac	austrijǎːnat͡s
austrijanski	austrǐjaːnskiː
austrijski	ǎustriːjski
austrijski	ǎustriːjskiː
austrougarski	austroǔɡarski
austrougarski	austroǔɡarskiː
autarhija	autǎrxija
autarkija	autǎrkija
autentičan	autěntit͡ʃan
autentičnost	autěntit͡ʃnoːst
autizam	autǐzam
autobiografski	autobiǒɡrafski
autobiografski	autobiǒɡrafskiː
autobus	autǒːbus
autocesta	autot͡sěsta
autodidakt	autodǐdakt
autohton	autǒxton
autokefalan	autokěfaːlan
autokracija	autokrǎt͡sija
autokrat	autǒkraːt
automat	autǒmaːt
automatski	autǒmatski
automatski	autǒmatskiː
automehaničar	automexǎnit͡ʃaːr
automobil	automǒbiːl
automobilist	automobǐlist
automobilistički	automobilǐstit͡ʃki
automobilistički	automobilǐstit͡ʃkiː
automobilski	automǒbilskiː
autonoman	ǎutonoːman
autonomaš	autonǒmaːʃ
autonomaški	autonǒmaːʃki
autonomaški	autonǒmaːʃkiː
autonomaštvo	autonomǎːʃtʋo
autonomija	autonǒmija
autonomist	autonǒmist
autonomistički	autonomǐstit͡ʃki
autonomistički	autonomǐstit͡ʃkiː
autoportret	autopǒrtreːt
autopsija	autǒpsija
autoput	ǎutopuːt
autor	ǎutor
autorica	ǎutorit͡sa
autoritaran	âutoritaːran
autoritarnost	autoritǎːrnoːst
autoritativan	âutoritatiːʋan
