abbadísin	apatiːsɪn
afganska	avkanska
afganskra	avkanskra
afgerandi	avcɛrantɪ
afgirt	avcɪr̥t
afglöp	avklœp
afgreidd	avkreit
afgreiddar	avkreitar
afgreiddi	avkreitɪ
afgreitt	avkreiht
afgreiða	avkreiða
afgreiði	avkreiðɪ
afgreiðsla	avkreiðstla
afgreiðslu	avkreiðstlʏ
afgreiðsluborð	avkreiðstlʏpɔrð
afgreiðslugjöld	avkreiðstlʏcœlt
afgreiðslukerfi	avkrɛjðstlʏcʰɛrvɪ
afgreiðslukonan	avkreiðstlʏkʰɔːnan
afgreiðsluna	avkreiðstlʏna
afgreiðslunefnd	avkrɛjðstlʏnɛmt
afgreiðslunni	avkreiðstlʏnɪ
afgreiðslustelpan	avkreiðstlʏstɛl̥pan
afgreiðslustúlka	avkreiðstlʏstulkan
afgreiðslustúlkan	avkreiðstlʏstul̥kan
afgreiðslutíma	avkreiðstlʏtʰiːma
afgreiðslutími	avkreiðstlʏtʰiːmɪ
afgönsku	avkœnskʏ
afhenda	aːvhɛnta
afhending	aːvhɛntiŋk
afhendingar	aːvhɛntiŋkar
afhendingartími	aːvhɛntiŋkartʰiːmɪ
afhendingu	aːvhɛntiŋkʏ
afhendir	aːvhɛntɪr
afhent	aːvhɛn̥t
afhenta	aːvhɛn̥ta
afhentan	aːvhɛn̥tan
afhentar	aːvhɛn̥tar
afhenti	aːvhɛn̥tɪ
afhentir	aːvhɛn̥tɪr
afhentu	aːvhɛn̥tʏ
afhentum	aːvhɛn̥tʏm
afhentur	aːvhɛn̥tʏr
afhjúpa	afçupa
afhjúpar	afçupar
afhjúpað	afçupað
afhjúpaði	afçupaðɪ
afhjúpaður	afçupaðʏr
afhjúpun	afçupʏn
afhjúpuð	afçupʏð
afhomma	aːfhɔma
afhroð	afr̥ɔð
afhuga	aːfhʏɣa
afhöggvinn	aːfhœkvɪn
afi	aːvɪ
afkastagetu	avkʰastacɛːtʏ
afkastamesta	avkʰastamɛsta
afkastamikill	avkʰastamɪcɪtl̥
afkastar	avkʰastar
afkima	avcʰɪma
afklæddi	avkʰlaitɪ
afklæddist	avkʰlaitɪst
afklæðast	avkʰlaiðast
afkoma	avkʰɔma
afkoman	avkʰɔman
afkomandi	avkʰɔmantɪ
afkomenda	avkʰɔmɛnta
afkomendum	avkʰɔmɛntʏm
afkomendur	avkʰɔmɛntʏr
afkomu	avkʰɔmʏ
afkomukreppu	avkʰɔmʏkrɛhpʏ
afkomuna	avkʰɔmʏna
afkomutölur	avkʰɔmʏtʰœːlʏr
afkomuviðvörun	avkʰɔmʏvɪðvœrʏn
afkróuð	avkrouʏð
afkvæmarannsókn	avkʰvajmaransouhkn̥
afkvæmi	avkʰvaimɪ
afkvæmin	avkʰvajmɪn
afkvæminu	avkʰvajmɪnʏ
afkvæmum	avkʰvaimʏm
afkáralega	avkʰauralɛɣa
afkáralegum	avkʰauralɛɣʏm
afköst	avkʰœst
afköstin	avkʰœstɪn
afköstum	avkʰœstʏm
afl	apl̥
afla	apla
aflabrögð	aplaprœɣð
aflaga	avlaɣa
aflagranda	aplakranta
aflagrandi	aplakrantɪ
aflaheimilda	aplaheimɪlta
aflaheimildir	aplaheimɪltɪr
aflaheimildum	aplaheimɪltʏm
aflahlutdeild	aplal̥ʏːteilt
aflahlutdeilda	aplal̥ʏːteilta
aflahlutdeildar	aplal̥ʏːteiltar
aflahlutdeildir	aplal̥ʏːteiltɪr
aflahlutdeildum	aplal̥ʏːteiltʏm
aflamark	aplamar̥k
aflamarki	aplamar̥cɪ
aflamarks	aplamar̥ks
aflamarksbátum	aplamar̥kspaːutʏm
aflamarkskerfi	aplamar̥kscɛrvɪ
aflamarkskerfið	aplamar̥kscɛrvɪð
aflann	aplan
aflans	aplans
aflanum	aplanʏm
aflar	aplar
aflaskipinu	aplascɪːpɪnʏ
aflaskýrslu	aplascistlʏ
aflausn	avlœistn̥
aflaverðmæti	aplavɛrðmaitɪ
aflað	aplað
aflaði	aplaðɪ
afleggjara	avlɛcara
afleggjaranum	avlɛcaranʏm
afleidd	avlɛjt
afleit	avleit
afleitar	avlɛjtar
afleitt	avleiht
afleiða	avlɛjða
afleiðing	avleiðiŋk
afleiðinga	avleiðiŋka
afleiðingar	avleiðiŋkar
afleiðingarnar	avleiðiŋkatnar
afleiðingin	avleiðiɲcɪn
afleiðingum	avleiðiŋkʏm
afleiðingunum	avleiðiŋkɔnʏm
aflestrar	avlɛstrar
aflhnefa	apln̥ɛva
aflhnefi	apln̥ɛvɪ
afli	aplɪ
aflinn	aplɪn
aflið	aplɪð
aflmeiri	aplmeirɪ
aflmiklar	aplmɪhklar
afloknu	avlɔhknʏ
afloknum	avlɔhknʏm
afls	apl̥s
aflspennar	apl̥spɛnar
aflstýri	abl̥stirɪ
afláts	avlauts
aflétt	avljɛht
aflétta	avljɛhta
aflíðandi	avliðantɪ
aflóga	avloua
aflögu	avlœɣðʏ
aflögð	avlœɣð
aflýsa	avlisa
aflýst	avlist
afmarka	avmar̥ka
afmarkast	avmar̥kast
afmarkað	avmar̥kað
afmarkaða	avmar̥kaða
afmyndað	avmɪntað
afmyndaðist	avmɪntaðɪst
afmá	avmau
afmáir	avmauɪr
afmæli	amailɪ
afmælinu	amailɪnʏ
afmælis	amailɪs
afmælisbarninu	amajlɪspartnɪnʏ
afmælisbarnið	amajlɪspartnɪð
afmælisbarns	amailɪspar̥s
afmælisdag	amailɪstaːɣ
afmælisdaginn	amailɪstaːjɪn
afmælisdagurinn	amailɪstaːɣʏrɪn
afmælisdegi	amailɪsteiːjɪ
afmælisfréttir	amailɪsfrjɛhtɪr
afmælisgesta	amajlɪsɛsta
afmælisgjöf	amailɪscœːv
afmælisgreina	amailɪskreiːna
afmælishátíð	amailɪshauːtið
afmælisins	amailɪsɪns
afmæliskveðjur	amailɪskʰvɛðjʏr
afmælispartí	amajlɪspar̥ti
afmælissamkomu	amajlɪsamkʰɔmʏ
afmælissönginn	amajlɪsœjɲcɪn
afmælissöngnum	amajlɪsœjŋknʏm
afmælistilkynningum	amailɪstɪlcɪniŋkʏm
afmælisveislan	amajlɪsvɛjstlan
afmælisveislu	amailɪsveistlʏ
afmælið	amailɪð
afmælum	amailʏm
afmörkun	avmœr̥kʏn
afmörkuð	avmœr̥kʏð
afmörkuðu	avmœr̥kʏðʏ
afmörkuðum	avmœr̥kʏðʏm
afneita	avneita
afneitað	avneitað
afneitun	avneitʏn
afnema	avnɛma
afnot	avnɔt
afnota	avnɔta
afnotagjald	avnɔtacalt
afnotagjöld	avnɔtacœlt
afnotaleyfi	avnɔtalɛːjvɪ
afnotarétt	avnɔtarjɛht
afnotum	avnɔtʏm
afnumin	avnʏmɪn
afnumið	avnʏmɪð
afnám	avnaum
afnámi	avnaumɪ
afnáms	avnaums
afoxun	aːfɔksʏn
afplána	avplauna
afplánun	avplaunʏn
afrakstur	avrakstʏr
afraksturinn	avrakstʏrɪn
afrek	avrɛk
afreka	avrɛka
afrekað	avrɛkað
afreki	avrɛcɪ
afreksbikar	avrɛxspɪːkar
afrekshópi	avrɛxshouːpɪ
afreksmaður	avrɛxsmaːðʏr
afreksstig	avrɛxstɪːɣ
afrekum	avrɛkʏm
afrifu	avrɪvʏ
afrit	avrɪt
afrita	avrɪta
afritið	avrɪtɪð
afritunar	avrɪtʏnar
afritunarhnappinn	avrɪtʏnarn̥ahpɪn
afráðið	avrauðɪð
afréttarlöndin	avrjɛhtarlœntɪn
afrétti	avrjɛhtɪ
afréð	avrjɛð
afréðu	avrjɛðʏ
afréðum	avrjɛðʏm
afríka	aːfrika
afríkans	aːfrikans
afríku	aːfrikʏ
afríkuferð	aːfrikʏfɛrð
afríkumann	aːfrikʏman
afríkumanninum	aːfrikʏmanɪnʏm
afríkumaðurinn	aːfrikʏmaːðʏrɪn
afríkumenn	aːfrikʏmɛn
afríkuríkjum	aːfrikʏriːcʏm
afríkuverkefnisins	aːfrikʏvɛr̥kɛpnɪsɪns
afríska	aːfriska
afrískir	aːfriscɪr
afrískum	aːfriskʏm
afsagnar	afsaknar
afsaka	afsaka
afsakanirnar	afsakanɪtnar
afsakaðan	afsakaðan
afsakið	afsacɪð
afsal	afsal
afsala	afsala
afsalað	afsalað
afsals	afsals
afsanna	afsana
afskaplega	afskaplɛɣa
afskekkt	afscɛxt
afskekkta	afscɛxta
afskekktan	afscɛxtan
afskekktu	afscɛxtʏ
afskekktum	afscɛxtʏm
afskipta	afscɪfta
afskiptalaus	afscɪftalœis
afskiptalausa	afscɪftalœiːsa
afskiptaleysi	afscɪftaleiːsɪ
afskiptasemi	afscɪftasɛːmɪ
afskipti	afscɪftɪ
afskiptum	afscɪftʏm
afskrifa	afskrɪva
afskrifta	avskrɪfta
afskriftareikning	avskrɪftareihkniŋk
afskriftir	afskrɪftɪr
afskrá	afskrau
afskræmt	afskraim̥t
afslappað	afstlahpað
afslappaður	afstlahpaðʏr
afslátt	afstlauht
afsláttar	afstlauhtar
afsláttur	afstlauhtʏr
afslætti	afstlaihtɪ
afslöppuð	afstlœhpʏð
afsprengi	afspreiɲcɪ
afspurn	afspʏrtn̥
afstaða	afstaða
afstaðan	afstaðan
afstaðin	afstaðɪn
afstaðið	afstaðɪð
afstætt	afstaiht
afstæður	afstaiðʏr
afstöðu	afstœðʏ
afstöðubreytingu	afstœðʏprɛːjtiŋkʏ
afstýra	afstira
afstýrt	afstir̥t
afsíðis	afsiðɪs
afsögn	afsœkn̥
afsökun	afsœkʏn
afsökunar	afsœkʏnar
afsökunarbeiðni	afsœkʏnarpeiðnɪ
aftakan	aftʰakan
aftan	aftan
aftansöngur	aftansœiŋkʏr
aftar	aftar
aftari	aftarɪ
aftarlega	aftarlɛɣa
aftast	aftast
aftasta	aftasta
aftra	aftra
aftraði	aftraðɪ
aftur	aftʏr
afturdyrnar	aftʏrtɪtnar
afturelding	aftʏrɛltiŋk
aftureldingar	aftʏrɛltiŋkar
aftureldingu	aftʏrɛltiŋkʏ
afturenda	aftʏrɛnta
afturendann	aftʏrɛntan
afturfæturna	aftʏrfaiːtʏtna
afturfótunum	aftʏrfouːtɔnʏm
afturför	aftʏrfœːr
afturgluggann	aftʏrklʏkan
afturgoldið	aftʏrkɔltɪð
afturgöngu	aftʏrkœiŋkʏ
afturgöngur	aftʏrkœiŋkʏr
afturhjólanna	aftʏrçouːlana
afturhvarf	aftʏrkvarv
afturkalla	aftʏrkatla
afturkvæmt	aftʏrkvaim̥t
afturlappirnar	aftʏrlahpɪtnar
afturlöppunum	aftʏrlœhpɔnʏm
afturstuðarann	aftʏrstʏðaran
aftursæta	aftʏrsajta
aftursæti	aftʏrsaiːtɪ
aftursætinu	aftʏrsaiːtɪnʏ
aftursætið	aftʏrsaiːtɪð
aftursætum	aftʏrsaiːtʏm
afturábak	aftʏraupaːk
afturí	aftʏriː
aftöku	aftœkʏ
aftökur	aftœkʏr
afundin	aːvʏntɪn
afundinn	aːvʏntɪn
afurð	aːvʏrð
afurða	aːvʏrða
afurðaaukning	aːvʏrðaœjhkniŋk
afurðakerfi	aːvʏrðacʰɛrvɪ
afurðanna	aːvʏrðana
afurðasamsetning	aːvʏrðasamsɛhtniŋk
afurðastöð	aːvʏrðastœːð
afurðatekjum	aːvʏrðatʰɛːcʏm
afurðaverð	aːvʏrðavɛrð
afurðir	aːvʏrðɪr
afurðirnar	aːvʏrðɪtnar
afurðum	aːvʏrðʏm
afviknum	avɪhknʏm
afvopna	avɔhpna
afvopnun	avɔhpnʏn
afþakka	afθahka
afþakkað	afθahkað
afþakkaði	afθahkaðɪ
afþreying	afθreijiŋk
afþreyingar	afθreijiŋkar
afþreyingarefni	afθreijiŋkarɛpnɪ
afþreyingu	afθreijiŋkʏ
aga	aːɣa
agalega	aːɣalɛɣa
agalegt	aːɣalɛxt
agaleysi	aːɣaleiːsɪ
agatha	aːkata
aggagagg	akakak
aggi	acɪ
aggý	aci
agi	aːjɪ
aginn	aːjɪn
agli	aklɪ
agn	akn̥
agna	akna
agnar	aknar
agnari	aknarɪ
agnarlítil	aknarliːtɪl
agnarlítið	aknarliːtɪð
agnars	aknar̥s
agnarsdóttir	aknar̥stouhtɪr
agnarsmáu	aknarsmauːʏ
agnarsson	aknar̥sɔːn
agnarssonar	aknar̥sɔːnar
agnarögn	aknarœkn̥
agndofa	akntɔva
agnes	aknɛs
agnir	aknɪr
agnið	aknɪð
agúrkunni	aːkur̥kʏnɪ
aha	aːha
aids	eits
ak	aːk
aka	aːka
akademíunnar	aːkatɛmijʏnar
akandi	aːkantɪ
akfeitur	aːkfeitʏr
aki	aːcɪ
akkeri	ahcɛrɪ
akkilesarhæll	ahcɪlɛsarhajtl̥
akkorð	ahkɔrð
akkur	ahkʏr
akkúrat	ahkurat
aknet	aːkʰnɛt
akraborginni	aːkrapɔrcɪnɪ
akrafjall	aːkrafjatl̥
akrahreppi	aːkrar̥ɛhpɪ
akrana	aːkrana
akranes	aːkranɛːs
akranesapótek	aːkranɛːsaːpoutɛk
akranesi	aːkranɛːsɪ
akraneskirkja	aːkranɛscɪr̥ca
akraneskirkju	aːkranɛscɪr̥cʏ
akraness	aːkranɛs
akrar	aːkrar
akrein	aːkrein
akreina	aːkreina
akreinar	aːkreinar
akrinum	aːkrɪnʏm
akrópólis	aːkroupoulɪs
akrýldúkur	aːkriltuːkʏr
akstri	akstrɪ
akstur	akstʏr
aksturinn	akstʏrɪn
aksturs	akstʏr̥s
akstursgjald	akstʏr̥scalt
akstursklúbbi	akstʏr̥skʰlupɪ
akstursleiðin	akstʏr̥stlɛjðɪn
akstursíþróttir	akstʏr̥siːθrouhtɪr
aktu	axtʏ
aktygi	aːktiɪ
aktífir	axtivɪr
aktífur	axtivʏr
akur	aːkʏr
akurbrekku	aːkʏrprɛhkʏ
akureyrar	aːkʏreiːrar
akureyrarbæ	aːkʏreirarpaiː
akureyrarbæjar	aːkʏreirarpaiːjar
akureyrarbær	aːkʏreirarpaiːr
akureyrarferð	aːkʏrɛjrarfɛrð
akureyrarhöfn	aːkʏrɛjrarhœpn̥
akureyrarkirkja	aːkʏreirarcɪr̥ca
akureyrarkirkju	aːkʏreirarcɪr̥cʏ
akureyri	aːkʏreiːrɪ
akureyrin	aːkʏrɛːjrɪn
akureyringa	aːkʏreiːriŋka
akureyringar	aːkʏreiːriŋkar
akurgerði	aːkʏrcɛrðɪ
akurlöndin	aːkʏrtlœntɪn
akuryrkju	aːkʏrɪr̥cʏ
akvegur	aːkʰvɛɣʏr
al	aːl
ala	aːla
alaska	aːlaska
alast	aːlast
albana	alpana
albanar	alpanar
albanska	alpanska
albanskra	alpanskra
albaníu	alpanijʏ
albatros	alpatʰrɔs
albert	alpɛr̥t
alberts	alpɛr̥ts
albertsdóttir	alpɛr̥tstouhtɪr
albertsson	alpɛr̥tsɔːn
albertssonar	alper̥tsɔːnar
albesta	alpɛsta
albjart	alpjar̥t
albjört	alpjœr̥t
albönsku	alpœnskʏ
albúin	alpuɪn
albúinn	alpuɪn
albúm	alpum
alcoa	alkoua
alda	alta
aldamót	altamouːt
aldamótin	altamouːtɪn
aldamótum	altamouːtʏm
aldamótunum	altamouːtɔnʏm
aldanna	altana
aldar	altar
aldarafmæli	altaramailɪ
aldaraðir	altaraðɪr
aldarfjórðung	altarfjourðuŋk
aldarfjórðungi	altarfjourðuɲcɪ
aldarinnar	altarɪnar
aldeilis	alteilɪs
aldimmt	altɪm̥t
aldinkjötið	altɪncʰœːtɪð
aldir	altɪr
aldirnar	altɪtnar
aldna	altna
aldni	altnɪ
aldnir	altnɪr
aldraða	altraða
aldraðir	altraðɪr
aldraðra	altraðra
aldraðri	altraðrɪ
aldraður	altraðʏr
aldrei	altrei
aldri	altrɪ
aldrinum	altrɪnʏm
aldur	altʏr
aldurinn	altʏrɪn
aldurs	altʏr̥s
aldursdreifing	altʏr̥strɛjviŋk
aldursflokki	altʏr̥sflɔhcɪ
aldursflokkum	altʏr̥sflɔhkʏm
aldursgreina	altʏr̥skrɛjna
aldurshóp	altʏr̥shouːp
aldurshópa	altʏr̥shouːpa
aldurshópar	altʏr̥shouːpar
aldurshópi	altʏr̥shouːpɪ
aldurshópnum	altʏr̥shouhpnʏm
aldurshópum	altʏr̥shouːpʏm
aldursmun	altʏr̥smʏːn
aldursmunur	altʏr̥smʏːnʏr
aldursstig	altʏr̥stɪɣ
aldurstakmark	altʏr̥stʰaːkmar̥k
aldurstakmarkið	altʏr̥stʰakmar̥cɪð
aldurstengds	altʏr̥stɛjŋts
aldursári	altʏr̥sauːrɪ
aldurtila	altʏrtɪːla
aldís	altis
alefli	aːlɛplɪ
alein	aːlein
aleina	aːleina
aleini	aːleinɪ
aleinir	aːleinɪr
aleinn	aːleitn̥
alex	aːlɛks
alexander	aːlɛksantɛr
alexanders	aːlɛksanter̥s
alexanderson	aːlɛxsantɛr̥sɔːn
alexandersson	aːlɛksanter̥sɔːn
alexandra	aːlɛksantra
alfa	alfa
alfadeildinni	alfatɛjltɪnɪ
alfaraleið	alfaraleiːð
alfarið	alfarɪð
alfonso	alfɔnsɔ
alfreð	alfrɛð
alfreðs	alfrɛðs
alfreðsdóttir	alfrɛðstouhtɪr
alfreðsson	alfrɛðsɔːn
alfreðssonar	alfrɛðsɔːnar
alfræðiorðabókin	alfrajðɪɔrðapouːcɪn
alfræðiriti	alfrajðɪrɪːtɪ
algegnt	alcɛjŋ̥t
algeirsborg	alceir̥spɔrk
algeng	alceiŋk
algenga	alcɛjŋka
algengan	alcɛjŋkan
algengar	alceiŋkar
algengara	alceiŋkara
algengari	alceiŋkarɪ
algengast	alceiŋkast
algengasta	alceiŋkasta
algengastar	alcɛjŋkastar
algengi	alcɛjɲcɪ
algengir	alceiɲcɪr
algengra	alcɛjŋkra
algengt	alceiŋ̊t
algengum	alceiŋkʏm
algengur	alceiŋkʏr
algengust	alceiŋkʏst
algengustu	alceiŋkʏstʏ
alger	alcɛr
algera	alcɛra
algerar	alcɛrar
algerlega	alcɛrlɛɣa
algerrar	alcɛrar
algerri	alcɛrɪ
algert	alcɛr̥t
algeru	alcɛrʏ
algild	alcɪlt
algilt	alcɪl̥t
algjör	alcœr
algjöra	alcœra
algjöran	alcœran
algjörlega	alcœrlɛɣa
algjörri	alcœrɪ
algjört	alcœr̥t
algjöru	alcœrʏ
algjörum	alcœrʏm
algleymi	alkleimɪ
algleymingi	alkleimiɲcɪ
algróin	alkrouɪn
algyðishofið	alkɪðɪshɔːvɪð
algóðan	alkouðan
algóður	alkouðʏr
alheimi	aːlhɛjmɪ
alheiminn	aːlheimɪn
alheiminum	aːlheimɪnʏm
alheims	aːlhɛjms
alheimsins	aːlheimsɪns
alheimurinn	aːlheimʏrɪn
alhliða	al̥ɪða
alhug	aːl̥ʏɣ
alhuga	aːlhʏɣa
alhvítur	aːlkʰvitʏr
ali	aːlɪ
alin	aːlɪn
alinn	aːlɪn
alist	aːlɪst
alið	aːlɪð
alkahóli	alkʰahouːlɪ
alkalí	alkʰali
alkalírafhlöður	alkʰalirafl̥œðʏr
alklædd	alklait
alkominn	alkʰɔmɪn
alkunna	alkʏna
alkunnri	alkʰʏnrɪ
alkunnu	alkʏnʏ
alkóa	alkoua
alkóhólista	al̥kouhoulɪsta
all	atl̥
alla	atla
allajafna	atlajapna
allan	atlan
allar	atlar
allavega	atlavɛɣa
allavegana	atlavɛkana
allflestra	atl̥flɛstra
allflóknu	atl̥flouhknʏ
allforhertur	atl̥fɔːrhɛr̥tʏr
allgóður	atl̥kouːðʏr
allhressilega	atl̥r̥ɛsɪlɛɣa
alli	alɪ
allir	atlɪr
alllangt	atlauŋ̊t
alllengi	atleiɲcɪ
allliðlegan	atlɪðlɛɣan
allmargar	atl̥markar
allmargir	atl̥marɲcɪr
allmikið	atl̥mɪɲcɪð
allmörg	atl̥mœrk
allmörgum	atl̥mœrkʏm
allnokkra	atl̥nɔhkra
allnokkrar	atl̥nɔhkrar
allnokkrum	atl̥nɔhkrʏm
allnokkur	atl̥nɔhkʏr
allnokkuð	atl̥nɔhkʏð
allnáið	atl̥nauɪð
alloft	atlɔft
allra	atl̥ra
allrahanda	atl̥rahanta
allrar	atl̥rar
allravestast	atlravɛstast
allri	atl̥rɪ
alls	als
allsber	alspɛr
allsberir	alspɛrɪr
allsendis	alsɛntɪs
allsherjar	alshɛrjar
allsherjarnefndin	alshɛrjarnɛmtɪn
allsherjarsál	alshɛrjarsauːl
allsherjartákn	alshɛrjartʰauhkn̥
allsherjarþinginu	alshɛrjarθiɲcɪnʏ
allskonar	alskʰɔnar
allskostar	alskʰɔstar
allskyns	alscʰɪns
allsráðandi	alsrauðantɪ
allstaðar	alstaðar
allstóran	atl̥stouːran
allstórir	atlstouːrɪr
allt	al̥t
alltaf	al̥tav
alltof	al̥tɔv
alltsvo	al̥tsɔ
alltumlykjandi	al̥tʏmlɪcantɪ
alltént	atl̥tjɛn̥t
allur	atlʏr
allvel	atl̥vɛːl
allveruleg	atl̥vɛːrʏlɛɣ
allverulega	atl̥vɛːrʏlɛɣa
allverulegt	atl̥vɛːrʏlɛxt
alma	alma
almanak	almanaːk
almanaki	almanaːcɪ
almanakið	almanaːcɪð
almannafæri	almanafaiːrɪ
almannafé	almanafjɛː
almannagjá	almanacauː
almannahagsmunir	almanahaxsmʏnɪr
almannaheilla	almanahɛjtla
almannaskarð	almanaskarð
almannatenglar	almanatʰɛjŋlar
almannatengsl	almanatʰɛjŋstl̥
almannatrygginga	almanatʰrɪciŋka
almannatryggingar	almanatʰrɪciŋkar
almannavarna	almanavartna
almannavarnir	almanavartnɪr
almar	almar
almarsson	almar̥sɔːn
almenn	almɛn
almenna	almɛna
almennan	almɛnan
almennar	almɛnar
almennari	almɛnarɪ
almenni	almɛnɪ
almennileg	almɛnɪlɛɣ
almennilega	almɛnɪlɛɣa
almennilegan	almɛnɪlɛɣan
almennilegir	almɛnɪleiːjɪr
almennilegt	almɛnɪlɛxt
almennilegum	almɛnɪlɛɣʏm
almennilegur	almɛnɪlɛɣʏr
almenning	almɛniŋk
almenningi	almɛniɲcɪ
almenninginn	almɛniɲcɪn
almenningnum	almɛniŋknʏm
almennings	almɛniŋks
almenningsbókasöfn	almɛniŋspouːkasœpn̥
almenningseign	almɛniŋkseikn̥
almenningseigu	almɛniŋsɛjɣʏ
almenningshlaupa	almɛniŋsl̥œipa
almenningssamgangna	almɛniŋksamkauŋkna
almenningssamgöngum	almɛniŋksamkœiŋkʏm
almenningssamgöngur	almɛniŋksamkœiŋkʏr
almenningssjóðunum	almɛniŋsjouːðɔnʏm
almenningstindur	almɛniŋstɪntʏr
almenningsálitið	almɛniŋksauːlɪtɪð
almenningur	almɛniŋkʏr
almennir	almɛnɪr
almennra	almɛnra
almennrar	almɛnrar
almennri	almɛnrɪ
almenns	almɛns
almennt	almɛn̥t
almennu	almɛnʏ
almennum	almɛnʏm
almennur	almɛnʏr
almáttugan	almauhtʏɣan
almáttugs	almauhtʏxs
almáttugur	almauhtʏɣʏr
almættinu	almaihtɪnʏ
almættið	almaihtɪð
almúgann	almuɣan
almúgans	almuɣans
almúginn	almujɪn
alnæmi	alnaimɪ
alnæmis	alnaimɪs
alnæmisfaraldrinum	alnajmɪsfaːraltrɪnʏm
alnæmissamtökin	alnaimɪsamtœcɪn
aloe	aːlouɛ
alpagreinar	al̥pakreinar
alpagreinum	al̥pakreinʏm
alpaklúbbsins	al̥pakʰlupsɪns
alpaklúbburinn	al̥pakʰlupʏrɪn
alrangt	alrauŋ̊t
alræmda	alraimta
alræmdi	alrajmtɪ
alræmdu	alraimtʏ
alræmdur	alraimtʏr
alræði	alraiðɪ
alríkislögreglan	alricɪstlœɣrɛklan
alríkislögreglunnar	alricɪstlœɣrɛklʏnar
als	als
alsett	alsɛht
alsettum	aːlsɛhtʏm
alsettur	alsɛhtʏr
alskegg	alscɛk
alsnjóa	aːlstnjoua
alsoddi	alsɔtɪ
alstaðar	alstaðar
alsæll	alsaitl̥
alsælu	alsailʏ
alsír	alsir
alt	al̥t
altalandi	aːltaːlantɪ
altari	al̥tarɪ
altarinu	al̥tarɪnʏ
altaris	al̥tarɪs
altarisganga	al̥tarɪskauŋka
altarisgöngu	al̥tarɪskœiŋkʏ
altarissakramentinu	al̥tarɪsakramɛn̥tɪnʏ
altarissakramentið	al̥tarɪsakramɛn̥tɪð
altarissveinn	al̥tarɪsveitn̥
altaristöfluna	al̥tarɪstʰœplʏna
altarið	al̥tarɪð
altekin	altɛcɪn
altekinn	altɛcɪn
altekið	altɛcɪð
altsvo	al̥tsɔ
alténd	altjɛn̥t
alvara	alvara
alvaran	alvaran
alvarleg	alvarlɛɣ
alvarlega	alvarlɛɣa
alvarlegan	alvarlɛɣan
alvarlegar	alvarlɛɣar
alvarlegasta	alvarlɛɣasta
alvarlegir	alvarleijɪr
alvarlegra	alvarlɛɣra
alvarlegri	alvarlɛɣrɪ
alvarlegs	alvarlɛxs
alvarlegt	alvarlɛxt
alvarlegu	alvarlɛɣʏ
alvarlegum	alvarlɛɣʏm
alvarlegur	alvarlɛɣʏr
alvarlegustu	alvarlɛɣʏstʏ
alvarleika	alvarleiːka
alveg	alvɛɣ
alveldi	alvɛltɪ
alversta	alvɛr̥sta
alvitur	alvɪtʏr
alviðru	alvɪðrʏ
alvæpni	alvaihpnɪ
alvöru	alvœrʏ
alvörugefin	alvœrʏcɛvɪn
alvörugefinn	alvœrʏcɛvɪn
alvörugefni	alvœrʏcɛpnɪ
alvörumál	alvœrʏmauːl
alvöruna	alvœrʏna
alvörunni	alvœrʏnɪ
alvörupabba	alvœrʏpapa
alvörusamninga	alvœrʏsamniŋka
alvörusvip	alvœrʏsvɪːp
