ۋە	wˈæ
شۇنداق	ʃˈundɑq
ئىبنى	ˈɪbnɪ
ئىسلام	ˈɪslɑm
ئىش	ˈɪʃ
قارشى	qˈɑrʃɪ
شىنجاڭ	ʃˈɪnd͡ʒɑŋ
شۇنىڭ	ʃˈunɪŋ
بۇنداق	bˈundɑq
شەرقىي	ʃˈærqɪj
توغرا	tˈoʁrɑ
يىللىق	jˈɪllɪq
مەلۇم	mˈælum
دۇنيا	dˈunjɑ
شۇڭا	ʃˈuŋɑ
ھەققىدە	hæqqˈɪdæ
بەزى	bˈæzɪ
سۇ	sˈu
ئۇنىڭغا	unˈɪŋʁɑ
كۈن	kˈyn
كۈنى	kˈynɪ
ھازىرقى	hɑzˈɪrqɪ
مۇمكىن	mˈumkɪn
لېكىن	lˈekɪn
بۇنىڭ	bˈunɪŋ
نەچچە	nˈæt͡ʃt͡ʃæ
ئۆزى	ˈœzɪ
ئۇيغۇرلار	ujʁˈurlɑr
ئاز	ˈɑz
كىچىك	kˈɪt͡ʃɪk
يەردە	jˈærdæ
يەنى	jˈænɪ
مېنىڭ	mˈenɪŋ
ئىبارەت	ɪbˈɑɾæt
قاتارلىقلار	qˌɑtɑrlˈɪqlɑr
يول	jˈol
چۈنكى	t͡ʃˈynkɪ
ئالغان	ˈɑlʁɑn
ھالدا	hˈɑldɑ
تېخىمۇ	teχˈɪmu
كېلىدۇ	kelˈɪdu
مۇنداق	mˈundɑq
كېلىپ	kˈelɪp
مىللىي	mˈɪllɪj
ھەممە	hˈæmmæ
نى	nˈɪ
يۈز	jˈyz
ئېلان	ˈelɑn
چىققان	t͡ʃˈɪqqɑn
تۇنجى	tˈund͡ʒɪ
قاراپ	qˈɑɾɑp
زور	zˈor
ئۇيغۇرلارنىڭ	ˌujʁurlˈɑrnɪŋ
تۈرك	tˈyrk
قوبۇل	qˈobul
مەدەنىيەت	mˌædænˈɪjæt
ئاندىن	ˈɑndɪn
تەرەپ	tˈæɾæp
مىللەت	mˈɪllæt
بىزنىڭ	bˈɪznɪŋ
بەرگەن	bˈærɡæn
ئىجتىمائىي	ˌɪd͡ʒtɪmˈɑɪj
قىلىدىغان	qˌɪlɪdˈɪʁɑn
بولمايدۇ	bolmˈɑjdu
قاتتىق	qˈɑttɪq
قىلىشقا	qɪlˈɪʃqɑ
نوپۇس	nˈopus
ئانا	ˈɑnɑ
بۇرۇن	bˈuɾun
ئاساسەن	ɑsˈɑsæn
ئالاھىدە	ˌɑlɑhˈɪdæ
بارلىق	bˈɑrlɪq
دىن	dˈɪn
كەڭ	kˈæŋ
مىليون	mˈɪljon
سۆز	sˈœz
ئاق	ˈɑq
بولۇشى	bolˈuʃɪ
ئىلمىي	ˈɪlmɪj
تەتقىقات	tætqˈɪqɑt
قىلىنىدۇ	qˌɪlɪnˈɪdu
ئۇنىڭدىن	unˈɪŋdɪn
تولۇق	tˈoluq
ئىكەن	ˈɪkæn
شەھەر	ʃˈæhær
ئالدى	ˈɑldɪ
قانچە	qˈɑnt͡ʃæ
كەتكەن	kˈætkæn
ئىچىگە	ɪt͡ʃˈɪɡæ
تۇرىدۇ	tuɾˈɪdu
غەربىي	ʁˈærbɪj
قىسىم	qˈɪsɪm
ئوتتۇرىغا	ˌottuɾˈɪʁɑ
ئومۇمىي	omˈumɪj
ئۈستىگە	ystˈɪɡæ
بولۇش	bˈoluʃ
خىزمەت	χˈɪzmæt
ئۇزۇن	ˈuzun
ئاللاھ	ˈɑllɑh
چىقىپ	t͡ʃˈɪqɪp
تەلەپ	tˈælæp
كىلومېتىر	kˌɪlomˈetɪr
باشلاپ	bˈɑʃlɑp
كېيىنكى	kejˈɪnkɪ
ۋاقىت	wˈɑqɪt
ئاساس	ˈɑsɑs
مۇھەممەد	muhˈæmmæd
ئۆزىنى	œzˈɪnɪ
قايسى	qˈɑjsɪ
ئامېرىكا	ˌɑmeɾˈɪkɑ
قەدىمكى	qædˈɪmkɪ
ناملىق	nˈɑmlɪq
ۋاقىتتا	wɑqˈɪttɑ
ئۇلارنى	ulˈɑrnɪ
شۇنداقلا	ʃundˈɑqlɑ
ھەتتا	hˈættɑ
تۆت	tˈœt
ئىككىنچى	ɪkkˈɪnt͡ʃɪ
بېرىپ	bˈeɾɪp
جايلاشقان	d͡ʒɑjlˈɑʃqɑn
مەكتەپ	mˈæktæp
قەدەر	qˈædær
ئارىسىدا	ˌɑɾɪsˈɪdɑ
خىتاي	χˈɪtɑj
قىسمى	qˈɪsmɪ
ماڭا	mˈɑŋɑ
ھەممىسى	hæmmˈɪsɪ
ئادەتتە	ɑdˈættæ
بېرىدۇ	beɾˈɪdu
كىشىلەرنىڭ	kˌɪʃɪlˈærnɪŋ
ئالىي	ˈɑlɪj
سىياسىي	sɪjˈɑsɪj
ئىلگىرى	ɪlɡˈɪɾɪ
بەش	bˈæʃ
سىزنىڭ	sˈɪznɪŋ
ئون	ˈon
كەلدى	kˈældɪ
چاغدا	t͡ʃˈɑʁdɑ
ئوقۇش	ˈoquʃ
ئىكەنلىكىنى	ˌɪkænlɪkˈɪnɪ
يېزا	jˈezɑ
ئاشۇ	ˈɑʃu
دېڭىز	dˈeŋɪz
ئاساسىي	ɑsˈɑsɪj
بۇنى	bˈunɪ
يېرىم	jˈeɾɪm
تەرەققىي	tæɾˈæqqɪj
يېقىن	jˈeqɪn
ئوتتۇرىچە	ˌottuɾˈɪt͡ʃæ
دىنى	dˈɪnɪ
قەشقەر	qˈæʃqær
ئامېرىكىدا	ˌɑmeɾɪkˈɪdɑ
بەلكى	bˈælkɪ
ئۇيغۇرچە	ujʁˈurt͡ʃæ
نېمە	nˈemæ
كۈچلۈك	kˈyt͡ʃlyk
ئۆزىگە	œzˈɪɡæ
جۇڭگو	d͡ʒˈuŋɡo
مۇۋاپىق	muwˈɑpɪq
ئالدىنقى	ɑldˈɪnqɪ
بولۇپمۇ	bolˈupmu
پەيدا	pˈæjdɑ
ئۇرۇش	ˈuɾuʃ
ئەل	ˈæl
تارىخى	tɑɾˈɪχɪ
مۇناسىۋەتلىك	mˌunɑsɪwˈætlɪk
بەك	bˈæk
سۈپىتىدە	sˌypɪtˈɪdæ
قارا	qˈɑɾɑ
بولمىغان	bolmˈɪʁɑn
تۇرۇپ	tˈuɾup
مىقدارى	mɪqdˈɑɾɪ
سۇلالىسى	sˌulɑlˈɪsɪ
چىڭ	t͡ʃˈɪŋ
ئارتۇق	ˈɑrtuq
ئاساسلىق	ɑsˈɑslɪq
ئېلىش	ˈelɪʃ
ئەينى	ˈæjnɪ
جەھەتتىن	d͡ʒæhˈættɪn
بۇنىڭدىن	bunˈɪŋdɪn
ئىچكى	ˈɪt͡ʃkɪ
بايان	bˈɑjɑn
بېرىش	bˈeɾɪʃ
نوپۇسى	nopˈusɪ
ئەبۇ	ˈæbu
ئەرەب	ˈæɾæb
بىرىنچى	bɪɾˈɪnt͡ʃɪ
مۇسۇلمان	musˈulmɑn
مانا	mˈɑnɑ
تىلغا	tˈɪlʁɑ
شىمالىي	ʃɪmˈɑlɪj
ئاتىلىدۇ	ˌɑtɪlˈɪdu
بالا	bˈɑlɑ
بىرەر	bˈɪɾær
جەنۇبىي	d͡ʒænˈubɪj
قالدى	qˈɑldɪ
ئالىدۇ	ɑlˈɪdu
تەسىر	tˈæsɪr
ئاپتونوم	ɑptˈonom
تارىخىي	tɑɾˈɪχɪj
مەۋجۇت	mˈæwd͡ʒut
دىنىي	dˈɪnɪj
قولغا	qˈolʁɑ
ھېسابلىنىدۇ	hˌesɑblɪnˈɪdu
ئورتاق	ˈortɑq
ئىنسان	ˈɪnsɑn
داڭلىق	dˈɑŋlɪq
ئادەمنىڭ	ɑdˈæmnɪŋ
قايتىپ	qˈɑjtɪp
مەشھۇر	mˈæʃhur
بولسىمۇ	bolsˈɪmu
مائارىپ	mɑˈɑɾɪp
مۇشۇنداق	muʃˈundɑq
بولىدىغان	bˌolɪdˈɪʁɑn
ھەزرىتى	hæzrˈɪtɪ
ئېغىر	ˈeʁɪr
تۆۋەن	tˈœwæn
تەرجىمە	tærd͡ʒˈɪmæ
دەرىجىدە	dˌæɾɪd͡ʒˈɪdæ
دەۋرىدە	dæwrˈɪdæ
قىلىشى	qɪlˈɪʃɪ
كىتاب	kˈɪtɑb
يەرگە	jˈærɡæ
بىزگە	bˈɪzɡæ
تۈرلۈك	tˈyrlyk
قانۇن	qˈɑnun
قويغان	qˈojʁɑn
نامى	nˈɑmɪ
ياش	jˈɑʃ
ئىمام	ˈɪmɑm
ناھىيىسى	nˌɑhɪjˈɪsɪ
ئويۇن	ˈojun
ئىقتىسادىي	ˌɪqtɪsˈɑdɪj
جەھەتتە	d͡ʒæhˈættæ
دەل	dˈæl
قالىدۇ	qɑlˈɪdu
ئالدىدا	ɑldˈɪdɑ
ئىلىم	ˈɪlɪm
تارتىپ	tˈɑrtɪp
تۇرغان	tˈurʁɑn
تەخمىنەن	tæχmˈɪnæn
داۋاملىق	dɑwˈɑmlɪq
دۇنيادىكى	dˌunjɑdˈɪkɪ
مەزكۇر	mˈæzkur
توغرىسىدا	tˌoʁrɪsˈɪdɑ
دۇنياغا	dunjˈɑʁɑ
سانى	sˈɑnɪ
بۈگۈنكى	byɡˈynkɪ
پۇل	pˈul
ئىچىدىكى	ˌɪt͡ʃɪdˈɪkɪ
يازغان	jˈɑzʁɑn
ئۈستىدە	ystˈɪdæ
بالىلار	bɑlˈɪlɑr
بىللە	bˈɪllæ
تور	tˈor
چەت	t͡ʃˈæt
ئائىلە	ɑˈɪlæ
ئېنىق	ˈenɪq
تۇغۇلغان	tuʁˈulʁɑn
سەن	sˈæn
قول	qˈol
چوقۇم	t͡ʃˈoqum
ئوغلى	ˈoʁlɪ
زامان	zˈɑmɑn
ئۇنداق	ˈundɑq
ئىسمى	ˈɪsmɪ
ئەتراپىدا	ˌætrɑpˈɪdɑ
تەرىپى	tæɾˈɪpɪ
جەريانىدا	d͡ʒˌærjɑnˈɪdɑ
دەرىجىلىك	dˌæɾɪd͡ʒˈɪlɪk
قىلىندى	qɪlˈɪndɪ
ئاتا	ˈɑtɑ
باشقىلار	bɑʃqˈɪlɑr
قىلىشنى	qɪlˈɪʃnɪ
لازىم	lˈɑzɪm
يىلدىن	jˈɪldɪn
پەيغەمبەر	pæjʁˈæmbær
ھازىرغىچە	hˌɑzɪrʁˈɪt͡ʃæ
نەرسە	nˈærsæ
ياردەم	jˈɑrdæm
رول	rˈol
قۇرۇلغان	quɾˈulʁɑn
يولى	jˈolɪ
ئېرىشكەن	eɾˈɪʃkæn
دائىم	dˈɑɪm
دۇنيادا	dunjˈɑdɑ
دەيدۇ	dˈæjdu
كۆز	kˈœz
ھايات	hˈɑjɑt
ھەققىدىكى	hˌæqqɪdˈɪkɪ
تۈركىستان	tyrkˈɪstɑn
قىز	qˈɪz
كۋادرات	kwˈɑdrɑt
ۋاقتى	wˈɑqtɪ
بەردى	bˈærdɪ
تىلىدا	tɪlˈɪdɑ
تەبىئىي	tæbˈɪɪj
قان	qˈɑn
كېلىدىغان	kˌelɪdˈɪʁɑn
يېزىلغان	jezˈɪlʁɑn
ئاينىڭ	ˈɑjnɪŋ
ئورۇن	ˈoɾun
ئۇلارغا	ulˈɑrʁɑ
خۇددى	χˈuddɪ
كەتتى	kˈættɪ
ئىشلار	ˈɪʃlɑr
ئىشلارنى	ɪʃlˈɑrnɪ
سەنئەت	sˈænæt
شىركەت	ʃˈɪrkæt
ھاسىل	hˈɑsɪl
مۇستەقىل	mustˈæqɪl
چىقىدۇ	t͡ʃɪqˈɪdu
ئاسىيا	ɑsˈɪjɑ
قاتناش	qˈɑtnɑʃ
قايتا	qˈɑjtɑ
ياۋروپا	jɑwrˈopɑ
يولغا	jˈolʁɑ
ھەدىس	hˈædɪs
ئېدى	ˈedɪ
بىلىم	bˈɪlɪm
تەتقىق	tˈætqɪq
شەھىرى	ʃæhˈɪɾɪ
كۆرسىتىدۇ	kˌœrsɪtˈɪdu
كۆلىمى	kœlˈɪmɪ
كېتىدۇ	ketˈɪdu
مېتىر	mˈetɪr
ئۇزۇنلۇك	uzˈunluk
ئەدەبىي	ædˈæbɪj
جامائەت	d͡ʒɑmˈɑæt
خاس	χˈɑs
ئەسەر	ˈæsær
باشلىدى	bɑʃlˈɪdɪ
سوۋېت	sˈowet
مىللەتنىڭ	mɪllˈætnɪŋ
ھۆكۈمىتى	hˌœkymˈɪtɪ
ئائىت	ˈɑɪt
ئۆتكەن	ˈœtkæn
تاڭ	tˈɑŋ
دېدى	dˈedɪ
ئاتالغان	ɑtˈɑlʁɑn
باشلىغان	bɑʃlˈɪʁɑn
مەخسۇس	mˈæχsus
مەيلى	mˈæjlɪ
بەزىدە	bæzˈɪdæ
تېخى	tˈeχɪ
تەۋە	tˈæwæ
لىك	lˈɪk
مو	mˈo
ئاخىرقى	ɑχˈɪrqɪ
بۇرۇنقى	buɾˈunqɪ
تۈركىي	tˈyrkɪj
تەشكىل	tˈæʃkɪl
دەسلەپكى	dæslˈæpkɪ
سائەت	sˈɑæt
ناھىيە	nɑhˈɪjæ
يەرلىك	jˈærlɪk
ئاساسلىقى	ˌɑsɑslˈɪqɪ
ئايرىم	ˈɑjrɪm
ئىشقا	ˈɪʃqɑ
دەرياسى	dærjˈɑsɪ
ساقلاپ	sˈɑqlɑp
مىللەتلەر	mɪllˈætlær
يەنىلا	jænˈɪlɑ
پۈتۈنلەي	pytˈynlæj
ئىگىلىك	ɪɡˈɪlɪk
بارلىققا	bɑrlˈɪqqɑ
دۆلەتنىڭ	dœlˈætnɪŋ
مېنى	mˈenɪ
پارچە	pˈɑrt͡ʃæ
ئالدىغا	ɑldˈɪʁɑ
ئوقۇپ	ˈoqup
ئۆي	ˈœj
ئۇسۇلى	usˈulɪ
بېرىلگەن	beɾˈɪlɡæn
تاغ	tˈɑʁ
سودا	sˈodɑ
شەكلى	ʃˈæklɪ
قويۇپ	qˈojup
قۇرئان	qˈuɾɑn
كىشىنىڭ	kɪʃˈɪnɪŋ
ھۆكۈمەت	hœkˈymæt
تەسىس	tˈæsɪs
جازا	d͡ʒˈɑzɑ
جەمئىيەت	d͡ʒæmˈɪjæt
خارىكى	χɑɾˈɪkɪ
خوتەن	χˈotæn
خىمالىكاڭ	χˌɪmɑlˈɪkɑŋ
خەلقئارا	χælqˈɑɾɑ
سوت	sˈot
كۆرۈپ	kˈœɾyp
كۇۋادىرات	kˌuwɑdˈɪɾɑt
كۈچى	kˈyt͡ʃɪ
ئالتە	ˈɑltæ
بىرگە	bˈɪrɡæ
خېلى	χˈelɪ
خەۋەر	χˈæwær
دائىرائىقىدا	dˌɑɪɾˌɑɪqˈɪdɑ
چوڭقۇر	t͡ʃˈoŋqur
گەپ	ɡˈæp
ھەرىكەت	hæɾˈɪkæt
ئىشنى	ˈɪʃnɪ
ئىنسانلار	ɪnsˈɑnlɑr
ئوخشىمىغان	ˌoχʃɪmˈɪʁɑn
ئەسلى	ˈæslɪ
بېرىلىدۇ	bˌeɾɪlˈɪdu
تېمپېراتۇرىسى	tˌempeɾˌɑtuɾˈɪsɪ
دىكىبىخاھار	dˌɪkɪbɪχˈɑhɑr
رايونى	rɑjˈonɪ
ئاي	ˈɑj
ئايال	ˈɑjɑl
باشقۇرۇش	bɑʃqˈuɾuʃ
توي	tˈoj
يالغۇز	jˈɑlʁuz
گەرچە	ɡˈært͡ʃæ
ھەرقانداق	hærqˈɑndɑq
ھەقىقىي	hæqˈɪqɪj
ھەل	hˈæl
ئەمەلگە	æmˈælɡæ
بۈيۈك	bˈyjyk
دەپمۇ	dˈæpmu
قارىغاندا	qˌɑɾɪʁˈɑndɑ
كىيىن	kˈɪjɪn
مەيدانغا	mæjdˈɑnʁɑ
ئەمدى	ˈæmdɪ
ئەمەلىيەتتە	ˌæmælɪjˈættæ
تەرەپتىن	tæɾˈæptɪn
دۆلەتلەر	dœlˈætlær
شەكىلدە	ʃækˈɪldæ
قارار	qˈɑɾɑr
بولغاندىن	bolʁˈɑndɪn
تاپقان	tˈɑpqɑn
دېگەندەك	deɡˈændæk
كۆڭۈل	kˈœŋyl
مەركىزى	mærkˈɪzɪ
يىلنىڭ	jˈɪlnɪŋ
ۋاقتىدا	wɑqtˈɪdɑ
ئاخىرىدا	ˌɑχɪɾˈɪdɑ
ئورنى	ˈornɪ
ئوقۇغان	oqˈuʁɑn
ئەنە	ˈænæ
تۆمۈر	tˈœmyr
تەڭ	tˈæŋ
موڭغۇل	mˈoŋʁul
گۈزەل	ɡˈyzæl
بارغان	bˈɑrʁɑn
جاۋاب	d͡ʒˈɑwɑb
مەمۇرىي	mæmˈuɾɪj
ئاشۇنداق	ɑʃˈundɑq
بىزنى	bˈɪznɪ
كونا	kˈonɑ
كىرگەن	kˈɪrɡæn
ئۆزلىرىنىڭ	ˌœzlɪɾˈɪnɪŋ
ئۇلۇغ	ˈuluʁ
تۇرمۇش	tˈurmuʃ
خەلقى	χˈælqɪ
ھېچ	hˈet͡ʃ
ھەرخىل	hˈærχɪl
ئوت	ˈot
ئىجرا	ˈɪd͡ʒrɑ
باردۇر	bˈɑrdur
بولسۇن	bˈolsun
تەكلىپ	tˈæklɪp
خەت	χˈæt
شۇنىڭدىن	ʃunˈɪŋdɪn
كۈچ	kˈyt͡ʃ
نەشر	nˈæʃr
چۈشۈپ	t͡ʃˈyʃyp
ۋاپات	wˈɑpɑt
ئورنىغا	ornˈɪʁɑ
ئۇزاق	ˈuzɑq
ئۇيغۇرنىڭ	ujʁˈurnɪŋ
تۇز	tˈuz
تۈركىيە	tyrkˈɪjæ
دادىسى	dɑdˈɪsɪ
دىگەن	dˈɪɡæn
كۆپىنچە	kœpˈɪnt͡ʃæ
مەسىلەن	mæsˈɪlæn
يەتتە	jˈættæ
ھېس	hˈes
بۇنىڭغا	bunˈɪŋʁɑ
سانلىق	sˈɑnlɪq
غا	ʁˈɑ
مەيدانى	mæjdˈɑnɪ
ھەربىي	hˈærbɪj
ئاياللار	ɑjˈɑllɑr
ئەنئەنىۋى	ˌænænˈɪwɪ
ئەھۋال	ˈæhwɑl
تۇرىدىغان	tˌuɾɪdˈɪʁɑn
يېزىپ	jˈezɪp
باي	bˈɑj
توپ	tˈop
چىقارغان	t͡ʃɪqˈɑrʁɑn
ھۆكۈم	hˈœkym
سېلىپ	sˈelɪp
كەلتۈرۈپ	kæltˈyɾyp
كەلگەندە	kælɡˈændæ
ھەرقايسى	hærqˈɑjsɪ
ئانچە	ˈɑnt͡ʃæ
تىلىنى	tɪlˈɪnɪ
رەت	rˈæt
رەسمىي	rˈæsmɪj
قېتىملىق	qetˈɪmlɪq
كۆپلىگەن	kœplˈɪɡæn
يۈسۈپ	jˈysyp
چىقىش	t͡ʃˈɪqɪʃ
ئاللاھنىڭ	ɑllˈɑhnɪŋ
ئىلمى	ˈɪlmɪ
تۇتۇپ	tˈutup
تەسىرى	tæsˈɪɾɪ
غەرب	ʁˈærb
كىرىپ	kˈɪɾɪp
مەكتەپتە	mæktˈæptæ
چىقتى	t͡ʃˈɪqtɪ
گېكتار	ɡˈektɑr
ھىچ	hˈɪt͡ʃ
ھېچقانداق	het͡ʃqˈɑndɑq
ئىنسانلارنىڭ	ˌɪnsɑnlˈɑrnɪŋ
ئىنساننىڭ	ɪnsˈɑnnɪŋ
بىرىگە	bɪɾˈɪɡæ
بەزىلەر	bæzˈɪlær
خاتا	χˈɑtɑ
سۇلتان	sˈultɑn
مەسئۇل	mˈæsul
يۇقىرىقى	jˌuqɪɾˈɪqɪ
ئالىم	ˈɑlɪm
ئىلى	ˈɪlɪ
ئەركىن	ˈærkɪn
بەلگىلىمە	bˌælɡɪlˈɪmæ
تەرەپكە	tæɾˈæpkæ
دىققەت	dˈɪqqæt
قارايدۇ	qɑɾˈɑjdu
كىشىلىك	kɪʃˈɪlɪk
ئۇزۇنلۇقى	ˌuzunlˈuqɪ
بولغاندا	bolʁˈɑndɑ
تاش	tˈɑʃ
مەزگىل	mˈæzɡɪl
يۇمشاق	jˈumʃɑq
يېرى	jˈeɾɪ
يەردىكى	jærdˈɪkɪ
ھاۋا	hˈɑwɑ
ئارا	ˈɑɾɑ
ئاستىدا	ɑstˈɪdɑ
ئۈرۈمچى	yɾˈymt͡ʃɪ
ئەلەيھىسسالام	ˌælæjhɪssˈɑlɑm
تولىمۇ	tolˈɪmu
تېز	tˈez
دۇنيانىڭ	dunjˈɑnɪŋ
سىياسى	sɪjˈɑsɪ
قىزىل	qˈɪzɪl
كىم	kˈɪm
مەركىزىي	mærkˈɪzɪj
ئات	ˈɑt
ئەدەبىيات	ˌædæbˈɪjɑt
تاماق	tˈɑmɑq
تىلنى	tˈɪlnɪ
دىكى	dˈɪkɪ
قوشۇمچە	qoʃˈumt͡ʃæ
كەسپى	kˈæspɪ
نىسبەتەن	nɪsbˈætæn
چىن	t͡ʃˈɪn
ئايلىنىپ	ɑjlˈɪnɪp
بىراق	bˈɪɾɑq
تاشقى	tˈɑʃqɪ
خان	χˈɑn
قارىغان	qɑɾˈɪʁɑn
قانچىلىك	qɑnt͡ʃˈɪlɪk
ھوقۇق	hˈoquq
ئاساسى	ɑsˈɑsɪ
ئورۇندا	oɾˈundɑ
باشلايدۇ	bɑʃlˈɑjdu
بۇلار	bˈulɑr
بۇيان	bˈujɑn
بەت	bˈæt
تارىخ	tˈɑɾɪχ
تېرىلغۇ	teɾˈɪlʁu
دە	dˈæ
روھىي	rˈohɪj
شىركىتى	ʃɪrkˈɪtɪ
كۈندە	kˈyndæ
ياشىغان	jɑʃˈɪʁɑn
ئارىلىقى	ˌɑɾɪlˈɪqɪ
ئۆتۈپ	ˈœtyp
باشلانغۇچ	bɑʃlˈɑnʁut͡ʃ
بىرسى	bˈɪrsɪ
قىلسا	qˈɪlsɑ
مېدىيا	medˈɪjɑ
نام	nˈɑm
پەن	pˈæn
ئاخىرى	ɑχˈɪɾɪ
ئۈمىد	ˈymɪd
ئەزاسى	æzˈɑsɪ
ئەلى	ˈælɪ
ئەلەيھىسسالامنىڭ	ˌælæjhˌɪssɑlˈɑmnɪŋ
رايون	rˈɑjon
مۇئاۋىن	muˈɑwɪn
يېزىق	jˈezɪq
يېزىقى	jezˈɪqɪ
ھوقۇقى	hoqˈuqɪ
ئالاقىدار	ˌɑlɑqˈɪdɑr
ئالتۇن	ˈɑltun
خەلقىنىڭ	χælqˈɪnɪŋ
سانائەت	sɑnˈɑæt
شەكلىدە	ʃæklˈɪdæ
نۇر	nˈur
يېتىپ	jˈetɪp
ئامېرىكىدىكى	ˌɑmeɾˌɪkɪdˈɪkɪ
ئامېرىكىغا	ˌɑmeɾɪkˈɪʁɑ
ئىبن	ˈɪbn
ئۈچىنچى	yt͡ʃˈɪnt͡ʃɪ
بىرلىكتە	bɪrlˈɪktæ
بۇلارنىڭ	bulˈɑrnɪŋ
تۈركچە	tˈyrkt͡ʃæ
شىمال	ʃˈɪmɑl
شۇنچە	ʃˈunt͡ʃæ
شۇڭلاشقا	ʃuŋlˈɑʃqɑ
قويۇلغان	qojˈulʁɑn
كىشىلەرنى	kˌɪʃɪlˈærnɪ
مۇزىكا	muzˈɪkɑ
يا	jˈɑ
ھۇجۇم	hˈud͡ʒum
ھەق	hˈæq
ئىشلەپچىقىرىش	ˌɪʃlæpt͡ʃɪqˈɪɾɪʃ
ئۇنىڭدا	unˈɪŋdɑ
ئۇچۇر	ˈut͡ʃur
ئېلىنغان	elˈɪnʁɑn
بولغاچقا	bolʁˈɑt͡ʃqɑ
خەلقئارالىق	χˌælqɑɾˈɑlɪq
دېھقانچىلىق	dˌehqɑnt͡ʃˈɪlɪq
قۇرۇلۇش	quɾˈuluʃ
كەنت	kˈænt
ناخشا	nˈɑχʃɑ
يېقىنقى	jeqˈɪnqɪ
ھەيران	hˈæjrɑn
ئەر	ˈær
تەرەققىيات	tˌæɾæqqˈɪjɑt
كۆپرەك	kˈœpræk
كەم	kˈæm
ماس	mˈɑs
مەكتەپكە	mæktˈæpkæ
ئوڭ	ˈoŋ
ئەسەرلىرى	ˌæsærlˈɪɾɪ
باشقىلارغا	bˌɑʃqɪlˈɑrʁɑ
بالىلارنىڭ	bˌɑlɪlˈɑrnɪŋ
بولغانلىقى	bˌolʁɑnlˈɪqɪ
رىۋايەت	rɪwˈɑjæt
سان	sˈɑn
كۆرسىتىپ	kœrsˈɪtɪp
مەسىلە	mæsˈɪlæ
مەنىسى	mænˈɪsɪ
ھەرگىز	hˈærɡɪz
ھەرگىزمۇ	hærɡˈɪzmu
ئاستى	ˈɑstɪ
سەۋەبى	sæwˈæbɪ
قويىدۇ	qojˈɪdu
قىلىمەن	qɪlˈɪmæn
كەلمەكتە	kælmˈæktæ
يوشۇرۇن	joʃˈuɾun
ئارىسىدىكى	ˌɑɾɪsɪdˈɪkɪ
ئانىسى	ɑnˈɪsɪ
ئىشلەش	ˈɪʃlæʃ
ئىقتىسادى	ˌɪqtɪsˈɑdɪ
ئۆزلىرى	œzlˈɪɾɪ
