'day	daɪ̯
agnos	ʔɐɡnos
agong	ʔaɰoŋ
agos	ʔaɰos
agosto	ʔɐɰosto
agoy	ʔaɰoɪ̯
agpang	ʔɐɡpaŋ
agrabyado	ʔɐɡɾɐbjado
agresibo	ʔɐɡɾesibo
agrikultura	ʔɐɡɾɪxʊltuɾɐ
agrimensor	ʔɐɡɾɪmensoɾ
agsikap	ʔɐɡsixɐp
agsikapan	ʔɐɡsɪxapɐn
agta	ʔɐɡta
aguas	ʔaɰʊɐs
aguda	ʔɐɰudɐ
aguha	ʔɐɰuhɐ
aguhilya	ʔɐɰʊhiljɐ
aguho	ʔɐɰuhoʔ
aguho	ʔɐɰʊhoʔ
aguhon	ʔɐɰʊhon
aguilar	ʔɐɰɪlaɾ
aguilera	ʔɐɰɪleɾɐ
aguirre	ʔɐɰiɾe
agulo	ʔɐɰulo
agusan	ʔɐɰusɐn
agusil	ʔɐɰʊsil
agustin	ʔɐɰʊstin
agustino	ʔɐɰʊstino
agwa	ʔaɡwɐ
agwa	ʔɐɡwa
agwahe	ʔɐɡwahe
agwamarina	ʔɐɡwɐmɐɾinɐ
agwaras	ʔɐɡwɐɾas
agwardiyente	ʔɐɡwɐɾd͡ʒente
agwardyente	ʔɐɡwɐɾd͡ʒente
agwas	ʔaɡwɐs
agwas	ʔɐɡwas
agwat	ʔɐɡwat
agwela	ʔɐɡwelɐ
agwelo	ʔɐɡwelo
ahang	ʔahɐŋ
ahang	ʔɐhaŋ
ahas	ʔahɐs
ahedres	ʔɐhedɾes
ahensiya	ʔɐhenʃa
ahente	ʔɐhente
ahit	ʔahɪt
ahit	ʔɐhit
ahiya	ʔɐhiɐ
ahunin	ʔɐhunɪn
akademya	ʔɐxɐdemjɐ
akala	ʔɐxalɐ
akala	ʔɐxalɐʔ
akap	ʔaxɐp
akasya	ʔɐxaʃɐ
akawntant	ʔɐxaʊ̯ntɐnt
akay	ʔaxaɪ̯
akayin	ʔɐxajɪn
akayin	ʔɐxɐjin
akba	ʔakbɐ
akba	ʔɐkba
akbay	ʔɐkbaɪ̯
akda	ʔɐkdaʔ
akibat	ʔɐxibɐt
akiko	ʔɐxiko
akin	ʔaxɪn
akit	ʔaxɪt
akit	ʔɐxit
aklan	ʔɐklan
aklas	ʔɐklas
aklat	ʔɐklat
aklatan	ʔɐklatɐn
akma	ʔɐkma
akma	ʔɐkmaʔ
ako	ʔaxoʔ
ako	ʔɐxo
akom	ʔaxom
akom	ʔɐxom
akompanya	ʔɐxumpɐɲa
akordeon	ʔɐxoɾdeon
akordeon	ʔɐxoɾd͡ʒon
akreditasyon	ʔɐkɾedɪtɐʃon
akrostik	ʔɐkɾostɪk
aksaya	ʔɐksɐja
aksayado	ʔɐksɐjado
aksibal	ʔɐksibɐl
aksidente	ʔɐksɪdente
aksiyon	ʔɐkʃon
aksyon	ʔɐkʃon
aktibidad	ʔɐktɪbɪdad
aktibidades	ʔɐktɪbɪdades
aktibismo	ʔɐktɪbismo
aktibista	ʔɐktɪbistɐ
aktibo	ʔɐktibo
aktor	ʔɐktoɾ
aktres	ʔɐktɾes
aktuwal	ʔɐktwal
akuin	ʔɐxuʔɪn
akumulasyon	ʔɐxʊmʊlɐʃon
akurdiyon	ʔɐxʊɾd͡ʒon
akusa	ʔɐxʊsa
akusado	ʔɐxʊsado
akwarela	ʔɐkwɐɾelɐ
akwaryum	ʔɐkwaɾjʊm
akyat	ʔɐkjat
akyatan	ʔɐkjatɐn
akyatan	ʔɐkjɐtan
akyatin	ʔɐkjɐtin
alaala	ʔɐlɐʔalɐ
alaala	ʔɐlɐʔɐla
alabastro	ʔɐlɐbastɾo
alabok	ʔɐlɐbok
alabwab	ʔɐlɐbwab
alaga	ʔɐlaɰɐʔ
alaga	ʔɐlɐɰaʔ
alagad	ʔɐlɐɰad
alagaw	ʔɐlɐɰaʊ̯
alahas	ʔɐlahɐs
alahero	ʔɐlɐheɾo
alak	ʔalɐk
alakdan	ʔɐlɐkdan
alala	ʔɐlalɐ
alala	ʔɐlɐla
alalahanin	ʔalɐlɐhɐnin
alalahanin	ʔɐlɐlɐhanɪn
alalawa	ʔalɐlɐwɐʔ
alalay	ʔɐlalaɪ̯
alalay	ʔɐlɐlaɪ̯
alam	ʔalɐm
alam	ʔɐlam
alamang	ʔɐlɐmaŋ
alamat	ʔɐlɐmat
alambre	ʔɐlambɾe
alambrera	ʔɐlɐmbɾeɾɐ
alamid	ʔɐlɐmid
alamin	ʔɐlɐmin
alampay	ʔɐlɐmpaɪ̯
alangaang	ʔɐlɐŋaʔɐŋ
alangan	ʔɐlɐŋan
alanganin	ʔɐlɐŋanɪn
alangilan	ʔɐlɐŋilɐn
alapaw	ʔɐlapaʊ̯
alarma	ʔɐlaɾmɐ
alas	ʔɐlas
alaskador	ʔɐlɐskɐdoɾ
alat	ʔalɐt
alay	ʔalaɪ̯
alba	ʔalbɐ
albahaka	ʔɐlbɐhaxɐ
albakora	ʔɐlbɐxoɾɐ
albanya	ʔɐlbaɲɐ
albarikoke	ʔɐlbɐɾɪxoke
albay	ʔɐlbaɪ̯
alberto	ʔɐlbeɾto
alboroto	ʔɐlboɾoto
albularyo	ʔɐlbʊlaɾjo
alcaide	ʔɐlkaɪ̯de
aldover	ʔɐldobeɾ
alegre	ʔɐleɡɾe
aleman	ʔɐleman
alemanya	ʔɐlemaɲɐ
algodon	ʔɐlɡodon
alguwasil	ʔɐlɡʊɐsil
alibadbad	ʔɐlɪbɐdbad
alibugha	ʔɐlɪbʊɡhaʔ
aligaga	ʔɐlɪɰɐɡaʔ
aligi	ʔɐlɪɰi
alikabok	ʔɐlɪxɐbok
alila	ʔɐlilɐʔ
alilis	ʔɐlilɪs
alilis	ʔɐlɪlis
alilisan	ʔalɪlɪsan
alimango	ʔɐlɪmaŋo
alimasag	ʔɐlɪmasɐɡ
alimis	ʔɐlɪmis
alimpayawan	ʔɐlɪmpɐjawɐn
alimpungat	ʔɐlɪmpʊŋat
alimpuyo	ʔɐlɪmpʊjo
alimuom	ʔɐlɪmuʔom
alimuom	ʔɐlɪmʊʔom
alimuran	ʔɐlɪmʊɾan
alin	ʔɐlin
alindog	ʔɐlɪndoɡ
aling	ʔalɪŋ
aling	ʔɐliŋ
alingasaw	ʔɐlɪŋasaʊ̯
alingasngas	ʔɐlɪŋɐsŋas
alingawngaw	ʔɐlɪŋaʊ̯ŋaʊ̯
alinlangan	ʔɐlɪnlaŋɐn
alinman	ʔɐlɪmman
alinsunod	ʔɐlɪnsunod
alintana	ʔɐlɪntanɐ
alipato	ʔɐlɪpato
alipin	ʔɐlipɪn
alipunga	ʔɐlɪpʊŋa
alipusta	ʔɐlɪpʊstaʔ
alis	ʔɐlis
alisagsag	ʔɐlɪsɐɡsaɡ
alisangsang	ʔɐlɪsɐŋsaŋ
alisin	ʔɐlɪsin
alisto	ʔɐlisto
alit	ʔalɪt
alitan	ʔɐlitɐn
alitangya	ʔɐlɪtɐŋja
alitaptap	ʔɐlɪtɐptap
aliw	ʔalɪʊ̯
aliw	ʔɐliʊ̯
alkabus	ʔɐlkɐbus
alkabusero	ʔɐlkɐbʊseɾo
alkalde	ʔɐlkalde
alkaldesa	ʔɐlkɐldesɐ
alkansiya	ʔɐlkɐnsiɐ
alkansiya	ʔɐlkɐnʃa
alkansya	ʔɐlkanʃɐ
alkatsopas	ʔɐlkɐt͡ʃopɐs
alkitran	ʔɐlkɪtɾan
alkohol	ʔɐlkohol
alma	ʔɐlma
almaden	ʔɐlmɐden
almarez	ʔɐlmɐɾes
almario	ʔɐlmaɾɪo
almasiga	ʔɐlmasɪɰa
almasiga	ʔɐlmɐsiɰɐ
almeha	ʔɐlmehɐ
almendrala	ʔɐlmendɾalɐ
almirante	ʔɐlmɪɾante
almirol	ʔɐlmɪɾol
almohadilya	ʔɐlmohɐdiljɐ
almon	ʔɐlmon
almoranas	ʔɐlmoɾanɐs
almusal	ʔɐlmʊsal
almuwada	ʔɐlmwɐdɐ
alog	ʔɐloɡ
alok	ʔɐlok
alonte	ʔɐlonte
alonto	ʔɐlonto
aloy	ʔaloɪ̯
alpa	ʔɐlpa
alpabeto	ʔɐlpɐbeto
alpaka	ʔɐlpaxɐ
alpapa	ʔɐlpapɐ
alpay	ʔalpaɪ̯
alpay	ʔɐlpaɪ̯
alperes	ʔɐlpeɾes
alsa	ʔɐlsa
altapresyon	ʔɐltɐpɾeʃon
altar	ʔɐltaɾ
alternatibo	ʔɐlteɾnɐtibo
alugin	ʔɐlʊɰin
alulod	ʔɐlʊlod
alulong	ʔɐlʊloŋ
aluminyo	ʔɐlʊmiɲo
alupag	ʔɐlupɐɡ
alupag	ʔɐlʊpaɡ
alupihan	ʔɐlʊpihɐn
alusema	ʔɐlʊsemɐ
alusitha	ʔɐlʊsɪthaʔ
alvarez	ʔalbɐɾes
alviar	ʔɐlbjaɾ
alwagi	ʔɐlwaɰɪ
alyansa	ʔɐljansɐ
alyas	ʔaljɐs
alyas	ʔɐljas
am	ʔɐm
ama	ʔamɐ
ama	ʔɐma
amag	ʔamɐɡ
amain	ʔɐmain
amak	ʔamɐk
amak	ʔɐmak
amam	ʔamɐm
amama	ʔɐmamɐ
amansinaya	ʔɐmɐnsɪnajɐʔ
amante	ʔɐmante
amapola	ʔɐmɐpolɐ
amaranto	ʔɐmɐɾanto
amarilyo	ʔɐmɐɾiljo
amas	ʔɐmas
amatista	ʔɐmɐtistɐ
amba	ʔɐmbaʔ
ambag	ʔɐmbaɡ
ambi	ʔɐmbiʔ
ambisyon	ʔɐmbɪʃon
ambisyosa	ʔɐmbɪʃosɐ
ambisyoso	ʔɐmbɪʃoso
ambon	ʔɐmbon
ambubuyog	ʔɐmbʊbujoɡ
ambulansiya	ʔɐmbʊlanʃa
ambuwang	ʔɐmbwaŋ
amen	ʔɐmen
amerika	ʔɐmeɾɪxa
amerikana	ʔɐmeɾɪxanɐ
amerikano	ʔɐmeɾɪxano
amihan	ʔɐmihɐn
amil	ʔamɪl
amil	ʔɐmil
amilyar	ʔɐmɪljaɾ
amilyaramyento	ʔɐmɪljɐɾɐmjento
amin	ʔamɪn
aminado	ʔɐmɪnado
aminin	ʔɐminɪn
amis	ʔamɪs
amis	ʔɐmis
amnestiya	ʔɐmnestiɐ
amo	ʔɐmoʔ
amogis	ʔɐmoɰɪs
amonya	ʔɐmoɲɐ
amoranto	ʔɐmoɾanto
amoritis	ʔɐmoɾitɪs
amorseko	ʔɐmoɾsexo
amorsiko	ʔɐmoɾsixo
amos	ʔɐmos
amoy	ʔɐmoɪ̯
ampalaya	ʔɐmpɐlɐja
ampang	ʔɐmpaŋ
ampaw	ʔampaʊ̯
ampaw	ʔɐmpaʊ̯
amperyo	ʔɐmpeɾjo
ampibyan	ʔɐmpibjɐn
ampiteatro	ʔɐmpɪteɐtɾo
ampon	ʔɐmpon
ampunan	ʔɐmpunɐn
ampunan	ʔɐmpʊnan
amugis	ʔɐmuɰɪs
amurao	ʔɐmʊɾaʊ̯
amuyong	ʔɐmujoŋ
amyenda	ʔɐmjendɐ
amyendahan	ʔɐmjendɐhan
anahaw	ʔɐnahaʊ̯
anak	ʔanɐk
anak	ʔɐnak
anakroniko	ʔɐnɐkɾonɪxo
anakronismo	ʔɐnɐkɾonismo
analisador	ʔɐnɐlɪsɐdoɾ
analisis	ʔɐnalɪsis
analitika	ʔɐnɐlitɪxa
analitiko	ʔɐnɐlitɪxo
analohiya	ʔɐnɐlohiɐ
anaman	ʔɐnɐman
ananapla	ʔɐnɐnɐpla
anarkiya	ʔɐnɐɾkiɐ
anas	ʔɐnas
anasan	ʔanasɐn
anatomista	ʔɐnɐtomistɐ
anatomiya	ʔɐnɐtomiɐ
anatomiya	ʔɐnɐtomja
anay	ʔanaɪ̯
anayad	ʔɐnajɐd
anayin	ʔɐnajɪn
anayo	ʔɐnajo
anayo	ʔɐnajoʔ
anda	ʔandɐ
andaderas	ʔɐndɐdeɾɐs
andal	ʔɐndal
andam	ʔɐndam
andap	ʔɐndap
andar	ʔɐndaɾ
andaya	ʔɐndajɐ
andora	ʔɐndoɾɐ
anga	ʔɐŋa
anga	ʔɐŋaʔ
angal	ʔaŋɐl
angal	ʔɐŋal
angas	ʔaŋɐs
angas	ʔɐŋas
angat	ʔɐŋat
angaw	ʔaŋaʊ̯
anggo	ʔɐŋɡo
anggulo	ʔaŋɡʊlo
anghang	ʔɐŋhaŋ
anghel	ʔɐŋhel
anghit	ʔɐŋhit
angi	ʔɐŋi
angis	ʔɐŋis
angkak	ʔɐŋkak
angkan	ʔɐŋkan
angkas	ʔɐŋkas
angkat	ʔɐŋkat
angkin	ʔɐŋkin
angkla	ʔaŋklɐ
angkop	ʔɐŋkop
ango	ʔɐŋo
angot	ʔɐŋot
angpao	ʔaŋpaʊ̯
anhin	ʔɐŋhin
ani	ʔanɪ
ani	ʔɐni
anib	ʔanɪb
anibersaryo	ʔɐnɪbeɾsaɾjo
anila	ʔanɪla
anila	ʔɐnilɐ
anim	ʔanɪm
animal	ʔɐnɪmal
animnapu	ʔɐnɪmnɐpuʔ
animnaraan	ʔɐnɪmnɐɾɐʔan
aninag	ʔɐninɐɡ
aninaw	ʔɐninaʊ̯
aninaw	ʔɐnɪnaʊ̯
anino	ʔɐnino
anis	ʔɐnis
anislag	ʔɐnislɐɡ
anit	ʔanɪt
anit	ʔɐnit
anito	ʔɐnito
anito	ʔɐnɪto
aniya	ʔɐɲa
anlaw	ʔɐnlaʊ̯
anluwagi	ʔɐnlwɐɰɪ
ano	ʔɐno
anomalya	ʔɐnomɐlja
anonang	ʔɐnonɐŋ
anonas	ʔɐnonɐs
anor	ʔɐnoɾ
anos	ʔɐnos
anot	ʔɐnot
anta	ʔantɐ
anta	ʔɐnta
antabay	ʔɐntabaɪ̯
antak	ʔɐntak
antala	ʔɐntalɐ
antanda	ʔɐntɐndaʔ
antas	ʔɐntas
antay	ʔɐntaɪ̯
antena	ʔɐntenɐ
antibiyotiko	ʔɐntɪbjotɪxo
antig	ʔɐntiɡ
antik	ʔɐntik
antilope	ʔɐntilope
antipalo	ʔɐntɪpalo
antipolo	ʔɐntɪpolo
antipona	ʔɐntipona
antique	ʔɐntixe
antok	ʔɐntok
antot	ʔɐntot
antraks	ʔantɾɐks
antropolohiya	ʔɐntɾopolohiɐ
antukin	ʔɐntuxɪn
antukin	ʔɐntʊxin
anubing	ʔɐnubɪŋ
anuhin	ʔɐnʊhin
anunsiyo	ʔɐnunʃo
anunsyo	ʔɐnunʃo
anwang	ʔɐnwaŋ
anyaya	ʔɐɲɐjɐ
anyaya	ʔɐɲɐjɐʔ
anyayahan	ʔɐɲɐjahɐn
anyo	ʔaɲo
anyo	ʔɐɲoʔ
apa	ʔapɐ
apa	ʔɐpaʔ
apahap	ʔɐpahɐp
apak	ʔapɐk
apak	ʔɐpak
apalit	ʔɐpalɪt
apalya	ʔɐpɐlja
aparador	ʔɐpɐɾɐdoɾ
aparato	ʔɐpɐɾato
apat	ʔapɐt
apatnapu	ʔɐpɐtnɐpuʔ
apatnaraan	ʔɐpɐtnɐɾɐʔan
apaw	ʔapaʊ̯
apaw	ʔɐpaʊ̯
apaya	ʔɐpajɐ
apayao	ʔɐpajɐo
apayao	ʔɐpɐjaʊ̯
apdo	ʔɐpdo
apektado	ʔɐpektado
apekto	ʔɐpekto
apela	ʔɐpela
apelyido	ʔɐpeljido
apendisitis	ʔɐpendɪsitɪs
apganistan	ʔɐpɡɐnɪstan
api	ʔɐpi
apid	ʔɐpid
apihin	ʔɐpɪhin
apila	ʔɐpɪla
apilado	ʔɐpɪlado
apir	ʔɐpiɾ
apitong	ʔɐpitoŋ
aplaya	ʔɐplajɐ
aplikante	ʔɐplɪxante
aplikasyon	ʔɐplɪxɐʃon
apo	ʔɐpo
apokripos	ʔɐpokɾɪpos
apolo	ʔɐpolo
apolonio	ʔɐpolonɪo
apostasiya	ʔɐpostɐsiɐ
apostata	ʔɐpostɐta
apostol	ʔɐpostol
apostolado	ʔɐpostolado
apostoliko	ʔɐpostolɪxo
apoy	ʔɐpoɪ̯
apresasyon	ʔɐpɾesɐʃon
apresyasyon	ʔɐpɾeʃɐʃon
aprika	ʔapɾɪxɐ
aprikana	ʔɐpɾɪxanɐ
aprikano	ʔɐpɾɪxano
aprikot	ʔapɾɪxot
apritada	ʔɐpɾɪtadɐ
aproba	ʔɐpɾoba
aprobado	ʔɐpɾobado
apula	ʔɐpulɐʔ
apula	ʔɐpʊlaʔ
apura	ʔɐpʊɾa
apurado	ʔɐpʊɾado
apuybilos	ʔɐpʊɪbilos
apyak	ʔɐpjak
apyan	ʔɐpjan
aquino	ʔɐxino
arabe	ʔɐɾɐbe
arabo	ʔɐɾabo
arabya	ʔɐɾabjɐ
aral	ʔaɾɐl
aral	ʔɐɾal
aralin	ʔɐɾalɪn
aralin	ʔɐɾɐlin
aranda	ʔɐɾandɐ
arangkada	ʔɐɾɐŋkadɐ
aranya	ʔɐɾaɲɐ
aranya	ʔɐɾɐɲa
arap	ʔaɾɐp
araro	ʔɐɾaɾo
araru	ʔɐɾɐɾu
aras	ʔaɾɐs
aratiles	ʔɐɾatɪles
aratilis	ʔɐɾatɪlis
araw	ʔaɾaʊ̯
araw	ʔɐɾaʊ̯
arawan	ʔɐɾawɐn
arawan	ʔɐɾɐwan
aray	ʔɐɾaɪ̯
arañas	ʔɐɾaɲɐs
arcega	ʔɐɾseɰɐ
arcilla	ʔɐɾsillɐ
arcillas	ʔɐɾsillɐs
arcinas	ʔɐɾsinɐs
ardilya	ʔɐɾdiljɐ
are	ʔɐɾe
areglo	ʔɐɾeɡlo
arellano	ʔɐɾeljɐno
arenas	ʔɐɾenɐs
arestado	ʔɐɾestado
aresto	ʔɐɾesto
arevalo	ʔɐɾebɐlo
argente	ʔɐɾhente
argolya	ʔɐɾɡoljɐ
argumento	ʔɐɾɡʊmento
arhentina	ʔɐɾhentinɐ
ari	ʔaɾɪʔ
ari	ʔɐɾe
ari	ʔɐɾi
arilyos	ʔɐɾiljos
arina	ʔɐɾinɐ
aristoteles	ʔɐɾɪstoteles
arkanghel	ʔɐɾkaŋhel
arkanghel	ʔɐɾkɐŋhel
arkeologo	ʔɐɾkeoloɰo
arkeolohiya	ʔɐɾkeolohiɐ
arkila	ʔaɾkɪla
arkitekto	ʔɐɾkɪtekto
arkitektura	ʔɐɾkɪtektuɾɐ
armadilyo	ʔɐɾmɐdiljo
armado	ʔɐɾmado
armalayt	ʔaɾmɐlaɪ̯t
armas	ʔaɾmɐs
armas	ʔɐɾmas
armenya	ʔɐɾmeɲɐ
arminyo	ʔɐɾmiɲo
armonika	ʔɐɾmonɪxa
arnibal	ʔɐɾnibɐl
arnis	ʔɐɾnis
arogante	ʔɐɾoɰante
aroma	ʔɐɾomɐ
aroskaldo	ʔɐɾoskaldo
arpiya	ʔɐɾpiɐ
arquiza	ʔɐɾkisɐ
arriola	ʔɐɾiolɐ
arrogante	ʔɐɾoɰante
arroyo	ʔɐɾojo
arseniko	ʔɐɾsenɪxo
arsilya	ʔɐɾsiljɐ
arsobispado	ʔɐɾsobɪspado
arsobispo	ʔɐɾsobispo
artiaga	ʔɐɾʃɐɰɐ
artikulo	ʔɐɾtixʊlo
artipisyal	ʔɐɾtɪpɪʃal
artista	ʔɐɾtistɐ
arwa	ʔɐɾwaʔ
arya	ʔaɾjɐ
arzadon	ʔɐɾsadon
asa	ʔasɐ
asada	ʔɐsadɐ
asahan	ʔɐsahɐn
asal	ʔasɐl
asam	ʔɐsam
asamblea	ʔɐsɐmblejɐ
asambleista	ʔɐsɐmbleʔistɐ
asanorya	ʔɐsɐnoɾjɐ
asap	ʔasɐp
asap	ʔɐsap
asar	ʔɐsaɾ
asarol	ʔɐsɐɾol
asawa	ʔɐsawɐ
asbesto	ʔɐsbesto
asbok	ʔɐsbok
asendero	ʔɐsendeɾo
asenso	ʔɐsenso
aserbayan	ʔɐseɾbɐjan
asido	ʔasɪdo
asignatura	ʔɐsɪɡnɐtuɾɐ
asikaso	ʔɐsɪxaso
asilo	ʔɐsilo
asim	ʔasɪm
asin	ʔɐsin
asindero	ʔɐsɪndeɾo
asinta	ʔɐsɪnta
asiwa	ʔɐsiwɐʔ
asiwa	ʔɐsɪwaʔ
askal	ʔaskɐl
asngal	ʔɐsŋal
aso	ʔɐso
asog	ʔɐsoɡ
asoge	ʔɐsoɰe
asosasyon	ʔɐsosɐʃon
aspalto	ʔɐspalto
aspekto	ʔɐspekto
aspeto	ʔɐspeto
aspile	ʔɐspɪle
aspin	ʔaspɪn
aspirina	ʔɐspɪɾinɐ
asta	ʔastɐ
asta	ʔɐstaʔ
astaka	ʔɐstaxɐʔ
astaka	ʔɐstɐxaʔ
astig	ʔɐstiɡ
