'ch	χ
adardai	adardai̯
adardy	adardɨ̞
adareg	adarɛɡ
adaregol	adarɛɡɔl
adaregwyr	adarɛɡwɨ̞r
adaregydd	adarɛɡɨ̞ð
adargi	adarɡɪ
adargraffiad	adarɡrafjad
adargraffiadau	adarɡrafjada
adargraffiadau	adarɡrafjadaɨ̯
adargraffiadau	adarɡrafjadɛ
adargraffu	adarɡrafɨ̞
adargwn	adarɡʊn
adarwr	adarʊr
adarwyr	adarwɨ̞r
adarydd	adarɨ̞ð
adarydda	adarəða
adaryddiaeth	adarəðjaɨ̯θ
adaryddiaeth	adarəðjɛθ
adaryddion	adarəðjɔn
adawed	adau̯ɛd
adborth	adbɔrθ
adborthion	adbɔrθjɔn
addas	aðas
addasu	aðasɨ̞
addawa	aðau̯a
addaweb	aðau̯ɛb
addef	aðɛv
addo	aðɔ
addoldy	aðɔldɨ̞
addolgar	aðɔlɡar
addoliad	aðɔljad
addolwr	aðɔlʊr
addurn	aðɨ̞rn
addurno	aðɨ̞rnɔ
addysg	aðɨ̞sɡ
addysgu	aðəsɡɨ̞
adeg	adaɡ
adeg	adɛɡ
adegau	adɛɡa
adegau	adɛɡaɨ̯
adegau	adɛɡɛ
adeilad	adei̯lad
adeiladaeth	adei̯ladaɨ̯θ
adeiladaeth	adei̯ladɛθ
adeiladol	adei̯ladɔl
adeiladu	adei̯ladɨ̞
adeiladwaith	adei̯ladwai̯θ
adeiladwaith	adei̯ladwɛθ
adeiladweithiau	adei̯ladwei̯θja
adeiladweithiau	adei̯ladwei̯θjaɨ̯
adeiladweithiau	adei̯ladwei̯θjɛ
adeiladwr	adei̯ladʊr
adeiladwyr	adei̯ladwɨ̞r
adeiniog	adei̯njɔɡ
aden	adɛn
adenedigaeth	adɛnɛdɪɡaɨ̯θ
adenedigaeth	adɛnɛdɪɡɛθ
adenedigaethau	adɛnɛdɪɡeɨ̯θa
adenedigaethau	adɛnɛdɪɡeɨ̯θaɨ̯
adenedigaethau	adɛnɛdɪɡeɨ̯θɛ
adennill	adɛnɪɬ
adenydd	adɛnɨ̞ð
aderyn	adɛrɨ̞n
aderyn	dɛrɨ̞n
aderyn du	adɛrɨ̞ndɨː
aderyn du	dɛrɨ̞ndɨː
aderyn y bwn	adɛrɨ̞nəbʊn
adfail	advai̯l
adfeddiannu	advɛðjanɨ
adfeiliad	advei̯ljad
adfeiliadau	advei̯ljada
adfeiliadau	advei̯ljadaɨ̯
adfeiliadau	advei̯ljadɛ
adfeiliedig	advei̯ljɛdɪɡ
adfeilio	advei̯ljɔ
adfeilion	advei̯ljɔn
adfent	advɛnt
adfer	advar
adfer	advɛr
adferadwy	advɛradʊɨ̯
adferaf	advɛra
adferaf	advɛrav
adferant	advɛrant
adferent	advɛrɛnt
adferf	advɛrv
adferfol	advɛrvɔl
adferiad	advɛrjad
adferiadau	advɛrjada
adferiadau	advɛrjadaɨ̯
adferiadau	advɛrjadɛ
adferiadwyr	advɛrjadəðwɨ̞r
adferiadydd	advɛrjadɨ̞ð
adferiadyddion	advɛrjadəðjɔn
adferiedydd	advɛrjɛdɨ̞ð
adfero	advɛrɔ
adferol	advɛrɔl
adferwr	advɛrʊr
adferwyr	advɛrwɨ̞r
adfilwr	advɪlʊr
adfilwyr	advɪlwɨ̞r
adflas	advlas
adflasau	advlasa
adflasau	advlasaɨ̯
adflasau	advlasɛ
adfyd	advɨ̞d
adfydau	advəda
adfydau	advədaɨ̯
adfydau	advədɛ
adfydus	advədɨ̞s
adfyw	advɨ̞u̯
adfywiad	advɨ̞u̯jad
adfywiadau	advɨ̞u̯jada
adfywiadau	advɨ̞u̯jadaɨ̯
adfywiadau	advɨ̞u̯jadɛ
adfywio	advɨ̞u̯jɔ
adfywiol	advɨ̞u̯jɔl
adio	adjɔ
adladd	adlað
adlais	adlai̯s
adlam	adlam
adlamau	adlama
adlamau	adlamaɨ̯
adlamau	adlamɛ
adlamu	adlamɨ̞
adlaw	adlau̯
adlef	adlɛv
adlefau	adlɛva
adlefau	adlɛvaɨ̯
adlefau	adlɛvɛ
adleisiau	adlei̯ʃa
adleisiau	adlei̯ʃaɨ̯
adleisiau	adlei̯ʃɛ
adleisio	adlei̯ʃɔ
adlyn	adlɨ̞n
adlynol	adlənɔl
adlynu	adlənɨ̞
adlŷn	adlɨːn
adnabod	adnabɔd
adnabyddant	adnabəðant
adnabyddi	adnabəðɪ
adnabyddus	adnabəðɨ̞s
adnabyddwch	adnabəðʊχ
adnabyddwn	adnabəðʊn
adnebydd	adnɛbɨ̞ð
adnodd	adnɔð
adolygu	adɔləɡɨ̞
adra	adra
adran	adran
adre	adra
adre	adrɛ
adref	adra
adref	adrɛ
adref	adrɛv
adrodd	adrɔð
adroddaf	adrɔða
adroddaf	adrɔðav
adroddiad	adrɔðjad
adwaen	adwaɨ̯n
adwaenai	adweɨ̯nai̯
adwaenant	adweɨ̯nant
adwaenech	adweɨ̯nɛχ
adwaenem	adweɨ̯nɛm
adwaenent	adweɨ̯nɛnt
adwaenid	adweɨ̯nɪd
adwaenir	adweɨ̯nɪr
adwaenit	adweɨ̯nɪt
adwaenoch	adweɨ̯nɔχ
adwaenom	adweɨ̯nɔm
adwaenost	adweɨ̯nɔsd
adwaenwch	adweɨ̯nʊχ
adwaenwn	adweɨ̯nʊn
adwaenynt	adweɨ̯nɨ̞nt
adweinaf	adwei̯nav
adweini	adwei̯ni
adweinid	adwei̯nɪd
adweinir	adwei̯nɪr
adweitheg	adwei̯θɛɡ
adweithegwyr	adwei̯θɛɡwɨ̞r
adweithegydd	adwei̯θɛɡɨ̞ð
adwen	adwɛn
adwthio	adʊθjɔ
aeaf	eɨ̯a
aeaf	eɨ̯av
aech	aːɨ̯χ
aed	aːɨ̯d
aeddfed	aɨ̯ðvɛd
ael	aːɨ̯l
aeled	eɨ̯lɛd
aelod	eɨ̯lɔd
aelod cynulliad	eɨ̯lɔdkənɨ̞ɬjad
aelod o'r senedd	eɨ̯lɔdɔrsɛnɛð
aelod seneddol	eɨ̯lɔdsɛnɛðɔl
aelwyd	eɨ̯lʊɨ̯d
aem	aːɨ̯m
aen	aːɨ̯n
aent	aːɨ̯nt
aer	aːɨ̯r
aeron	eɨ̯rɔn
aeronen	eɨ̯rɔnan
aeronen	eɨ̯rɔnɛn
aet	aːɨ̯t
aeth	aːɨ̯θ
aeth	aːθ
aethai	eɨ̯θai̯
aethant	eɨ̯θant
aethech	eɨ̯θɛχ
aethem	eɨ̯θɛm
aethent	eɨ̯θɛnt
aethid	eɨ̯θɪd
aethit	eɨ̯θɪt
aethnen	eɨ̯θnɛn
aethnenni	eɨ̯θnɛni
aethoch	eɨ̯θɔχ
aethom	eɨ̯θɔm
aethon	eɨ̯θɔn
aethont	eɨ̯θɔnt
aethost	eɨ̯θɔsd
aethpwyd	eɨ̯θpʊɨ̯d
aethwn	eɨ̯θʊn
aetsh	aːɨ̯tʃ
af	aː
af	aːv
afal	aval
afal cariad	avalkarjad
afalau	avala
afalau	avalaɨ̯
afalau	avalɛ
afalau	vala
afalau	valɛ
afalau cariad	avalakarjad
afalau cariad	avalaɨ̯karjad
afalau cariad	avalɛkarjad
afallen	avaɬɛn
afan	avan
afanc	avaŋk
afancod	avaŋkɔd
afanen	avanɛn
affrica	afrɪka
affwys	afʊɨ̯s
affwysedd	afʊɨ̯sɛð
affwysol	afʊɨ̯sɔl
afiach	avjaχ
aflafar	avlavar
aflwyddiannus	avlʊɨ̯ðjanɨ̞s
afocado	avɔkadɔ
afocados	avɔkadɔs
afon	avɔn
afonfarch	avɔnvarχ
afonfeirch	avɔnvei̯rχ
afr	avr
afraid	avrai̯d
afreolaidd	avrɛɔlai̯ð
afreolaidd	avrɛɔlɛð
afu	avɨ̞
ag	aɡ
ager	aɡɛr
agerddlong	aɡɛrðlɔŋ
agerlong	aɡɛrlɔŋ
agerlongau	aɡɛrlɔŋa
agerlongau	aɡɛrlɔŋaɨ̯
agerlongau	aɡɛrlɔŋɛ
agor	aɡɔr
agora	aɡɔra
agoraf	aɡɔra
agoraf	aɡɔrav
agorai	aɡɔrai̯
agoret	aɡɔrɛt
agori	aɡɔri
agoriad	aɡɔrjad
agos	aɡɔs
agosáu	aɡɔsaɨ̯
agweddi	aɡwɛðɪ
ai	ai̯
aidd	ai̯ð
aiff	ai̯f
aifft	ai̯ft
ail	ai̯l
aildrefnu	ai̯ldrevnɨ̞
ailfeddiannu	ai̯lvɛðjanɨ̞
aillt	ai̯ɬd
ailosod	ai̯lɔsɔd
ailwampio	ai̯lwampjɔ
air	ai̯r
ais	ai̯s
ait	ai̯t
alan	alan
alannon	alanɔn
alar	alar
alar	aːlar
alarch	alarχ
alaw	alau̯
alban	alban
alban arthan	albanarθan
alban cyntefin	albankəntɛvɪn
alban eilir	albanei̯lɪr
alban elfed	albanɛlvɛd
alban hefin	albanhɛvɪn
alban hyfed	albanhəvɛd
albanau	albana
albanau	albanaɨ̯
albanau	albanɛ
albaneg	albanɛɡ
albwm	albʊm
alfarch	alvarχ
all	aɬ
alla	aɬa
allai	aɬai̯
allai	aɬɛ
allan	aɬan
allanfa	aɬanva
allanfa dân	aɬanvadaːn
allanol	aɬanɔl
allant	aɬant
allblyg	aɬblɨ̞ɡ
allen	aɬɛn
aller	aɬɛr
allforiadwy	aɬvɔrjadʊɨ̯
allforio	aɬvɔrjɔ
allforion	aɬvɔrjɔn
allforiwr	aɬvɔrjʊr
allforwyr	aɬvɔrwɨ̞r
allforyn	aɬvɔrɨ̞n
allfudo	aɬvɨ̞dɔ
allgofnodi	aɬɡɔvnɔdi
alli	aɬi
allo	aɬɔ
allor	aɬɔr
allt	aːɬd
alltud	aɬdɨ̞d
allwedd	aɬwɛð
allweddell	aɬwɛðɛɬ
allwthio	aɬʊθjɔ
almaen	əralmaɨ̯n
almaeneg	almeɨ̯nɛɡ
almaenwr	almeɨ̯nʊr
almanac	almanak
alwminiwm	alʊmɪnjʊm
am	am
am byth	ambɨːθ
amaethyddiaeth	ameɨ̯θəðjaɨ̯θ
amaethyddiaeth	ameɨ̯θəðjɛθ
amanita	amanɪta
amanita benfelen	amanɪtabɛnvɛlɛn
amanita borffor	amanɪtabɔrfɔr
amanita droednoeth	amanɪtadrɔɨ̯dnɔɨ̯θ
amanita'r gwybed	amanɪtarɡwəbɛd
amau	ama
amau	amaɨ̯
amau	amɛ
ambell	ambaɬ
ambell	ambɛɬ
ambeutu	ambeɨ̯tɨ̞
ambiti	ambɪtɪ
ambiwlans	ambɪu̯lans
amcan	amkan
amcangyfrif	amkaŋɡəvrɪ
amcangyfrif	amkaŋɡəvrɪv
amddiffyn	amðɪfɨ̞n
amddiffynnaf	amðɪfənav
ameba	amɛba
america	amɛrɪka
amethyst	amɛθɨ̞sd
amffibiad	amfɪbjad
amguedd	amɡɨ̞ɛð
amgueddfa	amɡɨ̞ɛðva
amgyffred	amɡəfrɛd
amgylch	amɡɨ̞lχ
amgylchedd	amɡəlχɛð
amgylcheddol	amɡəlχɛðɔl
amgáu	amɡaɨ̯
amhenodol	amhɛnɔdɔl
amheuaeth	amheɨ̯aɨ̯θ
amheuaeth	amheɨ̯ɛθ
amheuaf	amheɨ̯a
amheuaf	amheɨ̯av
amlach	amlaχ
amlen	amlɛn
amlwg	amlʊɡ
amnewid	annɛu̯ɪd
amobr	amɔbr
amod	amɔd
amodi	amɔdi
amodiad	amɔdjad
amrant	amrant
amrantiad	amrantjad
amrwd	amrʊd
amryw	amrɨu̯
amryw	amrɪu̯
amrywedd	amrɨu̯jɛð
amrywedd	amrɪu̯jɛð
amrywiad	amrɨu̯jad
amrywiad	amrɪu̯jad
amrywiaeth	amrɨu̯jaɨ̯ð
amrywiaeth	amrɨu̯jɛθ
amrywiaeth	amrɪu̯jaɨ̯ð
amrywiaeth	amrɪu̯jɛθ
amrywio	amrɨu̯jɔ
amrywio	amrɪu̯jɔ
amrywiol	amrɨu̯jɔl
amrywiol	amrɪu̯jɔl
amser	amsar
amser	amsɛr
amserlen	amsɛrlɛn
amserlenni	amsɛrlɛni
amwythig	amʊɨ̯θɪɡ
anabl	anabl
anabledd	anablɛð
anableddau	anablɛða
anableddau	anablɛðaɨ̯
anableddau	anablɛðɛ
anadlu	anadlɨ
anaf	anav
anafa	anava
anafai	anavai̯
anafais	anavai̯s
anafais	anavɛs
anafais	anavɪʃ
anafes	anavɛs
anafu	anavɨ
anawsterau	anau̯sdɛra
anawsterau	anau̯sdɛraɨ̯
anawsterau	anau̯sdɛrɛ
aneiriol	anei̯rjɔl
anelu	anɛlɨ
anfantais	anvantai̯s
anfantais	anvantɛs
anfanteision	anvantei̯ʃɔn
anffodus	anfɔdɨ̞s
anffurfiol	anfɨ̞rvjɔl
anfon	anvɔn
anfonaf	anvɔnav
angel	aŋal
angel	aŋɛl
angen	aŋan
angen	aŋɛn
angharad	aŋharad
angheuol	aŋheɨ̯ɔl
anghlod	aŋhlɔd
anghlodwiw	aŋhlɔdwɪu̯
anghofio	aŋhɔvjɔ
anghofrwydd	aŋhɔvrʊɨ̯ð
anghofus	aŋhɔvɨ̞s
anghofuster	aŋhɔvɨ̞sdɛr
anghydfod	aŋhədvɔd
anghydradd	aŋhədrað
anghydraddoldeb	aŋhədraðɔldɛb
anghydsynio	aŋhɨ̞dsənjɔ
anghydweld	aŋhɨ̞dwɛld
anghydwelediad	aŋhɨ̞dwɛlɛdjad
anghyfartal	aŋhəvartal
anghyflawn	aŋhəvlau̯n
anghyflogaeth	aŋhəvlɔɡaɨ̯θ
anghyflogaeth	aŋhəvlɔɡɛθ
anghyfreithlon	aŋhəvrei̯θlɔn
anghymdeithasol	aŋhəmdei̯θasɔl
anghymreigio	aŋhəmrei̯ɡjɔ
anghyseinedd	aŋhəsei̯nɛð
anghytgord	aŋhətɡɔrd
anghytuno	aŋhətɨnɔ
anghytuno	aŋətɨnɔ
anghywir	aŋhəu̯ɪr
angladd	aŋlað
angladdau	aŋlaða
angladdau	aŋlaðaɨ̯
angladdau	aŋlaðɛ
angof	aŋɔv
angylaidd	aŋəlai̯ð
angylaidd	aŋəlɛð
angyles	aŋəlɛs
angylesau	aŋəlɛsa
angylesau	aŋəlɛsaɨ̯
angylesau	aŋəlɛsɛ
angylion	aŋəljɔn
anhawster	anhau̯sdar
anhawster	anhau̯sdɛr
anialwch	anjalʊχ
anifail	anɪvai̯l
anifail	anɪvɛl
animeiddiad	anɪmei̯ðjad
animeiddiadau	anɪmei̯ðjjada
animeiddiadau	anɪmei̯ðjjadaɨ̯
animeiddiadau	anɪmei̯ðjjadɛ
animeiddio	anɪmei̯ðjɔ
animeiddiwr	anɪmei̯ðjʊr
animeiddwyr	anɪmei̯ðwɨ̞r
annedd	anað
annedd	anɛð
anner	anɛr
annerch	anɛrχ
annherfynol	anhɛrvənɔl
annog	anɔɡ
annwyd	anʊɨ̯d
annwyl	anʊɨ̯l
anobaith	anɔbaiθ
anobaith	anɔbɛθ
anobeithiau	anɔbei̯θja
anobeithiau	anɔbei̯θjaɨ̯
anobeithiau	anɔbei̯θjɛ
anobeithio	anɔbei̯θjɔ
anobeithiol	anɔbei̯θjɔl
anodd	anɔð
anoddach	anɔðaχ
anoddaf	anɔða
anoddaf	anɔðav
anodded	anɔðɛd
anogaf	anɔɡa
anogaf	anɔɡav
anrheg	anr̥ɛɡ
anrhydeddu	anr̥ədɛðɨ
ansawdd	ansau̯ð
ansoddair	ansɔðai̯r
antimoni	antɪmɔni
anuniongyrchol	anɨ̞njɔŋɡərχɔl
anweddu	anwɛðɨ
anwybyddu	anwɨ̞bəðɨ
ap	ap
apêl	apeːl
ar	ar
ar agor	araɡɔr
ar amrantiad	aramrantjad
ar bwys	arbuːɨ̯s
ar daith	ardai̯θ
ar draws	ardrau̯s
ar dân	ardaːn
ar gau	arɡaɨ̯
ar gof a chadw	arɡoːvaχadu
ar gyfer	arɡəvar
ar gyfer	arɡəvɛr
ar hyn o bryd	arhɨ̞nɔbrɨːd
ar werth	arwɛrθ
ar ôl	aroːl
arad	arad
aradr	arad
aradr	aradr
araf	ara
araf	arav
arall	araɬ
aran	aran
arbed	arbɛd
arbedaf	arbɛda
arbedaf	arbɛdav
arch	arχ
archangel	arχaŋal
archangel	arχaŋɛl
archangylion	arχaŋəljɔn
archeb	arχɛb
archebion	arχɛbjɔn
archebu	arχɛbɨ
archfarchnad	arχvarχnad
archseren	arχsɛrɛn
ardal	ardal
ardaloedd	ardalɔɨ̯ð
ardd	arð
ardd	aːrð
arddaf	arðav
arddangosfa	arðaŋɡɔsva
arddangosfeydd	arðaŋɡɔsveɨ̯ð
arddelw	arðɛl
arddelw	arðɛlw
ardderchog	arðɛrχɔɡ
arddwrn	arðʊrn
aredaf	arɛda
aredaf	arɛdav
aredig	arɛdɪɡ
aren	arɛn
arestio	arɛstjɔ
arf	arv
arfau	arva
arfau	arvaɨ̯
arfau	arvɛ
arfedd	arvað
arfedd	arvɛð
arfeddog	arvɛðɔɡ
arfer	arvar
arfer	arvɛr
arglwydd	arɡlʊɨ̯ð
argoel	arɡɔɨ̯l
argoelion	arɡɔi̯ljɔn
argoelion	arɡɔɨ̯ljɔn
argraff	arɡraf
argraffiad	arɡrafjad
argraffiadaeth	arɡrafjadaɨ̯θ
argraffiadaeth	arɡrafjadɛθ
argraffiadol	arɡrafjadɔl
argraffiadol	arɡrafjaːdɔl
argraffiadwyr	arɡrafjadwɨ̞r
argraffiadydd	arɡrafjadɨ̞ð
argraffu	arɡrafɨ
argraffwr	arɡrafʊr
argraffwyr	arɡrafwɨ̞r
argraffydd	arɡrafɨ̞ð
argraffyddion	arɡrafəðjɔn
argrafiadau	arɡrafjada
argrafiadau	arɡrafjadaɨ̯
argrafiadau	arɡrafjadɛ
arholi	arhɔlɪ
arholiad	arhɔljad
arholiadau	arhɔljada
arholiadau	arhɔljadaɨ̯
arholiadau	arhɔljadɛ
arholiadau	arɔljada
arholiadau	arɔljadɛ
arhosaf	arhɔsav
arhosan	arhɔsan
arhosfa	arhɔsva
arhoswch	arhɔsʊχ
arian	arjan
arian parod	arjamparɔd
ariannin	ərarjanɪn
ariannog	arjanɔɡ
arllwys	arɬʊɨ̯s
arllwysaf	arɬʊɨ̯sa
arllwysaf	arɬʊɨ̯sav
arlwy	arluɨ̯
armenia	armɛnja
arna	arna
arnat	arnat
arni	arnɪ
arno	arnɔ
arolwg	arɔlʊɡ
arolygiad	arɔləɡjad
arolygiadau	arɔləɡjada
arolygiadau	arɔləɡjadaɨ̯
arolygiadau	arɔləɡjadɛ
arolygiaeth	arɔləɡjaɨ̯θ
arolygiaeth	arɔləɡjɛθ
arolygiaethau	arɔləɡjeɨ̯θa
arolygiaethau	arɔləɡjeɨ̯θaɨ̯
arolygiaethau	arɔləɡjeɨ̯θɛ
arolygol	arɔləɡɔl
arolygon	arɔləɡɔn
arolygu	arɔləɡɨ
arolygwr	arɔləɡʊr
arolygwyr	arɔləɡwɨ̞r
arolygydd	arɔləɡɨ̞ð
aromatherapi	arɔmaθɛrapi
aromatherapydd	arɔmaθɛrapɨ̞ð
aromatherapyddion	arɔmaθɛrapəðjɔn
aros	arɔs
arosfa	arɔsva
arosfeydd	arɔsveɨ̯ð
arswyd	arsʊɨ̯d
arswydau	arsʊɨ̯da
arswydau	arsʊɨ̯daɨ̯
arswydau	arsʊɨ̯dɛ
arswydo	arsʊɨ̯dɔ
arswydus	arsʊɨ̯dɨ̞s
arth	arθ
arth fach	arθvaːχ
arth fawr	arθvau̯r
arth fwyaf	arθvʊɨ̯a
arth fwyaf	arθvʊɨ̯av
arthan	arθan
arwain	arwai̯n
arwain	arwɛn
arweiniad	arwei̯njad
arweinydd	arwei̯nɨ̞ð
arweinyddion	arwei̯nəðjɔn
arwerthiannau	arwɛrθjana
arwerthiannau	arwɛrθjanaɨ̯
arwerthiannau	arwɛrθjanɛ
arwerthiant	arwɛrθjant
arwerthu	arwɛrθɨ
arwerthwr	arwɛrθʊr
arwerthwyr	arwɛrθwɨ̞r
arwydd	arwɨ̞ð
arwydd	arʊɨ̯ð
arwynebedd	arwɨ̞nɛbɛð
asen	asɛn
asesiad	asɛʃad
asesiadau	asɛʃada
asesiadau	asɛʃadaɨ̯
asesiadau	asɛʃadɛ
asesu	asɛsɨ
aseswr	asɛsʊr
aseswyr	asɛswɨ̞r
asgell	asɡaɬ
asgell	asɡɛɬ
asgell fraith	asɡɛɬvrai̯θ
asgellog	asɡɛɬɔɡ
asgwrn	asɡʊrn
asid	asɪd
astrus	asdrɨ̞s
astrusi	asdrɨ̞si
asyn	asɨ̞n
at	at
ata	ata
atal	atal
atalfa	atalva
atalfeydd	atalveɨ̯ð
atalnod	atalnɔd
atborth	atbɔrθ
atborthion	atbɔrθjɔn
ateb	atab
ateb	atɛb
atebaf	atɛba
atebaf	atɛbav
ateli	atɛli
atelid	atɛlɪd
atgoffa	atɡɔfa
athematig	aθɛmatɪɡ
athrawes	aθrau̯as
athrawes	aθrau̯ɛs
athrawesau	aθrau̯ɛsa
athrawesau	aθrau̯ɛsaɨ̯
athrawesau	aθrau̯ɛsɛ
athrawon	aθrau̯ɔn
athref	aθrɛv
athrefi	aθrɛvɪ
athrefig	aθrɛvɪɡ
athro	aθrɔ
athrod	aθrɔd
athrodi	aθrɔdɨ
athrodus	aθrɔdɨ̞s
athrodwr	aθrɔdʊr
ati	ati
ato	atɔ
aton	atɔn
atsain	atsai̯n
atseiniau	atsei̯nja
atseiniau	atsei̯njaɨ̯
atseiniau	atsei̯njɛ
atseinio	atsei̯njɔ
aur	aɨ̯r
awch	au̯χ
awchus	au̯χɨ̞s
awd	au̯d
awdl	au̯dl
aweddwr	au̯ɛðʊr
awen	au̯ɛn
awgrym	au̯ɡrɨ̞m
awgrymiad	au̯ɡrəmjad
awgrymog	au̯ɡrəmɔɡ
awgrymu	au̯ɡrəmɨ
awn	au̯n
awr	au̯r
awst	au̯sd
awstralia	au̯sdralja
awstria	au̯strja
awtistiaeth	au̯tɪsdjaɨ̯θ
awtistiaeth	au̯tɪsdjɛθ
awtistig	au̯tɪsdɪɡ
awydd	au̯ɨ̞ð
awyddus	au̯əðɨ̞s
awyr	au̯ɨ̞r
awyren	au̯ərɛn
awyrgylch	au̯ərɡɨ̞lχ
awyrgylchoedd	au̯ərɡəlχɔɨ̯ð
baban	baban
babell	babaɬ
babell	babɛɬ
babi	babɪ
babis	babɪs
babŵn	babuːn
bach	baːχ
bachan	baχan
bachau	baχa
bachau	baχaɨ̯
bachwr	baːχʊr
bae	baːɨ̯
baedd	baːɨ̯ð
baet	baːɨ̯t
bag	baɡ
bagét	baɡɛt
baidd	bai̯ð
baith	bai̯θ
bambŵ	bambuː
ban	ban
banana	banana
banc	baŋk
bancio	baŋkjɔ
bancio	baŋkɔ
band	band
band eang	bandeːaŋ
band llydan	bandɬədan
bandiau	bandja
bandiau	bandjaɨ̯
bandiau	bandjɛ
baned	banad
baned	banɛd
bangor	baŋɡɔr
banjo	band͡ʒɔ
banllawr	banɬau̯r
bant	bant
bapur	bapɨ̞r
bara	bara
baratoi	baratɔi̯
barbeciw	barbɛkɪu̯
barbeciwiau	barbɛkɪu̯ja
barbeciwiau	barbɛkɪu̯jaɨ̯
barbeciwiau	barbɛkɪu̯jɛ
barbeciwio	barbɛkɪu̯jɔ
barbeciws	barbɛkɪu̯s
barc	bark
barcud	barkɨ̞d
bardd	barð
barf	barv
barfog	barvɔɡ
bargeinio	barɡəi̯njɔ
bargen	barɡɛn
barhau	barhaɨ̯
barn	barn
barnau	barna
barnau	barnaɨ̯
barnau	barnɛ
barnu	barnɨ
barnwr	barnʊr
barod	barɔd
barotach	barɔtaχ
baroted	barɔtɛd
barus	barɨ̞s
bas	baːs
basen	basan
basen	basɛn
basen	bəsan
basen	bəsɛn
basen	san
basen	sɛn
basged	basɡad
basged	basɡɛd
basio	baʃɔ
basta	basda
bastai	basdai̯
bath	baːθ
bathdai	baθdai̯
bathdy	baθdɨ̞
baths	baθs
baw	baːu̯
bawdd	bau̯ð
bawn	bau̯n
be'	beː
be'	bɛ
bechan	bɛχan
becws	bɛkʊs
bedd	beːð
bedol	bɛdɔl
bedr	bɛdr
bedw	bɛdu
bedwar	bɛdwar
bedwen	bɛdwan
bedwen	bɛdwɛn
bei	bei
beibl	bei̯bl
beic	bei̯k
beichiog	bei̯χjɔɡ
