ա	ɑ
աբուռ	ɑpʰuɾ
աբսոլյուտ	ɑpʰsɔlʏd
աբսոլյուտիզմ	ɑpʰsɔlʏdizm
աբսորբել	ɑpʰsɔɾpʰɛl
աբսուրդ	ɑpʰsuɾtʰ
աբստրակտ	ɑpʰstɾɑɡd
աբստրակցիա	ɑpʰstɾɑkʰt͡sʰjɑ
աբստրահել	ɑpʰstɾɑhɛl
աբստրահում	ɑpʰstɾɑhum
աբստրահվել	ɑpʰstɾɑhvɛl
աբրա	ɑpʰɾɑ
աբրահամ	ɑpʰɾɑhɑm
աբրահամյան	ɑpʰɾɑhɑmjɑn
աբրամ	ɑpʰɾɑm
աբրեշում	ɑpʰɾɛʃum
աբրեշումե	ɑpʰɾɛʃumɛ
աբրուցցո	ɑpʰɾut͡sʰːɔ
աբքայք	ɑpʰkʰɑjkʰ
ագա	ɑkʰɑ
ագաթ	ɑkʰɑtʰ
ագահ	ɑkʰɑh
ագահաբար	ɑkʰɑhɑpʰɑɾ
ագահանալ	ɑkʰɑhɑnɑl
ագահել	ɑkʰɑhɛl
ագահորեն	ɑkʰɑhɔɾɛn
ագահություն	ɑkʰɑhutʰʏn
ագամեմնոն	ɑkʰɑmɛmnɔn
ագանյա	ɑkʰɑnjɑ
ագատ	ɑkʰɑd
ագարակ	ɑkʰɑɾɑɡ
ագարականալ	ɑkʰɑɾɑɡɑnɑl
ագարակացնել	ɑkʰɑɾɑɡɑt͡sʰənɛl
ագարտալա	ɑkʰɑɾdɑlɑ
ագեվազ	ɑkʰɛvɑz
ագի	ɑkʰi
ագինսկոյե	ɑkʰinskɔjɛ
ագն	ɑkʰənə
ագնոստիկ	ɑkʰnɔstiɡ
ագնոստիցիզմ	ɑkʰnɔstit͡sʰizm
ագոն	ɑkʰɔn
ագույց	ɑkʰujt͡sʰ
ագուռ	ɑkʰuɾ
ագուցահանել	ɑkʰut͡sʰɑhɑnɛl
ագուցանել	ɑkʰut͡sʰɑnɛl
ագուցավորել	ɑkʰut͡sʰɑvɔɾɛl
ագուցել	ɑkʰut͡sʰɛl
ագուցվել	ɑkʰut͡sʰvɛl
ագռավ	ɑkʰɾɑv
ագռավանալ	ɑkʰɾɑvɑnɑl
ագրեգատավորել	ɑkʰɾɛkʰɑdɑvɔɾɛl
ագրեսիա	ɑkʰɾɛsjɑ
ագրիպպաս	ɑkʰɾibːɑs
ադամ	ɑtʰɑm
ադամաթուզ	ɑtʰɑmɑtʰuz
ադամանդ	ɑtʰɑmɑntʰ
ադամանդագործ	ɑtʰɑmɑntʰɑkʰɔɾd͡z
ադամանդագործական	ɑtʰɑmɑntʰɑkʰɔɾd͡zɑɡɑn
ադամանդագործություն	ɑtʰɑmɑntʰɑkʰɔɾd͡zutʰʏn
ադամանդել	ɑtʰɑmɑntʰɛl
ադամանդվել	ɑtʰɑmɑntʰvɛl
ադանա	ɑtʰɑnɑ
ադլեր	ɑtʰlɛɾ
ադոնց	ɑtʰɔnt͡sʰ
ադրբեջան	ɑtʰəɾpʰɛt͡ʃʰɑn
ադրբեջանական	ɑtʰəɾpʰɛt͡ʃʰɑnɑɡɑn
ադրբեջաներեն	ɑtʰəɾpʰɛt͡ʃʰɑnɛɾɛn
ադրբեջանցի	ɑtʰəɾpʰɛt͡ʃʰɑnt͡sʰi
ադրիանապոլիս	ɑtʰɾijɑnɑbɔlis
ադրիանոս	ɑtʰɾijɑnɔs
ազաբանալ	ɑzɑpʰɑnɑl
ազաբացնել	ɑzɑpʰɑt͡sʰənɛl
ազազանալ	ɑzɑzɑnɑl
ազազել	ɑzɑzɛl
ազատ	ɑzɑd
ազատագնել	ɑzɑdɑkʰənɛl
ազատագնվել	ɑzɑdɑkʰənvɛl
ազատագրել	ɑzɑdɑkʰɾɛl
ազատագրում	ɑzɑdɑkʰɾum
ազատագրվել	ɑzɑdɑkʰəɾvɛl
ազատազրկել	ɑzɑdɑzəɾɡɛl
ազատականացնել	ɑzɑdɑɡɑnɑt͡sʰənɛl
ազատանի	ɑzɑdɑni
ազատել	ɑzɑdɛl
ազատություն	ɑzɑdutʰʏn
ազատքեղ	ɑzɑtkʰɛʁ
ազբ	ɑspʰ
ազբ	ɑzəpʰə
ազբեստ	ɑspʰɛst
ազգ	ɑskʰ
ազգագրական	ɑskʰɑkʰəɾɑɡɑn
ազգական	ɑskʰɑɡɑn
ազգային	ɑskʰɑjin
ազգայնականություն	ɑskʰɑjnɑɡɑnutʰʏn
ազգայնացում	ɑskʰɑjnɑt͡sʰum
ազգանուն	ɑskʰɑnun
ազգասեր	ɑskʰɑsɛɾ
ազգեր	ɑskʰɛɾ
ազգերի	ɑskʰɛɾi
ազգություն	ɑskʰutʰʏn
ազգուտակ	ɑskʰudɑɡ
ազդ	ɑstʰ
ազդակ	ɑstʰɑɡ
ազդանշան	ɑstʰɑnəʃɑn
ազդարար	ɑstʰɑɾɑɾ
ազդարարել	ɑstʰɑɾɑɾɛl
ազդել	ɑstʰɛl
ազդեցիկ	ɑstʰɛt͡sʰiɡ
ազդեցություն	ɑstʰɛt͡sʰutʰʏn
ազդող	ɑstʰɔʁ
ազդու	ɑstʰu
ազդվել	ɑstʰvɛl
ազդր	ɑstʰəɾ
ազդրոսկր	ɑstʰɾɔskəɾ
ազերի	ɑzɛɾi
ազիկ	ɑziɡ
ազնավոր	ɑznɑvɔɾ
ազնավուր	ɑznɑvuɾ
ազնիվ	ɑzniv
ազնվական	ɑznəvɑɡɑn
ազնվամորի	ɑznəvɑmɔɾi
ազոխ	ɑzɔχ
ազոտ	ɑzɔd
ազորներ	ɑzɔɾnɛɾ
աթաբեկ	ɑtʰɑpʰɛɡ
աթեիզմ	ɑtʰɛjizm
աթեիստ	ɑtʰɛist
աթենք	ɑtʰɛŋkʰ
աթլաս	ɑtʰlɑs
աթլետիկա	ɑtʰlɛdiɡɑ
աթոռ	ɑtʰɔɾ
աթոռակ	ɑtʰɔɾɑɡ
աթս	ɑtʰəsə
աժ	ɑʒə
աժան	ɑʒɑn
աժդահա	ɑʒtʰɑhɑ
աժդահակ	ɑʒtʰɑhɑɡ
ալ	ɑl
ալադին	ɑlɑtʰin
ալազան	ɑlɑzɑn
ալաժահրի	ɑlɑʒɑhɾi
ալամ	ɑlɑm
ալան	ɑlɑn
ալանի	ɑlɑni
ալանք	ɑlɑŋkʰ
ալավերդի	ɑlɑvɛɾtʰi
ալարել	ɑlɑɾɛl
ալբաներեն	ɑlpʰɑnɛɾɛn
ալբանիա	ɑlpʰɑnjɑ
ալբատրոս	ɑlpʰɑdɾɔs
ալբերտ	ɑlpʰɛɾd
ալբուխարա	ɑlpʰuχɑɾɑ
ալգորիթմ	ɑlkʰɔɾitʰm
ալեբաստր	ɑlɛpʰɑstəɾ
ալեզարդ	ɑlɛzɑɾtʰ
ալեկոծ	ɑlɛɡɔd͡z
ալեկոծել	ɑlɛɡɔd͡zɛl
ալեհավաք	ɑlɛhɑvɑkʰ
ալեհերձ	ɑlɛhɛɾt͡sʰ
ալեմաներեն	ɑlɛmɑnɛɾɛn
ալերգիա	ɑlɛɾkʰjɑ
ալեւոր	ɑlɛvɔɾ
ալեքսանդր	ɑlɛkʰsɑntʰəɾ
ալեքսանդրիա	ɑlɛkʰsɑntʰɾjɑ
ալժիր	ɑlʒiɾ
ալի	ɑli
ալիբի	ɑlipʰi
ալիգատոր	ɑlikʰɑdɔɾ
ալիեւ	ɑlijɛv
ալինա	ɑlinɑ
ալիստեր	ɑlistɛɾ
ալիք	ɑlikʰ
ալլահ	ɑlːɑh
ալկայոս	ɑlɡɑjɔs
ալկիբիադես	ɑlɡipʰjɑtʰɛs
ալկիոն	ɑlɡiɔn
ալկման	ɑlɡmɑn
ալկմենե	ɑlɡmɛnɛ
ալկոգել	ɑlɡɔkʰɛl
ալկոհոլ	ɑlɡɔhɔl
ալկոհոլային	ɑlɡɔhɔlɑjin
ալկոհոլիզմ	ɑlɡɔhɔlizm
ալկոհոլիկ	ɑlɡɔhɔliɡ
ալմաթի	ɑlmɑtʰi
ալմանախ	ɑlmɑnɑχ
ալմաս	ɑlmɑs
ալմաստ	ɑlmɑst
ալյանս	ɑljɑns
ալյասկա	ɑljɑskɑ
ալյումին	ɑlʏmin
ալյումինում	ɑlʏminum
ալյուր	ɑlʏɾ
ալոե	ɑlɔɛ
ալոճ	ɑlɔd͡ʒ
ալոճենի	ɑlɔd͡ʒɛni
ալոջ	ɑlɔt͡ʃʰ
ալուցք	ɑlut͡sʰkʰ
ալպագա	ɑlbɑkʰɑ
ալպակ	ɑlbɑɡ
ալպակա	ɑlbɑɡɑ
ալպեր	ɑlbɛɾ
ալպինիզմ	ɑlbinizm
ալպինիստ	ɑlbinist
ալջունիդ	ɑlt͡ʃʰunitʰ
ալտ	ɑld
ալտերնատիվ	ɑldɛɾnɑdiv
ալք	ɑlkʰ
ալքիմիա	ɑlkʰimjɑ
ալքիմիկոս	ɑlkʰimiɡɔs
ախալցխա	ɑχɑlt͡sʰəχɑ
ախալքալաք	ɑχɑlkʰɑlɑkʰ
ախալքալաքի	ɑχɑlkʰɑlɑkʰi
ախոյան	ɑχɔjɑn
ախոռ	ɑχɔɾ
ախորժ	ɑχɔɾʒ
ախորժակ	ɑχɔɾʒɑɡ
ախուրյան	ɑχuɾjɑn
ախպար	ɑχpɑɾ
ախպեր	ɑχpɛɾ
ախտ	ɑχt
ախտաբան	ɑχtɑpʰɑn
ախտարար	ɑχtɑɾɑɾ
ախտորոշել	ɑχtɔɾɔʃɛl
ախտորոշում	ɑχtɔɾɔʃum
ած	ɑd͡z
ածական	ɑd͡zɑɡɑn
ածականային	ɑd͡zɑɡɑnɑjin
ածանց	ɑd͡zɑnt͡sʰ
ածանցել	ɑd͡zɑnt͡sʰɛl
ածանցյալ	ɑd͡zɑnt͡sʰjɑl
ածել	ɑd͡zɛl
ածելի	ɑd͡zɛli
ածեր	ɑd͡zɛɾ
ածիլել	ɑd͡zilɛl
ածիկ	ɑd͡ziɡ
ածխաթթու	ɑd͡zχɑtʰətʰu
ածխածին	ɑd͡zχɑd͡zin
ածու	ɑd͡zu
ածուխ	ɑd͡zuχ
ածք	ɑt͡sʰkʰ
ակ	ɑɡ
ակադեմիա	ɑɡɑtʰɛmjɑ
ակահ	ɑɡɑh
ական	ɑɡɑn
ականակիտ	ɑɡɑnɑɡid
ականավոր	ɑɡɑnɑvɔɾ
ականատես	ɑɡɑnɑdɛs
ականի	ɑɡɑni
ականջ	ɑɡɑnt͡ʃʰ
ականջակալ	ɑɡɑnt͡ʃʰɑɡɑl
ականջատ	ɑɡɑnt͡ʃʰɑd
ականջօղ	ɑɡɑnt͡ʃʰɔʁ
ակիշ	ɑɡiʃ
ակն	ɑɡən
ակնաբանություն	ɑɡnɑpʰɑnutʰʏn
ակնաբուժություն	ɑɡnɑpʰuʒutʰʏn
ակնախնձոր	ɑɡnɑχənt͡sʰɔɾ
ակնածալի	ɑɡnɑd͡zɑli
ակնածալից	ɑɡnɑd͡zɑlit͡sʰ
ակնածական	ɑɡnɑd͡zɑɡɑn
ակնածանք	ɑɡnɑd͡zɑŋkʰ
ակնածել	ɑɡnɑd͡zɛl
ակնածելի	ɑɡnɑd͡zɛli
ակնածիածան	ɑɡnɑd͡zijɑd͡zɑn
ակնածոտ	ɑɡnɑd͡zɔd
ակնածու	ɑɡnɑd͡zu
ակնածություն	ɑɡnɑd͡zutʰʏn
ակնակապիճ	ɑɡnɑɡɑbid͡ʒ
ակնաղբյուր	ɑɡnɑχpʏɾ
ակնամոմ	ɑɡnɑmɔm
ակնային	ɑɡnɑjin
ակնարկ	ɑɡnɑɾɡ
ակնեղեն	ɑɡnɛʁɛn
ակներեւ	ɑɡnɛɾɛv
ակներեւաբար	ɑɡnɛɾɛvɑpʰɑɾ
ակներեւապես	ɑɡnɛɾɛvɑbɛs
ակներեւորեն	ɑɡnɛɾɛvɔɾɛn
ակնթարթ	ɑɡəntʰɑɾtʰ
ակնկալել	ɑɡəŋɡɑlɛl
ակնկալիք	ɑɡəŋɡɑlikʰ
ակնհայտ	ɑɡənhɑjd
ակնհայտնի	ɑɡənhɑjdni
ակնոց	ɑɡnɔt͡sʰ
ակոս	ɑɡɔs
ակորդեոն	ɑɡɔɾtʰɛɔn
ակութ	ɑɡutʰ
ակումբ	ɑɡumpʰ
ակունք	ɑɡuŋkʰ
ակուշկա	ɑkuʃkɑ
ակռա	ɑɡɾɑ
ակտինիում	ɑɡdinijum
ակտիվ	ɑɡdiv
ակտիվորեն	ɑɡdivɔɾɛn
ակրոբատ	ɑɡɾɔpʰɑd
ակրոպոլիս	ɑɡɾɔbɔlis
ահ	ɑh
ահաբեկ	ɑhɑpʰɛɡ
ահաբեկել	ɑhɑpʰɛɡɛl
ահաբեկիչ	ɑhɑpʰɛɡit͡ʃʰ
ահաբեկություն	ɑhɑpʰɛɡutʰʏn
ահաբեկում	ɑhɑpʰɛɡum
ահաբեկչական	ɑhɑpʰɛkʰt͡ʃʰɑɡɑn
ահաբեկչություն	ɑhɑpʰɛkʰt͡ʃʰutʰʏn
ահաբեկվածություն	ɑhɑpʰɛɡvɑd͡zutʰʏn
ահաբեկվել	ɑhɑpʰɛɡvɛl
ահագին	ɑhɑkʰin
ահագնանալ	ɑhɑkʰnɑnɑl
ահազանգ	ɑhɑzɑŋkʰ
ահազանգել	ɑhɑzɑŋkʰɛl
ահազանգում	ɑhɑzɑŋkʰum
ահազարհուր	ɑhɑzɑɾhuɾ
ահազդ	ɑhɑstʰ
ահազդեցիկ	ɑhɑstʰɛt͡sʰiɡ
ահազդիկ	ɑhɑstʰiɡ
ահազդու	ɑhɑstʰu
ահահար	ɑhɑhɑɾ
ահարոն	ɑhɑɾɔn
ահեղ	ɑhɛʁ
ահրիման	ɑhɾimɑn
աղ	ɑʁ
աղա	ɑʁɑ
աղագավ	ɑʁɑkʰɑv
աղաթոն	ɑʁɑtʰɔn
աղալ	ɑʁɑl
աղախին	ɑʁɑχin
աղաղակ	ɑʁɑʁɑɡ
աղաղակել	ɑʁɑʁɑɡɛl
աղաման	ɑʁɑmɑn
աղամող	ɑʁɑmɔʁ
աղայան	ɑʁɑjɑn
աղանդ	ɑʁɑntʰ
աղանդավոր	ɑʁɑntʰɑvɔɾ
աղանդավորական	ɑʁɑntʰɑvɔɾɑɡɑn
աղանդավորություն	ɑʁɑntʰɑvɔɾutʰʏn
աղանդեր	ɑʁɑntʰɛɾ
աղանձ	ɑʁɑnt͡sʰ
աղանձել	ɑʁɑnt͡sʰɛl
աղաչանք	ɑʁɑt͡ʃʰɑŋkʰ
աղաչել	ɑʁɑt͡ʃʰɛl
աղասի	ɑʁɑsi
աղավաղ	ɑʁɑvɑʁ
աղավաղել	ɑʁɑvɑʁɛl
աղավնի	ɑʁɑvni
աղատ	ɑʁɑd
աղատել	ɑʁɑdɛl
աղարտել	ɑʁɑɾdɛl
աղաց	ɑʁɑt͡sʰ
աղաֆոն	ɑʁɑfɔn
աղբ	ɑχp
աղբաման	ɑχpʰɑmɑn
աղբանոց	ɑχpɑnɔt͡sʰ
աղբարկղ	ɑχpɑɾɡəʁ
աղբերակ	ɑχpɛɾɑɡ
աղբյուս	ɑχpʏs
աղբյուր	ɑχpʏɾ
աղբյուրակ	ɑχpʏɾɑɡ
աղբուտ	ɑχpud
աղդամ	ɑχtʰɑm
աղեբեկ	ɑʁɛpʰɛɡ
աղեկ	ɑʁɛɡ
աղեղ	ɑʁɛʁ
աղետ	ɑʁɛd
աղերս	ɑʁɛɾs
աղերսանք	ɑʁɛɾsɑŋkʰ
աղերսել	ɑʁɛɾsɛl
աղի	ɑʁi
աղիճ	ɑʁid͡ʒ
աղիողորմ	ɑʁiɔʁɔɾm
աղիք	ɑʁikʰ
աղլուխ	ɑʁluχ
աղխ	ɑχː
աղկաղկ	ɑχkɑχk
աղճատ	ɑʁd͡ʒɑd
աղճատել	ɑʁd͡ʒɑdɛl
աղմկել	ɑʁməɡɛl
աղմուկ	ɑʁmuɡ
աղյուս	ɑʁʏs
աղյուսակ	ɑʁʏsɑɡ
աղյուսե	ɑʁʏsɛ
աղյուսյակ	ɑʁʏsjɑɡ
աղոթակեր	ɑʁɔtʰɑɡɛɾ
աղոթել	ɑʁɔtʰɛl
աղոթկեր	ɑʁɔtʰkɛɾ
աղոթք	ɑʁɔtʰkʰ
աղոտ	ɑʁɔd
աղորի	ɑʁɔɾi
աղորիք	ɑʁɔɾikʰ
աղու	ɑʁu
աղուն	ɑʁun
աղունիկ	ɑʁuniɡ
աղջամուղջ	ɑχt͡ʃʰɑmuχt͡ʃʰ
աղջիկ	ɑχt͡ʃʰiɡ
աղջություն	ɑχt͡ʃʰutʰʏn
աղվամազ	ɑʁvɑmɑz
աղվան	ɑʁvɑn
աղվանք	ɑʁvɑŋkʰ
աղվաշ	ɑʁvɑʃ
աղվես	ɑʁvɛs
աղվեսենի	ɑʁvɛsɛni
աղվոր	ɑʁvɔɾ
աղտ	ɑʁd
աղտամուղտ	ɑʁdɑmuʁd
աղտեղի	ɑʁdɛʁi
աղտոտ	ɑχtɔd
աղտոտել	ɑχtɔdɛl
աղցան	ɑχt͡sʰɑn
աղքատ	ɑχkʰɑd
աղքատները	ɑχkʰɑdnɛɾə
աղքատություն	ɑχkʰɑdutʰʏn
աճ	ɑd͡ʒ
աճապարել	ɑd͡ʒɑbɑɾɛl
աճառյան	ɑd͡ʒɑɾjɑn
աճացնել	ɑd͡ʒɑt͡sʰənɛl
աճել	ɑd͡ʒɛl
աճեմ	ɑd͡ʒɛm
աճեմյան	ɑd͡ʒɛmjɑn
աճեցնել	ɑd͡ʒɛt͡sʰənɛl
աճյուն	ɑd͡ʒʏn
աճուկ	ɑd͡ʒuɡ
աճուրդ	ɑd͡ʒuɾtʰ
աճպարարություն	ɑd͡ʒbɑɾɑɾutʰʏn
ամ	ɑm
ամազոն	ɑmɑzɔn
ամայանալ	ɑmɑjɑnɑl
ամայի	ɑmɑji
աման	ɑmɑn
ամանակ	ɑmɑnɑɡ
ամանոս	ɑmɑnɔs
ամանոր	ɑmɑnɔɾ
ամանորյա	ɑmɑnɔɾjɑ
ամաչել	ɑmɑt͡ʃʰɛl
ամաչկոտ	ɑmɑt͡ʃʰkɔd
ամառային	ɑmɑɾɑjin
ամառանոց	ɑmɑɾɑnɔt͡sʰ
ամարաստան	ɑmɑɾɑstɑn
ամբակում	ɑmpʰɑɡum
ամբաստանյալ	ɑmpʰɑstɑnjɑl
ամբաստանք	ɑmpʰɑstɑŋkʰ
ամբար	ɑmpʰɑɾ
ամբարիշտ	ɑmpʰɑɾiʃt
ամբարհավաճություն	ɑmpʰɑɾhɑvɑd͡ʒutʰʏn
ամբարտակ	ɑmpʰɑɾdɑɡ
ամբարտավան	ɑmpʰɑɾdɑvɑn
ամբարտավանական	ɑmpʰɑɾdɑvɑnɑɡɑn
ամբարտավանանալ	ɑmpʰɑɾdɑvɑnɑnɑl
ամբարտավանել	ɑmpʰɑɾdɑvɑnɛl
ամբարտավանորեն	ɑmpʰɑɾdɑvɑnɔɾɛn
ամբարտավանություն	ɑmpʰɑɾdɑvɑnutʰʏn
ամբիցիոզ	ɑmpʰit͡sʰiɔz
ամբոխ	ɑmpʰɔχ
ամբողջ	ɑmpʰɔχt͡ʃʰ
ամբողջություն	ɑmpʰɔχt͡ʃʰutʰʏn
ամեհի	ɑmɛhi
ամեն	ɑmɛn
ամենաբարձր	ɑmɛnɑpʰɑɾt͡sʰəɾ
ամենագետ	ɑmɛnɑkʰɛd
ամենազոր	ɑmɛnɑzɔɾ
ամենալավ	ɑmɛnɑlɑv
ամենակալ	ɑmɛnɑɡɑl
ամենամեծ	ɑmɛnɑmɛd͡z
ամենայն	ɑmɛnɑjn
ամենեւին	ɑmɛnɛvin
ամենուր	ɑmɛnuɾ
ամենուրեք	ɑmɛnuɾɛkʰ
ամեոբա	ɑmɛɔpʰɑ
ամերիկա	ɑmɛɾiɡɑ
ամերիկական	ɑmɛɾiɡɑɡɑn
ամերիկահայ	ɑmɛɾiɡɑhɑj
ամերիկայի	ɑmɛɾiɡɑji
ամերիկացի	ɑmɛɾiɡɑt͡sʰi
ամերիկյան	ɑmɛɾiɡjɑn
ամերիկուհի	ɑmɛɾiɡuhi
ամերիցիում	ɑmɛɾit͡sʰijum
ամէ	ɑməɛ
ամիկ	ɑmiɡ
ամիճ	ɑmid͡ʒ
ամիս	ɑmis
ամիրա	ɑmiɾɑ
ամիրյան	ɑmiɾjɑn
ամիրսպասալար	ɑmiɾspɑsɑlɑɾ
ամլիկ	ɑmliɡ
ամհարերեն	ɑmhɑɾɛɾɛn
ամման	ɑmːɑn
ամն	ɑmənə
ամնիստիա	ɑmnistjɑ
ամոթ	ɑmɔtʰ
ամոթույք	ɑmɔtʰujkʰ
ամոլ	ɑmɔl
ամորձակալ	ɑmɔɾt͡sʰɑɡɑl
ամորձապարկ	ɑmɔɾt͡sʰɑbɑɾɡ
ամորձատել	ɑmɔɾt͡sʰɑdɛl
ամորձի	ɑmɔɾt͡sʰi
ամորձիք	ɑmɔɾt͡sʰikʰ
ամուդարյա	ɑmutʰɑɾjɑ
ամուլ	ɑmul
ամուսին	ɑmusin
ամուսնալուծություն	ɑmusnɑlud͡zutʰʏn
ամուսնանալ	ɑmusnɑnɑl
ամուսնացած	ɑmusnɑt͡sʰɑd͡z
ամուսնացնել	ɑmusnɑt͡sʰənɛl
ամուսնություն	ɑmusnutʰʏn
ամուր	ɑmuɾ
ամուրի	ɑmuɾi
ամոք	ɑmɔkʰ
ամպ	ɑmb
ամպար	ɑmbɑɾ
ամպել	ɑmbɛl
ամպեղեն	ɑmbɛʁɛn
ամպրոպ	ɑmbɾɔb
ամսագիր	ɑmsɑkʰiɾ
ամսական	ɑmsɑɡɑn
ամսեկան	ɑmsɛɡɑn
ամստերդամ	ɑmstɛɾtʰɑm
ամրագոտի	ɑmɾɑkʰɔdi
ամրածածուկ	ɑmɾɑd͡zɑd͡zuɡ
ամրակ	ɑmɾɑɡ
ամրակազմ	ɑmɾɑɡɑzm
ամրապնդում	ɑmɾɑbəntʰum
ամրոց	ɑmɾɔt͡sʰ
ամփոփել	ɑmpʰɔpʰɛl
այբ	ɑjpʰ
այբբենարան	ɑjpʰːɛnɑɾɑn
այբուբեն	ɑjpʰupʰɛn
այգ	ɑjkʰ
այգաբաց	ɑjkʰɑpʰɑt͡sʰ
այգեպան	ɑjkʰɛbɑn
այգեստան	ɑjkʰɛstɑn
այգեվետ	ɑjkʰɛvɛd
այգի	ɑjkʰi
այդ	ɑjtʰ
այդուհանդերձ	ɑjtʰuhɑntʰɛɾt͡sʰ
այդպես	ɑjtʰpɛs
այդտեղ	ɑjtʰtɛʁ
այժմ	ɑjʒəm
այժմիկ	ɑjʒəmiɡ
այժմու	ɑjʒəmu
այլ	ɑjl
այլանդակություն	ɑjlɑntʰɑɡutʰʏn
այլասիրական	ɑjlɑsiɾɑɡɑn
այլատյաց	ɑjlɑdjɑt͡sʰ
այլատյացություն	ɑjlɑdjɑt͡sʰutʰʏn
այլափառ	ɑjlɑpʰɑɾ
այլեւայլ	ɑjlɛvɑjl
այլեւայլություն	ɑjlɛvɑjlutʰʏn
այլեւս	ɑjlɛvəs
այլընտրանք	ɑjləndɾɑŋkʰ
այլընտրանքային	ɑjləndɾɑŋkʰɑjin
այծ	ɑjd͡z
այծեմնիկ	ɑjd͡zɛmniɡ
այծենի	ɑjd͡zɛni
այծյա	ɑjd͡zjɑ
այծյամ	ɑjd͡zjɑm
այծքաղ	ɑjt͡sʰkʰɑʁ
այմարա	ɑjmɑɾɑ
այն	ɑjn
այնուամենայնիվ	ɑjnuɑmɛnɑjniv
այնուհետեւ	ɑjnuhɛdɛv
այնպես	ɑjnbɛs
այնպիսի	ɑjnbisi
այնտեղ	ɑjndɛʁ
այո	ɑjɔ
այուբյան	ɑjupʰjɑn
այս	ɑjs
այսբերգ	ɑjspʰɛɾkʰ
այսինքն	ɑjsiŋkʰən
այսու	ɑjsu
այսուամենայնիվ	ɑjsuɑmɛnɑjniv
այսուհանդերձ	ɑjsuhɑntʰɛɾt͡sʰ
այսուհետ	ɑjsuhɛd
այսուհետեւ	ɑjsuhɛdɛv
այսպես	ɑjspɛs
այստեղ	ɑjstɛʁ
այստեղացի	ɑjstɛʁɑt͡sʰi
այսրկովկաս	ɑjsəɾɡɔfɡɑs
այսրկովկասյան	ɑjsəɾɡɔfɡɑsjɑn
այսօր	ɑjsɔɾ
այվազյան	ɑjvɑzjɑn
այտ	ɑjd
այտամորուք	ɑjdɑmɔɾukʰ
այտուց	ɑjdut͡sʰ
այր	ɑjɾ
այրան	ɑjɾɑn
այրացի	ɑjɾɑt͡sʰi
այրել	ɑjɾɛl
այրի	ɑjɾi
այրուկ	ɑjɾuɡ
այրուձի	ɑjɾut͡sʰi
այրուք	ɑjɾukʰ
այրվել	ɑjɾvɛl
այց	ɑjt͡sʰ
այցելել	ɑjt͡sʰɛlɛl
այցելություն	ɑjt͡sʰɛlutʰʏn
ան	ɑn
անագ	ɑnɑkʰ
անագան	ɑnɑkʰɑn
անագապղինձ	ɑnɑkʰɑbəʁint͡sʰ
անագորույն	ɑnɑkʰɔɾujn
