да	dˈɑ
қорғау	qoɾʀˈɑw
айында	ˈɑjəndɑ
билік	bəjlɪk
баспасөз	bɑspɑsˈɵz
мәселе	mæselˈe
Орталық	oɾtˈɑɫəq
тиіс	təjɪs
өзінің	ɵzɪnˈɪŋ
саны	sˈɑnə
аз	ˈɑz
әр	ˈæɾ
бала	bɑɫˈɑ
экономикалық	ekonˈoməjkɑɫəq
әлем	ælˈem
беру	bˈeɾw
дәл	dˈæɫ
су	sw
жасап	ʒɑsˈɑp
істер	ɪstˈeɾ
әлеуметтік	ælewmettˈɪk
салып	sˈɑɫəp
аса	ɑsˈɑ
ешқандай	eʃqɑndˈɑj
бұған	bʊʀˈɑn
біздің	bɪzdˈɪŋ
құқық	qˈʊqəq
Қытай	qətɑj
бастады	bɑstˈɑdə
бола	boɫˈɑ
қаласында	qɑɫˈɑsəndɑ
жағдайда	ʒɑʀdɑjdˈɑ
қатты	qˈɑttə
Қазір	qɑzˈɪɾ
полиция	pˈoɫəjtsəjja
тұратын	tʊɾˈɑtən
орыс	ˈoɾəs
қазақстандық	qɑzɑqstˈɑndəq
қарап	qɑɾˈɑp
Бұған	bʊʀˈɑn
арасындағы	ɑɾˈɑsəndɑʀə
берді	beɾdˈɪ
пе	pˈe
төрт	tˈɵɾt
жергілікті	ʒeɾɡɪlɪktˈɪ
үй	ˈuj
келіп	kelˈɪp
арналған	ɑɾnɑɫʀˈɑn
шығар	ʃəʀɑɾ
елдің	eɫdˈɪŋ
былай	bəɫɑj
облысы	ˈobɫəsə
Сонымен	sˈonəmen
басты	bˈɑstə
қала	qɑɫˈɑ
орынбасары	ˈoɾənbɑsɑɾə
жолы	ʒˈoɫə
қойған	qojʀˈɑn
қатар	qɑtˈɑɾ
доллар	doɫɫˈɑɾ
ауыр	ˈɑwəɾ
уақытта	wˈɑqəttɑ
толық	tˈoɫəq
он	ˈon
онда	ondˈɑ
қаза	qɑzˈɑ
мұнай	mʊnˈɑj
сотқа	sotqˈɑ
болар	boɫˈɑɾ
жасаған	ʒɑsɑʀˈɑn
іс	ˈɪs
Оған	oʀˈɑn
қазіргі	qɑzɪɾɡˈɪ
нақты	nˈɑqtə
облыстық	ˈobɫəstəq
бара	bɑɾˈɑ
жылдары	ʒəɫdɑɾə
оларды	oɫˈɑɾdə
пайда	pɑjdˈɑ
Қазақстанға	qɑzɑqstɑnʀˈɑ
Біз	bˈɪz
отырып	ˈotəɾəp
туған	twʀˈɑn
Еуропа	ewɾopˈɑ
еткен	etkˈen
көз	kˈɵz
Мәселен	mæselˈen
топ	tˈop
атап	ɑtˈɑp
айта	ɑjtˈɑ
Азия	ˈɑzəjja
Алматыда	ɑɫmˈɑtədɑ
Ресейдің	ɾesejdˈɪŋ
наразылық	nɑɾˈɑzəɫəq
Назарбаевтың	nɑzɑɾbɑˈevtəŋ
тұрып	tˈʊɾəp
қиын	qəjən
өкілдері	ɵkɪɫdeɾˈɪ
ішкі	ɪʃkˈɪ
өкілі	ɵkɪlˈɪ
күнге	kunɡˈe
алмайды	ɑɫmˈɑjdə
ай	ˈɑj
маған	mɑʀˈɑn
Украина	wkɾˈɑəjnɑ
жөніндегі	ʒɵnɪndeɡˈɪ
еңбек	eŋbˈek
жастағы	ʒɑstˈɑʀə
оқу	ˈoqw
екінші	ekɪnʃˈɪ
Сонда	sondˈɑ
кейбір	kejbˈɪɾ
қазақтың	qɑzˈɑqtəŋ
Ұлттық	ˈʊɫttəq
көрген	kɵɾɡˈen
жасалған	ʒɑsɑɫʀˈɑn
Оны	ˈonə
Владимир	vɫˈɑdəjməjɾ
ауыл	ˈɑwəɫ
бірінші	bɪɾɪnʃˈɪ
мәлімдеді	mælɪmdedˈɪ
кетті	kettˈɪ
анық	ˈɑnəq
діни	dˈɪnəj
қалалық	qɑɫˈɑɫəq
бастаған	bɑstɑʀˈɑn
белгілі	beɫɡɪlˈɪ
елде	eɫdˈe
басып	bˈɑsəp
қана	qɑnˈɑ
ұстап	ʊstˈɑp
қауіпсіздік	qɑwɪpsɪzdˈɪk
алуға	ɑɫwʀˈɑ
жазылған	ʒˈɑzəɫʀɑn
жуық	ʒwəq
директоры	dəjɾektoɾə
сыртқы	səɾtqə
етіп	etˈɪp
жағынан	ʒˈɑʀənɑn
Мұхтар	mʊxtˈɑɾ
болмаса	boɫmɑsˈɑ
көптеген	kɵpteɡˈen
тіпті	tɪptˈɪ
қара	qɑɾˈɑ
адамдардың	ɑdɑmdˈɑɾdəŋ
жалпы	ʒˈɑɫpə
астам	ɑstˈɑm
барлығы	bˈɑɾɫəʀə
жетекшісі	ʒetekʃɪsˈɪ
дауыс	dˈɑwəs
тұрады	tʊɾˈɑdə
атты	ˈɑttə
болмайды	boɫmˈɑjdə
әйел	æjˈeɫ
Өйткені	ɵjtkenˈɪ
орнына	ˈoɾnənɑ
ба	bˈɑ
яғни	jˈaʀnəj
бәрі	bæɾˈɪ
Содан	sodˈɑn
көмек	kɵmˈek
азаматтық	ɑzɑmˈɑttəq
сәйкес	sæjkˈes
Мұндай	mʊndˈɑj
тергеу	teɾɡˈew
басында	bˈɑsəndɑ
жерге	ʒeɾɡˈe
орын	ˈoɾən
еш	ˈeʃ
миллиард	məjɫɫəjɑɾd
қаласының	qɑɫˈɑsənəŋ
хабарлады	xɑbɑɾɫˈɑdə
балалар	bɑɫɑɫˈɑɾ
жатқанын	ʒɑtqˈɑnən
жұрт	ʒˈʊɾt
бе	bˈe
Жаңаөзен	ʒɑŋɑɵzˈen
қай	qˈɑj
Яғни	jˈaʀnəj
заңсыз	zˈɑŋsəz
оқиға	ˈoqəjʀɑ
тартып	tˈɑɾtəp
жақын	ʒˈɑqən
маңызды	mˈɑŋəzdə
елге	eɫɡˈe
биыл	bəjəɫ
өтті	ɵttˈɪ
Әрине	ˈæɾəjne
тыйым	təjəm
жастар	ʒɑstˈɑɾ
келді	keɫdˈɪ
оларға	oɫɑɾʀˈɑ
түрлі	tuɾlˈɪ
ие	əje
мектеп	mektˈep
партиясының	pˈɑɾtəjjasənəŋ
қоса	qosˈɑ
жазған	ʒɑzʀˈɑn
Енді	endˈɪ
жақта	ʒɑqtˈɑ
басым	bˈɑsəm
беріп	beɾˈɪp
ұлы	ˈʊɫə
барады	bɑɾˈɑdə
заңды	zˈɑŋdə
пайызы	pˈɑjəzə
сағат	sɑʀˈɑt
жөн	ʒˈɵn
әсер	æsˈeɾ
еске	eskˈe
Дегенмен	deɡenmˈen
ерекше	eɾekʃˈe
қатысы	qˈɑtəsə
аудандық	ɑwdˈɑndəq
рұқсат	ɾʊqsˈɑt
барысында	bˈɑɾəsəndɑ
береді	beɾedˈɪ
жалғыз	ʒˈɑɫʀəz
жүзеге	ʒuzeɡˈe
жазып	ʒˈɑzəp
Батыс	bˈɑtəs
жазады	ʒɑzˈɑdə
Астанада	ɑstɑnɑdˈɑ
Өзбекстан	ɵzbekstˈɑn
болғанын	boɫʀˈɑnən
қанша	qɑnʃˈɑ
қалып	qˈɑɫəp
Онда	ondˈɑ
қолдау	qoɫdˈɑw
қоғам	qoʀˈɑm
шығарып	ʃəʀɑɾəp
облысының	ˈobɫəsənəŋ
қойды	qˈojdə
білім	bɪlˈɪm
бөлек	bɵlˈek
мұны	mˈʊnə
беруге	beɾwɡˈe
қарамастан	qɑɾɑmɑstˈɑn
партия	pˈɑɾtəjja
тауып	tˈɑwəp
тілшісіне	tɪɫʃɪsɪnˈe
Алматыдағы	ɑɫmˈɑtədɑʀə
адамды	ɑdˈɑmdə
бұдан	bʊdˈɑn
Бұдан	bʊdˈɑn
министрі	məjnəjstɾɪ
өтіп	ɵtˈɪp
қой	qˈoj
Мысалы	məsɑɫə
Өткен	ɵtkˈen
Одан	odˈɑn
тапқан	tɑpqˈɑn
тілшісі	tɪɫʃɪsˈɪ
болғаны	boɫʀˈɑnə
өмір	ɵmˈɪɾ
үкімет	ukɪmˈet
Бір	bˈɪɾ
менің	menˈɪŋ
оқып	ˈoqəp
мына	mənɑ
атындағы	ˈɑtəndɑʀə
хат	xˈɑt
Және	ʒænˈe
алдымен	ˈɑɫdəmen
па	pˈɑ
қаласы	qɑɫˈɑsə
салынған	sˈɑɫənʀɑn
ҚазАқпарат	qˈɑzɑqpɑɾˈɑt
кез	kˈez
алты	ˈɑɫtə
қайда	qɑjdˈɑ
тарапынан	tɑɾˈɑpənɑn
журналист	ʒwɾnˈɑɫəjst
қойып	qˈojəp
орналасқан	oɾnɑɫɑsqˈɑn
санайды	sɑnˈɑjdə
іске	ɪskˈe
барған	bɑɾʀˈɑn
соты	sˈotə
ұзақ	ʊzˈɑq
аталған	ɑtɑɫʀˈɑn
бере	beɾˈe
әбден	æbdˈen
қатысқан	qˈɑtəsqɑn
қарапайым	qɑɾɑpˈɑjəm
ондай	ondˈɑj
Ең	ˈeŋ
пайызға	pˈɑjəzʀɑ
өзін	ɵzˈɪn
Иран	əjɾɑn
тұрғыны	tˈʊɾʀənə
жасады	ʒɑsˈɑdə
Президент	pɾˈezəjdent
бағасы	bɑʀˈɑsə
пікірінше	pɪkɪɾɪnʃˈe
жеткен	ʒetkˈen
баласы	bɑɫˈɑsə
талай	tɑɫˈɑj
мамыр	mˈɑməɾ
қаласындағы	qɑɫˈɑsəndɑʀə
Тек	tˈek
орта	oɾtˈɑ
себеп	sebˈep
шешім	ʃeʃˈɪm
жасау	ʒɑsˈɑw
Жалпы	ʒˈɑɫpə
Соңғы	sˈoŋʀə
ұлт	ˈʊɫt
жерден	ʒeɾdˈen
жылда	ʒəɫdɑ
келгенде	keɫɡendˈe
жұмысқа	ʒˈʊməsqɑ
парламент	pɑɾɫɑmˈent
компаниясының	kompˈɑnəjjasənəŋ
осылай	ˈosəɫɑj
адамға	ɑdɑmʀˈɑ
телефон	telefˈon
артық	ˈɑɾtəq
пайыз	pˈɑjəz
Путин	pwtəjn
ірі	ɪɾˈɪ
Ислам	əjsɫɑm
соның	sˈonəŋ
ұйымының	ˈʊjəmənəŋ
қолға	qoɫʀˈɑ
боп	bˈop
Ресейге	ɾesejɡˈe
күш	kˈuʃ
тұрғындары	tˈʊɾʀəndɑɾə
алтын	ˈɑɫtən
өзіне	ɵzɪnˈe
банк	bˈɑnk
елдегі	eɫdeɡˈɪ
мүлде	muɫdˈe
қалады	qɑɫˈɑdə
жаппай	ʒɑppˈɑj
салған	sɑɫʀˈɑn
негізгі	neɡɪzɡˈɪ
шағын	ʃˈɑʀən
егер	eɡˈeɾ
белсенді	beɫsendˈɪ
орталық	oɾtˈɑɫəq
Мәскеу	mæskˈew
хатшысы	xˈɑtʃəsə
орай	oɾˈɑj
айып	ˈɑjəp
етті	ettˈɪ
отбасы	otbˈɑsə
қазан	qɑzˈɑn
Себебі	sebebˈɪ
қамтамасыз	qɑmtɑmˈɑsəz
Мұны	mˈʊnə
жүріп	ʒuɾˈɪp
облыс	ˈobɫəs
ҚР	qəɾə
мәрте	mæɾtˈe
жағдайы	ʒɑʀdˈɑjə
оппозициялық	oppˈozəjtsəjjaɫəq
азамат	ɑzɑmˈɑt
мүмкіндік	mumkɪndˈɪk
алға	ɑɫʀˈɑ
ештеңе	eʃteŋˈe
соғыс	sˈoʀəs
тәуелсіз	tæweɫsˈɪz
мәжбүр	mæʒbˈuɾ
жан	ʒˈɑn
халыққа	xˈɑɫəqqɑ
алдын	ˈɑɫdən
алмады	ɑɫmˈɑdə
жөнінде	ʒɵnɪndˈe
Қырғызстан	qəɾʀəzstɑn
газет	ɡɑzˈet
айтылған	ˈɑjtəɫʀɑn
Азаттыққа	ɑzˈɑttəqqɑ
салу	sˈɑɫw
Сот	sˈot
жарық	ʒˈɑɾəq
ешкім	eʃkˈɪm
тура	twɾˈɑ
айналып	ɑjnˈɑɫəp
билігі	bəjlɪɡɪ
пікір	pɪkˈɪɾ
қарсылық	qˈɑɾsəɫəq
басшылары	bˈɑsʃəɫɑɾə
тұрғын	tˈʊɾʀən
сай	sˈɑj
Қарағанды	qɑɾɑʀˈɑndə
аптада	ɑptɑdˈɑ
болсын	bˈoɫsən
ақын	ˈɑqən
шығады	ʃəʀɑdə
партиясы	pˈɑɾtəjjasə
сұрап	sʊɾˈɑp
шыға	ʃəʀɑ
Рахат	ɾɑxˈɑt
маусым	mˈɑwsəm
қызметі	qəzmetɪ
жайында	ʒˈɑjəndɑ
оң	ˈoŋ
алдына	ˈɑɫdənɑ
тым	təm
Александр	ɑleksˈɑndɾ
жағдайды	ʒɑʀdˈɑjdə
әрекет	æɾekˈet
газ	ɡˈɑz
басына	bˈɑsənɑ
әлде	æɫdˈe
әйелдер	æjeɫdˈeɾ
халқы	xˈɑɫqə
сауда	sɑwdˈɑ
Өз	ˈɵz
ұйымы	ˈʊjəmə
көріп	kɵɾˈɪp
жоққа	ʒoqqˈɑ
сөзінше	sɵzɪnʃˈe
Жаңа	ʒɑŋˈɑ
айтқанда	ɑjtqɑndˈɑ
үкіметі	ukɪmetˈɪ
соңында	sˈoŋəndɑ
салды	sˈɑɫdə
сақтау	sɑqtˈɑw
Сергей	seɾɡˈej
алдағы	ɑɫdˈɑʀə
қызы	qəzə
ұйым	ˈʊjəm
сондықтан	sˈondəqtɑn
мұның	mˈʊnəŋ
қызметкерлері	qəzmetkeɾleɾɪ
Мұның	mˈʊnəŋ
азаматтар	ɑzɑmɑttˈɑɾ
көбі	kɵbˈɪ
ашып	ˈɑʃəp
оқ	ˈoq
тыс	təs
шығарды	ʃəʀɑɾdə
биліктің	bəjlɪktɪŋ
спорт	spˈoɾt
тамыз	tˈɑməz
сұхбатында	sʊxbˈɑtəndɑ
кетіп	ketˈɪp
сонда	sondˈɑ
жарияланған	ʒˈɑɾəjjaɫɑnʀɑn
компаниясы	kompˈɑnəjjasə
бізге	bɪzɡˈe
нәрсе	næɾsˈe
бүкіл	bukˈɪɫ
қыз	qəz
Осыдан	ˈosədɑn
тең	tˈeŋ
болғандықтан	boɫʀˈɑndəqtɑn
десе	desˈe
дайын	dˈɑjən
сотта	sottˈɑ
наурыз	nˈɑwɾəz
Ақтөбе	ɑqtɵbˈe
қайтыс	qˈɑjtəs
баға	bɑʀˈɑ
ету	ˈetw
ана	ɑnˈɑ
ортақ	oɾtˈɑq
басын	bˈɑsən
Ресейде	ɾesejdˈe
кім	kˈɪm
тарихи	tˈɑɾəjxəj
Оңтүстік	oŋtustˈɪk
бүгін	buɡˈɪn
әкімі	ækɪmˈɪ
қысым	qəsəm
биылғы	bəjəɫʀə
солай	soɫˈɑj
Бас	bˈɑs
отырмыз	ˈotəɾməz
ісі	ɪsˈɪ
арада	ɑɾɑdˈɑ
ресейлік	ɾesejlˈɪk
сайлауға	sɑjɫɑwʀˈɑ
арқасында	ɑɾqˈɑsəndɑ
белгісіз	beɫɡɪsˈɪz
назар	nɑzˈɑɾ
ядролық	jadɾˈoɫəq
Болат	boɫˈɑt
қорғаушы	qoɾʀˈɑwʃə
қатаң	qɑtˈɑŋ
өзбек	ɵzbˈek
ауданы	ɑwdˈɑnə
құқығы	qˈʊqəʀə
кеңес	keŋˈes
халықты	xˈɑɫəqtə
азаматтардың	ɑzɑmɑttˈɑɾdəŋ
Біздің	bɪzdˈɪŋ
болмаған	boɫmɑʀˈɑn
халқының	xˈɑɫqənəŋ
компания	kompˈɑnəjja
Соның	sˈonəŋ
Шығыс	ʃəʀəs
министрлігі	məjnəjstɾlɪɡɪ
алынған	ˈɑɫənʀɑn
уақытша	wˈɑqətʃɑ
жиі	ʒəjɪ
саясат	sɑjasˈɑt
бастығы	bˈɑstəʀə
мәселесі	mæselesˈɪ
күнде	kundˈe
Атырау	ˈɑtəɾɑw
сондай	sondˈɑj
құқығын	qˈʊqəʀən
құны	qˈʊnə
себебі	sebebˈɪ
Совет	sovˈet
істеп	ɪstˈep
өнер	ɵnˈeɾ
жылдық	ʒəɫdəq
осыдан	ˈosədɑn
оппозиция	oppˈozəjtsəjja
өздері	ɵzdeɾˈɪ
жоғарғы	ʒoʀˈɑɾʀə
күрес	kuɾˈes
қыркүйек	qəɾkujek
танымал	tˈɑnəmɑɫ
алмаған	ɑɫmɑʀˈɑn
алғаш	ɑɫʀˈɑʃ
аты	ˈɑtə
болу	bˈoɫw
басталды	bɑstˈɑɫdə
Украинаның	wkɾˈɑəjnɑnəŋ
ойын	ˈojən
Халықаралық	xˈɑɫəqɑɾɑɫəq
шығарған	ʃəʀɑɾʀɑn
құрылыс	qˈʊɾəɫəs
орталығы	oɾtˈɑɫəʀə
Дәл	dˈæɫ
тартты	tˈɑɾttə
комиссия	kˈoməjssəjja
түсіп	tusˈɪp
жасауға	ʒɑsɑwʀˈɑ
шын	ʃən
қосымша	qˈosəmʃɑ
теңгеге	teŋɡeɡˈe
төмен	tɵmˈen
хабар	xɑbˈɑɾ
келетін	keletˈɪn
мал	mˈɑɫ
басталған	bɑstɑɫʀˈɑn
сарапшылар	sɑɾˈɑpʃəɫɑɾ
дүниеге	dˈunəjeɡe
шамамен	ʃɑmɑmˈen
баланың	bɑɫˈɑnəŋ
ҰҚК	ˈʊqk
Менің	menˈɪŋ
Биыл	bəjəɫ
жариялаған	ʒˈɑɾəjjaɫɑʀɑn
жағдайға	ʒɑʀdɑjʀˈɑ
жасқа	ʒɑsqˈɑ
мүшесі	muʃesˈɪ
тартқан	tɑɾtqˈɑn
мақсатында	mɑqsˈɑtəndɑ
қылмыс	qəɫməs
жатады	ʒɑtˈɑdə
сөзіне	sɵzɪnˈe
бірқатар	bɪɾqɑtˈɑɾ
құру	qˈʊɾw
соттың	sˈottəŋ
етеді	etedˈɪ
анасы	ɑnˈɑsə
ойлап	ojɫˈɑp
шетелдік	ʃeteɫdˈɪk
Халық	xˈɑɫəq
чемпионы	t͡ʃˈempəjonə
Осындай	ˈosəndɑj
айналды	ɑjnˈɑɫdə
қатысып	qˈɑtəsəp
айының	ˈɑjənəŋ
радиосына	ɾˈɑdəjosənɑ
қызметкері	qəzmetkeɾɪ
мәселеге	mæseleɡˈe
өтетін	ɵtetˈɪn
аталатын	ɑtɑɫˈɑtən
Демек	demˈek
Қайрат	qɑjɾˈɑt
елдер	eɫdˈeɾ
тұрғындар	tˈʊɾʀəndɑɾ
содан	sodˈɑn
болмақ	boɫmˈɑq
қолына	qˈoɫənɑ
құрылған	qˈʊɾəɫʀɑn
комитетінің	kˈoməjtetɪnɪŋ
шағым	ʃˈɑʀəm
салдарынан	sɑɫdˈɑɾənɑn
асып	ˈɑsəp
әрине	ˈæɾəjne
заңға	zɑŋʀˈɑ
көрсету	kɵɾsˈetw
уәде	wædˈe
отырғанын	ˈotəɾʀɑnən
мәлімдеген	mælɪmdeɡˈen
осыған	ˈosəʀɑn
Әлиев	ˈæɫəjev
жинап	ʒəjnɑp
басы	bˈɑsə
мықты	məqtə
адамдарды	ɑdɑmdˈɑɾdə
ой	ˈoj
сақтап	sɑqtˈɑp
түсті	tustˈɪ
мақала	mɑqɑɫˈɑ
екендігін	ekendɪɡˈɪn
бүгінгі	buɡɪnɡˈɪ
әкімшілік	ækɪmʃɪlˈɪk
біраз	bɪɾˈɑz
ақ	ˈɑq
облысында	ˈobɫəsəndɑ
жалға	ʒɑɫʀˈɑ
қойылған	qˈojəɫʀɑn
жарым	ʒˈɑɾəm
қатарына	qɑtˈɑɾənɑ
Абай	ɑbˈɑj
Маңғыстау	mˈɑŋʀəstɑw
айтуға	ɑjtwʀˈɑ
басшылығы	bˈɑsʃəɫəʀə
жатты	ʒˈɑttə
бен	bˈen
Тағы	tˈɑʀə
құпия	qˈʊpəjja
ойлаймын	ojɫˈɑjmən
тастап	tɑstˈɑp
оңай	oŋˈɑj
аясында	ɑjˈasəndɑ
үстіне	ustɪnˈe
жалған	ʒɑɫʀˈɑn
тап	tˈɑp
мыңнан	məŋnɑn
қашып	qˈɑʃəp
Дайындайтын	dˈɑjəndɑjtən
Түркия	tˈuɾkəjja
екені	ekenˈɪ
Қытайдың	qətɑjdəŋ
бақылау	bˈɑqəɫɑw
зерттеу	zeɾttˈew
мұнда	mʊndˈɑ
ағылшын	ˈɑʀəɫʃən
орнын	ˈoɾnən
беретін	beɾetˈɪn
кейінгі	kejɪnɡˈɪ
тобы	tˈobə
көлік	kɵlˈɪk
БАҚ	bˈɑq
нағыз	nˈɑʀəz
қараша	qɑɾɑʃˈɑ
сұраған	sʊɾɑʀˈɑn
Осыған	ˈosəʀɑn
билікке	bəjlɪkke
интернет	əjnteɾnet
кем	kˈem
қосып	qˈosəp
келсе	keɫsˈe
ән	ˈæn
болмай	boɫmˈɑj
ықпал	əqpɑɫ
тілінде	tɪlɪndˈe
депутаты	depwtˈɑtə
жариялады	ʒˈɑɾəjjaɫɑdə
республикалық	ɾˈespwbɫəjkɑɫəq
берілген	beɾɪɫɡˈen
Нұрлан	nʊɾɫˈɑn
өздерінің	ɵzdeɾɪnˈɪŋ
жатып	ʒˈɑtəp
ұсыныс	ˈʊsənəs
шабуыл	ʃˈɑbwəɫ
жұрттың	ʒˈʊɾttəŋ
қымбат	qəmbɑt
баспана	bɑspɑnˈɑ
дегенде	deɡendˈe
мүше	muʃˈe
есеп	esˈep
жұмыстан	ʒˈʊməstɑn
ұйымдар	ˈʊjəmdɑɾ
даму	dˈɑmw
