va	ʋˈæ
unga	ˌʊŋæ
harbiy	hˈæɾbyj
soʻng	sˈoŋ
orasida	ˌɑɾæsˈydæ
xoʻjaligi	χˌod͡ʒæɫˈyɡy
tashqari	tæʃqˈæɾy
Aholisi	ˌæhɑɫˈysy
tarqalgan	tæɾqˈæɫɡæn
qarab	qˈæɾæb
tufayli	tʊfˌæjɫy
vujudga	ʋʊd͡ʒˈʊdɡæ
sanoat	sænˈɑæt
nisbatan	nysbˈætæn
Osiyo	ɑsˈyjɑ
ishlari	yʃlˈæɾy
sanoati	sˌænɑˈæty
davom	dˈæʋɑm
kichik	kˈyt͡Syk
oʻrta	ˈoɾtæ
rivojlangan	ɾˌyʋɑd͡ʒlˈæŋæn
topgan	tˈɑpɡæn
m	ˈem
qolgan	qˈɑɫɡæn
ish	ˈyʃ
oid	ˈɑyd
ijtimoiy	ˌyd͡ʒtymˈɑyj
tabiiy	tæbˈyyj
uchraydi	ʊt͡Sɾˈæjdy
davomida	dˌæʋɑmˌydæ
korxonalari	kˌɑɾχɑnælˈæɾy
musiqa	mʊsˈyqæ
jumladan	d͡ʒʊmlˈædæn
rus	ɾˈʊs
xalqaro	χæɫqˈæɾɑ
yillik	jˈyɫɫyk
qildi	qˈyɫdy
yordamida	jˌɑɾdæmˈydæ
alohida	ˌæɫɑhˈydæ
mashhur	mˈæʃhʊɾ
soni	sˈɑny
tili	tˈyɫy
ishlatiladi	ˌyʃlætylˈædy
badiiy	bædˈyyj
iqtisodiy	ˌyqtysˈɑdyj
chiqqan	t͡Sˈyqqæn
yoʻl	jˈoɫ
toʻgʻri	tˈoʁɾy
jihatdan	d͡ʒyhˈætdæn
Buxoro	bʊχˈɑɾɑ
qancha	qˈænt͡Sæ
ayniqsa	æjnˈyqsæ
oʻzaro	ozˈæɾɑ
oʻziga	ozˈyɡæ
Yer	jˈeɾ
Ushbu	ˈʊʃbʊ
tashqi	tˈæʃqy
gaz	ɡˈæz
hozirgi	hɑzˈyɾɡy
asos	ˈæsɑs
jahon	d͡ʒˈæhɑn
mas	mˈæs
kuchli	kˈʊt͡Sɫy
yerda	jˈeɾdæ
faoliyat	fˌæɑɫˈyjæt
olinadi	ˌɑɫynˈædy
viloyati	ʋˌyɫɑjˈæty
turi	tˈʊɾy
muayyan	mʊˈæjjæn
nashr	nˈæʃɾ
Rossiya	ɾɑssˈyjæ
shahri	ʃˈæhɾy
gacha	ɡˌæt͡Sæ
ilk	ˈyɫk
kam	kˈæm
dastlabki	dæstlˈæbky
etish	ˈetyʃ
kerak	kˈeɾæk
vaqt	ʋˈæqt
berilgan	beɾˈyɫɡæn
temir	tˈemyɾ
undan	ˈʊndæn
Shuningdek	ʃʊnˈyŋdek
qanday	qˈændæj
turlari	tʊɾlˈæɾy
yillarda	jyɫlˈæɾdæ
boʻlsa	bˈoɫsæ
etib	ˈetyb
tumani	tʊmˈæny
ularni	ʊlˈæɾny
mahalliy	mæhˈæɫɫyj
davrda	dˈæʋɾdæ
yarim	jˈæɾym
fan	fˌæn
asarlari	ˌæsæɾlˈæɾy
dengiz	dˈeŋyz
togʻ	tˈɑʁ
foydalaniladi	fˌɑjdælˌænylˈædy
qattiq	qˈættyq
kun	kˈʊn
ishtirok	yʃtˈyɾɑk
ravishda	ɾæʋˈyʃdæ
qoladi	qɑlˈædy
Davlat	dˈæʋlæt
Har	hˈæɾ
bergan	bˈeɾɡæn
butun	bˈʊtʊn
oliy	ˈɑɫyj
harakat	hæɾˈækæt
Bir	bˈyɾ
tarkibiga	tˌæɾkybˈyɡæ
tarixiy	tæɾˈyχyj
berish	bˈeɾyʃ
ajralib	æd͡ʒɾˈæɫyb
boradi	bɑɾˈædy
Yevropa	jeʋɾˈɑpæ
boshladi	bɑʃlˈædy
neft	nˈeft
ataladi	ˌætælˈædy
davri	dˈæʋɾy
oʻrtacha	oɾtˈæt͡Sæ
siyosiy	syjˈɑsyj
yoʻli	jˈoɫy
ikkinchi	ykkˈynt͡Sy
kimyoviy	kymjˈɑʋyj
savdo	sˈæʋdɑ
arab	ˈæɾæb
ichida	yt͡Sˌydæ
moddalar	mɑddˈælæɾ
sababli	sæbˈæbɫy
ostida	ɑstˌydæ
tarkibida	tˌæɾkybˈydæ
etdi	ˈetdy
keldi	kˈeɫdy
lekin	lˌekyn
Ozarbayjon	ˌɑzæɾbˈæjd͡ʒɑn
qismida	qysmˈydæ
tuzilgan	tʊzˈyɫɡæn
Bunday	bˈʊndæj
ahamiyatga	ˌæhæmyjˈætɡæ
odam	ˈɑdæm
avvalgi	æʋʋˈæɫɡy
boʻlinadi	bˌoɫynˈædy
tez	tˈez
ushbu	ˈʊʃbʊ
haqidagi	hˌæqydˈæɡy
Milliy	mˈyɫɫyj
sabab	sˈæbæb
etiladi	ˌetylˈædy
farq	fˌæɾq
qurilgan	qʊɾˈyɫɡæn
Markaziy	mæɾkˈæzyj
inson	ˈynsɑn
boshlab	bˈɑʃlæb
chiqadi	t͡Syqˈædy
maqsadida	mˌæqsædˈydæ
ichiga	yt͡Sˌyɡæ
yordam	jˈɑɾdæm
faoliyati	fˌæɑɫyjˈæty
koʻrsatadi	kˌoɾsætˈædy
instituti	ˌynstytˈʊty
yuzaga	jʊzˈæɡæ
hududida	hˌʊdʊdˈydæ
vaqtda	ʋˈæqtdæ
aks	ˈæks
havo	hˈæʋɑ
uzoq	ˈʊzɑq
markaziy	mæɾkˈæzyj
oldi	ˈɑɫdy
etildi	etˈyɫdy
keyingi	kejˈyŋy
oʻrtasida	ˌoɾtæsˈydæ
tarixi	tæɾˈyχy
aholi	æhˈɑɫy
ijro	ˈyd͡ʒɾɑ
koʻplab	kˈoplæb
qadar	qˈædæɾ
mustaqil	mʊstˈæqyɫ
oʻrin	ˈoɾyn
Samarqand	sæmˈæɾqænd
qiluvchi	qyɫˈʊʋt͡Sy
tilida	tyɫˈydæ
oʻzining	ozˈynyŋ
yuz	jˈʊz
qator	qˈætɑɾ
Hozirgi	hɑzˈyɾɡy
ishlash	ˈyʃlæʃ
ancha	ˈænt͡Sæ
qoʻllaniladi	qˌoɫlænylˈædy
qilindi	qyɫˈyndy
mamlakat	mæmlˈækæt
oʻquv	ˈoqʊʋ
Buyuk	bˈʊjʊk
yaratilgan	jˌæɾætˈyɫɡæn
aholisi	ˌæhɑɫˈysy
ammo	ˈæmmɑ
turgan	tˈʊɾɡæn
mahsulotlari	mˌæhsʊɫɑtlˈæɾy
mansub	mˈænsʊb
berdi	bˈeɾdy
murakkab	mʊɾˈækkæb
bolalar	bɑlˈælæɾ
keyinchalik	kˌejynt͡Sˈæɫyk
teng	tˈeŋ
chuqur	t͡Sˈʊqʊɾ
miqdori	myqdˈɑɾy
aniq	ˈænyq
faol	fˌæɑɫ
koʻproq	kˈopɾɑq
Bunda	bˈʊndæ
avtomobil	ˌæʋtɑmˈɑbyɫ
balki	bˈæɫky
nomidagi	nˌɑmydˈæɡy
qon	qˈɑn
deyiladi	dˌejylˈædy
tizimi	tyzˈymy
zarur	zˈæɾʊɾ
oʻzi	ˈozy
davr	dˈæʋɾ
degan	dˈeɡæn
deyarli	dejˈæɾɫy
mehnat	mˈehnæt
yozgan	jˈɑzɡæn
yili	jˈyɫy
asoslangan	ˌæsɑslˈæŋæn
Bundan	bˈʊndæn
Lekin	lˌekyn
Sharq	ʃˈæɾq
Yangi	jˈæŋy
oʻtgan	ˈotɡæn
Keyinchalik	kˌejynt͡Sˈæɫyk
ochiq	ˈɑt͡Syq
foydalanish	fˌɑjdælˈænyʃ
Ammo	ˈæmmɑ
uch	ˈʊt͡S
madaniy	mædˈænyj
himoya	hymˈɑjæ
odatda	ɑdˈætdæ
qurilish	qʊɾˈyɫyʃ
Navoiy	næʋˈɑyj
oddiy	ˈɑddyj
paxta	pˈæχtæ
sodir	sˈɑdyɾ
mayda	mˈæjdæ
koʻrsatgan	koɾsˈætɡæn
bosib	bˈɑsyb
tibbiyot	tybbˈyjɑt
boy	bˈɑj
boʻlmagan	boɫmˈæɡæn
unda	ˈʊndæ
shahrida	ʃæhɾˈydæ
madaniyat	mˌædænˈyjæt
oʻsimliklar	ˌosymɫˈyklæɾ
Ularning	ʊlˌæɾnyŋ
akademiyasi	ˌækædˌemyjˈæsy
diniy	dˈynyj
maktabi	mæktˈæby
AQSH	ˈæqʃ
hayvonlar	hæjʋˈɑnlæɾ
teatr	tˈeætɾ
Asosiy	æsˈɑsyj
hamma	hˈæmmæ
Muhammad	mʊhˈæmmæd
hayot	hˈæjɑt
kunda	kˈʊndæ
lozim	ɫˌɑzym
qayd	qˈæjd
asarlar	æsˈæɾlæɾ
kimyo	kˈymjɑ
barpo	bˈæɾpɑ
oʻsimlik	osˈymɫyk
zamonaviy	zˌæmɑnˈæʋyj
chiqariladi	t͡Sˌyqæɾylˈædy
kuni	kˈʊny
qora	qˈɑɾæ
Ikkinchi	ykkˈynt͡Sy
Xitoy	χˈytɑj
tegishli	teɡˈyʃɫy
Biroq	bˈyɾɑq
kurash	kˈʊɾæʃ
koʻpincha	kopˈynt͡Sæ
ketadi	ketˈædy
yashaydi	jæʃˈæjdy
joylarda	d͡ʒɑjlˈæɾdæ
paytda	pˈæjtdæ
ishlar	ˈyʃlæɾ
Janubiy	d͡ʒænˈʊbyj
bunday	bˈʊndæj
chiqib	t͡Sˈyqyb
oʻrganish	oɾɡˈænyʃ
beriladi	bˌeɾylˈædy
yagona	jæɡˈɑnæ
yosh	jˈɑʃ
atalgan	ætˈæɫɡæn
joy	d͡ʒˈɑj
oltin	ˈɑɫtyn
sport	spˈɑɾt
jarayonida	d͡ʒˌæɾæjɑnˈydæ
osti	ˈɑsty
boʻylab	bˈojlæb
talab	tˈælæb
transport	tɾˈænspɑɾt
Birinchi	byɾˈynt͡Sy
erkin	ˈeɾkyn
shunday	ʃˈʊndæj
boshlagan	bɑʃlˈæɡæn
oʻrtasidagi	ˌoɾtæsydˈæɡy
kashf	kˈæʃf
ziyod	zˈyjɑd
metall	mˈetæɫɫ
qismini	qysmˈyny
guruh	ɡˈʊɾʊh
hal	hˈæɫ
atrofida	ˌætɾɑfˌydæ
darajada	dˌæɾæd͡ʒˈædæ
maydoni	mæjdˈɑny
yengil	jˈeŋyɫ
Oliy	ˈɑɫyj
bevosita	bˌeʋɑsˈytæ
qisqa	qˈysqæ
usuli	ʊsˈʊɫy
ketgan	kˈetɡæn
nomli	nˈɑmɫy
Gʻarbiy	ʁˈæɾbyj
ijod	ˈyd͡ʒɑd
oʻtadi	otˈædy
rivojlanishi	ɾˌyʋɑd͡ʒlænˈyʃy
keskin	kˈeskyn
borgan	bˈɑɾɡæn
dastlab	dˈæstlæb
universiteti	ˌʊnyʋˌeɾsytˈety
Shuning	ʃˈʊnyŋ
imkon	ˈymkɑn
xususiy	χʊsˈʊsyj
Xalq	χˈæɫq
jamoa	d͡ʒæmˈɑæ
moʻljallangan	mˌoɫd͡ʒæɫlˈæŋæn
Sharqiy	ʃˈæɾqyj
xom	χˈɑm
biror	bˈyɾɑɾ
maktab	mˈæktæb
namoyon	næmˈɑjɑn
amaliy	æmˈæɫyj
topilgan	tɑpˈyɫɡæn
yon	jˈɑn
adabiy	ædˈæbyj
past	pˈæst
shaklida	ʃækɫˈydæ
yaratgan	jæɾˈætɡæn
yetakchi	jetˈækt͡Sy
Agar	ˈæɡæɾ
Amir	ˈæmyɾ
faoliyatini	fˌæɑɫˌyjætˈyny
tuzilishi	tˌʊzyɫˈyʃy
oʻsha	ˈoʃæ
toʻqimachilik	tˌoqymæt͡Sˈyɫyk
baland	bˈælænd
oz	ˈɑz
texnika	teχnˈykæ
vaqtida	ʋæqtˈydæ
yoʻq	jˈoq
qiladigan	qˌylædˈyɡæn
yozilgan	jɑzˈyɫɡæn
Xalqaro	χæɫqˈæɾɑ
oldin	ˌɑɫdyn
yoʻllari	joɫlˈæɾy
Mas	mˈæs
Unda	ˈʊndæ
mamlakatlarda	mˌæmlækætlˈæɾdæ
Hindiston	hyndˈystɑn
toʻgʻrisida	tˌoʁɾysˈydæ
vakillari	ʋˌækyɫlˈæɾy
Amerika	ˌæmeɾˈykæ
Fransiya	fɾˌænsˈyjæ
Qishloq	qˈyʃɫɑq
boshlangan	bɑʃlˈæŋæn
teatri	teˈætɾy
ularga	ʊlˌæɾɡæ
Turkiston	tʊɾkˈystɑn
Quyosh	qˈʊjɑʃ
boʻladigan	bˌolædˈyɡæn
tarjima	tæɾd͡ʒˈymæ
asar	ˈæsæɾ
hayoti	hæjˈɑty
shakli	ʃˈækɫy
oq	ˈɑq
til	tˈyɫ
rol	ɾˈɑɫ
Fanlar	fˌænlæɾ
koʻpgina	kopɡˈynæ
taklif	tˈækɫyf
Oʻzbek	ˈozbek
bilim	bˈyɫym
madaniyati	mˌædænyjˈæty
nerv	nˈeɾʋ
urushi	ʊɾˈʊʃy
yillar	jˈyɫlæɾ
Fargʻona	fˌæɾʁˈɑnæ
Osiyoda	ˌɑsyjˈɑdæ
kiritilgan	kˌyɾytˈyɫɡæn
tayyorlash	tæjjˈɑɾlæʃ
Eron	ˈeɾɑn
miloddan	myɫˈɑddæn
sohasida	sˌɑhæsˈydæ
viloyat	ʋyɫˈɑjæt
Bosh	bˈɑʃ
Xorazm	χˈɑɾæzm
dehqonchilik	dˌehqɑnt͡Sˈyɫyk
tuman	tˈʊmæn
birgalikda	bˌyɾɡæɫˈykdæ
lot	ɫˈɑt
mineral	mynˈeɾæɫ
pul	pˈʊɫ
Ilmiy	ˈyɫmyj
hech	hˈet͡S
tuproq	tˈʊpɾɑq
magnit	mˈæɡnyt
olim	ˈɑɫym
rangli	ɾˈæŋɫy
nazariyasi	nˌæzæɾyjˈæsy
mm	ˌemˈem
organik	ɑɾɡˈænyk
tarzda	tˈæɾzdæ
turkiy	tˈʊɾkyj
bitta	bˈyttæ
chiqishi	t͡Syqˈyʃy
tugatgan	tʊɡˈætɡæn
chop	t͡Sˈɑp
doimiy	dɑˈymyj
ikkita	ykkˈytæ
tadqiqot	tædqˈyqɑt
bagʻishlangan	bˌæʁyʃlˈæŋæn
hollarda	hɑɫlˈæɾdæ
dunyo	dˈʊnjɑ
Eng	ˈeŋ
rasmiy	ɾˈæsmyj
tayyorlanadi	tˌæjjɑɾlænˈædy
yuksak	jˈʊksæk
Shahar	ʃˈæhæɾ
kirib	kˈyɾyb
aloqa	æɫˈɑqæ
saqlanib	sæqlˈænyb
tarkibi	tæɾkˈyby
ulardan	ʊlˈæɾdæn
roʻy	ɾˈoj
yetib	jˈetyb
ogʻir	ˈɑʁyɾ
harakati	hˌæɾækˈæty
uz	ˈʊz
arbobi	æɾbˈɑby
konlari	kɑnlˈæɾy
asari	æsˈæɾy
muvofiq	mʊʋˈɑfˌyq
chunki	t͡Sˈʊnky
ingliz	ˈyŋɫyz
koʻrsatish	koɾsˈætyʃ
adabiyoti	ˌædæbyjˈɑty
jarayoni	d͡ʒˌæɾæjˈɑny
daryo	dˈæɾjɑ
asr	ˈæsɾ
ibn	ˈybn
taxminan	tæχmˌynæn
tosh	tˈɑʃ
elektron	elˈektɾɑn
kelishi	keɫˈyʃy
moddiy	mˈɑddyj
qoʻllanadi	qˌoɫlænˈædy
yanada	jænˈædæ
qisman	qˈysmæn
boshlandi	bɑʃlˈændy
kasallik	kæsˈæɫɫyk
Temur	tˈemʊɾ
chiqarilgan	t͡Sˌyqæɾˈyɫɡæn
ilgari	yɫɡˈæɾy
singari	syŋˈæɾy
solingan	sɑɫˈyŋæn
usullari	ˌʊsʊɫlˈæɾy
fizik	fˌyzyk
oshirish	ɑʃˈyɾyʃ
soʻz	sˈoz
Abu	ˈæbʊ
guruhi	ɡʊɾˈʊhy
Germaniya	ɡˌeɾmænˈyjæ
hatto	hˈættɑ
yun	jˈʊn
hisoblangan	hˌysɑblˈæŋæn
sistemasi	sˌystemˈæsy
tillari	tyɫlˈæɾy
ajratib	æd͡ʒɾˈætyb
hukumat	hʊkˈʊmæt
nazorat	næzˈɑɾæt
qilishga	qyɫˈyʃɡæ
qoplangan	qɑplˈæŋæn
Katta	kˈættæ
asarlarida	ˌæsæɾlæɾˈydæ
chet	t͡Sˈet
majbur	mˈæd͡ʒbʊɾ
I	ˈi
Shimoliy	ʃymˈɑɫyj
boshqarish	bɑʃqˈæɾyʃ
boʻlish	bˈoɫyʃ
modda	mˈɑddæ
ijodiy	yd͡ʒˈɑdyj
orasidagi	ˌɑɾæsydˈæɡy
qoʻyilgan	qojˈyɫɡæn
hissa	hˈyssæ
kirgan	kˈyɾɡæn
oshiriladi	ˌɑʃyɾylˈædy
respublika	ɾˌespʊbɫˈykæ
lar	lˈæɾ
muzeyi	mʊzˈejy
raisi	ɾæˈysy
vositalari	ʋˌɑsytælˈæɾy
xususan	χʊsˈʊsæn
adabiyot	ˌædæbˈyjɑt
beradigan	bˌeɾædˈyɡæn
energiya	ˌeneɾɡˈyjæ
kitob	kˈytɑb
qazib	qˈæzyb
sut	sˈʊt
ishga	ˈyʃɡæ
jamiyat	d͡ʒæmˈyjæt
mexanik	meχˈænyk
oʻgʻli	ˈoʁɫy
qonun	qˈɑnʊn
saqlash	sˈæqlæʃ
sharqiy	ʃˈæɾqyj
tomon	tˈɑmɑn
boriladi	bˌɑɾylˈædy
issiqlik	yssˈyqɫyk
joriy	d͡ʒˈɑɾyj
binoan	bynˈɑæn
materiallari	mˌæteɾˌyæɫlˈæɾy
qarang	qˈæɾæŋ
sm	ˌesˈem
zavodi	zæʋˈɑdy
jinsiy	d͡ʒˈynsyj
qaror	qˈæɾɑɾ
yuk	jˈʊk
asrlarda	æsɾlˈæɾdæ
kislota	kysɫˈɑtæ
odamlar	ɑdˈæmlæɾ
teri	tˈeɾy
xususiyatlari	χˌʊsʊsˌyjætlˈæɾy
Britaniya	bɾˌytænˈyjæ
aniqlash	ænˈyqlæʃ
belgilangan	bˌeɫɡylˈæŋæn
chiqaradi	t͡Sˌyqæɾˈædy
etuvchi	etˈʊʋt͡Sy
institutida	ˌynstytʊtˈydæ
daryosi	dæɾjˈɑsy
tadqiqotlar	tˌædqyqˈɑtlæɾ
toʻliq	tˈoɫyq
Moskva	mˈɑskʋæ
axborot	æχbˈɑɾɑt
ekiladi	ˌekylˈædy
korxona	kɑɾχˈɑnæ
oldini	ɑɫdˈyny
borib	bˈɑɾyb
kuch	kˈʊt͡S
ovoz	ˈɑʋɑz
qoʻshimcha	qoʃˈymt͡Sæ
Respublika	ɾˌespʊbɫˈykæ
davlati	dæʋlˈæty
oʻta	ˈotæ
ustida	ʊstˈydæ
buyumlar	bʊjˈʊmlæɾ
fransuz	fɾˌænsʊz
yashagan	jæʃˈæɡæn
yogʻoch	jˈɑʁɑt͡S
avval	ˈæʋʋæɫ
shaxs	ʃˈæχs
Natijada	nˌætyd͡ʒˈædæ
ishlangan	yʃlˈæŋæn
oy	ˈɑj
Andijon	ændˈyd͡ʒɑn
mos	mˈɑs
q	qˈa
tan	tˈæn
urush	ˈʊɾʊʃ
ijodi	yd͡ʒˈɑdy
issiq	ˈyssyq
narsa	nˈæɾsæ
shaxsiy	ʃˈæχsyj
yerga	jˈeɾɡæ
Islom	ˈysɫɑm
oʻrtalari	ˌoɾtælˈæɾy
oʻzini	ozˈyny
qoldi	qˈɑɫdy
boshlarida	bˌɑʃlæɾˈydæ
islom	ˈysɫɑm
saqlab	sˈæqlæb
yaratish	jæɾˈætyʃ
Umumiy	ʊmˈʊmyj
bayon	bˈæjɑn
ishlagan	yʃlˈæɡæn
ishlov	ˈyʃɫɑʋ
beruvchi	beɾˈʊʋt͡Sy
ishlaydi	yʃlˈæjdy
mashinasozlik	mˌæʃynæsˈɑzɫyk
ommaviy	ɑmmˈæʋyj
topdi	tˈɑpdy
Keyingi	kejˈyŋy
boʻlimi	boɫˈymy
chiqish	t͡Sˈyqyʃ
davolash	dæʋˈɑlæʃ
jamiyati	d͡ʒˌæmyjˈæty
organlari	ˌɑɾɡænlˈæɾy
oʻtib	ˈotyb
professor	pɾɑfˌessɑɾ
qizil	qˈyzyɫ
Respublikasining	ɾˌespʊbɫˌykæsˈynyŋ
mahsulot	mæhsˈʊɫɑt
mingdan	mˈyŋdæn
oʻxshash	ˈoχʃæʃ
baliq	bˈæɫyq
tutadi	tʊtˈædy
bola	bˈɑlæ
kuzatiladi	kˌʊzætylˈædy
vafot	ʋˈæfˌɑt
Suv	sˈʊʋ
Tuman	tˈʊmæn
belgilanadi	bˌeɫɡylænˈædy
mamlakatlar	mˌæmlækˈætlæɾ
namoyish	næmˈɑjyʃ
foydali	fˌɑjdˈæɫy
tadqiq	tˈædqyq
temperatura	tˌempeɾætˈʊɾæ
terma	tˈeɾmæ
xoʻjalik	χod͡ʒˈæɫyk
Asosan	æsˈɑsæn
shoir	ʃˈɑyɾ
toʻla	tˈolæ
xillari	χyɫlˈæɾy
bogʻlangan	bɑʁlˈæŋæn
hukumati	hˌʊkʊmˈæty
quyi	qˈʊjy
tayyorlangan	tˌæjjɑɾlˈæŋæn
turlicha	tʊɾɫˈyt͡Sæ
yorugʻlik	jɑɾˈʊʁɫyk
Dastlab	dˈæstlæb
asarida	ˌæsæɾˈydæ
yozib	jˈɑzyb
Ayrim	ˈæjɾym
hajmi	hˈæd͡ʒmy
hisobga	hysˈɑbɡæ
mudiri	mʊdˈyɾy
qilishda	qyɫˈyʃdæ
Jahon	d͡ʒˈæhɑn
chorvachilik	t͡Sˌɑɾʋæt͡Sˈyɫyk
olimlar	ɑɫˈymlæɾ
qoʻl	qˈoɫ
toʻgʻrisidagi	tˌoʁɾysydˈæɡy
Misr	mˈysɾ
ekanligini	ˌekænɫyɡˈyny
gʻarbiy	ʁˈæɾbyj
tarkibidagi	tˌæɾkybydˈæɡy
aylangan	æjlˈæŋæn
haqiqiy	hæqˈyqyj
sud	sˈʊd
tiliga	tyɫˈyɡæ
ustidan	ʊstˈydæn
uzunligi	ˌʊzʊnɫˈyɡy
million	myɫɫˈyɑn
nafas	nˈæfˌæs
qadimgi	qædˈymɡy
tibbiy	tˈybbyj
uzun	ˈʊzʊn
boʻlishiga	bˌoɫyʃˈyɡæ
chiqaruvchi	t͡Sˌyqæɾˈʊʋt͡Sy
mashina	mæʃˈynæ
metallurgiya	mˌetæɫɫʊɾɡˈyjæ
qilishi	qyɫˈyʃy
temperaturasi	tˌempeɾˌætʊɾˈæsy
egallaydi	ˌeɡæɫlˈæjdy
qismlari	qysmlˈæɾy
shundan	ʃˈʊndæn
Odatda	ɑdˈætdæ
boʻlmaydi	boɫmˈæjdy
janubiy	d͡ʒænˈʊbyj
soat	sˈɑæt
vazifasini	ʋˌæzyfˌæsˈyny
viloyatining	ʋˌyɫɑjætˈynyŋ
Afrika	æfɾˌykæ
qulay	qˈʊlæj
mamlakatning	mˌæmlækˈætnyŋ
mazkur	mˈæzkʊɾ
qadimdan	qædˈymdæn
qaramay	qæɾˌæmæj
aylandi	æjlˈændy
darajasi	dˌæɾæd͡ʒˈæsy
hayvon	hˈæjʋɑn
jihatidan	d͡ʒˌyhætˈydæn
kuchi	kˈʊt͡Sy
nazariy	næzˈæɾyj
xorijiy	χɑɾˈyd͡ʒyj
S	ˈes
kishidan	kyʃˈydæn
materiallar	mˌæteɾyˈæɫlæɾ
maydon	mˈæjdɑn
yulduz	jˈʊɫdʊz
bilish	bˈyɫyʃ
mumtoz	mˈʊmtɑz
yillarida	jˌyɫlæɾˈydæ
miqdorda	myqdˈɑɾdæ
oʻrmon	ˈoɾmɑn
oʻtkazish	otkˈæzyʃ
paytida	pæjtˈydæ
rahbari	ɾæhbˈæɾy
xalqlar	χˈæɫqlæɾ
Rim	ɾˈym
