је	je
становништва	stˈanovnˌɪʃtvɐ
име	ˈimɛ
По	pˈo
свој	svˈoj
им	ˈim
Иако	ˈiɐko
овај	ˈovɑj
град	ɡrˈad
Такође	tˈakod͡ʑɛ
много	mnˈoɡo
томе	tˈomɛ
После	pˈoslɛ
постоји	pˈostojɪ
ни	nˈi
Ово	ˈovo
живи	ʒˈivɪ
Због	zbˈoɡ
једна	jˈednɐ
том	tˈom
Србије	srbˈije
постао	pˈostɐo
крају	krˈɑjʊ
Према	prˈɛmɐ
којој	kˈojoj
времена	vrˈɛmɛnɐ
његов	ɲˈeɡov
углавном	ˈuɡlɐvnom
тим	tˈim
ради	rˈadɪ
живота	ʒˈivotɐ
свих	svˈih
Са	sˈa
групе	ɡrˈupɛ
они	ˈonɪ
Био	bˌɪo
јој	jˈoj
поново	pˈonovo
сам	sɐm
ако	ˈako
Овај	ˈovɑj
имала	ˈimɐlɐ
његове	ɲˈeɡovɛ
представља	prˈɛtstɐvljɐ
других	drˈuɡɪh
чланова	t͡ʃlˈanovɐ
месту	mˈɛstʊ
једном	jˈednom
сезоне	sˈɛzonɛ
буде	bˈudɛ
Ова	ˈovɐ
добио	dˈobɪo
заједно	zˈɑjedno
смрти	smrtˈi
њега	ɲˈeɡɐ
износи	ˈiznosɪ
земље	zˈɛmʎe
треба	trˈɛbɐ
висини	vˈisɪnɪ
делу	dˈɛlʊ
при	prˈi
даље	dˈaʎe
рад	rˈad
периоду	pˈɛrɪˌodʊ
Поред	pˈorɛd
Београд	bˈɛoɡrɐd
обично	ˈobɪt͡ʃno
увек	ˈuvɛk
једног	jˈednoɡ
места	mˈɛstɐ
чак	t͡ʃˈak
којих	kˈojɪh
тај	tˈɑj
мора	mˈorɐ
области	ˈoblɐstɪ
свом	svˈom
Први	prvˈi
живот	ʒˈivot
затим	zˈatɪm
односно	ˈodnosno
пет	pˈɛt
мушкараца	mˈuʃkɑrˌɐt͡sɐ
налазе	nˈalɐzɛ
воде	vˈodɛ
мање	mˈaɲe
поред	pˈorɛd
врло	vrlˈo
надморској	nˈadmorskoj
посебно	pˈosɛbno
његова	ɲˈeɡovɐ
села	sˈɛlɐ
група	ɡrˈupɐ
врста	vrstˈa
ту	tˈu
ка	kˈa
ових	ˈovɪh
користе	kˈorɪstɛ
државе	drʒˈavɛ
завршио	zˈavrʃɪo
иако	ˈiɐko
сви	svˈi
ово	ˈovo
м	mˈə
августа	ˈavɡʊstɐ
коме	kˈomɛ
нема	nˈɛmɐ
цркве	t͡srkvˈɛ
својих	svˈojɪh
над	nˈad
неки	nˈɛkɪ
једну	jˈednʊ
другим	drˈuɡɪm
сада	sˈadɐ
школе	ʃkˈolɛ
милиона	mˈilɪˌonɐ
тог	tˈoɡ
авиона	ˈavɪˌonɐ
помоћ	pˈomot͡ɕ
краја	krˈɑjɐ
имали	ˈimɐlɪ
власти	vlˈastɪ
освојио	ˈosvojˌɪo
чега	t͡ʃˈɛɡɐ
снаге	snˈaɡɛ
почео	pˈot͡ʃɛo
Србији	srbˈijɪ
света	svˈɛtɐ
својој	svˈojoj
септембра	sˈɛptɛmbrɐ
велике	vˈɛlɪkɛ
ова	ˈovɐ
породице	pˈorodˌɪt͡sɛ
врсте	vrstˈɛ
систем	sˈistɛm
основу	ˈosnovʊ
почетку	pˈot͡ʃɛtkʊ
права	prˈavɐ
маја	mˈɑjɐ
И	ˈi
Београду	bˈɛoɡrˌɐdʊ
Како	kˈako
пример	prˈimɛr
Тако	tˈako
његовог	ɲˈeɡovoɡ
октобра	ˈoktobrɐ
старост	stˈɑrost
просечна	prˈosɛt͡ʃnɐ
њима	ɲˈimɐ
неке	nˈɛkɛ
могао	mˈoɡɐo
постоје	pˈostoje
Она	ˈonɐ
добро	dˈobro
свим	svˈim
војске	vˈojskɛ
члан	t͡ʃlˈan
књига	kɲˈiɡɐ
потпуно	pˈotpʊno
сматра	smˈatrɐ
језика	jˈezɪkɐ
нови	nˈovɪ
До	dˈo
укључујући	ˈukʎʊt͡ʃˌʊjʊt͡ɕɪ
граду	ɡrˈadʊ
нешто	nˈɛʃto
Они	ˈonɪ
јула	jˈulɐ
нове	nˈovɛ
ли	lɪ
прве	prvˈɛ
система	sˈistɛmɐ
марта	mˈɑrtɐ
требало	trˈɛbɐlo
априла	ˈaprɪlɐ
свету	svˈɛtʊ
њему	ɲˈemʊ
пред	prˈɛd
укупно	ˈukʊpno
новембра	nˈovɛmbrɐ
радио	rˈadɪo
улогу	ˈuloɡʊ
долази	dˈolɐzɪ
шест	ʃˈɛst
школа	ʃkˈolɐ
мало	mˈalo
власт	vlˈast
деце	dˈɛt͡sɛ
Ипак	ˈipɐk
постаје	pˈostɑje
јуна	jˈunɐ
жене	ʒˈɛnɛ
приликом	prˈilɪkom
рада	rˈadɐ
једне	jˈednɛ
свега	svˈɛɡɐ
доба	dˈobɐ
децембра	dˈɛt͡sɛmbrɐ
већи	vˈɛt͡ɕɪ
језик	jˈezɪk
просечан	prˈosɛt͡ʃɐn
назива	nˈazɪvɐ
прва	prvˈa
реке	rˈɛkɛ
рат	rˈat
овој	ˈovoj
веку	vˈɛkʊ
назив	nˈazɪv
Ако	ˈako
значи	znˈat͡ʃɪ
тек	tˈɛk
земаља	zˈɛmɐʎɐ
главни	ɡlˈavnɪ
кад	kˈad
домаћинству	dˈomɐt͡ɕˌɪnstvʊ
сина	sˈinɐ
случају	slˈut͡ʃɑjʊ
филм	fˈilm
брзо	brzˈo
отац	ˈotɐt͡s
прво	prvˈo
једно	jˈedno
постала	pˈostɐlɐ
болести	bˈolɛstɪ
броја	brˈojɐ
дан	dˈan
тела	tˈɛlɐ
односу	ˈodnosʊ
њен	ɲˈen
оне	ˈonɛ
себе	sˈɛbɛ
право	prˈavo
познат	pˈoznɐt
Да	dˈa
почиње	pˈot͡ʃɪɲe
најчешће	nˈɑjt͡ʃɛʃt͡ɕɛ
тј	tˈəjˌə
току	tˈokʊ
јануара	jˈanʊˌɑrɐ
српске	srpskˈɛ
куће	kˈut͡ɕɛ
Југославије	jˈuɡoslˌɐvɪje
школу	ʃkˈolʊ
почетком	pˈot͡ʃɛtkom
Пошто	pˈoʃto
чини	t͡ʃˈinɪ
многе	mnˈoɡɛ
готово	ɡˈotovo
сезони	sˈɛzonɪ
различитих	rˈazlɪt͡ʃˌɪtɪh
којим	kˈojɪm
Тада	tˈadɐ
попут	pˈopʊt
војника	vˈojnɪkɐ
иза	ˈizɐ
највише	nˈɑjvɪʃɛ
првог	prvˈoɡ
Један	jˈedɐn
пошто	pˈoʃto
страни	strˈanɪ
Али	ˈalɪ
Данас	dˈanɐs
син	sˈin
војска	vˈojskɐ
успео	ˈuspɛo
остао	ˈostɐo
међутим	mˈɛd͡ʑʊtɪm
боје	bˈoje
сваки	svˈakɪ
чији	t͡ʃˈijɪ
ствари	stvˈɑrɪ
речи	rˈɛt͡ʃɪ
развој	rˈazvoj
Из	ˈiz
народа	nˈɑrodɐ
потом	pˈotom
скоро	skˈoro
књиге	kɲˈiɡɛ
овим	ˈovɪm
краља	krˈaʎɐ
чине	t͡ʃˈinɛ
држава	drʒˈavɐ
крајем	krˈɑjem
Касније	kˈasnɪje
насеља	nˈasɛʎɐ
резултат	rˈɛzʊltɐt
којем	kˈojem
периода	pˈɛrɪˌodɐ
броју	brˈojʊ
одмах	ˈodmɐh
првенству	prvˈɛnstvʊ
испод	ˈispod
облик	ˈoblɪk
имена	ˈimɛnɐ
ипак	ˈipɐk
исто	ˈisto
његово	ɲˈeɡovo
изнад	ˈiznɐd
игра	ˈiɡrɐ
многи	mnˈoɡɪ
неким	nˈɛkɪm
особа	ˈosobɐ
постигао	pˈostɪɡˌɐo
црква	t͡srkvˈa
другом	drˈuɡom
доста	dˈostɐ
песме	pˈɛsmɛ
друштва	drˈuʃtvɐ
кога	kˈoɡɐ
центар	t͡sˈɛntɑr
Насеље	nˈasɛʎe
онда	ˈondɐ
зато	zˈato
светског	svˈɛtskoɡ
говори	ɡˈovorɪ
Републике	rˈɛpʊblˌɪkɛ
никада	nˈikɐdɐ
раније	rˈanɪje
земљи	zˈɛmʎɪ
убрзо	ˈubrzo
снага	snˈaɡɐ
почела	pˈot͡ʃɛlɐ
велика	vˈɛlɪkɐ
ову	ˈovʊ
разлику	rˈazlɪkʊ
широм	ʃˈirom
њихове	ɲˈihovɛ
Све	svˈɛ
почетка	pˈot͡ʃɛtkɐ
фебруара	fˈɛbrʊˌɑrɐ
првих	prvˈih
другог	drˈuɡoɡ
Његов	ɲˈeɡov
подручја	pˈodrʊt͡ʃjɐ
података	pˈodɐtˌɐkɐ
културе	kˈultʊrɛ
садржи	sˈadrʒɪ
уметности	ˈumɛtnˌostɪ
оквиру	ˈokvɪrʊ
различите	rˈazlɪt͡ʃˌɪtɛ
добила	dˈobɪlɐ
оно	ˈono
води	vˈodɪ
исте	ˈistɛ
Град	ɡrˈad
Код	kˈod
кућа	kˈut͡ɕɐ
састоји	sˈastojɪ
влада	vlˈadɐ
друга	drˈuɡɐ
могуће	mˈoɡʊt͡ɕɛ
такмичара	tˈakmɪt͡ʃˌɑrɐ
вредности	vrˈɛdnostɪ
шта	ʃtˈa
облику	ˈoblɪkʊ
већина	vˈɛt͡ɕɪnɐ
крај	krˈɑj
вратио	vrˈatɪo
низ	nˈiz
Док	dˈok
првом	prvˈom
нарочито	nˈɑrot͡ʃˌɪto
дошло	dˈoʃlo
дело	dˈɛlo
Ту	tˈu
Нови	nˈovɪ
Срба	srbˈa
историји	ˈistorˌɪjɪ
подручју	pˈodrʊt͡ʃjʊ
његових	ɲˈeɡovɪh
село	sˈɛlo
облика	ˈoblɪkɐ
могли	mˈoɡlɪ
Године	ɡˈodɪnɛ
km	kˈəmˌə
његовом	ɲˈeɡovom
довољно	dˈovoʎno
сваке	svˈakɛ
борби	bˈorbɪ
тешко	tˈɛʃko
осим	ˈosɪm
напад	nˈapɐd
Његова	ɲˈeɡovɐ
филма	fˈilmɐ
његову	ɲˈeɡovʊ
даје	dˈɑje
утакмица	ˈutɐkmˌɪt͡sɐ
утицај	ˈutɪt͡sɑj
добија	dˈobɪjɐ
напада	nˈapɐdɐ
највећи	nˈɑjvɛt͡ɕɪ
језику	jˈezɪkʊ
умро	ˈumro
краљ	krˈaʎ
Неки	nˈɛkɪ
велику	vˈɛlɪkʊ
општине	ˈopʃtɪnɛ
оца	ˈot͡sɐ
написао	nˈapɪsˌɐo
игре	ˈiɡrɛ
близини	blˈizɪnɪ
каже	kˈaʒɛ
селу	sˈɛlʊ
породица	pˈorodˌɪt͡sɐ
пунолетних	pˈunolˌɛtnɪh
седам	sˈɛdɐm
великог	vˈɛlɪkoɡ
Дана	dˈanɐ
површине	pˈovrʃɪnɛ
Прва	prvˈa
њене	ɲˈenɛ
минута	mˈinʊtɐ
клуб	klˈub
САД	sˈad
многим	mnˈoɡɪm
остали	ˈostɐlɪ
домаћинстава	dˈomɐt͡ɕˌɪnstɐvɐ
II	rˈimskodvˈa
великим	vˈɛlɪkɪm
Други	drˈuɡɪ
нпр	nˈəpˌərˌə
неће	nˈɛt͡ɕɛ
рекао	rˈɛkɐo
проблема	prˈoblɛmɐ
борбе	bˈorbɛ
вероватно	vˈɛrovˌɐtno
кући	kˈut͡ɕɪ
др	dˈərˌə
циљ	t͡sˈiʎ
мајка	mˈɑjkɐ
период	pˈɛrɪod
такмичења	tˈakmɪt͡ʃˌɛɲɐ
тих	tˈih
крила	krˈilɐ
јединице	jˈedɪnˌɪt͡sɛ
острва	ˈostrvɐ
де	dˈɛ
њеног	ɲˈenoɡ
веће	vˈɛt͡ɕɛ
председник	prˈɛtsɛdnɪk
испред	ˈisprɛd
промене	prˈomɛnɛ
јединица	jˈedɪnˌɪt͡sɐ
истраживања	ˈistrɐʒˌɪvɐɲɐ
понекад	pˈonɛkɐd
играча	ˈiɡrɐt͡ʃɐ
годину	ɡˈodɪnʊ
другој	drˈuɡoj
Општина	ˈopʃtɪnɐ
простор	prˈostor
дао	dˈao
путем	pˈutɛm
позната	pˈoznɐtɐ
Већина	vˈɛt͡ɕɪnɐ
поена	pˈoɛnɐ
буду	bˈudʊ
активности	ˈaktɪvnˌostɪ
албум	ˈalbʊm
једној	jˈednoj
С	sˈə
дошао	dˈoʃɐo
знатно	znˈatno
рату	rˈatʊ
животу	ʒˈivotʊ
потребно	pˈotrɛbno
српског	srpskˈoɡ
осам	ˈosɐm
месеци	mˈɛsɛt͡sɪ
првој	prvˈoj
могла	mˈoɡlɐ
различитим	rˈazlɪt͡ʃˌɪtɪm
њихов	ɲˈihov
осталих	ˈostɐlɪh
српски	srpskˈi
типа	tˈipɐ
унутар	ˈunʊtɑr
којом	kˈojom
Српске	srpskˈɛ
називом	nˈazɪvom
играо	ˈiɡrɐo
војску	vˈojskʊ
Осим	ˈosɪm
владе	vlˈadɛ
језера	jˈezɛrɐ
стању	stˈaɲʊ
изузетно	ˈizʊzˌɛtno
утакмице	ˈutɐkmˌɪt͡sɛ
човек	t͡ʃˈovɛk
смрт	smrt
обе	ˈobɛ
десет	dˈɛsɛt
процес	prˈot͡sɛs
уместо	ˈumɛsto
Срби	srbˈi
школи	ʃkˈolɪ
живе	ʒˈivɛ
човека	t͡ʃˈovɛkɐ
чему	t͡ʃˈɛmʊ
односи	ˈodnosɪ
албума	ˈalbʊmɐ
нових	nˈovɪh
једини	jˈedɪnɪ
висине	vˈisɪnɛ
тело	tˈɛlo
толико	tˈolɪko
бави	bˈavɪ
великих	vˈɛlɪkɪh
види	vˈidɪ
имати	ˈimɐtɪ
О	ˈo
серије	sˈɛrɪje
носи	nˈosɪ
објавио	ˈobjɐvˌɪo
проблем	prˈoblɛm
оба	ˈobɐ
та	tˈa
Другог	drˈuɡoɡ
тиме	tˈimɛ
рођен	rˈod͡ʑɛn
најбољи	nˈɑjboʎɪ
награду	nˈaɡrɐdʊ
долара	dˈolɑrɐ
вода	vˈodɐ
ју	jˈu
представљају	prˈɛtstɐvljˌɑjʊ
њој	ɲˈoj
зна	znˈa
својом	svˈojom
стање	stˈaɲe
делом	dˈɛlom
тзв	tˈəzˌəvˌə
успех	ˈuspɛh
организације	ˈorɡɐnˌɪzɐt͡sˌɪje
мада	mˈadɐ
тој	tˈoj
могућност	mˈoɡʊt͡ɕnost
новог	nˈovoɡ
слика	slˈikɐ
њена	ɲˈenɐ
себи	sˈɛbɪ
Упркос	ˈuprkos
земљу	zˈɛmʎʊ
лако	lˈako
материјала	mˈatɛrˌɪjɐlɐ
Ове	ˈovɛ
Постоје	pˈostoje
већа	vˈɛt͡ɕɐ
Пре	prˈɛ
положај	pˈoloʒɑj
морају	mˈorɑjʊ
одиграо	ˈodɪɡrˌɐo
његовим	ɲˈeɡovɪm
дуго	dˈuɡo
чиме	t͡ʃˈimɛ
сва	svˈa
медаљу	mˈɛdɐʎʊ
исти	ˈistɪ
дете	dˈɛtɛ
подручје	pˈodrʊt͡ʃje
мали	mˈalɪ
прича	prˈit͡ʃɐ
клуба	klˈubɐ
Београда	bˈɛoɡrˌɐdɐ
простору	prˈostorʊ
остале	ˈostɐlɛ
везе	vˈɛzɛ
Велики	vˈɛlɪkɪ
ко	kˈo
титулу	tˈitʊlʊ
владавине	vlˈadɐvˌɪnɛ
његови	ɲˈeɡovɪ
јако	jˈako
слике	slˈikɛ
каријеру	kˈɑrɪjˌerʊ
друго	drˈuɡo
нити	nˈitɪ
Међу	mˈɛd͡ʑʊ
зграде	zɡrˈadɛ
колико	kˈolɪko
разлога	rˈazloɡɐ
играч	ˈiɡrɐt͡ʃ
једним	jˈednɪm
Св	sˈəvˌə
страна	strˈanɐ
Сви	svˈi
свет	svˈɛt
услед	ˈuslɛd
Јован	jˈovɐn
насеље	nˈasɛʎe
лета	lˈɛtɐ
првенства	prvˈɛnstvɐ
Европи	ˈɛvropɪ
потребе	pˈotrɛbɛ
становништво	stˈanovnˌɪʃtvo
најбољих	nˈɑjboʎɪh
сматрају	smˈatrɑjʊ
Постоји	pˈostojɪ
тренутку	trˈɛnʊtkʊ
питање	pˈitɐɲe
прави	prˈavɪ
именом	ˈimɛnom
јавља	jˈavljɐ
Није	nˈije
песама	pˈɛsɐmɐ
помоћу	pˈomot͡ɕʊ
морао	mˈorɐo
остала	ˈostɐlɐ
моћи	mˈot͡ɕɪ
река	rˈɛkɐ
Европе	ˈɛvropɛ
нивоу	nˈivo͡ʊ
ње	ɲˈe
каријере	kˈɑrɪjˌerɛ
зграда	zɡrˈadɐ
истовремено	ˈistovrˌɛmɛno
месеца	mˈɛsɛt͡sɐ
територије	tˈɛrɪtˌorɪje
релативно	rˈɛlɐtˌɪvno
чланови	t͡ʃlˈanovɪ
линије	lˈinɪje
историје	ˈistorˌɪje
особе	ˈosobɛ
посао	pˈosɐo
Била	bˌɪlɐ
тамо	tˈamo
А	ˈa
подршку	pˈodrʃkʊ
вредност	vrˈɛdnost
изабран	ˈizɐbrɐn
развоја	rˈazvojɐ
њихова	ɲˈihovɐ
програма	prˈoɡrɐmɐ
км	kˈəmˌə
народ	nˈɑrod
раду	rˈadʊ
српских	srpskˈih
Многи	mnˈoɡɪ
врата	vrˈatɐ
смислу	smˈislʊ
хране	xrˈanɛ
цара	t͡sˈɑrɐ
Не	nˈɛ
реч	rˈɛt͡ʃ
Ови	ˈovɪ
радова	rˈadovɐ
вези	vˈɛzɪ
бројне	brˈojnɛ
Светог	svˈɛtoɡ
освојила	ˈosvojˌɪlɐ
филму	fˈilmʊ
Још	jˈoʃ
енергије	ˈɛnɛrɡˌɪje
Уз	ˈuz
омогућава	ˈomoɡˌʊt͡ɕɐvɐ
децу	dˈɛt͡sʊ
итд	ˈitˌədˌə
брата	brˈatɐ
прву	prvˈu
нова	nˈovɐ
жели	ʒˈɛlɪ
њим	ɲˈim
видео	vˈidɛo
ван	vˈan
можда	mˈoʒdɐ
наставио	nˈastɐvˌɪo
потпуности	pˈotpʊnˌostɪ
Филм	fˈilm
функције	fˈuŋkt͡sɪje
обзиром	ˈobzɪrom
манастира	mˈanɐstˌɪrɐ
налазио	nˈalɐzˌɪo
Има	ˈimɐ
ништа	nˈiʃtɐ
директно	dˈirɛktno
годинама	ɡˈodɪnˌɐmɐ
последица	pˈoslɛdˌɪt͡sɐ
другу	drˈuɡʊ
лица	lˈit͡sɐ
многих	mnˈoɡɪh
Убрзо	ˈubrzo
познати	pˈoznɐtɪ
друштво	drˈuʃtvo
авион	ˈavɪon
ноћи	nˈot͡ɕɪ
царства	t͡sˈɑrstvɐ
организација	ˈorɡɐnˌɪzɐt͡sˌɪjɐ
простора	prˈostorɐ
неко	nˈɛko
могућности	mˈoɡʊt͡ɕnˌostɪ
сваког	svˈakoɡ
враћа	vrˈat͡ɕɐ
учествовао	ˈut͡ʃɛstvˌovɐo
Једна	jˈednɐ
јесте	jˈestɛ
неких	nˈɛkɪh
поља	pˈoʎɐ
I	ˈi
условима	ˈuslovˌɪmɐ
питања	pˈitɐɲɐ
програм	prˈoɡrɐm
зависности	zˈavɪsnˌostɪ
пише	pˈiʃɛ
тима	tˈimɐ
војне	vˈojnɛ
извора	ˈizvorɐ
територији	tˈɛrɪtˌorɪjɪ
захтева	zˈahtɛvɐ
Главни	ɡlˈavnɪ
боље	bˈoʎe
почели	pˈot͡ʃɛlɪ
метра	mˈɛtrɐ
потиче	pˈotɪt͡ʃɛ
случај	slˈut͡ʃɑj
m	mˈə
захваљујући	zˈahvɐʎˌʊjʊt͡ɕɪ
величине	vˈɛlɪt͡ʃˌɪnɛ
студија	stˈudɪjɐ
великом	vˈɛlɪkom
заједнице	zˈɑjednˌɪt͡sɛ
најбоље	nˈɑjboʎe
развоју	rˈazvojʊ
средине	srˈɛdɪnɛ
љубав	ʎˈubɐv
председника	prˈɛtsɛdnˌɪkɐ
разне	rˈaznɛ
одлучио	ˈodlʊt͡ʃˌɪo
Кад	kˈad
догађаја	dˈoɡɐd͡ʑˌɑjɐ
користити	kˈorɪstˌɪtɪ
финалу	fˈinɐlʊ
борбу	bˈorbʊ
самог	sˈamoɡ
мери	mˈɛrɪ
површина	pˈovrʃɪnɐ
људе	ʎˈudɛ
битке	bˈitkɛ
њиховог	ɲˈihovoɡ
боја	bˈojɐ
значајно	znˈat͡ʃɑjno
познато	pˈoznɐto
новац	nˈovɐt͡s
заправо	zˈaprɐvo
којег	kˈojeɡ
групи	ɡrˈupɪ
њихових	ɲˈihovɪh
започео	zˈapot͡ʃˌɛo
брат	brˈat
групу	ɡrˈupʊ
имале	ˈimɐlɛ
хиљада	xˈiʎɐdɐ
извор	ˈizvor
обухвата	ˈobʊhvˌɐtɐ
студије	stˈudɪje
пада	pˈadɐ
чија	t͡ʃˈijɐ
уговор	ˈuɡovor
врати	vrˈatɪ
покрета	pˈokrɛtɐ
зове	zˈovɛ
Око	ˈoko
години	ɡˈodɪnɪ
земљама	zˈɛmʎɐmɐ
креће	krˈɛt͡ɕɛ
његовој	ɲˈeɡovoj
природе	prˈirodɛ
мале	mˈalɛ
најмање	nˈɑjmɐɲe
сваком	svˈakom
годишње	ɡˈodɪʃɲe
наводи	nˈavodɪ
управо	ˈuprɐvo
награда	nˈaɡrɐdɐ
задатак	zˈadɐtɐk
пар	pˈɑr
показује	pˈokɐzˌʊje
зависи	zˈavɪsɪ
функција	fˈuŋkt͡sɪjɐ
Црне	t͡srnˈɛ
књижевности	kɲˈiʒɛvnˌostɪ
челу	t͡ʃˈɛlʊ
рекорд	rˈɛkord
однос	ˈodnos
остаје	ˈostɑje
возила	vˈozɪlɐ
изгубио	ˈizɡʊbˌɪo
називају	nˈazɪvˌɑjʊ
људима	ʎˈudɪmɐ
пола	pˈolɐ
заштиту	zˈaʃtɪtʊ
општина	ˈopʃtɪnɐ
близу	blˈizʊ
градова	ɡrˈadovɐ
приступ	prˈistʊp
приче	prˈit͡ʃɛ
времену	vrˈɛmɛnʊ
Тај	tˈɑj
помиње	pˈomɪɲe
постављен	pˈostɐvljen
утакмици	ˈutɐkmˌɪt͡sɪ
појављује	pˈojɐvljˌʊje
стално	stˈalno
јасно	jˈasno
планине	plˈanɪnɛ
њу	ɲˈu
класе	klˈasɛ
провео	prˈovɛo
временом	vrˈɛmɛnom
оних	ˈonɪh
породици	pˈorodˌɪt͡sɪ
цар	t͡sˈɑr
секунди	sˈɛkʊndɪ
односе	ˈodnosɛ
нову	nˈovʊ
политичке	pˈolɪtˌɪt͡ʃkɛ
користио	kˈorɪstˌɪo
трећи	trˈɛt͡ɕɪ
Под	pˈod
границе	ɡrˈanɪt͡sɛ
успешно	ˈuspɛʃno
медаља	mˈɛdɐʎɐ
правила	prˈavɪlɐ
играма	ˈiɡrɐmɐ
промена	prˈomɛnɐ
изгледа	ˈizɡlɛdɐ
основне	ˈosnovnɛ
искључиво	ˈiskʎʊt͡ʃˌɪvo
објављен	ˈobjɐvljen
верзија	vˈɛrzɪjɐ
дужина	dˈuʒɪnɐ
пажњу	pˈaʒɲʊ
лиге	lˈiɡɛ
историју	ˈistorˌɪjʊ
мјесту	mjˈestʊ
наука	nˈaʊkɐ
стања	stˈaɲɐ
Александар	ˈalɛksˌɐndɑr
Горе	ɡˈorɛ
дужине	dˈuʒɪnɛ
кућу	kˈut͡ɕʊ
складу	sklˈadʊ
Зато	zˈato
ниво	nˈivo
манастир	mˈanɐstɪr
прати	prˈatɪ
радом	rˈadom
припада	prˈipɐdɐ
раде	rˈadɛ
неког	nˈɛkoɡ
покушава	pˈokʊʃˌɐvɐ
њеном	ɲˈenom
of	ˈof
виду	vˈidʊ
разним	rˈaznɪm
средње	srˈɛdɲe
значај	znˈat͡ʃɑj
везу	vˈɛzʊ
питању	pˈitɐɲʊ
контролу	kˈontrolʊ
саставу	sˈastɐvʊ
закона	zˈakonɐ
политички	pˈolɪtˌɪt͡ʃkɪ
траје	trˈɑje
Првог	prvˈoɡ
врши	vrʃˈi
истом	ˈistom
лиги	lˈiɡɪ
налазила	nˈalɐzˌɪlɐ
цркви	t͡srkvˈi
одлази	ˈodlɐzɪ
свака	svˈakɐ
уколико	ˈukolˌɪko
област	ˈoblɐst
одбране	ˈodbrɐnɛ
делови	dˈɛlovɪ
странке	strˈaŋkɛ
план	plˈan
The	thˈɛ
трупа	trˈupɐ
нивоа	nˈivoɐ
укључује	ˈukʎʊt͡ʃˌʊje
новца	nˈoft͡sɐ
племена	plˈɛmɛnɐ
врху	vrhˈu
линија	lˈinɪjɐ
ученика	ˈut͡ʃɛnˌɪkɐ
армије	ˈɑrmɪje
српском	srpskˈom
једино	jˈedɪno
При	prˈi
девет	dˈɛvɛt
страну	strˈanʊ
деца	dˈɛt͡sɐ
доводи	dˈovodɪ
првенство	prvˈɛnstvo
самом	sˈamom
моћ	mˈot͡ɕ
систему	sˈistɛmʊ
мањи	mˈaɲɪ
руке	rˈukɛ
знак	znˈak
истог	ˈistoɡ
личности	lˈit͡ʃnostɪ
дуж	dˈuʒ
центру	t͡sˈɛntrʊ
гдје	ɡdjˈe
