--nya	--ɲa
albino	albino
album	album
albumén	albumen
alem	aləm
aleman	aləman
alf	alf
alfa	alfa
alfabét	alfabet
alfabétis	alfabetis
alfu	alfu
alga	alga
algojo	algodʒo
algoritma	algoritma
algoritme	algoritmə
alhamdulillah	alhamdulillah
alhasil	alhasil
ali	ali
aliah	aliah
aliansi	aliansi
alias	alias
alibi	alibi
alif	alif
alif-ba-ta	alif-ba-ta
alifbata	alifbata
alih	alih
alihan	alihan
alik	aliʔ
alim	alim
alimbubu	alimbubu
alimiah	alimiah
alimiat	alimiat
aliméntasi	alimentasi
alin	alin
aling	aliŋ
alingan	aliŋan
alinéa	alinea
alip	alip
alir	alir
aliran	aliran
alis	alis
alit	alit
aliterasi	alitərasi
aliénasi	alienasi
aljabar	aldʒabar
alkah	alkah
alkali	alkali
alkaloid	alkaloid
alkamar	alkamar
alkari	alkari
alkasyaf	alkasjaf
alkausar	alkausar
alkisah	alkisah
alkohol	alkohol
alkoholisme	alkoholismə
alku	alku
alkéna	alkena
allah	allah
almalun	almalun
almamatér	almamater
almanak	almanaʔ
almarhum	almarhum
almarhumah	almarhumah
almari	almari
almuazam	almuazam
almukhlis	almuʔhlis
alofon	alofon
alokasi	alokasi
alomorf	alomorf
alon	alon
alot	alot
alpa	alpa
alpaka	alpaka
alpukah	alpukah
alpérés	alperes
altar	altar
alternasi	altərnasi
alternator	altərnator
altiméter	altimetər
alto	alto
altruis	altruis
altruisme	altruismə
altruistis	altruistis
altérnatif	alternatif
alu	alu
aluan	aluan
alum	alum
aluminium	aluminium
alumni	alumni
alumnus	alumnus
alun	alun
alunan	alunan
alung	aluŋ
alup	alup
alur	alur
aluran	aluran
alurnya	alurɲa
aluvial	aluvial
aluvium	aluvium
alveolus	alvəolus
alvéolus	alveolus
alwah	alwah
alwasi	alwasi
alégori	alegori
alégoris	alegoris
alérgi	alergi
alérgis	alergis
alérgén	alergen
am	am
ama	ama
amabakdu	amabaʔdu
amah	amah
amal	amal
amalan	amalan
amalannya	amalanɲa
amalgam	amalgam
amalgamasi	amalgamasi
amali	amali
amaliah	amaliah
aman	aman
amanah	amanah
amanat	amanat
amandel	amandəl
amang	amaŋ
amantu	amantu
amar	amar
amarah	amarah
amarahnya	amarahɲa
amaran	amaran
amat	amat
amatan	amatan
amatir	amatir
amatirisme	amatirismə
amatlah	amatlah
amatur	amatur
ambah	ambah
ambai	ambai
ambaian	ambaian
ambak	ambaʔ
ambal	ambal
ambalan	ambalan
ambang	ambaŋ
ambar	ambar
ambarau	ambarau
ambasade	ambasadə
ambasador	ambasador
ambau	ambau
ambek	ambəʔ
ambekan	ambəkan
amben	ambən
ambet	ambət
ambigu	ambigu
ambiguitas	ambiguitas
ambil	ambil
ambilan	ambilan
ambilkan	ambilkan
ambin	ambin
ambinan	ambinan
ambing	ambiŋ
ambingkan	ambiŋkan
ambisi	ambisi
ambisius	ambisius
ambivalén	ambivalen
ambivalénsi	ambivalensi
amblas	amblas
amblek	ambləʔ
ambles	ambləs
amboi	amboi
ambreng	ambrəŋ
ambrol	ambrol
ambruk	ambruʔ
ambu	ambu
ambuh	ambuh
ambul	ambul
ambulans	ambulans
ambung	ambuŋ
ambur	ambur
amburadul	amburadul
ambyar	ambjar
ambéien	ambeiən
ambén	amben
amerta	amərta
ametis	amətis
amfibi	amfibi
amfitéater	amfiteatər
amfétamin	amfetamin
ami	ami
amikal	amikal
amil	amil
amilase	amilasə
amin	amin
amina	amina
amino	amino
amir	amir
amirulbahar	amirulbahar
amirulhaj	amirulhadʒ
amirulmukminin	amirulmuʔminin
amis	amis
amit	amit
amko	amko
amnésia	amnesia
amnésti	amnesti
amoi	amoi
amonia	amonia
amonium	amonium
amoral	amoral
amorf	amorf
amortisasi	amortisasi
ampai	ampai
ampaian	ampaian
ampang	ampaŋ
ampas	ampas
ampat	ampat
ampek	ampəʔ
ampel	ampəl
ampela	ampəla
ampelas	ampəlas
amplifikasi	amplifikasi
amplitudo	amplitudo
amplop	amplop
ampo	ampo
amprok	amproʔ
ampu	ampu
ampuh	ampuh
ampuk	ampuʔ
ampul	ampul
ampun	ampun
ampunan	ampunan
amput	amput
amputan	amputan
amputasi	amputasi
ampé	ampe
ampéan	ampean
ampél	ampel
ampére	amperə
amra	amra
amri	amri
amril	amril
amsal	amsal
amtenar	amtənar
amuh	amuh
amuk	amuʔ
amukan	amukan
amulét	amulet
amung	amuŋ
amunisi	amunisi
améba	ameba
amébiasis	amebiasis
améliorasi	ameliorasi
amén	amen
améndemén	amendəmen
ana	ana
anabolisme	anabolismə
anafilaksis	anafilaʔsis
anafora	anafora
anafrodisiak	anafrodisiaʔ
anai	anai
anak	anaʔ
anakan	anakan
anakku	anaʔku
anakmu	anaʔmu
anaknya	anaʔɲa
anakronisme	anaʔronismə
anakronistis	anaʔronistis
anal	anal
analgésik	analgesiʔ
analis	analis
analisis	analisis
analitis	analitis
analog	analog
analogi	analogi
analékta	analeʔta
ananda	ananda
anang	anaŋ
anani	anani
anarki	anarki
anarkis	anarkis
anarkisme	anarkismə
anarkistis	anarkistis
anas	anas
anasional	anasional
anasir	anasir
anatomi	anatomi
anatomis	anatomis
anaérob	anaerob
anaérobik	anaerobiʔ
anbia	anbia
anca	antʃa
ancai	antʃai
ancak	antʃaʔ
ancala	antʃala
ancam	antʃam
ancaman	antʃaman
ancang	antʃaŋ
ancangan	antʃaŋan
ancar	antʃar
ancoa	antʃoa
ancol	antʃol
ancuk	antʃuʔ
anda	anda
andai	andai
andaian	andaian
andainya	andaiɲa
andak	andaʔ
andaka	andaka
andal	andal
andalan	andalan
andalas	andalas
andalkan	andalkan
andam	andam
andaman	andaman
andan	andan
andang	andaŋ
andapita	andapita
andar	andar
andeng	andəŋ
anderak	andəraʔ
andika	andika
andiko	andiko
andil	andil
andilau	andilau
andok	andoʔ
andong	andoŋ
andrawina	andrawina
androgén	androgen
andrologi	andrologi
anduh	anduh
anduhan	anduhan
andun	andun
andung	anduŋ
andur	andur
andésit	andesit
andéwi	andewi
anfas	anfas
angah	aŋah
angan	aŋan
angankan	aŋankan
angannya	aŋanɲa
angel	aŋəl
angga	aŋga
anggai	aŋgai
anggak	aŋgaʔ
anggal	aŋgal
anggan	aŋgan
anggap	aŋgap
anggapan	aŋgapan
anggar	aŋgar
anggara	aŋgara
anggaran	aŋgaran
anggarannya	aŋgaranɲa
anggerka	aŋgərka
anggit	aŋgit
anggitan	aŋgitan
angglap	aŋglap
anggota	aŋgota
anggrék	aŋgreʔ
anggrékwan	aŋgreʔwan
angguh	aŋguh
angguk	aŋguʔ
anggukan	aŋgukan
anggul	aŋgul
anggun	aŋgun
anggung	aŋguŋ
anggur	aŋgur
angguran	aŋguran
anggut	aŋgut
anghun	aŋhun
angin	aŋin
angina	aŋina
angit	aŋit
angka	aŋka
angkak	aŋkaʔ
angkal	aŋkal
angkanya	aŋkaɲa
angkara	aŋkara
angkasa	aŋkasa
angkasawan	aŋkasawan
angkasawati	aŋkasawati
angkat	aŋkat
angkatan	aŋkatan
angkatnya	aŋkatɲa
angker	aŋkər
angkin	aŋkin
angkit	aŋkit
angklung	aŋʔluŋ
angkong	aŋkoŋ
angkring	aŋʔriŋ
angkringan	aŋʔriŋan
angku	aŋku
angkuh	aŋkuh
angkuk	aŋkuʔ
angkup	aŋkup
angkur	aŋkur
angkut	aŋkut
angkutan	aŋkutan
angkél	aŋkel
angkét	aŋket
anglap	aŋlap
angler	aŋlər
anglo	aŋlo
anglong	aŋloŋ
anglung	aŋluŋ
angon	aŋon
angonan	aŋonan
angop	aŋop
angot	aŋot
angpau	aŋpau
angsa	aŋsa
angsana	aŋsana
angsoka	aŋsoka
angsu	aŋsu
angsur	aŋsur
angsuran	aŋsuran
angur	aŋur
angut	aŋut
angél	aŋel
ani	ani
aniaya	aniaja
anih	anih
animasi	animasi
animis	animis
animisme	animismə
animo	animo
anion	anion
anis	anis
anita	anita
anja	andʒa
anjak	andʒaʔ
anjakan	andʒakan
anjal	andʒal
anjang	andʒaŋ
anjangkarya	andʒaŋkarja
anjangsana	andʒaŋsana
anjar	andʒar
anjiman	andʒiman
anjing	andʒiŋ
anjir	andʒir
anjlok	andʒloʔ
anju	andʒu
anjung	andʒuŋ
anjur	andʒur
anjuran	andʒuran
anoa	anoa
anom	anom
anomali	anomali
anomi	anomi
anonim	anonim
anonimitas	anonimitas
anorganik	anorganiʔ
anoréksia	anoreʔsia
anotasi	anotasi
ansa	ansa
ansambel	ansambəl
ansar	ansar
ansari	ansari
ansur	ansur
anta	anta
antagonis	antagonis
antagonisme	antagonismə
antagonistis	antagonistis
antah	antah
antakesuma	antakəsuma
antalas	antalas
antamir	antamir
antan	antan
antap	antap
antar	antar
antara	antara
antarabangsa	antarabaŋsa
antaran	antaran
antaranya	antaraɲa
antarbangsa	antarbaŋsa
antarbenua	antarbənua
antardaérah	antardaerah
antari	antari
antariksa	antariʔsa
antariksawan	antariʔsawan
antariksawati	antariʔsawati
antarkelompok	antarkəlompoʔ
antarmaster	antarmastər
antarmolekul	antarmoləkul
antarmuka	antarmuka
antarnegara	antarnəgara
antarpribadi	antarpribadi
antarpulau	antarpulau
antarras	antarras
antarruang	antarruaŋ
antarsuku	antarsuku
antarsél	antarsel
antartika	antartika
antarwilayah	antarwilajah
antasid	antasid
antawacana	antawatʃana
antelas	antəlas
antelop	antəlop
antem	antəm
anteng	antəŋ
antep	antəp
anter	antər
anti	anti
anti-beku	anti-bəku
anti-karat	anti-karat
antibeku	antibəku
antibiosis	antibiosis
antibiotik	antibiotiʔ
antibodi	antibodi
antidioksida	antidioʔsida
antidéprésan	antidepresan
antigén	antigen
antih	antih
antihistamin	antihistamin
antijasad	antidʒasad
antik	antiʔ
antikarat	antikarat
antiklimaks	antiʔlimaʔs
antiklin	antiʔlin
antikristus	antiʔristus
antimuntah	antimuntah
anting	antiŋ
antipati	antipati
antipenawar	antipənawar
antipirétik	antipiretiʔ
antipode	antipodə
antisipasi	antisipasi
antisipatif	antisipatif
antisosial	antisosial
antisépsis	antisepsis
antiséptik	antiseptiʔ
antitank	antitanʔ
antitoksin	antitoʔsin
antitésis	antitesis
antivirus	antivirus
antiwirawan	antiwirawan
antiénzim	antienzim
antoi	antoi
antologi	antologi
antonim	antonim
antonimi	antonimi
antop	antop
antrasit	antrasit
antropolog	antropolog
antropologi	antropologi
antropomorfisme	antropomorfismə
antroposéntris	antroposentris
antré	antre
antréan	antrean
antuk	antuʔ
antul	antul
antun	antun
antung	antuŋ
antusias	antusias
antusiasme	antusiasmə
anték	anteʔ
antéken	antekən
anténa	antena
anténg	anteŋ
antér	anter
antéro	antero
antéséden	antesedən
anu	anu
anugerah	anugərah
anuitas	anuitas
anulir	anulir
anumerta	anumərta
anunasika	anunasika
anus	anus
anuswara	anuswara
anut	anut
anutan	anutan
anyam	aɲam
anyaman	aɲaman
anyang	aɲaŋ
anyar	aɲar
anyelir	aɲəlir
anyir	aɲir
anéh	aneh
anéhnya	anehɲa
anéka	aneka
anéksasi	aneʔsasi
anémer	anemər
anéstési	anestesi
anéstésiolog	anestesiolog
aorta	aorta
apa	apa
apaan	apaʔan
apabila	apabila
apak	apaʔ
apakah	apakah
apakala	apakala
apalagi	apalagi
apalah	apalah
apam	apam
apanya	apaɲa
apapun	apapun
apar	apar
aparat	aparat
aparatur	aparatur
aparatus	aparatus
apartemén	apartəmen
aparthéid	apartheid
apas	apas
apatah	apatah
apati	apati
apatis	apatis
apek	apəʔ
apel	apəl
apes	apəs
api	api
apian	apian
apik	apiʔ
apikal	apikal
apikultur	apikultur
apilan	apilan
apion	apion
apit	apit
apitan	apitan
apkir	apkir
apkiran	apkiran
aplaus	aplaus
aplikasi	aplikasi
aplikatif	aplikatif
aplus	aplus
aplusan	aplusan
apologi	apologi
apologia	apologia
apologétis	apologetis
apopléksi	apopleʔsi
aposisi	aposisi
apositif	apositif
aposteriori	apostəriori
apostolik	apostoliʔ
apostrof	apostrof
apoték	apoteʔ
apotéker	apotekər
apriori	apriori
aprit	aprit
apron	apron
aprésiasi	apresiasi
aprésiatif	apresiatif
apuh	apuh
apung	apuŋ
apungan	apuŋan
apuran	apuran
apé	ape
apél	apel
apéndiks	apendiʔs
apéndisitis	apendisitis
apérsépsi	apersepsi
aqil	akil
ara	ara
arab	arab
arabika	arabika
arah	arah
arahan	arahan
arahnya	arahɲa
arai	arai
arak	araʔ
arakan	arakan
arakian	arakian
aral	aral
aram	aram
arang	araŋ
aransemén	aransəmen
ararut	ararut
aras	aras
arasy	arasj
arau	arau
arbab	arbab
arbiter	arbitər
arbitrase	arbitrasə
arbitrér	arbitrer
arbéi	arbei
arca	artʃa
ardi	ardi
arem	arəm
arena	arəna
ares	arəs
argari	argari
argométer	argometər
argon	argon
argumén	argumen
arguméntasi	argumentasi
arguméntatif	argumentatif
ari	ari
aria	aria
arian	arian
arif	arif
arifin	arifin
arih	arih
arik	ariʔ
aring	ariŋ
arip	arip
aris	aris
arisan	arisan
aristokrasi	aristoʔrasi
aristokrat	aristoʔrat
aristokratis	aristoʔratis
arit	arit
aritmétika	aritmetika
arja	ardʒa
arkais	arkais
arkaisme	arkaismə
arkati	arkati
arkian	arkian
arku	arku
arkéolog	arkeolog
arkéologi	arkeologi
arkéologis	arkeologis
arloji	arlodʒi
armada	armada
arnab	arnab
arnal	arnal
arogan	arogan
arogansi	arogansi
aroma	aroma
aromatik	aromatiʔ
arombai	arombai
aron	aron
aronan	aronan
arpus	arpus
arsenal	arsənal
arsip	arsip
arsipélago	arsipelago
arsir	arsir
arsiran	arsiran
arsis	arsis
arsiték	arsiteʔ
arsitéktur	arsiteʔtur
arsénikum	arsenikum
arta	arta
artefak	artəfaʔ
arteri	artəri
arti	arti
artian	artian
artifak	artifaʔ
artifisial	artifisial
artikel	artikəl
artikulasi	artikulasi
artikulator	artikulator
artileri	artiləri
artinya	artiɲa
artis	artis
artisan	artisan
artistik	artistiʔ
artisyok	artisjoʔ
artona	artona
artériografi	arteriografi
artériosklérosis	arteriosʔlerosis
artésis	artesis
artétis	artetis
aru	aru
aruan	aruan
aruda	aruda
aruk	aruʔ
arun	arun
arung	aruŋ
arungan	aruŋan
arus	arus
arwah	arwah
arwana	arwana
arya	arja
arzak	arzaʔ
aréa	area
aréal	areal
arék	areʔ
arén	aren
aréna	arena
arés	ares
aréstasi	arestasi
as	as
asa	asa
asaan	asaʔan
asabat	asabat
asabiah	asabiah
asad	asad
asah	asah
asahan	asahan
asai	asai
asak	asaʔ
asakan	asakan
asal	asal
asalan	asalan
asali	asali
asalkan	asalkan
asalnya	asalɲa
asam	asam
asaman	asaman
asan	asan
asap	asap
asar	asar
asas	asas
asasi	asasi
asasnya	asasɲa
asbak	asbaʔ
asbut	asbut
asbés	asbes
aseran	asəran
asetat	asətat
aseton	asəton
asfal	asfal
asfar	asfar
asfiksia	asfiʔsia
ashar	ashar
asi	asi
asia	asia
asian	asian
asih	asih
asil	asil
asimilasi	asimilasi
asimtot	asimtot
asimétris	asimetris
asin	asin
asinan	asinan
asing	asiŋ
asiri	asiri
asistén	asisten
asisténsi	asistensi
askar	askar
askriptif	asʔriptif
asli	asli
aslinya	asliɲa
asma	asma
asmara	asmara
asmaradanta	asmaradanta
asmaragama	asmaragama
asmaraloka	asmaraloka
asnad	asnad
aso	aso
asoi	asoi
asonansi	asonansi
asong	asoŋ
asosial	asosial
asosiasi	asosiasi
asosiatif	asosiatif
aspal	aspal
asparaga	asparaga
asparagus	asparagus
aspiran	aspiran
aspirasi	aspirasi
aspirat	aspirat
aspiratif	aspiratif
aspirator	aspirator
aspirin	aspirin
asprak	aspraʔ
aspék	aspeʔ
asrama	asrama
asrar	asrar
asri	asri
assalamualaikum	assalamualaikum
astaga	astaga
astaka	astaka
astakona	astakona
aster	astər
asteroid	astəroid
astral	astral
astringén	astriŋen
astro	astro
astrolog	astrolog
astrologi	astrologi
astronaut	astronaut
astronautika	astronautika
astronom	astronom
astronomi	astronomi
asténia	astenia
asu	asu
asuh	asuh
asuhan	asuhan
asuhannya	asuhanɲa
asumsi	asumsi
asumtif	asumtif
asung	asuŋ
asungan	asuŋan
asurador	asurador
asuransi	asuransi
asusila	asusila
aswa	aswa
aswad	aswad
aswasada	aswasada
asyik	asjiʔ
asyura	asjura
asé	ase
aséksual	aseʔsual
asépsis	asepsis
aséptik	aseptiʔ
asésé	asese
asét	aset
atak	ataʔ
atan	atan
atap	atap
atar	atar
atas	atas
atasan	atasan
atasannya	atasanɲa
atasnya	atasɲa
atasé	atase
atau	atau
ataukah	ataukah
ataupun	ataupun
atavisme	atavismə
aterét	atəret
ati	ati
atlas	atlas
atlit	atlit
atlét	atlet
atlétik	atletiʔ
atlétnya	atletɲa
atma	atma
atmométer	atmometər
atmosfér	atmosfer
atok	atoʔ
atol	atol
atom	atom
atomisasi	atomisasi
atomistis	atomistis
atraksi	atraʔsi
atraktif	atraʔtif
atribut	atribut
atributif	atributif
atrofi	atrofi
atung	atuŋ
atur	atur
aturan	aturan
atus	atus
atéis	ateis
atéisme	ateismə
atéistis	ateistis
aténsi	atensi
au	au
aubade	aubadə
audi	audi
audio	audio
audiograf	audiograf
audiogram	audiogram
audiologi	audiologi
audiométer	audiometər
audiovisual	audiovisual
audit	audit
auditorium	auditorium
auk	auʔ
auksi	auʔsi
aula	aula
aum	aum
auman	auman
aung	auŋ
aur	aur
aura	aura
aurat	aurat
auratnya	auratɲa
aus	aus
autarki	autarki
autarkis	autarkis
autobiografi	autobiografi
autodidak	autodidaʔ
autodidaktik	autodidaʔtiʔ
autograf	autograf
autografi	autografi
autogén	autogen
autokrasi	autoʔrasi
autokrat	autoʔrat
automatik	automatiʔ
automobil	automobil
automotif	automotif
autonomi	autonomi
autopsi	autopsi
auténtik	autentiʔ
avgas	avgas
aviasi	aviasi
aviator	aviator
avontur	avontur
avonturir	avonturir
avérsi	aversi
awa	awa
awaair	awaʔair
awaarang	awaʔaraŋ
awabau	awabau
awabulu	awabulu
awabusa	awabusa
awadara	awadara
awah	awah
awahama	awahama
awai	awai
awak	awaʔ
awal	awal
awalan	awalan
awalengas	awaləŋas
awalnya	awalɲa
awam	awam
awan	awan
awanama	awanama
awang	awaŋ
awangan	awaŋan
awar	awar
awaracun	awaratʃun
awas	awas
awasan	awasan
awat	awat
awawarna	awawarna
awin	awin
awur	awur
