ve	vɛ
Aynı	ajnˈɯ
verdi	vɛrdˈɪ
ayrıca	ajrɯd͡ʒˈa
sonunda	sonʊndˈa
Bunun	bunˈʊn
genel	ɟenˈæl
nde	ndˈɛ
dolayı	dˈoɫajɯ
sırada	sˈɯɾada
Osmanlı	ɔsmanɫˈɯ
gelir	ɟelˈɪr
Fakat	fakˈat
Her	hˈɛr
arasındaki	aɾasɯndakˈɪ
neden	nedˈæn
ait	aˈɪt
Aralık	ˈaɾaɫɯk
Ocak	od͡ʒˈak
ele	ˈɛle
tam	tˈam
su	sˈʊ
bulunur	buɫunˈʊr
yakın	jakˈɯn
edilmiştir	edɪlmˈɪʃtɪr
yol	jˈɔɫ
alır	aɫˈɯr
etmiştir	ɛtmˈɪʃtɪr
dahil	dahˈɪl
müzik	myzˈɪk
Mayıs	majˈɯs
özellikle	œzællˈɪklɛ
oluşan	oɫuʃˈan
ona	onˈa
un	ˈʊn
savaş	savˈaʃ
kullanılan	kʊɫɫanɯɫˈan
kazandı	kazandˈɯ
karar	kaɾˈar
fakat	fakˈat
nda	ndˈa
hemen	hemˈæn
film	fˈɪlm
dışında	dɯʃɯndˈa
etmek	ɛtmˈɛk
toplam	tɔpɫˈam
itibarıyla	itibaɾˈɯjɫa
Dünya	dønjˈa
edilir	edilˈɪr
çıkan	t͡ʃɯkˈan
almaktadır	aɫmaktˈadɯr
grup	ɡrˈʊp
sıra	sɯɾˈa
Alman	aɫmˈan
Eylül	ɛjlˈøl
geldi	ɟældˈɪ
Ekim	ˈekɪm
sonucu	sonud͡ʒˈʊ
çıktı	t͡ʃɯktˈɯ
milyon	mɪljˈɔn
olmayan	ɔɫmajˈan
devlet	dɛvlˈɛt
pek	pˈɛk
inşa	ɪnʃˈa
Haziran	haziɾˈan
adını	adɯnˈɯ
Avrupa	ˈavrupa
Nisan	nˈisan
bilinen	bilinˈæn
kaldı	kaɫdˈɯ
on	ˈɔn
yapmıştır	japmˈɯʃtɯr
Ağustos	aːʊstˈɔs
Mart	mˈart
insan	ˈɪnsan
değildir	dˈejɪldɪr
eğitim	ejˈitɪm
Türkiye	tˈørkijɛ
ki	kɪ
takım	tˈakɯm
O	ˈɔ
iline	ilinˈɛ
Temmuz	tˈæmmʊz
il	ˈɪl
oldukça	ɔɫdʊkt͡ʃˈa
dönemde	dœnæmdˈɛ
idi	idˈi
bütün	bytˈøn
verilen	veɾilˈæn
üst	ˈøst
kullanılır	kʊɫɫanɯɫˈɯr
kalan	kaɫˈan
kadın	kadˈɯn
Şubat	ʃubˈat
açık	at͡ʃˈɯk
sayıda	sajɯdˈa
herhangi	hɛrhanɡˈɪ
yanında	janɯndˈa
bulunduğu	buɫʊndˈʊː
aldığı	aɫdɯɯˈɯ
çoğu	t͡ʃoːˈʊ
geniş	ɟenˈɪʃ
merkezi	mɛrkezˈɪ
hiçbir	hɪt͡ʃbˈɪr
e	ˈɛ
yanı	janˈɯ
yapan	japˈan
beraber	beɾabˈɛr
şarkı	ʃarkˈɯ
yine	jinˈɛ
değil	dˈejɪl
ifade	ifadˈɛ
of	ˈɔf
sonraki	sɔnrakˈɪ
oğlu	oːɫˈʊ
adıyla	adˈɯjɫa
beş	bˈɛʃ
anlamına	anɫamɯnˈa
vardı	vardˈɯ
askeri	askeɾˈɪ
olabilir	oɫabilˈɪr
oyuncu	ojʊnd͡ʒˈʊ
üçüncü	yt͡ʃønd͡ʒˈø
haline	halinˈɛ
dünya	dønjˈa
iç	ˈɪt͡ʃ
başarılı	baʃaɾɯɫˈɯ
temel	temˈæl
bile	bˈilɛ
içerisinde	it͡ʃeɾisɪndˈɛ
İstanbul	ɪstˈanbʊɫ
başlar	baʃɫˈar
genç	ɟˈænt͡ʃ
iş	ˈɪʃ
konusunda	konusʊndˈa
geçen	ɟet͡ʃˈæn
rol	rˈɔɫ
isimli	ˈisɪmlɪ
burada	bˈuɾada
hareket	haɾekˈɛt
nedenle	nedˈænlɛ
alt	ˈaɫt
başına	baʃɯnˈa
var	vˈar
temsil	tæmsˈɪl
bunun	bunˈʊn
beri	beɾˈɪ
güçlü	ɟøt͡ʃlˈø
itibaren	itibaɾˈæn
ettiği	etːijˈɪ
etmektedir	ɛtmɛktˈedɪr
uluslararası	uɫʊsɫaɾaɾasˈɯ
Bazı	bazˈɯ
gol	ɡˈɔɫ
uygun	ʊjɡˈʊn
izin	izˈɪn
altı	aɫtˈɯ
tamamen	tamamˈæn
verir	veɾˈɪr
resmi	rɛsmˈɪ
bilgi	bɪlɡˈɪ
gerçek	ɟɛrt͡ʃˈɛk
Yeni	jenˈɪ
Büyük	byjˈøk
yerel	jeɾˈæl
başlamıştır	baʃɫamˈɯʃtɯr
ismi	ɪsmˈɪ
Genel	ɟenˈæl
yaşında	jaʃɯndˈa
Diğer	dijˈɛr
yardım	jardˈɯm
erkek	ɛrkˈɛk
İngiliz	ɪnɟˈilɪz
ay	ˈaj
nun	nˈʊn
çalıştı	t͡ʃaɫɯʃtˈɯ
Buna	bunˈa
siyasi	sijasˈɪ
hava	havˈa
ayrı	ajrˈɯ
şehir	ʃehˈɪr
yıllarda	jɯɫɫardˈa
tür	tˈør
ABD	ˌabˌedˈɛ
sık	sˈɯk
sezon	sezˈɔn
söz	sˈœz
biridir	biɾˈidɪr
yoktur	jˈɔktʊr
döneminde	dœnemɪndˈɛ
İki	ikˈɪ
hizmet	hɪzmˈɛt
şeklinde	ʃɛklɪndˈɛ
Birleşik	bɪrleʃˈɪk
katıldı	katɯɫdˈɯ
meydana	mɛjdanˈa
bunu	bunˈʊ
iddia	idːiˈa
benzer	bænzˈɛr
yıllık	jɯɫɫˈɯk
şehrin	ʃɛhrˈɪn
Kuzey	kuzˈɛj
maçta	mat͡ʃtˈa
sahibi	sahibˈɪ
sonucunda	sonud͡ʒʊndˈa
Böylece	bˈœjled͡ʒɛ
yok	jˈɔk
Film	fˈɪlm
bin	bˈɪn
öldü	œldˈø
önceki	œnd͡ʒekˈɪ
ev	ˈɛv
şey	ʃˈɛj
düşük	dyʃˈøk
hale	hˈalɛ
kendisine	kændisinˈɛ
kısmı	kɯsmˈɯ
hiç	hˈɪt͡ʃ
durum	dˈuɾʊm
sosyal	sɔsjˈaɫ
yalnızca	jaɫnɯzd͡ʒˈa
anda	andˈa
sistemi	sɪstemˈɪ
dan	dˈan
kontrol	kɔntrˈɔɫ
olmasına	ɔɫmasɯnˈa
yılları	jɯɫɫaɾˈɯ
deniz	dˈenɪz
sayısı	sajɯsˈɯ
yaşayan	jaʃajˈan
Fransız	frˈansɯz
ülke	ølkˈɛ
Güney	ɟynˈɛj
girdi	ɟɪrdˈɪ
yani	janˈɪ
olsa	ˈɔɫsa
ederek	edeɾˈɛk
alanı	aɫanˈɯ
zorunda	zoɾʊndˈa
ilan	iɫˈan
Köy	kˈœj
albüm	ˈaɫbøm
amacıyla	amad͡ʒˈɯjɫa
bulundu	buɫʊndˈʊ
adet	adˈɛt
artık	artˈɯk
metre	mɛtrˈɛ
kendini	kændinˈɪ
sona	sonˈa
albümü	ˈaɫbymø
çocuk	t͡ʃod͡ʒˈʊk
halk	hˈaɫk
üyesi	yjesˈɪ
Doğu	doːˈʊ
ayında	ajɯndˈa
Amerikan	ameɾikˈan
oluşur	oɫuʃˈʊr
oyun	ojˈʊn
yaygın	jajɡˈɯn
babası	babasˈɯ
veren	veɾˈæn
hızlı	hɯzɫˈɯ
kız	kˈɯz
Sovyet	sɔvjˈɛt
İkinci	ikɪnd͡ʒˈɪ
sayesinde	sajesɪndˈɛ
çünkü	t͡ʃønkˈø
kurulmuştur	kuɾʊɫmˈʊʃtʊr
Bununla	bunˈʊnɫa
yardımcı	jardɯmd͡ʒˈɯ
daki	dakˈɪ
orta	ɔrtˈa
edilmektedir	edɪlmɛktˈedɪr
Son	sˈɔn
doğal	doːˈaɫ
saat	saˈat
Burada	bˈuɾada
yarı	jaɾˈɯ
ortak	ɔrtˈak
geçti	ɟɛt͡ʃtˈɪ
verdiği	vɛrdijˈɪ
sürekli	syɾɛklˈɪ
edilmiş	edɪlmˈɪʃ
verildi	veɾɪldˈɪ
kötü	kœtˈø
ağır	aːˈɯr
mücadele	myd͡ʒadˈelɛ
parçası	part͡ʃasˈɯ
ön	ˈœn
Ama	ˈama
Üniversitesi	ynivɛrsitesˈɪ
ekonomik	ekonomˈɪk
kardeşi	kardeʃˈɪ
ülkenin	ølkenˈɪn
filmi	fɪlmˈɪ
söyler	sœjlˈɛr
diye	dijˈɛ
yüzden	jøzdˈæn
Rus	rˈʊs
hafta	haftˈa
ilçe	ˈɪlt͡ʃɛ
Örneğin	œrnejˈɪn
Köyün	kœjˈøn
söyledi	sˈœjledɪ
konu	konˈʊ
alarak	aɫaɾˈak
üzerinden	yzeɾɪndˈæn
şu	ʃˈʊ
Ulusal	uɫusˈaɫ
güç	ɟˈøt͡ʃ
Roma	rˈoma
dair	daˈɪr
piyasaya	pijˈasaja
mezun	mezˈʊn
defa	defˈa
beyaz	bejˈaz
dizi	dizˈɪ
para	paɾˈa
bölümü	bˈœlymø
ünlü	ønlˈø
Batı	batˈɯ
dünyanın	dønjanˈɯn
dış	dˈɯʃ
Amerika	ameɾikˈa
içeren	it͡ʃeɾˈæn
kendisi	kændisˈɪ
kişinin	kiʃinˈɪn
ileri	ileɾˈɪ
nüfus	nyfˈʊs
belirli	belɪrlˈɪ
ulusal	uɫusˈaɫ
yapılmıştır	japɯɫmˈɯʃtɯr
televizyon	televɪzjˈɔn
yapıldı	japɯɫdˈɯ
çıkar	t͡ʃɯkˈar
kendisini	kændisinˈɪ
destek	dɛstˈɛk
yayınlandı	jajɯnɫandˈɯ
d	dˈɛ
birinci	biɾɪnd͡ʒˈɪ
tespit	tɛspˈɪt
sonrasında	sɔnrasɯndˈa
yoğun	joːˈʊn
çalışan	t͡ʃaɫɯʃˈan
Eski	ɛskˈɪ
grubu	ɡrubˈʊ
takip	takˈɪp
gösterir	ɟœsteɾˈɪr
ye	jˈɛ
kızı	kɯzˈɯ
Şehrin	ʃɛhrˈɪn
altın	aɫtˈɯn
üzerindeki	yzeɾɪndekˈɪ
na	nˈa
mevcuttur	mɛvd͡ʒutːˈʊr
sağlar	saːɫˈar
etmeye	ˈɛtmejɛ
den	dˈæn
ek	ˈɛk
bağımsız	baːˈɯmsɯz
serbest	sɛrbˈɛst
yapımı	jˈapɯmɯ
yılına	jɯɫɯnˈa
enerji	enɛrʒˈɪ
günü	ɟynˈø
maç	mˈat͡ʃ
dönem	dœnˈæm
New	nˈɛw
the	thˈɛ
köy	kˈœj
km²	kˌɛmˈɛicˈɪ
nasıl	nasˈɯɫ
gelmiştir	ɟælmˈɪʃtɪr
el	ˈæl
adında	adɯndˈa
iken	ˈicen
Uluslararası	uɫʊsɫaɾaɾasˈɯ
halinde	halɪndˈɛ
altına	aɫtɯnˈa
alanında	aɫanɯndˈa
sanat	sanˈat
başında	baʃɯndˈa
satın	satˈɯn
döndü	dœndˈø
teknik	tɛknˈɪk
yıllarında	jɯɫɫaɾɯndˈa
bilinir	bilinˈɪr
Orta	ɔrtˈa
çalışma	t͡ʃaɫˈɯʃma
bilim	bˈilɪm
ölçüde	œlt͡ʃydˈɛ
seçildi	set͡ʃɪldˈɪ
ta	ta
yana	janˈa
kullanılmaktadır	kʊɫɫanɯɫmaktˈadɯr
gelmektedir	ɟælmɛktˈedɪr
yönelik	jœnelˈɪk
günümüzde	ɟynˈymøzdɛ
görülür	ɟœɾylˈør
fark	fˈark
onları	ɔnɫˈaɾɯ
takımı	tˈakɯmɯ
kitap	kitˈap
Ankara	ˈankaɾa
modern	modˈɛrn
doğrudan	doːɾudˈan
çalışmaları	t͡ʃaɫɯʃmaɫaɾˈɯ
başlayan	baʃɫajˈan
forma	fˈɔrma
içine	it͡ʃinˈɛ
tercih	tɛrd͡ʒˈɪh
kurulan	kuɾuɫˈan
oynadı	ɔjnadˈɯ
başkanı	baʃkanˈɯ
MÖ	mˈœ
gösteren	ɟœsteɾˈæn
Paşa	paʃˈa
i	ˈi
İyi	ijˈi
ses	sˈɛs
düzenlenen	dyzænlenˈæn
bölge	bœlɡˈɛ
ortalama	ɔrtˈaɫama
Yüksek	jˈøksɛk
hala	hˈaɫa
yerleşim	jɛrlˈeʃɪm
belli	bællˈɪ
bazen	bazˈæn
durumda	dˈuɾʊmda
kullanarak	kʊɫɫanaɾˈak
mevcut	mɛvd͡ʒˈʊt
yapmak	japmˈak
A	ˈa
öne	œnˈɛ
verilmiştir	veɾɪlmˈɪʃtɪr
sayı	sajˈɯ
olmuş	ɔɫmˈʊʃ
kuruldu	kuɾʊɫdˈʊ
görevi	ɟœɾevˈɪ
maçı	mat͡ʃˈɯ
yönetim	jœnˈetɪm
buna	bunˈa
bölgede	bœlɟedˈɛ
böylece	bˈœjled͡ʒɛ
Eğer	ejˈɛr
açısından	at͡ʃɯsɯndˈan
II	ɯˈɯ
yeri	jeɾˈɪ
olmadığı	ɔɫmadɯɯˈɯ
Devlet	dɛvlˈɛt
konusu	konusˈʊ
vermiştir	vɛrmˈɪʃtɪr
terk	tˈɛrk
dikkat	dikːˈat
dünyaya	dønjajˈa
yere	jeɾˈɛ
çıkmıştır	t͡ʃɯkmˈɯʃtɯr
yaşam	jaʃˈam
kendine	kændinˈɛ
etkisi	ɛtkisˈɪ
adına	adɯnˈa
etkili	ɛtkilˈɪ
Tüm	tˈøm
içerir	it͡ʃeɾˈɪr
futbol	fʊtbˈɔɫ
Günümüzde	ɟynˈymøzdɛ
grubun	ɡrubˈʊn
geleneksel	ɟelenɛksˈæl
hayatını	hajatɯnˈɯ
yerde	jɛrdˈɛ
insanların	ɪnsanɫaɾˈɯn
yazdı	jazdˈɯ
sonrası	sɔnrasˈɯ
ordusu	ɔrdusˈʊ
Çok	t͡ʃˈɔk
göç	ɟˈœt͡ʃ
te	tɛ
göstermektedir	ɟœstɛrmɛktˈedɪr
Amerikalı	ameɾikaɫˈɯ
arası	aɾasˈɯ
yılından	jɯɫɯndˈan
çocuğu	t͡ʃod͡ʒˈʊː
baş	bˈaʃ
popüler	popylˈɛr
içindeki	it͡ʃɪndekˈɪ
bilinmektedir	bilɪnmɛktˈedɪr
video	videˈɔ
yazar	jazˈar
yayın	jajˈɯn
Ali	alˈi
yolu	joɫˈʊ
itibarı	itibaɾˈɯ
yazdığı	jazdɯɯˈɯ
sezonunda	sezonʊndˈa
Grup	ɡrˈʊp
gece	ɟˈed͡ʒɛ
transfer	transfˈɛr
derece	dˈeɾed͡ʒɛ
etmiş	ɛtmˈɪʃ
yabancı	jaband͡ʒˈɯ
arada	ˈaɾada
denir	denˈɪr
dil	dˈɪl
İngilizce	ɪnɟˈilɪzd͡ʒɛ
yerini	jeɾinˈɪ
m	mˈɛ
sebep	sebˈɛp
neredeyse	neɾedˈɛjsɛ
biçimde	bˈit͡ʃɪmdɛ
yayınlanan	jajɯnɫanˈan
kalmıştır	kaɫmˈɯʃtɯr
bölümünde	bœlymøndˈɛ
bölüm	bˈœløm
kesin	kesˈɪn
olmadığını	ɔɫmadɯɯɯnˈɯ
Özellikle	œzællˈɪklɛ
şehri	ʃɛhrˈɪ
Birçok	bɪrt͡ʃˈɔk
taşıyan	taʃɯjˈan
ı	ˈɯ
eğitimi	ejˈitimɪ
annesi	annesˈɪ
Yine	jinˈɛ
kırmızı	kˈɯrmɯzɯ
yapmaktadır	japmaktˈadɯr
yapar	japˈar
yapı	japˈɯ
tahmin	tahmˈɪn
ilgi	ɪlɡˈɪ
olma	ˈɔɫma
çift	t͡ʃˈɪft
yedi	jedˈɪ
sahne	sahnˈɛ
hatta	hatːˈa
göz	ɟˈœz
mümkün	mømkˈøn
gücü	ɟyd͡ʒˈø
Yahudi	jahudˈɪ
araştırma	aɾˈaʃtɯrma
Şarkı	ʃarkˈɯ
arka	arkˈa
yapılır	japɯɫˈɯr
Çin	t͡ʃˈɪn
durumu	dˈuɾumʊ
arkadaşı	arkadaʃˈɯ
doğdu	doːdˈʊ
millî	mɪllˈɯ
yapılmış	japɯɫmˈɯʃ
John	ʒˈɔhn
yüzünden	jyzøndˈæn
bulunmuştur	buɫʊnmˈʊʃtʊr
and	ˈand
insanlar	ˈɪnsanɫar
sinema	sinˈema
dördüncü	dœrdønd͡ʒˈø
normal	nɔrmˈaɫ
kitabı	kitabˈɯ
almak	aɫmˈak
teslim	tˈɛslɪm
sağ	sˈaː
aile	aˈilɛ
dışı	dɯʃˈɯ
aday	adˈaj
sağlayan	saːɫajˈan
gördü	ɟœrdˈø
değişik	dejiʃˈɪk
alındı	aɫɯndˈɯ
yapmaya	jˈapmaja
attı	atːˈɯ
yavaş	javˈaʃ
puan	puˈan
tiyatro	tijatrˈɔ
alanda	aɫandˈa
olduğundan	ɔɫdʊːndˈan
elektrik	elɛktrˈɪk
karşılık	karʃɯɫˈɯk
çalışır	t͡ʃaɫɯʃˈɯr
kullanılmıştır	kʊɫɫanɯɫmˈɯʃtɯr
kurdu	kʊrdˈʊ
tane	tanˈɛ
çoğunlukla	t͡ʃoːʊnɫˈʊkɫa
orada	ˈoɾada
kişilik	kiʃilˈɪk
geçirdi	ɟet͡ʃɪrdˈɪ
süren	syɾˈæn
sistem	sɪstˈæm
Bunlar	bʊnɫˈar
bilimsel	bilɪmsˈæl
erken	ˈɛrcæn
gerekli	ɟeɾɛklˈɪ
Yüzölçümü	jyzˈœlt͡ʃymø
ülkede	ølkedˈɛ
Bizans	bizˈans
aktif	aktˈɪf
filmin	fɪlmˈɪn
Şehir	ʃehˈɪr
Yunan	junˈan
kariyerine	kaɾijeɾinˈɛ
yaşadığı	jaʃadɯɯˈɯ
aslında	asɫɯndˈa
açıkladı	at͡ʃˈɯkɫadɯ
kuzey	kuzˈɛj
çapında	t͡ʃapɯndˈa
araya	ˈaɾaja
tamamladı	tamˈamɫadɯ
gerekir	ɟeɾekˈɪr
kazanan	kazanˈan
siyah	sijˈah
Türkçe	tˈørkt͡ʃɛ
biraz	biɾˈaz
kazanmıştır	kazanmˈɯʃtɯr
Çünkü	t͡ʃønkˈø
amacı	amad͡ʒˈɯ
geçer	ɟet͡ʃˈɛr
görevini	ɟœɾevinˈɪ
güney	ɟynˈɛj
yandan	jandˈan
Birliği	bɪrlijˈɪ
olduğuna	ɔɫduːnˈa
ticari	tid͡ʒaɾˈɪ
verilir	veɾilˈɪr
yüzyılda	jøzjɯɫdˈa
İlçenin	ˈɪlt͡ʃɛnɪn
üretim	yɾˈetɪm
isim	ˈisɪm
canlı	d͡ʒanɫˈɯ
orijinal	oɾiʒinˈaɫ
açtı	at͡ʃtˈɯ
profesyonel	profɛsjonˈæl
ziyaret	zijaɾˈɛt
geçmektedir	ɟɛt͡ʃmɛktˈedɪr
karşısında	karʃɯsɯndˈa
güzel	ɟyzˈæl
Bey	bˈɛj
tarih	taɾˈɪh
ışık	ɯʃˈɯk
önünde	œnøndˈɛ
sol	sˈɔɫ
sonradan	sˈɔnradan
zengin	zænɡˈɪn
üyeleri	yjeleɾˈɪ
fiziksel	fizɪksˈæl
Belediye	beledijˈɛ
genelde	ɟenældˈɛ
sağladı	sˈaːɫadɯ
veri	veɾˈɪ
ila	ˈiɫa
Anadolu	anadoɫˈʊ
ayrıldı	ajrɯɫdˈɯ
spor	spˈɔr
zor	zˈɔr
nedeni	nedenˈɪ
dolayısıyla	doɫajɯsˈɯjɫa
karşın	karʃˈɯn
henüz	hˈenøz
alınan	aɫɯnˈan
günlük	ɟønlˈøk
örnek	œrnˈɛk
vermektedir	vɛrmɛktˈedɪr
ciddi	d͡ʒidːˈɪ
çalışmaya	t͡ʃaɫˈɯʃmaja
Rusya	rʊsjˈa
aksine	aksinˈɛ
kararı	kaɾaɾˈɯ
parti	partˈɪ
sebebiyle	sebebˈɪjlɛ
ettiler	etːilˈɛr
Fransa	frˈansa
kara	kaɾˈa
toprak	tɔprˈak
özelliği	œzællijˈɪ
gereken	ɟˈeɾecæn
kaynağı	kajnaːˈɯ
babasının	babasɯnˈɯn
giriş	ɟiɾˈɪʃ
aşırı	aʃɯɾˈɯ
edilmesi	edɪlmesˈɪ
oranı	oɾanˈɯ
oluşturur	oɫʊʃtuɾˈʊr
türü	tyɾˈø
olacak	oɫad͡ʒˈak
onların	ɔnɫˈaɾɯn
Başkanı	baʃkanˈɯ
yılda	jɯɫdˈa
olay	oɫˈaj
gizli	ɟɪzlˈɪ
maçında	mat͡ʃɯndˈa
şirketi	ʃɪrketˈɪ
hak	hˈak
ölümünden	œlymøndˈæn
sağlık	saːɫˈɯk
hızla	hˈɯzɫa
birbirine	bɪrbiɾinˈɛ
ikisi	ikisˈɪ
uzak	uzˈak
asker	askˈɛr
Almanya	aɫmˈanja
batı	batˈɯ
tarihli	taɾɪhlˈɪ
yaparak	japaɾˈak
çalışmalar	t͡ʃaɫˈɯʃmaɫar
bölgesinde	bœlɟesɪndˈɛ
dini	dinˈɪ
madalya	madaɫjˈa
İtalyan	itaɫjˈan
güvenlik	ɟyvænlˈɪk
yönetimi	jœnˈetimɪ
yoluyla	joɫˈʊjɫa
üye	yjˈe
sert	sˈɛrt
belirtti	belɪrtːˈɪ
eşi	eʃˈɪ
kurulmuş	kuɾʊɫmˈʊʃ
ölmüştür	œlmˈøʃtør
etmesi	ɛtmesˈɪ
değer	dejˈɛr
giderek	ɟideɾˈɛk
halkı	haɫkˈɯ
sanatçı	sanatt͡ʃˈɯ
başarı	baʃaɾˈɯ
ticaret	tid͡ʒaɾˈɛt
gitti	ɟitːˈɪ
Sultan	sʊɫtˈan
yükseldi	jøksældˈɪ
başta	baʃtˈa
kültürel	køltyɾˈæl
olumlu	ˈoɫʊmɫʊ
gösterdi	ɟœstɛrdˈɪ
yapmış	japmˈɯʃ
İngiltere	ɪnɟɪltˈeɾɛ
ismini	ɪsminˈɪ
Başkanlığı	baʃkanɫɯɯˈɯ
deki	dekˈɪ
oluşmaktadır	oɫʊʃmaktˈadɯr
etme	ˈɛtmɛ
oyunu	ojunˈʊ
ortadan	ɔrtadˈan
Ve	vɛ
işgal	ɪʃɡˈaɫ
sekiz	sˈekɪz
ister	ɪstˈɛr
Halk	hˈaɫk
resmî	rɛsmˈɯ
birden	bɪrdˈæn
böyle	bˈœjlɛ
zarar	zaɾˈar
tarım	tˈaɾɯm
savunma	savˈʊnma
dakika	dakikˈa
silah	siɫˈah
almış	aɫmˈɯʃ
kaybetti	kajbetːˈɪ
ailesi	ailesˈɪ
takımın	tˈakɯmɯn
Bundan	bʊndˈan
okul	okˈʊɫ
yıllar	jɯɫɫˈar
sezonu	sezonˈʊ
sıcak	sɯd͡ʒˈak
şarkısı	ʃarkɯsˈɯ
kaynak	kajnˈak
basit	basˈɪt
eseri	eseɾˈɪ
final	finˈaɫ
yapısı	japɯsˈɯ
görülmektedir	ɟœɾølmɛktˈedɪr
Genellikle	ɟenællˈɪklɛ
kişisel	kiʃisˈæl
Ardından	ardɯndˈan
getirdi	ɟetɪrdˈɪ
üretimi	yɾˈetimɪ
yüzyılın	jøzjɯɫˈɯn
Bakanlığı	bakanɫɯɯˈɯ
başardı	baʃardˈɯ
klasik	kɫasˈɪk
taş	tˈaʃ
gerektiğini	ɟeɾɛktijinˈɪ
ateş	atˈɛʃ
kullanımı	kʊɫɫˈanɯmɯ
bunların	bʊnɫaɾˈɯn
kullanılabilir	kʊɫɫanɯɫabilˈɪr
Savaşı	savaʃˈɯ
görülen	ɟœɾylˈæn
Küçük	kyt͡ʃˈøk
Cumhuriyeti	d͡ʒʊmhuɾijetˈɪ
doğu	doːˈʊ
birisi	biɾisˈɪ
sağlamak	saːɫamˈak
giden	ɟidˈæn
özellikleri	œzællɪkleɾˈɪ
Arap	aɾˈap
Müzik	myzˈɪk
bugün	buɡˈøn
lig	lˈɪɟ
