'll	l,əl
acne	ˈækni
acolyte	ˈækəlˌaɪt
acolytes	ˈækəlˌaɪts
aconite	ˈækənˌaɪt
aconites	ˈækənˌaɪts
acorn	ˈeɪkɔːn
acorns	ˈeɪkɔːnz
acoustic	ɐkˈuːstɪk,əkˈuːstɪk
acoustical	ɐkˈuːstɪkəl
acoustically	ɐkˈuːstɪkli
acoustician	ɐkuːstˈɪʃən
acousticians	ɐkuːstˈɪʃənz
acoustics	ɐkˈuːstɪks
acquaint	ɐkwˈeɪnt
acquaintance	ɐkwˈeɪntəns,əkwˈeɪntəns
acquaintances	ɐkwˈeɪntənsɪz
acquaintanceship	ɐkwˈeɪntənsʃˌɪp
acquainted	ɐkwˈeɪntɪd
acquainting	ɐkwˈeɪntɪŋ
acquiesce	ˌækwɪˈɛs
acquiesced	ˌækwɪˈɛst
acquiescence	ˌækwɪˈɛsəns
acquiescent	ˌækwɪˈɛsənt
acquiesces	ˌækwɪˈɛsɪz
acquiescing	ˌækwɪˈɛsɪŋ
acquire	əkwˈaɪə,ɐkwˈaɪə
acquired	əkwˈaɪəd,ɐkwˈaɪəd
acquirer	ɐkwˈaɪəɹɐ
acquires	ɐkwˈaɪəz
acquiring	ɐkwˈaɪəɹɪŋ
acquisition	ˌækwɪzˈɪʃən,ɐkwɪsˈɪʃən
acquisitions	ɐkwɪsˈɪʃənz,ˌækwɪzˈɪʃənz
acquisitive	ɐkwˈɪzɪtˌɪv
acquit	ɐkwˈɪt,əkwˈɪt
acquits	ɐkwˈɪts
acquittal	ɐkwˈɪtəl
acquittals	ɐkwˈɪtəlz
acquitted	ɐkwˈɪtɪd,əkwˈɪtɪd
acquitting	ɐkwˈɪtɪŋ
acre	ˈeɪkə
acreage	ˈeɪkəɹɪdʒ
acreages	ˈeɪkəɹɪdʒɪz
acred	ˈeɪkəd
acres	ˈeɪkəz
acrid	ˈækɹɪd
acrimonious	ˌækɹɪmˈəʊnɪəs
acrimoniously	ˌækɹɪmˈəʊnɪəsli
acrimony	ˈækɹɪməni
acrobat	ˈækɹəbˌæt
acrobatic	ˌækɹəbˈætɪk
acrobatically	ˌækɹəbˈætɪkli
acrobatics	ˌækɹəbˈætɪks
acrobats	ˈækɹəbˌæts
acromegaly	ˈækɹəʊmɡəli
acromion	ækɹˈəʊmiən
acronym	ˈækɹənˌɪm
acronyms	ˈækɹənˌɪmz
acrophobia	ˌækɹəfˈəʊbiə
acropolis	ækɹˈɒpəlˌiz
across	əkɹˈɒs
acrostics	ækɹˈɒstɪks
acrylic	ɐkɹˈɪlɪk,əkɹˈɪlɪk
acrylics	ɐkɹˈɪlɪks
act	ˈækt
acted	ˈæktɪd
actin	ˈæktɪn
acting	ˈæktɪŋ
actinic	æktˈɪnɪk
actinide	ˈæktɪnˌaɪd
actinium	æktˈɪniəm
action	ˈækʃən
actionable	ˈækʃənəbəl
actions	ˈækʃənz
activate	ˈæktɪvˌeɪt
activated	ˈæktɪvˌeɪtɪd
activates	ˈæktɪvˌeɪts
activating	ˈæktɪvˌeɪtɪŋ
activation	ˌæktɪvˈeɪʃən
activations	ˌæktɪvˈeɪʃənz
activator	ˈæktɪvˌeɪtɐ
active	ˈæktɪv
actively	ˈæktɪvli
actives	ˈæktɪvz
activism	ˈæktɪvˌɪzəm
activist	ˈæktɪvˌɪst,ˈæktɪvɪst
activists	ˈæktɪvˌɪsts,ˈæktɪvɪsts
activities	æktˈɪvɪtiz
activity	æktˈɪvɪti
actor	ˈæktɐ,ˈæktə
actors	ˈæktəz
actress	ˈæktɹəs,ˈæktɹɪs
actresses	ˈæktɹəsɪz
acts	ˈækts
actual	ˈæktʃuːəl,ˈæktʃʊəl
actualisation	ˌæktʃuːəlaɪzˈeɪʃən
actualise	ˈæktʃuːəlˌaɪz
actualised	ˈæktʃuːəlˌaɪzd
actualities	ˌæktʃuːˈælɪtiz
actuality	ˌæktʃuːˈælɪti
actually	ˈæktʃʊəli,ˈæktʃuːəli
actuarial	ˌæktʃuːˈeəɹɪəl
actuarially	ˌæktʃuːˈeəɹɪəli
actuaries	ˈæktʃuːəɹiz
actuary	ˈæktʃuːəɹi
actuated	ˈæktʃuːˌeɪtɪd
actuator	ˈæktʃuːˌeɪtɐ
actuators	ˈæktʃuːˌeɪtəz
acuity	ɐkjˈuːɪti
acumen	ˈækjuːmˌɛn
acupressure	ˈækəpɹˌɛʃɐ
acupuncture	ˈækjuːpˌʌŋktʃɐ
acupuncturist	ˈækjuːpˌʌŋktʃəɹˌɪst
acute	ɐkjˈuːt,əkjˈuːt
acutely	ɐkjˈuːtli
acuteness	ɐkjˈuːtnəs
acuter	ɐkjˈuːtɐ
acyclovir	ɐkˈaɪkləvˌiə
ad	ˈæd
ada	ˈeɪdə
adage	ˈædɪdʒ
adages	ˈædɪdʒɪz
adagio	ædˈɑːdʒɪˌəʊ
adam	ˈædəm
adamant	ˈædəmənt
adamantine	ˈædɐmˌɑːntiːn
adamantly	ˈædəməntli
adams	ˈædəmz
adapt	ɐdˈæpt,ədˈæpt
adaptability	ɐdˌæptəbˈɪlɪti
adaptable	ɐdˈæptəbəl
adaptation	ɐdɐptˈeɪʃən,ˌædəptˈeɪʃən
adaptations	ɐdɐptˈeɪʃənz
adapted	ədˈæptɪd,ɐdˈæptɪd
adapter	ədˈæptə,ɐdˈæptɐ
adapters	ədˈæptəz,ɐdˈæptəz
adapting	ɐdˈæptɪŋ
adaption	ɐdˈæpʃən
adaptions	ɐdˈæpʃənz
adaptive	ədˈæptɪv,ɐdˈæptɪv
adaptively	ɐdˈæptɪvli
adaptor	ədˈɑːptə,ɐdˈæptɐ
adaptors	ɐdˈæptəz
adapts	ɐdˈæpts
add	ˈæd
added	ˈædɪd
addenda	ədˈɛndə
addendum	ədˈɛndəm,ɐdˈɛndəm
adder	ˈædə,ˈædɐ
adders	ˈædəz
addicted	ɐdˈɪktɪd
addicting	ɐdˈɪktɪŋ
addiction	ɐdˈɪkʃən,ədˈɪkʃən
addictions	ɐdˈɪkʃənz
addictive	ɐdˈɪktɪv
adding	ˈædɪŋ
addition	ɐdˈɪʃən,ədˈɪʃən
additional	ədˈɪʃənəl,ɐdˈɪʃənəl,ədˈɪʃnəl
additionally	ɐdˈɪʃənəli,ədˈɪʃənəli,ədˈɪʃnəli
additions	ɐdˈɪʃənz,ədˈɪʃənz
additive	ˈædɪtˌɪv
additives	ˈædɪtˌɪvz
addle	ˈædəl
addled	ˈædəld
addles	ˈædəlz
addling	ˈædlɪŋ
address	ədɹˈɛs
addressable	ɐdɹˈɛsəbəl
addressed	ɐdɹˈɛst,ədɹˈɛst
addressee	ɐdɹˈɛsiː
addresses	ədɹˈɛsɪz,ɐdɹˈɛsɪz
addressing	ədɹˈɛsɪŋ,ɐdɹˈɛsɪŋ
adds	ˈædz
adduce	ɐdjˈuːs
adduced	ɐdjˈuːst
adductor	ɐdˈʌktɐ
adelaide	ˈædəlˌeɪd
adenine	ˈædənˌiːn
adenocarcinoma	ˌædənˌɒkɑːsɪnˈəʊmɐ
adenoidal	ˈædənˌɔɪdəl
adenoids	ˈædənˌɔɪdz
adenosine	ˈædənˌɒsaɪn
adept	ədˈɛpt
adeptly	ɐdˈɛptli
adeptness	ɐdˈɛptnəs
adequacy	ˈædɪkwəsi
adequate	ˈædɪkwɪt,ˈædɪkwət
adequately	ˈædɪkwətli
adhere	ɐdhˈiə,ədhˈɪə
adhered	ædhˈiəd
adherence	ɐdhˈiəɹəns
adherent	ɐdhˈiəɹənt
adherents	ɐdhˈiəɹənts
adheres	ɐdhˈiəz
adhering	ædhˈiəɹɪŋ
adhesion	ɐdhˈiːʒən
adhesive	ɐdhˈiːsɪv,ədhˈiːsɪv
adhesives	ɐdhˈiːsɪvz
adiabatic	ˌeɪdɪɐbˈætɪk
adidas	ˈædɪdəs
