㔂	lan²⁴
一視同仁	it̚³²⁻⁴ɕi²²⁻²¹tɔŋ²⁴⁻²²lin²⁴
一覽表	it̚³²⁻⁴lam⁵³⁻⁴⁴pio⁵³
一角	t͡ɕit̚⁴⁻³²kak̚³²
一觸即發	it̚³²⁻⁴t͡ɕʰiɔk̚³²⁻⁴t͡ɕiɪk̚³²⁻⁴huat̚³²
一言	it̚³²⁻⁴ɡiɛn²⁴
一言堂	it̚³²⁻⁴ɡiɛn²⁴⁻²²tɔŋ²⁴
一貫	it̚³²⁻⁴kuan²¹
一起	it̚³²⁻⁴kʰi⁵³
一路	t͡ɕit̚⁴⁻³²lɔ²²
一路平安	it̚³²⁻⁴lɔ²²⁻²¹piɪŋ²⁴⁻²²an⁴⁴
一蹶不振	it̚³²⁻⁴kuat̚³²⁻⁴put̚³²⁻⁴t͡ɕin⁵³
一身	it̚³²⁻⁴ɕin⁴⁴
一輩子	it̚³²⁻⁴pue²²⁻²¹t͡su⁵³
一輩子	t͡ɕit̚⁴⁻³²pue²²⁻²¹t͡su⁵³
一連	it̚³²⁻⁴liɛn²⁴
一週	t͡ɕit̚⁴⁻³²t͡ɕiu⁴⁴
一遍	it̚³²⁻⁴piɛn²¹
一遍	t͡ɕit̚⁴⁻³²piɛn²¹
一道	it̚³²⁻⁴to²²
一邊	it̚³²⁻⁴piɛn⁴⁴
一邊	t͡ɕit̚⁴⁻³²pĩ⁴⁴
一陣	t͡ɕit̚⁴⁻³²tin²²
一陣	t͡ɕit̚⁴⁻³²t͡sun²²
一陣風	t͡ɕit̚⁴⁻³²t͡sun²²⁻²¹hɔŋ⁴⁴
一面	it̚³²⁻⁴bin²²
一面	t͡ɕit̚⁴⁻³²bin²²
一頭	t͡ɕit̚⁴⁻³²tʰaʊ²⁴
一頭霧水	t͡ɕit̚⁴⁻³²tʰaʊ²⁴⁻²²bu²²⁻²¹t͡sui⁵³
一馬當先	it̚³²⁻⁴mã⁵³⁻⁴⁴tɔŋ⁴⁴⁻²²ɕiɛn⁴⁴
一鳴驚人	it̚³²⁻⁴biɪŋ²⁴⁻²²kiɪŋ⁴⁴⁻²²lin²⁴
一點	it̚³²⁻⁴tiam⁵³
一點仔	t͡ɕit̚⁴⁻³²tiam⁵³⁻⁴⁴a⁵³
一點紅	it̚³²⁻⁴tiam⁵³⁻⁴⁴hɔŋ²⁴
一齊	it̚³²⁻⁴t͡sue²⁴
一齊	t͡ɕit̚⁴⁻³²t͡sue²⁴
丁	tiɪŋ⁴⁴
丁丑	tiɪŋ⁴⁴⁻²²tʰiu⁵³
丁亥	tiɪŋ⁴⁴⁻²²haɪ²²
丁克族	tiɪŋ⁴⁴⁻²²kʰiɪk̚³²⁻⁴t͡sɔk̚⁴
丁卯	tiɪŋ⁴⁴⁻²²baʊ⁵³
丁字尺	tiɪŋ⁴⁴⁻²²li²²⁻²¹t͡ɕʰioʔ³²
丁巳	tiɪŋ⁴⁴⁻²²su²²
丁未	tiɪŋ⁴⁴⁻²²bi²²
丁酉	tiɪŋ⁴⁴⁻²²iu⁵³
丁香	tiɪŋ⁴⁴⁻²²hiũ⁴⁴
七	t͡ɕʰit̚³²
七十	t͡ɕʰit̚³²⁻⁴t͡sap̚⁴
七堵	t͡ɕʰit̚³²⁻⁴tɔ⁵³
七夕	t͡ɕʰit̚³²⁻⁴ɕiɪk̚⁴
七娘媽	t͡ɕʰit̚³²⁻⁴niũ²⁴⁻²²mã⁵³
七娘媽生	t͡ɕʰit̚³²⁻⁴niũ²⁴⁻²²mã⁵³⁻⁴⁴ɕĩ⁴⁴
七孔	t͡ɕʰit̚³²⁻⁴kʰɔŋ⁵³
七寸金	t͡ɕʰit̚³²⁻⁴t͡sʰun²¹⁻⁵³kim⁴⁴
七巧板	t͡ɕit̚³²⁻⁴kʰiaʊ⁵³⁻⁴⁴pan⁵³
七彩	t͡ɕʰit̚³²⁻⁴t͡sʰaɪ⁵³
七律	t͡ɕʰit̚³²⁻⁴lut̚⁴
七星	t͡ɕʰit̚³²⁻⁴t͡ɕʰĩ⁴⁴
七月	t͡ɕʰit̚³²⁻⁴ɡeʔ⁴
七月半	t͡ɕʰit̚³²⁻⁴ɡeʔ⁴⁻²¹puã²¹
七竅	t͡ɕʰit̚³²⁻⁴kʰiaʊ²¹
七粒紐	t͡ɕʰit̚³²⁻⁴liap̚⁴⁻³²liu⁵³
七絕	t͡ɕʰit̚³²⁻⁴t͡suat̚⁴
七美	t͡ɕʰit̚³²⁻⁴bi⁵³
七股	t͡ɕʰit̚³²⁻⁴kɔ⁵³
七色	t͡ɕʰit̚³²⁻⁴ɕiɪk̚³²
七講八講	t͡ɕʰit̚³²⁻⁴kɔŋ⁵³pueʔ³²⁻⁵³kɔŋ⁵³
七點	t͡ɕʰit̚³²⁻⁴tiam⁵³
万俟	biɪk̚⁴⁻³²ki²⁴
丈	tiũ²²
丈	tiɔŋ²²
丈	tŋ̍²²
丈人	tiũ²²⁻²¹laŋ²⁴
丈人公	tiũ²²⁻²¹laŋ²⁴⁻²²kɔŋ⁴⁴
丈儂	tiũ²²⁻²¹laŋ²⁴
丈夫	ta⁴⁴⁻²²pɔ⁴⁴
丈夫	tiɔŋ²²⁻²¹hu⁴⁴
丈夫儂	ta⁴⁴⁻²²pɔ⁴⁴⁻²²laŋ²⁴
丈夫囝	ta⁴⁴⁻²²pɔ⁴⁴⁻²²kiã⁵³
丈夫囡仔	ta⁴⁴⁻²²pɔ⁴⁴⁻²²kin⁵³⁻⁴⁴a⁵³
丈夫囡仔	ta⁴⁴⁻²²pɔ⁴⁴⁻²²ɡin⁵³⁻⁴⁴a⁵³
丈姆	tiũ²²⁻²¹m̩⁵³
丈姆婆	tiũ²²⁻²¹m̩⁵³⁻⁴⁴po²⁴
三	sam²¹
三	sam⁴⁴
三	sã⁴⁴
三一	sam⁴⁴⁻²²it̚³²
三七仔	sam⁴⁴⁻²²t͡ɕʰit̚³²⁻⁴a⁵³
三不五時	sam⁴⁴⁻²²put̚³²⁻⁴ɡɔ²²⁻²¹ɕi²⁴
三不管	sam⁴⁴⁻²²put̚³²⁻⁴kuan⁵³
三令五申	sam⁴⁴⁻²²liɪŋ²²⁻²¹ŋɔ̃⁵³⁻⁴⁴ɕin⁴⁴
三伏	sam⁴⁴⁻²²hɔk̚⁴
三位一體	sam⁴⁴⁻²²ui²²⁻²¹it̚³²⁻⁴tʰe⁵³
三光	sam⁴⁴⁻²²kɔŋ⁴⁴
三八	sam⁴⁴⁻²²pat̚³²
三公	sam⁴⁴⁻²²kɔŋ⁴⁴
三分	sã⁴⁴⁻²²hun⁴⁴
三十	sã⁴⁴⁻²²t͡sap̚⁴
三十一	sã⁴⁴⁻²²t͡sap̚⁴⁻³²it̚³²
三十七	sã⁴⁴⁻²²t͡sap̚⁴⁻³²t͡ɕʰit̚³²
三十三	sã⁴⁴⁻²²t͡sap̚⁴⁻³²sã⁴⁴
三十九	sã⁴⁴⁻²²t͡sap̚⁴⁻³²kaʊ⁵³
三十二	sã⁴⁴⁻²²t͡sap̚⁴⁻³²li²²
三十五	sã⁴⁴⁻²²t͡sap̚⁴⁻³²ɡɔ²²
三十八	sã⁴⁴⁻²²t͡sap̚⁴⁻³²pueʔ³²
三十六	sã⁴⁴⁻²²t͡sap̚⁴⁻³²lak̚⁴
三十四	sã⁴⁴⁻²²t͡sap̚⁴⁻³²ɕi²¹
三合	sã⁴⁴⁻²²hap̚⁴
三合板	sam⁴⁴⁻²²hap̚⁴⁻³²pan⁵³
三合院	sã⁴⁴⁻²²hap̚⁴⁻³²ĩ²²
三國	sam⁴⁴⁻²²kɔk̚³²
三國演義	sam⁴⁴⁻²²kɔk̚³²⁻⁴iɛn⁵³⁻⁴⁴ɡi²²
三國鼎立	sam⁴⁴⁻²²kɔk̚³²⁻⁴tiɪŋ⁵³⁻⁴⁴lip̚⁴
三字經	sam⁴⁴⁻²²li²²⁻²¹kiɪŋ⁴⁴
三層肉	sam⁴⁴⁻²²t͡san²⁴⁻²²baʔ³²
三峽	sam⁴⁴⁻²²kiap̚³²
三弦	sam⁴⁴⁻²²hiɛn²⁴
三思	sam⁴⁴⁻²²su⁴⁴
三思而行	sam⁴⁴⁻²²su⁴⁴⁻²²li²⁴⁻²²hiɪŋ²⁴
三明	sam²⁴⁻²²biɪŋ²⁴
三星	sã⁴⁴⁻²²t͡ɕʰĩ⁴⁴
三更	sã⁴⁴⁻²²kĩ⁴⁴
三更半暝	sã⁴⁴⁻²²kĩ⁴⁴⁻²²puã²¹⁻⁵³mĩ²⁴
三月	sã⁴⁴⁻²²ɡeʔ⁴
三朝	sam⁴⁴⁻²²tiaʊ⁴⁴
三民	sam⁴⁴⁻²²bin²⁴
三溫暖	sam⁴⁴⁻²²un⁴⁴⁻²²luan⁵³
三灣	sam⁴⁴⁻²²uan⁴⁴
三牲	sam⁴⁴⁻²²ɕiɪŋ⁴⁴
三皇	sam⁴⁴⁻²²hɔŋ²⁴
三皇五帝	sam⁴⁴⁻²²hɔŋ²⁴⁻²²ŋɔ̃⁵³⁻⁴⁴te²¹
三級跳	sã⁴⁴⁻²²kip̚³²⁻⁴tʰiaʊ²¹
三義	sam⁴⁴⁻²²ɡi²²
三肢手	sã⁴⁴⁻²²ki⁴⁴⁻²²t͡ɕʰiu⁵³
三腳架	sã⁴⁴⁻²²kʰa⁴⁴⁻²²ke²¹
三腳貓	sã⁴⁴⁻²²kʰa⁴⁴⁻²²niãʊ⁴⁴
三芝	sam⁴⁴⁻²²t͡ɕi⁴⁴
三藏	sam⁴⁴⁻²²t͡sɔŋ²²
三角	sã⁴⁴⁻²²kak̚³²
三角形	sã⁴⁴⁻²²kak̚³²⁻⁴hiɪŋ²⁴
三角戀	sã⁴⁴⁻²²kak̚³²⁻⁴luan²⁴
三角楓	sã⁴⁴⁻²²kak̚³²⁻⁴pŋ̍⁴⁴
三角洲	sã⁴⁴⁻²²kak̚³²⁻⁴t͡ɕiu⁴⁴
三角目	sã⁴⁴⁻²²kak̚³²⁻⁴bak̚⁴
三角鐵	sã⁴⁴⁻²²kak̚³²⁻⁴tʰiʔ³²
三跤	sã⁴⁴⁻²²kʰa⁴⁴
三跤㧣	sã⁴⁴⁻²²kʰa⁴⁴⁻²²tu⁴⁴
三跤貓笑一目狗	sã⁴⁴⁻²²kʰa⁴⁴⁻²²niãʊ⁴⁴t͡ɕʰio²¹⁻⁵³t͡ɕit̚⁴⁻³²bak̚⁴⁻³²kaʊ⁵³
三跤馬	sã⁴⁴⁻²²kʰa⁴⁴⁻²²be⁵³
三軍	sam⁴⁴⁻²²kun⁴⁴
三通	sam⁴⁴⁻²²tʰɔŋ⁴⁴
三重	sam⁴⁴⁻²²tiɔŋ²⁴
三重	sã⁴⁴⁻²²tiɪŋ²⁴
三門峽	sam⁴⁴⁻²²bun²⁴⁻²²kiap̚³²
三點	sã⁴⁴⁻²²tiam⁵³
三點水	sã⁴⁴⁻²²tiam⁵³⁻⁴⁴t͡sui⁵³
上	t͡ɕiũ²²
上	t͡ɕʰiũ²²
上	ɕiaŋ²²
上	ɕiɔŋ²²
上	ɕiɔŋ⁵³
上下	ɕiɔŋ²²⁻²¹ha²²
上下其手	ɕiɔŋ²²⁻²¹ha²²⁻²¹ki²⁴⁻²²t͡ɕʰiu⁵³
上主	ɕiɔŋ²²⁻²¹t͡su⁵³
上交	ɕiaŋ²²⁻²¹kaʊ⁴⁴
上交	ɕiɔŋ²²⁻²¹kaʊ⁴⁴
上人	ɕiɔŋ²²⁻²¹lin²⁴
上代	ɕiɔŋ²²⁻²¹taɪ²²
上任	t͡ɕiũ²²⁻²¹lim²²
上任	ɕiɔŋ²²⁻²¹lim²²
上來	t͡ɕiũ²²⁻²¹laɪ²⁴
上來	ɕiɔŋ²²⁻²¹laɪ²⁴
上供	ɕiɔŋ²²⁻²¹kiɔŋ²¹
上元	ɕiɔŋ²²⁻²¹ɡuan²⁴
上元圓	ɕiɔŋ²²⁻²¹ɡuan²⁴⁻²²ĩ²⁴
上元節	ɕiɔŋ²²⁻²¹ɡuan²⁴⁻²²t͡ɕiɛt̚³²
上凊膜	t͡ɕʰiũ²²⁻²¹t͡ɕʰin²¹⁻⁵³mɔ̃ʔ⁴
上凊膜凹	t͡ɕʰiũ²²⁻²¹t͡ɕʰin²¹⁻⁵³mɔ̃ʔ⁴⁻²¹nãʔ³²
上刑	ɕiɔŋ²²⁻²¹hiɪŋ²⁴
上列	ɕiɔŋ²²⁻²¹liɛt̚⁴
上勁	ɕiɔŋ²²⁻²¹kiɪŋ²¹
上升	ɕiɔŋ²²⁻²¹ɕiɪŋ⁴⁴
上午	ɕiɔŋ²²⁻²¹ŋɔ̃⁵³
上半夜	ɕiɔŋ²²⁻²¹puã²¹⁻⁵³ia²²
上去	t͡ɕiũ²²⁻²¹kʰi²¹
上去	ɕiɔŋ²²⁻²¹kʰi²¹
上口	ɕiɔŋ²²⁻²¹kʰaʊ⁵³
上古	ɕiɔŋ²²⁻²¹kɔ⁵³
上司	ɕiɔŋ²²⁻²¹su⁴⁴
上吊	ɕiɔŋ²²⁻²¹tiaʊ²¹
上告	ɕiɔŋ²²⁻²¹ko²¹
上品	ɕiɔŋ²²⁻²¹pʰin⁵³
上回	ɕiɔŋ²²⁻²¹hue²⁴
上坡路	ɕiɔŋ²²⁻²¹po⁴⁴⁻²²lɔ²²
上報	ɕiɔŋ²²⁻²¹po²¹
上場	t͡ɕiũ²²⁻²¹tiũ²⁴
上墳	ɕiɔŋ²²⁻²¹hun²⁴
上士	ɕiɔŋ²²⁻²¹su²²
上天	t͡ɕiũ²²⁻²¹tʰĩ⁴⁴
上天	ɕiɔŋ²²⁻²¹tʰiɛn⁴⁴
上好	ɕiaŋ²²⁻²¹ho⁵³
上好	ɕiɔŋ²²⁻²¹ho⁵³
上學	t͡ɕiũ²²⁻²¹oʔ⁴
上官	ɕiɔŋ²²⁻²¹kuan⁴⁴
上官	ɕiɔŋ²²⁻²¹kuã⁴⁴
上家	ɕiɔŋ²²⁻²¹ke⁴⁴
上將	ɕiɔŋ²²⁻²¹t͡ɕiɔŋ²¹
上尉	ɕiɔŋ²²⁻²¹ui²¹
上尾	ɕiɔŋ²²⁻²¹be⁵³
上層	ɕiɔŋ²²⁻²¹t͡san²⁴
上層建築	ɕiɔŋ²²⁻²¹t͡san²⁴⁻²²kiɛn²¹⁻⁵³tiɔk̚³²
上山	t͡ɕiũ²²⁻²¹suã⁴⁴
上岸	t͡ɕiũ²²⁻²¹huã²²
上峰	ɕiɔŋ²²⁻²¹hɔŋ⁴⁴
上工	t͡ɕiũ²²⁻²¹kaŋ⁴⁴
上工	ɕiɔŋ²²⁻²¹kaŋ⁴⁴
上己菜	ɕiɔŋ²²⁻²¹ki⁵³⁻⁴⁴t͡sʰaɪ²¹
上市	t͡ɕiũ²²⁻²¹t͡ɕʰi²²
上市	ɕiɔŋ²²⁻²¹t͡ɕʰi²²
上帝	ɕiɔŋ²²⁻²¹te²¹
上年	ɕiɔŋ²²⁻²¹nĩ²⁴
上年紀	t͡ɕʰiũ²²⁻²¹nĩ²⁴⁻²²ki⁵³
上年紀	ɕiɔŋ²²⁻²¹nĩ²⁴⁻²²ki⁵³
上床	t͡ɕiũ²²⁻²¹t͡sʰŋ̍²⁴
上座	ɕiɔŋ²²⁻²¹t͡so²²
上弦	ɕiɔŋ²²⁻²¹hiɛn²⁴
上房	ɕiɔŋ²²⁻²¹paŋ²⁴
上手	t͡ɕiũ²²⁻²¹t͡ɕʰiu⁵³
上手	ɕiɔŋ²²⁻²¹t͡ɕʰiu⁵³
上操	t͡ɕiũ²²⁻²¹t͡sʰaʊ⁴⁴
上操	ɕiɔŋ²²⁻²¹t͡sʰaʊ⁴⁴
上文	ɕiɔŋ²²⁻²¹bun²⁴
上方寶劍	ɕiɔŋ²²⁻²¹hɔŋ⁴⁴⁻²²po⁵³⁻⁴⁴kiam²¹
上早	ɕiɔŋ²²⁻²¹t͡sa⁵³
上旬	ɕiɔŋ²²⁻²¹sun²⁴
上映	ɕiɔŋ²²⁻²¹iɔŋ²¹
上映	ɕiɔŋ²²⁻²¹iɪŋ²¹
上書	ɕiɔŋ²²⁻²¹su⁴⁴
上朝	t͡ɕiũ²²⁻²¹tiaʊ²⁴
上朝	ɕiɔŋ²²⁻²¹tiaʊ²⁴
上杯	t͡ɕiũ²²⁻²¹pue⁴⁴
上校	ɕiɔŋ²²⁻²¹kaʊ²¹
上樓	t͡ɕiũ²²⁻²¹laʊ²⁴
上次	ɕiɔŋ²²⁻²¹t͡sʰu²¹
上款	ɕiɔŋ²²⁻²¹kuan⁵³
上歲數	t͡ɕʰiũ²²⁻²¹he²¹⁻⁵³sɔ²¹
上歲數	ɕiɔŋ²²⁻²¹he²¹⁻⁵³sɔ²¹
上殕	t͡ɕʰiũ²²⁻²¹pʰu⁵³
上水	t͡ɕiũ²²⁻²¹t͡sui⁵³
