aarōn	aaɾoːn
abdicāssēs	abd̪ɪkaːs̠s̠eːs̠
abdicātiō	abd̪ɪkaːt̪ioː
abdicātīva	abd̪ɪkaːt̪iːwa
abdicātīva	abd̪ɪkaːt̪iːwaː
abdicātīvus	abd̪ɪkaːt̪iːwʊs̠
abdicātīvās	abd̪ɪkaːt̪iːwaːs̠
abdicātīvē	abd̪ɪkaːt̪iːweː
abdicātīvō	abd̪ɪkaːt̪iːwoː
abdicātīvōs	abd̪ɪkaːt̪iːwoːs̠
abdicātōria	abd̪ɪkaːt̪oːɾia
abdicātōria	abd̪ɪkaːt̪oːɾiaː
abdicātōrius	abd̪ɪkaːt̪oːɾiʊs̠
abdicō	abd̪ɪkoː
abditus	abd̪ɪt̪ʊs̠
abditīva	abd̪ɪt̪iːwa
abditīva	abd̪ɪt̪iːwaː
abditīvus	abd̪ɪt̪iːwʊs̠
abdua	abd̪ʊa
abductiō	abd̪ʊkt̪ioː
abductīva	abd̪ʊkt̪iːwa
abductīva	abd̪ʊkt̪iːwaː
abductīvus	abd̪ʊkt̪iːwʊs̠
abductōris	abd̪ʊkt̪oːɾɪs̠
abdērus	abd̪eːɾʊs̠
abdērītānus	abd̪eːɾiːt̪aːnʊs̠
abdīcam	abd̪iːkãˑ
abdīcar	abd̪iːkar
abdīcō	abd̪iːkoː
abdō	abd̪oː
abdōmen	abd̪oːmɛn
abdōminālis	abd̪oːmɪnaːl̪ɪs̠
abdūcēns	abd̪uːkẽːs̠
abdūcō	abd̪uːkoː
abecedārium	abɛkɛd̪aːɾiʊ̃ˑ
abecedārius	abɛkɛd̪aːɾiʊs̠
abella	abɛl̠l̠a
abellana	abɛl̠l̠ana
abellīnum	abɛl̠l̠iːnʊ̃ˑ
abelus	abɛɫ̪ʊs̠
abequitō	abɛkᶣɪt̪oː
aberdeenēnsis	abɛrd̪eːnẽːs̠ɪs̠
aberrant	abɛrran̪t̪
aberrante	abɛrran̪t̪ɛ
aberrantēs	abɛrran̪t̪eːs̠
aberrātiō	abɛrraːt̪ioː
aberrō	abɛrroː
abhibeō	abɪbeoː
abhinc	abɪŋk
abhorreō	abɔrreoː
abhorrēscō	abɔrreːs̠koː
abiciō	abjɪkioː
abiciō	abɪkioː
abiectiō	abjɛkt̪ioː
abiectō	abjɛkt̪oː
abierimus	abiɛɾiːmʊs̠
abierimus	abiɛɾɪmʊs̠
abieris	abiɛɾiːs̠
abieris	abiɛɾɪs̠
abieritis	abiɛɾiːt̪ɪs̠
abieritis	abiɛɾɪt̪ɪs̠
abietifolia	abiɛt̪ɪfɔl̪ia
abietifolia	abiɛt̪ɪfɔl̪iaː
abietifolius	abiɛt̪ɪfɔl̪iʊs̠
abietina	abiɛt̪ɪna
abietina	abiɛt̪ɪnaː
abietinus	abiɛt̪ɪnʊs̠
abietāria	abiɛt̪aːɾia
abietāria	abiɛt̪aːɾiaː
abietārius	abiɛt̪aːɾiʊs̠
abiga	abɪɡa
abigeus	abɪɡeʊs̠
abigeātor	abɪɡeaːt̪ɔr
abigeātus	abɪɡeaːt̪ʊs̠
abigō	abɪɡoː
abilitās	abɪl̪ɪt̪aːs̠
abitiō	abɪt̪ioː
abitus	abɪt̪ʊs̠
abiugō	abjʊɡoː
abiungō	abjʊŋɡoː
abiāthār	abiaːt̪ʰaːr
abiēgna	abieːŋna
abiēgna	abieːŋnaː
abiēgnus	abieːŋnʊs̠
abiēs	abieːs̠
abiūdicandus	abjuːd̪ɪkan̪d̪ʊs̠
abiūdicātīva	abjuːd̪ɪkaːt̪iːwa
abiūdicātīva	abjuːd̪ɪkaːt̪iːwaː
abiūdicātīvus	abjuːd̪ɪkaːt̪iːwʊs̠
abiūdicō	abjuːd̪ɪkoː
abiūrātiō	abjuːɾaːt̪ioː
abiūrō	abjuːɾoː
abjiciō	abjɪkioː
abjudicātīvus	abjʊd̪ɪkaːt̪iːwʊs̠
abjugō	abjʊɡoː
abjungō	abjʊŋɡoː
abjūdicō	abjuːd̪ɪkoː
ablactō	abɫ̪akt̪oː
ablacuō	abɫ̪akʊoː
ablaqueātiō	abɫ̪akᶣeaːt̪ioː
ablaqueō	abɫ̪akᶣeoː
ablepsia	abɫ̪ɛps̠ia
abligurriō	abl̪ɪɡʊrrioː
abligurrītiō	abl̪ɪɡʊrriːt̪ioː
abligurrītor	abl̪ɪɡʊrriːt̪ɔr
ablocō	abɫ̪ɔkoː
abluvium	abɫ̪ʊwiʊ̃ˑ
abluviō	abɫ̪ʊwioː
abluō	abɫ̪ʊoː
ablātiō	abɫ̪aːt̪ioː
ablātor	abɫ̪aːt̪ɔr
ablātīva	abɫ̪aːt̪iːwa
ablātīva	abɫ̪aːt̪iːwaː
ablātīve	abɫ̪aːt̪iːwɛ
ablātīvus	abɫ̪aːt̪iːwʊs̠
ablātīvās	abɫ̪aːt̪iːwaːs̠
ablātīvī	abɫ̪aːt̪iːwiː
ablātīvō	abɫ̪aːt̪iːwoː
ablātīvōs	abɫ̪aːt̪iːwoːs̠
ablēgātiō	abɫ̪eːɡaːt̪ioː
ablēgō	abɫ̪eːɡoː
ablūdō	abɫ̪uːd̪oː
ablūtiō	abɫ̪uːt̪ioː
ablūtor	abɫ̪uːt̪ɔr
ablūtūrus	abɫ̪uːt̪uːɾʊs̠
abmātertera	abmaːt̪ɛrt̪ɛɾa
abnatātum	abnat̪aːt̪ʊ̃ˑ
abnatātūrus	abnat̪aːt̪uːɾʊs̠
abnatō	abnat̪oː
abnegātiō	abnɛɡaːt̪ioː
abnegātor	abnɛɡaːt̪ɔr
abnegātīva	abnɛɡaːt̪iːwa
abnegātīva	abnɛɡaːt̪iːwaː
abnegātīvus	abnɛɡaːt̪iːwʊs̠
abnegō	abnɛɡoː
abnepōs	abnɛpoːs̠
abnoctātum	abnɔkt̪aːt̪ʊ̃ˑ
abnoctātūrus	abnɔkt̪aːt̪uːɾʊs̠
abnoctō	abnɔkt̪oː
abnuitiō	abnʊɪt̪ioː
abnumerō	abnʊmɛɾoː
abnuō	abnʊoː
abnōdō	abnoːd̪oː
abnōrmis	abnoːrmɪs̠
abnūtātum	abnuːt̪aːt̪ʊ̃ˑ
abnūtātūrus	abnuːt̪aːt̪uːɾʊs̠
abnūtīva	abnuːt̪iːwa
abnūtīva	abnuːt̪iːwaː
abnūtīvus	abnuːt̪iːwʊs̠
abnūtō	abnuːt̪oː
abobrīga	abɔbɾiːɡa
abodiacum	abɔd̪iakʊ̃ˑ
aboleō	abɔɫ̪eoː
abolitiō	abɔl̪ɪt̪ioː
abolitor	abɔl̪ɪt̪ɔr
abolla	abɔl̠l̠a
abolānī	abɔɫ̪aːniː
abolēscō	abɔɫ̪eːs̠koː
abomāsum	abɔmaːs̠ʊ̃ˑ
aborigina	abɔɾɪɡɪna
aborigina	abɔɾɪɡɪnaː
aboriginus	abɔɾɪɡɪnʊs̠
aborior	abɔɾiɔr
aborsa	abɔrs̠a
aborsa	abɔrs̠aː
aborsus	abɔrs̠ʊs̠
abortiō	abɔrt̪ioː
abortus	abɔrt̪ʊs̠
abortās	abɔrt̪aːs̠
abortātūrus	abɔrt̪aːt̪uːɾʊs̠
abortīva	abɔrt̪iːwa
abortīva	abɔrt̪iːwaː
abortīvum	abɔrt̪iːwʊ̃ˑ
abortīvus	abɔrt̪iːwʊs̠
abortō	abɔrt̪oː
aborīgineus	abɔɾiːɡɪneʊs̠
abra	abɾa
abra	abɾaː
abram	abrãˑ
abrelicta	abrɛl̪ɪkt̪a
abrelicta	abrɛl̪ɪkt̪aː
abrelictus	abrɛl̪ɪkt̪ʊs̠
abrenuntiātum	abrɛnʊn̪t̪iaːt̪ʊ̃ˑ
abrenuntiātūrus	abrɛnʊn̪t̪iaːt̪uːɾʊs̠
abrenūntiō	abrɛnuːn̪t̪ioː
abrincatuī	abrɪŋkat̪ʊiː
abripiō	abrɪpioː
abrocomēs	abrɔkɔmeːs̠
abrogāte	abrɔɡaːt̪ɛ
abrogātiō	abrɔɡaːt̪ioː
abrogāvissēmus	abrɔɡawɪs̠s̠ɛmʊs̠
abrogō	abrɔɡoː
abrotanifolia	abrɔt̪anɪfɔl̪ia
abrotanifolia	abrɔt̪anɪfɔl̪iaː
abrotanifolius	abrɔt̪anɪfɔl̪iʊs̠
abrumpō	abrʊmpoː
abrupta	abrʊpt̪a
abrupta	abrʊpt̪aː
abruptissima	abrʊpt̪ɪs̠s̠ɪma
abruptissima	abrʊpt̪ɪs̠s̠ɪmaː
abruptiō	abrʊpt̪ioː
abruptās	abrʊpt̪aːs̠
abruptōs	abrʊpt̪oːs̠
abrādō	abraːd̪oː
abrās	abraːs̠
abrāsiō	abraːs̠ioː
abrīs	abriːs̠
abrōdō	abroːd̪oː
abrōnius	abroːniʊs̠
absarus	aps̠aɾʊs̠
abscindō	aps̠kɪn̪d̪oː
abscissa	aps̠kɪs̠s̠a
abscissiō	aps̠kɪs̠s̠ioː
abscondeō	aps̠kɔn̪d̪eoː
absconditus	aps̠kɔn̪d̪ɪt̪ʊs̠
abscondō	aps̠kɔn̪d̪oː
abscēdō	aps̠keːd̪oː
abscīdō	aps̠kiːd̪oː
abscīsa	aps̠kiːs̠a
abscīsa	aps̠kiːs̠aː
abscīsus	aps̠kiːs̠ʊs̠
abscōnsa	aps̠kõːs̠a
abscōnsa	aps̠kõːs̠aː
abscōnsus	aps̠kõːs̠ʊs̠
abscōnsō	aps̠kõːs̠oː
absentia	aps̠ɛn̪t̪ia
absentīvus	aps̠ɛn̪t̪iːwʊs̠
absentō	aps̠ɛn̪t̪oː
absiliō	aps̠ɪl̪ioː
absimilis	aps̠ɪmɪl̪ɪs̠
absinthifolius	aps̠ɪn̪t̪ʰɪfɔl̪iʊs̠
absinthium	aps̠ɪn̪t̪ʰiʊ̃ˑ
absinthiātus	aps̠ɪn̪t̪ʰiaːt̪ʊs̠
absinthītārum	aps̠ɪn̪t̪ʰɪt̪aɾʊ̃ˑ
absinthītēs	aps̠ɪn̪t̪ʰiːt̪eːs̠
absistō	aps̠ɪs̠t̪oː
absitus	aps̠ɪt̪ʊs̠
absocer	aps̠ɔkɛr
absoluō	aps̠ɔɫ̪ʊoː
absolvēns	aps̠ɔɫ̪wẽːs̠
absolvō	aps̠ɔɫ̪woː
absolūtiō	aps̠ɔɫ̪uːt̪ioː
absolūtus	aps̠ɔɫ̪uːt̪ʊs̠
absolūtōrius	aps̠ɔɫ̪uːt̪oːɾiʊs̠
absonus	aps̠ɔnʊs̠
absonō	aps̠ɔnoː
absorbent	aps̠ɔrbɛn̪t̪
absorbentem	aps̠ɔrbɛn̪t̪ɛ̃ˑ
absorbeō	aps̠ɔrbeoː
absorptiō	aps̠ɔrpt̪ioː
absortus	aps̠ɔrt̪ʊs̠
abspellō	aps̠pɛl̠l̠oː
absportō	aps̠pɔrt̪oː
absque	aps̠kᶣɛ
abstergeō	aps̠t̪ɛrɡeoː
absterreō	aps̠t̪ɛrreoː
abstinentia	aps̠t̪ɪnɛn̪t̪ia
abstineō	aps̠t̪ɪneoː
abstināx	aps̠t̪ɪnaːks̠
abstractiō	aps̠t̪ɾakt̪ioː
abstractus	aps̠t̪ɾakt̪ʊs̠
abstrahentibus	aps̠t̪ɾahɛn̪t̪ɪbʊs̠
abstraherentur	aps̠t̪ɾahɛɾɛn̪t̪ʊr
abstrahō	aps̠t̪ɾahoː
abstrāxerimus	aps̠t̪ɾaks̠ɛɾɪmʊs̠
abstrūdō	aps̠t̪ɾuːd̪oː
abstrūsus	aps̠t̪ɾuːs̠ʊs̠
abstulī	aps̠t̪ʊl̪iː
abstēmius	aps̠t̪eːmiʊs̠
abstō	aps̠t̪oː
absum	aps̠ʊ̃ˑ
absurdus	aps̠ʊrd̪ʊs̠
absynthītēs	aps̠ʏn̪t̪ʰiːt̪eːs̠
absārius	aps̠aɾiʊs̠
absēns	aps̠ẽːs̠
absīdātus	aps̠iːd̪aːt̪ʊs̠
absūmēdō	aps̠uːmeːd̪oː
absūmō	aps̠uːmoː
abudius	abʊd̪iʊs̠
abundanter	abʊn̪d̪an̪t̪ɛr
abundantia	abʊn̪d̪an̪t̪ia
abundantius	abʊn̪d̪an̪t̪iʊs̠
abundantēs	abʊn̪d̪an̪t̪eːs̠
abundiflōrus	abʊn̪d̪ɪfɫ̪oːɾʊs̠
abundus	abʊn̪d̪ʊs̠
abundātiō	abʊn̪d̪aːt̪ioː
abundātum	abʊn̪d̪aːt̪ʊ̃ˑ
abundātūrus	abʊn̪d̪aːt̪uːɾʊs̠
abundō	abʊn̪d̪oː
aburius	abʊɾiʊs̠
abusina	abʊs̠ɪna
abyla	abʏɫ̪a
abyssicolus	abʏs̠s̠ɪkɔɫ̪ʊs̠
abyssinicus	abʏs̠s̠ɪnɪkʊs̠
abyssus	abʏs̠s̠ʊs̠
abyssālis	abʏs̠s̠aːl̪ɪs̠
abzoae	abzɔae̯
abāctius	abaːkt̪iʊs̠
abāctor	abaːkt̪ɔr
abāctus	abaːkt̪uːs̠
abāctus	abaːkt̪ʊs̠
abōminandus	aboːmɪnan̪d̪ʊs̠
abōminābilis	aboːmɪnaːbɪl̪ɪs̠
abōmināmentum	aboːmɪnaːmɛn̪t̪ʊ̃ˑ
abōminātiō	aboːmɪnaːt̪ioː
abōminō	aboːmɪnoː
abōminōsa	aboːmɪnoːs̠a
abōminōsa	aboːmɪnoːs̠aː
abōminōsus	aboːmɪnoːs̠ʊs̠
abūsor	abuːs̠ɔr
abūsīvus	abuːs̠iːwʊs̠
abūtor	abuːt̪ɔr
abȳdus	abyːd̪ʊs̠
acaciifolius	akakiɪfɔl̪iʊs̠
acacēsium	akakeːs̠iʊ̃ˑ
acadēmicus	akad̪eːmɪkʊs̠
acadēmīa	akad̪eːmiːa
acalandrus	akaɫ̪an̪d̪ɾʊs̠
acalyphāceus	akal̪ʏpʰaːkeʊs̠
acalēphē	akaɫ̪eːpʰeː
acampsis	akamps̠ɪs̠
acanthicarpus	akan̪t̪ʰɪkarpʊs̠
acanthifolius	akan̪t̪ʰɪfɔl̪iʊs̠
acanthinus	akan̪t̪ʰɪnʊs̠
acanthius	akan̪t̪ʰiʊs̠
acanthocalycibus	akan̪t̪ʰɔkal̪ʏkɪbʊs̠
acanthocalyx	akan̪t̪ʰɔkal̪ʏks̠
acanthocarpus	akan̪t̪ʰɔkarpʊs̠
acanthocladus	akan̪t̪ʰɔkɫ̪ad̪ʊs̠
acanthocomus	akan̪t̪ʰɔkɔmʊs̠
acanthodontus	akan̪t̪ʰɔd̪ɔn̪t̪ʊs̠
acanthonotus	akan̪t̪ʰɔnɔt̪ʊs̠
acanthophorus	akan̪t̪ʰɔpʰɔɾʊs̠
acanthophyllus	akan̪t̪ʰɔpʰʏl̠l̠ʊs̠
acanthopodius	akan̪t̪ʰɔpɔd̪iʊs̠
acanthus	akan̪t̪ʰʊs̠
acaricus	akaɾɪkʊs̠
acascomarcī	akas̠kɔmarkiː
acaulis	akau̯l̪ɪs̠
acaustus	akau̯s̠t̪ʊs̠
accadicus	akkad̪ɪkʊs̠
accanite	akkanɪt̪ɛ
accanitō	akkanɪt̪oː
accapitō	akkapɪt̪oː
acceia	akkɛjja
accelerātiō	akkɛɫ̪ɛɾaːt̪ioː
accelerātrīx	akkɛɫ̪ɛɾaːt̪ɾiːks̠
accelerō	akkɛɫ̪ɛɾoː
accendō	akkɛn̪d̪oː
accentor	akkɛn̪t̪ɔr
accentus	akkɛn̪t̪ʊs̠
accepta	akkɛpt̪a
acceptante	akkɛpt̪an̪t̪ɛ
acceptiō	akkɛpt̪ioː
acceptābilis	akkɛpt̪aːbɪl̪ɪs̠
acceptō	akkɛpt̪oː
accersiō	akkɛrs̠ioː
accessibilis	akkɛs̠s̠ɪbɪl̪ɪs̠
accessitō	akkɛs̠s̠ɪt̪oː
accessōrius	akkɛs̠s̠oːɾiʊs̠
accidenta	akkɪd̪ɛn̪t̪a
accidentia	akkɪd̪ɛn̪t̪ia
accidentum	akkɪd̪ɛn̪t̪ʊ̃ˑ
accidentō	akkɪd̪ɛn̪t̪oː
accidere	akkɪd̪eːɾɛ
accidere	akkɪd̪ɛɾɛ
accidēns	akkɪd̪ẽːs̠
accidō	akkɪd̪oː
accingō	akkɪŋɡoː
accinō	akkɪnoː
accipiter	akkɪpɪt̪ɛr
accipitrīna	akkɪpɪt̪ɾiːna
accipitrō	akkɪpɪt̪ɾoː
accipiēns	akkɪpiẽːs̠
accipiō	akkɪpioː
accisī	akkɪs̠iː
accius	akkiʊs̠
acclāmō	akkɫ̪aːmoː
acclārō	akkɫ̪aːɾoː
acclīnis	akkl̪iːnɪs̠
acclīnō	akkl̪iːnoː
acclīvis	akkl̪iːwɪs̠
accolēius	akkɔɫ̪eːiʊs̠
accomandatiō	akkɔman̪d̪at̪ioː
accommodātus	akkɔmmɔd̪aːt̪ʊs̠
accommodō	akkɔmmɔd̪oː
acconciliō	akkɔŋkɪl̪iɔ
accorporō	akkɔrpɔɾoː
accrēscente	akkɾeːs̠kɛn̪t̪ɛ
accrēscō	akkɾeːs̠koː
accrētus	akkɾeːt̪ʊs̠
accua	akkʊa
accubitus	akkʊbɪt̪uːs̠
accubitus	akkʊbɪt̪ʊs̠
accubitātiō	akkʊbɪt̪aːt̪ioː
accubō	akkʊboː
accumbere	akkʊmbeːɾɛ
accumbere	akkʊmbɛɾɛ
accumbō	akkʊmboː
accumulātiō	akkʊmʊɫ̪aːt̪ioː
accumulō	akkʊmʊɫ̪oː
accurrō	akkʊrroː
accēdō	akkeːd̪oː
accēnseō	akkẽːs̠eoː
accēnsibilis	akkẽːs̠ɪbɪl̪ɪs̠
accīdere	akkiːd̪ɛɾɛ
accīdia	akkiːd̪ia
accīdēns	akkiːd̪ẽːs̠
accīdō	akkiːd̪oː
accūrātus	akkuːɾaːt̪ʊs̠
accūrō	akkuːɾoː
accūsitō	akkuːs̠ɪt̪oː
accūsābilis	akkuːs̠aːbɪl̪ɪs̠
accūsātiō	akkuːs̠aːt̪ioː
accūsātor	akkuːs̠aːt̪ɔr
accūsātrīx	akkuːs̠aːt̪ɾiːks̠
accūsātus	akkuːs̠aːt̪ʊs̠
accūsātī	akkuːs̠aːt̪iː
accūsātīvus	akkuːs̠aːt̪iːwʊs̠
accūsātōrius	akkuːs̠aːt̪oːɾiʊs̠
accūsātōriē	akkuːs̠aːt̪oːɾieː
accūsō	akkuːs̠oː
acephalus	akɛpʰaɫ̪ʊs̠
acer	akɛr
acerbe	akɛrbɛ
acerbitās	akɛrbɪt̪aːs̠
acerbus	akɛrbʊs̠
acerbāte	akɛrbaːt̪ɛ
acerbē	akɛrbeː
acerbō	akɛrboː
acere	akɛɾɛ
aceriflōrus	akɛɾɪfɫ̪oːɾʊs̠
acerifolius	akɛɾɪfɔl̪iʊs̠
acerinus	akɛɾɪnʊs̠
aceriphyllus	akɛɾɪpʰʏl̠l̠ʊs̠
acernus	akɛrnʊs̠
acerra	akɛrra
acerrae	akɛrrae̯
acerrōnius	akɛrroːniʊs̠
acervus	akɛrwʊs̠
acervālis	akɛrwaːl̪ɪs̠
acervō	akɛrwoː
acerōsus	akɛɾoːs̠ʊs̠
acesīnus	akɛs̠iːnʊs̠
acesīnēs	akɛs̠iːneːs̠
acetoxidāns	akɛt̪ɔks̠ɪd̪ãːs̠
achaemenis	akʰae̯mɛnɪs̠
acharis	akʰaɾɪs̠
achatēs	akʰat̪eːs̠
achelōus	akʰɛɫ̪oːʊs̠
achenum	akʰɛnʊ̃ˑ
acherontēus	akʰɛɾɔn̪t̪eːʊs̠
acheronēnsis	akʰɛɾɔnẽːs̠ɪs̠
acherunticus	akʰɛɾʊn̪t̪ɪkʊs̠
acherōn	akʰɛɾoːn
achillēs	akʰɪl̠l̠eːs̠
achillīnus	akʰɪl̠l̠iːnʊs̠
achrōmiāns	akʰɾoːmiãːs̠
achātēs	akʰaːt̪eːs̠
achātīnus	akʰaːt̪iːnʊs̠
acicula	akɪkʊɫ̪a
acicularifolius	akɪkʊɫ̪aɾɪfɔl̪iʊs̠
aciculifer	akɪkʊl̪ɪfɛr
aciculinus	akɪkʊl̪ɪnʊs̠
aciculāris	akɪkʊɫ̪aːɾɪs̠
aciculātus	akɪkʊɫ̪aːt̪ʊs̠
acidominimus	akɪd̪ɔmɪnɪmʊs̠
acidovorāns	akɪd̪ɔwɔɾãːs̠
acidulus	akɪd̪ʊɫ̪ʊs̠
acidus	akɪd̪ʊs̠
acidīnus	akɪd̪iːnʊs̠
acidō	akɪd̪oː
acimincum	akɪmɪŋkʊ̃ˑ
acinacifolius	akɪnakɪfɔl̪iʊs̠
acinasis	akɪnas̠ɪs̠
acinifolius	akɪnɪfɔl̪iʊs̠
acinippō	akɪnɪppoː
acinus	akɪnʊs̠
acinōsus	akɪnoːs̠ʊs̠
acipēnser	akɪpẽːs̠ɛr
aciārium	akiaːɾiʊ̃ˑ
aciēs	akieːs̠
acmodontus	akmɔd̪ɔn̪t̪ʊs̠
acnua	aknʊa
acoetis	akoe̯t̪ɪs̠
acoetēs	akoe̯t̪eːs̠
acollis	akɔl̠l̠ɪs̠
acolythus	akɔl̪ʏt̪ʰʊs̠
acona	akɔna
aconitifolius	akɔnɪt̪ɪfɔl̪iʊs̠
acontius	akɔn̪t̪iʊs̠
acontizō	akɔn̪t̪ɪzzoː
aconītum	akɔniːt̪ʊ̃ˑ
aconītus	akɔniːt̪ʊs̠
acoris	akɔɾɪs̠
acornis	akɔrnɪs̠
acoros	akɔɾɔs̠
acorus	akɔɾʊs̠
acquiēscentis	akkᶣieːs̠kɛn̪t̪ɪs̠
acquiēscō	akkᶣieːs̠koː
acquīrō	akkᶣiːɾoː
acrae	akɾae̯
acraephia	akɾae̯pʰia
acraeus	akɾae̯ʊs̠
acranthus	akɾan̪t̪ʰʊs̠
acrillae	akɾɪl̠l̠ae̯
acrisius	akɾɪs̠iʊs̠
acroanthus	akɾɔan̪t̪ʰʊs̠
acrobracteātus	akɾɔbɾakt̪eaːt̪ʊs̠
acrocarpus	akɾɔkarpʊs̠
acroceraunia	akɾɔkɛɾau̯nia
acrocorium	akɾɔkɔɾiʊ̃ˑ
acrocōnus	akɾɔkoːnʊs̠
acrodontus	akɾɔd̪ɔn̪t̪ʊs̠
acroglōssus	akɾɔɡɫ̪oːs̠s̠ʊs̠
acrolasius	akɾɔɫ̪as̠iʊs̠
acrolepis	akɾɔɫ̪ɛpɪs̠
acronēmaticus	akɾɔneːmat̪ɪkʊs̠
acroscopicus	akɾɔs̠kɔpɪkʊs̠
acrotrichus	akɾɔt̪ɾɪkʰʊs̠
acrozȳmus	akɾɔzzyːmʊs̠
acroāma	akɾɔaːma
acrufolius	akɾʊfɔl̪iʊs̠
acrō	akɾoː
actinacanthus	akt̪ɪnakan̪t̪ʰʊs̠
actinocarpus	akt̪ɪnɔkarpʊs̠
actinophyllus	akt̪ɪnɔpʰʏl̠l̠ʊs̠
actē	akt̪eː
actīnium	akt̪iːniʊ̃ˑ
actīniō	akt̪iːnioː
actīnopetalus	akt̪iːnɔpɛt̪aɫ̪ʊs̠
aculeaticarpus	akʊɫ̪eat̪ɪkarpʊs̠
aculeolātus	akʊɫ̪eɔɫ̪aːt̪ʊs̠
aculeus	akʊɫ̪eʊs̠
aculos	akʊɫ̪ɔs̠
acuminatifolius	akʊmɪnat̪ɪfɔl̪iʊs̠
acutrī	akʊt̪ɾiː
acuō	akʊoː
acāciifōrmis	akaːkiɪfoːrmɪs̠
acēdia	akeːd̪ia
acēre	akeːɾɛ
acērus	akeːɾʊs̠
acēscente	akeːs̠kɛn̪t̪ɛ
acēscentēs	akeːs̠kɛn̪t̪eːs̠
acēscō	akeːs̠koː
acētum	akeːt̪ʊ̃ˑ
acētābulifōrmibus	akɛt̪abʊl̪ɪfɔrmɪbʊs̠
acētābulifōrmis	akeːt̪aːbʊl̪ɪfoːrmɪs̠
acētābulum	akeːt̪aːbʊɫ̪ʊ̃ˑ
acētābulāris	akeːt̪aːbʊɫ̪aːɾɪs̠
acētābulōsus	akeːt̪aːbʊɫ̪oːs̠ʊs̠
acētāria	akeːt̪aːɾia
acētāriīs	akeːt̪aːɾiiːs̠
acētāriōrum	akeːt̪aːɾioːɾʊ̃ˑ
acētōsus	akeːt̪oːs̠ʊs̠
acīlius	akiːl̪iʊs̠
acīnaceus	akiːnakeʊs̠
acīnacifōrmis	akiːnakɪfoːrmɪs̠
acīnacēs	akiːnakeːs̠
acūleātiflōrus	akuːɫ̪eaːt̪ɪfɫ̪oːɾʊs̠
acūleātus	akuːɫ̪eaːt̪ʊs̠
acūmen	akuːmɛn
acūminō	akuːmɪnoː
acūminōsus	akuːmɪnoːs̠ʊs̠
acūpedius	akuːpɛd̪iʊs̠
acūtangulus	akuːt̪aŋɡʊɫ̪ʊs̠
acūticarpus	akuːt̪ɪkarpʊs̠
acūtidentātus	akuːt̪ɪd̪ɛn̪t̪aːt̪ʊs̠
