جي	ɟˈeː
عمر	ˈʊmr
ٿيا	tʰjˈaː
پيو	pjˈoː
اھو	ˈahoː
ڏکڻ	ɖəkʰˈʌɳ
ملڪن	mˌələkˈʌn
ڪيترائي	kˌeːt̪rˈaːi
بابت	bˈaːbɪt̪
لاء	lˈaː
ڪيل	kˈajal
صدر	ʂədˈʌr
تان	t̪ˈaːn
ڊاڪٽر	ɖˈaːkʈar
اتر	at̪ˈʌr
علم	alˈʌm
زماني	zəmˈaːni
ڏني	ɖˈʌni
پنھنجي	pənhnˈʌɟi
ٿين	tʰˈeːn
ڏانهن	ɖˌaːnəhˈʌn
هيٺ	hˈeːʈʰ
آف	ˈaːf
اڄ	ˈaɟ
حضرت	hˌəzərˈʌt̪
شاعر	ʃaːˈaːɪr
اوڀر	uːbʰˈʌr
غلام	ɣəlˈaːm
نظام	nɪʐˈaːm
رکيو	rˈʌkʰjoː
شايع	ʃˈaːjaː
سياسي	sjˈaːsi
پير	pˈeːr
ڪاليج	kaːlˈiːɟ
خيال	xjˈaːl
شيخ	ʃˈeːx
اهم	ahˈʌm
پيش	pˈeːʃ
رکي	rˈʌkʰi
تڏهن	t̪ˌəɖəhˈʌn
ذڪر	zəkˈʌr
طرفان	tˌərfˈaːn
پنهنجو	pˈʌ̃hnɟoː
دوران	doːrˈaːn
گهر	ɡəhˈʌr
ويندا	ʋˈeːndaː
ڪندي	kˈʌndi
وڃن	ʋəɲˈʌn
مٿي	mˈʌtʰi
ڏيڻ	ɖˈɪaɳ
دؤر	dəˈa͡ʊr
ڄام	ɟˈaːm
هوندا	hˈũːdaː
تنهن	t̪ˌənəhˈʌn
هٿ	hˈʌʈ
اثر	asˈʌr
عمل	amˈʌl
هنن	hənˈʌn
الدين	ˌaldˈiːn
هندستان	hɪnɖˈʊstaːn
ڪافي	kˈaːfi
وارا	ʋˈaːraː
ڪيترن	kˌeːt̪ərˈʌn
صورت	ʂoːrˈʌt̪
ڇڏيو	cʰˈʌɖjoː
اي	ˈeː
خاندان	xaːndˈaːn
اڪثر	ˌakəsˈʌr
نئين	nəˈiːn
هنڌ	hˈʌndʰ
ورتو	ʋərˈʌt̪oː
ڏئي	ɖˈʌi
سڀني	səbʰˈʌni
بنياد	bənjˈaːd
پاسي	pˈaːsi
اختيار	axt̪jˈaːr
سمنڊ	səmˈʌnɖ
بيان	bjˈaːn
وانگر	ʋaːnɡˈʌr
لکي	lˈʌkʰi
جاري	ɟˈaːri
انگريزي	ˌanɡərˈiːzi
احمد	ɛhmˈʌd
ڪراچي	kərˈaːci
هيو	hjˈoː
پاران	paːrˈaːn
انسان	ɪnsˈaːn
موجب	moːɟˈʌb
سگهي	səɡˈʌhi
سر	sˈʌr
لکيو	lˈʌkʰjoː
مدد	mədˈʌd
گل	ɡˈʌl
تحريڪ	t̪ˌəhrˈiːk
حيثيت	heːsˈiːt̪
مشتمل	mˌəʃt̪əmˈʌl
ختم	xət̪ˈʌm
وڻ	ʋˈʌɳ
گهڻي	ɡəhˈʌɳi
سڄي	sˈʌɟi
جيڪڏهن	ɟˌeːkəɖəhˈʌn
ميان	mjˈaːn
يو	jˈoː
ھوندو	hˈoːndoː
اھي	ˈahi
اٿس	aʈˈʌs
رڳو	rˈʌɡoː
ڪا	kˈaː
هجي	hˈʊɟeː
حوالي	haʋˈaːli
ڪندڙ	kəndˈʌr.
ڇڏي	cʰˈʌɖi
ڪائونسل	kˌaːoːnsˈʌl
ٻي	bˈeː
ڪردار	kərdˈaːr
يونين	joːnˈiːn
ڪڏهن	kˌəɖəhˈʌn
مرزا	mərˈʌzaː
سيڪڙو	seːkˈʌr.oː
ڳالهه	ɡˌaːləhˈʌh
جنم	ɟənˈʌm
قومي	qˈoːmi
وڏا	ʋˈʌɖaː
مٿان	mətʰˈaːn
پئي	pˈʌi
زبان	zəbˈaːn
بخش	bəxˈʌʃ
تعلق	t̪aːlˈʌq
توڙي	t̪ˈoːr.i
صوبي	ʂuːbˈiː
اڳتي	aɡˈʌt̪i
شروعات	ʃʊrˈuːaːt
ٻار	bˈaːr
نمبر	nəmbˈʌr
پوري	pˈoːri
استاد	ast̪ˈaːd
زندگي	zˈɪndɡi
چئبو	cəbˈoː
ائين	aˈiːn
ميمبر	meːmbˈʌr
سرڪاري	sˌərkˈaːri
سڏيو	sˈʌɖjoː
شاعري	ʃaːˈaːɪrˌiː
چار	cˈaːr
فلم	fˈɪlm
فوج	fˈoːɟ
ديھ	dˈeːh
ٽن	ʈˈʌn
ڪجھ	kəɟˈʌh
آزاد	aːzˈaːd
مولانا	moːlˈaːnaː
فتح	fˌət̪ˈah
ايم	ˈeːm
تيار	t̪jˈaːr
باقي	bˈaːqi
مرڪز	mˌərəkˈʌz
يونيورسٽي	jˌoːnjoːrəsˈʌʈi
شاھ	ʃˈaːh
رهيا	rˈʌhjaː
گهٽ	ɡəhˈʌʈ
بند	bˈʌnd
مطلب	mˌətəlˈʌb
فقير	fəqˈiːr
لڳ	lˈʌɡ
خلاف	xəlˈaːf
سماجي	səmˈaːɟi
علائقن	ˌalaːɪqˈʌn
ٺٽي	ʈʰˈʌʈi
جدا	ɟˈʊdaː
هيون	hjˈoːn
ٻيون	bjˈoːn
کين	kʰˈeːn
سن	sˈʌn
ڪتابن	kˌɪtaːbˈʌn
تاريخي	t̪aːrˈiːxi
ترقي	t̪ərˈʌqi
ميل	mˈeːl
صرف	ʂərˈʌf
قيمت	qeːmˈʌt̪
اچڻ	acˈaɳʊ
اسلام	ˌɪslˈaːm
والد	ʋaːlˈʌd
ترجمو	t̪ˌərəɟˈʌmoː
تنهنڪري	t̪ˌənəhˌənəkˈʌri
جلد	ɟəlˈʌd
مثال	məsˈaːl
ننڍي	nənˈʌɖʰi
ڌاري	dʰˈaːri
سو	sˈoː
آخري	aːxˈʌri
جسم	ɟəsˈʌm
صدي	ʂˈʌdi
ظاهر	ʐaːhˈʌr
هندو	hˈɪndoː
پنج	pənˈʌɟ
هاڻي	hˈaːɳi
ڪيون	kjˈoːn
چون	cˈoːn
کڻي	kʰˈʌɳi
حسن	həsˈʌn
سخت	sˈʌxt̪
لڳي	lˈʌɡi
ڪونه	koːnˈʌh
ايندو	ˈeːndoː
دل	dˈʌl
لڳو	lˈʌɡoː
هزار	həzˈaːr
ٻنهي	bənˈʌhi
سگهجي	sˌəɡəhˈʌɟi
تعداد	t̪aːdˈaːd
سنه	sənˈʌh
سج	sˈʌɟ
مضمون	mˌəzmˈuːn
مون	mˈũː
اولاد	uːlˈaːd
غير	ɣˈeːr
لحاظ	ləhˈaːʐ
مسجد	mˈasɟˌɪd
مڪمل	mˌəkəmˈʌl
عالم	aːlˈʌm
مقام	məqˈaːm
شادي	ʃˈaːdi
ڪلوميٽر	kˌəloːmiʈˈʌr
عربي	ˌarbˈiː
سنڌو	sˈɪndhoː
بنيادي	bənjˈaːdi
مسلمان	mʊsˈalmˌaːn
ڇو	cʰˈoː
چڪو	cˈʌkoː
ڪنھن	kˈʌnhn
امير	amˈiːr
اھا	ˈahaː
سفر	səfˈʌr
داخل	daːxˈʌl
خدا	xˈʌdaː
آخر	ˈaːxɪr
بادشاهه	bˈaːdʃˌaːhəh
مال	mˈaːl
مسلمانن	mʊsˈalmˌaːnən
الڳ	alˈʌɡ
انساني	ɪnsˈaːni
ڏنل	ɖˈɪnal
ڪلام	kəlˈaːm
سطح	sˌətˈah
ٿيندڙ	tʰĩːdˈʌr.
رکندڙ	rˌəkʰəndˈʌr.
فارسي	faːrˈʌsi
ڪوشش	koːʃˈʌʃ
ھئا	hˈʌaː
جڏھن	ɟˌəɖəhˈʌn
مسلم	mˈʊslˌɪm
هلي	hˈʌli
چوڻ	cˈoːɳ
شڪل	ʃəkˈʌl
ٻولين	boːlˈiːn
راجا	rˈaːɟaː
ھر	hˈʌr
حصي	hˈʌʂi
جديد	ɟədˈiːd
سائيز	saːˈiːz
ناول	naːˈoːl
لشڪر	lˌəʃəkˈʌr
اڃا	ˈaɲaː
فوٽ	fˈoːʈ
نموني	nəmˈoːni
اسلامي	ˌɪslˈaːmi
پي	pˈeː
آمريڪا	ˌaːmrˈiːkaː
حالت	haːlˈʌt̪
ريت	rˈeːt̪
پنجاب	pˌənɟˈaːb
ڊي	ɖˈeː
حسين	həsˈiːn
سميت	səmˈiːt̪
فوجي	fˈoːɟi
اردو	ˈardoː
انڊيا	ˈɪnɖjaː
وزير	ʋəzˈiːr
پاس	pˈaːs
ادا	ˈadaː
آيا	ˈaːjaː
رات	rˈaːt̪
ڪوٽ	kˈoːʈ
ذات	zˈaːt̪
مخدوم	mˌəxdˈuːm
ڄاڻايل	ɟaːɳˈaːjal
قوم	qˈoːm
زور	zˈoːr
نسل	nəsˈʌl
تحقيق	t̪ˌəhqˈiːq
قانون	qaːnˈoːn
قلعي	qəlˈaːi
انداز	andˈaːz
بيگ	bˈeːɡ
پسند	pəsˈʌnd
امام	amˈaːm
رکڻ	rəkʰˈʌɳ
بڻجي	bəɳˈʌɟi
قتل	qət̪ˈʌl
سلطان	sˌəltˈaːn
قرآن	qərˈaːn
رھيو	rˈʌhjoː
ڏسڻ	ɖɪsˈʌɳ
عورت	ˌaoːrˈʌt̪
پري	pˈʌri
تعمير	t̪aːmˈiːr
خبر	xəbˈʌr
ماڻھن	mˈaːɳhʊn
اتان	at̪ˈaːn
رهندو	rəhˈʌndoː
علائقو	ˌalaːˈɪqoː
فن	fˈʌn
ليکڪ	leːkʰˈʌk
وڃڻ	ʋəɲˈʌɳ
وڌي	ʋˈʌdʰi
شريف	ʃərˈiːf
شعر	ʃˈaːr
صفحا	ʂəfˈʌhaː
ويون	ʋjˈoːn
ڏي	ɖˈeː
پھرين	pˌəhrˈiːn
آواز	aːʋˈaːz
اهڙو	ahˈʌr.oː
هڪڙو	həkˈʌr.oː
گڏيل	ɡˈʌɖjal
هئڻ	hˈʌɳ
بورڊ	bˈoːrəɖ
انهي	ɪnˈɪhi
حقيقت	hˌəqiqˈʌt̪
قاضي	qˈaːzi
سلسلي	sˈɪlsˌɪli
لکڻ	lˈɪkʰaɳ
حق	hˈʌq
نهايت	nˌəhaːˈiːt̪
مقصد	mˌəqəʂˈʌd
ماڻھو	maːɳˈʌhoː
نالا	nˈaːlaː
لوڪ	lˈoːk
لاڙڪاڻي	lˌaːr.kˈaːɳi
آئي	ˈaːi
ٿر	ʈˈʌr
جبل	ɟəbˈʌl
حڪم	həkˈʌm
ڪناري	kənˈaːri
جنرل	ɟˌənərˈʌl
لفظن	lˌəfəʐˈʌn
اولهه	ˌuːləhˈʌh
حاڪم	haːkˈʌm
عالمي	aːlˈʌmi
پورو	pˈoːroː
طاقت	taːqˈʌt̪
عرب	arˈʌb
ميٽر	meːʈˈʌr
چين	cˈeːn
ھتي	hˈʌt̪i
لک	lˈʌkʰ
نڪري	nˈɪkri
ڏسي	ɖˈɪsi
انگريزن	ˌanɡərizˈʌn
ترتيب	t̪ˌərt̪ˈiːb
اخبار	ˌaxbˈaːr
مارچ	mˈaːrc
مشھور	mˌəʃhˈuːr
موجوده	moːɟˈuːdh
ملن	məlˈʌn
ڪيترا	keːt̪ˈʌraː
وڏن	ʋəɖˈʌn
وجود	ʋəɟˈoːd
ٻاهر	baːhˈʌr
حاجي	hˈaːɟi
شين	ʃˈeːn
وي	ʋˈeː
معلوم	maːlˈoːm
هڪڙي	həkˈʌr.i
آيل	ˈaːjal
جنوري	ɟənˈoːri
عرصي	arˈʌʂi
عورتن	ˌaoːrət̪ˈʌn
واپار	ʋaːpˈaːr
پوء	pˈoː
بين	bˈeːn
مليو	mˈʌljoː
جان	ɟˈaːn
شڪار	ʃəkˈaːr
مذهبي	mˌəzəhəbˈiː
ٻارن	baːrˈʌn
اولھ	uːlˈʌh
ناهي	nˈaːhi
ڀرسان	bʰˌərsˈaːn
ڄاڻ	ɟˈaːɳ
بيت	bˈeːt̪
گڏجي	ɡəɖˈʌɟi
ھوندا	hˈoːndaː
و	ʋˈaːɔ
ڄائو	ɟˈaːoː
آگسٽ	ˌaːɡəsˈʌʈ
تحت	t̪əhˈʌt̪
رهڻ	rəhˈʌɳ
ھوندي	hˈoːndi
پوي	pʋˈeː
ايندا	ˈeːndaː
اھڙي	ahˈʌr.i
فقط	fəqˈʌt
پٿر	pəʈˈʌr
گھٽ	ɡʰˈʌʈ
اهڙا	ahˈʌr.aː
ٻج	bˈʌɟ
خود	xˈʊd
ساڳي	sˈaːɡi
اچن	acˈʌn
ويجهو	ʋeːɟˈʌhoː
ٺهيل	ʈʰˈʌhjal
پارٽي	paːrˈʌʈi
واپس	ʋaːpˈʌs
روشني	roːʃˈʌni
پن	pˈʌn
مکيه	məkʰˈiːh
ٻہ	bˈʌh
چئن	cˈʌn
ايران	eːrˈaːn
شخص	ʃˈaxʂ
قبيلي	qəbˈiːli
بزرگ	bˈʊzʊɾɡ
شاعرن	ʃaːˈaːɪrn
گورنر	ɡˌoːrənˈʌr
اهميت	ˌahəmˈiːt̪
ضرورت	zˌaruːrˈʌt̪
محبت	mˌəhəbˈʌt̪
پروفيسر	pˌəroːfisˈʌr
اڌ	ˈadʰ
شمار	ʃəmˈaːr
تبديل	t̪əbˈʌdjal
رستي	rˈʌst̪i
شڪارپور	ʃˌəkaːrpˈoːr
لکيا	lˈʌkʰjaː
يورپ	joːrˈʌp
تعليمي	t̪aːlˈiːmi
رھي	rˈʌhi
عليه	alˈiːh
اٽڪل	ˌaʈəkˈʌl
تن	t̪ˈʌn
راڳ	rˈaːɡ
پيا	pjˈaː
روڊ	rˈoːɖ
علاوه	ˌalaːˈoːh
مراد	mərˈaːd
کن	kʰˈʌn
صحيح	ʂˈʌhih
شهرن	ʃˌəhərˈʌn
ٻيٽ	bˈeːʈ
پکي	pˈʌkʰi
تنظيم	t̪ˌənʐˈiːm
ڏاڍو	ɖˈaːɖʰoː
روايت	rʋaːˈiːt̪
سردار	sərdˈaːr
متاثر	mˌət̪aːsˈʌr
بهترين	bˌəhət̪rˈiːn
ثابت	saːbˈɪt̪
ساڳئي	saːɡˈʌi
عظيم	aʐˈiːm
رسالي	rəsˈaːli
ننڍا	nənˈʌɖʰaː
ڇا	cʰˈaː
گرم	ɡərˈʌm
آڪٽوبر	ˌaːkʈoːbˈʌr
شهيد	ʃəhˈiːd
تصور	t̪əʂˈoːr
درياهه	dˌərjaːhˈʌh
موت	mˈoːt̪
چورس	coːrˈʌs
ڪڍي	kˈʌɖʰi
سرڪار	sˌərkˈaːr
نظم	nəʐˈʌm
سکر	səkʰˈʌr
صوفي	ʂˈoːfi
ميدان	meːdˈaːn
سائنس	saːˈɪns
نئون	nəˈoːn
نٿو	nˈʌtʰoː
رت	rˈʌt̪
موسم	moːsˈʌm
ڇاڪاڻ	cʰaːkˈaːɳ
گهڻا	ɡəhˈʌɳaː
شاگرد	ʃaːɡˈʌrd
ڀڳ	bʰˈʌɡ
مذهب	mˌəzəhˈʌb
آزادي	aːzˈaːdi
بلڪل	bˌələkˈʌl
پھريون	pˌəhrjˈoːn
ڌار	dʰˈaːr
مگر	məɡˈʌr
ورتي	ʋərˈʌt̪i
ويئي	ʋˈeːi
پاڪ	pˈaːk
پنهنجن	pʌ̃hnɟˈʌn
ڪرايو	kərˈaːjoː
الاقوامي	ˌalaːqʋˈaːmi
اپريل	apˈʌrjal
باري	bˈaːri
سماج	səmˈaːɟ
ننڍو	nənˈʌɖʰoː
ابن	abˈʌn
اصطلاح	ɪʂtˈɪlaːh
ايس	ˈeːs
شاه	ʃˈaːh
مقامي	məqˈaːmi
ڏاڍي	ɖˈaːɖʰi
آمريڪي	ˌaːmrˈiːki
سائين	saːˈiːn
پراڻي	pərˈaːɳi
پکيڙ	pəkʰˈiːr.
لطيف	lətˈiːf
نواب	nˈaʋaːb
هتان	hət̪ˈaːn
ڌرم	dʰərˈʌm
سڏيندا	səɖˈiːndaː
هجڻ	hˈʊɟaɳ
ٽيون	ʈjˈoːn
لاڳاپيل	laːɡˈaːpjal
لڳا	lˈʌɡaː
پرائمري	pˌəraːɪmˈʌri
پڙهڻ	pˌər.əhˈʌɳ
ياد	jˈaːd
نومبر	noːmbˈʌr
ڊسمبر	ɖˌəsəmbˈʌr
مضبوط	mˌəzbˈuːt
ٿينديون	tʰĩːdjˈoːn
ڀيرو	bʰˈeːroː
کير	kʰˈeːr
منهنجي	mˌənəhənˈʌɟi
ڪٿي	kˈʌtʰi
بلوچستان	bˌəloːcˈɪstaːn
خط	xˈʌt
قرار	qərˈaːr
رواج	rʋˈaːɟ
قبضو	qəbˈʌzoː
قسمن	qˌəsəmˈʌn
اديب	adˈiːb
چئي	cˈʌi
ڪل	kˈʌl
سامونڊي	saːmˈoːnɖi
قومن	qoːmˈʌn
حالتن	hˌaːlət̪ˈʌn
رسم	rəsˈʌm
ست	sˈʌt̪
حملو	həmˈʌloː
وٺڻ	ʋəʈʰˈʌɳ
کاتي	kʰˈaːt̪i
موضوع	mˈoːzuː
وسيلي	ʋəsˈiːli
اوهان	uːhˈaːn
تخت	t̪ˈʌxt̪
قيام	qjˈaːm
وينديون	ʋeːndjˈoːn
ھيا	hjˈaː
حصن	həʂˈʌn
پهتو	pəhˈʌt̪oː
آندو	ˈaːndoː
اسيمبلي	ˌasimbˈʌli
سڃاڻپ	sˌəɲaːɳˈʌp
علمي	alˈʌmi
مرڪزي	mˌərəkˈʌzi
چنڊ	cˈʌnɖ
ڏٺو	ɖˈʌʈʰoː
گھڻو	ɡʰˈʌɳoː
بلوچ	bəlˈoːc
جهڙو	ɟəhˈʌr.oː
سياست	sjˈaːst̪
ضروري	zarˈuːri
ٿورو	tʰˈoːroː
اداري	adˈaːri
سلطنت	sˌələtənˈʌt̪
يوناني	joːnˈaːni
جتان	ɟət̪ˈaːn
عوام	aʋˈaːm
شاگردن	ʃˌaːɡərdˈʌn
پوندو	pˈoːndoː
پڌرو	pədʰˈʌroː
رهندا	rəhˈʌndaː
شروعاتي	ʃərʋˈaːt̪i
شڪست	ʃəkˈʌst̪
چڪا	cˈʌkaː
ابراهيم	ˌabraːhˈiːm
واپاري	ʋaːpˈaːri
ايندڙ	eːndˈʌr.
رهن	rəhˈʌn
ريڊيو	rˈeːɖjoː
شاخ	ʃˈaːx
ماهر	maːhˈʌr
پروگرام	pˌəroːɡrˈaːm
پنهنجا	pˈʌ̃hnɟaː
ڏيئي	ɖˈeːi
کنڊ	kʰˈʌnɖ
سلسلو	sˈɪlsˌɪloː
قبول	qəbˈoːl
ولد	ʋəlˈʌd
ڇپيل	cʰˈʌpjal
ڪيتريون	kˌeːt̪rjˈoːn
جيتوڻيڪ	ɟˌeːt̪oːɳˈiːk
ريلوي	rˈeːlʋi
عوامي	aʋˈaːmi
ندي	nˈʌdi
ملتان	mˌəlt̪ˈaːn
مندر	məndˈʌr
نتيجي	nət̪ˈiːɟi
ابو	abˈoː
سگھي	sˈaɡʰeː
عالمن	ˌaːləmˈʌn
قاسم	qaːsˈʌm
نبي	nəbˈiː
معني	mˈaːni
ڍنڍ	ɖʰənˈʌɖʰ
ڏيندا	ɖˈeːndaː
منجهان	mˌənəɟhˈaːn
پٺيان	pəʈʰjˈaːn
وطن	ʋətˈʌn
جماعت	ɟˌəmaːˈaːt̪
ٺاهي	ʈʰˈaːhi
ڀاڱي	bʰaːˈŋ̩i
ڊگري	ɖəɡˈʌri
ڪرائون	kˌəraːˈoːn
گورنمينٽ	ɡˌoːrənminˈʌʈ
گول	ɡˈoːl
درجو	dˈarɟoː
دوست	dˈoːst̪
رام	rˈaːm
فائدو	faːˈɪdoː
فرق	fərˈʌq
گڏوگڏ	ɡˌəɖoːɡˈʌɖ
اول	ˈuːl
جنهنڪري	ɟˌənəhˌənəkˈʌri
فرزند	fˌərəzˈʌnd
جانور	ɟaːnˈoːr
سامهون	sˌaːmhˈoːn
مئي	mˈʌi
ڏنا	ɖˈʌnaː
بکر	bəkʰˈʌr
هونديون	hũːdjˈoːn
ڀارت	bʰaːrˈʌt̪
گھر	ɡʰˈʌr
سيپٽمبر	sˌeːpəʈəmbˈʌr
ماحول	maːhˈoːl
خدمت	xˌədəmˈʌt̪
سگهن	sˌəɡəhˈʌn
طريقي	tərˈiːqi
قوت	qˈoːt̪
ڇپائي	cʰəpˈaːi
ڇپيو	cʰˈʌpjoː
ابتدائي	ˌɪbtɪdˈaːi
اسٽيشن	ˌasʈiʃˈʌn
بندر	bəndˈʌr
جهڙوڪ	ɟˌəhər.ˈuːk
صاف	ʂˈaːf
ليگ	lˈeːɡ
باغ	bˈaːɣ
جهڙي	ɟəhˈʌr.i
جيل	ɟˈeːl
ديوان	djʋˈaːn
لڏي	lˈʌɖi
ڀاڱو	bʰaːˈŋ̩oː
ڏينھن	ɖˈeːnhn
امن	amˈʌn
اڳيان	aɡjˈaːn
بدران	bˌədrˈaːn
مخصوص	mˌəxʂˈuːʂ
مفيد	məfˈiːd
ٺاهڻ	ʈʰaːhˈʌɳ
تھ	t̪ˈʌh
مولوي	mˈoːlʋi
برابر	bˌəraːbˈʌr
سيڪريٽري	sˌeːkriʈˈʌri
قبضي	qəbˈʌzi
وزن	ʋəzˈʌn
گھڻي	ɡʰˈʌɳi
ھتان	hət̪ˈaːn
تيل	t̪ˈeːl
ماڳ	mˈaːɡ
ادارن	ˌadaːrˈʌn
خاصيت	xaːʂˈiːt̪
زال	zˈaːl
مرد	mˈʌrd
اڻ	ˈaɳ
خلافت	xˌəlaːfˈʌt̪
ڪاري	kˈaːri
گيت	ɡˈeːt̪
اين	ˈeːn
عبدالله	ˌabdˌaːləlˈʌh
مادي	mˈaːdi
ٿوري	tʰˈoːri
ڪرائي	kərˈaːi
ڪمپني	kəmpˈʌni
حد	hˈʌd
ديوتا	djˈoːt̪aː
سرحد	sˌərəhˈʌd
اعلان	eːlˈaːn
ايشيا	ˈeːʃjaː
نور	nˈoːr
ايترو	eːt̪ˈʌroː
سنسڪرت	sˌənsəkərˈʌt̪
نقصان	nˌəqʂˈaːn
ڇاپو	cʰˈaːpoː
آئين	aːˈiːn
قابل	qaːbˈɪl
