а	ɑ
адмініструвати	ɐdʲmʲinʲistrʊʋɑte
адреса	ɐdrɛsɐ
адреса	ɑdresɐ
адріан	ɐdʲrʲiɑn
аеродром	ɐerɔdrɔm
аероліт	ɐerolʲit
аеропорт	ɐerɔpɔrt
аероскопія	ɐerɔskopʲijɐ
аерофлот	ɐerɔfɫɔt
азбука	ɑzbʊkɐ
азербайджан	ɐzerbɐi̯d͡ʒɑn
азербайджанський	ɐzerbɐi̯d͡ʒɑnʲsʲkei̯
азіатський	ɐzʲiɑt͡sʲkei̯
азія	ɑzʲijɐ
академічний	ɐkɐdemʲit͡ʃnei̯
академія	ɐkɐdɛmʲijɐ
акація	ɐkɑt͡sʲijɐ
акації	ɐkɑt͡sʲiji
аквамарин	ɐkʋɐmɐrɪn
аквамариновий	ɐkʋɐmɐrɪnɔʋei̯
акваріум	ɐkʋɑrʲiʊm
акт	ɑkt
активація	ɐkteʋɑt͡sʲijɐ
активний	ɐktɪu̯nei̯
активно	ɐktɪu̯nɔ
активність	ɐktɪu̯nʲisʲtʲ
активувати	ɐktewʊʋɑte
активізм	ɐkteʋʲizm
активіст	ɐkteʋʲist
активістка	ɐkteʋʲistkɐ
актор	ɐktɔr
акторка	ɐktɔrkɐ
актриса	ɐktrɪsɐ
актуальний	ɐktʊɑlʲnei̯
акул	ɐkuɫ
акула	ɐkuɫɐ
акцентувати	ɐkt͡sentʊʋɑte
акціонер	ɐkt͡sʲiɔnɛr
акціонерне	ɐkt͡sʲiɔnɛrne
акціонерний	ɐkt͡sʲiɔnɛrnei̯
акція	ɑkt͡sʲijɐ
албанець	ɐɫbɑnet͡sʲ
албанка	ɐɫbɑnkɐ
албанський	ɐɫbɑnʲsʲkei̯
албанія	ɐɫbɑnʲijɐ
але	ɐɫɛ
алегоричний	ɐɫeɦɔrɪt͡ʃnei̯
алегорія	ɐɫeɦɔrʲijɐ
алергія	ɐɫerɦʲijɐ
алжир	ɐɫʒɪr
алжирський	ɐɫʒɪrsʲkei̯
алкоголь	ɐɫkɔɦɔlʲ
аллах	ɐɫɑx
аллах	ɐɫːɑx
алло	ɐɫːɔ
алфавіт	ɐɫfɐʋʲit
алфавіт	ɐɫfɑʋʲit
альбатрос	ɐlʲbɐtrɔs
альв	ɑlʲʋ
альтернатива	ɐlʲternɐtɪʋɐ
альтернативний	ɐlʲternɐtɪu̯nei̯
альфабет	ɐlʲfɐbɛt
альянс	ɐlʲjɑns
алюміній	ɐlʲʊmʲinʲii̯
алістер	ɑlʲister
аматор	ɐmɑtɔr
амбітний	ɐmbʲitnei̯
амбіція	ɐmbʲit͡sʲijɐ
америка	ɐmɛrekɐ
американець	ɐmerekɑnet͡sʲ
американський	ɐmerekɑnʲsʲkei̯
американізація	ɐmerekɐnʲizɑt͡sʲijɐ
американізм	ɐmerekɐnʲizm
амнезія	ɐmnezʲijɐ
амніоти	ɐmnʲiɔte
ампер	ɐmpɛr
амстердам	ɐmsterdɑm
амфібія	ɐmfʲibʲijɐ
аналогічний	ɐnɐɫoɦʲit͡ʃnei̯
аналогія	ɐnɐɫɔɦʲijɐ
аналіз	ɐnɑlʲiz
аналізувати	ɐnɐlʲizʊʋɑte
аналітик	ɐnɐlʲitek
аналітичний	ɐnɐlʲitɪt͡ʃnei̯
анамнії	ɐnɑmnʲiji
ананас	ɐnɐnɑs
анастасія	ɐnɐstɑsʲijɐ
анатолій	ɐnɐtɔlʲii̯
анатомічний	ɐnɐtomʲit͡ʃnei̯
анатомія	ɐnɐtɔmʲijɐ
анафема	ɐnɑfemɐ
ангеліна	ɐnɦelʲinɐ
англомовний	ɐnɦɫɔmɔu̯nei̯
англійка	ɐnɦlʲii̯kɐ
англійська	ɐnɦlʲii̯sʲkɐ
англійський	ɐnɦlʲii̯sʲkei̯
англіканство	ɐnɦlʲikɑnstwɔ
англіцизм	ɐnɦlʲit͡sɪzm
англія	ɑnɦlʲijɐ
англієць	ɐnɦlʲijet͡sʲ
ангольський	ɐnɦɔlʲsʲkei̯
андоррський	ɐndɔrːsʲkei̯
андріан	ɐndʲrʲiɑn
андрій	ɐndʲrʲii̯
андріїв	ɐndʲrʲijiu̯
анекдот	ɐneɡdɔt
анексувати	ɐneksʊʋɑte
анексія	ɐnɛksʲijɐ
анжеліка	ɐnʒelʲikɐ
анна	ɑnːɐ
аномальний	ɐnɔmɑlʲnei̯
аномалія	ɐnɔmɑlʲijɐ
анонімний	ɐnonʲimnei̯
анонімність	ɐnonʲimnʲisʲtʲ
ансамбль	ɐnsɑmblʲ
антагонізм	ɐntɐɦonʲizm
антарктичний	ɐntɐrktɪt͡ʃnei̯
антена	ɐntɛnɐ
антиамериканський	ɑnteɐmerekɑnʲsʲkei̯
антибіотик	ɐntebʲiɔtek
антибіотика	ɐntebʲiɔtekɐ
антибіотикам	ɐntebʲiɔtekɐm
антибіотиками	ɐntebʲiɔtekɐme
антибіотиках	ɐntebʲiɔtekɐx
антибіотики	ɐntebʲiɔteke
антибіотиком	ɐntebʲiɔtekɔm
антибіотику	ɐntebʲiɔtekʊ
антибіотиків	ɐntebʲiɔtekʲiu̯
антидот	ɐntedɔt
антикорупційний	ɐntekɔrʊpt͡sʲii̯nei̯
антиномія	ɐntenɔmʲijɐ
антитіло	ɐntetʲiɫɔ
античний	ɐntɪt͡ʃnei̯
антонім	ɐntɔnʲim
антропологічний	ɐntrɔpɔɫoɦʲit͡ʃnei̯
антропологія	ɐntrɔpɔɫɔɦʲijɐ
анімалістичний	ɐnʲimɐlʲistɪt͡ʃnei̯
апарат	ɐpɐrɑt
апатичний	ɐpɐtɪt͡ʃnei̯
апатія	ɐpɑtʲijɐ
апостроф	ɐpɔstrɔf
аптека	ɐptɛkɐ
арабський	ɐrɑbsʲkei̯
аравія	ɐrɑʋʲijɐ
арахнологію	ɐrɐxnɔɫɔɦʲijʊ
арахнологія	ɐrɐxnɔɫɔɦʲijɐ
арахнологіє	ɐrɐxnɔɫɔɦʲije
арахнологією	ɐrɐxnɔɫɔɦʲijejʊ
арахнології	ɐrɐxnɔɫɔɦʲiji
аргентина	ɐrɦentɪnɐ
арешт	ɐrɛʃt
арештовувати	ɐreʃtɔwʊʋɐte
арештувати	ɐreʃtʊʋɑte
аритметика	ɐretmɛtekɐ
арифметика	ɐrefmɛtekɐ
арифметичний	ɐrefmetɪt͡ʃnei̯
арка	ɑrkɐ
арккосинус	ɐrkːɔsenʊs
арктангенс	ɐrktɑnɦens
арктичний	ɐrktɪt͡ʃnei̯
аркуш	ɑrkʊʃ
армія	ɑrmʲijɐ
аромат	ɐrɔmɑt
ароматичний	ɐrɔmɐtɪt͡ʃnei̯
ароматний	ɐrɔmɑtnei̯
артерій	ɐrtɛrʲii̯
артерію	ɐrtɛrʲijʊ
артерія	ɐrtɛrʲijɐ
артеріям	ɐrtɛrʲijɐm
артеріями	ɐrtɛrʲijɐme
артеріях	ɐrtɛrʲijɐx
артеріє	ɐrtɛrʲije
артерією	ɐrtɛrʲijejʊ
артерії	ɐrtɛrʲiji
артишок	ɐrteʃɔk
арфа	ɑrfɐ
арфуш	ɐrfuʃ
арфіст	ɐrfʲist
арфістка	ɐrfʲistkɐ
архаїзація	ɐrxɐjizɑt͡sʲijɐ
архаїзм	ɐrxɐjizm
археолог	ɐrxeɔɫɔɦ
археологів	ɐrxeɔɫɔɦʲiu̯
археологічний	ɐrxeɔɫoɦʲit͡ʃnei̯
археологія	ɐrxeɔɫɔɦʲijɐ
архонт	ɐrxɔnt
архітектор	ɐrxʲitɛktɔr
архітектура	ɐrxʲitekturɐ
архітектурний	ɐrxʲitekturnei̯
архієпископ	ɐrxʲijepɪskɔp
аріка	ɐrʲikɐ
арістотель	ɐrʲistɔtelʲ
асимптота	ɐsemptɔtɐ
асиміляція	ɐsemʲilʲɑt͡sʲijɐ
асинхронний	ɐsenxrɔnːei̯
асистент	ɐsestɛnt
асистентка	ɐsestɛntkɐ
аскет	ɐskɛt
аскетизм	ɐsketɪzm
аскетично	ɐsketɪt͡ʃnɔ
асортимент	ɐsɔrtemɛnt
асоціація	ɐsɔt͡sʲiɑt͡sʲijɐ
аспект	ɐspɛkt
астероїд	ɐsterɔjid
астрологія	ɐstrɔɫɔɦʲijɐ
астрономія	ɐstrɔnɔmʲijɐ
асія	ɐsʲijɐ
атака	ɐtɑkɐ
ательє	ɐtelʲjɛ
атеїзм	ɐtejizm
атеїстичний	ɐtejistɪt͡ʃnei̯
атлантичний	ɐtɫɐntɪt͡ʃnei̯
атом	ɑtɔm
аттик	ɑtːek
аудиторія	ɐʊdetɔrʲijɐ
аура	ɑʊrɐ
аутизм	ɐʊtɪzm
аутсайдер	ɐʊt͡sɑi̯der
афаліна	ɐfɐlʲinɐ
афганський	ɐvɦɑnʲsʲkei̯
афганістан	ɐvɦɐnʲistɑn
африка	ɑfrekɐ
африканець	ɐfrekɑnet͡sʲ
африканка	ɐfrekɑnkɐ
африканський	ɐfrekɑnʲsʲkei̯
афіни	ɐfʲine
афіша	ɐfʲiʃɐ
ах	ɑx
ацтек	ɐt͡stɛk
ацтекський	ɐt͡stɛksʲkei̯
аґрус	ɑɡrʊs
аґрусовий	ɑɡrʊsɔʋei̯
аґрусівка	ɐɡrʊsʲiu̯kɐ
баба	bɑbɐ
бабисько	bɐbɪsʲkɔ
бабище	bɐbɪʃt͡ʃe
бабка	bɑbkɐ
бабуся	bɐbusʲɐ
бабченко	bɑbt͡ʃenkɔ
баварський	bɐʋɑrsʲkei̯
