a-vorto	avorto
ajurvedo	aiurvedo
ajuto	aiuto
akacio	akat͡sio
akada	akada
akademiano	akademiano
akademio	akademio
akado	akado
akadujo	akaduio
akanto	akanto
akapari	akapari
akaro	akaro
akaĵuarbo	akaʒuarbo
akaĵunukso	akaʒunukso
akaĵuo	akaʒuo
akaĵuo 	akaʒuo
akaĵuujo	akaʒuuio
akceli	akt͡seli
akcelilo	akt͡selilo
akcelo	akt͡selo
akcenta	akt͡senta
akcenti	akt͡senti
akcentita	akt͡sentita
akcento	akt͡sento
akcentperdo	akt͡sentperdo
akceptejo	akt͡septeio
akcepti	akt͡septi
akceptisto	akt͡septisto
akcepto	akt͡septo
akcesora	akt͡sesora
akcia societo	akt͡siasot͡sieto
akcidento	akt͡sidento
akcio	akt͡sio
akcipitredoj	akt͡sipitredoi
akcipitro	akt͡sipitro
akciulo	akt͡siulo
akcizi	akt͡sizi
akcizisto	akt͡sizisto
akcizo	akt͡sizo
akileo	akileo
akiri	akiri
aklami	aklami
akmeo	akmeo
aknero	aknero
akno	akno
akolito	akolito
akomodi	akomodi
akomodiĝi	akomodid͡ʒi
akompanantaro	akompanantaro
akompananto	akompananto
akompanate de	akompanatede
akompane al	akompaneal
akompani	akompani
akonito	akonito
akorda	akorda
akordi	akordi
akordigebla	akordigebla
akordigi	akordigi
akordiono	akordiono
akordiĝi	akordid͡ʒi
akordo	akordo
akra	akra
akraĵo	akraʒo
akrediti	akrediti
akreditivi	akreditivi
akreditivo	akreditivo
akreo	akreo
akridedoj	akridedoi
akrido	akrido
akrigi	akrigi
akrigilo	akrigilo
akro	akro
akrobataĵo	akrobataʒo
akrobato	akrobato
akromata	akromata
akroniĉo	akronit͡ʃo
akropolo	akropolo
akrostiĥo	akrostixo
aksa	aksa
akselo	akselo
aksingo	aksingo
aksiomo	aksiomo
akso	akso
aksono	aksono
aktinio	aktinio
aktiniumo	aktiniumo
aktisto	aktisto
aktiva	aktiva
aktivo	aktivo
akto	akto
aktori	aktori
aktoro	aktoro
aktuala	aktuala
akumulatoro	akumulatoro
akumulejo	akumuleio
akumuli	akumuli
akumulilo	akumulilo
akumuliĝa	akumulid͡ʒa
akupunkturisto	akupunkturisto
akupunkturo	akupunkturo
akurata	akurata
akustiko	akustiko
akuta	akuta
akutangula	akutangula
akuzativo	akuzativo
akuzaĵo	akuzaʒo
akuzi	akuzi
akuzo	akuzo
akuŝantino	akuʃantino
akuŝarto	akuʃarto
akuŝdoloro	akuʃdoloro
akuŝi	akuʃi
akuŝigi	akuʃigi
akuŝigistino	akuʃigistino
akuŝilo	akuʃilo
akuŝintino	akuʃintino
akuŝistino	akuʃistino
akuŝpeno	akuʃpeno
akva	akva
akvaforto	akvaforto
akvamarino	akvamarino
akvarelo	akvarelo
akvario	akvario
akvatinto	akvatinto
akvedukto	akvedukto
akvero	akvero
akvi	akvi
akvifoliacoj	akvifoliat͡soi
akvifolio	akvifolio
akvilegio	akvilegio
akvisto	akvisto
akvo	akvo
akvodislimo	akvodislimo
akvodukto	akvodukto
akvofalo	akvofalo
akvohorloĝo	akvohorlod͡ʒo
akvokoko	akvokoko
akvokondukilo	akvokondukilo
akvokonduko	akvokonduko
akvolilio	akvolilio
akvomelono	akvomelono
akvopipo	akvopipo
akvosciencisto	akvost͡sient͡sisto
akvoscienco	akvost͡sient͡so
akvostacio	akvostat͡sio
akvoturno	akvoturno
akvujo	akvuio
akvumi	akvumi
akĉento	akt͡ʃento
al	al
al antaŭ	alantau
al apud	alapud
al ekster	alekster
al en	alen
al inter	alinter
al malantaŭ	almalantau
al post	alpost
al sub	alsub
al super	alsuper
al sur	alsur
al trans	altrans
al ĉe	alt͡ʃe
al ĉirkaŭ	alt͡ʃirkau
alabastro	alabastro
alaho	alaho
alano	alano
alaranĝi	alarand͡ʒi
alarma	alarma
alarmi	alarmi
alarmilo	alarmilo
alarmisto	alarmisto
alarmo	alarmo
alaska duoninsulo	alaskaduoninsulo
alaska golfo	alaskagolfo
alasko	alasko
alaĵo	alaʒo
alaŭdedoj	alaudedoi
alaŭdo	alaudo
albana	albana
albanio	albanio
albano	albano
albanujo	albanuio
albatredoj	albatredoi
albatroso	albatroso
albergo	albergo
alberto	alberto
albino	albino
albizio	albizio
albo	albo
albordiĝejo	albordid͡ʒeio
albordiĝi	albordid͡ʒi
albruli	albruli
albumeno	albumeno
albumino	albumino
albuminurio	albuminurio
albumo	albumo
alburno	alburno
alcedo	alt͡sedo
alcentrigi	alt͡sentrigi
alceo	alt͡seo
alcionedoj	alt͡sionedoi
alciono	alt͡siono
aldehido	aldehido
aldiri	aldiri
aldo	aldo
aldoni	aldoni
aldoniteco	aldonitet͡so
aldono	aldono
aldonvalora imposto	aldonvaloraimposto
aldviolono	aldviolono
aleatora	aleatora
alegoria	alegoria
alegorio	alegorio
alegre	alegre
alegrete	alegrete
alegreto	alegreto
alegro	alegro
aleksandrio	aleksandrio
aleksandro	aleksandro
aleksandro la granda	aleksandrolagranda
alelekti	alelekti
aleno	aleno
aleo	aleo
alergia	alergia
alergiiga	alergiiga
alergio	alergio
alerono	alerono
alesti	alesti
aleutaj insuloj	aleutaiinsuloi
aleuto	aleuto
alezi	alezi
alezilo	alezilo
alfabeta	alfabeta
alfabetigi	alfabetigi
alfabetigo	alfabetigo
alfabeto	alfabeto
alfabetumo	alfabetumo
alfari	alfari
alfaŭki	alfauki
alfenido	alfenido
alflui	alflui
alfluo	alfluo
alfluo kaj forfluo	alfluokaiforfluo
alfo	alfo
alfonso	alfonso
alfortikigi	alfortikigi
alforĝi	alford͡ʒi
alfredo	alfredo
alfronti	alfronti
algebra	algebra
algebra dualo	algebradualo
algebra frakcio	algebrafrakt͡sio
algebra strukturo	algebrastrukturo
algebro	algebro
alglui	alglui
algluiĝi	algluid͡ʒi
algoj	algoi
algoritmo	algoritmo
alia	alia
aliancano	aliant͡sano
alianciĝi	aliant͡sid͡ʒi
alianco	aliant͡so
alibio	alibio
alie	alie
aliflanke	aliflanke
aliformi	aliformi
aliformigi	aliformigi
aliformiĝi	aliformid͡ʒi
aligatoredoj	aligatoredoi
aligatoro	aligatoro
aligi	aligi
aliigi	aliigi
aliiĝi	aliid͡ʒi
alikvanto	alikvanto
alikvoto	alikvoto
alilando	alilando
alilandulo	alilandulo
alimento	alimento
alineo	alineo
alinomo	alinomo
alio	alio
aliri	aliri
alispeca	alispet͡sa
aliteracio	aliterat͡sio
alivesti	alivesti
alivorte	alivorte
alizarbo	alizarbo
alizo	alizo
alizujo	alizuio
aliĝi	alid͡ʒi
aliĝilo	alid͡ʒilo
aljuĝi	aljud͡ʒi
alkado	alkado
alkadrigi	alkadrigi
alkala	alkala
alkaleca	alkalet͡sa
alkalkuli	alkalkuli
alkalo	alkalo
alkaloido	alkaloido
alkateni	alkateni
alkazaro	alkazaro
alklaki	alklaki
alklimatiĝi	alklimatid͡ʒi
alko	alko
alkoholaĵo	alkoholaʒo
alkoholigi	alkoholigi
alkoholismo	alkoholismo
alkoholo	alkoholo
alkonduki	alkonduki
alkonformigi	alkonformigi
alkonformiĝi	alkonformid͡ʒi
alkonstrui	alkonstrui
alkovo	alkovo
alkroĉi	alkrot͡ʃi
alkroĉiĝi	alkrot͡ʃid͡ʒi
allasi	allasi
alligi	alligi
almanako	almanako
almanaĥo	almanaxo
almatano	almatano
almato	almato
almenaŭ	almenau
almeti	almeti
almetkasedo	almetkasedo
almezuri	almezuri
almiksi	almiksi
almiliti	almiliti
almontri	almontri
almovi	almovi
almozdonema	almozdonema
almozdoni	almozdoni
almozi	almozi
almozisto	almozisto
almozkesto	almozkesto
almozo	almozo
almozpeti	almozpeti
almozsako	almozsako
almozulejo	almozuleio
almozulo	almozulo
alnajli	alnaili
alniveligi	alniveligi
alno	alno
alnomo	alnomo
alo	alo
aloaĵo	aloaʒo
aloji	aloii
alojo	aloio
alonĝo	alond͡ʒo
aloo	aloo
alopatia	alopatia
alopatio	alopatio
alopecio	alopet͡sio
alozo	alozo
alpa montaro	alpamontaro
alpago	alpago
alpako	alpako
alpare	alpare
alparo	alparo
alparoli	alparoli
alpaŝi	alpaʃi
alpingli	alpingli
alpinismo	alpinismo
alpinisto	alpinisto
alpismo	alpismo
alpisto	alpisto
alpo	alpo
alpoj	alpoi
alporti	alporti
alpremi	alpremi
alpreni	alpreni
alprunti	alprunti
alrigidiĝi	alrigidid͡ʒi
alsino	alsino
alta	alta
alta frekvenco	altafrekvent͡so
alta protektado	altaprotektado
alta protektanto	altaprotektanto
alta tajdo	altataido
altairo	altairo
altaja lingvo	altaialingvo
altaja lingvofamilio	altaialingvofamilio
altajo	altaio
altano	altano
altarejo	altareio
altaro	altaro
altaĵo	altaʒo
altebenaĵo	altebenaʒo
alteco	altet͡so
altefluga	altefluga
alteni	alteni
alteniĝi	altenid͡ʒi
alteno	alteno
alteo	alteo
alteriĝi	alterid͡ʒi
alterna	alterna
alterna grupo	alternagrupo
alterna kurento	alternakurento
alternanco	alternant͡so
alternativo	alternativo
alternatoro	alternatoro
alterni	alterni
altfluga	altfluga
altforno	altforno
altigi	altigi
altiri	altiri
altitudo	altitudo
altmaro	altmaro
alto	alto
altocentro	altot͡sentro
altranga	altranga
altrangulo	altrangulo
altranĉi	altrant͡ʃi
altreliefo	altreliefo
altrudi	altrudi
altruisma	altruisma
altruismo	altruismo
altruisto	altruisto
alttemperatura	alttemperatura
altvalora	altvalora
aludi	aludi
alumeto	alumeto
aluminio	aluminio
alumino	alumino
aluno	aluno
aluvio	aluvio
alveni	alveni
alveolo	alveolo
alviciĝi	alvit͡sid͡ʒi
alvoki	alvoki
alvokiĝo	alvokid͡ʒo
alvuso	alvuso
alĉemilo	alt͡ʃemilo
alĝebro	ald͡ʒebro
alĝerio	ald͡ʒerio
alĝustigi	ald͡ʒustigi
alĥemiisto	alxemiisto
alĥemio	alxemio
alŝtatigo	alʃtatigo
alŝuti	alʃuti
amadeo	amadeo
amafero	amafero
amalgami	amalgami
amalgamo	amalgamo
amanito	amanito
amantino	amantino
amanto	amanto
amara	amara
amaranto	amaranto
amarilidacoj	amarilidat͡soi
amarilido	amarilido
amasbuĉi	amasbut͡ʃi
amasdetrua armilo	amasdetruaarmilo
amasigi	amasigi
amasinformilo	amasinformilo
amaskomunikilo	amaskomunikilo
amaskomunikiloj	amaskomunikiloi
amasmurdi	amasmurdi
amasmurdisto	amasmurdisto
amasmurdo	amasmurdo
amaso	amaso
amataĵo	amataʒo
amatoreca	amatoret͡sa
amatoro	amatoro
amazono	amazono
amaĉi	amat͡ʃi
amaĵema	amaʒema
amaĵi	amaʒi
amaĵistino	amaʒistino
amaĵisto	amaʒisto
amaĵo	amaʒo
ambasadejo	ambasadeio
ambasado	ambasado
ambasadorejo	ambasadoreio
ambasadoro	ambasadoro
ambaŭ	ambau
ambaŭdirekta implikacio	ambaudirektaimplikat͡sio
ambaŭseksa	ambauseksa
ambaŭseksulo	ambauseksulo
ambicia	ambit͡sia
ambicii	ambit͡sii
ambicio	ambit͡sio
ambigua	ambigua
ambigueco	ambiguet͡so
ambiguo	ambiguo
amblo	amblo
ambono	ambono
amboso	amboso
ambro	ambro
ambrozio	ambrozio
ambulanco	ambulant͡so
amdeklaro	amdeklaro
amebo	amebo
amegi	amegi
ameli	ameli
amelo	amelo
amen	amen
amendamento	amendamento
amendi	amendi
amendo	amendo
amento	amento
americio	amerit͡sio
amerika	amerika
amerikano	amerikano
ameriko	ameriko
ameti	ameti
ametisto	ametisto
amfibioj	amfibioi
amfibrako	amfibrako
amfibraĥo	amfibraxo
amfiteatro	amfiteatro
amforo	amforo
ami	ami
amiantio	amiantio
amika	amika
amikaĵo	amikaʒo
amikeco	amiket͡so
amiki	amiki
amikino	amikino
amikiĝi	amikid͡ʒi
amiko	amiko
aminda	aminda
amindumi	amindumi
amintrigo	amintrigo
amnestio	amnestio
amnezio	amnezio
amo	amo
amoniako	amoniako
amonito	amonito
amorantino	amorantino
amoranto	amoranto
amorfa	amorfa
amori	amori
amoristino	amoristino
amoristo	amoristo
amoro	amoro
amortizi	amortizi
amortizilo	amortizilo
amovendistino	amovendistino
amovendisto	amovendisto
ampelopso	ampelopso
ampermetro	ampermetro
ampero	ampero
ampleksa	ampleksa
ampleksi	ampleksi
amplekso	amplekso
amplifi	amplifi
amplifikatoro	amplifikatoro
amplifiki	amplifiki
amplifikilo	amplifikilo
amplifilo	amplifilo
amplitudo	amplitudo
ampolingo	ampolingo
ampolo	ampolo
amputi	amputi
amsterdamo	amsterdamo
amudarjo	amudarjo
amuleto	amuleto
amuza	amuza
amuzi	amuzi
amuzilo	amuzilo
amuzisto	amuzisto
amuzparko	amuzparko
anabazo	anabazo
anagalo	anagalo
anagramo	anagramo
anakardiacoj	anakardiat͡soi
anakardio	anakardio
anakronismo	anakronismo
analekto	analekto
analfabeteco	analfabetet͡so
analfabeto	analfabeto
analgeziko	analgeziko
analgezio	analgezio
analitika	analitika
analitika funkcio	analitikafunkt͡sio
analitika geometrio	analitikageometrio
analitiko	analitiko
analiza	analiza
analizi	analizi
analizilo	analizilo
analizo	analizo
analo	analo
analoga	analoga
analogeco	analoget͡so
analogia	analogia
analogio	analogio
anamnezo	anamnezo
ananaso	ananaso
ananasujo	ananasuio
anapesto	anapesto
anarkia	anarkia
anarkiismo	anarkiismo
anarkiisto	anarkiisto
anarkio	anarkio
anarkismo	anarkismo
anarkisto	anarkisto
anarkiulo	anarkiulo
anaro	anaro
anarĥia	anarxia
anarĥiismo	anarxiismo
anarĥiisto	anarxiisto
anarĥio	anarxio
anarĥiulo	anarxiulo
anasedoj	anasedoi
anaso	anaso
anastigmata	anastigmata
anastigmato	anastigmato
anatemi	anatemi
anatemo	anatemo
anatolio	anatolio
anatolo	anatolo
anatomiisto	anatomiisto
anatomio	anatomio
anatomo	anatomo
andante	andante
andanto	andanto
andezito	andezito
andoro	andoro
andreo	andreo
androgina	androgina
androgino	androgino
andromedo	andromedo
andujo	anduio
anekdota	anekdota
anekdotaro	anekdotaro
anekdoto	anekdoto
aneksaĵo	aneksaʒo
aneksi	aneksi
anelidoj	anelidoi
anemio	anemio
anemometro	anemometro
anemono	anemono
anestezi	anestezi
anestezilo	anestezilo
anestezo	anestezo
aneto	aneto
anfrakto	anfrakto
angaro	angaro
angeliko	angeliko
angiledoj	angiledoi
angilo	angilo
angiloformaj	angiloformai
angino	angino
angio	angio
angla	angla
anglo	anglo
anglosaksa	anglosaksa
anglosakso	anglosakso
anglujo	angluio
angolo	angolo
angora	angora
angori	angori
angoro	angoro
angula distanco	anguladistant͡so
angula koeficiento	angulakoefit͡siento
angula krampo	angulakrampo
angulfidela	angulfidela
angulmezurilo	angulmezurilo
angulo	angulo
angvisedoj	angvisedoi
angviso	angviso
anheli	anheli
anhelo	anhelo
anhidra	anhidra
anihilacii	anihilat͡sii
anihilacio	anihilat͡sio
anilino	anilino
animacio	animat͡sio
animala	animala
animalo	animalo
animaloj	animaloi
animeo	animeo
animi	animi
animismo	animismo
animkonflikto	animkonflikto
animo	animo
animstato	animstato
anizo	anizo
anizujo	anizuio
aniĝi	anid͡ʒi
ankaŭ	ankau
ankilozigo	ankilozigo
ankiloziĝi	ankilozid͡ʒi
ankilozo	ankilozo
ankoraŭ	ankorau
ankrejo	ankreio
ankri	ankri
ankro	ankro
anksia	anksia
anksie	anksie
anksio	anksio
ano	ano
anobiedoj	anobiedoi
anobio	anobio
anodo	anodo
anomalio	anomalio
anonarbo	anonarbo
anonci	anont͡si
anonco	anont͡so
anonctabulo	anont͡stabulo
anonima	anonima
anono	anono
anonujo	anonuio
anorako	anorako
anormala	anormala
anselmo	anselmo
ansero	ansero
anseroformaj	anseroformai
anservice	anservit͡se
anso	anso
anstataŭ	anstatau
anstataŭa	anstataua
anstataŭaĵo	anstatauaʒo
anstataŭe	anstataue
anstataŭi	anstataui
anstataŭigi	anstatauigi
anstataŭilo	anstatauilo
anstataŭo	anstatauo
anstataŭulo	anstatauulo
antagonismo	antagonismo
antagonisto	antagonisto
antarkta	antarkta
antarkta aŭroro	antarktaauroro
antarkta oceano	antarktaot͡seano
antarkto	antarkto
antaŭ	antau
antaŭ nelonge	antaunelonge
antaŭ ĉio	antaut͡ʃio
antaŭa	antaua
antaŭa grajpo	antauagraipo
antaŭa masto	antauamasto
antaŭa steveno	antauasteveno
antaŭa tago	antauatago
antaŭanonci	antauanont͡si
antaŭanto	antauanto
antaŭaranĝi	antauarand͡ʒi
antaŭaĵo	antauaʒo
antaŭbrako	antaubrako
antaŭdecidi	antaudet͡sidi
antaŭdestinismo	antaudestinismo
antaŭdestino	antaudestino
antaŭdifini	antaudifini
antaŭdiri	antaudiri
antaŭdiristo	antaudiristo
antaŭe	antaue
antaŭeco	antauet͡so
antaŭen	antauen
antaŭenema	antauenema
antaŭenigi	antauenigi
antaŭeniri	antaueniri
antaŭfari	antaufari
antaŭfiksi	antaufiksi
antaŭflari	antauflari
antaŭforigi	antauforigi
antaŭgarda	antaugarda
antaŭgardi	antaugardi
antaŭgusto	antaugusto
antaŭgvardio	antaugvardio
antaŭhaltigi	antauhaltigi
antaŭhieraŭ	antauhierau
antaŭhistorio	antauhistorio
antaŭi	antaui
antaŭigi	antauigi
antaŭiri	antauiri
antaŭiĝi	antauid͡ʒi
antaŭjuĝi	antaujud͡ʒi
antaŭjuĝo	antaujud͡ʒo
antaŭkalkuli	antaukalkuli
antaŭkambrio	antaukambrio
antaŭkanti	antaukanti
antaŭkapablo	antaukapablo
antaŭkompakta	antaukompakta
antaŭkongreso	antaukongreso
antaŭkonsenti	antaukonsenti
antaŭkonstruaĵo	antaukonstruaʒo
antaŭkorto	antaukorto
antaŭlasta	antaulasta
antaŭlegi	antaulegi
antaŭlonge	antaulonge
antaŭludi	antauludi
antaŭludo	antauludo
antaŭmalhelpi	antaumalhelpi
antaŭmanĝaĵo	antaumand͡ʒaʒo
antaŭmasto	antaumasto
antaŭmeti	antaumeti
antaŭmilita	antaumilita
antaŭnelonge	antaunelonge
antaŭnomo	antaunomo
antaŭo	antauo
antaŭpagi	antaupagi
antaŭparoli	antauparoli
antaŭparolo	antauparolo
antaŭpensi	antaupensi
antaŭplado	antauplado
antaŭplenumi	antauplenumi
antaŭpremisi	antaupremisi
antaŭpripensi	antaupripensi
antaŭrajdanto	antauraidanto
antaŭrakonti	antaurakonti
antaŭrevolucia	antaurevolut͡sia
antaŭrimedo	antaurimedo
antaŭripeti	antauripeti
antaŭsalono	antausalono
antaŭsavi	antausavi
antaŭscii	antaust͡sii
antaŭsenti	antausenti
antaŭsigno	antausigno
antaŭstari	antaustari
antaŭtagmezo	antautagmezo
antaŭtago	antautago
antaŭtempa	antautempa
antaŭteni	antauteni
antaŭtimi	antautimi
antaŭtimo	antautimo
antaŭtraktado	antautraktado
antaŭtraktilo	antautraktilo
antaŭtuko	antautuko
antaŭulo	antauulo
antaŭurbo	antauurbo
antaŭvelo	antauvelo
antaŭveni	antauveni
antaŭvespero	antauvespero
antaŭvidi	antauvidi
antaŭzorgi	antauzorgi
antaŭĉambro	antaut͡ʃambro
antecedento	antet͡sedento
antemo	antemo
anteno	anteno
antero	antero
antibiotika	antibiotika
antibiotiko	antibiotiko
anticipi	antit͡sipi
antidoto	antidoto
antifono	antifono
antifrazo	antifrazo
antigvo	antigvo
antigvo kaj barbudo	antigvokaibarbudo
antikrezo	antikrezo
antikristo	antikristo
antikva	antikva
antikvaĵisto	antikvaʒisto
antikvaĵo	antikvaʒo
antikveco	antikvet͡so
antilopo	antilopo
antimono	antimono
antinomio	antinomio
antipartiklo	antipartiklo
antipatia	antipatia
antipatii	antipatii
antipatio	antipatio
antipirino	antipirino
antipoda	antipoda
antipodo	antipodo
antiprotono	antiprotono
antirino	antirino
antisemitismo	antisemitismo
antisemito	antisemito
antisepsa	antisepsa
antisepsi	antisepsi
antisepso	antisepso
antisimetria	antisimetria
antitezo	antitezo
antologio	antologio
antonimo	antonimo
antono	antono
antonomazio	antonomazio
antracito	antrat͡sito
antrakso	antrakso
antropoida	antropoida
antropologiisto	antropologiisto
antropologio	antropologio
antropologo	antropologo
antropometrio	antropometrio
antropomorfismo	antropomorfismo
antverpeno	antverpeno
anuitato	anuitato
anunciacio	anunt͡siat͡sio
anuroj	anuroi
anusa	anusa
anuso	anuso
anĉo	ant͡ʃo
anĉovo	ant͡ʃovo
anĝelo	and͡ʒelo
anĝeluso	and͡ʒeluso
aorto	aorto
apanaĝo	apanad͡ʒo
aparataro	aparataro
aparato	aparato
aparta	aparta
aparta opinio	apartaopinio
apartamento	apartamento
apartaĵo	apartaʒo
apartenaĵo	apartenaʒo
aparteni	aparteni
apartiga	apartiga
apartigebla	apartigebla
apartigi	apartigi
apatio	apatio
apatito	apatito
apaĉa	apat͡ʃa
apaĉo	apat͡ʃo
apelaci	apelat͡si
apelacii	apelat͡sii
apeli	apeli
apenaŭ	apenau
apendicito	apendit͡sito
apendico	apendit͡so
apepsio	apepsio
aperaĵo	aperaʒo
aperi	aperi
aperigi	aperigi
aperitivo	aperitivo
apero	apero
aperta	aperta
