کے	keː
ختم	xˈatm
متعلق	mʊtˈaːlɪq
گزشتہ	ɡʊzˈaʃta
لوگوں	lˈoːɡõː
بند	bˈʌnd
کچھ	kʊcʰ
اداروں	ɪdˈaːrõː
زیر	zˈeːr
کمی	kˈʌmi
کل	kˈʌl
جن	ɟɪn
جواب	ɟˈaʋaːb
عالمی	ˈaːlmˌiː
گفتگو	ɡˈʊftˌʊɡuː
تھی	tʰi
نظر	naʐˈar
شرکت	ʃˌɪrkˈat
ترین	tərˈiːn
تاہم	taːhˈam
اقدامات	ˌɪqdaːmˈaːt
آپ	ˌaːp
امریکی	ˌamrˈiːki
خصوصی	xʊʂˈuːʂi
بچوں	bˈʌcõː
کردار	kɪrdˈaːr
جماعت	ɟamˈaːt
بلوچستان	bˌəloːcɪstˈaːn
ہدایت	hɪdˈaːjat
سامنے	sˈaːmnˌeː
بارے	bˈaːreː
فائرنگ	fˈaːjɪrˌɪnɡ
سماعت	səmˈaːat
مسائل	məsˈa͡ɪl
پشاور	pˌɪʃaːʋˈar
اپنا	ˈapnˌaː
دن	dˈɪn
شدید	ʃədˈiːd
ذمہ	zˈɪma
ہزار	həzˈaːr
بنا	bˈʌnaː
بن	bˈʌn
ملکی	mˈʊlkˌiː
بار	bˈaːr
گھر	ɡʰˈʌr
ہلاک	həlˈaːk
اسلامی	ˌɪslˈaːmi
اخبار	ˌaxbˈaːr
قرار	qərˈaːr
نیشنل	nˌɛʃnˈal
قبل	qˈabl
ممالک	mʊmˈaːlɪk
سپریم	sʊprˈiːm
خواتین	xˌaʋaːtˈiːn
ضرورت	zˌaruːrˈat
کوشش	kˈoːʃɪʃ
حکام	hʊkˈaːm
علاوہ	alˈaːʋa
ماہ	mˈaːh
محکمہ	meːhˈeːkma
کار	kˈaːr
اسے	ˌɪseː
پھر	phˈɪr
دورہ	dˈoːrˌa
سیکرٹری	sˈeːkrɪʈrˌiː
پرویز	pˈarʋeːz
جلد	ɟˈald
وی	ʋˈiː
والوں	ʋˈaːloːn
ذریعے	zarˈiːeː
تیار	tˌaiˈaːr
حملہ	hˈamla
عرب	ˈarəb
کانفرنس	kˈaːnfrans
ہائی	hˈaːi
رینجرز	rˈeːnɟərz
دوسرے	dˈuːsreː
زائد	zˈa͡ɪd
آئندہ	aːˈɪndˌa
تقریب	tˌəqrˈiːb
طلب	tˈʌləb
نئے	nˈʌeː
دور	dˈuːr
کیے	kˈiːeː
تفصیلات	tˌəfʂˌiːlˈaːt
یہاں	jˈʌhãː
حملے	hˈʌmlˌeː
سعودی	saːˈoːdi
ملزمان	mˈʊlzˌɪmaːn
تعلیم	tˈaːlim
وزارت	ʋəzˈaːrət
آزاد	aːzˈaːd
لاکھ	lˈaːkʰ
میاں	mjˈãː
متحدہ	mʊtˈahɪdˌa
پہنچ	pahˈʊnc
سرکاری	sˌərkˈaːri
جنگ	ɟˈʌnɡ
دیں	dˈẽ
قندیل	qəndˈiːl
پانچ	pˈaːnc
داخلہ	dˈaːxəla
ہسپتال	hˈaspatˌaːl
آنے	ˈaːneː
چار	cˈaːr
ملزم	mˈʊlzˌɪm
آر	ˈaːr
نئی	nˈʌi
بورڈ	bˈoːrɖ
پیپلز	pˈeːpəlˌəz
ہمارے	həmˈaːreː
ارب	ˈarəb
کیو	kˈeːoː
بہتر	bɛhtˈar
کئی	kˈʌi
پوری	pˈuːri
قیادت	qˈajaːdˌət
خارجہ	xˈaːrəɟa
قریب	qərˈiːb
آزادی	aːzˈaːdi
صورتحال	ʂuːrˈathaːl
سید	sˌaiˈad
اسی	ˈɪsi
آرمی	ˈaːrmˌiː
تعداد	tˈaːdaːd
کوئٹہ	koːˈɪʈˌa
ترجمان	tˈarɟˌʊmaːn
فیصد	fiʂˈad
سکتا	sˈʌktˌaː
بلکہ	bˌalkˈeːh
شخص	ʃˈaxʂ
رائے	rˈaːeː
کامیاب	kˈaːmjaːb
واپس	ʋˈaːpəs
تعاون	tˈaːʋʊn
پیدا	pˈeːdaː
چین	cˈeːn
بھٹو	bʰˈʊʈoː
ناکام	naːkˈaːm
حصہ	hˈɪʂˌa
کردی	kˈʌrdi
بم	bˈʌm
ہمیں	hˈʌmẽː
دوسری	dˈuːsri
پاس	pˈaːs
واضح	ʋˈaːzɛh
سطح	sˌətˈah
حکم	hˈʊkm
عوامی	aʋˈaːmi
عام	ˈaːm
رکھنے	rˈʌkʰnˌeː
ہوگا	hˈoːɡaː
مذاکرات	mˌʊzaːkɪrˈaːt
کونسل	kˈoːnsəl
ڈالر	ɖˈaːlər
احتجاج	ˈeːhtɪɟˌaːɟ
ایل	ˈeːl
لائن	lˈa͡ɪn
جہاں	ɟˈʌhãː
لوگ	lˈoːɡ
ادارے	ɪdˈaːreː
میچ	mˈeːc
ہائیکورٹ	hˌaːikˈoːrʈ
اقبال	ˌɪqbˈaːl
مگر	maɡˈar
صحت	ʂeːhˈat
مدد	mˈʌdəd
کرپشن	karˈapʃan
نظام	nɪʐˈaːm
فوری	fˈoːri
ہوتا	hˈoːtaː
سکیورٹی	sˌɪkeːˈoːrɪʈˌiː
درج	dˈarɟ
باہر	bˈaːhər
منصوبے	mˌənʂˈuːbeː
مطالبہ	mʊtˈaːlɪbˌa
مسئلہ	mˈʌsəla
سوال	saʋˈaːl
ای	ˈiː
برآمد	bərˈaːməd
آغاز	aːɣˈaːz
دہشتگردی	dˈɛhʃˈatɡərdˌiː
امریکہ	ˌamrˈiːkˌa
بغیر	baɣˈɛːr
ریکارڈ	reːkˈaːrɖ
افسران	ˌafsˈaraːn
پالیسی	paːlˈiːsi
مشرف	mˌʊʃarˈaf
زندگی	zˌɪndˈaɡi
سخت	sˈʌxt
تاکہ	tˈaːkeːh
سانحہ	sˈaːnɪhˌa
مارچ	mˈaːrc
افغانستان	ˌafɣˌaːnɪstˈaːn
خیال	xˈajaːl
تعلق	tˈaːlʊq
جمع	ɟˈʌmaː
حق	hˈʌq
صورت	ʂuːrˈat
کررہے	kˈʌrərheː
آصف	ˈaːʂɪf
منصوبہ	mˌənʂˈuːba
نوٹس	nˈoːʈs
مہم	mˈʊhɪm
الحق	ˌʊlhˈaq
موجودہ	moːɟˈuːda
مل	mˈɪl
ٹیکس	ʈˈeːks
زرداری	zərdˈaːri
سرمایہ	sˌərmˈaːja
قیمت	qimˈat
محمود	mɛhmˈuːd
پروگرام	proɡrˈaːm
قیام	qˈajaːm
صدارت	ʂədˈaːrət
فوجی	fˈoːɟi
گیس	ɡˈeːs
انتظامیہ	ˌɪntɪʐaːmˈiːa
آئے	ˈaːeː
ایکشن	ˈeːkəʃˌən
بینک	bˈeːnk
کروڑ	kərˈoːr.
منظور	mˌanʐˈuːr
نقصان	nʊqʂˈaːn
طالبان	tˌaːlbˈaːn
افغان	ˌafɣˈaːn
جاتا	ɟˈaːtaː
یوم	jˈɔm
تحقیقات	tˌɛhqˈiːqaːt
ایران	irˈaːn
اختیار	ˈaxtjaːr
یونیورسٹی	jˌuːniʋˈarsɪʈˌiː
گردوں	ɡˈʌrdõː
بڑے	bˈʌr.eː
والا	ʋˈaːlaː
چیت	cˈeːt
داری	dˈaːri
لی	lˈiː
باوجود	bˌaːʋʊɟˈuːd
بنایا	bənˈaːjaː
مقامی	məqˈaːmi
ہماری	həmˈaːri
فی	fˈiː
پارلیمنٹ	pˌaːrlˈiːmənʈ
سیاست	sjaːsˈat
صوبے	ʂˈuːbeː
سکتے	sˈʌktˌeː
مقدمہ	mʊqˈadma
شیخ	ʃˈeːx
ملوث	mʊlˈaʋʋas
نجی	nˈɪɟi
کرتا	kˌartaː
جمہوریت	ɟˌəmhˌuːriˈat
قانونی	qˈaːnuːnˌiː
لینے	lˈeːneː
کرلیا	kərˈʌljaː
جان	ɟˈaːn
اپوزیشن	ˌapoːzeːʃˈan
پریس	prˈeːs
سو	sˈoː
سیکورٹی	seːkˈoːrʈi
تعمیر	tˈaːmir
رہنما	rˈɛhnəmˌaː
فورسز	fˈoːrsɪz
فیصل	fˈeːʂəl
تعلقات	tˈaːlʊqˌaːt
فون	fˈoːn
امور	ʊmˈuːr
کامیابی	kˈaːmjaːbˌiː
رکن	rˈʊkn
منتقل	mˌʊntˈaqɪl
مالی	mˈaːli
شہید	ʃəhˈiːd
ہوتی	hˈoːti
بل	bˈʌl
دھماکے	dʰəmˈaːkeː
اہلکار	ˌahəlkˈaːr
منظوری	mˌanʐˈuːri
انتہائی	ˌɪntɪhˈaːi
ٹیسٹ	ʈˈeːsʈ
گورنر	ɡaʋˈarnar
انھوں	ʊnhˌoːn
چاہتے	cˈaːhteː
وطن	ʋatˈan
کاری	kˈaːri
روڈ	rˈoːɖ
ر	rˈeː
دیتے	dˈeːteː
ایچ	ˈeːc
پور	pˈoːr
کیوں	kjˈũː
کرتی	kˌarti
تاریخ	taːrˈiːx
ایسے	ˈeːseː
برائے	bərˈaːeː
فراہمی	fərˈaːhmi
خیالات	xˈajaːlaːt
عمر	ʊmˈar
فیصلے	fˈeːʂlˌeː
ضلع	zˈɪla
تقسیم	tˌəqsˈiːm
سیکیورٹی	sˌeːkeːˈoːrʈi
کیونکہ	kjˌuːnkˈɛh
خاتون	xaːtˈuːn
طاہر	tˈaːhər
جیل	ɟˈeːl
اینڈ	ˈeːnɖ
خواجہ	xʋˈaːɟˌa
کارکردگی	kaːrkˈardəɡˌiː
وفد	ʋˈʌfəd
ایجنسی	eːɟˈʌnsi
راولپنڈی	raːʋˈalpɪnɖˌiː
معاملے	mˈaːmlˌeː
متعلقہ	mʊtˈaːlɪqˌa
مارکیٹ	mˌaːrkˈiːʈ
حقوق	hʊqˈuːq
فروغ	fərˈoːɣ
سلسلہ	sˈɪlsˌɪla
مقامات	mˌəqaːmˈaːt
ثابت	sˈaːbɪt
ملازمین	mˌʊlaːzɪmˈiːn
مذمت	mazˈammat
واقعہ	ʋˈaːqja
ں	nˈuːnɣʊnnˌa
شکار	ʃɪkˈaːr
جائزہ	ɟˈa͡ɪzˌa
اعلی	ˈaːli
مولانا	moːlˈaːnaː
شہریوں	ʃˈɛhriˌõː
ضروری	zarˈuːri
آ	ˈaː
بچے	bˈʌceː
پہلی	pˈɛhli
بجائے	bəɟˈaːeː
خیبر	xˈeːbər
شہری	ʃˈɛhri
عزیز	azˈiːz
دیئے	dˈeːeː
مجھے	mˌʊɟʰeː
سلسلے	sˈɪlsˌɪleː
پابندی	paːbˈʌndi
چاہیے	cˈaːhjeː
جماعتوں	ɟamˈaːtõː
گرفتاری	ɡˈɪrɪftˌaːri
یقینی	jəqˈiːni
سینیٹر	sˌeːneːʈˈar
ہوگئے	hoːɡˈaeː
مرکزی	mˈarkazˌi
سربراہ	sˈarbarˌaːh
بھرپور	bʰˌarpˈuːr
پلان	pəlˈaːn
رابطہ	rˈaːbta
یقین	jəqˈiːn
قابل	qˈaːbɪl
الزام	ˌɪlzˈaːm
ٹریفک	ʈrˈeːfɪk
توجہ	taʋˈaɟoː
تحفظ	tahˈafʊʐ
بنیاد	bˌʊniˈaːd
ارکان	ˌarkˈaːn
ہونا	hˈoːnaː
پیر	pˈeːr
حالات	hˌaːlˈaːt
مین	mˈeːn
سر	sˈʌr
رکھا	rˈʌkʰaː
دار	dˈaːr
ملتان	mˌʊltˈaːn
مشترکہ	mʊʃtˈarka
بین	bˈeːn
کمشنر	kˌamɪʃnˈar
جنوبی	ɟʊnˈuːbi
معاملہ	mˈaːməla
اہلکاروں	ˌahəlkˈaːrõː
اقوام	ˈaqʋaːm
چند	cˈʌnd
حمایت	hɪmˈaːjat
کمپنی	kˈʌmpənˌiː
جگہ	ɟˈʌɡˌa
حکومتی	hˌʊkuːmˈati
شہباز	ʃˈɛhbaːz
موبائل	moːbˈa͡ɪl
تباہ	təbˈaːh
کیجئے	kˈeːɟˌeː
ایشن	ˈeːʃən
راحیل	raːhˈiːl
اجازت	ɪɟˈaːzat
بڑا	bˈʌr.aː
ممکن	mˈʊmkˌɪn
شام	ʃˈaːm
مقابلے	mʊqˈaːbɪlˌeː
گروپ	ɡrˈuːp
بجٹ	bˈʌɟəʈ
آئین	aːˈiːn
دوبارہ	doːbˈaːrˌa
گاڑی	ɡˈaːr.i
مقام	məqˈaːm
موت	mˈoːt
ایوان	eːʋˈaːn
رواں	rˈaʋãː
انسداد	ˌɪnsɪdˈaːd
سکتی	sˈʌktˌiː
میرے	mˈeːreː
بس	bˈʌs
جاتی	ɟˈaːti
نوجوان	nˌɔːɟaʋˈaːn
متعدد	mʊtˈaːdɪd
کبھی	kˈʌbʰi
فروخت	fərˈoːxt
قیمتوں	qˈeːmtˌõː
شادی	ʃˈaːdi
بلدیاتی	bˌəldˈiːaːtˌiː
مسجد	mˈasɟˌɪd
گرد	ɡˈʌrd
نیب	nˈeːb
دائر	dˈa͡ɪr
روزہ	rˈoːzˌa
خبر	xˈʌbər
رضا	rˈʌzaː
نمبر	nˈʌmbər
عائد	aːˈɪd
ملتوی	mˌʊltˈaʋi
ہوگی	hˈoːɡi
چینی	cˈiːni
خاتمے	xˈaːtmˌeː
ہوتے	hˈoːteː
پسند	pəsˈʌnd
اگست	ˈaɡəst
کھلاڑیوں	kʰɪlˈaːr.iˌõː
بہترین	bˈɛhtərˌiːn
منصوبوں	mˌənʂˈuːbõː
شاہد	ʃˈaːhəd
لگا	lˈʌɡaː
ہفتے	hˈʌftˌeː
وہاں	ʋˈʌhãː
بھائی	bʰˈaːi
اتحاد	ˌɪtahˈaːd
نثار	nɪsˈaːr
ابھی	ˈabʰi
جارہی	ɟˈaːrhˌiː
خاتمہ	xˈaːtəma
ماڈل	mˈaːɖəl
آگاہ	aːɡˈaːh
ترکی	tˈʊrki
تعلیمی	tˈaːlimˌiː
ایسا	ˈeːsaː
اقتصادی	ˌɪqtɪʂˈaːdi
امیر	amˈiːr
اطلاعات	ɪtlˈaːt
سکول	skˈuːl
ملے	mˈɪleː
ڈائریکٹر	ɖˌaːjɪrˌeːkʈˈar
مقبوضہ	mˌəqbˈuːzˌa
پیپلزپارٹی	pˌeːpəlˌəzpˈaːrʈi
چھ	cʰˈeh
اضافے	ɪzˈaːfeː
خزانہ	xəzˈaːnˌa
تبادلہ	təbˈaːdəla
نتیجے	nətˈiːɟeː
رشید	rəʃˈiːd
اداکارہ	ˌadaːkˈaːrˌa
قائد	qˈa͡ɪd
چکے	cˈʊkeː
شکست	ʃɪkˈast
سامنا	sˈaːmnˌaː
ضمانت	zəmˈaːnət
لیں	lˈẽ
ون	ʋˈʌn
بلاول	bˌɪlaːʋˈal
ترقیاتی	tˌərqjˈaːti
منعقد	mʊnˈaːqɪd
حال	hˈaːl
مظاہرہ	mʊʐˈaːhɪrˌa
شدت	ʃɪdˈat
مملکت	mˈamlɪkˌat
دس	dˈʌs
ہمیشہ	hamˈeːʃa
انسانی	ɪnsˈaːni
دفتر	dˌaftˈar
ووٹ	ʋˈoːʈ
انداز	ˈandaːz
فاروق	faːrˈoːq
ایسوسی	eːsˈoːsi
نوازشریف	nˈaʋaːzˌəʃrˌiːf
اختیارات	ˈaxtjaːraːt
شعبہ	ʃˈɔba
حکمران	hˌʊkmarˈaːn
ڈال	ɖˈaːl
عبد	ˈabəd
سزا	sˈʌzaː
صوبہ	ʂˈuːba
انتظامات	ˌɪntɪʐˌaːmˈaːt
رقم	rˈʌqəm
دینا	dˈeːnaː
ہاؤس	haːˈoːs
چکی	cˈʌki
واقعات	ʋˌaːqeːˈaːt
عید	ˈiːd
شپ	ʃˈɪp
کنٹرول	kˈanʈroːl
رانا	rˈaːnaː
عملی	ˈamlˌiː
سینیٹ	seːnˈeːʈ
حالت	hˈaːlət
میری	mˈeːri
جولائی	ɟoːlˈaːi
سیریز	sirˈiːz
اسلحہ	ˈaslahˌa
بڑھ	bˈar.h
دھماکہ	dʰəmˈaːkˌa
موقف	mˈɔːqɪf
کردہ	kˈʌrdˌa
ورلڈ	ʋˈarlɖ
دفاع	dˈɪfaː
محفوظ	mˌeːhfˈuːʐ
تشکیل	tˌəʃkˈiːl
فضل	fˈazl
سالہ	sˈaːlˌa
دورے	dˈoːreː
جاوید	ɟaːʋˈeːd
ا	ˈalɪf
مقصد	mˈaqʂad
قسم	qˈʌsəm
آمد	ˈaːməd
کارکنوں	kˈaːrkˌʊnõː
روانہ	raʋˈaːnˌa
معاملات	mˌaːməlˈaːt
یو	jˈɔ
کشمیریوں	kˌəʃmˈiːriˌõː
سعید	saˈiːd
ہوگئی	hoːɡˈai
اندر	ˈandar
تنظیم	tˌənʐˈiːm
نا	nˈaː
عدم	ˈadəm
پولیو	pˈoːliˌoː
کیمپ	kˈeːmp
رات	rˈaːt
جارہا	ɟˈaːrhˌaː
نو	nˈoː
علاقہ	ɪlˈaːqa
تبدیل	tˌəbdˈiːl
کرانے	kərˈaːneː
برادری	bˌɪraːdˈari
الرحمن	alrˈʌhəmˌən
بحالی	bəhˈaːli
بارش	bˈaːrɪʃ
آخری	ˈaːxrˌiː
مسترد	mˌʊstarˈad
دشمن	dʊʃmˈan
پارلیمانی	pˌaːrlimˈaːni
امکان	ˌɪmkˈaːn
داخل	dˈaːxɪl
روک	rˈoːk
تیز	tˈeːz
امداد	ˌɪmdˈaːd
جمعہ	ɟˈʊmaː
منتخب	mˌʊntˈaxəb
مقدمات	mʊqˈadːamˌaːt
مفتی	mˈʊfti
پورے	pˈuːreː
تر	tˈʌr
سردار	sərdˈaːr
آگے	ˈaːɡeː
نشانہ	nɪʃˈaːna
اقدام	ɪqdˈaːm
متاثرین	mˌʊtaːsɪrˈiːn
کپ	kˈʌp
حکمرانوں	hˌʊkmarˈaːnõː
سات	sˈaːt
یاد	jˈaːd
معاشی	mˈaːʃi
پورا	pˈuːraː
تفتیش	tˌəftˈiːʃ
انعقاد	ˌɪnɪqˈaːd
تبدیلی	tˌəbdˈiːli
صحافیوں	ʂəhˈaːfiˌõː
تشدد	taʃˈadʊd
نیا	nˈajaː
سول	sˈɪʋɪl
مضبوط	mˌəzbˈuːt
احتجاجی	ˈeːhteːɟˌaːɟi
کھیل	kʰˈeːl
امیدوار	ʊmˈiːdʋaːr
جمعرات	ɟˌʊmeːrˈaːt
مبینہ	mˌʊbaiˈanˌa
بحران	bˌɔhrˈaːn
جیسے	ɟˈeːseː
اخبارتازہ	ˌaxbˌaːrtˈaːzˌa
معاہدے	mʊˈaːhɪdˌeː
کس	kɪs
بہتری	bˈɛhtərˌiː
ڈپٹی	ɖˈɪpʈi
جدید	ɟədˈiːd
ہوگیا	hˈoːɡjaː
رہ	rˈɛh
کلب	kˈʌləb
ظاہر	ʐˈaːhɪr
دل	dˈɪl
اعتماد	ˈeːtɪmˌaːd
مشکلات	mˈʊʃkˌɪlaːt
سروس	sˈarʋɪs
وکلاء	ʋˈʌklˌaː
سلامتی	səlˈaːmtˌiː
توانائی	tˈaʋaːnˌaːi
جیت	ɟˈiːt
صاحب	ʂˈaːhɪb
متاثر	mʊtˈaːsɪr
ستمبر	sɪtˈambar
ایسی	ˈeːsi
طے	tˈeː
نامعلوم	naːmˈaːluːm
ہاتھ	hˈaːtʰ
اہل	ˈɛhɛl
ء	hˈamzah
قبول	qʊbˈuːl
موٹر	mˈoːʈər
طریقے	tərˈiːqeː
ہمراہ	hˌəmrˈaːh
صارفین	ʂˌaːrfˈiːn
احتساب	ˌɛhtɪsˈaːb
سکے	sˈʌkeː
مقابلہ	mʊqˈaːbɪlˌa
بنیادی	bˌʊniˈaːdi
بننے	bˈʌnnˌeː
فرار	fərˈaːr
انتخابی	ˌɪntɪxˈaːbi
تربیت	tˈarbiˌat
جاتے	ɟˈaːteː
لینڈ	lˈeːnɖ
ثبوت	sʊbˈuːt
مودی	mˈoːdi
سینئر	sˌiːniˈar
اراکین	ˌaraːkˈiːn
یکم	jˈakʊm
اہتمام	ˈɛhtɪmˌaːm
ملنے	mˈɪlneː
راجہ	rˈaːɟˌa
چکا	cˈʊkaː
اتفاق	ˌɪtɪfˈaːq
غلط	ɣˈʌlət
تعینات	tˈaːjʊnˌaːt
ریاست	rjaːsˈat
یونین	jˌuːniˈan
ریلوے	rˈeːlʋeː
مستقبل	mˌʊstˈaqbˌɪl
خدمات	xɪdmˈaːt
الاقوامی	alˈaqʋaːmˌiː
گر	ɡˈar
غور	ɣˈoːr
وسائل	ʋəsˈa͡ɪl
سفیر	səfˈiːr
ورزی	ʋˈʌrzˌiː
خاندان	xˈaːndaːn
خوش	xˈʊʃ
زور	zˈoːr
گئیں	ɡˈain
اپیل	apˈiːl
آیا	ˈaːjaː
بندی	bˈʌndi
الدین	aldˈeːn
غلام	ɣʊlˈaːm
کھلاڑی	kʰɪlˈaːr.i
علاج	ɪlˈaːɟ
تصدیق	tˌəʂdˈiːq
مجموعی	mˈaɟmuːˌiː
کہیں	kˈʌhẽː
رہیں	rˈʌhẽː
سلمان	sˌəlmˈaːn
حیثیت	hˌeːsiˈat
پورٹ	pˈoːrʈ
القادری	alqˈaːdrˌiː
