ላይ	lˈaj
አለቃ	ʔˈalək`a
ስሙ	sˈɨmu
ቅድሚያ	k`ˈɨdɨmija
ዓለም	ʔˈaləm
ሴት	sˈet
ሥራ	sˈɨra
በሙሉ	bˈəmulu
ክፍለ	kˈɨfɨlə
ወገን	wˈəɡən
ሆነው	hˈonəw
ስራ	sˈɨra
ምን	mˈɨn
አንዳንድ	ʔˈanɨdanɨd
ሳይሆን	sˈajɨhon
ግምገማዎች	ɡˈɨmɨɡəmawot͡ʃ
መጠን	mˈət`ən
በኢትዮጵያ	bˈəʔitɨjop`ɨja
በይፋ	bˈəjɨfa
የሚገኝ	jˈəmiɡəɲ
እንደገና	ʔˈɨnɨdəɡəna
በሌላ	bˈəlela
እንደሆነ	ʔˈɨnɨdəhonə
ቋንቋዎች	k`wˈanɨk`wawot͡ʃ
የነበረው	jˈənəβərəw
የግዕዝ	jˈəɡɨʔɨz
ግድም	ɡˈɨdɨm
ታላቅ	tˈalak`
አበባ	ʔˈaβəβa
መቶ	mˈəto
መጽሐፍ	mˈətsɨhaf
ሜትር	mˈetɨr
ምልክት	mˈɨlɨkɨt
በኩል	bˈəkul
በማለት	bˈəmalət
ትልቅ	tˈɨlɨk`
መሠረት	mˈəsərət
ምናልባት	mˈɨnalɨβat
የሚለው	jˈəmiləw
መሆኑን	mˈəhonun
ጥናት	t`ˈɨnat
የመጀመሪያው	jˈəməd͡ʒəmərijaw
መንግስት	mˈənɨɡɨsɨt
ሦስት	sˈosɨt
አለም	ʔˈaləm
ውጭ	wˈɨt͡ʃ`
ነገሥታት	nˈəɡəsɨtat
በዚሁ	bˈəzihu
ጽሑፍ	tsˈɨhuf
ብዛት	bˈɨzat
ዓይነት	ʔˈajɨnət
ጉዳይ	ɡˈudaj
በአሁኑ	bˈəʔahunu
ናቸው	nˈat͡ʃəw
እኔ	ʔˈɨne
ወይንም	wˈəjɨnɨm
የሰው	jˈəsəw
ሙሉ	mˈulu
ሺህ	ʃˈiç
ክፍሎች	kˈɨfɨlot͡ʃ
ቢሆንም	bˈihonɨm
መጀመርያ	mˈəd͡ʒəmərɨja
መረጃ	mˈərəd͡ʒa
ከዚያም	kˈəzijam
የተባለው	jˈətəβaləw
በመሆን	bˈəməhon
ንጉስ	nˈɨɡus
ኳስ	kwˈas
ያሉ	jˈalu
ያላቸው	jˈalat͡ʃəw
ድል	dˈɨl
ዛሬ	zˈare
በተጨማሪ	bˈətət͡ʃ`əmari
በዚያ	bˈəzija
ኃይል	hˈajɨl
ዙሪያ	zˈurija
ጥንታዊ	t`ˈɨnɨtawi
ጦር	t`ˈor
ኗሪ	nwˈari
እምነት	ʔˈɨmɨnət
ሁሉም	hˈulum
ሊሆን	lˈihon
መሪ	mˈəri
መሬት	mˈəret
አባት	ʔˈaβat
በርካታ	bˈərɨkata
ትርጉም	tˈɨrɨɡum
ዜና	zˈena
በተለያዩ	bˈətələjaju
ሥርወ	sˈɨrɨwə
ስለሆነም	sˈɨləhonəm
ብሔራዊ	bˈɨherawi
ትንሽ	tˈɨnɨʃ
አራት	ʔˈarat
አምላክ	ʔˈamɨlak
አካል	ʔˈakal
የሚባል	jˈəmiβal
እንግዲህ	ʔˈɨnɨɡɨdiç
ጥቅም	t`ˈɨk`ɨm
ስር	sˈɨr
በመባል	bˈəməβal
እጅ	ʔˈɨd͡ʒ
ድርጅት	dˈɨrɨd͡ʒɨt
ሲሆኑ	sˈihonu
ቀለም	k`ˈələm
ዝርዝር	zˈɨrɨzɨr
የተባለ	jˈətəβalə
ሚሊዮን	mˈilijon
ቀለሞች	k`ˈələmot͡ʃ
ጥሩ	t`ˈɨru
ሊቃውንት	lˈik`awɨnɨt
በብዙ	bˈəβɨzu
እስካሁን	ʔˈɨsɨkahun
ራስ	rˈas
ሥነ	sˈɨnə
እንዴት	ʔˈɨnɨdet
የህዝብ	jˈəhɨzɨb
ያለውን	jˈaləwɨn
እግዚአብሔር	ʔˈɨɡɨziʔaβɨher
ዕለት	ʔˈɨlət
ጋራ	ɡˈara
ግንኙነት	ɡˈɨnɨɲunət
ነበሩ	nˈəβəru
አገራት	ʔˈaɡərat
ዘዴ	zˈəde
ሃይማኖት	hˈajɨmanot
መሆኑ	mˈəhonu
ብር	bˈɨr
እንኳን	ʔˈɨnɨkwan
ወንዝ	wˈənɨz
ዘመናዊ	zˈəmənawi
ምድር	mˈɨdɨr
ከሆነ	kˈəhonə
ሥርዓት	sˈɨrɨʔat
ሲል	sˈil
ነገሮች	nˈəɡərot͡ʃ
አቀፍ	ʔˈak`əf
ወር	wˈər
ስለሆነ	sˈɨləhonə
አባላት	ʔˈaβalat
መልኩ	mˈəlɨku
አመታት	ʔˈamətat
እንደነበር	ʔˈɨnɨdənəβər
አገሮች	ʔˈaɡərot͡ʃ
ከላይ	kˈəlaj
ዋጋ	wˈaɡa
ማርያም	mˈarɨjam
ምክንያቱም	mˈɨkɨnɨjatum
በዚህም	bˈəzihɨm
ብርሃን	bˈɨrɨhan
ክርስቶስ	kˈɨrɨsɨtos
ገና	ɡˈəna
መጨረሻ	mˈət͡ʃ`ərəʃa
ሥፍራ	sˈɨfɨra
ባለ	bˈalə
አባል	ʔˈaβal
አዳዲስ	ʔˈadadis
ይልቅ	jˈɨlɨk`
ፊት	fˈit
ህዝብ	hˈɨzɨb
ሠራዊት	sˈərawit
የሙዚቃ	jˈəmuzik`a
መሆን	mˈəhon
ቤቶች	bˈetot͡ʃ
አስቀድሞ	ʔˈasɨk`ədɨmo
አቶ	ʔˈato
የነበሩት	jˈənəβərut
በዓለም	bˈəʔaləm
ስሞች	sˈɨmot͡ʃ
የሆኑ	jˈəhonu
አገልግሎት	ʔˈaɡəlɨɡɨlot
እርሱ	ʔˈɨrɨsu
ሰዓት	sˈəʔat
ተመሳሳይ	tˈəməsasaj
አምስት	ʔˈamɨsɨt
አድርጎ	ʔˈadɨrɨɡo
መጻሕፍት	mˈətsahɨfɨt
እዚህ	ʔˈɨziç
ውጤት	wˈɨt`et
ሁለተኛ	hˈulətəɲa
ቃላት	k`ˈalat
በመሆኑ	bˈəməhonu
ቀጥሎ	k`ˈət`ɨlo
ከአንድ	kˈəʔanɨd
የዓለም	jˈəʔaləm
ድምጽ	dˈɨmɨts
ገጽ	ɡˈəts
ስርዓት	sˈɨrɨʔat
እያንዳንዱ	ʔˈɨjanɨdanɨdu
የዚህ	jˈəziç
እንኳ	ʔˈɨnɨkwa
ውሃ	wˈɨha
የሆነው	jˈəhonəw
የመጀመሪያ	jˈəməd͡ʒəmərija
የሚለውን	jˈəmiləwɨn
ክልል	kˈɨlɨl
ሌላው	lˈelaw
ልክ	lˈɨk
በሚል	bˈəmil
ችግር	t͡ʃˈɨɡɨr
እሱ	ʔˈɨsu
ከፍ	kˈəf
በሽታ	bˈəʃɨta
አየር	ʔˈajər
መሰረት	mˈəsərət
መንግሥታት	mˈənɨɡɨsɨtat
ሴቶች	sˈetot͡ʃ
ቀይ	k`ˈəj
ነጻ	nˈətsa
እግር	ʔˈɨɡɨr
ወረዳ	wˈərəda
የተነሳ	jˈətənəsa
ገንዘብ	ɡˈənɨzəb
ሀገር	hˈaɡər
ለመጀመሪያ	lˈəməd͡ʒəmərija
ቡድን	bˈudɨn
ከሌሎች	kˈəlelot͡ʃ
ደቡብ	dˈəβub
ጠቅላይ	t`ˈək`ɨlaj
ጽሕፈት	tsˈɨhɨfət
በሁለት	bˈəhulət
በተጨማሪም	bˈətət͡ʃ`əmarim
በአንዳንድ	bˈəʔanɨdanɨd
ነጥብ	nˈət`ɨb
ንጉሠ	nˈɨɡusə
እውነት	ʔˈɨwɨnət
ባለው	bˈaləw
የራሱ	jˈərasu
ጥቂት	t`ˈɨk`it
ፊደላት	fˈidəlat
ሁለቱ	hˈulətu
መልክ	mˈəlɨk
እያለ	ʔˈɨjalə
ወንድ	wˈənɨd
ዘር	zˈər
ይዞ	jˈɨzo
በሌሎች	bˈəlelot͡ʃ
ጨምሮ	t͡ʃ`ˈəmɨro
ሕይወት	hˈɨjɨwət
መጠቀም	mˈət`ək`əm
ማለትም	mˈalətɨm
ሥልጣን	sˈɨlɨt`an
ወልደ	wˈəlɨdə
የሚባለው	jˈəmiβaləw
ጥበብ	t`ˈɨβəb
ሥር	sˈɨr
በኋላም	bˈəhwalam
ተራራ	tˈərara
ዘመቻ	zˈəmət͡ʃa
ዘርፍ	zˈərɨf
መጀመሪያ	mˈəd͡ʒəmərija
ምልክቶች	mˈɨlɨkɨtot͡ʃ
ምኒልክ	mˈɨnilɨk
ምንጭ	mˈɨnɨt͡ʃ`
ታዋቂ	tˈawak`i
አስተሳሰብ	ʔˈasɨtəsasəb
ከነዚህ	kˈənəziç
ማዕረግ	mˈaʔɨrəɡ
ቅርጽ	k`ˈɨrɨts
በተለይም	bˈətələjɨm
ኣንድ	ʔˈanɨd
እንዲሆን	ʔˈɨnɨdihon
ውድድር	wˈɨdɨdɨr
የሚኖርበት	jˈəminorɨβət
ግዕዝ	ɡˈɨʔɨz
ሁለተኛው	hˈulətəɲaw
ለዚህ	lˈəziç
ሕግ	hˈɨɡ
መጀመርያው	mˈəd͡ʒəmərɨjaw
ቅርስ	k`ˈɨrɨs
ታሪካዊ	tˈarikawi
እንቅስቃሴ	ʔˈɨnɨk`ɨsɨk`ase
የኤሌክትሪክ	jˈəʔelekɨtɨrik
ያሉት	jˈalut
ለውጥ	lˈəwɨt`
ሜዳ	mˈeda
ርቀት	rˈɨk`ət
ስያሜ	sˈɨjame
በመጠቀም	bˈəmət`ək`əm
ተብለው	tˈəβɨləw
ተጨማሪ	tˈət͡ʃ`əmari
ከተሞች	kˈətəmot͡ʃ
ይህንን	jˈɨhɨnɨn
መስመር	mˈəsɨmər
ምግብ	mˈɨɡɨb
ስምምነት	sˈɨmɨmɨnət
ሶስት	sˈosɨt
ቤተክርስቲያን	bˈetəkɨrɨsɨtijan
ወታደሮች	wˈətadərot͡ʃ
የሕዝብ	jˈəhɨzɨb
የሚገኘው	jˈəmiɡəɲəw
የነበረውን	jˈənəβərəwɨn
የአንድ	jˈəʔanɨd
መርገጫዎች	mˈərɨɡət͡ʃ`awot͡ʃ
በታሪክ	bˈətarik
ኢየሱስ	ʔˈijəsus
ከተማው	kˈətəmaw
ጊዮርጊስ	ɡˈijorɨɡis
መብት	mˈəβɨt
መዋዕል	mˈəwaʔɨl
ስፍራ	sˈɨfɨra
ነጭ	nˈət͡ʃ`
ዝርያ	zˈɨrɨja
ስብስብ	sˈɨβɨsɨb
ብሔር	bˈɨher
ከዚህም	kˈəzihɨm
ለ	lˈə
ምዕራብ	mˈɨʔɨrab
በማድረግ	bˈəmadɨrəɡ
ን	nˈɨ
አስተዳደር	ʔˈasɨtədadər
የጦር	jˈət`or
ማንም	mˈanɨm
ማድረግ	mˈadɨrəɡ
በመጨረሻ	bˈəmət͡ʃ`ərəʃa
በአዲስ	bˈəʔadis
አድርገው	ʔˈadɨrɨɡəw
እናት	ʔˈɨnat
ዘመናት	zˈəmənat
ፍቅር	fˈɨk`ɨr
ለብዙ	lˈəβɨzu
መልስ	mˈəlɨs
በወቅቱ	bˈəwək`ɨtu
ቢሆን	bˈihon
አሁንም	ʔˈahunɨm
እርስ	ʔˈɨrɨs
እንዳለው	ʔˈɨnɨdaləw
ዮሐንስ	jˈohanɨs
ሲባል	sˈiβal
በቀዳሚ	bˈək`ədami
በታች	bˈətat͡ʃ
አልፎ	ʔˈalɨfo
አደጋ	ʔˈadəɡa
እራሱ	ʔˈɨrasu
እኩል	ʔˈɨkul
ይሁን	jˈɨhun
ይሄ	jˈɨhe
ደሴት	dˈəset
ፍጥነት	fˈɨt`ɨnət
ምሳሌ	mˈɨsale
በተባለው	bˈətəβaləw
ከሁሉ	kˈəhulu
ድንጋይ	dˈɨnɨɡaj
ስድስት	sˈɨdɨsɨt
አብዛኛው	ʔˈaβɨzaɲaw
የነበረ	jˈənəβərə
የነበሩ	jˈənəβəru
የከተማው	jˈəkətəmaw
ጎን	ɡˈon
ሚካኤል	mˈikaʔel
ቀናት	k`ˈənat
በር	bˈər
በቀር	bˈək`ər
ባህላዊ	bˈahɨlawi
እንዲሁ	ʔˈɨnɨdihu
ፈርዖን	fˈərɨʔon
ነገሥት	nˈəɡəsɨt
ወዘተ	wˈəzətə
የፖለቲካ	jˈəpolətika
ጉዳት	ɡˈudat
ጥያቄ	t`ˈɨjak`e
ሚኒስትር	mˈinisɨtɨr
ምክር	mˈɨkɨr
በቀላሉ	bˈək`əlalu
ተደርጎ	tˈədərɨɡo
ትውልድ	tˈɨwɨlɨd
ዘመነ	zˈəmənə
ግብጽ	ɡˈɨβɨts
መልካም	mˈəlɨkam
ምንጮች	mˈɨnɨt͡ʃ`ot͡ʃ
ሲሉ	sˈilu
ስለነበር	sˈɨlənəβər
በራሱ	bˈərasu
በአጠቃላይ	bˈəʔat`ək`alaj
በደቡብ	bˈədəβub
ነገሥቱ	nˈəɡəsɨtu
የተፈጥሮ	jˈətəfət`ɨro
ሕዝቦች	hˈɨzɨβot͡ʃ
ስሜት	sˈɨmet
ቀስ	k`ˈəs
በብዛት	bˈəβɨzat
ቤቱ	bˈetu
ኪሎ	kˈilo
የሚገኙ	jˈəmiɡəɲu
ዩኒቨርሲቲ	jˈunivərɨsiti
ገዥ	ɡˈəʒ
ሁለቱም	hˈulətum
መሳሪያ	mˈəsarija
ሙዚቃ	mˈuzik`a
ምርጫ	mˈɨrɨt͡ʃ`a
ሥላሴ	sˈɨlase
በዚያው	bˈəzijaw
ተግባር	tˈəɡɨβar
አይደለም	ʔˈajɨdələm
አጠገብ	ʔˈat`əɡəb
መንፈስ	mˈənɨfəs
መኖር	mˈənor
ሚስት	mˈisɨt
ታሪኮች	tˈarikot͡ʃ
አካላት	ʔˈakalat
የተባለውን	jˈətəβaləwɨn
ደብረ	dˈəβɨrə
ፍርድ	fˈɨrɨd
ልዩነት	lˈɨjunət
መቅደስ	mˈək`ɨdəs
መብቶች	mˈəβɨtot͡ʃ
መኖሪያ	mˈənorija
ሰዎችን	sˈəwot͡ʃɨn
ቀድሞ	k`ˈədɨmo
ቁጥሩም	k`ˈut`ɨrum
ኗሪዎች	nwˈariwot͡ʃ
አቅም	ʔˈak`ɨm
አቅጣጫ	ʔˈak`ɨt`at͡ʃ`a
አጠቃላይ	ʔˈat`ək`alaj
ወራት	wˈərat
ዛፍ	zˈaf
የሆኑት	jˈəhonut
የመሬት	jˈəməret
የአየር	jˈəʔajər
ያ	jˈa
ደብዳቤ	dˈəβɨdaβe
ዶክተሩ	dˈokɨtəru
ጉልበት	ɡˈulɨβət
ጽላት	tsˈɨlat
ፈቃድ	fˈək`ad
ህይወት	hˈɨjɨwət
ሰፊ	sˈəfi
ትኩረት	tˈɨkurət
ኢትዮጵያውያን	ʔˈitɨjop`ɨjawɨjan
የታሪክ	jˈətarik
የእግር	jˈəʔɨɡɨr
ይገናኛሉ	jˈɨɡənaɲalu
ፍላጎት	fˈɨlaɡot
ሰባት	sˈəβat
ሰነድ	sˈənəd
በቀጥታ	bˈək`ət`ɨta
ችሎታ	t͡ʃˈɨlota
አጼ	ʔˈatse
አፈ	ʔˈafə
የውጭ	jˈəwɨt͡ʃ`
ጋዜጣ	ɡˈazet`a
ሞት	mˈot
ሰራዊት	sˈərawit
በቂ	bˈək`i
በተባለ	bˈətəβalə
ቢያንስ	bˈijanɨs
ቦታዎች	bˈotawot͡ʃ
አቶማዊ	ʔˈatomawi
አውራጃ	ʔˈawɨrad͡ʒa
እራሱን	ʔˈɨrasun
ከሁለት	kˈəhulət
ኬሚካዊ	kˈemikawi
የበለጠ	jˈəβələt`ə
የአይርላንድ	jˈəʔajɨrɨlanɨd
ጌታ	ɡˈeta
ልብ	lˈɨb
መሣሪያ	mˈəsarija
መቀመጫ	mˈək`əmət͡ʃ`a
ስለጀመሩ	sˈɨləd͡ʒəməru
ስምንት	sˈɨmɨnɨt
ቀላል	k`ˈəlal
ባለቤት	bˈaləβet
ውክሉ	wˈɨkɨlu
ደም	dˈəm
ጥቁር	t`ˈɨk`ur
ፕሮግራም	pˈɨroɡɨram
ሂደት	hˈidət
ሃሳብ	hˈasab
ለመሆን	lˈəməhon
ለማድረግ	lˈəmadɨrəɡ
ለማግኘት	lˈəmaɡɨɲət
ልደት	lˈɨdət
ልጁ	lˈɨd͡ʒu
ሚና	mˈina
ስዕል	sˈɨʔɨl
በዓል	bˈəʔal
ተራ	tˈəra
ነጻነት	nˈətsanət
ንግሥት	nˈɨɡɨsɨt
አባ	ʔˈaβa
አንጄሎ	ʔˈanɨd͡ʒelo
ዕውቀት	ʔˈɨwɨk`ət
የሚችል	jˈəmit͡ʃɨl
የተነሣ	jˈətənəsa
የአሜሪካ	jˈəʔamerika
ይዘው	jˈɨzəw
ሆይ	hˈoj
ማይክል	mˈajɨkɨl
በጊዜው	bˈəɡizew
ባሕር	bˈahɨr
ቶሎ	tˈolo
አበበ	ʔˈaβəβə
አንጻር	ʔˈanɨtsar
ገብረ	ɡˈəβɨrə
ለአንድ	lˈəʔanɨd
ማኅበር	mˈahɨβər
ሰላም	sˈəlam
በዘመኑ	bˈəzəmənu
ንጉሡ	nˈɨɡusu
እንግሊዝኛ	ʔˈɨnɨɡɨlizɨɲa
እያሉ	ʔˈɨjalu
ኪዳን	kˈidan
ክብር	kˈɨβɨr
የአካባቢውን	jˈəʔakaβaβiwɨn
ገደማ	ɡˈədəma
መዝገቦች	mˈəzɨɡəβot͡ʃ
ሳይንስ	sˈajɨnɨs
ስልጣን	sˈɨlɨt`an
ስሙን	sˈɨmun
ስሜን	sˈɨmen
ስፋት	sˈɨfat
በርስ	bˈərɨs
ትምህርቱን	tˈɨmɨhɨrɨtun
የሚሉ	jˈəmilu
የራሱን	jˈərasun
የተገኘ	jˈətəɡəɲə
የግብጽ	jˈəɡɨβɨts
ጉዞ	ɡˈuzo
ሕገ	hˈɨɡə
ትክክለኛ	tˈɨkɨkɨləɲa
አስተያየት	ʔˈasɨtəjajət
አስፈላጊ	ʔˈasɨfəlaɡi
እንስሳ	ʔˈɨnɨsɨsa
የያዘ	jˈəjazə
ያንጊዜ	jˈanɨɡize
ለምን	lˈəmɨn
መሃል	mˈəhal
ማዕከል	mˈaʔɨkəl
ምዕራፍ	mˈɨʔɨraf
ሥጋ	sˈɨɡa
ሰሜን	sˈəmen
ሽልማት	ʃˈɨlɨmat
ቋሚ	k`wˈami
በነዚህ	bˈənəziç
በከፍተኛ	bˈəkəfɨtəɲa
ተማሪ	tˈəmari
ተከታይ	tˈəkətaj
ተከታዮች	tˈəkətajot͡ʃ
አሥራ	ʔˈasɨra
እኒህ	ʔˈɨniç
ወጣት	wˈət`at
ማን	mˈan
ምስራቅ	mˈɨsɨrak`
ቀደም	k`ˈədəm
ቴዎድሮስ	tˈewodɨros
አላህ	ʔˈalax
አንተ	ʔˈanɨtə
እንስሳት	ʔˈɨnɨsɨsat
እኛ	ʔˈɨɲa
ከባድ	kˈəβad
ዓፄ	ʔˈatse
ዝርያዎች	zˈɨrɨjawot͡ʃ
የትምህርት	jˈətɨmɨhɨrɨt
ይሆናል	jˈɨhonal
ይባል	jˈɨβal
ሃይል	hˈajɨl
መነሻ	mˈənəʃa
በውስጡ	bˈəwɨsɨt`u
ብዬ	bˈɨje
ትዕዛዝ	tˈɨʔɨzaz
ትግል	tˈɨɡɨl
ና	nˈa
አቡነ	ʔˈaβunə
ኢትዮጵያን	ʔˈitɨjop`ɨjan
እሱም	ʔˈɨsum
ከነዚህም	kˈənəzihɨm
ክፍላገር	kˈɨfɨlaɡər
ወረራ	wˈərəra
ዞን	zˈon
የተለየ	jˈətələjə
ፕሬዚደንት	pˈɨrezidənɨt
ልማድ	lˈɨmad
መንግሥቱ	mˈənɨɡɨsɨtu
መኮንን	mˈəkonɨn
ሚኒስቴር	mˈinisɨter
ቅኝ	k`ˈɨɲ
ቅድስት	k`ˈɨdɨsɨt
በሞት	bˈəmot
በአብዛኛው	bˈəʔaβɨzaɲaw
ታላቁ	tˈalak`u
አልጋ	ʔˈalɨɡa
አንድላይ	ʔˈanɨdɨlaj
አይነቶች	ʔˈajɨnətot͡ʃ
ወደፊት	wˈədəfit
የቤተ	jˈəβetə
ገዳም	ɡˈədam
ፍልስፍና	fˈɨlɨsɨfɨna
ሁሉንም	hˈulunɨm
ሌሎችም	lˈelot͡ʃɨm
ምሁራን	mˈɨhuran
ምሥራቅ	mˈɨsɨrak`
ምንጊዜም	mˈɨnɨɡizem
ሰቀል	sˈək`əl
ስትሆን	sˈɨtɨhon
ቀበሮዎች	k`ˈəβərowot͡ʃ
በዚያን	bˈəzijan
ተቃራኒ	tˈək`arani
ነገሮችን	nˈəɡərot͡ʃɨn
አምባ	ʔˈamɨβa
አንዲት	ʔˈanɨdit
አፍሪካ	ʔˈafɨrika
እርዳታ	ʔˈɨrɨdata
እንዲያውም	ʔˈɨnɨdijawɨm
እንዳለ	ʔˈɨnɨdalə
ካሬ	kˈare
ዋናው	wˈanaw
ውል	wˈɨl
ዘ	zˈə
ዙፋን	zˈufan
የላቲን	jˈəlatin
የተለያየ	jˈətələjajə
የንግድ	jˈənɨɡɨd
ያን	jˈan
ጠንካራ	t`ˈənɨkara
ሆኑ	hˈonu
ሥራዎች	sˈɨrawot͡ʃ
ሲጨምር	sˈit͡ʃ`əmɨr
ሺ	ʃˈi
በሆነ	bˈəhonə
በትክክል	bˈətɨkɨkɨl
ቤተሰብ	bˈetəsəb
ተቋም	tˈək`wam
አስተዳዳሪ	ʔˈasɨtədadari
አብረው	ʔˈaβɨrəw
ኢትዮጵያዊ	ʔˈitɨjop`ɨjawi
እሳት	ʔˈɨsat
ወታደራዊ	wˈətadərawi
ዕድሜ	ʔˈɨdɨme
የደም	jˈədəm
ድምፅ	dˈɨmɨts
ጠቃሚ	t`ˈək`ami
ጥረት	t`ˈɨrət
ጭምር	t͡ʃ`ˈɨmɨr
ልሳናት	lˈɨsanat
መደብ	mˈədəb
ማንኛውም	mˈanɨɲawɨm
ራሱን	rˈasun
ሲገመት	sˈiɡəmət
ቀመር	k`ˈəmər
በመጀመሪያ	bˈəməd͡ʒəmərija
በምድር	bˈəmɨdɨr
ታላላቅ	tˈalalak`
ወንድም	wˈənɨdɨm
ወንጌል	wˈənɨɡel
ወገኖች	wˈəɡənot͡ʃ
ያሕል	jˈahɨl
ደራሲ	dˈərasi
ህግ	hˈɨɡ
ማናቸውም	mˈanat͡ʃəwɨm
ማወቅ	mˈawək`
ሳለ	sˈalə
በቅርቡ	bˈək`ɨrɨβu
ባህል	bˈahɨl
ንጉሱ	nˈɨɡusu
አብዛኞቹ	ʔˈaβɨzaɲot͡ʃu
ወዲህ	wˈədiç
ወዲያው	wˈədijaw
የሆነውን	jˈəhonəwɨn
የተመሠረተ	jˈətəməsərətə
የኢትዮጵያን	jˈəʔitɨjop`ɨjan
የዘር	jˈəzər
ይፋዊ	jˈɨfawi
ደስ	dˈəs
ዳር	dˈar
ድንግል	dˈɨnɨɡɨl
ጽሑፎች	tsˈɨhufot͡ʃ
ፍሬ	fˈɨre
ልጁን	lˈɨd͡ʒun
መሰረታዊ	mˈəsərətawi
ማስረጃ	mˈasɨrəd͡ʒa
ሥራዊት	sˈɨrawit
ረገድ	rˈəɡəd
ቴክኖሎጂ	tˈekɨnolod͡ʒi
አለው	ʔˈaləw
አሜሪካ	ʔˈamerika
ወርቅ	wˈərɨk`
ዘውድ	zˈəwɨd
የእጅ	jˈəʔɨd͡ʒ
ደቂቃ	dˈək`ik`a
ድጋፍ	dˈɨɡaf
ገዛ	ɡˈəza
ጉባኤ	ɡˈuβaʔe
ግዛቶች	ɡˈɨzatot͡ʃ
ጸሐፊ	tsˈəhafi
ፓርቲ	pˈarɨti
ሕዝቡ	hˈɨzɨβu
ምህንድስና	mˈɨhɨnɨdɨsɨna
በተደረገው	bˈətədərəɡəw
በደንብ	bˈədənɨb
በግዕዝ	bˈəɡɨʔɨz
ተቋማት	tˈək`wamat
ትክክል	tˈɨkɨkɨl
ነበርና	nˈəβərɨna
ነኝ	nˈəɲ
አረፍተ	ʔˈarəfɨtə
አብያተ	ʔˈaβɨjatə
አንዳንዴ	ʔˈanɨdanɨde
ከክርስቶስ	kˈəkɨrɨsɨtos
ውሸት	wˈɨʃət
የአገሪቱ	jˈəʔaɡəritu
