က	ka̰
ကမ္ဘာလုံးခြမ်း	ɡəbàlóʊɴd͡ʑàɴ
ကမ္ဘောဒီးယား	kàɴbɔ́díjá
ကမ်စော်	kàɴzɔ̀
ကမ်း	káɴ
ကမ်းခြေ	káɴd͡ʑè
ကယား	kəjá
ကယ်တင်ရှင်	kɛ̀tɪ̀ɴʃɪ̀ɴ
ကယ်လဆီယမ်	kɛ̀ləsʰìjàɴ
ကရင်	kəjɪ̀ɴ
ကရစ်ကက်	kəɹɪʔkɛʔ
ကရဝိက်	kəɹa̰weɪʔ
ကရိန်း	kəɹéɪɴ
ကလပ်	kəlaʔ
ကလမောင်း	kələmáʊɴ
ကလာပ်စည်း	kəlaʔsí
ကလိုရင်း	kəlòɹɪ́ɴ
ကလီစာ	kəlìzà
ကလောင်	kəlàʊɴ
ကလေး	kʰəlé
ကလျာ	kələjà
ကလျာဏမိတ္တ	kələjàna̰meɪʔta̰
ကလျာဏီ	kələjànì
ကဝိ	kəwḭ
ကဝေ	kəwè
ကသည်း	kəθí
ကာ	kà
ကာကွယ်	kàɡwɛ̀
ကာကွယ်ဆေး	kàɡwɛ̀zé
ကာကွယ်ရေး	kàɡwɛ̀jé
ကာဂစ်စတန်	kəɡɪʔsətàɴ
ကာဂျစ္စတန်	kəd͡ʑɪʔsətàɴ
ကာဇက်စတန်	kàzɛʔsətàɴ
ကာတာ	kàtà
ကာတွန်း	kàtʊ́ɴ
ကာဗွန်	kàbʊ̀ɴ
ကာမ	kàma̰
ကာယ	kəja̰
ကာယကံ	kàjəɡàɴ
ကာယပညာ	kàja̰pa̰ɲà
ကာရန်	kəjàɴ
ကာလ	kàla̰
ကာလဝမ်း	kàləwʊ́ɴ
ကာလသား	kàləðá
ကာလသားရောဂါ	kàla̰θájɔ́ɡà
ကာလာမသုတ်	kàlàma̰θoʊʔ
ကာလီဖိုးနီးယား	kàlìpʰóníjá
ကား	ká
ကားဂိတ်	káɡeɪʔ
ကားမှတ်တိုင်	kám̥aʔtàɪɴ
ကားရုံ	kájòʊɴ
ကိစ္စ	keɪʔsa̰
ကိတ်	keɪʔ
ကိတ်ဗာဒီ	keɪʔbədì
ကိတ်မုန့်	keɪʔmo̰ʊɴ
ကိန္နရာ	kèɪɴnəjà
ကိန္နရီ	kèɪɴnəjì
ကိန်း	kéɪɴ
ကိမိလဗေဒ	kḭmḭla̰bèda̰
ကိရိယာ	kəɹḭjà
ကိလေသာ	kḭlèθà
ကို	kò
ကို	ɡò
ကို	ɴ
ကို	ʔ
ကိုကာကိုလာ	kòkàkòlà
ကိုက်	kaɪʔ
ကိုက်လန်	kaɪʔlàɴ
ကိုင်	kàɪɴ
ကိုဆိုဗို	kòsʰòbò
ကိုဘော့	kòbɔ̰
ကိုမိုရို	kòmòɹò
ကိုယ့်ဥမှဥထင်	ko̰jʔṵm̥a̰ʔṵtʰɪ̀ɴ
ကိုယ်	kò
ကိုယ်စားလှယ်	kòjzəl̥ɛ̀
ကိုယ်လုပ်တော်	kòloʊʔtɔ̀
ကိုယ်ဝန်	kòjwʊ̀ɴ
ကိုယ်ဝန်ဆောင်	kòjwʊ̀ɴsʰàʊɴ
ကိုယ်ဝန်ရှိ	kòjwʊ̀ɴʃḭ
ကိုရမ်ကျမ်း	kòɹàɴt͡ɕáɴ
ကိုရီးယား	kòɹíjá
ကိုလိုနီ	kòlònì
ကိုလံဘီယာ	kòlàɴbìjà
ကိုး	kó
ကိုးကန့်	kóɡa̰ɴ
ကိုးလ	kóla̰
ကီလိုဂရမ်	kìlòɡəɹàɴ
ကီးမား	kímá
ကီးယက်	kíjɛʔ
ကုဋေ	ɡədè
ကုတ်	koʊʔ
ကုတ်ဟီးနာ	koʊʔhínà
ကုန်	kòʊɴ
ကုန်ကား	kòʊɴɡá
ကုန်ကုန်	kòʊɴɡòʊɴ
ကုန်စည်	kòʊɴzì
ကုန်တင်ကား	kòʊɴdɪ̀ɴɡá
ကုန်သည်	kòʊɴðè
ကုန်း	kóʊɴ
ကုန်းနှီး	kóʊɴn̥í
ကုဗ	kṵba̰
ကုမ္ပဏီ	kòʊɴpənì
ကုလသမဂ္ဂ	kṵla̰θa̰mɛʔɡa̰
ကုလား	kəlá
ကုလားထိုင်	kələtʰàɪɴ
ကုလားနို့	kələno̰
ကုလားပဲ	kələpɛ́
ကုလားဖြူ	kələpʰjù
ကုလားအုတ်	kələʔoʊʔ
ကုသိုလ်	kṵθò
ကုသိုလ်ကံ	kṵðòɡàɴ
ကုသိုလ်ရှင်	kṵθòʃɪ̀ɴ
ကုံကုမံ	ɡòʊɴɡəmàɴ
ကူ	kù
ကူညီ	kùɲì
ကူဖီ	kùpʰì
ကူလီ	kùlì
ကူဝိတ်	kùweɪʔ
ကူး	kú
ကူးစက်ရောဂါ	kúzɛʔjɔ́ɡà
ကူးတို့	ɡədo̰
ကူးတို့ဆိပ်	ɡədo̰zeɪʔ
ကူးပြောင်း	kúpjáʊɴ
ကေ	kè
ကေတုမဒီ	kètṵmədì
ကေသ	kèθa̰
ကေသာ	kèθà
ကော	kɔ́
ကော	ɡɔ́
ကောက်	kaʊʔ
ကောက်ညှင်း	kaʊʔɲ̊ɪ́ɴ
ကောက်ညှင်းပေါင်း	kaʊʔɲ̊ɪ́ɴbáʊɴ
ကောက်ရိုး	kaʊʔjó
ကောင်	kàʊɴ
ကောင်ငယ်	kàʊɴŋɛ̀
ကောင်စစ်ဝန်	kàʊɴsɪʔwʊ̀ɴ
ကောင်စစ်ဝန်ရုံး	kàʊɴsɪʔwʊ̀ɴjóʊɴ
ကောင်စီ	kàʊɴsì
ကောင်တာ	kàʊɴtà
ကောင်မငယ်	kàʊɴma̰ŋɛ̀
ကောင်မလေး	kàʊɴma̰lé
ကောင်း	káʊɴ
ကောင်းကင်	káʊɴɡɪ̀ɴ
ကောင်းကင်ကြိုး	káʊɴɡɪ̀ɴd͡ʑó
ကောင်းကင်တမန်	káʊɴɡɪ̀ɴtəmàɴ
ကောင်းကင်ဘုံ	káʊɴɡɪ̀ɴbòʊɴ
ကောင်းကောင်း	káʊɴɡáʊɴ
ကောဏဂုံ	kɔ́nəɡòʊɴ
ကောဏဂုံဘုရား	kɔ́nəɡòʊɴpʰəjá
ကောဏ္ဍည	kɔ̀ndəɲa̰
ကောဏ္ဍညဘုရား	kɔ̀ndəɲa̰pʰəjá
ကောလာဟလ	kɔ́làha̰la̰
ကောလိပ်	kɔ́leɪʔ
ကောလိသိန်	kɔ́lḭθèɪɴ
ကော့စတာရီကာ	kɔ̰sətàɹìkà
ကော်	kɔ̀
ကော်ဇော	kɔ̀zɔ́
ကော်တွန်	kɔ̀tʊ̀ɴ
ကော်ပီ	kɔ̀pì
ကော်ပီစာအုပ်	kɔ̀pìsàʔoʊʔ
ကော်ပြန့်	kɔ̀pja̰ɴ
ကော်ပြန့်ကြော်	kɔ̀pja̰ɴd͡ʑɔ̀
ကော်ပြန့်စိမ်း	kɔ̀pja̰ɴzéɪɴ
ကော်ဖီ	kɔ̀pʰì
ကော်မတီ	kɔ̀mətì
ကော်ရည်ခေါက်ဆွဲ	kɔ̀jìkʰaʊʔsʰwɛ́
ကော်လာ	kɔ̀là
ကဲ့	kɛ̰
ကံ	kàɴ
ကံကြမ္မာ	kàɴt͡ɕəmà
ကံသုံးပါး	kàɴθóʊɴbá
ကံ့ကူတံ	ka̰ɴɡùdàɴ
ကံ့ကော်	ɡa̰ɴɡɔ̀
ကျ	t͡ɕa̰
ကျက်သရေ	t͡ɕɛʔθəjè
ကျင်ကြီး	t͡ɕɪ̀ɴd͡ʑí
ကျင်ချောင်း	t͡ɕɪ̀ɴt͡ɕʰáʊɴ
ကျင်စွယ်	t͡ɕɪ̀ɴzwɛ̀
ကျဉ်း	t͡ɕɪ́ɴ
ကျဉ်းကျပ်	t͡ɕɪ́ɴt͡ɕaʔ
ကျည်	t͡ɕì
ကျည်ကပ်	t͡ɕìɡaʔ
ကျည်ဖူး	t͡ɕìbú
ကျနော်	t͡ɕənɔ̀
ကျန်	t͡ɕàɴ
ကျန်း	t͡ɕáɴ
ကျန်းမာရေး	t͡ɕáɴmàjé
ကျပ်	t͡ɕaʔ
ကျပ်သား	t͡ɕaʔθá
ကျမ	t͡ɕəma̰
ကျယ်	t͡ɕɛ̀
ကျယ်ဝန်း	t͡ɕɛ̀wʊ́ɴ
ကျား	t͡ɕá
ကျားကျားလျားလျား	t͡ɕád͡ʑájájá
ကျားမ	t͡ɕáma̰
ကျားမျက်လုံး	t͡ɕámjɛʔlóʊɴ
ကျားလက်သည်း	t͡ɕálɛʔθɛ́
ကျားလျှာ	t͡ɕáʃà
ကျားသစ်	t͡ɕəθɪʔ
ကျိန္တလီ	t͡ɕèɪɴta̰lì
ကျိန်း	t͡ɕéɪɴ
ကျို	t͡ɕò
ကျိုက္ခမီ	t͡ɕaɪʔkʰəmì
ကျိုက်ထို	t͡ɕaɪʔtʰò
ကျိုက်ထီးရိုး	t͡ɕaɪʔtʰíjó
ကျိုက်မရော	t͡ɕaɪʔməɹɔ́
ကျိုင်းတုံ	t͡ɕáɪɴtòʊɴ
ကျီး	t͡ɕí
ကျီးအ	t͡ɕíʔa̰
ကျုပ်	t͡ɕoʊʔ
ကျုပ်တို့	t͡ɕoʊʔto̰
ကျူးဘား	t͡ɕúbá
ကျော	t͡ɕɔ́
ကျောက်	t͡ɕaʊʔ
ကျောက်ကပ်	t͡ɕaʊʔkaʔ
ကျောက်ကြီး	t͡ɕaʊʔt͡ɕí
ကျောက်ဂွမ်း	t͡ɕaʊʔɡʊ́ɴ
ကျောက်စိမ်း	t͡ɕaʊʔséɪɴ
ကျောက်နီ	t͡ɕaʊʔnì
ကျောက်ပွင့်သုပ်	t͡ɕaʊʔpwɪ̰ɴθoʊʔ
ကျောက်ဖရုံ	t͡ɕaʊʔpʰəjòʊɴ
ကျောက်ဖြူ	t͡ɕaʊʔpʰjù
ကျောက်မီး	t͡ɕaʊʔmí
ကျောက်မီးသွေး	t͡ɕaʊʔmíðwé
ကျောက်သင်ပုန်း	t͡ɕaʊʔθɪ̀ɴbóʊɴ
ကျောင်း	t͡ɕáʊɴ
ကျောင်းနေဖက်	t͡ɕáʊɴnèbɛʔ
ကျောင်းသား	t͡ɕáʊɴðá
ကျောင်းသုံးစာအုပ်	t͡ɕáʊɴðóʊɴsàʔoʊʔ
ကျောင်းသူ	t͡ɕáʊɴðù
ကျောပိုးအိတ်	t͡ɕɔ́bóʔeɪʔ
ကျောရိုး	t͡ɕɔ́jó
ကျေးဇူး	t͡ɕézú
ကျေးဇူးတင်	t͡ɕézútɪ̀ɴ
ကျေးဇူးတင်ပါတယ်	t͡ɕézútɪ̀ɴbàdɛ̀
ကျေးဇူးပြု၍	t͡ɕézúpjṵjwḛ
ကျေးဇူးရှင်	t͡ɕézúʃɪ̀ɴ
ကျဲ	t͡ɕɛ́
ကျွန်	t͡ɕʊ̀ɴ
ကျွန်တော့်	t͡ɕʊ̀ɴdɔ̰
ကျွန်တော်	t͡ɕʊ̀ɴdɔ̀
ကျွန်တော်တို့	t͡ɕʊ̀ɴdɔ̀do̰
ကျွန်မ	t͡ɕʊ̀ɴma̰
ကျွန်မတို့	t͡ɕʊ̀ɴma̰do̰
ကျွန်း	t͡ɕʊ́ɴ
ကျွန်းကလေး	t͡ɕʊ́ɴɡəlé
ကျွန်းကိုင်းမှီကိုင်းကျွန်းမှီ	t͡ɕʊ́ɴkáɪɴm̥ìkáɪɴt͡ɕʊ́ɴm̥ì
ကျွန်းဆွယ်	t͡ɕʊ́ɴzwɛ̀
ကျွဲ	t͡ɕwɛ́
ကျွဲကော	t͡ɕwɛ́ɡɔ́
ကျွဲပြည့်စင်	t͡ɕwɛ́pjḭzɪ̀ɴ
ကြက်	t͡ɕɛʔ
ကြက်ခြေ	t͡ɕɛʔt͡ɕʰè
ကြက်ခြေနီ	t͡ɕɛʔt͡ɕʰènì
ကြက်ခြေနီအသင်း	t͡ɕɛʔt͡ɕʰènìʔəθɪ́ɴ
ကြက်ဆင်	t͡ɕɛʔsʰɪ̀ɴ
ကြက်ဆီထမင်း	t͡ɕɛʔsʰìtʰəmɪ́ɴ
ကြက်ဆူ	t͡ɕɛʔsʰù
ကြက်တူရွေး	t͡ɕɛʔtùjwé
ကြက်ဖ	t͡ɕɛʔpʰa̰
ကြက်မ	t͡ɕɛʔma̰
ကြက်မောက်	t͡ɕɛʔmaʊʔ
ကြက်မောက်သီး	t͡ɕɛʔmaʊʔθí
ကြက်သား	t͡ɕɛʔθá
ကြက်သီးထ	t͡ɕɛʔθéɪɴtʰa̰
ကြက်သီးမွေးညင်းထ	t͡ɕɛʔθéɪɴmwéɲɪ́ɴtʰa̰
ကြက်သွန်	t͡ɕɛʔθʊ̀ɴ
ကြက်သွန်နီ	t͡ɕɛʔθʊ̀ɴnì
ကြက်သွန်ဖြူ	t͡ɕɛʔθʊ̀ɴbjù
ကြက်သွန်မြိတ်	t͡ɕɛʔθʊ̀ɴmjeɪʔ
ကြက်ဟင်းခါးသီး	t͡ɕɛʔhɪ́ɴɡáðí
ကြက်အူချောင်း	t͡ɕɛʔʔùd͡ʑáʊɴ
ကြခတ်ဝါး	t͡ɕəkʰaʔwá
ကြငှန်း	t͡ɕəŋ̊áɴ
ကြဉ်	t͡ɕɪ̀ɴ
ကြည့်	t͡ɕḭ
ကြည့်မြင်တိုင်	t͡ɕḭmjɪ̀ɴdàɪɴ
ကြည်	t͡ɕì
ကြည်	t͡ɕɪ̀ɴ
ကြည်းတပ်	t͡ɕídaʔ
ကြမ္မာ	t͡ɕəmà
ကြမ်း	t͡ɕáɴ
ကြယ်	t͡ɕɛ̀
ကြယ်စု	t͡ɕɛ̀zṵ
ကြယ်တံခွန်	t͡ɕɛ̀dəɡʊ̀ɴ
ကြယ်သီး	t͡ɕɛ̀θí
ကြာ	t͡ɕà
ကြာကြာ	t͡ɕàd͡ʑà
ကြာချည်	t͡ɕàt͡ɕʰì
ကြာဆံ	t͡ɕàzàɴ
ကြာဆံသုပ်	t͡ɕàzàɴθoʊʔ
ကြာညို့	t͡ɕàɲo̰
ကြာသပတေး	t͡ɕàθa̰pa̰dé
ကြား	t͡ɕá
ကြိမ်	t͡ɕèɪɴ
ကြိယာ	kəɹḭjà
ကြိယာဝိသေသန	kəɹḭjàwḭθèθəna̰
ကြိုက်	t͡ɕaɪʔ
ကြိုဆိုပါ၏	t͡ɕòzòbàʔɛ̰
ကြို့	t͡ɕo̰
ကြိုး	t͡ɕó
ကြိုးကြာ	d͡ʑód͡ʑà
ကြိုးစင်	t͡ɕózɪ̀ɴ
ကြိုးစား	t͡ɕózá
ကြီး	t͡ɕí
ကြီးကြီး	t͡ɕíd͡ʑí
ကြီးမား	t͡ɕímá
ကြောက်	t͡ɕaʊʔ
ကြောင့်	d͡ʑa̰ʊɴ
ကြောင်	t͡ɕàʊɴ
ကြောင်ကလေး	t͡ɕàʊɴɡəlé
ကြောင်ထီး	t͡ɕàʊɴdí
ကြောင်မ	t͡ɕàʊɴma̰
ကြောင်လိမ်လှေကား	t͡ɕàʊɴlèɪɴl̥èɡá
ကြောင်အိမ်	t͡ɕàʊɴʔèɪɴ
ကြော်	t͡ɕɔ̀
ကြော်ငြာ	t͡ɕɔ̀ɲà
ကြော်ငြာစာ	t͡ɕɔ̀ɲàzà
ကြေး	t͡ɕé
ကြေးကြီး	t͡ɕét͡ɕí
ကြေးငွေ	t͡ɕéŋwè
ကြေးစည်	t͡ɕézì
ကြေးနန်း	t͡ɕénáɴ
ကြေးနီ	t͡ɕénì
ကြေးမုံ	t͡ɕémòʊɴ
ကြေးဝါ	t͡ɕéwà
ကြေးအိုး	t͡ɕéʔó
ကြံ	t͡ɕàɴ
ကြံ့	t͡ɕa̰ɴ
ကြံ့လျော်	t͡ɕa̰ɴʃɔ̀
ကြွ	t͡ɕwa̰
ကြွက်	t͡ɕwɛʔ
ကြွက်နို့	t͡ɕwɛʔno̰
ကြွက်သား	t͡ɕwɛʔθá
ကြွင်း	t͡ɕwɪ́ɴ
ကြွပ်	t͡ɕʊʔ
ကြွယ်	t͡ɕwɛ̀
ကြွေ	t͡ɕwè
ကြွေး	t͡ɕwé
ကွင်း	kwɪ́ɴ
ကွင်းထိုးဖိနပ်	ɡwɪ́ɴdópʰənaʔ
ကွတ်	kʊʔ
ကွန်	kʊ̀ɴ
ကွန်ကရစ်	kʊ̀ɴɡəɹɪʔ
ကွန်ဂို	kʊ̀ɴɡò
ကွန်ဒုံး	kʊ̀ɴdóʊɴ
ကွန်ပါ	kʊ̀ɴpà
ကွန်ပျူတာ	kʊ̀ɴpjùtà
ကွန်ဖရင့်	kʊ̀ɴpʰəɹɪ̰ɴ
ကွန်ဖြူးရှပ်	kʊ̀ɴpʰjúʃaʔ
ကွန်ရက်	kʊ̀ɴjɛʔ
ကွမ်ရင်	kwàɴjɪ̀ɴ
ကွမ်ရင်မယ်တော်	kwàɴjɪ̀ɴmɛ̀dɔ̀
ကွမ်းတောင်	kʊ́ɴdàʊɴ
ကွမ်းမွှေး	kʊ́ɴm̥wé
ကွမ်းယာ	kʊ́ɴjà
ကွမ်းရွက်ပင်	kʊ́ɴjwɛʔpɪ̀ɴ
ကွယ်လွန်	kwɛ̀lʊ̀ɴ
ကွာစေ့	kwàsḭ
ကွာလာလမ်ပူ	kwàlàlàɴpù
ကွီး	kwí
ကွဲ	kwɛ́
ကဿပ	kaʔθəpa̰
ကဿပဘုရား	kaʔθəpa̰pʰəjá
ခ	kʰa̰
ခက်	kʰɛʔ
ခက်ရင်း	kʰəjɪ́ɴ
ခကွေး	kʰa̰ɡwé
ခင်	kʰɪ̀ɴ
ခင်ပွန်း	kʰɪ̀ɴbʊ́ɴ
ခင်ဗျာ	kʰəmjà
ခင်ဗျာ့	kʰɪ̀ɴbja̰
ခင်ဗျား	kʰɪ̀ɴbjá
ခင်ဗျားတို့	kʰɪ̀ɴbjádo̰
ခင်မင်မှု	kʰɪ̀ɴmɪ̀ɴm̥ṵ
ခဏ	kʰəna̰
ခဏခဏ	kʰəna̰ɡəna̰
ခတ္တိယ	kʰaʔtḭja̰
ခနုံထုပ်	kʰənòʊɴdoʊʔ
ခနုံအီ	kʰənòʊɴʔì
ခန္တီ	kʰàɴtì
ခန္ဓာ	kʰàɴdà
ခန္ဓာငါးပါး	kʰàɴdàŋábá
ခန္ဓာဗေဒ	kʰàɴdàbèda̰
ခန်တမာ	kʰàɴtəmà
ခန်း	kʰáɴ
ခပ်သိမ်း	kʰaʔθéɪɴ
ခမည်းတော်	kʰəmídɔ̀
ခမာ	kʰəmà
ခမောက်	kʰəmaʊʔ
ခယ်မ	kʰɛ̀ma̰
ခရင်း	kʰəjɪ́ɴ
ခရစ္စမတ်	kʰəɹɪʔsəmaʔ
ခရစ်	kʰəɹɪʔ
ခရစ်တော်	kʰəɹɪʔtɔ̀
ခရစ်ယာန်	kʰəɹɪʔjàn
ခရမ်း	kʰəjáɴ
ခရမ်းချဉ်	kʰəjáɴd͡ʑɪ̀ɴ
ခရမ်းသီး	kʰəjáɴθí
ခရာမွှေး	kʰəjàm̥wé
ခရိုင်	kʰəjàɪɴ
ခရိုမီယမ်	kʰəɹòmìjàɴ
ခရိုအေးရှား	kʰəɹòʔéʃá
ခရီး	kʰəjí
ခရီးသည်	kʰəjíðè
ခရု	kʰəjṵ
ခရုပက်ကျိ	kʰəjṵpɛʔt͡ɕḭ
ခရေ	kʰəjè
ခလာသီ	kʰəlàθì
ခလုတ်	kʰəloʊʔ
ခလုတ်ခုံ	kʰəloʊʔkʰòʊɴ
ခဝဲ	kʰəwɛ́
ခါ	kʰà
ခါး	kʰá
ခါးပတ်	ɡəbaʔ
ခို	kʰò
ခိုး	kʰó
ခိုးစား	kʰósá
ခု	kʰṵ
ခုခံအားကျရောဂါ	kʰṵɡàɴʔát͡ɕa̰jɔ́ɡà
ခုနစ်	kʰʊ̀ɴn̥ɪʔ
ခုနစ်လ	kʰʊ̀ɴn̥əla̰
ခုန်	kʰòʊɴ
ခုံတန်းလျား	kʰòʊɴtáɴjá
ခုံရှည်	kʰòʊɴʃè
ခေတ္တ	kʰɪʔta̰
ခေတ်	kʰɪʔ
ခေမာရဋ္ဌ	kʰèmàjətʰa̰
ခေါက်	kʰaʊʔ
ခေါက်ဆွဲ	kʰaʊʔsʰwɛ́
ခေါက်ဆွဲဆိုင်	kʰaʊʔsʰwɛ́zàɪɴ
ခေါက်ဆွဲသုပ်	kʰaʊʔsʰwɛ́θoʊʔ
ခေါက်မုန့်	kʰaʊʔmo̰ʊɴ
ခေါင်း	kʰáʊɴ
ခေါင်း	ɡáʊɴ
ခေါင်းဆောင်	ɡáʊɴsʰàʊɴ
ခေါင်းဆောင်	ɡáʊɴzàʊɴ
ခေါင်းပေါင်း	ɡáʊɴbáʊɴ
ခေါင်းလောင်း	kʰáʊɴláʊɴ
ခေါင်းလျှော်ရည်	ɡáʊɴʃɔ̀jè
ခေါင်းအုံး	ɡáʊɴʔóʊɴ
ခေါပုတ်	kʰɔ́boʊʔ
ခေါပျဉ်	kʰɔ́bjɪ̀ɴ
ခေါ်	kʰɔ̀
ခေး	kʰé
ခဲ	kʰɛ́
ခဲတံ	kʰɛ́dàɴ
ခဲဖျက်	kʰɛ́bjɛʔ
ခဲယဉ်း	kʰɛ́jɪ́ɴ
ခဲအို	kʰɛ́ʔò
ခဲ့	kʰɛ̰
ခဲ့	ɡɛ̰
ခံ	kʰàɴ
ခံစား	kʰàɴzá
ခံတပ်	kʰàɴdaʔ
ခံမြို့	kʰàɴmjo̰
ခံယူချက်	kʰàɴjùd͡ʑɛʔ
ချက်	t͡ɕʰɛʔ
ချက်ကြိုး	t͡ɕʰɛʔt͡ɕó
ချက်သမ္မတ	t͡ɕʰɛʔθəməda̰
ချင်	t͡ɕʰɪ̀ɴ
ချင်း	d͡ʑɪ́ɴ
ချင်း	t͡ɕʰɪ́ɴ
ချင်းမိုင်	t͡ɕʰɪ́ɴmàɪɴ
ချင်းသုပ်	d͡ʑɪ́ɴðoʊʔ
ချစ်	t͡ɕʰɪʔ
ချစ်ခင်	t͡ɕʰɪʔkʰɪ̀ɴ
ချစ်တီး	t͡ɕʰɪʔtí
ချစ်သူ	t͡ɕʰɪʔθù
ချဉ်	t͡ɕʰɪ̀ɴ
ချဉ်ပေါင်	t͡ɕʰɪ̀ɴbàʊɴ
ချည်	t͡ɕʰì
ချည်လုံး	t͡ɕʰìlóʊɴ
ချဒ်	t͡ɕʰàd
ချပါတီ	t͡ɕʰəpàtì
ချပ်	d͡ʑaʔ
ချမ်း	t͡ɕʰáɴ
ချယ်ရီ	t͡ɕʰɛ̀ɹì
ချာတိတ်	t͡ɕʰàteɪʔ
ချားလ်	t͡ɕʰál
ချိတ်	d͡ʑeɪʔ
ချို	d͡ʑò
ချို	t͡ɕʰò
ချိုချဉ်	t͡ɕʰòt͡ɕʰɪ̀ɴ
ချိုး	t͡ɕʰó
ချီလီ	t͡ɕʰìlì
ချုပ်	t͡ɕʰoʊʔ
ချူးအင်းဂမ်း	t͡ɕʰúʔɪ́ɴɡáɴ
ချေ	d͡ʑè
ချေ	d͡ʑì
ချေ	t͡ɕʰè
ချေ	t͡ɕʰì
ချော	t͡ɕʰɔ́
ချောကလက်	t͡ɕʰɔ́kəlɛʔ
ချောက်	t͡ɕʰaʊʔ
ချောင်	t͡ɕʰàʊɴ
ချောင်း	t͡ɕʰáʊɴ
ချော်	t͡ɕʰɔ̀
ချေး	t͡ɕʰí
ချေးထုပ်	t͡ɕʰétʰoʊʔ
ချဲ့ချဲ့	t͡ɕʰɛ̰d͡ʑɛ̰
ချွန်	t͡ɕʰʊ̀ɴ
ချွန်ထက်	t͡ɕʰʊ̀ɴtʰɛʔ
ချွေး	t͡ɕʰwé
ချွေးမ	t͡ɕʰwéma̰
ချွံချွံ	t͡ɕʰʊ̀ɴd͡ʑʊ̀ɴ
ခြ	t͡ɕʰa̰
ခြင်	t͡ɕʰɪ̀ɴ
ခြင်း	t͡ɕʰɪ́ɴ
ခြင်းလုံး	t͡ɕʰɪ́ɴlóʊɴ
ခြင်္သေ့	t͡ɕʰɪ̀ɴðḛ
ခြင်္သေ့ကလေး	t͡ɕʰɪ̀ɴðḛɡəlé
ခြင်္သေ့မ	t͡ɕʰɪ̀ɴðḛma̰
ခြည်	t͡ɕʰì
ခြတောင်ပို့	t͡ɕʰa̰tàʊɴbo̰
ခြမ်း	t͡ɕʰáɴ
ခြား	t͡ɕʰá
ခြားနား	t͡ɕʰáná
