.f	ʔɛf
grg	ɡɛrɛɡ
grgt	kʼaɾuːkʼVt
grgt	kʼaɾuːkʼVʔ
grgt	kʼəɾeːkʼə
grgt	kʼəɾuːkʼaʔ
grgt	ɡɛrɡɛt
grt	ɡɛrɛt
grw	ɡɛruː
grḥ	kʼaːɾaħ
grḥ	kʼoːɾəħ
grḥ	ɡɛrɛħ
gs	ɡɛs
gstj	kʼast
gstj	kʼastVj
gstj	ɡɛsti
gsꜣ	ɡɛsɑ
gwš	ɡuːʃ
gḥs	kʼaħas
gḥs	kʼəħas
gḥs	ɡɛħɛs
gꜣbt	kʼaʀbat
gꜣbt	kʼaʀbaʔ
gꜣbt	kʼoːβə
gꜣbt	ɡɑbɛt
gꜣw	ɡɑuː
gꜣš	kʼeʃ
gꜣš	ɡɑʃ
h	hɛ
hb	hɛb
hbhb	hɛbhɛb
hbj	hibjaw
hbj	hijbaw
hbj	hiːbəʔ
hbj	hiːp
hbj	hɛbi
hbnj	hɛbni
hh	hɛh
hj	hej
hj	hi
hj	hij
hkr	hɛkɛr
hmhmt	hɛmhɛmɛt
hmy	hɛmiː
hn	hɛn
hndwꜣy	hɛnduːɑiː
hnn	hɛnɛn
hnw	hiːn
hnw	hiːnaw
hnw	hiːnəʔ
hnw	hɛnuː
hp	hɛp
hp	ħep
hp	ħip
hrm	hɛrɛm
hrw	haɾuwwaw
hrw	haɾwuw
hrw	haʔw
hrw	haʔwuw
hrw	haʔwəʔ
hrw	həɾuwwəʔ
hrw	həɾøww
hrw	hɛruː
hy	hiː
hꜣ	hɑ
hꜣb	hɑb
hꜣj	heʔjaʔ
hꜣj	heʔjə
hꜣj	hiʀjit
hꜣj	hiʀjiʔ
hꜣj	hɑi
hꜣkr	hɑkɛr
hꜣw	hɑuː
j	i
j.	i
jb	ib
jb	jib
jb	ʔep
jbhyt	ibhiːt
jbj	ibi
jbj	jiːbit
jbj	jiːbiʔ
jbj	ʔiːβə
jbr	ibɛr
jbt	ibɛt
jbt	jiːbat
jbt	jiːbaʔ
jbt	ʔiːβə
jbḥ	ibɛħ
jbṯt	ibt͡ʃɛt
jbꜣ	ibɑ
jd	id
jdb	idɛb
jdbwj	idɛbuːi
jdj	idi
jdmj	idmi
jdmj	jVtʼuːmVj
jdmj	ʔətʼeːm
jdr	idɛr
jdt	idɛt
jdt	jaːtʼat
jdt	jaːtʼaʔ
jdt	ʔoːtʼə
jdw	iduː
jdwmꜥ	iduːmɑː
jdyt	idiːt
jdḥw	idħuː
jf	if
jfd	ifɛd
jfdnw	ifɛdnuː
jfdw	ifɛduː
jfdw	jaftʼaw
jfdw	ʔəftʼaw
jgrt	iɡrɛt
jhm	ihɛm
jj	iʔi
jj.tj	iʔiʔti
jjwj	iʔiuːi
jkm	ikɛm
jkn	ikɛn
jky	ikiː
jm	im
jmj	imi
jmj	jamij
jmj	jiːmit
jmj	jiːmiʔ
jmj	ʔiːmaʔ
jmj	ʔiːmə
jmj	ʔəmeʔ
jmjtw	imituː
jmn	imɛn
jmn	jamaːnuw
jmn	jamiːnij
jmn	ʔamaːnəʔ
jmn	ʔamiːn
jmn	ʔamoːn
jmnt	imɛnɛt
jmnt	jamaːnut
jmnt	jamnat
jmnt	jamnaʔ
jmnt	jamnə
jmntj	imɛnti
jmntj	jamintij
jmntj	ʔəment
jmntt	imɛnɛtɛt
jmntt	jamintit
jmntt	jamintiʔ
jmntt	ʔamentə
jmr	imɛr
jmstj	imsɛti
jmw	imuː
jmwr	imuːr
jmy	imiː
jmḏr	imd͡ʒɛr
jmḥt	imħɛt
jmꜣ	imɑ
jmꜣt	imɑt
jmꜣḫ	imɑx
jmꜣḫw	imɑxuː
jn	in
jnb	inɛb
jnbt	inbɛt
jnd	inɛd
jnj	ini
jnj	jiːnit
jnj	jiːniʔ
jnj	ʔiːnə
jnjwbꜣ	iniuːbɑ
jnk	inɛk
jnk	janak
jnk	ʔanak
jnm	inɛm
jnn	inɛn
jnn	janan
jnn	ʔanan
jnpw	inɛpuː
jnpw	janaːpaw
jnpw	ʔanaːpəʔ
jnpw	ʔanoːp
jnpwt	inpuːɛt
jnq	inɛk
jnr	inɛr
jnr	jaːnaɾ
jnr	jaːnaʔ
jnr	ʔoːnə
jnst	insɛt
jnswj	insuːi
jnt	inɛt
jntjrwywꜣšꜣ	intiruːiːuːɑʃɑ
jnw	inuː
jnḥ	inɛħ
jnꜥ	inɑː
jp	ip
jpf	ipɛf
jpn	ipɛn
jpt	ipɛt
jpt	ʔapat
jptf	iptɛf
jptn	iptɛn
jptw	iptuː
jpw	ipuː
jpwj	ipuːi
jpḥ	ipɛħ
jqdw	ikɛduː
jqr	ikɛr
jqr	jaːqʼaɾ
jqr	jaːqʼaʔ
jqr	jaːqʼiɾ
jqr	jaːqʼiʔ
jqr	joːqʼə
jqḥw	ikɛħuː
jr	ir
jrj	iri
jrj	jiːɾit
jrj	jiːɾiʔ
jrj	ʔiːɾaʔ
jrj	ʔiːɾə
jrm	irɛm
jrp	irɛp
jrp	juːɾap
jrp	ʔeːɾəp
jrsjrnꜣt	irsirɛnɑt
jrt	irɛt
jrt	jiːɾat
jrt	jiːɾaʔ
jrt	ʔiːɾə
jrtjw	irtiuː
jrw	iruː
jrwrꜣ	iruːrɑ
jry	iriː
jrṯt	irt͡ʃɛt
jrṯt	jVɾaːcat
jrṯt	jVɾaːtaʔ
jrṯt	ʔəɾoːtə
js	is
jspt	ispɛt
jspt	jispat
jspt	jispaʔ
jspt	ʔespaʔ
jspt	ʔespə
jsqꜣrnj	iskɑrɛni
jsqꜣrwnj	iskɑruːni
jsr	isɛr
jsry	isriː
jst	isɛt
jsw	isuː
jsw	jiːsVw
jsw	ʔiːs
jsw	ʔiːsəʔ
jswr	isuːr
jsṯ	isɛt͡ʃ
jt	it
jt	jatjaw
jt	jaʔtə
jt	jaʔtəʔ
jt	jaːtij
jt	jaːtəʔ
jt	joːt
jtj	iti
jtmw	itɛmuː
jtn	itɛn
jtn	jaːtin
jtn	jaːtəj
jtn	joːtəj
jtnw	itɛnuː
jtrt	itrɛt
jtrw	itɛruː
jtrw	jatɾaw
jtrw	jaʔɾ
jtrw	jaʔɾaw
jty	itiː
jtḥ	itɛħ
jw	iuː
jwd	iuːd
jwdnb	iuːdnɛb
jwf	iuːf
jwf	jawfaːwaw
jwf	juwfuw
jwf	ʔafoːj
jwf	ʔaʔfaːjəʔ
jwf	ʔuʔfəʔ
jwf	ʔøʔf
jwh	iuːh
jwj	iuːi
jwjt	iuːit
jwjw	iuːiuː
jwms	iuːmɛs
jwn	iuːn
jwn	jawin
jwn	ʔawen
jwn	ʔawin
jwnj	iuːni
jwnt	iuːnɛt
jwntj	iuːnɛti
jwnw	iuːnuː
jwnw	jaːnaw
jwnw	ʔaːnəʔ
jwnw	ʔoːnə
jwnyt	iuːniːt
jwr	iuːr
jwrꜣḥy	iuːrɑħiː
jwsw	iuːsuː
jwt	iuːt
jwtj	iuːti
jwtt	iuːtɛt
jwwj	iuːʔuːi
jwyt	iuːiːt
jwḥ	iuːħ
jwꜣ	iuːɑ
jwꜥ	iuːɑː
jwꜥt	iuːɑːt
jwꜥw	iuːɑːuː
jwꜥw	jawʕ
jwꜥw	jawʕaw
jwꜥw	jawʕəʔ
jyt	iʔiːt
jz	iz
jzft	izfɛt
jzft	jazaːfat
jzft	ʔasaːfaʔ
jzft	ʔasoːfə
jzftj	izfɛti
jzkn	izkɛn
jzr	izɛr
jzr	jasɾVw
jzr	jazɾVw
jzr	ʔasɾ
jzwt	izuːt
jšdt	iʃɛdɛt
jšst	iʃɛsɛt
jšš	iʃɛʃ
jḥ	iħ
jḥ	jaħij
jḥ	jaħiww
jḥ	ʔəħeww
jḥ	ʔəħeʔ
jḥw	iħuː
jḥw	jaħaːwaw
jḥw	ʔəħoːw
jḫ	ix
jḫ	juχ
jḫ	ʔuχ
jḫ	ʔøχ
jḫmt	ixmɛt
jḫt	ixɛt
jḫḫw	ixɛxuː
jṯj	it͡ʃi
jṯꜣ	it͡ʃɑ
jꜣbj	iɑbi
jꜣbt	iɑbɛt
jꜣbt	jaʀbat
jꜣbt	jaʀbaʔ
jꜣbt	joːβə
jꜣbtj	iɑbti
jꜣbtj	jaʀibtij
jꜣbtj	ʔəjeβt
jꜣbtt	iɑbɛtɛt
jꜣdw	iɑduː
jꜣjw	iɑiuː
jꜣkb	iɑkɛb
jꜣkbyt	iɑkɛbiːt
jꜣmw	iɑmuː
jꜣq	iɑk
jꜣqt	iɑkɛt
jꜣqt	juʀqʼat
jꜣqt	juʀqʼaʔ
jꜣqt	ʔeːqʼə
jꜣqt	ʔuːqʼaʔ
jꜣr	iɑr
jꜣrrt	iɑrɛrɛt
jꜣrrt	jaʀlaljat
jꜣrrt	jaʀlaljaʔ
jꜣrrt	ʔalalʔə
jꜣrw	iɑruː
jꜣs	iɑs
jꜣt	iɑt
jꜣtjw	iɑtiuː
jꜣtt	iɑtɛt
jꜣw	iɑuː
jꜣw	jaʀaw
jꜣw	ʔəʔaw
jꜣwj	iɑuːi
jꜣwt	iɑuːt
jꜣš	iɑʃ
jꜣḫmjnš	iɑxminɛʃ
jꜣḫw	iɑxuː
jꜣḫw	jaʀχaw
jꜣḫw	joːχ
jꜣꜣ	iɑʔɑ
jꜣꜣt	iɑʔɑt
jꜣꜣyt	iɑʔɑiːt
jꜣꜥ	iɑʔɑː
jꜥb	iɑːb
jꜥf	iɑːf
jꜥj	iɑːi
jꜥn	iɑːn
jꜥn	jaʕin
jꜥn	ʔaʕen
jꜥnt	iɑːnɛt
jꜥnw	iɑːnuː
jꜥr	iɑːr
jꜥrt	iɑːrɛt
jꜥḥ	iɑːħ
jꜥḥ	jajħuw
jꜥḥ	jaʔħ
jꜥḥ	jaʔħəʔ
jꜥḥ	jaʕħuw
jꜥꜣ	iɑːʔɑ
kbn	kaban
kbn	kəβan
kbn	kɛbɛn
kf	kɛf
kfj	kɛfi
kftjw	kɛftiuː
kftyw	kɛftiːuː
kfꜣ	kɛfɑ
kj	ki
kkw	kɛkuː
km	kaːm
km	keːm
km	koːm
km	kuːmaw
km	kɛm
kmbjṯt	kɛmbit͡ʃɛt
kmm	kɛmɛm
kmt	keːmə
kmt	kuːmat
kmt	kuːmaʔ
kmt	kɛmɛt
kmyt	kɛmiːt
kns	kɛnɛs
knꜥnw	kɛnɑːnuː
krtj	kɛrti
ksj	kɛsi
ksw	kɛsuː
ktt	katat
ktt	kataʔ
ktt	kətaʔ
ktt	kɛtɛt
kw	kuː
ky	kiː
kš	kɛʃ
kꜣ	kaʀ
kꜣ	kaʔ
kꜣ	kuʀ
kꜣ	kuʔ
kꜣ	køʔ
kꜣ	kɑ
kꜣhs	kɑhɛs
kꜣj	kɑi
kꜣkꜣ	kɑkɑ
kꜣm	kaʀm
kꜣm	kaʀnVw
kꜣm	koːm
kꜣm	kɑm
kꜣmn	kɑmɛn
kꜣmw	kaʀmiw
kꜣmw	kaʀmiwwaw
kꜣmw	kɑmuː
kꜣmw	kəmeʔ
kꜣmw	kəmeʔw
kꜣnꜥnꜥ	kɑnɑːnɑː
kꜣp	kaːʀap
kꜣp	koːʔəp
kꜣp	kɑp
kꜣpt	kɑpɛt
kꜣpw	kɑpuː
kꜣr	kɑr
kꜣry	kɑriː
kꜣs	kɑs
kꜣt	kɑt
kꜣw	kɑuː
kꜣwtj	kɑuːti
kꜣš	kɑʃ
kꜣštꜣ	kɑʃtɑ
m	ma
m	mə
m	m̩
m	ɛm
mds	mɛdɛs
mdt	maːtʼat
mdt	maːtʼaʔ
mdt	moːtʼə
mdt	mətʼət
mdt	mɛdɛt
mdw	matʼuww
mdw	maːtʼaw
mdw	moːtʼ
mdw	mətʼøww
mdw	mɛduː
mdwj	metʼwə
mdwj	mitʼwit
mdwj	mitʼwiʔ
mdwj	mɛduːi
mfkꜣt	mafakʀat
mfkꜣt	mafakʀaʔ
mfkꜣt	məfaʔkə
mfkꜣt	mɛfkɑt
mhj	mɛhi
mj	mi
mjgꜣdn	miɡɑdɛn
mjktj	mikti
mjn	min
mjnb	minɛb
mjnj	meʔnaʔ
mjnj	meʔnə
mjnj	mijnit
mjnj	mijniʔ
mjnj	mini
mjnt	minɛt
mjt	mit
mjtj	miti
mjtt	mitɛt
mjtw	mituː
mjw	miuː
mjw	miʀjuw
mjwj	miuːi
mjzt	mizɛt
mjḫꜣt	maχʀaːjit
mjḫꜣt	maχʀaːjiʔ
mjḫꜣt	mixɑt
mjḫꜣt	məχoːʔ
mjḫꜣt	məχʔaːʔəʔ
mkj	mɛki
mkt	mɛkɛt
mm	mɛm
mmj	mɛmi
mn	maːn
mn	moːn
mn	mɛn
mnhz	manhas
mnhz	manhaz
mnhz	manhəs
mnhz	mɛnhɛz
mnj	manij
mnj	məneʔ
mnj	mɛni
mnjt	mɛnit
mnjw	mɛniuː
mnmn	mɛnmɛn
mnmnt	mɛnmɛnɛt
mnt	maːnat
mnt	maːnaʔ
mnt	moːnə
mnt	mɛnɛt
mnty	mVnaːtij
mnty	mənoːtə
mnty	mɛntiː
mnw	mɛnuː
mnwt	mɛnuːt
mnyt	mɛniːt
mnḏ	manacʼ
mnḏ	manatʼ
mnḏ	mənatʼ
mnḏ	mɛnɛd͡ʒ
mnḏm	mɛnd͡ʒɛm
mnḏr	mɛnd͡ʒɛr
mnḏt	mɛnd͡ʒɛt
mnḥ	mɛnɛħ
mnḥtj	mɛnħɛti
mnḫ	mɛnɛx
mnḫt	mawnaːχit
mnḫt	mawnaːχiʔ
mnḫt	mənoːχə
mnḫt	mɛnxɛt
mnṯw	montuː
mnṯw	mɛnt͡ʃuː
mnꜥt	mɛnɑːt
mr	maɾ
mr	maʔ
mr	maːɾ
mr	meʔ
mr	miʔ
mr	moːɾ
mr	mɛr
mrj	mejʔə
mrj	mijjiʔ
mrj	miɾjit
mrj	mɛri
mrkbt	mɛrkɛbɛt
mrrt	mɛrɛrɛt
mrt	mɛrɛt
mrw	meːɾ
mrw	muːɾaw
mrw	mɛruː
mrwryt	mɛruːriːt
mrwt	mɛruːt
mry	mɛriː
mryt	maɾaːjat
mryt	maɾaːjaʔ
mryt	məɾoːʔə
mryt	mɛriːt
mrḥt	mVɾiħjat
mrḥt	mVɾiħjaʔ
mrḥt	məɾeħʔə
mrḥt	mɛrħɛt
ms	mes
ms	mis
ms	mɛs
msdmt	mistʼuːmit
msdmt	mistʼuːmiʔ
msdmt	məstʼeːmə
msdmt	mɛsdɛmɛt
msdw	mascʼiw
msdw	mastʼ
msdw	mastʼiw
msdw	mɛsɛduː
msj	miːsit
msj	miːsiʔ
msj	miːsə
msj	mɛsi
msjꜣt	masjaːʀit
msjꜣt	masjaːʀiʔ
msjꜣt	məsoːʔ
msjꜣt	məsʔaːʔəʔ
msjꜣt	mɛsiɑt
msktt	mɛsɛktɛt
mskꜣ	mɛskɑ
msn	mɛsɛn
msqt	masqʼaːɾit
msqt	masqʼaːɾiʔ
msqt	məsqʼaːɾaʔ
msqt	məsqʼoːɾə
msqt	mɛskɛt
mswt	misjaːwat
mswt	misjaːwaʔ
mswt	məsoːwə
mswt	mɛsuːt
msyt	mɛsiːt
msḏj	mestʼə
msḏj	miscʼit
msḏj	mistʼiʔ
msḏj	mɛsɛd͡ʒi
msḏr	mest͡ʃaʔ
msḏr	mest͡ʃʼə
msḏr	miscʼiɾ
msḏr	mist͡ʃʼiʔ
msḏr	mɛsd͡ʒɛr
msḥ	mɛsɛħ
msḫn	mesχən
msḫn	misχin
msḫn	mɛsxɛn
msḫtyw	mɛsxɛtiːuː
msꜣḏt	maswiʀcʼit
msꜣḏt	maswiʀtʼiʔ
msꜣḏt	məswiːtʼə
msꜣḏt	mɛsɑd͡ʒɛt
mt	mɛt
mtj	mɛti
mtr	mɛtɛr
mtrt	meʔɾə
mtrt	mitɾat
mtrt	miʔɾaʔ
mtrt	mɛtrɛt
mtt	meːtə
mtt	muːtat
mtt	mɛtɛt
mtw	mɛtuː
mtwt	mɛtuːt
mw	maw
mw	muː
mwjbw	muːibuː
mwt	maːwat
mwt	maːwaʔ
mwt	meʔwə
mwt	miʔwat
mwt	miʔwaʔ
mwt	moːw
mwt	muːt
mww	muːʔuː
my	miː
mz	mɛz
mzwr	mɛzuːr
mzwt	mɛzuːt
mzḥ	mVsaħ
mzḥ	mVzaħ
mzḥ	məsaħ
mzḥ	mɛzɛħ
mšrw	mɛʃruː
mšw	mɛʃuː
mšꜥ	maʃʕaj
mšꜥ	maʕʃə
mšꜥ	mɛʃɑː
mḏrj	metʼɾaʔ
mḏrj	metʼɾə
mḏrj	micʼɾit
mḏrj	mitʼɾiʔ
mḏrj	mɛd͡ʒɛri
mḏt	mɛd͡ʒɛt
mḏw	meːtʼ
mḏw	muːcʼaw
mḏw	muːtʼaw
mḏw	muːtʼəʔ
mḏw	mɛd͡ʒuː
mḏwtj	mucʼawaːtaj
mḏwtj	mut͡ʃʼawaːtaj
mḏwtj	mət͡ʃʼəwaːtəʔ
mḏwtj	mət͡ʃʼəwoːt
mḏwtj	mɛd͡ʒuːti
mḏḥ	mɛd͡ʒɛħ
mḏꜣt	mɛd͡ʒɑt
mḏꜣy	mɛd͡ʒɑiː
mḥ	mɛħ
mḥj	mɛħi
mḥn	mɛħɛn
mḥsḥs	maħasħas
mḥsḥs	məħasħəs
mḥsḥs	mɛħɛsħɛs
mḥt	mɛħɛt
mḥtj	mɛħti
mḥtjw	mɛħtiuː
mḥtt	mɛħtɛt
mḥw	mɛħuː
mḥyt	maħiːjVt
mḥyt	maħiːjVʔ
mḥyt	maħuːjVt
mḥyt	maħuːjVʔ
mḥyt	məħeːʔ
mḥyt	məħeːʔəʔ
mḥyt	məħuːʔəʔ
mḥyt	mɛħiːt
mḫꜣt	mɛxɑt
mṯn	mɛt͡ʃɛn
mṯwn	macwan
mṯwn	maʔwan
mṯwn	maʔwən
mṯwn	mɛt͡ʃuːn
mẖ	mɛç
mẖnt	maçnaːjit
mẖnt	maçnaːjiʔ
mẖnt	məçnoːʔ
mẖnt	mɛçnɛt
mẖr	mɛçɛr
mẖtw	mɛçtuː
mẖꜥqt	maçʕaːqʼit
mẖꜥqt	maçʕaːqʼiʔ
mẖꜥqt	məçʕoːqʼə
mẖꜥqt	mɛçɑːkɛt
mꜣ	mɑ
mꜣj	maːjəʔ
mꜣj	maːʀij
mꜣj	moːj
mꜣj	mɑi
mꜣnw	mɑnuː
mꜣqt	majʀaːqʼit
mꜣqt	majʀaːqʼiʔ
mꜣqt	moːqʼə
mꜣqt	mɑkɛt
mꜣqt	məʔaːqʼaʔ
mꜣqꜣrꜣ	mɛkɛr
mꜣr	møʔ
mꜣr	mɑr
mꜣt	maːʀit
mꜣt	maːʀiʔ
mꜣt	maːʔəʔ
mꜣt	moːʔ
mꜣt	mɑt
mꜣtt	mɑtɛt
mꜣwj	miʀwit
mꜣwj	miʀwiʔ
mꜣwj	miːwə
mꜣwj	mɑuːi
mꜣwt	maʀwat
mꜣwt	maʀwaʔ
mꜣwt	moːwə
mꜣwt	mɑuːt
mꜣy	mɑiː
mꜣṯ	mɑt͡ʃ
mꜣẖ	mɑç
mꜣꜣ	mɑʔɑ
mꜣꜥ	maːʀaʕ
mꜣꜥ	moːʔəʕ
mꜣꜥ	mɑʔɑː
mꜣꜥt	meːʕə
mꜣꜥt	muʀʕat
mꜣꜥt	muʀʕaʔ
mꜣꜥt	muːʕaʔ
mꜣꜥt	mɑʔɑːt
mꜣꜥtj	mɑʔɑːti
mꜣꜥw	mɑʔɑːuː
mꜥbꜣ	maʕbaʀ
mꜥbꜣ	mɑːbɑ
mꜥkꜣ	mɑːkɑ
mꜥnḏt	mVʕnicʼwVt
mꜥnḏt	mVʕnitʼwVʔ
mꜥnḏt	mɑːnd͡ʒɛt
mꜥnḏt	məʕnetʼwaʔ
mꜥnḏt	məʕnetʼwə
mꜥq	mɑːk
mꜥr	mɑːr
mꜥḥꜥt	majħiʕwaʔ
mꜥḥꜥt	maʕħiʕwat
mꜥḥꜥt	mɑːħɑːt
mꜥḥꜥt	məħeʕwə
n	ne
n	ni
n	ɛn
nb	naβʔə
nb	nep
nb	neːβ
nb	nib
nb	niːbuw
nb	nɛb
nbj	nɛbi
nbnb	nɛbnɛb
nbs	nɛbɛs
nbt	niːbat
nbt	niːbaʔ
nbt	niːβə
nbt	nɛbɛt
nbtj	nɛbti
nbw	naːbaw
nbw	noːβ
nbw	nɛbuː
nf	nɛf
nfj	nɛfi
nfr	naːfiɾ
nfr	naːfiʔ
nfr	naːfə
nfr	noːfə
nfr	nɛfɛr
nfrt	nafɾat
nfrt	nafɾaʔ
nfrt	nafɾə
nfrt	nɛfɛrɛt
nfrtj	nɛfɛrti
nfrw	nafɾaw
nfrw	nɛfɛruː
nfrwt	nɛfruːt
