άβλαβοσ	avlavos
έφερα	efeɾa
έφηβη	efivi
έφθασα	efθasa
έφραξα	efraksa
έφτασα	eftasa
έφτιαξα	eftçaksa
έφτυσα	eftisa
έχασα	exasa
έχαψα	exapsa
έχε	eçe
έχει	eçi
έχεισ	eçis
έχετε	eçete
έχομε	exome
έχοντασ	exondas
έχουμε	exume
έχουν	exun
έχουνε	exune
έχω	exo
έψαξα	epsaksa
έψιλον	epsilon
έωσ	eos
ήβη	ivi
ήβησ	ivis
ήγγειλα	iŋɟila
ήγγελλα	iŋɟela
ήγειρα	iʝiɾa
ήδη	iði
ήλιοσ	ilios
ήλιοσ	iʎos
ήμασταν	imastan
ήμαστε	imaste
ήμεθα	imeθa
ήμουν	imun
ήμουνα	imuna
ήντα	inda
ήπειροσ	ipiros
ήπειροσ	ipiɾos
ήπια	ipia
ήπια	ipça
ήπιε	ipie
ήπιε	ipçe
ήπιεσ	ipies
ήπιεσ	ipçes
ήπιοσ	ipios
ήρα	ira
ήσαν	isan
ήσανε	isane
ήσασταν	isastan
ήσαστε	isaste
ήσουν	isun
ήσουνα	isuna
ήτα	ita
ήταν	itan
ήτανε	itane
ήττα	ita
ήχε	içe
ίδιοσ	iðʝos
ίδρυμα	iðrima
ίδρυσα	iðrisa
ίε	ie
ίντα	inda
ίπταμαι	iptame
ίσωσ	isos
α	a
αέρισα	aeɾisa
αήθησ	aiθis
αίαντασ	eandas
αίασ	eas
αίγινα	eʝina
αίγιο	eʝio
αίγυπτοσ	eʝiptos
αίθουσα	eθusa
αίρομαι	erome
αίρω	ero
αίσθημα	esθima
αίσθηση	esθisi
αίσχοσ	esxos
αίτηση	etisi
αίτνα	etna
αβάνα	avana
αβάρα	avaɾa
αβάραρα	avaɾaɾa
αβάραρε	avaɾaɾe
αβέβαιοσ	aveveos
αβανγκάρντ	avaŋɡaɾd
αβανγκαρντισμέ	avaŋɡaɾdizme
αβανγκαρντισμοί	avaŋɡaɾdizmi
αβανγκαρντισμού	avaŋɡaɾdizmu
αβανγκαρντισμούσ	avaŋɡaɾdizmus
αβανγκαρντισμό	avaŋɡaɾdizmo
αβανγκαρντισμόσ	avaŋɡaɾdizmos
αβανγκαρντισμών	avaŋɡaɾdizmon
αβαράριζα	avaɾaɾiza
αβαράριζε	avaɾaɾize
αβαράρισα	avaɾaɾisa
αβαράρισε	avaɾaɾise
αβαράρω	avaɾaɾo
αβασκαμένοσ	avaskamenos
αβγάτισα	avɣatisa
αβγατίζομαι	avɣatizome
αβγατίζω	avɣatizo
αβγατίστηκα	avɣatistika
αβγατισμένα	avɣatizmena
αβγατισμένε	avɣatizmene
αβγατισμένεσ	avɣatizmenes
αβγατισμένη	avɣatizmeni
αβγατισμένησ	avɣatizmenis
αβγατισμένο	avɣatizmeno
αβγατισμένοι	avɣatizmeni
αβγατισμένοσ	avɣatizmenos
αβγατισμένου	avɣatizmenu
αβγατισμένουσ	avɣatizmenus
αβγατισμένων	avɣatizmenon
αβγοθήκη	avɣoθici
αβγοκομμένα	avɣokomena
αβγοκομμένε	avɣokomene
αβγοκομμένεσ	avɣokomenes
αβγοκομμένη	avɣokomeni
αβγοκομμένησ	avɣokomenis
αβγοκομμένο	avɣokomeno
αβγοκομμένοι	avɣokomeni
αβγοκομμένοσ	avɣokomenos
αβγοκομμένου	avɣokomenu
αβγοκομμένουσ	avɣokomenus
αβγοκομμένων	avɣokomenon
αβγοκόβω	avɣokovo
αβγουλάκι	avɣulaci
αβγό	avɣo
αβεβαίωσ	aveveos
αβλαβέστεροσ	avlavesteros
αβλαβήσ	avlavis
αβουλία	avulia
αβουλίεσ	avulies
αβουλησία	avulisia
αβουλησίασ	avulisias
αβουλησίεσ	avulisies
αβουλησιών	avulision
αβουλιών	avulion
αβούλιαχτοσ	avuʎaxtos
αβροδίαιτοσ	avroðietos
αγάμητοσ	aɣamitos
αγάνταρα	aɣandara
αγάνταρε	aɣandare
αγάπαγα	aɣapaɣa
αγάπησα	aɣapisa
αγέλη	aʝeli
αγένεια	aʝenia
αγένειοσ	aʝenios
αγία	aʝia
αγίασ	aʝias
αγίασα	aʝiasa
αγίου	aʝiu
αγίουσ	aʝius
αγίων	aʝion
αγαθεύω	aɣaθevo
αγαθοεργία	aɣaθoeɾʝia
αγαθοπιστία	aɣaθopistia
αγαθοπιστίασ	aɣaθopistias
αγαθοπιστίεσ	aɣaθopisties
αγαθοπιστιών	aɣaθopistion
αγανάκτησα	aɣanaktisa
αγανάχτησα	aɣanaxtisa
αγανακτισμένα	aɣanaktizmena
αγανακτισμένε	aɣanaktizmene
αγανακτισμένεσ	aɣanaktizmenes
αγανακτισμένη	aɣanaktizmeni
αγανακτισμένησ	aɣanaktizmenis
αγανακτισμένο	aɣanaktizmeno
αγανακτισμένοι	aɣanaktizmeni
αγανακτισμένοσ	aɣanaktizmenos
αγανακτισμένου	aɣanaktizmenu
αγανακτισμένουσ	aɣanaktizmenus
αγανακτισμένων	aɣanaktizmenon
αγανακτώ	aɣanakto
αγαναχτισμένοσ	aɣanaxtizmenos
αγαναχτώ	aɣanaxto
αγαντάριζα	aɣandariza
αγαντάριζε	aɣandarize
αγαντάρισα	aɣandarisa
αγαντάρισε	aɣandarise
αγαντάρω	aɣandaɾo
αγανταρισμένοσ	aɣandaɾizmenos
αγανόσ	aɣanos
αγαπάω	aɣapao
αγαπήθηκα	aɣapiθika
αγαπήσει	aɣapisi
αγαπηθεί	aɣapiθi
αγαπημένα	aɣapimena
αγαπημένε	aɣapimene
αγαπημένεσ	aɣapimenes
αγαπημένη	aɣapimeni
αγαπημένησ	aɣapimenis
αγαπημένο	aɣapimeno
αγαπημένοι	aɣapimeni
αγαπημένοσ	aɣapimenos
αγαπημένου	aɣapimenu
αγαπημένουσ	aɣapimenus
αγαπημένων	aɣapimenon
αγαπιέμαι	aɣapçeme
αγαπούσα	aɣapusa
αγαπώ	aɣapo
αγγάρεψα	aŋɡaɾepsa
αγγέλλομαι	aŋɟelome
αγγέλλω	aŋɟelo
αγγέλου	aŋɟelu
αγγέλω	aŋɟelo
αγγίζομαι	aŋɟizome
αγγίζομε	aŋɟizome
αγγίζουμε	aŋɟizume
αγγίζω	aŋɟizo
αγγίστηκα	aŋɟistika
αγγίχτηκα	aŋɟixtika
αγγαρεμένοσ	aŋɡaɾemenos
αγγαρεύομαι	aŋɡaɾevome
αγγαρεύτηκα	aŋɡaɾeftika
αγγαρεύω	aŋɡaɾevo
αγγελιασμένοσ	aŋɟeʎazmenos
αγγελμένοσ	aŋɟelmenos
αγγελοκρουσμένοσ	aŋɟelokɾuzmenos
αγγελοκρούομαι	aŋɟelokruome
αγγελοκρούομε	aŋɟelokruome
αγγελοκρούουμε	aŋɟelokruume
αγγελοκρούστηκα	aŋɟelokrustika
αγγελοκρούω	aŋɟelokruo
αγγελούδι	aŋɟeluði
αγγελούδια	aŋɟeluðʝa
αγγελόκρουσα	aŋɟelokrusa
αγγιγμένα	aŋɟiɣmena
αγγιγμένε	aŋɟiɣmene
αγγιγμένεσ	aŋɟiɣmenes
αγγιγμένη	aŋɟiɣmeni
αγγιγμένησ	aŋɟiɣmenis
αγγιγμένο	aŋɟiɣmeno
αγγιγμένοι	aŋɟiɣmeni
αγγιγμένοσ	aŋɟiɣmenos
αγγιγμένου	aŋɟiɣmenu
αγγιγμένουσ	aŋɟiɣmenus
αγγιγμένων	aŋɟiɣmenon
αγγισμένα	aŋɟizmena
αγγισμένε	aŋɟizmene
αγγισμένεσ	aŋɟizmenes
αγγισμένη	aŋɟizmeni
αγγισμένησ	aŋɟizmenis
αγγισμένο	aŋɟizmeno
αγγισμένοι	aŋɟizmeni
αγγισμένοσ	aŋɟizmenos
αγγισμένου	aŋɟizmenu
αγγισμένουσ	aŋɟizmenus
αγγισμένων	aŋɟizmenon
αγγλία	aŋɡlia
αγγλοποίησα	aŋɡlopiisa
αγγλοποιήθηκα	aŋɡlopiiθika
αγγλοποιημένοσ	aŋɡlopiimenos
αγγλοποιούμαι	aŋɡlopiume
αγγλοποιούμε	aŋɡlopiume
αγγλοποιώ	aŋɡlopio
αγγλοφέρνω	aŋɡloferno
αγγονιού	aŋɡoɲu
αγγονιών	aŋɡoɲon
αγγουριά	aŋɡuɾʝa
αγγουριού	aŋɡuɾʝu
αγγουριών	aŋɡuɾʝon
αγγούρι	aŋɡuɾi
αγγούρια	aŋɡuɾʝa
αγγόνι	aŋɡoni
αγγόνια	aŋɡoɲa
αγελάδα	aʝelaða
αγενήσ	aʝenis
αγιάγκαθο	aʝaŋɡaθo
αγιάζομαι	aʝazome
αγιάζομαι	aʝiazome
αγιάζω	aʝazo
αγιάζω	aʝiazo
αγιάσθηκα	aʝiasθika
αγιάστηκα	aʝastika
αγιάστηκα	aʝiastika
αγιασμένοσ	aʝazmenos
αγιασμένοσ	aʝiazmenos
αγιασματάρι	aʝazmatari
αγιασματάρια	aʝazmataria
αγιασματάρια	aʝazmatarʝa
αγιασματάριο	aʝazmatario
αγιατολάχ	aʝatolax
αγιογραφημένοσ	aʝioɣɾafimenos
αγιοκέρι	aʝoceri
αγιοποιημένα	aʝiopiimena
αγιοποιημένε	aʝiopiimene
αγιοποιημένεσ	aʝiopiimenes
αγιοποιημένη	aʝiopiimeni
αγιοποιημένησ	aʝiopiimenis
αγιοποιημένο	aʝiopiimeno
αγιοποιημένοι	aʝiopiimeni
αγιοποιημένοσ	aʝiopiimenos
αγιοποιημένου	aʝiopiimenu
αγιοποιημένουσ	aʝiopiimenus
αγιοποιημένων	aʝiopiimenon
αγιοποιώ	aʝiopio
αγιοπουλιού	aʝopuʎu
αγιοπουλιών	aʝopuʎon
αγιοπούλι	aʝopuli
αγιοπούλια	aʝopuʎa
αγκάλιασα	aŋɡaʎasa
αγκίδι	aŋɟiði
αγκίστρι	aŋɟistri
αγκαζάρισα	aŋɡazaɾisa
αγκαζάρομαι	aŋɡazaɾome
αγκαζάρω	aŋɡazaɾo
αγκαζαρίστηκα	aŋɡazaɾistika
αγκαζαρισμένοσ	aŋɡazaɾizmenos
αγκαλιάζομαι	aŋɡaʎazome
αγκαλιάζω	aŋɡaʎazo
αγκαλιάστηκα	aŋɡaʎastika
αγκαλιασμένοσ	aŋɡaʎazmenos
αγκιστρωμένοσ	aŋɟistɾomenos
αγκιστρώνω	aŋɟistɾono
αγκομάχησα	aŋɡomaçisa
αγκομαχάω	aŋɡomaxao
αγκομαχούσα	aŋɡomaxusa
αγκομαχώ	aŋɡomaxo
αγκυλίου	aŋɟiliu
αγκυλίων	aŋɟilion
αγκυλιού	aŋɟiʎu
αγκυλιών	aŋɟiʎon
αγκυλώνω	aŋɟilono
αγκυροβολημένοσ	aŋɟiɾovolimenos
αγκωνάρι	aŋɡonari
αγκωνιάζομαι	aŋɡoɲazome
αγκωνιάζω	aŋɡoɲazo
αγκωνιάστηκα	aŋɡoɲastika
αγκύλι	aŋɟili
αγκύλια	aŋɟilia
αγκύλια	aŋɟiʎa
αγκύλιο	aŋɟilio
αγκώνιασα	aŋɡoɲasa
αγλάισμα	aɣlaizma
αγλαϊσμένοσ	aɣlaizmenos
αγλαόσ	aɣlaos
αγνάντευε	aɣnandeve
αγνάντεψα	aɣnandepsa
αγνάντεψε	aɣnandepse
αγνάντιο	aɣnandʝo
αγναντεύω	aɣnandevo
αγνοημένοσ	aɣnoimenos
αγνοούμενοσ	aɣnoumenos
αγνοώ	aɣnoo
αγνωμοσύνη	aɣnomosini
αγνώμονασ	aɣnomonas
αγνώμων	aɣnomon
αγονία	aɣonia
αγορά	aɣora
αγοράζομαι	aɣoɾazome
αγοράζω	aɣoɾazo
αγοράσ	aɣoras
αγοράστηκα	aɣoɾastika
αγορέσ	aɣores
αγορασμένοσ	aɣoɾazmenos
αγορεύω	aɣorevo
αγορών	aɣoron
αγουστιά	aɣustça
αγουστιάσ	aɣustças
αγουστιέσ	aɣustçes
αγουστιών	aɣustçon
αγρίεψα	aɣɾiepsa
αγρίνιο	aɣrinio
αγριεμένοσ	aɣɾiemenos
αγριεύομαι	aɣɾievome
αγριεύτηκα	aɣɾieftika
αγριεύω	aɣɾievo
αγριοκοιτάζομαι	aɣɾiocitazome
αγριοκοιτάζω	aɣɾiocitazo
αγριοκοιταγμένοσ	aɣɾiokitaɣmenos
αγριοσυκιά	aɣɾiosicʝa
αγρυπνισμένοσ	aɣɾipnizmenos
αγρόκτημα	aɣɾoktima
αγυιά	aʝia
αγυιοπαίδων	aʝiopeðon
αγυιόπαι	aʝiope
αγυιόπαιδα	aʝiopeða
αγυιόπαιδασ	aʝiopeðas
αγυιόπαιδεσ	aʝiopeðes
αγυιόπαιδο	aʝiopeðo
αγυιόπαιδοσ	aʝiopeðos
αγυιόπαιδου	aʝiopeðu
αγυιόπαιδων	aʝiopeðon
αγυιόπαισ	aʝiopes
αγχωμένοσ	aŋxomenos
αγχώνομαι	aŋxonome
αγχώνω	aŋxono
αγωνία	aɣonia
αγωνίζομαι	aɣonizome
αγωνιζόμενοσ	aɣonizomenos
αγωνιστέσ	aɣonistes
αγωνιστή	aɣonisti
αγωνιστών	aɣoniston
αγόγγυστοσ	aɣoŋɟistos
αγόρασα	aɣoɾasa
αγόρι	aɣori
αγύρτησ	aʝiɾtis
αδίκησα	aðicisa
αδειάζομαι	aðʝazome
αδειάζω	aðʝazo
αδειάστηκα	aðʝastika
αδειασμένοσ	aði̯azmenos
αδειασμένοσ	aðʝazmenos
αδελφή	aðelfi
αδελφοκτονία	aðelfoktonia
αδελφομάνα	aðelfomana
αδελφωμένοσ	aðelfomenos
αδελφόσ	aðelfos
αδερφωμένοσ	aðeɾfomenos
αδημονούσα	aðimonusa
αδημονώ	aðimono
αδιευκρίνιστοσ	aðiefkɾinistos
αδικήθηκα	aðiciθika
αδικιέμαι	aðiceme
αδικούμαι	aðikume
αδικούμε	aðikume
αδικώ	aðiko
αδρανήσ	aðɾanis
αδρανοποιημένοσ	aðranopiimenos
αδρανοποιώ	aðɾanopio
αδρεναλίνη	aðɾenalini
αδρόσ	aðros
αδυνατισμένοσ	aðinatizmenos
αδυνατώ	aðinato
αερίζομαι	aeɾizome
αερίζω	aeɾizo
αερίστηκα	aeɾistika
αεροβίωση	aeɾoviosi
αεροδρόμιο	aeɾoðɾomio
αερολιμένασ	aerolimenas
αεροπλανοφόρον	aeɾoplanofoɾon
αεροφωτογράφησα	aeɾofotoɣɾafisa
αεροφωτογράφισα	aerofotoɣrafisa
αεροφωτογραφήθηκα	aerofotoɣrafiθika
αεροφωτογραφήσεισ	aerofotoɣrafisis
αεροφωτογραφία	aerofotoɣrafia
αεροφωτογραφίζομαι	aerofotoɣrafizome
αεροφωτογραφίζομε	aerofotoɣrafizome
αεροφωτογραφίζουμε	aerofotoɣrafizume
αεροφωτογραφίζω	aerofotoɣrafizo
αεροφωτογραφίσεισ	aerofotoɣrafisis
αεροφωτογραφίστηκα	aerofotoɣrafistika
αεροφωτογραφούμαι	aerofotoɣrafume
αεροφωτογραφούμε	aerofotoɣrafume
αεροφωτογραφώ	aerofotoɣrafo
αερόμετρο	aeɾometɾo
αερόσακοσ	aeɾosakos
αετιδεύσ	aetiðefs
αηδήσ	aiðis
αηδία	aiðia
αηδιάζω	aiðiazo
αηδιασμένα	aiðiazmena
αηδιασμένε	aiðiazmene
αηδιασμένεσ	aiðiazmenes
αηδιασμένη	aiðiazmeni
αηδιασμένησ	aiðiazmenis
αηδιασμένο	aiðiazmeno
αηδιασμένοι	aiðiazmeni
αηδιασμένοσ	aiðiazmenos
αηδιασμένου	aiðiazmenu
αηδιασμένουσ	aiðiazmenus
αηδιασμένων	aiðiazmenon
αηδιαστικά	aiðʝastika
αηδιαστική	aiðʝastici
αηδιαστικοί	aiðʝastici
αηδιαστικόσ	aiðʝastikos
αηδώσ	aiðos
αθήνα	aθina
αθίγγανοσ	aθiŋɡanos
αθανασάκειοσ	aθanasacios
αθετήθηκα	aθetiθika
αθετώ	aθeto
αθεϊσμέ	aθeizme
αθεϊσμοί	aθeizmi
αθεϊσμού	aθeizmu
αθεϊσμούσ	aθeizmus
αθεϊσμό	aθeizmo
αθεϊσμόσ	aθeizmos
αθεϊσμών	aθeizmon
αθεϊστήσ	aθeistis
αθηνά	aθina
αθηναίοσ	aθineos
αθροίζομαι	aθɾizome
αθροίζω	aθɾizo
αθροίστηκα	aθɾistika
αθωώθηκα	aθooθika
αθωώνομαι	aθoonome
αθωώνω	aθoono
αθώωσα	aθoosa
αιγίνησ	eʝinis
αιγόκεροσ	eɣoceɾos
αιγόκερωσ	eɣoceɾos
αιδοίο	eðio
αιδοιολειξία	eðioliksia
αιδώσ	eðos
αιθέρασ	eθeɾas
αιματοβαμμένα	ematovamena
αιματοβαμμένε	ematovamene
αιματοβαμμένεσ	ematovamenes
αιματοβαμμένη	ematovameni
αιματοβαμμένησ	ematovamenis
αιματοβαμμένο	ematovameno
αιματοβαμμένοι	ematovameni
αιματοβαμμένοσ	ematovamenos
αιματοβαμμένου	ematovamenu
αιματοβαμμένουσ	ematovamenus
αιματοβαμμένων	ematovamenon
αιματοκυλίζομαι	ematocilizome
αιματοκυλίζω	ematocilizo
αιματοκυλίστηκα	ematocilistika
αιματοκύλισα	ematocilisa
αιματώθηκα	ematoθika
αιματώνομαι	ematonome
αιματώνω	ematono
αιμομιξία	emomiksia
αισθάνομαι	esθanome
αισιοδοξούσα	esioðoksusa
αισιοδοξώ	esioðokso
αισιόδοξο	esioðokso
αισχροκέρδεια	esxrocerðia
αισχροκερδήσ	esxrocerðis
αισχροκερδώ	esxrocerðo
αισχρόσ	esxros
αισχύνη	esçini
αιτία	etia
αιτιοκρατία	etiokratia
αιτιοκρατίασ	etiokratias
αιτιοκρατίεσ	etiokraties
αιτιοκρατιών	etiokration
αιφνιδιάζω	efniðiazo
αιχμαλωτίζομαι	exmalotizome
αιχμαλωτίζω	exmalotizo
αιχμαλωτίστηκα	exmalotistika
αιχμαλώτισα	exmalotisa
ακάματοσ	akamatos
ακίνδυνοσ	acinðinos
ακαδημία	akaðimia
ακατάδεκτοσ	akataðektos
ακατάδεχτοσ	akataðextos
ακατάσβεστοσ	akatazvestos
ακαταδεξία	akataðeksia
ακαταδεξιά	akataðeksça
ακατοίκητοσ	akaticitos
ακεφιά	acefça
ακινητοποιώ	acinitopio
ακληρονόμητοσ	akliɾonomitos
ακλουθάω	akluθao
ακλουθώ	akluθo
ακοέσ	akoes
ακοή	akoi
ακοήσ	akois
ακοινωνησία	acinonisia
ακοινωνησίασ	acinonisias
ακοινωνησίεσ	acinonisies
ακοινωνησίων	acinonision
ακοινωνησιά	acinonisça
ακοινωνησιάσ	acinonisças
ακοινωνησιέσ	acinonisçes
ακοινωνησιών	acinonision
ακοινωνησιών	acinonisçon
ακολασία	akolasia
ακολουθάω	akoluθao
ακολουθήθηκα	akoluθiθika
ακολουθιέμαι	akoluθçeme
ακολουθούμαι	akoluθume
ακολουθούμε	akoluθume
ακολουθώ	akoluθo
ακολούθησα	akoluθisa
ακομπανιάρισα	akompaɲaɾisa
ακομπανιάρομαι	akompaɲaɾome
ακομπανιάρω	akompaɲaɾo
ακομπανιαρίστηκα	akompaɲaɾistika
ακονίζομαι	akonizome
ακονίζω	akonizo
ακονίστηκα	akonistika
ακοντίζομαι	akondizome
ακοντίζω	akondizo
ακοντίσθηκα	akondisθika
ακοντίστηκα	akondistika
ακοομέτρηση	akoometrisi
ακοομέτρου	akoometru
ακοομέτρων	akoometron
ακοομετρία	akoometria
ακοομετρίασ	akoometrias
ακοομετρίεσ	akoometries
ακοομετριών	akoometrion
ακοσμία	akozmia
ακουμπιστήρι	akumbistiɾi
ακουστικόσ	akustikos
ακουστόσ	akustos
ακοόγραμμα	akooɣrama
ακοόμετρα	akoometra
ακοόμετρο	akoometro
ακούγομαι	akuɣome
ακούγοντασ	akuɣondas
ακούγω	akuɣo
ακούομαι	akuome
ακούσθηκα	akusθika
ακούσθηκε	akusθike
ακούστηκα	akustika
ακούστηκε	akustike
ακοών	akoon
ακρίβεια	akrivia
ακρίτασ	akritas
ακρίτησ	akritis
ακρεοφαγία	akɾeofaʝia
ακρεωφαγία	akɾeofaʝia
ακριβομίλητοσ	akɾivomilitos
ακριβοπλήρωσα	akrivopliɾosa
ακριβοπληρώθηκα	akrivopliɾoθika
ακριβοπληρώνομαι	akrivopliɾonome
ακριβοπληρώνω	akrivopliɾono
ακριτικόσ	akritikos
ακροάζομαι	akroazome
ακροάσθηκα	akroasθika
ακροάστηκα	akroastika
ακροάτρια	akɾoatɾia
ακροαματικότητα	akɾoamatikotita
ακροατήσ	akɾoatis
ακροβάτησ	akrovatis
ακροβασία	akrovasia
ακροβατούσα	akɾovatusa
ακροβατώ	akɾovato
ακρογωνιαίοσ	akɾoɣonieos
ακροδεξιόσ	akɾoðeksʝos
ακροχορδόνα	akɾoxoɾðona
ακροχορδών	akɾoxoɾðon
ακροχορδώνα	akɾoxoɾðona
ακρωτηριάζομαι	akɾotiɾiazome
ακρωτηριάζω	akɾotiɾiazo
ακρόαση	akroasi
ακταιωρέ	akteore
ακταιωρό	akteoro
ακτινογραφία	aktinoɣɾafia
ακτινοσκόπηση	aktinoskopisi
ακυρώθηκα	aciɾoθika
ακυρώνομαι	aciɾonome
ακυρώνω	aciɾono
ακυρώσεισ	aciɾosis
ακυρώσεων	aciɾoseon
ακυρώσεωσ	aciɾoseos
ακόλλητοσ	akolitos
ακόνισα	akonisa
ακύρωσα	aciɾosa
ακύρωσησ	aciɾosis
ακώλυτοσ	akolitos
αλάβαστροσ	aalvastros
αλάκεροσ	alaceros
αλάλαξα	alalaksa
αλάνα	alana
