aarōn	aːarɔn
aculos	aːkulɔs
acuminatifolius	akuminat̪ifɔːlius
acutrī	aːkut̪ri
acuō	aːkuɔ
acāciifōrmis	akat͡ʃiifɔrmis
acē	aːt͡ʃɛ
acēdia	at͡ʃɛːd̪ia
acēre	at͡ʃɛːrɛ
acērus	at͡ʃɛːrus
acēscente	at͡ʃɛʃʃɛn̪t̪ɛ
acēscentēs	at͡ʃɛʃʃɛn̪t̪ɛs
acēscō	at͡ʃɛskɔ
acētum	at͡ʃɛːt̪um
acētābulifōrmibus	at͡ʃɛt̪abulifɔrmibus
acētābulifōrmis	at͡ʃɛt̪abulifɔrmis
acētābulum	at͡ʃɛt̪aːbulum
acētābulāris	at͡ʃɛt̪abulaːris
acētābulōsus	at͡ʃɛt̪abulɔːzus
acētāria	at͡ʃɛt̪aːria
acētāriīs	at͡ʃɛt̪aːriis
acētāriōrum	at͡ʃɛt̪ariɔːrum
acētōsus	at͡ʃɛt̪ɔːzus
acīlius	at͡ʃiːlius
acīnaceus	at͡ʃinaːt͡ʃɛus
acīnacifōrmis	at͡ʃinat͡ʃifɔrmis
acīnacēs	at͡ʃiːnat͡ʃɛs
acūleātiflōrus	akulɛat̪iflɔːrus
acūleātus	akulɛaːt̪us
acūmen	akuːmɛn
acūminō	akuːminɔ
acūminōsus	akuminɔːzus
acūpedius	akupɛːd̪ius
acūtangulus	akut̪aŋɡulus
acūticarpus	akut̪ikarpus
acūtidentātus	akut̪id̪ɛn̪t̪aːt̪us
acūtidēns	akuːt̪id̪ɛns
acūtiflōrus	akut̪iflɔːrus
acūtifolius	akut̪ifɔːlius
acūtifōrmis	akut̪ifɔrmis
acūtiglūmis	akut̪iɡluːmis
acūtiglūmus	akut̪iɡluːmus
acūtilobus	akut̪iːlɔbus
acūtipennis	akut̪ipɛnnis
acūtipetalus	akut̪ipɛːt̪alus
acūtirōstris	akut̪irɔst̪ris
acūtisquāmātus	akut̪iskwamaːt̪us
acūtisquāmōsus	akut̪iskwamɔːzus
acūtisēpalus	akut̪izɛːpalus
acūtius	akuːt͡sius
acūtivalvis	akut̪ivalvis
acūtus	akuːt̪us
acūtālis	akut̪aːlis
acūtātus	akut̪aːt̪us
ad	ad̪
adada	aːd̪ad̪a
adaequātus	ad̪ɛkwaːt̪us
adaequō	ad̪ɛːkwɔ
adaerō	ad̪ɛːrɔ
adaestuātum	ad̪ɛst̪uaːt̪um
adaestuātūrus	ad̪ɛst̪uat̪uːrus
adaestuō	ad̪ɛst̪uɔ
adaggerō	ad̪add͡ʒɛrɔ
adalligō	ad̪alliɡɔ
adamantinus	ad̪aman̪t̪inus
adambulātum	ad̪ambulaːt̪um
adambulātūrus	ad̪ambulat̪uːrus
adambulō	ad̪ambulɔ
adamicus	ad̪aːmikus
adampliō	ad̪ampliɔ
adamās	aːd̪amas
adamō	aːd̪amɔ
adana	aːd̪ana
adanēnsis	ad̪anɛnsis
adaperiō	ad̪apɛːriɔ
adaptābilis	ad̪apt̪aːbilis
adaptō	ad̪apt̪ɔ
adaquō	aːd̪akwɔ
adarca	ad̪arka
adarō	aːd̪arɔ
adauctō	ad̪au̯kt̪ɔ
adaugeō	ad̪au̯d͡ʒɛɔ
adbellō	ad̪bɛllɔ
adbibō	ad̪bibɔ
adbreviāverimus	ad̪brɛviavɛːrimus
adclīnō	at̪kliːnɔ
adcommodō	at̪kɔmmɔd̪ɔ
adcrēscō	at̪krɛskɔ
adcubō	at̪kubɔ
adcumbō	at̪kumbɔ
adcūrō	at̪kuːrɔ
addant	ad̪d̪an̪t̪
addax	ad̪d̪aks
addecet	ad̪d̪ɛt͡ʃɛt̪
addecimō	ad̪d̪ɛːt͡ʃimɔ
addictiō	ad̪d̪ikt͡siɔ
addictor	ad̪d̪ikt̪ɔr
addictus	ad̪d̪ikt̪us
addigitō	ad̪d̪iːd͡ʒit̪ɔ
addiscō	ad̪d̪iskɔ
additiō	ad̪d̪iːt͡siɔ
addoceō	ad̪d̪ɔːt͡ʃɛɔ
addormiō	ad̪d̪ɔrmiɔ
addua	ad̪d̪ua
addubitō	ad̪d̪uːbit̪ɔ
adductor	ad̪d̪ukt̪ɔr
adductus	ad̪d̪ukt̪us
adductōribus	ad̪d̪ukt̪ɔːribus
addēnseō	ad̪d̪ɛnsɛɔ
addēnsō	ad̪d̪ɛnsɔ
addīcō	ad̪d̪iːkɔ
addō	ad̪d̪ɔ
addūcere	ad̪d̪uːt͡ʃɛrɛ
addūcō	ad̪d̪uːkɔ
adedō	aːd̪ɛd̪ɔ
adelphis	ad̪ɛlfis
adenanthus	ad̪ɛnan̪t̪us
adendros	ad̪ɛn̪d̪rɔs
adenocalyx	ad̪ɛnɔːkaliks
adenēnsis	ad̪ɛnɛnsis
adeps	aːd̪ɛps
adeptiō	ad̪ɛpt͡siɔ
adequitātum	ad̪ɛkwit̪aːt̪um
adequitātūrus	ad̪ɛkwit̪at̪uːrus
adequitō	ad̪ɛːkwit̪ɔ
aderrō	ad̪ɛrrɔ
adespota	ad̪ɛspɔt̪a
adespotus	ad̪ɛspɔt̪us
adespotī	ad̪ɛspɔt̪i
adespotīs	ad̪ɛspɔt̪is
adespotō	ad̪ɛspɔt̪ɔ
adespotōrum	ad̪ɛspɔt̪ɔːrum
adespotōs	ad̪ɛspɔt̪ɔs
adeōna	ad̪ɛɔːna
adfectiosē	at̪fɛkt͡siːɔzɛ
adfectiōsus	at̪fɛkt͡siɔːzus
adfector	at̪fɛkt̪ɔr
adfectus	at̪fɛkt̪us
adfectuōsus	at̪fɛkt̪uɔːzus
adfectuōsē	at̪fɛkt̪uɔːzɛ
adfectē	at̪fɛkt̪ɛ
adfectīvus	at̪fɛkt̪iːvus
adferre	at̪fɛrrɛ
adferō	at̪fɛrɔ
adfirmātiōnibus	at̪firmat͡siɔːnibus
adflīctus	at̪flikt̪us
adflīctō	at̪flikt̪ɔ
adflō	at̪flɔ
adfundō	at̪fun̪d̪ɔ
adfābilis	at̪faːbilis
adfīgō	at̪fiːɡɔ
adfīnis	at̪fiːnis
adgestus	add͡ʒɛst̪us
adgāvīsus	ad̪ɡaviːzus
adgāvīsūrus	ad̪ɡavizuːrus
adhaerentia	ad̪ɛrɛnt͡sia
adhaereō	ad̪ɛːrɛɔ
adhaerēns	ad̪ɛːrɛns
adhaesiōnibus	ad̪ɛziɔːnibus
adhaesūrus	ad̪ɛzuːrus
adherbal	ad̪ɛrbal
adhibeō	ad̪iːbɛɔ
adhinniō	ad̪inniɔ
adhospitō	ad̪ɔspit̪ɔ
adhālō	ad̪aːlɔ
adhāmāns	ad̪aːmans
adhāmō	ad̪aːmɔ
adhōc	ad̪ɔk
adiabēnē	ad̪iabɛːnɛ
adiaceō	ad̪jaːt͡ʃɛɔ
adiaculātus	ad̪jakulaːt̪us
adiacēns	ad̪jat͡ʃɛns
adianta	ad̪jan̪t̪a
adiantum	ad̪ian̪t̪um
adiantī	ad̪jan̪t̪i
adiantō	ad̪jan̪t̪ɔ
adiaphoros	ad̪iaːfɔrɔs
adiciō	ad̪jiːt͡ʃiɔ
