а	a
асимилација	asimiɫat͡sija
аскетство	askɛtstvɔ
асови	asɔvi
асоцијација	asɔt͡sijat͡sija
аспирација	aspirat͡sija
астронаутски	astrɔnautski
аташе	ataʃɛ
ателје	atɛljɛ
атина	atina
атови	atɔvi
атом	atɔm
атрофија	atrɔfija
аукциски	aukt͡siski
аукција	aukt͡sija
афазија	afazija
афикс	afiks
африка	afrika
ајван	ajvan
ајвани	ajvani
ајванче	ajvant͡ʃɛ
ајвар	ajvar
ајвари	ajvaɾi
ајде	ajdɛ
ајдутство	ajdutstvɔ
ајдучки	ajdut͡ʃki
ајкула	ajkuɫa
аљкавост	alkavɔst
аџиски	ad͡ʒiski
баба	baba
бабуле	babulɛ
бабулест	babulɛst
бавнорастечки	bavnɔrastɛt͡ʃki
бавност	bavnɔst
багдадски	baɡdatski
багремов	baɡrɛmɔf
бадем	badɛm
бадемов	badɛmɔf
бадемче	badɛmt͡ʃɛ
бадијала	badijaɫa
бадник	badnik
баднички	badnit͡ʃki
базален	bazalɛn
базалтов	bazaɫtɔf
базука	bazuka
базуки	bazuki
бакрдан	bakr̩dan
баку	baku
бакујски	bakujski
балистика	balistika
балкон	baɫkɔn
балон	baɫɔn
балонче	baɫɔnt͡ʃɛ
бамбусов	bambusɔf
банализација	banalizat͡sija
банана	banana
бананче	banant͡ʃɛ
бангладеш	baŋɡɫadɛʃ
бандарски	bandarski
бандитски	banditski
банка	baŋka
барабанче	barabant͡ʃɛ
барателка	baratɛɫka
барање	baɾaɲɛ
бардови	bardɔvi
барем	baɾɛm
барови	baɾɔvi
барок	baɾɔk
барокен	baɾɔkɛn
баронство	baɾɔnstvɔ
басови	basɔvi
бастун	bastun
бастунче	bastunt͡ʃɛ
батак	batak
баталува	bataɫuva
баш	baʃ
бајатост	bajatɔst
бајач	bajat͡ʃ
бајачки	bajat͡ʃki
бајрактар	bajraktar
бебе	bɛbɛ
бебенце	bɛbɛnt͡sɛ
бебешки	bɛbɛʃki
бебуле	bɛbulɛ
беглост	bɛɡɫɔst
бегов	bɛɡɔf
беда	bɛda
беден	bɛdɛn
бедност	bɛdnɔst
бедро	bɛdrɔ
без	bɛs
безбожнички	bɛzbɔʒnit͡ʃki
безбожност	bɛzbɔʒnɔst
безбол	bɛzbɔɫ
безболност	bɛzbɔɫnɔst
безбојност	bɛzbɔjnɔst
безбројност	bɛzbrɔjnɔst
безвизен	bɛzvizɛn
безвкусност	bɛsfkusnɔst
безвредност	bɛzvrɛdnɔst
безвременост	bɛzvrɛmɛnɔst
безвучност	bɛzvut͡ʃnɔst
безглавост	bɛzɡɫavɔst
безгласност	bɛzɡɫasnɔst
безготовински	bɛzɡɔtɔvinski
безграничност	bɛzɡranit͡ʃnɔst
безгрижност	bɛzɡriʒnɔst
безделник	bɛzdɛɫnik
бездејност	bɛzdɛjnɔst
бездејство	bɛzdɛjstvɔ
бездомнички	bɛzdɔmnit͡ʃki
бездомништво	bɛzdɔmniʃtvɔ
бездруго	bɛzdruɡɔ
безживотност	bɛʒʒivɔtnɔst
безизлезност	bɛzizlɛznɔst
безизразен	bɛzizrazɛn
безименост	bɛzimɛnɔst
безличност	bɛzlit͡ʃnɔst
безмалку	bɛzmaɫku
безмерност	bɛzmɛrnɔst
безначајност	bɛznat͡ʃajnɔst
безобличност	bɛzɔblit͡ʃnɔst
безобразност	bɛzɔbraznɔst
безопасен	bɛzɔpasɛn
безопасност	bɛzɔpasnɔst
безосновност	bɛzɔsnɔvnɔst
безрадосност	bɛzradɔsnɔst
безрасудност	bɛzrasudnɔst
безрбетник	bɛzr̩bɛtnik
безропотност	bɛzrɔpɔtnɔst
безумност	bɛzumnɔst
безусловност	bɛzusɫɔvnɔst
безутешност	bɛzutɛʃnɔst
безѕвезден	bɛzd͡zvɛzdɛn
белград	bɛɫɡrat
белградски	bɛɫɡratski
белетристички	bɛlɛtristit͡ʃki
бели	bɛli
белило	bɛliɫɔ
белогазец	bɛɫɔɡazɛt͡s
белокрилест	bɛɫɔkrilɛst
белучка	bɛɫut͡ʃka
бендисува	bɛndisuva
бензин	bɛnzin
бепче	bɛpt͡ʃɛ
берба	bɛrba
бербер	bɛrbɛr
берберка	bɛrbɛrka
берберница	bɛrbɛrnit͡sa
берберство	bɛrbɛrstvɔ
берлин	bɛrlin
берлински	bɛrlinski
берн	bɛrn̩
бернски	bɛrn̩ski
бес	bɛs
беседа	bɛsɛda
бескарактерност	bɛskaraktɛrnɔst
бескрајност	bɛskrajnɔst
бесмисленост	bɛsmislɛnɔst
бесови	bɛsɔvi
бесплатност	bɛspɫatnɔst
бесплодност	bɛspɫɔdnɔst
бесплотност	bɛspɫɔtnɔst
бесповратност	bɛspɔvratnɔst
беспогрешност	bɛspɔɡrɛʃnɔst
беспокојност	bɛspɔkɔjnɔst
беспокојство	bɛspɔkɔjstvɔ
беспорочност	bɛspɔɾɔt͡ʃnɔst
беспределност	bɛsprɛdɛɫnɔst
беспредметност	bɛsprɛdmɛtnɔst
беспрекорност	bɛsprɛkɔrnɔst
беспризорност	bɛsprizɔrnɔst
беспримерност	bɛsprimɛrnɔst
беспристраност	bɛspristranɔst
беспристрасност	bɛspristrasnɔst
бесрамница	bɛsramnit͡sa
бессилност	bɛssiɫnɔst
бессовесност	bɛssɔvɛsnɔst
бессодржајност	bɛssɔdr̩ʒajnɔst
бестелесност	bɛstɛlɛsnɔst
бестија	bɛstija
бесцелност	bɛst͡sɛɫnɔst
бесценетост	bɛst͡sɛnɛtɔst
бесчесност	bɛʃt͡ʃɛsnɔst
бесчовечност	bɛʃt͡ʃɔvɛt͡ʃnɔst
бетер	bɛtɛr
бетонски	bɛtɔnski
бечви	bɛt͡ʃvi
бејзбол	bɛjzbɔɫ
бејрут	bɛjrut
бејрутски	bɛjrutski
беља	bɛla
бељаџија	bɛlad͡ʒija
беќарство	bɛcarstvɔ
беџови	bɛd͡ʒɔvi
би	bi
бибер	bibɛr
библиографија	biblijɔɡrafija
библиотека	biblijɔtɛka
библиски	bibliski
бивш	bifʃ
бигамија	biɡamija
бигор	biɡɔr
бигоросува	biɡɔrɔsuva
бидејќи	bidɛjci
бикови	bikɔvi
билет	bilɛt
билетарница	bilɛtarnit͡sa
билетарници	bilɛtarnit͡si
билјар	biljar
билјарство	biljarstvɔ
биоенергија	bijɔɛnɛrɡija
биолог	bijɔɫɔk
биопсија	bijɔpsija
биохемија	bijɔxɛmija
биполарност	bipɔɫarnɔst
бирачки	biɾat͡ʃki
биро	birɔ
бирократизација	biɾɔkratizat͡sija
биртија	birtija
бисерка	bisɛrka
бискупија	biskupija
бискупов	biskupɔf
бистрина	bistrina
битност	bitnɔst
битола	bitɔɫa
битолчанец	bitɔɫt͡ʃanɛt͡s
битолчанка	bitɔɫt͡ʃaŋka
битолчанче	bitɔɫt͡ʃant͡ʃɛ
бичува	bit͡ʃuva
бишкек	biʃkɛk
бишкечки	biʃkɛt͡ʃki
благ	bɫak
благајник	bɫaɡajnik
благајничка	bɫaɡajnit͡ʃka
благо	bɫaɡɔ
благовременост	bɫaɡɔvrɛmɛnɔst
благоглаголивост	bɫaɡɔɡɫaɡɔlivɔst
благодушност	bɫaɡɔduʃnɔst
благоевград	bɫaɡɔɛvɡrat
благозвучност	bɫaɡɔzvut͡ʃnɔst
благонаклонетост	bɫaɡɔnakɫɔnɛtɔst
благородничка	bɫaɡɔrɔdnit͡ʃka
благородништво	bɫaɡɔrɔdniʃtvɔ
благородност	bɫaɡɔɾɔdnɔst
благост	bɫaɡɔst
благотворност	bɫaɡɔtvɔrnɔst
блазон	bɫazɔn
блазони	bɫazɔni
блазонирања	bɫazɔniɾaɲa
блазонирање	bɫazɔniɾaɲɛ
блато	bɫatɔ
бледост	blɛdɔst
блескавост	blɛskavɔst
блеснува	blɛsnuva
близнак	bliznak
близначе	bliznat͡ʃɛ
близост	blizɔst
близу	blizu
бликнува	bliknuva
блискост	bliskɔst
блогови	bɫɔɡɔvi
блокови	bɫɔkɔvi
блокче	bɫɔkt͡ʃɛ
блудник	bɫudnik
блудничи	bɫudnit͡ʃi
блуднички	bɫudnit͡ʃki
блудствува	bɫutstvuva
блуе	bɫuɛ
блуз	bɫus
блуткавост	bɫutkavɔst
бог	bɔk
богат	bɔɡat
богобојазливост	bɔɡɔbɔjazlivɔst
богови	bɔɡɔvi
богословија	bɔɡɔsɫɔvija
бодибилдерка	bɔdibiɫdɛrka
бодови	bɔdɔvi
бодрост	bɔdrɔst
боже	bɔʒɛ
божем	bɔʒɛm
божественост	bɔʒɛstvɛnɔst
божик	bɔʒik
божилак	bɔʒiɫak
божиќ	bɔʒic
бозон	bɔzɔn
бои	bɔi
боица	bɔit͡sa
боичка	bɔit͡ʃka
бок	bɔk
бокс	bɔks
боксови	bɔksɔvi
болежливост	bɔlɛʒlivɔst
болезливост	bɔlɛzlivɔst
болник	bɔɫnik
бомба	bɔmba
бомбардер	bɔmbardɛr
бомбаш	bɔmbaʃ
бонбона	bɔmbɔna
бонбонче	bɔmbɔnt͡ʃɛ
борење	bɔɾɛɲɛ
борови	bɔɾɔvi
босна	bɔsna
ботаничар	bɔtanit͡ʃar
ботови	bɔtɔvi
боцкавост	bɔt͡skavɔst
боцнува	bɔt͡snuva
бочвар	bɔt͡ʃvar
бочварство	bɔt͡ʃvarstvɔ
бојлер	bɔjlɛr
бојлерче	bɔjlɛrt͡ʃɛ
брада	brada
брадва	bradva
брадичка	bradit͡ʃka
брак	brak
бракови	brakɔvi
бран	bran
бранителство	branitɛɫstvɔ
бранов	branɔf
бранови	branɔvi
бранува	branuva
бранче	brant͡ʃɛ
брат	brat
братислава	bratisɫava
братиславски	bratisɫafski
братов	bratɔf
братоубиство	bratɔubistvɔ
братуле	bratulɛ
братучедов	bratut͡ʃɛdɔf
братучедски	bratut͡ʃɛtski
братче	bratt͡ʃɛ
брашнен	braʃnɛn
брашнест	braʃnɛst
брашноса	braʃnɔsa
брбливост	br̩blivɔst
брборење	br̩bɔɾɛɲɛ
брборка	br̩bɔrka
брборко	br̩bɔrkɔ
брборливост	br̩bɔrlivɔst
бргу	br̩ɡu
брегови	brɛɡɔvi
бреза	brɛza
брезичка	brɛzit͡ʃka
брезов	brɛzɔf
брестов	brɛstɔf
брзак	br̩zak
брзоплет	br̩zɔplɛt
брисел	brisɛɫ
бриселски	brisɛɫski
британија	britanija
брифинг	brifiŋk
брише	briʃɛ
бркови	br̩kɔvi
брлив	br̩lif
брливост	br̩livɔst
брод	brɔt
бродарство	brɔdarstvɔ
бродови	brɔdɔvi
бродоградба	brɔdɔɡradba
бродоградилиште	brɔdɔɡradiliʃtɛ
броеви	brɔɛvi
броење	brɔɛɲɛ
брои	brɔi
броило	brɔiɫɔ
бротче	brɔtt͡ʃɛ
брош	brɔʃ
број	brɔj
бројност	brɔjnɔst
бројчаник	brɔjt͡ʃanik
брут	brut
бруталност	brutaɫnɔst
брутови	brutɔvi
бруцош	brut͡sɔʃ
бруќе	brucɛ
брцнува	br̩t͡snuva
бршленов	br̩ʃlɛnɔf
бубаче	bubat͡ʃɛ
бубачка	bubat͡ʃka
бубрежен	bubrɛʒɛn
бугар	buɡar
бугарин	buɡaɾin
бугарија	buɡaɾija
бугарка	buɡarka
бугарски	buɡarski
будала	budaɫa
будалест	budalɛst
будалче	budaɫt͡ʃɛ
будилник	budiɫnik
будимпештански	budimpɛʃtanski
буква	bukva
буков	bukɔf
букурешт	bukuɾɛʃt
булка	buɫka
бумбар	bumbar
бумбаров	bumbaɾɔf
бумбарче	bumbart͡ʃɛ
бунар	bunar
бунарски	bunarski
бунарче	bunart͡ʃɛ
бунгалов	buŋɡaɫɔf
бундичка	bundit͡ʃka
бунтови	buntɔvi
бунтовништво	buntɔvniʃtvɔ
бура	buɾa
бургас	burɡas
буржоазија	burʒɔazija
бурност	burnɔst
бут	but
бутан	butan
бутнува	butnuva
бутче	butt͡ʃɛ
буцнува	but͡snuva
бучава	but͡ʃava
бучкуриш	but͡ʃkuɾiʃ
бушавост	buʃavɔst
бушилка	buʃiɫka
бујност	bujnɔst
бујрум	bujrum
в	f
в	v
в	və
вага	vaɡa
вагон	vaɡɔn
вагонче	vaɡɔnt͡ʃɛ
вадуц	vadut͡s
вадучки	vadut͡ʃki
вазал	vazaɫ
вака	vaka
валенција	valɛnt͡sija
валиден	validɛn
валидност	validnɔst
валканост	vaɫkanɔst
вампир	vampir
вампирски	vampirski
вампирче	vampirt͡ʃɛ
ваму	vamu
варварин	varvaɾin
варварка	varvarka
варварство	varvarstvɔ
варен	vaɾɛn
вари	vaɾi
варна	varna
варов	vaɾɔf
варшава	varʃava
ватерполо	vatɛrpɔɫɔ
ватикански	vatikanski
ваш	vaʃ
вашингтон	vaʃiŋktɔn
вашингтонски	vaʃiŋktɔnski
вбројува	vbrɔjuva
вдлабнатост	vdɫabnatɔst
вдовство	vdɔfstvɔ
веб	vɛp
веда	vɛda
веднаш	vɛdnaʃ
ведро	vɛdrɔ
ведрост	vɛdrɔst
вежбанка	vɛʒbaŋka
вез	vɛs
везден	vɛzdɛn
везе	vɛzɛ
везиров	vɛziɾɔf
везирство	vɛzirstvɔ
век	vɛk
века	vɛka
велепредавство	vɛlɛprɛdafstvɔ
велигден	vɛliɡdɛn
велик	vɛlik
велингтон	vɛliŋktɔn
велингтонски	vɛliŋktɔnski
величество	vɛlit͡ʃɛstvɔ
велможа	vɛɫmɔʒa
велосипед	vɛɫɔsipɛt
венеција	vɛnɛt͡sija
венечен	vɛnɛt͡ʃɛn
вентилациски	vɛntiɫat͡siski
вентилација	vɛntiɫat͡sija
венче	vɛnt͡ʃɛ
вепар	vɛpar
вера	vɛɾa
вереник	vɛɾɛnik
верничка	vɛrnit͡ʃka
веровит	vɛɾɔvit
вероотстапник	vɛɾɔɔtstapnik
веројатно	vɛrɔjatnɔ
весел	vɛsɛɫ
веселост	vɛsɛɫɔst
вест	vɛst
вестителка	vɛstitɛɫka
ветер	vɛtɛr
ветеран	vɛtɛran
ветерче	vɛtɛrt͡ʃɛ
ветка	vɛtka
ветре	vɛtrɛ
ветренце	vɛtrɛnt͡sɛ
ветрило	vɛtriɫɔ
ветришта	vɛtriʃta
ветриште	vɛtriʃtɛ
ветрови	vɛtrɔvi
ветровит	vɛtrɔvit
ветруле	vɛtrulɛ
вечера	vɛt͡ʃɛɾa
вечерашен	vɛt͡ʃɛɾaʃɛn
вечерва	vɛt͡ʃɛrva
вечно	vɛt͡ʃnɔ
веќе	vɛcɛ
вжештеност	vʒɛʃtɛnɔst
взори	vzɔɾi
вибрациски	vibrat͡siski
вибрација	vibrat͡sija
видело	vidɛɫɔ
видра	vidra
видрин	vidrin
видричка	vidrit͡ʃka
вие	vijɛ
виена	vijɛna
виенски	vijɛnski
виза	viza
викенд	vikɛnt
викендичка	vikɛndit͡ʃka
вики	viki
викинг	vikiŋk
викиншки	vikinʃki
википедија	vikipɛdija
викиречник	vikirɛt͡ʃnik
вилин	vilin
вилица	vilit͡sa
вилнус	viɫnus
вилнуски	viɫnuski
вилушка	viɫuʃka
виме	vimɛ
винарка	vinarka
винарски	vinarski
винарство	vinarstvɔ
вино	vinɔ
винов	vinɔf
виножито	vinɔʒitɔ
винце	vint͡sɛ
виолина	vijɔlina
вирус	viɾus
висне	visnɛ
виснува	visnuva
високообразовен	visɔkɔɔbrazɔvɛn
високосен	visɔkɔsɛn
висост	visɔst
височина	visɔt͡ʃina
вистинољубивост	vistinɔlubivɔst
витез	vitɛs
витези	vitɛzi
витешки	vitɛʃki
витештва	vitɛʃtva
витештво	vitɛʃtvɔ
витка	vitka
виткост	vitkɔst
витлер	vitlɛr
виуличав	vijulit͡ʃaf
више	viʃɛ
вишнов	viʃnɔf
вишок	viʃɔk
виљушка	viluʃka
вклопеност	fkɫɔpɛnɔst
вклучителност	fkɫut͡ʃitɛɫnɔst
вкоренетост	fkɔrɛnɛtɔst
вкочанетост	fkɔt͡ʃanɛtɔst
влада	vɫada
владар	vɫadar
владетелка	vɫadɛtɛɫka
владејачки	vɫadɛjat͡ʃki
владика	vɫadika
влажност	vɫaʒnɔst
влакненце	vɫaknɛnt͡sɛ
влакнест	vɫaknɛst
влакно	vɫaknɔ
власец	vɫasɛt͡s
властољубивост	vɫastɔlubivɔst
влашко	vɫaʃkɔ
влезен	vlɛzɛn
влепи	vlɛpi
влепува	vlɛpuva
влечко	vlɛt͡ʃkɔ
влијателност	vlijatɛɫnɔst
вмрежува	vmrɛʒuva
внатре	vnatrɛ
внатрешен	vnatrɛʃɛn
внедри	vnɛdri
внедрува	vnɛdruva
внес	vnɛs
внук	vnuk
внуков	vnukɔf
внуче	vnut͡ʃɛ
во	u
во	vɔ
вовед	vɔvɛt
воглавно	vɔɡɫavnɔ
вода	vɔda
водава	vɔdava
водам	vɔdam
водана	vɔdana
водат	vɔdat
водата	vɔdata
воденичар	vɔdɛnit͡ʃar
воденичарка	vɔdɛnit͡ʃarka
водест	vɔdɛst
водете	vɔdɛtɛ
води	vɔdi
водиве	vɔdivɛ
водиме	vɔdimɛ
водине	vɔdinɛ
водите	vɔditɛ
водиш	vɔdiʃ
водиште	vɔdiʃtɛ
водо	vɔdɔ
водоводен	vɔdɔvɔdɛn
водоотпорност	vɔdɔɔtpɔrnɔst
возбуденост	vɔzbudɛnɔst
воздржаност	vɔzdr̩ʒanɔst
воздух	vɔzdux
воздухопловство	vɔzduxɔpɫɔfstvɔ
возила	vɔziɫa
возило	vɔziɫɔ
возмутува	vɔzmutuva
вознемирувачки	vɔznɛmiruvat͡ʃki
воин	vɔin
воинственост	vɔinstvɛnɔst
воинство	vɔinstvɔ
вокатив	vɔkatif
вол	vɔɫ
волан	vɔɫan
волнарство	vɔɫnarstvɔ
волов	vɔɫɔf
волфрам	vɔɫfram
волчиште	vɔɫt͡ʃiʃtɛ
волчјак	vɔɫt͡ʃjak
волшебник	vɔɫʃɛbnik
волшебност	vɔɫʃɛbnɔst
вон	vɔn
вонка	vɔŋka
вонредност	vɔnrɛdnɔst
вообичајува	vɔɔbit͡ʃajuva
воодушевеност	vɔɔduʃɛvɛnɔst
воопшто	vɔɔpʃtɔ
воскликнува	vɔskliknuva
воскоса	vɔskɔsa
воспаленост	vɔspalɛnɔst
воспалителен	vɔspalitɛlɛn
воспита	vɔspita
воспитувач	vɔspituvat͡ʃ
восприемливост	vɔsprijɛmlivɔst
восприемчивост	vɔsprijɛmt͡ʃivɔst
вотка	vɔtka
вошка	vɔʃka
вошливост	vɔʃlivɔst
воѓе	vɔɟɛ
војводство	vɔjvɔtstvɔ
војник	vɔjnik
војниче	vɔjnit͡ʃɛ
впечатливост	fpɛt͡ʃatlivɔst
впие	fpijɛ
вплетува	fplɛtuva
впрочем	fprɔt͡ʃɛm
вработувач	vrabɔtuvat͡ʃ
враг	vrak
вран	vran
вранец	vranɛt͡s
врапченце	vrapt͡ʃɛnt͡sɛ
врапчуле	vrapt͡ʃulɛ
врат	vrat
врата	vrata
вратарка	vratarka
вратиче	vratit͡ʃɛ
вратка	vratka
врач	vrat͡ʃ
врашки	vraʃki
враќе	vracɛ
врбов	vr̩bɔf
врв	vr̩f
врвнојазичен	vr̩vnɔjazit͡ʃɛn
врева	vrɛva
вреднувач	vrɛdnuvat͡ʃ
време	vrɛmɛ
врескало	vrɛskaɫɔ
вреснува	vrɛsnuva
вретено	vrɛtɛnɔ
вретенце	vrɛtɛnt͡sɛ
вреќа	vrɛca
вреќичка	vrɛcit͡ʃka
вреќиште	vrɛciʃtɛ
врзе	vr̩zɛ
врзоп	vr̩zɔp
врзува	vr̩zuva
врие	vrijɛ
врне	vr̩nɛ
врти	vr̩ti
врша	vr̩ʃa
вршалка	vr̩ʃaɫka
вселена	fsɛlɛna
всушност	fsuʃnɔst
втораче	ftɔɾat͡ʃɛ
вторник	ftɔrnik
втрча	ftr̩t͡ʃa
вулгаризација	vuɫɡaɾizat͡sija
вулкан	vuɫkan
вујко	vujkɔ
вујков	vujkɔf
вујнин	vujnin
вујче	vujt͡ʃɛ
вход	fxɔt
вчера	ft͡ʃɛɾa
вчеравечер	ft͡ʃɛravɛt͡ʃɛr
вљубеност	vlubɛnɔst
вџашеност	vd͡ʒaʃɛnɔst
в’лтава	vəɫtava
габа	ɡaba
габер	ɡabɛr
габеров	ɡabɛɾɔf
габичка	ɡabit͡ʃka
гавран	ɡavran
гавранов	ɡavranɔf
гавранче	ɡavrant͡ʃɛ
гадливост	ɡadlivɔst
газ	ɡas
газдин	ɡazdin
газенце	ɡazɛnt͡sɛ
гази	ɡazi
галванизација	ɡaɫvanizat͡sija
галебов	ɡalɛbɔf
галежност	ɡalɛʒnɔst
ганѕало	ɡand͡zaɫɔ
гатачки	ɡatat͡ʃki
гајда	ɡajda
гајдар	ɡajdar
гајдари	ɡajdaɾi
гајдаџии	ɡajdad͡ʒii
гајдаџија	ɡajdad͡ʒija
гајди	ɡajdi
генерал	ɡɛnɛraɫ
генералисимус	ɡɛnɛɾalisimus
генетика	ɡɛnɛtika
генетичарка	ɡɛnɛtit͡ʃarka
генитив	ɡɛnitif
геотермален	ɡɛɔtɛrmalɛn
германец	ɡɛrmanɛt͡s
германка	ɡɛrmaŋka
герунд	ɡɛɾunt
гејша	ɡɛjʃa
гиздавост	ɡizdavɔst
гихт	ɡixt
главатар	ɡɫavatar
главатарство	ɡɫavatarstvɔ
главен	ɡɫavɛn
глагол	ɡɫaɡɔɫ
глаголица	ɡɫaɡɔlit͡sa
гладен	ɡɫadɛn
гладува	ɡɫaduva
глас	ɡɫas
гласачки	ɡɫasat͡ʃki
гласеж	ɡɫasɛʃ
гласилен	ɡɫasilɛn
гласилка	ɡɫasiɫka
гласиште	ɡɫasiʃtɛ
гласничка	ɡɫasnit͡ʃka
гласче	ɡɫaʃt͡ʃɛ
гласје	ɡɫasjɛ
гледа	ɡlɛda
гледачки	ɡlɛdat͡ʃki
глекав	ɡlɛkaf
глина	ɡlina
глинен	ɡlinɛn
глобализација	ɡɫɔbalizat͡sija
глогов	ɡɫɔɡɔf
гломазност	ɡɫɔmaznɔst
глоса	ɡɫɔsa
глувче	ɡɫuft͡ʃɛ
глужд	ɡɫuʃt
глупавост	ɡɫupavɔst
глушец	ɡɫuʃɛt͡s
гнаси	ɡnasi
гнасотилак	ɡnasɔtiɫak
гнасотија	ɡnasɔtija
гневност	ɡnɛvnɔst
гнезденце	ɡnɛzdɛnt͡sɛ
гнездо	ɡnɛzdɔ
гнет	ɡnɛt
гнилост	ɡniɫɔst
го	ɡɔ
говедо	ɡɔvɛdɔ
година	ɡɔdina
годинава	ɡɔdinava
годинашен	ɡɔdinaʃɛn
годишник	ɡɔdiʃnik
гои	ɡɔi
гол	ɡɔɫ
голем	ɡɔlɛm
големство	ɡɔlɛmstvɔ
голич	ɡɔlit͡ʃ
голтнички	ɡɔɫtnit͡ʃki
голтнува	ɡɔɫtnuva
голушка	ɡɔɫuʃka
голф	ɡɔɫf
гомнарски	ɡɔmnarski
гора	ɡɔɾa
горе	ɡɔɾɛ
гори	ɡɔɾi
горчливост	ɡɔrt͡ʃlivɔst
господ	ɡɔspɔt
господарство	ɡɔspɔdarstvɔ
господин	ɡɔspɔdin
господство	ɡɔspɔtstvɔ
госпоѓа	ɡɔspɔɟa
гостилница	ɡɔstiɫnit͡sa
гостилничарка	ɡɔstiɫnit͡ʃarka
гостопримливост	ɡɔstɔprimlivɔst
гостољубивост	ɡɔstɔlubivɔst
готварски	ɡɔtvarski
готварство	ɡɔtvarstvɔ
готвач	ɡɔtvat͡ʃ
готвачка	ɡɔtvat͡ʃka
готован	ɡɔtɔvan
готовински	ɡɔtɔvinski
готовност	ɡɔtɔvnɔst
грабливост	ɡrablivɔst
гравитациски	ɡravitat͡siski
гравче	ɡraft͡ʃɛ
град	ɡrat
града	ɡrada
градација	ɡradat͡sija
градба	ɡradba
гради	ɡradi
градина	ɡradina
градинарка	ɡradinarka
градини	ɡradini
