we	βˈe
babatda	bɑβˈɑtdɑ
diýip	dˈijip
iki	ˈiki
alyp	ˈɑɫɯp
hukuk	xˈʊqʊq
dowam	dˈoβɑːm
bar	bˈɑːr
durmuşa	dʊrmˈʊʃo
çenli	t͡ʃˈenli
işler	ˈiʃler
taýdan	tˈɑjdɑn
gün	ɡˈøn
dünýä	dˈønjæː
ol	ˈoɫ
işleri	iʃlˈeri
edýän	ˈedjæːn
belledi	bellˈedi
Türkmenistan	tˌørkmœnˈøθθɑːn
çäklerinde	t͡ʃˌæklerˈinne
hökmünde	hœkmˈønnœ
netijeli	nˌetid͡ʒˈeli
köp	kˈœp
baradaky	bˌɑrɑdˈɑːqɯ
ýyl	jˈɯɫ
habar	xˈɑβɑr
ýylda	jˈɯɫɫɑ
arasynda	ˌɑrɑθˈɯnnɑ
edilen	edˈilen
etdi	ˈetdi
her	hˈer
bellenilen	bˌellenˈilen
berilýär	berˈiljæːr
almak	ɑɫmˈɑq
eýe	ˈeje
Ministrler	minˈiθθrler
diňe	dˈiŋe
geçirilen	ɡˌet͡ʃirˈilen
ykdysady	ˌɯqdɯθˈɑdɯ
Türkmen	tˈørkmœn
edilýär	edˈiljæːr
Soňra	θˈoŋro
özara	œːðˈɑrɑ
dowamynda	dˌoβomˈʊnno
geçirmek	ɡˌet͡ʃirmˈek
bilner	bˈilner
madda	mˈɑddɑ
Şunuň	ʃˈʊnʊŋ
işleriň	iʃlˈeriŋ
sanda	θˈɑnnɑ
durmuş	dˈʊrmʊʃ
hasabat	xɑθˈɑβɑt
zerur	ðˈerʊr
ýurdumyzda	jˌʊrdʊmˈʊððo
Aziýa	ɑðˈijɑ
iri	ˈiːri
ýol	jˈoːɫ
wagtda	βˈɑʁtdɑ
giň	ɡˈiːŋ
biri	bˈiːri
özi	ˈœːðø
Ol	ˈoɫ
Şol	ʃˈoɫ
ilkinji	ilkˈind͡ʒi
birnäçe	birnˈæːt͡ʃe
biziň	bˈiðiŋ
baglylykda	bˌɑʁɫɯɫˈɯqdɑ
umumy	ʊmˈʊmʊ
Prezidenti	prˌeðidˈenti
aşyrylýar	ˌɑʃɯrˈɯɫjɑr
Türkmenistanda	tˌørkmœnøθθˈɑnnɑ
ajaýyp	ɑd͡ʒˈɑːjɯp
geçirilýän	ɡˌet͡ʃirˈiljæn
arkaly	ɑrqˈɑɫɯ
örän	ˈœræːn
ösüş	ˈœθøʃ
aýtdy	ˈɑjtdɯ
geçirildi	ɡˌet͡ʃirˈilli
esasynda	ˌeθɑθˈɯnnɑ
soň	θˈoŋ
hojalyk	xod͡ʒˈoɫʊq
yzygiderli	ˌɯðɯɡidˈerli
doly	dˈoɫʊ
başga	bˈɑʃʁɑ
ulag	ˈʊɫoʁ
berýär	bˈerjæːr
okuw	ˈoqʊβ
Häzirki	hæːðˈirki
Eger	ˈeʁer
gatnaşyklary	ɡˌɑtnɑʃɯqɫˈɑrɯ
etmäge	etmˈæːɡe
Merkezi	merkˈeði
işi	ˈiʃi
çykyş	t͡ʃˈɯqɯʃ
ýardam	jˈɑrdɑm
barşynda	bɑrʃˈɯnnɑ
hakyndaky	xˌɑqɯndˈɑːqɯ
oba	ˈoːβo
edip	ˈedip
salgyt	θˈɑɫʁɯt
tertipde	tertˈipde
medeni	medˈeni
mümkinçilik	mˌømkønt͡ʃˈølik
gezek	ɡˈeðek
gümrük	ɡˈømrøk
ýaşaýyş	jɑːʃˈɑjɯʃ
müň	mˈøŋ
döwürde	dœβˈørdœ
mundan	mˈʊnnon
ýurt	jˈʊrt
ösdürmek	ˌœθθørmˈœk
birinji	birˈind͡ʒi
mynasyp	mɯnˈɑːθɯp
onda	ˈonno
Kabinetiniň	qˌɑβinetˈiniŋ
bermek	bermˈek
edaralarynyň	ˌedɑrˌɑɫɑrˈɯnɯŋ
ýurduň	jˈʊrdʊŋ
kazyýet	qɑðˈɯjet
Berdimuhamedowyň	bˌerdimˌʊxomedˈoβʊŋ
Halkara	xɑɫqˈɑːrɑ
hyzmatdaşlyk	xˌɯðmɑtdˈɑʃɫɯq
Olar	ˈolor
olar	ˈolor
Aşgabat	ɑʃʁˈɑβɑt
atly	ˈɑtɫɯ
edildi	edˈilli
berildi	berˈilli
geçirilýär	ɡˌet͡ʃirˈiljæːr
üstünlikli	ˌøθθønlˈøklø
Munuň	mˈʊnʊŋ
oňa	ˈoŋo
gelýän	ɡˈeljæn
Onuň	ˈonʊŋ
laýyk	ɫˈɑːjɯq
zähmet	ðˈæhmet
üns	ˈønθ
taýýarlyk	tɑjjˈɑrɫɯq
Olaryň	oɫˈorʊŋ
hereket	herˈeket
hukugy	xʊqˈʊʁʊ
tutulan	tʊtˈʊɫon
Täze	tˈæːðe
bilim	bˈilim
hyzmatdaşlygy	xˌɯðmɑtdɑʃɫˈɯʁɯ
suw	θˈʊβ
aýdyň	ˈɑjdɯŋ
maksady	mɑqθˈɑdɯ
barylýan	bɑrˈɯɫjɑn
gaýtadan	ɡɑjtˈɑdɑn
geçen	ɡˈet͡ʃen
dünýäniň	dønjˈæniŋ
howa	xˈoβɑː
diýlip	dˈijlip
beýan	bˈejɑːn
has	xˈɑθ
ýörite	jœrˈøtœ
welaýatynyň	βˌelɑjɑtˈɯnɯŋ
bolar	bˈolor
göterim	ɡœtˈœrøm
işjeň	ˈiːʃʃeŋ
ylmy	ˈɯɫmɯ
bolmadyk	boɫmˈodʊq
netijesinde	nˌetid͡ʒeθˈinne
derejede	dˌered͡ʒˈede
däl	dˈæːl
ony	ˈonʊ
talap	tˈɑlɑːp
görkezilen	ɡˌœrkœðˈølœn
döwründe	dœβrˈønnœ
döwrebap	dœβrˈœβɑp
netijeleri	nˌetid͡ʒelˈeri
biler	bˈiler
serişdeleriniň	θˌeriʃdˌelerˈiniŋ
Respublikasynyň	rˌeθpʊβlˌikɑθˈɯnɯŋ
ýüze	jˈøðœ
işini	iʃˈini
pul	pˈʊɫ
ugrunda	ʊʁrˈʊnno
sany	θˈɑnɯ
ikinji	ikˈind͡ʒi
ygtyýarly	ˌɯʁtɯjˈɑrɫɯ
ýola	jˈoːɫo
anyk	ˈɑnɯq
gol	ɡˈoɫ
çäreler	t͡ʃærˈeler
taryhy	tɑrˈɯxɯ
tertibi	tertˈiːβi
işiniň	iʃˈiniŋ
baglanyşykly	bˌɑːʁɫɑnɯʃˈɯqɫɯ
degişlidir	dˌeʁiʃlˈidir
gaz	ɡˈɑð
ýüz	jˈøð
berlen	bˈerlen
toparynyň	tˌoporˈʊnʊŋ
hasaba	xɑθˈɑβɑ
topary	topˈorʊ
gözegçilik	ɡˌœðœʁt͡ʃˈøløk
senagat	θenˈɑʁɑt
ykrar	ˈɯqrɑr
döwletimiziň	dˌœβlœtømˈøðiŋ
wekilleri	βˌekillˈeri
işe	ˈiʃe
kanunçylygynda	qˌɑnʊnt͡ʃˌʊɫʊʁˈʊnnɑ
Ýurdumyzyň	jˌʊrdʊmˈʊðʊŋ
syýahatçylyk	θˌɯjɑxɑt͡ʃt͡ʃˈɯɫɯq
ulgamynda	ˌʊɫʁomˈʊnnɑ
meseleleri	mˌeθelelˈeri
adam	ˈɑːdɑm
nygtady	nɯʁtˈɑdɯ
Aşgabatda	ˌɑʃʁɑβˈɑtdɑ
zaman	ðˈɑmɑn
ägirt	ˈæʁirt
bilelikde	bˌilelˈikde
döredijilik	dˌœrœdød͡ʒˈilik
Daşary	dɑʃˈɑrɯ
goraýyş	ɡoːrˈojɯʃ
hyzmat	xˈɯðmɑt
çäreleri	t͡ʃˌærelˈeri
baş	bˈɑʃ
bellige	bellˈiʁe
kanunçylygyna	qˌɑnʊnt͡ʃˌʊɫʊʁˈʊnɑ
özüniň	œðˈønøŋ
aýynda	ɑjˈɯnnɑ
edara	edˈɑrɑ
üç	ˈøt͡ʃ
geçiriljek	ɡˌet͡ʃirˈild͡ʒek
maýa	mˈɑjɑ
orunbasary	ˌorʊnmoθˈorɯ
şertleri	ʃertlˈeri
edaralary	ˌedɑrɑɫˈɑrɯ
Baştutanymyzyň	bˌɑʃtʊtˌonʊmˈɯðɯŋ
hyzmatdaşlygyň	xˌɯðmɑtdɑʃɫˈɯʁɯŋ
alyş	ˈɑɫɯʃ
ulgamynyň	ˌʊɫʁomˈʊnʊŋ
Biziň	bˈiðiŋ
arasyndaky	ˌɑrɑθɯndˈɑːqɯ
diýen	dˈijen
mynasybetli	mˌɯnɑθɯβˈetli
möçberi	mœt͡ʃβˈœrø
Prezidentiniň	prˌeðidentˈiniŋ
berk	bˈerk
baýramçylyk	bˌɑjrɑmt͡ʃˈɯɫɯq
görnüşleri	ɡˌœrnøʃlˈœrø
saglygy	θɑʁɫˈɯʁɯ
gelip	ɡˈelip
barýan	bˈɑrjɑːn
görnüşi	ɡœrnˈøʃø
ýaş	jˈɑːʃ
çagalar	t͡ʃɑːʁˈɑɫɑr
hatarynda	xˌɑtɑrˈɯnnɑ
dynç	dˈɯnt͡ʃ
olary	oɫˈorʊ
gurluşyk	ɡʊrɫˈʊʃʊq
ikitaraplaýyn	ˌikitˌɑrɑpɫˈɑjɯn
toplumynyň	tˌopɫʊmˈʊnʊŋ
bolşy	bˈoɫʃʊ
ýagdaýy	jɑʁdˈɑjɯ
bardyr	bˈɑrdɯr
halkymyzyň	xˌɑɫqɯmˈɯðɯŋ
resmi	rˈeθmi
harby	xˈɑrβɯ
edarasy	ˌedɑrˈɑθɯ
görä	ɡˈœræː
tebigy	teβˈiʁɯ
goramak	ɡˌoːromˈoq
söwda	θˈœβdɑ
ulgamy	ʊɫʁˈomʊ
alnan	ˈɑɫnɑn
belent	bˈelent
bolýar	bˈoɫjɑːr
giňden	ɡˈiŋŋen
şäherinde	ʃˌæherˈinne
gatnaşyklaryň	ɡˌɑtnɑʃɯqɫˈɑrɯŋ
şäheriniň	ʃˌæherˈiniŋ
ulanmaga	ˌʊɫonmˈoʁɑ
demir	dˈemir
köpçülikleýin	kˌœpt͡ʃøløklˈœjin
nobatdaky	nˌoβotdˈɑːqɯ
ýerli	jˈerli
mahalynda	mˌɑxɑɫˈɯnnɑ
oňyn	ˈoŋʊn
ösdürmegiň	ˌœθθørmˈœʁøŋ
deň	dˈeŋ
şahsy	ʃˈɑxθɯ
hünär	hˈønær
döretmek	dˌœrœtmˈœk
ösdürmäge	ˌœθθørmˈæːɡe
baha	bˈɑxɑ
Başlygynyň	bˌɑʃɫɯʁˈɯnɯŋ
Baş	bˈɑʃ
tutulýan	tʊtˈʊɫjɑn
etmegiň	etmˈeʁiŋ
göterime	ɡˌœtœrˈøme
halatynda	xˌɑɫɑtˈɯnnɑ
gyzyklanma	ɡˌɯðɯqɫˈɑnmɑ
Şunda	ʃˈʊnno
gadymy	ɡɑdˈɯmɯ
serişdeleri	θˌeriʃdelˈeri
öwrüldi	œβrˈøllø
üçünji	øt͡ʃˈønd͡ʒø
däldir	dˈællir
desgalaryň	dˌeθʁɑɫˈɑrɯŋ
gowrak	ɡˈoβrɑːq
ileri	ilˈeri
önümleri	ˌœnømlˈœrø
öň	ˈœŋ
ara	ˈɑːrɑ
halkynyň	xɑɫqˈɯnɯŋ
gurluşygy	ɡˌʊrɫʊʃˈʊʁʊ
depgini	depʁˈini
saklamak	θˌɑqɫɑmˈɑq
ugurda	ʊʁˈʊrdo
syýasatynyň	θˌɯjɑθɑtˈɯnɯŋ
işleriniň	ˌiʃlerˈiniŋ
soňky	θˈoŋqʊ
eder	ˈeder
edilmegi	ˌedilmˈeʁi
hususy	xʊθˈʊθʊ
önümçilik	ˌœnømt͡ʃˈøløk
Olimpiýa	ˌoɫimpˈijɑ
maliýe	mɑɫˈije
berjaý	bˈerd͡ʒɑj
medeniýet	mˌedenˈijet
yglan	ˈɯʁɫɑn
kesgitlenilýär	kˌeθʁitlenˈiljæːr
bank	bˈɑnk
derejesinde	dˌered͡ʒeθˈinne
adamlar	ɑdˈɑmɫɑr
işläp	ˈiːʃlæːp
ýere	jˈere
Mundan	mˈʊnnon
elektrik	elˈektrik
gatnaşyklarynyň	ɡˌɑtnɑʃˌɯqɫɑrˈɯnɯŋ
jemgyýetçilik	d͡ʒˌemʁɯjet͡ʃt͡ʃˈilik
özboluşly	ˌœðβoɫˈʊʃɫʊ
tutuş	tˈʊtʊʃ
halk	xˈɑɫk
munuň	mˈʊnʊŋ
bellenen	bellˈenen
edilýän	edˈiljæn
taýýarlamak	tˌɑjjɑrɫɑmˈɑq
merkezi	merkˈeði
söweş	θˈœβœʃ
bellenildi	bˌellenˈilli
edarasynyň	ˌedɑrɑθˈɯnɯŋ
Liderimiziň	lˌiderimˈiðiŋ
Prezidentimiziň	prˌeðidˌentimˈiðiŋ
barylýar	bɑrˈɯɫjɑr
eden	ˈeden
altyn	ˈɑɫtɯn
hasabyna	xˌɑθɑβˈɯnɑ
million	millˈion
derejesini	dˌered͡ʒeθˈini
ýyllarda	jɯɫɫˈɑrdɑ
deňiz	dˈeŋið
tarap	tˈɑrɑp
goýmak	ɡojmˈɑq
döwletiň	dœβlˈœtøŋ
gönükdirilen	ɡˌœnøkdørˈølen
gelen	ɡˈelen
güni	ɡˈønø
aragatnaşyk	ˌɑːrɑʁɑtnˈɑʃɯq
ýetirilen	jˌetirˈilen
adamlaryň	ˌɑdɑmɫˈɑrɯŋ
gowy	ɡˈoβʊ
toparlarynyň	tˌoporɫorˈɯnɯŋ
bellenilýär	bˌellenˈiljæːr
jemi	d͡ʒˈemi
işine	iʃˈine
sungaty	θʊnʁˈotʊ
Watanymyzyň	βˌɑtɑnɯmˈɯðɯŋ
dolandyryş	dˌoɫonnˈʊrɯʃ
bölegi	bœlˈœʁø
ulgamyny	ˌʊɫʁomˈʊnʊ
durýan	dˈʊrjɑn
sportuň	θpˈortʊŋ
ugur	ˈʊʁʊr
belli	bˈelli
bagtyýarlyk	bˌɑʁtɯjˈɑrɫɯq
emele	emˈele
olara	oɫˈoro
ugurlary	ˌʊʁʊrɫˈorʊ
öňe	ˈœŋœ
ýürekden	jørˈœkdœn
orun	ˈorʊn
berýän	bˈerjæn
ministrligi	mˌiniθθrlˈiʁi
önümleriniň	ˌœnømlœrˈønøŋ
hakyky	xɑqˈɯqɯ
ähmiýetli	ˌæhmijˈetli
niýetlenen	nˌijetlˈenen
gatnaşyjylar	ɡˌɑtnɑʃɯd͡ʒˈɯɫɑr
çäreleriň	t͡ʃˌærelˈeriŋ
hasap	xˈɑθɑp
serişdelerini	θˌeriʃdˌelerˈini
syýasy	θɯjˈɑθɯ
özünde	œðˈønnœ
ak	ˈɑːq
amatly	ɑmˈɑtɫɯ
goşmaça	ɡoʃmˈot͡ʃo
özüne	œːðˈønœ
bilelikdäki	bˌilelikdˈæːkɪ
gullugynyň	ɡˌʊɫɫʊʁˈʊnʊŋ
peýdalanmak	pˌejdɑɫɑnmˈɑq
belläp	bˈellæːp
ýurtlaryň	jʊrtɫˈɑrɯŋ
bagly	bˈɑːʁɫɯ
geçiriler	ɡˌet͡ʃirˈiler
durnukly	dʊrnˈʊqɫʊ
orny	ˈornʊ
işgärleri	ˌiʃʁærlˈeri
başlap	bˈɑʃlɑːp
bermäge	bermˈæːʁe
möçberli	mœt͡ʃβˈœrlø
ýagdaýda	jɑʁdˈɑjdɑ
düýpli	dˈøːjpli
maddanyň	mɑddˈɑnɯŋ
eýsem	ˈejθem
gazanan	ɡɑðˈɑnɑn
işleýän	iʃlˈejæn
toplumy	topɫˈʊmʊ
orta	ˈorto
ugry	ˈʊʁrʊ
ýerleşýän	jerlˈeʃjæn
şertler	ʃˈertler
Berkarar	berqˈɑrɑr
satyn	θˈɑtɯn
arzuw	ˈɑrðʊβ
böleginde	bˌœlœʁˈønne
ýer	jˈer
kömek	kœmˈek
ýetirmek	jˌetirmˈek
öňdebaryjy	ˌœŋŋœβɑrˈɯd͡ʒɯ
tüýs	tˈøːjθ
üsti	ˈøθθø
Iş	ˈiːʃ
Garaşsyz	ɡɑrˈɑʃθɯð
mümkinçilikleri	mˌømkønt͡ʃˌøliklˈeri
çekdi	t͡ʃˈekdi
derejeli	dˌered͡ʒˈeli
oňat	ˈoŋot
gatnaşmagynda	ɡˌɑtnɑʃmɑʁˈɯnnɑ
etdiler	etdˈiler
çäginde	t͡ʃæʁˈinne
energetika	ˌenerʁetˈikɑ
lukmançylyk	ɫˌʊqmont͡ʃˈʊɫɯq
ugurlarynyň	ˌʊʁʊrɫorˈʊnʊŋ
ünsi	ˈønθø
baý	bˈɑj
islendik	iθlˈennik
Mary	mˈɑrɯ
ulanylýar	ˌʊɫonˈʊɫjɑr
tehniki	tehnˈiki
beriş	bˈeriʃ
ekologiýa	ˌekoɫoɡˈijɑ
ruhy	rˈʊxʊ
dabaraly	dˌɑβɑrˈɑɫɯ
garşy	ɡˈɑrʃɯ
saýlaw	θˈɑjɫoβ
wagtynda	βɑʁtˈɯnnɑ
borçludyr	bort͡ʃɫˈʊdʊr
geljegi	ɡeld͡ʒˈeʁi
şanly	ʃˈɑnɫɯ
agzalary	ˌɑʁðɑɫˈɑrɯ
paýtagtymyzyň	pˌɑjtɑʁtɯmˈɯðɯŋ
wezipeleri	βˌeðipelˈeri
Medeniýet	mˌedenˈijet
ýurdumyz	jʊrdˈʊmʊð
Mälim	mˈælim
tabşyrdy	tɑβʃˈɯrdɯ
Birleşen	birlˈeʃen
ýük	jˈøk
Kodeksiň	qodˈekθiŋ
Lebap	lˈeβɑp
alan	ˈɑɫɑn
hilli	hˈilli
maglumatlar	mˌɑʁɫʊmˈotɫor
bellemek	bˌellemˈek
ýuridik	jʊrˈidik
geçirilmegi	ɡˌet͡ʃirilmˈeʁi
Bitaraplyk	bˌitɑrˈɑpɫɯq
Kanunyň	qɑnˈʊnʊŋ
hasabaty	xˌɑθɑβˈɑtɯ
kadalaşdyryjy	qˌɑdɑɫˌɑʃdɯrˈɯd͡ʒɯ
döredilen	dˌœrœdˈølen
görnüşde	ɡœrnˈøʃdœ
ýolbaşçylary	jˌoɫβoʃʃʊɫˈɑrɯ
edilip	edˈilip
sungat	θˈʊnʁot
Ahal	ˈɑxɑɫ
almaga	ɑɫmˈɑʁɑ
bähbitli	bæhβˈitli
goýlan	ɡˈojɫɑn
gürrüň	ɡˈørrøŋ
ýurtly	jˈʊrtɫʊ
belleýşi	bellˈejʃi
döwrüň	dˈœβrøŋ
gatnaşyklaryny	ɡˌɑtnɑʃˌɯqɫɑrˈɯnɯ
geldi	ɡˈelli
geçirmäge	ɡˌet͡ʃirmˈæːɡe
guramalarynyň	ɡˌʊromˌoɫɑrˈɯnɯŋ
maglumatlary	mˌɑʁɫʊmotɫˈorɯ
sazlaşykly	θˌɑðɫɑʃˈɯqɫɯ
toplumlaýyn	tˌopɫʊmɫˈojɯn
ýeri	jˈeri
işlerini	ˌiʃlerˈini
işgärleriniň	ˌiʃʁærlerˈiniŋ
ministrliginiň	mˌiniθθrliʁˈiniŋ
Aziýanyň	ˌɑðijˈɑnɯŋ
Biz	bˈið
hemişelik	hˌemiʃˈelik
meşhur	mˈeʃxʊr
adamyň	ɑdˈɑmɯŋ
hak	xˈɑq
maksatly	mɑqθˈɑtɫɯ
dünýäde	dønjˈæːde
eýedir	ejˈedir
mähirli	mæhˈirli
ählumumy	ˌæhɫʊmˈʊmʊ
sebit	θˈeβit
şaýatlyk	ʃɑjˈɑtɫɯq
Bitarap	biːtˈɑrɑp
gelýär	ɡˈeljæːr
toplumynda	tˌopɫʊmˈʊnno
Onda	ˈonno
harytlaryň	xˌɑrɯtɫˈɑrɯŋ
haky	xˈɑqɯ
möhleti	mœhlˈœtø
barabar	bɑrˈɑβɑr
beýik	bˈejik
bürünç	bˈørønt͡ʃ
dostlukly	doθθɫˈʊqɫʊ
hemmetaraplaýyn	hˌemmetˌɑrɑpɫˈɑjɯn
Ýokary	joqˈorʊ
boldular	boɫɫˈʊɫor
görnüşli	ɡœrnˈøʃlø
merkeziniň	mˌerkeðˈiniŋ
diňläp	dˈiŋlæːp
fiziki	fˌiðˈiki
ähmiýet	æhmˈijet
ýagdaýynda	jˌɑʁdɑjˈɯnnɑ
şäher	ʃˈæher
gatnaşyjylaryň	ɡˌɑtnɑʃˌɯd͡ʒɯɫˈɑrɯŋ
soňra	θˈoŋro
beren	bˈeren
karz	qˈɑrð
on	ˈoːn
açyk	ˈɑt͡ʃɯq
taraplaryň	tˌɑrɑpɫˈɑrɯŋ
Mejlisiň	med͡ʒlˈiθiŋ
Milletler	millˈetler
birlikde	birlˈikde
etmegi	etmˈeʁi
kämilleşdirmek	kˌæmillˌeʃdirmˈek
merkezinde	mˌerkeðˈinne
ösüşiň	œθˈøʃøŋ
bäş	bˈæːʃ
berilýän	berˈiljæn
ozal	ˈoðoɫ
pikir	pˈikir
gününden	ɡønˈønnœn
içinde	it͡ʃˈinne
kümüş	kˈømøʃ
ýoly	jˈoːɫʊ
toparlary	tˌoporɫˈorɯ
Türkmenistana	tˌørkmœnøθθˈɑnɑ
guramaçylyk	ɡˌʊromot͡ʃˈɯɫɯq
hormat	xˈormot
täsir	tˈæθir
wezipeli	βˌeðipˈeli
ähmiýeti	ˌæhmijˈeti
hünärmenleri	hˌønærmœnlˈeri
tutulýar	tʊtˈʊɫjɑr
çykýan	t͡ʃˈɯqjɑn
berer	bˈerer
işiň	ˈiʃiŋ
şahs	ʃˈɑxθ
görnüşinde	ɡˌœrnøʃˈønnœ
biz	bˈið
jogapkärçilik	d͡ʒˌoʁopkært͡ʃˈilik
Daşoguz	dɑʃˈoβʊð
dabarasy	dˌɑβɑrˈɑθɯ
goýum	ɡˈojʊm
gatnaşdylar	ɡˌɑtnɑʃdˈɯɫɑr
parahatçylyk	pˌɑrɑxɑt͡ʃt͡ʃˈɯɫɯq
ösüşi	œθˈøʃø
bankynyň	bɑnqˈɯnɯŋ
gerek	ɡˈerek
gurmak	ɡʊrmˈoq
haklydyr	xɑqɫˈɯdɯr
saglyk	θˈɑʁɫɯq
halatlarda	xˌɑɫɑtɫˈɑrdɑ
bina	bˈinɑː
içerki	it͡ʃˈerki
berilmegi	bˌerilmˈeʁi
nazara	nɑðˈɑrɑ
welaýatyň	βˌelɑjˈɑtɯŋ
metr	mˈetr
derejesi	dˌered͡ʒˈeθi
gönükdirilendir	ɡˌœnøkdˌørølˈennir
hemişe	hemˈiʃe
aşyrylýan	ˌɑʃɯrˈɯɫjɑn
geçirmegiň	ɡˌet͡ʃirmˈeʁiŋ
tabşyryklary	tˌɑβʃɯrɯqɫˈɑrɯ
hukuklary	xˌʊqʊqɫˈorʊ
döredildi	dˌœrœdˈølli
uzak	ˈʊðoq
bes	bˈeθ
telekeçiler	tˌeleket͡ʃˈiler
ählisi	æhlˈiθi
ýeňiş	jˈeŋiʃ
aşyrmak	ˌɑʃɯrmˈɑq
kazyýetiň	qˌɑðɯjˈetiŋ
bagyşlanan	bˌɑʁɯʃɫˈɑnɑn
ýokarlandyrmak	jˌoqorɫˌonnɯrmˈɑq
başlygy	bɑʃɫˈɯʁɯ
binalarda	bˌinɑɫˈɑrdɑ
kanunçylygy	qˌɑnʊnt͡ʃʊɫˈʊʁʊ
Balkan	bˈɑɫqɑn
ulanmak	ˌʊɫonmˈoq
çap	t͡ʃˈɑp
edýärler	edjˈærler
ýetiriji	jˌetirˈid͡ʒi
Şonuň	ʃˈonʊŋ
gatnaşmak	ɡˌɑtnɑʃmˈɑq
işlenip	iʃlˈenip
döredýär	dœrˈœdjæːr
wezipesine	βˌeðipeθˈine
öňde	ˈœŋŋœ
öňüni	œŋˈønø
gatnaşyklar	ɡˌɑtnɑʃˈɯqɫɑr
bütin	bˈøtøːn
maslahat	mɑθɫˈɑxɑt
Duşuşygyň	dˌʊʃʊʃˈʊʁʊŋ
şertnama	ʃertnˈɑːmɑ
wagt	βˈɑʁt
üstünlikleri	ˌøθθønløklˈeri
Geçen	ɡˈet͡ʃen
barha	bˈɑrxɑ
meselelerine	mˌeθelˌelerˈine
gatnaşýan	ɡɑtnˈɑʃjɑn
gülläp	ɡˈøllæːp
önümlerini	ˌœnømlœrˈønø
önümleriň	ˌœnømlˈœrøŋ
ulgamda	ʊɫʁˈomno
pagta	pˈɑʁtɑ
ösüşiniň	ˌœθøʃˈønøŋ
desgalary	dˌeθʁɑɫˈɑrɯ
haryt	xˈɑrɯt
möçberde	mœt͡ʃβˈœrdœ
alýan	ˈɑɫjɑn
döwri	dˈœβrø
köpsanly	kœpθˈɑnɫɯ
aýdyp	ˈɑjdɯp
düzümi	døðˈømø
eger	ˈeʁer
başlangyjy	bˌɑʃɫɑnʁˈɯd͡ʒɯ
ýazmaça	jɑðmˈɑt͡ʃɑ
bahasy	bɑxˈɑθɯ
meseleler	mˌeθelˈeler
töleg	tˈœlœʁ
Şeýlelikde	ʃˌejlelˈikde
gatnaşdy	ɡɑtnˈɑʃdɯ
Aşgabadyň	ˌɑʃʁɑβˈɑdɯŋ
döwletiniň	dˌœβlœtˈønøŋ
türgenleri	tˌørʁœnlˈeri
döwletara	dˌœβlœtˈɑrɑ
bilerler	bilˈerler
ady	ˈɑːdɯ
banky	bˈɑnqɯ
Ýurdumyzda	jˌʊrdʊmˈʊððo
Her	hˈer
ahalteke	ˌɑxɑɫtˈeke
geljekde	ɡeld͡ʒˈekde
söz	θˈœð
ýygyndy	jɯʁˈɯnnɯ
işewür	iʃˈœβør
maglumat	mɑʁɫˈʊːmot
ähmiýete	ˌæhmijˈete
azyk	ˈɑːðɯq
maşgala	mɑʃʁˈɑɫɑ
sanly	θˈɑnɫɯ
senagaty	θˌenɑʁˈɑtɯ
çykyşlary	t͡ʃˌɯqɯʃɫˈɑrɯ
mähriban	mæhrˈiβɑːn
ybaratdyr	ˌɯβɑrˈɑtdɯr
