a	ɑː
andian	ɑndiɑn
andig	ɑndij
andlang	ɑndlɑnɡ
andsaca	ɑndsɑkɑ
andsware	ɑndswɑre
andswarian	ɑndswɑriɑn
andswaru	ɑndswɑru
andswerian	ɑndswerjɑn
andtimber	ɑndtimber
andustrian	ɑnduːstriɑn
andustrigan	ɑnduːstrijɑn
andweard	ɑndwæ͜ɑrd
andweardian	ɑndwæ͜ɑrdiɑn
andweardnes	ɑndwæ͜ɑrdnes
andweorc	ɑndwe͜ork
andwig	ɑndwiːɡ
andwirdan	ɑndwirdɑn
andwis	ɑndwiːs
andwist	ɑndwist
andwlita	ɑndwlitɑ
andwlitan	ɑndwliːtɑn
andwyrdan	ɑndwyrdɑn
andwyrde	ɑndwyrde
aneged	ɑːneːjed
anemnan	ɑːnemnɑn
anes	ɑːnes
anfeald	ɑːnfæ͜ɑld
anfealdlice	ɑːnfæ͜ɑldliːt͡ʃe
anfealdnes	ɑːnfæ͜ɑldnes
anfealdnys	ɑːnfæ͜ɑldnys
anfloga	ɑːnfloɡɑ
anforlætan	ɑːnforlæːtɑn
angbreost	ɑnɡbre͜oːst
ange	ɑnɡe
angelcirice	ɑnɡelt͡ʃirit͡ʃe
angelcynn	ɑnɡelkynn
angenga	ɑːnɡenjɑ
anginn	ɑnjinn
angsum	ɑnɡsum
angsumnes	ɑnɡsumnes
anhaga	ɑːnxɑɡɑ
anhealdan	ɑnxæ͜ɑldɑn
anhende	ɑːnxende
anhorn	ɑːnxorn
aniege	ɑːni͜yːje
anige	ɑːniːje
animan	ɑːnimɑn
anlaf	ɑnlɑf
anlec	ɑnleːt͡ʃ
anlicnes	ɑnliːknes
anliepig	ɑːnli͜yːpij
anlipig	ɑːnliːpij
anlæcan	ɑːnlæːt͡ʃɑn
anlætan	ɑːnlæːtɑn
anmedla	ɑnmedlɑ
annes	ɑːnnes
ansien	ɑnsi͜yːn
ansund	ɑnsund
ansyn	ɑnsyːn
antid	ɑːntiːd
antimber	ɑntimber
anwadan	ɑnwɑdɑn
anweald	ɑnwæ͜ɑld
anwig	ɑːnwiːj
anælan	ɑnæːlɑn
apa	ɑpɑ
apostata	ɑpostɑtɑ
apuldor	ɑpuldor
ar	ɑːr
ara	ɑːrɑ
arabia	ɑrɑbiɑ
arabisc	ɑrɑbiʃ
arcebiscop	ɑrt͡ʃebiʃʃop
arcebiscoprice	ɑrt͡ʃebiʃʃopriːt͡ʃe
ardæde	ɑːrdæːde
are	ɑːre
arfæst	ɑːrfæst
arian	ɑːriɑn
arisan	ɑːriːsɑn
arisaþ	ɑːriːsɑθ
arleas	ɑːrlæ͜ɑːs
arm	ɑrm
arstafas	ɑːrstɑfɑs
arwald	ɑrwɑld
arwe	ɑːrwe
aryþ	ɑːryːθ
arædan	ɑːræːdɑn
aræran	ɑːræːrɑn
asawan	ɑːsɑːwɑn
ascacan	ɑːʃɑkɑn
ascafan	ɑːʃɑfɑn
asceadan	ɑːʃæ͜ɑːdɑn
asceadan	ɑːʃɑːdɑn
asceotan	ɑːʃe͜oːtɑn
ascian	ɑːskiɑn
asciendlic	ɑːskiendliːt͡ʃ
ascieppan	ɑːʃi͜yppɑn
ascinan	ɑːʃiːnɑn
ascirian	ɑːʃirjɑn
ascirigendlic	ɑːʃirijendliːt͡ʃ
ascrencan	ɑːʃrent͡ʃɑn
ascufan	ɑːʃuːfɑn
ascung	ɑːskunɡ
ascunian	ɑːʃuːniɑn
ascuniendlic	ɑːʃuːni͜yndliːt͡ʃ
ascunung	ɑːʃuːnunɡ
asecan	ɑːseːt͡ʃɑn
asecgan	ɑːsejjɑn
asellan	ɑːsellɑn
aseon	ɑːse͜oːn
asettan	ɑːsettɑn
aseþan	ɑːseːθɑn
asittan	ɑːsittɑn
asmeagan	ɑːsmæ͜ɑːjɑn
asprungen	ɑːsprunɡen
asprungennes	ɑːsprunɡennes
astandan	ɑːstɑndɑn
astyrian	ɑːstyrjɑn
asundrian	ɑːsundriɑn
asundrodlic	ɑːsundrodliːt͡ʃ
asweartian	ɑːswæ͜ɑrtiɑn
aswebban	ɑːswebbɑn
asyndrian	ɑːsyndriɑn
asyndrung	ɑːsyndrunɡ
ateon	ɑːte͜oːn
atol	ɑtol
ator	ɑːtor
atorbære	ɑːtorbæːre
atorcoppe	ɑːtorkoppe
atorlic	ɑːtorliːt͡ʃ
atr	ɑːtr
augustus	ɑuɡustus
aulixes	ɑulikses
awacan	ɑːwɑkɑn
aweccan	ɑːwett͡ʃɑn
aweg	ɑːwej
awemman	ɑːwemmɑn
awendan	ɑːwendɑn
aweorpan	ɑːwe͜orpɑn
awiht	ɑːwixt
awlancian	ɑːwlɑnkiɑn
awlencan	ɑːwlent͡ʃɑn
awrecan	ɑːwrekɑn
awuldrian	ɑːwuldriɑn
awyrcan	ɑːwyrt͡ʃɑn
awyrgan	ɑːwyrjɑn
axian	ɑːksiɑn
axigendlic	ɑːksijendliːt͡ʃ
axung	ɑːksunɡ
að	ɑːθ
aþ	ɑːθ
aþecgan	ɑːθejjɑn
aþencan	ɑːθent͡ʃɑn
aþeodan	ɑːθe͜oːdɑn
aþeotan	ɑːθe͜oːtɑn
aþexe	ɑːθekse
aþiedan	ɑːθi͜yːdɑn
aþreotan	ɑːθre͜oːtɑn
aþum	ɑːθum
aþweran	ɑːθwerɑn
babilon	bɑbiloːn
babilonie	bɑbiloːnie
babilonige	bɑbiloːnije
baca	bɑkɑ
bacan	bɑkɑn
bacas	bɑkɑs
bacu	bɑku
bacum	bɑkum
bad	bɑːd
badian	bɑːdiɑn
balca	bɑlkɑ
bald	bɑld
ban	bɑːn
bana	bɑnɑ
banhus	bɑːnxuːs
banleas	bɑːnlæ͜ɑːs
bannan	bɑnnɑn
bar	bɑːr
barum	bɑrum
basnian	bɑːsniɑn
basnung	bɑːsnunɡ
basu	bɑsu
bat	bɑːt
batian	bɑtiɑn
batweard	bɑːtwæ͜ɑrd
baðanceaster	bɑθɑnt͡ʃæ͜ɑster
baðian	bɑθiɑn
baþian	bɑθiɑn
baþu	bɑθu
beacen	bæ͜ɑːken
beacenfyr	bæ͜ɑːkenfyːr
beacenstan	bæ͜ɑːkenstɑːn
beacn	bæ͜ɑːkn
beacnian	bæ͜ɑːkniɑn
beacniendlic	bæ͜ɑːkniendliːt͡ʃ
beacnung	bæ͜ɑːknunɡ
bead	bæːɑ̯d
beado	bæ͜ɑdo
beadu	bæ͜ɑdu
beag	bæ͜ɑːɡ
beagian	bæ͜ɑːɡiɑn
beah	bæ͜ɑːx
beald	bæ͜ɑld
bealdlice	bæ͜ɑldliːt͡ʃe
bealluc	bæ͜ɑlluk
beallucas	bæɑ̯llukɑs
bealo	bæ͜ɑlo
bealocwealm	bæ͜ɑlokwæ͜ɑlm
bealohydig	bæ͜ɑloxyːdij
bealu	bæ͜ɑlu
beam	bæ͜ɑːm
beamweg	bæ͜ɑːmwej
bean	bæ͜ɑːn
beard	bæ͜ɑrd
beardleas	bæ͜ɑrdlæ͜ɑːs
bearg	bæ͜ɑrɡ
bearm	bæ͜ɑrm
bearn	bæ͜ɑrn
bearneacen	bæ͜ɑrnæ͜ɑːken
bearneacnung	bæ͜ɑrnæ͜ɑːknunɡ
beatan	bæ͜ɑːtɑn
beatere	bæ͜ɑːtere
bebaðian	bebɑθiɑn
bebaþian	bebɑθiɑn
bebbe	bebbe
bebeodan	bebe͜oːdɑn
bebindan	bebindɑn
beblawan	beblɑːwɑn
bebod	bebod
bebodræden	bebodræːden
bebrecan	bebrekɑn
bebugan	bebuːɡɑn
bebycgan	bebyjjɑn
bec	beːt͡ʃ
bece	bet͡ʃe
bece	beːt͡ʃe
beceorfan	bet͡ʃe͜orfɑn
becierran	bet͡ʃi͜yrrɑn
beclipian	beklipiɑn
beclyppan	beklyppɑn
beclysan	beklyːsɑn
becnawan	beknɑːwɑn
becnyttan	beknyttɑn
becom	bekom
becrafian	bekrɑfiɑn
becreopan	bekre͜oːpɑn
becuman	bekumɑn
becwelan	bekwelɑn
becweþan	bekweθɑn
becwæl	bekwæl
becyrran	bet͡ʃyrrɑn
bed	bed
bedcleofa	bedkle͜ofɑ
bedclyfa	bedklyfɑ
bedd	bedd
beddrida	beddridɑ
bedecian	bedekiɑn
bedelfan	bedelfɑn
bediernan	bedi͜yrnɑn
bedofen	bedofen
bedon	bedoːn
bedragan	bedrɑɡɑn
bedreda	bedredɑ
bedrifan	bedriːfɑn
bedrincan	bedrinkɑn
bedtid	bedtiːd
bedu	bedu
bedufan	beduːfɑn
bedul	bedul
bedyppan	bedyppɑn
bedælan	bedæːlɑn
befealdan	befæ͜ɑldɑn
befeallan	befæ͜ɑllɑn
befeohtan	befe͜oxtɑn
befeolan	befe͜oːlɑn
befindan	befindɑn
beflean	beflæ͜ɑːn
befleogan	befle͜oːɡɑn
befleon	befle͜oːn
beflowan	befloːwɑn
befon	befoːn
beforan	beforɑn
beforancweþan	beforɑnkweθɑn
befreogan	befre͜oːjɑn
befrignan	befrijnɑn
befylan	befyːlɑn
befæstan	befæstɑn
befæstnian	befæstniɑn
began	beɡɑːn
begang	beɡɑnɡ
begangan	beɡɑnɡɑn
begbeam	bejbæ͜ɑːm
begen	beːjen
begeondan	bejondɑn
begeotan	beje͜oːtɑn
begieman	beji͜yːmɑn
begietan	beji͜ytɑn
beginnan	bejinnɑn
begnagan	beɡnɑɡɑn
begong	beɡonɡ
begrafan	beɡrɑfɑn
begreosan	beɡre͜oːsɑn
begretan	beɡreːtɑn
begripan	beɡriːpɑn
begrætan	beɡræːtɑn
begyman	bejyːmɑn
begyrdan	beɡyrdɑn
behabban	bexɑbbɑn
behat	bexɑːt
behatan	bexɑːtɑn
behatland	bexɑːtlɑnd
beheafdian	bexæ͜ɑːfdiɑn
beheafdung	bexæ͜ɑːfdunɡ
behealdan	bexæ͜ɑldɑn
beheawan	bexæ͜ɑːwɑn
behegian	bexeɡiɑn
behelmian	bexelmiɑn
behindan	bexindɑn
behleapan	bexlæ͜ɑːpɑn
behlehhan	bexlexxɑn
behlidan	bexliːdɑn
behliehhan	bexli͜yxxɑn
behlæstan	bexlæstɑn
behof	bexoːf
behofian	bexoːfiɑn
behon	bexoːn
behreosan	bexre͜oːsɑn
behropan	bexroːpɑn
behweorfan	bexwe͜orfɑn
behycgan	bexyjjɑn
behydan	bexyːdɑn
behæs	bexæːs
beirnan	beirnɑn
beladian	belɑːdiɑn
beladung	belɑːdunɡ
belean	belæ͜ɑːn
belecgan	belejjɑn
belendan	belendɑn
beleogan	bele͜oːɡɑn
belgan	belɡɑn
belicgan	belijjɑn
beliefan	beli͜yːfɑn
belifan	beliːfɑn
belimpan	belimpɑn
bellan	bellɑn
belle	belle
belltacen	belltɑːken
belt	belt
belucan	beluːkɑn
belyfan	belyːfɑn
belyrtan	belyrtɑn
belædan	belæːdɑn
belæfan	belæːfɑn
bemetan	bemetɑn
bemiþan	bemiːθɑn
bemurnan	bemurnɑn
bemænan	bemæːnɑn
ben	ben
ben	beːn
bena	beːnɑ
benc	bent͡ʃ
bendan	bendɑn
benemnan	benemnɑn
beneotan	bene͜oːtɑn
beneoþan	bene͜oθɑn
beniman	benimɑn
benn	benn
bennian	benniɑn
benotian	benotiɑn
bensian	beːnsiɑn
beo	be͜oː
beobread	be͜oːbræ͜ɑːd
beoceorl	be͜oːt͡ʃe͜orl
beocere	be͜oːkere
beod	be͜oːd
beodan	be͜oːdɑn
beodclaþ	be͜oːdklɑːθ
beodern	be͜oːdern
beofor	be͜ofor
beofung	be͜ofunɡ
beogang	be͜oːɡɑnɡ
beogol	be͜oːɡol
beom	beːo̯m
beomodor	be͜oːmoːdor
beon	be͜oːn
beor	be͜oːr
beoran	be͜orɑn
beorcan	be͜orkɑn
beorg	be͜orɡ
beorgan	be͜orjɑn
beorgan	be͜orɡɑn
beorht	be͜orxt
beorhthwil	be͜orxtxwiːl
beorhtian	be͜orxtiɑn
beorhtlice	be͜orxtliːt͡ʃe
beorhtnes	be͜orxtnes
beorma	be͜ormɑ
beorn	be͜orn
beornan	be͜ornɑn
beorsele	be͜oːrsele
beorþegu	be͜oːrθeɡu
beorþorþinen	be͜orθorθiːnen
beot	be͜oːt
beotian	be͜oːtiɑn
beow	be͜oːw
beowulf	be͜oːwulf
beowyrt	be͜oːwyrt
bepæcan	bepæːt͡ʃɑn
bepæcend	bepæːt͡ʃend
bepæcestre	bepæːt͡ʃestre
bepæcung	bepæːt͡ʃunɡ
ber	beːr
bera	berɑ
beran	berɑn
bercan	berkɑn
bere	bere
bereafian	beræ͜ɑːfiɑn
bereofan	bere͜oːfɑn
beridan	beriːdɑn
berige	berije
berstan	berstɑn
berædan	beræːdɑn
besawan	besɑːwɑn
besceadan	beʃæ͜ɑːdɑn
besceadan	beʃɑːdɑn
besceaduwian	beʃɑduwiɑn
bescieran	beʃi͜yrɑn
bescinan	beʃiːnɑn
bescitan	beʃiːtɑn
bescufan	beʃuːfɑn
bescyldian	beʃyldiɑn
bescyldigian	beʃyldiɡiɑn
besecgan	besejjɑn
besellan	besellɑn
besema	besemɑ
besendan	besendɑn
besengan	besenjɑn
beseon	bese͜oːn
besettan	besettɑn
besierwan	besi͜yrwɑn
besig	besij
besincan	besinkɑn
besingan	besinɡɑn
besittan	besittɑn
beslean	beslæ͜ɑːn
beslæpan	beslæːpɑn
besma	besmɑ
besmeagan	besmæ͜ɑːjɑn
besmierwan	besmi͜yrwɑn
besmirwan	besmirwɑn
besniwod	besniːwod
besorgian	besorɡiɑn
besprecan	besprekɑn
bestandan	bestɑndɑn
bestelan	bestelɑn
besteman	besteːmɑn
besteppan	besteppɑn
bestieman	besti͜yːmɑn
bestingan	bestinɡɑn
bestreawian	bestræ͜ɑːwiɑn
bestrican	bestriːkɑn
bestridan	bestriːdɑn
bestyman	bestyːmɑn
bestyrian	bestyrjɑn
beswican	beswiːkɑn
beswincan	beswinkɑn
besyrwan	besyrwɑn
bet	bet
betan	beːtɑn
betellan	betellɑn
beteon	bete͜oːn
beterian	beteriɑn
betredan	betredɑn
betweonan	betwe͜oːnɑn
betweonum	betwe͜oːnum
betweox	betwe͜oːks
betynan	betyːnɑn
betæcan	betæːt͡ʃɑn
bewacian	bewɑkiɑn
bewalwian	bewɑlwiɑn
bewarian	bewɑriɑn
bewealwian	bewæ͜ɑlwiɑn
beweardian	bewæ͜ɑrdiɑn
beweddian	beweddiɑn
bewendan	bewendɑn
beweorpan	bewe͜orpɑn
bewepan	beweːpɑn
bewindan	bewindɑn
bewitan	bewitɑn
bewlatian	bewlɑːtiɑn
bewlitan	bewliːtɑn
bewrecan	bewrekɑn
bewritan	bewriːtɑn
bewyrcan	bewyrt͡ʃɑn
bewægnan	bewæjnɑn
bewæpnian	bewæːpniɑn
beæwnian	beæːwniɑn
beþeccan	beθett͡ʃɑn
beþencan	beθent͡ʃɑn
beþeodan	beθe͜oːdɑn
beþian	beθiɑn
beþiedan	beθi͜yːdɑn
beþrawan	beθrɑːwɑn
beþringan	beθrinɡɑn
bi	biː
biblioþece	bibli͜uθeːke
bicce	bitt͡ʃe
bicnol	biːt͡ʃnol
bicweþan	bikweθɑn
bidan	biːdɑn
bidaþ	biːdɑθ
biddan	biddɑn
bidon	bidon
biecnan	bi͜yːknɑn
bieldan	bi͜yldɑn
bieme	biːeme
biemere	biːeme
biemian	bi͜yːmiɑn
bierce	bi͜yrt͡ʃe
biergan	bi͜yrjɑn
bierhtu	bi͜yrxtu
biernan	bi͜yrnɑn
bifian	bifiɑn
bigenga	biːjenɡɑ
bigspel	bijspel
bihreosan	bixre͜oːsɑn
bil	bil
bilehwit	bilexwiːt
bilewit	bilewit
biliþe	biliθe
billum	billum
binama	biːnɑmɑ
bindan	bindɑn
bineoþan	bine͜oθɑn
binn	binn
binnan	binnɑn
biorn	bi͜urn
birce	birt͡ʃe
birhtu	birxtu
birnan	birnɑn
bisceop	biske͜op
biscop	biʃʃop
biscopdom	biʃʃopdoːm
biscophad	biʃʃopxɑːd
biscoprice	biʃʃopriːt͡ʃe
biscopwyrt	biʃʃopwyrt
bisenian	biseniɑn
bisgian	bisjiɑn
bisig	bisij
bisignes	bisijnes
bisigu	bisiju
bismer	bismer
bismor	bismor
bisnian	bisniɑn
bispel	biːspel
bispell	biːspell
bispellboc	biːspellboːk
bisæc	biːsæk
bisæc	biːsæt͡ʃ
bisæc	biːsæːt͡ʃ
bisæcc	biːsækk
bisæcc	biːsætt͡ʃ
bita	bitɑ
bitan	biːtɑn
bite	bite
biter	biter
biterlice	biterliːt͡ʃe
biternes	biternes
bitor	bitor
bitter	bitter
biword	biːword
biwrecan	biwrekɑn
biþ	biθ
blac	blɑːk
blacern	blɑːkern
blacian	blɑːkiɑn
blanc	blɑnk
blanca	blɑnkɑ
blandan	blɑndɑn
blase	blɑse
blat	blɑːt
blatian	blɑːtiɑn
blaw	blɑːw
blawan	blɑːwɑn
bleat	blæ͜ɑːt
bleaþ	blæ͜ɑːθ
bled	bleːd
bledan	bleːdɑn
bledhwæt	bleːdxwæt
bledsian	bleːdsiɑn
blencan	blent͡ʃɑn
blendan	blendɑn
bleo	ble͜oː
bleoh	ble͜ox
bleoread	ble͜oːræ͜ɑːd
bletsian	bleːtsiɑn
bletsung	bleːtsunɡ
blican	bliːkɑn
blind	blind
blindnes	blindnes
blindnys	blindnys
blinnan	blinnɑn
bliss	bliss
blissian	blissiɑn
bliþe	bliːθe
bliþelice	bliːθeliːt͡ʃe
blod	bloːd
blodgian	bloːdɡiɑn
blodig	bloːdij
blodleas	bloːdlæ͜ɑːs
blodreow	bloːdre͜oːw
blodwite	bloːdwiːte
bloma	bloːmɑ
blondan	blondɑn
blondenfeax	blondenfæ͜ɑks
blostm	bloːstm
blostma	bloːstmɑ
blostmbære	bloːstmbæːre
blostmian	bloːstmiɑn
blot	bloːt
blotan	bloːtɑn
blotmonaþ	bloːtmoːnɑθ
blowan	bloːwɑn
blæc	blæk
blæcan	blæːt͡ʃɑn
blæced	blæːt͡ʃed
blæd	blæd
blæd	blæːd
blædnes	blæːdnes
blæge	blæːje
blæhæwen	blæːxæːwen
blæse	blæse
blæst	blæːst
blætan	blæːtɑn
blæwen	blæːwen
blœdsian	bløːdsiɑn
boc	boːk
boca	boːkɑ
boccræft	boːkkræft
bocere	boːkere
bocgestreon	boːkjestre͜oːn
bochus	boːkxuːs
bocian	boːkiɑn
boclar	boːk
boclic	boːkliːt͡ʃ
bocstæf	boːkstæf
boctreow	boːktre͜oːw
bod	bod
boda	bodɑ
bodan	bodɑn
bodeg	bodej
bodian	bodiɑn
bodig	bodij
bog	boːɡ
boga	boɡɑ
bogan	boɡɑn
bogiht	boɡixt
bolca	bolkɑ
bold	bold
bolde	bolde
bolgenmod	bolɡenmoːd
bolla	bollɑ
bolle	bolle
bolster	bolster
bolt	bolt
bon	boːn
bonda	bondɑ
bora	borɑ
bord	bord
bordclaþ	bordklɑːθ
borg	borɡ
borgian	borɡiɑn
borh	borx
borian	boriɑn
bosig	boːsij
bosm	boːsm
bot	boːt
botettan	boːtettɑn
botian	boːtiɑn
botleas	boːtlæ͜ɑːs
botm	botm
botwierþe	boːtwi͜yrθe
box	boks
boxtreow	bokstre͜oːw
boþen	boθen
brad	brɑːd
brand	brɑnd
brant	brɑnt
brastlian	brɑstliɑn
bread	bræ͜ɑːd
breadru	bræːɑ̯dru
breahtm	bræ͜ɑxtm
breawern	bræ͜ɑːwern
brec	breːt͡ʃ
brecan	brekɑn
brecþ	brekθ
bred	bred
bregdan	brejdɑn
brego	breɡo
breme	breːme
bremel	breːmel
brengan	brenjɑn
breogo	bre͜oɡo
breost	bre͜oːst
breostcearu	bre͜oːstt͡ʃæ͜ɑru
breotan	bre͜oːtɑn
breoton	bre͜oton
breowan	bre͜oːwɑn
breoþan	bre͜oːθɑn
bret	bret
bretland	bretlɑnd
bretwalda	bretwɑldɑ
bridd	bridd
bridel	briːdel
brim	brim
brimliþend	brimliːθend
brine	briːne
bringan	brinɡɑn
briw	briːw
broc	broːk
brocc	brokk
brocen	broken
broga	broːɡɑ
brom	broːm
brord	brord
broþ	broθ
broþor	broːθor
broþorbana	broːθorbɑnɑ
broþorleas	broːθorlæ͜ɑːs
broþorlic	broːθorliːt͡ʃ
broþorræden	broːθorræːden
bru	bruː
brucan	bruːkɑn
brucing	bruːkinɡ
brun	bruːn
bryce	bryt͡ʃe
bryce	bryːt͡ʃe
brycg	bryjj
brycgbot	bryjjboːt
brycgian	bryjjiɑn
bryd	bryːd
brydguma	bryːdɡumɑ
bryne	bryne
bryne	bryːne
bryrdan	bryrdɑn
brysan	bryːsɑn
bryt	bryt
bryten	bryten
brytenlond	brytenlond
brytland	brytlɑnd
brytmælum	brytmæːlum
brytta	bryttɑ
bryttas	bryttɑs
bryþen	bryθen
brædan	bræːdɑn
brædepanne	bræːdepɑnne
brægen	bræjen
brægn	bræjn
bræmbel	bræmbel
bræmel	bræːmel
bræmelberie	bræːmelberie
bræs	bræs
bræsen	bræsen
bræw	bræːw
bræð	bræθ
bræþ	bræːθ
brœme	brøːme
buan	buːɑn
buc	buk
buc	buːk
bucc	bukk
bucc	buːkk
bucca	bukkɑ
budda	buddɑ
buend	buːend
bufan	bufɑn
bugan	buːɡɑn
bugon	buɡon
bur	buːr
burbyrde	buːrbyrde
burg	burɡ
burgræden	burɡræːden
burh	burx
burhbot	burxboːt
burhleod	burxle͜oːd
burhleoda	burxle͜oːdɑ
burna	burnɑ
burne	burne
butan	buːtɑn
butere	butere
buton	buːton
buttorfleoge	buttorfle͜oːɡe
bycgan	byjjɑn
bycgen	byjjen
bydel	bydel
bygan	byːjɑn
byldan	byldɑn
byme	byːme
bymere	byːme
bymian	byːmiɑn
byrde	byrde
byrdling	byrdlinɡ
byre	byre
byre	byːre
byrgan	byrjɑn
byrgen	byrjen
byrgenn	byrjenn
byrla	byrlɑ
byrnan	byrnɑn
byrne	byrne
byrðen	byrθen
byrþen	byrθen
bysen	byːsen
bysenian	byseniɑn
bysig	bysij
bysnian	bysniɑn
bysnigan	bysnijɑn
byþ	byθ
bæc	bæk
bæc	bæt͡ʃ
bæcbord	bækbord
