а	ʔaː
аргъэй	aːrʁaj
аргъэйфыгу	aːrʁajfəɡʷ
арджан	aːrd͡ʒaːn
арми	aːma
армэ	aːrma
армэу	aːrmaw
армэугъ	aːrmawʁ
архъожъ	aːrχʷaʐ
архъуажъ	aːrχʷaːʐ
архъуан	aːrχʷaːn
арымэ	aːrəma
арышъ	aːrəʂ
арышъхьае	aːrəʂħaːja
арэущтэу	aːrawɕtaw
аслъан	ʔasɬaːn
аслъаншыр	aːsɬaːnʃər
асэ	ʔaːsa
атакъэ	ʔataːqa
атэ	aːta
атэш	ʔaːtaʃ
атэшыпхъу	ʔaːtaʃəpχʷ
ау	aːw
аужым	aːwʒəm
аушыджэр	aːwʃəd͡ʒar
афы	aːfə
ахъ	aːχ
ахъу	aːχʷə
ахъчалъ	aːχt͡ʃaːɬ
ахъчапс	aːχt͡ʃaːps
ахъчашъхь	aːχt͡ʃaːʂħ
ахъчэ	aːχt͡ʃa
ахъчэбэг	aːχt͡ʃabaɣ
ахъчэбэдзэр	aːχt͡ʃabad͡zar
ахъчэдэфый	aːχt͡ʃadafəj
ахъчэжъгъэй	aːχt͡ʃaʐʁaj
ахъчэзэблэхъущ	aːχt͡ʃazablaχʷən
ахъчэмыкӏу	aːχt͡ʃaməkʷʼ
ахъчэнэпцӏ	aːχt͡ʃanapt͡sʼ
ахъчэнэпцӏшӏ	aːχt͡ʃanapt͡sʼʃʼ
ахъщалъ	aːχɕaːɬ
ахъщапс	aːχʃaːps
ахъщашъхь	aːχʃaːʂħ
ахъщэ	aːχʃa
ахъщэбэг	aːχʃabaɣ
ахъщэбэдзэр	aːχʃabad͡zar
ахъщэдэфый	aːχʃadafəj
ахъщэжъгъэй	aːχʃaʐʁaj
ахъщэзэблэхъущ	aːχʃazablaχʷən
ахъщэмыкӏу	aːχʃaməkʷʼ
ахъщэнэпцӏ	aːχɕanapt͡sʼ
ахъщэнэпцӏшӏ	aːχʃanapt͡sʼʃʼ
ахын	aːxən
ахэр	aːxar
ачъэ	aːtʂa
ачъэгъашъу	aːtʂaʁaːʂʷ
ачъэжъ	aːχt͡ʃaʐ
ашхырэ	aːʃxəra
ашъо	aːʂʷa
ашъоку	aːʂʷakʷ
ашъоцуакъ	aːʂʷat͡sʷaːɡʷ
ашъоцуакъ	aːʂʷat͡ʃʷaːɡʷ
ашъыу	aːʃʷʼəw
ашэ	ʔaːʃa
ашӏэгъудж	aːʃʼaʁʷəd͡ʒ
ащ	aːɕ
ащгъум	aːɕʁʷəm
ащтэу	aːʃtəw
аӏууц	aːʔʷəwət͡s
багьэ	baːɡʲa
баджэ	baːd͡ʒa
бадзэ	baːd͡za
бадзэпсэ	baːd͡zapsa
бадэ	baːda
бадэ	baːdam
бае	baːja
баигъ	baːjəʁ
бакъмэр	baːqmar
бамыкӏ	baːmək
баргъ	baːrʁ
басмэ	baːsma
батыр	baːtər
батыргъэгъ	baːtərʁaʁ
батыргъэн	baːtərʁan
батырыгъ	baːtərəʁ
бахъсымэ	baːχsəma
башлыкъ	baːʃləq
башӏэ	baːʃʼa
бащэ	baːɕa
баӏо	baːʔʷa
бганэ	bɣaːna
бгъагъэ	bʁaːʁa
бгъакъэ	bʁaːqa
бгъалъэ	bʁaːɬa
бгъашхъо	bʁaːʃχʷa
бгъашъухъо	bʁaːʃʷχʷa
бгъо	bʁʷa
бгъодж	bʁʷad͡ʒ
бгъодэкӏын	bʁʷadat͡ʃʼən
бгъодэт	bʁʷadad
бгъодэхьан	bʁʷadaaħaːn
бгъотагъэ	bʁʷataːʁa
бгъотэн	bʁʷatan
бгъотэрым	bʁʷtarəm
бгъу	bʁʷə
бгъуагъэ	bʁʷaːʁa
бгъуанэ	bʁʷaːna
бгъузагъ	bʁʷəzaːʁ
бгъузэ	bʁʷəza
бгъундж	bʁʷənd͡ʒ
бгъунджырыкӏу	bʁʷənd͡ʒərəkʷʼ
бгъурышӏ	bʁʷərəʃʼ
бгъусы	bʁʷəsə
бгъушы	bʁʷəʃə
бгъэ	bʁa
бгъэбзы	bʁabzə
бгъэгу	bʁaɡʷ
бгъэгъакӏ	bʁaʁaːt͡ʃ
бгъэджыб	bʁad͡ʒər
бгъэжъ	bʁaʐ
бгъэкӏапх	bʁat͡ʃʼaːpx
бгъэкӏыхь	bʁakʲʼəħ
бгъэкӏыхь	bʁat͡ʃʼəħ
бгъэкӏэс	bʁat͡ʃas
бгъэкӏэхь	bʁakʲʼaħ
бгъэкӏэхь	bʁat͡ʃʼaħ
бгъэлыб	bʁaləb
бгъэн	bʁan
бгъэны	bʁanə
бгъэпс	bʁaps
бгъэузы	bʁawəzə
бгъэхалъхь	bʁaxaːɬħ
бгъэхэлъ	bʁaxaɬ
бгъэхэӏу	bʁaxaʔʷ
бгъэхэӏушъхь	bʁaxaʔʷəʂħ
бгъэӏас	bʁaʔaːs
бгы	bɣə
бгыбзэ	bɣəbza
бгыгъуан	bɣəʁʷaːn
бгыкъу	bɣəqʷ
бгыкъупхъ	bɣəqʷəpχ
бгылъэ	bɣəɬa
бгынагъэ	bɣənaːʁa
бгынэжьыгъэ	bɣənaʑəʁa
бгынэн	bɣənan
бгыпэ	bɣəpa
бгырыпх	bɣərəpx
бгырыпхышъхь	bɣərəpxəʂħ
бгырыс	bɣərəs
бгычап	bɣət͡ʃaːp
бгычӏэ	bɣətʂa
бгышъхь	bɣəʂħa
бгэн	jabɣən
бгэрый	bɣərəj
белэ	bajla
бжалэ	bʒaːla
бжамэ	bʒaːma
бжъаб	bʐaːb
бжъабгъу	bʐaːbʁʷə
бжъако	bʐaːkʷa
бжъакъо	bʐaːqʷa
бжъакъэ	bʐaːqa
бжъалъ	bʐaːɬ
бжъанэ	bʐaːna
бжъапэ	bʐaːpa
бжъау	bʐaːw
бжъащэ	bʐaːɕa
бжъэ	bʐa
бжъэдыгъу	bʐadəʁʷ
бжъэкумыл	bʐakʷəməl
бжъэкъожъый	bʐaqʷaʐəj
бжъэмый	bʐaməj
бжъэмыяпщ	bʐaməjaːpɕ
бжъэу	bʐaw
бжъэшъу	bʐaʂʷ
бжыб	bʒəb
бжыдзэ	bʒəd͡za
бжым	bʒəm
бжымы	bʒəmə
бжыхьакӏэ	bʒəħaːt͡ʃa
бжыхьапэ	bʒəħaːpa
бжыхьас	bʒəħaːs
бжыхьэ	bʒəħa
бжыхьэбадзэ	bʒəħabaːd͡za
бжьахъо	bʑaːχʷa
бжьашӏо	bʑaːʃʷʼa
бжьащэ	bʑaːɕa
бжьаӏо	bʑaːʔʷa
бжьы	bʑə
бжьыго	bʑaːɡʷa
бжьыгъэ	bʑəʁa
бжьыко	bʑaːkʷa
бжьыны	bʑənə
бжьыныкӏ	bʑənəkʲʼ
бжьыныуц	bʑənəwts
бжьыныф	bʑənəf
бжьыныфщыгъу	bʑənəfɕəʁʷ
бжьыныфыкӏ	bʑənəfəkʲʼ
бжьыныфыц	bʑənəfəts
бжьышӏо	bʑəʃʷʼa
бжьэ	bʑa
бжьэбын	bʑabən
бжьэгъалӏэ	bʑaʁaːɬʼa
бжьэмат	bʑamaːt
бжьэматэ	bʑamaːta
бжьэпащ	bʑapaːɕ
бжьэпчӏ	bʑapt͡ʃ
бжьэхъон	bʑaχʷan
бжьэцы	bʑat͡sə
бжьэшх	bʑaʃx
бзагьэ	bzaːɡʲa
бзаджэ	bzaːd͡ʒa
бзако	bzaːkʷa
бзакӏо	bzaːkʷʼa
бзалъ	bzaːɬ
бзашӏу	bzaːʃʷʼ
бзудэгу	bzəwdaɡʷ
бзукӏэзэгох	bzəwt͡ʃazaɡʷax
бзушхъу	bzəwʃχʷ
бзы	bzə
бзыгъ	bzəʁ
бзыиплъ	bzəjəpɬ
бзый	bzəj
бзылъфыгъэ	bzəlfəʁa
бзылъфыгъэ	bzəɬfəʁa
бзын	bzən
бзыпхъэ	bzəpχa
бзытэн	bzətan
бзыу	bzəw
бзыужъый	bzəwʐəj
бзыукъолэн	bzəwqʷalan
бзыукъуай	bzəwqʷaːj
бзыукӏалъэ	bzəwt͡ʃʼaːɬa
бзыукӏьалъэ	bzəwkʲʼaːɬa
бзыукӏэплъ	bzəwkʲapɬ
бзыулъахъ	bzəwɬaːχ
бзыуубыт	bzəwwəbət
бзыухьакуаку	bzəwħaːkʷaːkʷ
бзыуцыф	bzəwt͡səf
бзыушыр	bzəwʃər
бзыфы	bzəfə
бзыхьан	bzəħaːn
бзыхьаф	bzəħaːf
бзыхьафынчъ	bzəħaːfəntʂ
бзэ	bza
бзэбзэн	bzabzan
бзэгохь	bzaɡʷaħ
бзэгу	bzaɡʷ
бзэгужъый	bzaɡʷʐəj
бзэгуп	bzaɡʷəp
бзэгурацу	bzaɡʷəraːt͡sʷ
бзэгурацу	bzaɡʷəraːt͡ʃʷ
бзэгухь	bzaɡʷəħ
бзэгухьын	bzaɡʷəħən
бзэджай	bzad͡ʒaːj
бзэджашӏэ	bzad͡ʒaːʃʼa
бзэджэн	bzad͡ʒan
бзэджэнрылъф	bzad͡ʒanrəɬf
бзэджэрылъф	bzad͡ʒarəɬf
бзэен	bzajan
бзэил	bzajəl
бзэкъулъ	bzaqʷəɬ
бзэмай	bzamaːj
бзэмкъэшӏэныгъ	bzamqaʃʼanəʁ
бзэмыӏу	bzaməʔʷ
бзэмэ	bzaːma
бзэныб	bzanəb
бзэпс	bzaps
бзэрэбзэн	bzarabzan
бзэу	bzaw
бзэутэ	bzawta
бзэхабзэ	bzaxaːbz
бзэхын	bzaxən
бзэшэн	bzaʃan
бзэшӏэныгъ	bzaʃʼanəʁ
бзэшӏэныгъэлӏ	bzaʃʼanəʁaɬʼ
блабжъ	blaːbʐ
благъо	blaːʁʷa
благъэ	blaːʁa
блантхъэ	blaːntχa
блапцӏэ	blaːpt͡sʼa
блахэ	blaːxa
блашхъо	blaːʃχʷa
блашъо	blaːʂʷa
блашъхьэ	blaːʂħa
блегъэзыкӏын	blajʁazəkʲən
блегъэкӏын	blajʁakʲʼən
бледзын	blajd͡zən
блефын	blajfən
блехын	blajxən
блещын	blajɕən
блихын	blajxən
блы	blə
блы	bɮə
блыгу	bləɡʷ
блыгучӏ	bləɡʷt͡ʃ
блыгучӏад	bləɡʷt͡ʃʼaːd
блын	blən
блыны	blənə
блыныкӏ	blənət͡ʃ
блыпкъ	bləpq
блыпкъыжъый	bləpqəʐəj
блыпкъышъхь	bləpqəʂħ
блыпкъыщ	bləpqəɕ
блыпэ	bləpa
блырыбл	blərəbl
блэ	bla
блэбгъу	blabʁʷə
блэбгъуп	blabʁʷəp
блэбгъуплъ	blabʁʷəpɬ
блэбыбыкӏын	blabəbət͡ʃʼən
блэбыбын	blabəbən
блэгъагъ	blaʁaːʁ
блэгъожъ	blaʁʷaʐ
блэгъэжъ	blaʁaʐ
блэгъэзыкӏын	bɮaʁazət͡ʃʼən
блэгъэкӏын	blaʁat͡ʃən
блэгьан	blad͡ʒaːn
блэгьан	blaɡʲaːn
блэдзын	blad͡zən
блэкӏыгъэу	bɮat͡ʃʼəʁaw
блэкӏын	blat͡ʃʼən
блэкӏьын	blakʲʼən
блэлъэтын	blaɬatən
блэмыу	blaməw
блэн	blan
блэнагъ	blanaːʁ
блэнашкӏэ	blanaːʃkʼa
блэнэукъ	blanawq
блэнэуц	blanawt͡s
блэпкӏын	blapt͡ʃʼən
блэпкӏьын	blaptkʲʼən
блэплъын	blapɬən
блэпцэжъый	blapt͡ʃaʐəj
блэрыпс	blarəps
блэун	blawən
блэуц	blawt͡s
блэфын	bɮafən
блэхъушъутын	blaχʷəʂʷtən
блэхын	blajxən
блэхьадж	blaħaːd͡ʒ
блэшъутын	blaəʂʷtən
блэщын	blajɕən
брацэ	braːt͡sa
быбхалъ	bəbxaːɬ
быбыжьын	bəbəʑən
быбылъ	bəbəɬ
быбын	bəbən
быбыпӏ	bəbəpʼ
быбэ	bəba
быбэтэн	bəbatan
быгъу	bəʁʷ
быдзашъу	bəd͡zaːʂʷ
быдзталхьэ	bəd͡ztaːlħa
быдзы	bəd͡zə
быдзылъ	bəd͡zəɬ
быдзып	bəd͡zəp
быдзытелъхьэ	bəd͡zətajɬħ
быдзыщ	bəd͡zəɕ
быжъутэн	bəʐʷətan
быкӏу	bəkʷʼə
былътырыку	bəɬtərəkʷ
былъытырыкӏу	bəɬətərəkʷʼ
былым	bələm
былымахъу	bələmaːχʷ
былымбэлыдж	bələmbaləd͡ʒ
былымтыгъу	bələmtəʁʷ
былымылы	bələmələ
былымылӏэ	bələməɬʼa
былымыпс	bələməps
былыхъу	bələχʷ
бын	bən
бынд	bənd
быны	bənə
бынынчъэ	bənənt͡ʃa
быныуын	bənəwən
быраб	bəraːb
бырамыты	bəraːmətə
быратӏ	bəraːtʼ
бырацэ	bəraːt͡sa
быргусыргу	bərɡʷəsərɡʷ
быргытӏырг	bərɣətʼərɣ
быркусын	bərkʷʁsən
бырсыр	bərsər
бырсырыл	bərsərəl
бырсырын	bərsərən
бырыпх	pərəpx
бырыугъэчэрэгъу	bərəwʁat͡ʃaraʁʷ
бырыукъ	bərəwq
быслымэн	bəsləman
бысылмэн	bəsəlman
бысым	bəsəm
бытхъэ	bətχa
быты	bətə
бытырбыф	batərbəf
бытӏы	bətʼə
быун	bəwən
быяужьын	bəjaːwʑən
быяун	bəjaːwʑəb
быяупӏ	bəjaːwpʼ
бэ	ba
бэбахь	babaːħ
бэгу	baɡʷ
бэгъашӏэ	baʁaːʃʼa
бэгъон	baʁʷan
бэгъэгус	baʁaɡʷəs
бэгыгъэ	baɣəʁa
бэгын	baɣən
бэгьэхъ	baɡʲaχ
бэджанд	bad͡ʒaːnd
бэджы	bad͡ʒə
бэджыджэн	bad͡ʒəd͡ʒan
бэджыхъ	bad͡ʒəχ
бэджэбы	bad͡ʒabə
бэджэжъые	bad͡ʒaʐəja
бэджэндыку	bad͡ʒandakʷ
бэджэндэутын	baʒandawtən
бэджэшъ	baːd͡ʒaʂ
бэджэщыр	bad͡ʒaɕər
бэдзэгъалӏэ	bad͡zaʁaːɬʼa
бэдзэжьын	bad͡zaʑən
бэдзэнэшъу	bad͡zanaʂʷ
бэдзэогъумаз	bad͡zawaʁʷəmaːz
бэдзэр	bad͡zar
бэдзэры	bad͡zarə
бэдзэрыкӏу	bad͡zarəkʷʼ
бэдзэубыт	bad͡zawbət
бэдзэукӏ	bad͡zawəkʲ
бэдзэукӏ	bad͡zawət͡ʃ
бэежъ	bajaʐ
бэжъу	baʐʷ
бэйкол	baːkʷal
бэйкъогъуз	baːjqʷaʁʷəz
бэкълауэ	baqlaːwa
бэкъогъу	baqʷaʁw
бэкъон	baqʷan
бэкъу	baqʷ
бэкъудадз	baqʷdaːd͡z
бэкӏай	bakʲaːj
бэлахь	balaːħ
бэлъф	baɬf
бэлыдж	baləd͡ʒ
бэлыджакӏэ	baləd͡ʒaːkʼa
бэлыджэпс	baləd͡ʒaps
бэлэрыгъ	balarəʁ
бэнакӏо	banaːkʷʼa
бэнанэ	banaːna
бэнжъый	banʐəj
бэнтехъу	bantajχʷ
бэны	banə
бэнытӏ	banətʼ
бэнэн	banan
бэнэныгъ	bananəʁ
бэон	bawan
бэрауты	baraːwtə
бэрбэр	barbar
бэрджахь	bard͡ʒaːħ
бэрэ	bara
бэрэкъащ	baraqaːɕ
бэрэскэжъый	baraskaʐəj
бэрэскэф	baraskaf
бэрэчэт	barakat
бэрэӏумаф	baraʔʷəmaːf
бэскъэн	basqan
бэслъыный	basɬənəj
бэткэлӏ	batkaɬʼ
бэты	batə
бэхьал	baħaːl
бэшхы	baʃxə
бэшэрэб	baʃarab
бэшӏагъ	baʃʼaːʁ
бэщ	baɕ
бэщкъорэгъ	baɕqʷaraʁ
бэщышӏ	baɕəʃʼ
бэщыӏ	baɕəʔ
бэӏул	baʔʷəl
гогон	ɡʷaɡʷan
гогонжъый	ɡʷaɡʷanʐəj
гокӏын	ɡʷat͡ʃʼən
гомыхь	ɡʷaməħ
гонэхь	ɡʷanaħ
гоон	ɡʷawan
гопкӏэн	ɡʷapt͡ʃʼan
гопэгъу	ɡʷapaʁʷ
гопэн	ɡʷapan
гоутын	ɡʷawtən
гоуцон	ɡʷawt͡sʷan
гохьан	ɡʷaħaːn
гохьы	ɡʷaħə
гощын	ɡʷaɕən
гоӏу	ɡʷaħə
гоӏулӏэн	ɡʷəʔʷəɬʼan
гоӏэн	ɡʷaʔan
гу	ɡʷə
гуадз	ɡʷaːd͡z
гуао	ɡʷaːwa
гуапэ	ɡʷaːpa
гуащэ	ɡʷaːɕa
губгъо	ɡʷəbʁʷa
губгъэ	ɡʷəbʁa
губгъэн	ɡʷəbʁan
губж	ɡʷəbʒ
губжыгъошӏу	ɡʷəbʒəʁʷaʃʷʼ
губжын	ɡʷəbʒən
губжыпх	ɡʷəbʒəpx
губзыгъ	ɡʷəbzəʁ
гугъон	ɡʷəʁʷan
гугъу	ɡʷəʁʷ
гугъун	ɡʷəʁən
гугъын	ɡʷəʁən
гугъэ	ɡʷəʁa
гугъэн	ɡʷəʁan
гудэ	ɡʷəda
гуегъун	ɡʷəjaʁʷən
гуеӏун	ɡʷjaʔʷən
гужъ	ɡʷəʐ
гужъуакӏэ	ɡʷəʒʷaːt͡ʃa
гужъыен	ɡʷəʐəjan
гузэгу	ɡʷəzaɡʷ
гузэжъогъу	ɡʷəzaʒʷaʁʷ
гузэжъон	ɡʷəzaʒʷan
гузэжъопх	ɡʷzaʒʷapx
гуигъэун	ɡʷəjʁawən
гуих	ɡʷəjəx
гукъау	ɡʷəqaːw
гукъэгъэкӏын	ɡʷəqaʁat͡ʃʼən
гукъэгъэкӏьын	ɡʷəqaʁakʲʼən
гукъэкӏыжьын	ɡʷəqat͡ʃʼəʑən
гукъэкӏын	ɡʷəqat͡ʃʼən
гукъэкӏьыжьын	ɡʷəqakʲʼəʑən
гукъэкӏьын	ɡʷəqakʲʼən
гукӏае	ɡʷət͡ʃʼaːja
гукӏэгъу	ɡʷət͡ʃʼaʁʷ
гукӏэн	ɡʷət͡ʃan
гулъытэ	ɡʷəɬəta
гулъытэн	ɡʷəɬətan
гумыӏан	ɡʷəməʔaːn
гумыӏу	ɡʷəməʔʷ
гумэкӏыгъу	ɡʷəmat͡ʃəʁʷ
гумэкӏын	ɡʷəmat͡ʃən
гун	ɡʷən
гунахь	ɡʷənaːħ
гуп	ɡʷəp
гупсэн	ɡʷəpsan
гупсэф	ɡʷəpsaf
гупсэфыпӏ	ɡʷəpsafəpʼ
гупцӏанэ	ɡʷəpt͡sʼaːna
гупч	ɡʷəpt͡ʃ
гупшысэ	ɡʷəpʃəsa
гупшысэн	ɡʷəpʃəsan
гупыт	ɡʷəpət
гупэн	əɡʷəpan
гурихьан	ɡʷərəjħən
гурихьэн	ɡʷərəjħən
гурыгъэӏон	ɡʷərəʔʷan
гурышхъу	ɡʷərəʃχʷ
гурыӏон	ɡʷərəʔʷan
гухахъо	ɡʷəxaːχʷa
гухэгъэкӏын	ɡʷəxaʁat͡ʃʼən
гухэкӏ	ɡʷəxat͡ʃʼ
гухэкӏын	ɡʷəxat͡ʃʼən
гуцаф	ɡʷət͡saːf
гушӏон	ɡʷəʃʷʼan
гушӏопсӏын	ɡʷəʃʷʼapsʼən
гушӏуагъо	ɡʷəʃʷʼaːʁʷa
гушӏуагъэ	ɡʷəʃʷʼaːʁa
гушӏуапкӏэ	ɡʷəʃʷʼapt͡ʃʼa
гущ	ɡʷəɕ
гущаӏэ	ɡʷəɕaːʔa
гущыӏал	ɡʷəɕəʔaːl
гущыӏалъ	ɡʷəɕəʔaːɬ
гущыӏанчъэ	ɡʷəɕəʔant͡ʂʼa
гущыӏап	ɡʷəʃʷʼap
гущыӏэ	ɡʷəɕəʔa
гущыӏэгъал	ɡʷəɕəʔaʁaːɮ
гущыӏэгъу	ɡʷəɕəʔaʁʷ
гущыӏэмпае	ɡʷəɕəʔampaːja
гущыӏэн	maɡʷɕəʔan
гущыӏэрые	ɡʷəɕəʔarəja
гущыӏэухыгъэ	ɡʷəɕəʔawxəʁa
гуӏэн	ɡʷəʔan
гъаблэ	ʁaːbɮa
гъажъо	ʁaːʒʷa
гъалэ	ʁaːɮa
гъатхэ	ʁaːtxa
гъаф	ʁaːf
гъашӏэ	ʁaːʃʼa
гъо	ʁʷa
гъогогъу	ʁʷaɡʷaʁʷ
гъогу	ʁʷaɡʷ
гъогумаф	ʁʷaɡʷmaːf
гъогуонэкӏуныр	ʁʷaɡʷəwanakʷʼənər
гъогурыгъуазэ	ʁʷaɡʷrəʁʷaːza
гъогъон	ʁʷaʁʷan
гъогын	ʁʷaɣən
гъожьы	ʁʷaʑə
гъожьыплъыжь	ʁʷaʑpɬəʑə
гъожьышэплъ	ʁʷaʑəʃapɬ
гъоз	ʁʷaz
гъозадж	ʁʷazaːd͡ʒ
гъозалъ	ʁʷazaːɬ
гъозэн	ʁʷazan
гъозэнэфы	ʁʷazanafə
гъоин	ʁʷajən
гъойщай	ʁʷajɕaːj
гъойщэен	ʁʷajɕajan
гъолагъ	ʁʷaɮaːʁ
гъолагъу	ʁʷaɮaːʁ
гъолагъэ	ʁʷaɮaːʁa
гъолъын	ʁʷaɬən
гъолъыпӏэ	ʁʷaɬəpʼa
гъомыл	ʁʷaməɮ
гъомылапхъэ	ʁʷaməlaːpχa
гъонлагъэ	ʁʷanɮaːʁa
гъончэдж	ʁʷant͡ʃad͡ʒ
гъоплъашъо	ʁʷapɬəʂʷa
гъоплъашъу	ʁʷapɬaːʂʷ
гъоплъышъо	ʁʷapɬəʂʷa
гъопэкӏаку	ʁʷaːpat͡ʃʼaːkʷ
гъопэкӏьаку	ʁʷaːpakʲʼaːkʷ
гъопэкӏьэхь	ʁʷaːpakʲʼaħ
гъопэкӏэхь	ʁʷaːpat͡ʃʼaħ
гъотын	ʁʷatən
гъоу	ʁʷaw
гъофы	ʁʷafə
гъочӏэгъ	ʁʷat͡ʂʼaʁ
гъошэгь	ʁʷaʃaɡʲ
гъощэн	ʁʷaɕan
гъу	ʁʷə
гъуазэ	ʁʷaːza
гъуамэ	ʁʷaːma
гъуанэ	ʁʷaːna
гъуаплъэ	ʁʷaːpɬa
гъуапэ	ʁʷaːpa
гъубдж	ʁʷəbd͡ʒ
гъугъэ	ʁʷəʁa
гъуен	ʁʷəjan
гъукӏэ	ʁʷət͡ʃʼa
гъумы	ʁʷəmə
гъун	ʁʷən
гъунапкъэ	ʁʷənaːpqa
гъунгьэ	ʁʷənɡʲa
гъунд	ʁʷənd
гъунджэ	ʁʷərd͡ʒa
гъунэ	ʁʷəna
гъунэгъу	ʁʷənaʁʷ
гъунэфын	ʁʷənafən
гъургьэ	ʁʷərɡʲa
гъурз	ʁʷərz
гъуркӏ	ʁʷərt͡ʃʼ
гъусэ	ʁʷəsa
гъусэн	ʁʷəsan
гъутхьан	ʁʷətħaːn
гъучӏы	ʁʷət͡ʃʼə
гъучӏыбзыу	ʁʷət͡ʂʼəbzəw
гъучӏынэ	ʁʷət͡ʂʼəna
гъучӏыӏунэ	ʁʷət͡ʂʼəʔʷəna
гъучӏӏунэ	ʁʷət͡ʂʼəʔʷəna
гъушъы	ʁʷəʂə
гъушъын	ʁʷəʂən
гъы	ʁə
гъыбзэ	ʁəbza
гъымакъэ	ʁəmaːqa
гъын	ʁən
гъынэнэн	ʁənanan
гъычгъэ	ʁət͡ʃʁa
гъэ	ʁa
гъэбылъын	ʁabəɬən
гъэбыяун	ʁabəjaːn
гъэбэдзэжьын	ʁabad͡zaʑən
гъэгожъын	ʁaɡʷaʐən
гъэгоӏэн	ʁaɡʷaʔan
гъэгубжын	ʁaɡʷəbʒən
гъэгумэкӏын	ʁaɡʷəmat͡ʃən
гъэгъун	ʁaʁʷən
гъэгъушъын	ʁaʁʷʂən
гъэгъын	ʁaʁən
гъэгъэн	maʁaʁan
гъэгьэн	ʁaɡʲan
гъэделэн	ʁadajlan
гъэджыджэн	ʁad͡ʒəd͡ʒan
гъэджэн	ʁad͡ʒan
гъэдэӏон	ʁadaʔʷən
гъэжъон	ʁaʒʷan
гъэжъэн	ʁaʐan
гъэжьэн	jaʁaʑan
гъэзалъэ	ʁazaːɬa
гъэзет	ʁazjat
гъэзетщапӏэ	ʁazjatɕaːpʼa
гъэзэжьын	ʁazaʑən
гъэзэзэн	ʁazazan
гъэзэн	ʁazan
гъэзэщын	ʁazaʃən
гъэкощын	ʁakʷaɕən
гъэкуон	ʁakʷəwan
гъэкъын	ʁaqən
гъэкъэбзэн	ʁaqabzan
гъэкъэркъэтэн	ʁaqarqatan
гъэкьэн	ʁakʲan
гъэкьэрэгъун	ʁakaraʁʷən
гъэкьэрэзын	ʁakʲarazən
гъэкӏодын	ʁakʷʼadən
гъэкӏосэн	ʁakʷʼasan
гъэкӏын	ʁat͡ʃʼən
гъэкӏэрэкӏэн	ʁat͡ʃarat͡ʃan
гъэлагъэ	ʁalaːʁa
