Ⴁ	b
აგნოსტიკური	ɑɡnɔstʼikʼuri
აგნოსტიციზმი	ɑɡnɔstʼit͡sizmi
აგონდება	ɑɡɔndɛbɑ
აგონია	ɑɡɔniɑ
აგორებს	ɑɡɔrɛbs
აგრეთვე	ɑɡrɛtʰvɛ
აგრესიულად	ɑɡrɛsiulɑd
აგრესიული	ɑɡrɛsiuli
აგრესიულობა	ɑɡrɛsiulɔbɑ
აგრესორი	ɑɡrɛsɔri
აგროვებს	ɑɡrɔvɛbs
აგრძელებ	ɑɡrd͡zɛlɛb
აგრძელებს	ɑɡrd͡zɛlɛbs
აგულაშვილი	ɑɡulɑʃvili
აგური	ɑɡuri
ადათი	ɑdɑtʰi
ადამაშვილი	ɑdɑmɑʃvili
ადამი	ɑdɑmi
ადამიანად	ɑdɑmiɑnɑd
ადამიანები	ɑdɑmiɑnɛbi
ადამიანი	ɑdɑmiɑni
ადამიანით	ɑdɑmiɑnitʰ
ადამიანის	ɑdɑmiɑnis
ადამიანმა	ɑdɑmiɑnmɑ
ადამიანს	ɑdɑmiɑns
ადამიანურად	ɑdɑmiɑnurɑd
ადამიანური	ɑdɑmiɑnuri
ადაპტაცია	ɑdɑpʼtʼɑt͡siɑ
ადარებს	ɑdɑrɛbs
ადარნასე	ɑdɑrnɑsɛ
ადგენს	ɑdɡɛns
ადგილას	ɑdɡilɑs
ადგილი	ɑdɡili
ადგილობრივად	ɑdɡilɔbrivɑd
ადგილობრივი	ɑdɡilɔbrivi
ადევნებს	ɑdɛvnɛbs
ადეიშვილი	ɑdɛiʃvili
ადეკვატურად	ɑdɛkʼvɑtʼurɑd
ადეკვატური	ɑdɛkʼvɑtʼuri
ადეკვატურობა	ɑdɛkʼvɑtʼurɔbɑ
ადენოიდური	ɑdɛnɔiduri
ადეპტი	ɑdɛpʼtʼi
ადვილად	ɑdvilɑd
ადვილი	ɑdvili
ადიდებს	ɑdidɛbs
ადის	ɑdis
ადიულტერი	ɑdiultʼɛri
ადიუტანტი	ɑdiutʼɑntʼi
ადმინისტრაციულად	ɑdministʼrɑt͡siulɑd
ადმინისტრაციული	ɑdministʼrɑt͡siuli
ადმირალი	ɑdmirɑli
ადრე	ɑdrɛ
ადრენალინი	ɑdrɛnɑlini
ადრესატი	ɑdrɛsɑtʼi
ადრეული	ɑdrɛuli
ადრიანე	ɑdriɑnɛ
ადრიანი	ɑdriɑni
ადუღება	ɑduɣɛbɑ
ადუღებს	ɑduɣɛbs
აეროდინამიკა	ɑɛrɔdinɑmikʼɑ
აეროდრომი	ɑɛrɔdrɔmi
აეროზოლი	ɑɛrɔzɔli
აეროპორტი	ɑɛrɔpʼɔrtʼi
აეშლება	ɑɛʃlɛbɑ
აეხსნა	ɑɛxsnɑ
ავად	ɑvɑd
ავადმყოფი	ɑvɑdmqʼɔpʰi
ავადმყოფობა	ɑvɑdmqʼɔpʰɔbɑ
ავადმყოფობს	ɑvɑdmqʼɔpʰɔbs
ავადმყოფურად	ɑvɑdmqʼɔpʰurɑd
ავადმყოფური	ɑvɑdmqʼɔpʰuri
ავაზა	ɑvɑzɑ
ავაზანი	ɑvɑzɑni
ავალდებულებს	ɑvɑldɛbulɛbs
ავანგარდი	ɑvɑnɡɑrdi
ავანპოსტი	ɑvɑnpʼɔstʼi
ავანტიურული	ɑvɑntʼiuruli
ავარდება	ɑvɑrdɛbɑ
ავარია	ɑvɑriɑ
ავბედითი	ɑvbɛditʰi
ავდარი	ɑvdɑri
ავეჯი	ɑvɛd͡ʒi
ავზი	ɑvzi
ავზნიანი	ɑvzniɑni
ავთვისებიანი	ɑvtʰvisɛbiɑni
ავი	ɑvi
ავიაკომპანია	ɑviɑkʼɔmpʼɑniɑ
ავიატორი	ɑviɑtʼɔri
ავიაქარხანა	ɑviɑkʰɑrxɑnɑ
ავიაცია	ɑviɑt͡siɑ
ავიახაზი	ɑviɑxɑzi
ავინიონი	ɑviniɔni
ავისმომასწავებლად	ɑvismɔmɑst͡sʼɑvɛblɑd
ავიწროვებს	ɑvit͡sʼrɔvɛbs
ავკაცი	ɑvkʼɑt͡si
ავლაბარი	ɑvlɑbɑri
ავლებს	ɑvlɛbs
ავოკადო	ɑvɔkʼɑdɔ
ავრორა	ɑvrɔrɑ
ავრცელებს	ɑvrt͡sɛlɛbs
ავრცობს	ɑvrt͡sɔbs
ავსებული	ɑvsɛbuli
ავსტრალია	ɑvstʼrɑliɑ
ავსტრალიური	ɑvstʼrɑliuri
ავსტრია	ɑvstʼriɑ
ავსტრიული	ɑvstʼriuli
ავტოგრაფი	ɑvtʼɔɡrɑpʰi
ავტოკალამი	ɑvtʼɔkʼɑlɑmi
ავტოკოლონა	ɑvtʼɔkʼɔlɔnɑ
ავტოკრატია	ɑvtʼɔkʼrɑtʼiɑ
ავტოკრატიული	ɑvtʼɔkʼrɑtʼiuli
ავტომატი	ɑvtʼɔmɑtʼi
ავტომატურად	ɑvtʼɔmɑtʼurɑd
ავტომატური	ɑvtʼɔmɑtʼuri
ავტონომია	ɑvtʼɔnɔmiɑ
ავტონომიური	ɑvtʼɔnɔmiuri
ავტორად	ɑvtʼɔrɑd
ავტორები	ɑvtʼɔrɛbi
ავტორი	ɑvtʼɔri
ავტორით	ɑvtʼɔritʰ
ავტორის	ɑvtʼɔris
ავტორიტარული	ɑvtʼɔritʼɑruli
ავტორიტეტულად	ɑvtʼɔritʼɛtʼulɑd
ავტორმა	ɑvtʼɔrmɑ
ავტორო	ɑvtʼɔrɔ
ავტორობა	ɑvtʼɔrɔbɑ
ავტორს	ɑvtʼɔrs
ავტოსადგომი	ɑvtʼɔsɑdɡɔmi
ავტოსტოპად	ɑvtʼɔstʼɔpʼɑd
ავტოსტოპი	ɑvtʼɔstʼɔpʼi
ავტოსტოპით	ɑvtʼɔstʼɔpʼitʰ
ავტოსტოპის	ɑvtʼɔstʼɔpʼis
ავტოსტოპმა	ɑvtʼɔstʼɔpʼmɑ
ავტოსტოპს	ɑvtʼɔstʼɔpʼs
ავტოსტრადა	ɑvtʼɔstʼrɑdɑ
ავღანეთი	ɑvɣɑnɛtʰi
ავღანელი	ɑvɣɑnɛli
ავღანური	ɑvɣɑnuri
ავყია	ɑvqʼiɑ
ავყიობა	ɑvqʼiɔbɑ
ავხორცად	ɑvxɔrt͡sɑd
ავხორცი	ɑvxɔrt͡si
ავხორცობა	ɑvxɔrt͡sɔbɑ
ავხორცულად	ɑvxɔrt͡sulɑd
აზარტული	ɑzɑrtʼuli
აზბესტი	ɑzbɛstʼi
აზერბაიჯანი	ɑzɛrbɑid͡ʒɑni
აზვიადებს	ɑzviɑdɛbs
აზვირთებული	ɑzvirtʰɛbuli
აზიმუტი	ɑzimutʼi
აზიური	ɑziuri
აზნაური	ɑznɑuri
აზოტი	ɑzɔtʼi
აზოტური	ɑzɔtʼuri
აზრად	ɑzrɑd
აზრი	ɑzri
აზრიანად	ɑzriɑnɑd
აზრიანი	ɑzriɑni
აზრით	ɑzritʰ
აზრის	ɑzris
აზრმა	ɑzrmɑ
აზროვნება	ɑzrɔvnɛbɑ
აზრს	ɑzrs
აზღუდი	ɑzɣudi
ათავისუფლებს	ɑtʰɑvisupʰlɛbs
ათარიღებს	ɑtʰɑriɣɛbs
ათასი	ɑtʰɑsi
ათასწლეული	ɑtʰɑst͡sʼlɛuli
ათასწლოვანი	ɑtʰɑst͡sʼlɔvɑni
ათაშანგი	ɑtʰɑʃɑnɡi
ათბობს	ɑtʰbɔbs
ათეიზმი	ɑtʰɛizmi
ათეისტი	ɑtʰɛistʼi
ათეისტური	ɑtʰɛistʼuri
ათენი	ɑtʰɛni
ათენური	ɑtʰɛnuri
ათესვა	ɑtʰɛsvɑ
ათესვინებს	ɑtʰɛsvinɛbs
ათეული	ɑtʰɛuli
ათვალიერებს	ɑtʰvɑliɛrɛbs
ათი	ɑtʰi
ათლეტი	ɑtʰlɛtʼi
ათლეტიკა	ɑtʰlɛtʼikʼɑ
ათლეტის	ɑtʰlɛtʼis
ათლეტური	ɑtʰlɛtʼuri
ათმარცვლიანი	ɑtʰmɑrt͡svliɑni
ათობითი	ɑtʰɔbitʰi
ათრევს	ɑtʰrɛvs
ათქვეფილი	ɑtʰkʰvɛpʰili
ათხოვებს	ɑtʰxɔvɛbs
ათჯერადი	ɑtʰd͡ʒɛrɑdi
აი	ɑi
აიაფებს	ɑiɑpʰɛbs
აიდა	ɑidɑ
აივანი	ɑivɑni
აივნიანი	ɑivniɑni
აინტერესებს	ɑintʼɛrɛsɛbs
აინშტაინიუმი	ɑinʃtʼɑiniumi
აირადი	ɑirɑdi
აირი	ɑiri
აირღუმელი	ɑirɣumɛli
აირწინაღი	ɑirt͡sʼinɑɣi
აისბერგი	ɑisbɛrɡi
აისი	ɑisi
აკადემია	ɑkʼɑdɛmiɑ
აკადემიად	ɑkʼɑdɛmiɑd
აკადემიამ	ɑkʼɑdɛmiɑm
აკადემიას	ɑkʼɑdɛmiɑs
აკადემიით	ɑkʼɑdɛmiitʰ
აკადემიის	ɑkʼɑdɛmiis
აკადემიკოსი	ɑkʼɑdɛmikʼɔsi
აკადემიურად	ɑkʼɑdɛmiurɑd
აკადემიური	ɑkʼɑdɛmiuri
აკაზმულობა	ɑkʼɑzmulɔbɑ
აკაკი	ɑkʼɑkʼi
აკაკუნებს	ɑkʼɑkʼunɛbs
აკანკალებული	ɑkʼɑnkʼɑlɛbuli
აკაჟუ	ɑkʼɑʒu
აკაცია	ɑkʼɑt͡siɑ
აკეთებს	ɑkʼɛtʰɛbs
აკერებს	ɑkʼɛrɛbs
აკვალანგი	ɑkʼvɑlɑnɡi
აკვამარინი	ɑkʼvɑmɑrini
აკვანთა	ɑkʼvɑntʰɑ
აკვანი	ɑkʼvɑni
აკვანმა	ɑkʼvɑnmɑ
აკვანნი	ɑkʼvɑnni
აკვანნო	ɑkʼvɑnnɔ
აკვანო	ɑkʼvɑnɔ
აკვანს	ɑkʼvɑns
აკვარელი	ɑkʼvɑrɛli
აკვარელისტი	ɑkʼvɑrɛlistʼi
აკვარიუმი	ɑkʼvɑriumi
აკვდება	ɑkʼvdɛbɑ
აკვედუკი	ɑkʼvɛdukʼi
აკვიატება	ɑkʼviɑtʼɛbɑ
აკვიატებულად	ɑkʼviɑtʼɛbulɑd
აკვიატებული	ɑkʼviɑtʼɛbuli
აკვირვებს	ɑkʼvirvɛbs
აკვნად	ɑkʼvnɑd
აკვნებად	ɑkʼvnɛbɑd
აკვნები	ɑkʼvnɛbi
აკვნებით	ɑkʼvnɛbitʰ
აკვნების	ɑkʼvnɛbis
აკვნებმა	ɑkʼvnɛbmɑ
აკვნებო	ɑkʼvnɛbɔ
აკვნებს	ɑkʼvnɛbs
აკვნით	ɑkʼvnitʰ
აკვნის	ɑkʼvnis
აკვრევინებს	ɑkʼvrɛvinɛbs
აკლდამა	ɑkʼldɑmɑ
აკლებს	ɑkʼlɛbs
აკლია	ɑkʼliɑ
აკორდეონი	ɑkʼɔrdɛɔni
აკრავს	ɑkʼrɑvs
აკრი	ɑkʼri
აკრისტალებს	ɑkʼristʼɑlɛbs
აკრიფეთ	ɑkʼripʰɛtʰ
აკრობატი	ɑkʼrɔbɑtʼi
აკრობატიკა	ɑkʼrɔbɑtʼikʼɑ
აკროპოლისი	ɑkʼrɔpʼɔlisi
აკროსტიქი	ɑkʼrɔstʼikʰi
აკრძალვა	ɑkʼrd͡zɑlvɑ
აკრძალვითად	ɑkʼrd͡zɑlvitʰɑd
აკრძალვითი	ɑkʼrd͡zɑlvitʰi
აკრძალული	ɑkʼrd͡zɑluli
აკუთა	ɑkʼutʰɑ
აკუმულატორი	ɑkʼumulɑtʼɔri
აკურატულად	ɑkʼurɑtʼulɑd
აკურატული	ɑkʼurɑtʼuli
აკურატულობა	ɑkʼurɑtʼulɔbɑ
აკურთხებს	ɑkʼurtʰxɛbs
აკუსტიკა	ɑkʼustʼikʼɑ
აკუსტიკური	ɑkʼustʼikʼuri
ალაგებს	ɑlɑɡɛbs
ალაგი	ɑlɑɡi
ალადასტური	ɑlɑdɑstʼuri
ალადინი	ɑlɑdini
ალავერდი	ɑlɑvɛrdi
ალაზანი	ɑlɑzɑni
ალალბედზე	ɑlɑlbɛdzɛ
ალალი	ɑlɑli
ალალმართლად	ɑlɑlmɑrtʰlɑd
ალალმართლობა	ɑlɑlmɑrtʰlɔbɑ
ალამი	ɑlɑmi
ალაო	ɑlɑɔ
ალასანია	ɑlɑsɑniɑ
ალაფი	ɑlɑpʰi
ალაჰი	ɑlɑhi
ალბათ	ɑlbɑtʰ
ალბათობა	ɑlbɑtʰɔbɑ
ალბანეთი	ɑlbɑnɛtʰi
ალბანური	ɑlbɑnuri
ალბატროსი	ɑlbɑtʼrɔsi
ალბერტი	ɑlbɛrtʼi
ალბინოსი	ɑlbinɔsi
ალბომად	ɑlbɔmɑd
ალბომი	ɑlbɔmi
ალბომით	ɑlbɔmitʰ
ალბომის	ɑlbɔmis
ალბომმა	ɑlbɔmmɑ
ალბომს	ɑlbɔms
ალგებრა	ɑlɡɛbrɑ
ალგებრულად	ɑlɡɛbrulɑd
ალგებრული	ɑlɡɛbruli
ალგორითმი	ɑlɡɔritʰmi
ალდატი	ɑldɑtʼi
ალებასტრი	ɑlɛbɑstʼri
ალეგორია	ɑlɛɡɔriɑ
ალეგორიული	ɑlɛɡɔriuli
ალეპო	ɑlɛpʼɔ
ალერგია	ɑlɛrɡiɑ
ალერგიული	ɑlɛrɡiuli
ალერსად	ɑlɛrsɑd
ალერსი	ɑlɛrsi
ალერსიანი	ɑlɛrsiɑni
ალერსით	ɑlɛrsitʰ
ალერსის	ɑlɛrsis
ალერსმა	ɑlɛrsmɑ
ალერსო	ɑlɛrsɔ
ალერსს	ɑlɛrss
ალექსანდრა	ɑlɛkʰsɑndrɑ
ალექსანდრე	ɑlɛkʰsɑndrɛ
ალექსანდრია	ɑlɛkʰsɑndriɑ
ალვა	ɑlvɑ
ალვეოლური	ɑlvɛɔluri
ალი	ɑli
ალიაქოთი	ɑliɑkʰɔtʰi
ალიბი	ɑlibi
ალიგატორი	ɑliɡɑtʼɔri
ალიზი	ɑlizi
ალიკაპი	ɑlikʼɑpʼi
ალიონი	ɑliɔni
ალისფერი	ɑlispʰɛri
ალიტერაცია	ɑlitʼɛrɑt͡siɑ
ალიტერაციული	ɑlitʼɛrɑt͡siuli
ალკოჰოლი	ɑlkʼɔhɔli
ალკოჰოლიანი	ɑlkʼɔhɔliɑni
ალკოჰოლიზმი	ɑlkʼɔhɔlizmi
ალკოჰოლური	ɑlkʼɔhɔluri
ალმანახი	ɑlmɑnɑxi
ალმასი	ɑlmɑsi
ალმატი	ɑlmɑtʼi
ალმოდებული	ɑlmɔdɛbuli
ალმური	ɑlmuri
ალო	ɑlɔ
ალოე	ɑlɔɛ
ალპინიზმი	ɑlpʼinizmi
ალპინისტი	ɑlpʼinistʼi
ალპური	ɑlpʼuri
ალჟირი	ɑlʒiri
ალტერნატივა	ɑltʼɛrnɑtʼivɑ
ალტერნატიულად	ɑltʼɛrnɑtʼiulɑd
ალტერნატიული	ɑltʼɛrnɑtʼiuli
ალტი	ɑltʼi
ალტიმეტრი	ɑltʼimɛtʼri
ალტრუიზმი	ɑltʼruizmi
ალტრუისტი	ɑltʼruistʼi
ალტრუისტულად	ɑltʼruistʼulɑd
ალტრუისტული	ɑltʼruistʼuli
ალუბალი	ɑlubɑli
ალუვიური	ɑluviuri
ალუმინი	ɑlumini
ალუჩა	ɑlut͡ʃɑ
ალფა	ɑlpʰɑ
ალქატი	ɑlkʰɑtʼi
ალქიმია	ɑlkʰimiɑ
ალქიმიკოსი	ɑlkʰimikʼɔsi
ალღო	ɑlɣɔ
ალყა	ɑlqʼɑ
ამ	ɑm
ამაგი	ɑmɑɡi
ამაზე	ɑmɑzɛ
ამალა	ɑmɑlɑ
ამალგამა	ɑmɑlɡɑmɑ
ამანათი	ɑmɑnɑtʰi
ამაო	ɑmɑɔ
ამაოდ	ɑmɑɔd
ამაოება	ɑmɑɔɛbɑ
ამართლებს	ɑmɑrtʰlɛbs
ამარილისი	ɑmɑrilisi
ამას	ɑmɑs
ამასთან	ɑmɑstʰɑn
ამატებს	ɑmɑtʼɛbs
ამაღელვებელი	ɑmɑɣɛlvɛbɛli
ამაღელვებლად	ɑmɑɣɛlvɛblɑd
ამაღლებულად	ɑmɑɣlɛbulɑd
ამაღლებული	ɑmɑɣlɛbuli
ამაღლებულობა	ɑmɑɣlɛbulɔbɑ
ამაყად	ɑmɑqʼɑd
ამაყი	ɑmɑqʼi
ამაში	ɑmɑʃi
ამახინჯებს	ɑmɑxind͡ʒɛbs
ამბავი	ɑmbɑvi
ამბიცია	ɑmbit͡siɑ
ამბობს	ɑmbɔbs
ამბორი	ɑmbɔri
ამბოხება	ɑmbɔxɛbɑ
ამბოხებული	ɑmbɔxɛbuli
ამბოხი	ɑmbɔxi
ამბრაზურა	ɑmbrɑzurɑ
ამდენად	ɑmdɛnɑd
ამეთვისტო	ɑmɛtʰvistʼɔ
ამერიკა	ɑmɛrikʼɑ
ამერიკად	ɑmɛrikʼɑd
ამერიკამ	ɑmɛrikʼɑm
ამერიკანიზმი	ɑmɛrikʼɑnizmi
ამერიკას	ɑmɛrikʼɑs
ამერიკელი	ɑmɛrikʼɛli
ამერიკით	ɑmɛrikʼitʰ
ამერიკის	ɑmɛrikʼis
ამერიკული	ɑmɛrikʼuli
ამზადებს	ɑmzɑdɛbs
ამთავრებს	ɑmtʰɑvrɛbs
ამთვისებელი	ɑmtʰvisɛbɛli
ამთქნარებს	ɑmtʰkʰnɑrɛbs
ამიაკი	ɑmiɑkʼi
ამიერიდან	ɑmiɛridɑn
ამიერკავკასია	ɑmiɛrkʼɑvkʼɑsiɑ
ამით	ɑmitʰ
ამინ	ɑmin
ამინდი	ɑmindi
ამირა	ɑmirɑ
ამირანი	ɑmirɑni
ამირი	ɑmiri
ამისულაშვილი	ɑmisulɑʃvili
ამიტომ	ɑmitʼɔm
ამიტომაც	ɑmitʼɔmɑt͡s
ამკობს	ɑmkʼɔbs
ამლევი	ɑmlɛvi
ამნეზია	ɑmnɛziɑ
ამნისტია	ɑmnistʼiɑ
ამობურცული	ɑmɔburt͡suli
ამოდის	ɑmɔdis
ამოზნექილად	ɑmɔznɛkʰilɑd
ამოზნექილი	ɑmɔznɛkʰili
ამოზნექილობა	ɑmɔznɛkʰilɔbɑ
ამოთითხნილი	ɑmɔtʰitʰxnili
ამოიდო	ɑmɔidɔ
ამოკლებს	ɑmɔkʼlɛbs
ამომწურავად	ɑmɔmt͡sʼurɑvɑd
ამომწურავი	ɑmɔmt͡sʼurɑvi
ამომჭმელი	ɑmɔmt͡ʃʼmɛli
ამორალური	ɑmɔrɑluri
ამორტიზაცია	ɑmɔrtʼizɑt͡siɑ
ამორფული	ɑmɔrpʰuli
ამორჩეული	ɑmɔrt͡ʃɛuli
ამორძალი	ɑmɔrd͡zɑli
ამოურჩეველი	ɑmɔurt͡ʃɛvɛli
ამოუწურავი	ɑmɔut͡sʼurɑvi
ამოყვანილი	ɑmɔqʼvɑnili
ამოშვერილი	ɑmɔʃvɛrili
ამოცანა	ɑmɔt͡sɑnɑ
ამოცნობა	ɑmɔt͡snɔbɑ
ამოძირკვავს	ɑmɔd͡zirkʼvɑvs
ამოხველება	ɑmɔxvɛlɛbɑ
ამპარტავანი	ɑmpʼɑrtʼɑvɑni
ამპარტავნულად	ɑmpʼɑrtʼɑvnulɑd
ამპერი	ɑmpʼɛri
ამპერმეტრი	ɑmpʼɛrmɛtʼri
ამპლიტუდა	ɑmpʼlitʼudɑ
ამპულა	ɑmpʼulɑ
ამპუტაცია	ɑmpʼutʼɑt͡siɑ
ამჟამად	ɑmʒɑmɑd
ამრავლებს	ɑmrɑvlɛbs
ამრგვალებს	ɑmrɡvɑlɛbs
ამრეკლავად	ɑmrɛkʼlɑvɑd
ამრეკლავი	ɑmrɛkʼlɑvi
ამსგავსებს	ɑmsɡɑvsɛbs
ამსტერდამი	ɑmstʼɛrdɑmi
ამტანი	ɑmtʼɑni
ამტანობა	ɑmtʼɑnɔbɑ
ამტვრევს	ɑmtʼvrɛvs
ამუზია	ɑmuziɑ
ამულეტი	ɑmulɛtʼi
ამუშავებს	ɑmuʃɑvɛbs
ამუხრუჭებს	ɑmuxrut͡ʃʼɛbs
ამფიბია	ɑmpʰibiɑ
ამფითეატრი	ɑmpʰitʰɛɑtʼri
ამფორა	ɑmpʰɔrɑ
ამღერებს	ɑmɣɛrɛbs
ამღვრეულობა	ɑmɣvrɛulɔbɑ
ამშვიდებს	ɑmʃvidɛbs
ამჩნევს	ɑmt͡ʃnɛvs
ამძვრალი	ɑmd͡zvrɑli
ამძიმებს	ɑmd͡zimɛbs
ამწარებს	ɑmt͡sʼɑrɛbs
ამწე	ɑmt͡sʼɛ
ამწიფებს	ɑmt͡sʼipʰɛbs
ამწნილებს	ɑmt͡sʼnilɛbs
ამხანაგი	ɑmxɑnɑɡi
ამხანაგობა	ɑmxɑnɑɡɔbɑ
ამხედრებული	ɑmxɛdrɛbuli
ამჯობინებს	ɑmd͡ʒɔbinɛbs
ან	ɑn
ანა	ɑnɑ
ანაბარი	ɑnɑbɑri
ანაბეჭდი	ɑnɑbɛt͡ʃʼdi
ანაგვიანებს	ɑnɑɡviɑnɛbs
ანათემა	ɑnɑtʰɛmɑ
ანაკონდა	ɑnɑkʼɔndɑ
ანალიზი	ɑnɑlizi
ანალიზური	ɑnɑlizuri
ანალიტიკოსი	ɑnɑlitʼikʼɔsi
ანალოგი	ɑnɑlɔɡi
ანალოგია	ɑnɑlɔɡiɑ
ანალოგიურად	ɑnɑlɔɡiurɑd
ანალოგიური	ɑnɑlɔɡiuri
ანალური	ɑnɑluri
ანანასი	ɑnɑnɑsi
ანანიძე	ɑnɑnid͡zɛ
ანაოჭებს	ɑnɑɔt͡ʃʼɛbs
ანარქია	ɑnɑrkʰiɑ
ანარქიზმი	ɑnɑrkʰizmi
ანარქისტი	ɑnɑrkʰistʼi
ანარქიულად	ɑnɑrkʰiulɑd
ანარქიული	ɑnɑrkʰiuli
ანატოლი	ɑnɑtʼɔli
ანატომი	ɑnɑtʼɔmi
ანატომიურად	ɑnɑtʼɔmiurɑd
ანატომიური	ɑnɑtʼɔmiuri
ანაფილაქსია	ɑnɑpʰilɑkʰsiɑ
ანაფორა	ɑnɑpʰɔrɑ
ანაქრონიზმი	ɑnɑkʰrɔnizmi
ანაღდებს	ɑnɑɣdɛbs
ანახვებს	ɑnɑxvɛbs
ანახშირებს	ɑnɑxʃirɛbs
ანბანი	ɑnbɑni
ანბანურად	ɑnbɑnurɑd
ანბანური	ɑnbɑnuri
ანგარება	ɑnɡɑrɛbɑ
ანგარები	ɑnɡɑrɛbi
ანგარებიანი	ɑnɡɑrɛbiɑni
ანგარი	ɑnɡɑri
ანგარიშვალდებულება	ɑnɡɑriʃvɑldɛbulɛbɑ
ანგარიშვალდებული	ɑnɡɑriʃvɑldɛbuli
ანგარიში	ɑnɡɑriʃi
ანგარიშიანი	ɑnɡɑriʃiɑni
ანგარიშმიუცემლად	ɑnɡɑriʃmiut͡sɛmlɑd
ანგელოზა	ɑnɡɛlɔzɑ
ანგელოზი	ɑnɡɛlɔzi
ანგელოზივით	ɑnɡɛlɔzivitʰ
ანგია	ɑnɡiɑ
ანგინა	ɑnɡinɑ
ანგლიკანური	ɑnɡlikʼɑnuri
ანგლიციზმი	ɑnɡlit͡sizmi
ანგლოსაქსური	ɑnɡlɔsɑkʰsuri
ანგლოფობი	ɑnɡlɔpʰɔbi
ანგოლა	ɑnɡɔlɑ
ანგორა	ɑnɡɔrɑ
ანგრევს	ɑnɡrɛvs
ანდაზა	ɑndɑzɑ
