а	a
академски	akǎdemskiː
акадски	ǎkaːdskiː
акамоли	akâmoli
акварел	akʋǎrel
акварелистички	akʋarelǐstitʃki
акварелистички	akʋarelǐstitʃkiː
аквизиција	akʋizǐːt͡sija
аквила	âːkʋila
акламација	aklamǎːt͡sija
аклиматизациони	âklimatizat͡sioːniː
аклиматизација	aklimatizǎːt͡sija
аклиматизацијски	aklimatizǎːt͡siːjskiː
аклиматизирати	aklimatizǐːrati
ако	âko
аков	ǎkoʋ
акомодација	akomodǎːt͡sija
акомодирати	akomodǐːrati
аконтација	akontǎːt͡sija
аконтирати	akontǐːrati
аконто	akǒnto
акопрем	âkoprem
акорд	ǎkord
акредитив	akredǐtiːʋ
акробат	akrǒbat
акробатика	akrobǎtika
акробатски	akrǒbatski
акробатски	akrǒbatskiː
акроним	akrǒnim
акропола	akrǒpola
акростих	âkrostix
аксиологија	aksiolǒɡija
аксиом	aksǐoːm
акт	âkt
актер	ǎkteːr
активан	âktiːʋan
активација	aktiʋǎːt͡sija
активизам	aktiʋǐzam
активизирати	aktiʋizǐːrati
активирати	aktiʋǐːrati
активист	aktǐʋist
активисткиња	aktǐʋistkiɲa
активно	âktiːʋno
активност	aktǐːʋnoːst
актинологија	aktinolǒɡija
актовка	âktoːʋka
актуалан	âktuaːlan
актуализам	aktualǐzam
актуализирати	aktualizǐːrati
актуелан	âktueːlan
акузатив	âkuzatiːʋ
акултурација	akulturǎːt͡sija
акумулатор	akumǔlaːtor
акумулаторски	akumulâtorskiː
акумулаторски	akumǔlaːtorskiː
акумулација	akumulǎːt͡sija
акумулирати	akumulǐːrati
акупунктура	akupunktǔːra
акустика	akǔstika
акустичан	akǔstit͡ʃan
акустички	akǔstit͡ʃkiː
акутан	âkuːtan
акцелератор	akt͡selěraːtor
акцелерација	akt͡selerǎːt͡sija
акценат	ǎkt͡senat
акцент	ǎkt͡sent
акцентирати	akt͡sentǐːrati
акцептор	ǎkt͡septor
акција	ǎkt͡sija
акцијски	ǎkt͡siːjskiː
акшам	ǎkʃam
алабама	alabǎma
аларм	ǎlarm
алармантан	alarmǎntan
алармантно	alarmǎntno
алармни	ǎlarmniː
алат	ǎlaːt
алатни	ǎlaːtniː
албанац	albǎːnat͡s
албанизација	albanizǎːt͡sija
албанизирати	albanizǐːrati
албанија	ǎlbaːnija
албанка	ǎlbaːnka
албанолог	albanǒloɡ
албанологија	albanolǒɡija
албанологијски	albanolǒɡiːjskiː
албанолошки	albanǒloʃki
албанолошки	albanǒloʃkiː
албанолошкиња	albanǒloʃkiɲa
албански	ǎlbaːnski
албански	ǎlbaːnskiː
албатрос	ǎlbatros
албин	ǎlbiːn
албинизам	albinǐzam
албум	ǎlbuːm
алвеола	alʋeǒːla
алвеолар	alʋeǒlaːr
алвеоларан	âlʋeolaːran
алгебарски	ǎlɡeːbarski
алгебарски	ǎlɡeːbarskiː
алгебра	ǎlɡeːbra
алгологија	alɡolǒɡija
алгонкијски	alɡǒnkiːjskiː
алгоритам	alɡorǐtam
алегоричан	aleɡǒrit͡ʃan
алегорија	aleɡǒrija
александар	alěksaːndar
александрија	aleksǎndrija
алем	ǎlem
алем	ǎːlem
алергичан	alěrɡit͡ʃan
алергично	alěrɡit͡ʃno
алергичност	alěrɡit͡ʃnoːst
алерголог	alerɡǒloɡ
алергологија	alerɡolǒɡija
алерголошки	alerɡǒloʃki
алерголошки	alerɡǒloʃkiː
алеутски	alěutskiː
алжир	ǎlʒiːr
алжирац	alʒǐːrat͡s
алжирка	ǎlʒiːrka
алжирски	ǎlʒiːrskiː
алзашки	ǎlzaʃki
алзашки	ǎlzaʃkiː
али	âli
алигатор	alǐɡaːtor
алитерација	aliterǎːt͡sija
алијанса	alǐjansa
алијенација	alijenǎːt͡sija
алка	âːlka
алкалоид	alkalǒiːd
алкохол	ǎlkoxol
алкохолизам	alkoxolǐzam
алкохолизиран	alkoxolǐziːran
алкохолизирати	alkoxolizǐːrati
алкохоличар	alkoxǒlit͡ʃaːr
алкохолни	ǎlkoxolniː
алкохолно	ǎlkoxolnoː
алмаатски	almaâtskiː
алманах	almǎnax
аломорф	âlomorf
алотроп	alǒtrop
алофон	âlofoːn
алпинист	alpǐnist
алпински	ǎlpiːnskiː
алпски	âːlpskiː
алтерација	alterǎːt͡sija
алтернативан	âlternatiːʋan
алтернативац	alternatǐːʋat͡s
алтернација	alternǎːt͡sija
алтиметар	ǎltimetar
алтруизам	altruǐzam
алтруистички	altruǐstitʃki
алтруистички	altruǐstitʃkiː
алувијалан	âluʋijaːlan
алудирати	aludǐːrati
алузија	ǎluːzija
алфа	âlfa
алфабет	alfǎbeːt
алфабетизам	alfabetǐzam
алфабетски	alfǎbeːtskiː
алхамиадо	alxamiǎːdo
ама	âma
амазонски	amǎzoːnski
амазонски	amǎzoːnskiː
амалгам	amǎlɡaːm
аман	ǎmaːn
амандман	amǎndmaːn
аматер	amǎteːr
аматеризам	amaterǐzam
аматерски	amǎteːrski
аматерски	amǎteːrskiː
аматерство	amatěːrstʋo
амајлија	amǎjlija
амбалажа	ambalǎːʒa
амбасада	ambasǎːda
амбасадор	ambǎsaːdor
амбасадорски	ambǎsaːdorski
амбасадорски	ambǎsaːdorskiː
амбивалентан	ambiʋǎlentan
амбивалентност	ambiʋǎlentnoːst
амбиваленција	ambiʋalěnt͡sija
амбигвитет	ambiɡʋǐteːt
амбигвитетан	âmbiɡʋiteːtan
амбис	ǎmbis
амбициозан	âmbit͡sioːzan
амбициозно	âmbit͡sioːzno
амбијент	ambǐjent
амбијенталан	âmbijentaːlan
амброзија	ǎmbroːzija
амбулантни	ambǔlantniː
амбулантски	ambǔlantskiː
амеба	aměːba
амебни	ǎmeːbniː
амелиорација	ameliorǎːt͡sija
амер	âmer
америка	aměrika
американац	amerikǎːnat͡s
американизам	amerikanǐzam
американизирати	amerikanizǐːrati
американка	amerǐkaːnka
амерички	aměritʃki
амерички	aměritʃkiː
аметист	amětist
аметице	ǎmetit͡se
аминокиселина	aminokiselǐna
амиџа	ǎmid͡ʒa
амнезија	ǎmneːzija
амнестирати	amnestǐːrati
амо	âːmo
амодер	âːmoder
аморалан	âmoraːlan
аморалност	amorǎːlnoːst
амортизација	amortizǎːt͡sija
амортизацијски	amortizǎːt͡siːjskiː
аморфан	ǎmorfan
аморфно	ǎmorfno
амплитуда	amplitǔːda
амплификација	amplifikǎːt͡sija
ампутација	amputǎːt͡sija
ампутирати	amputǐːrati
амстердам	ǎmsterdam
амстердамски	ǎmsterdamskiː
амулет	amǔlet
амфибија	ǎmfiːbija
амфитеатар	amfitěaːtar
амфитеатралан	amfitěatraːlan
амфора	ǎmfora
амхарски	ǎmxarskiː
ана	âna
ана	ǎːna
анабаза	anabǎːza
анаболизам	anabolǐzam
анаболик	anabǒlik
анаграм	anǎɡram
анадиплоза	anadiplǒːza
анадолија	anadǒːlija
анаеробан	ǎnaeroban
анакронизам	anakronǐzam
анакронистичан	anakronǐstit͡ʃan
анакроничан	anakrǒnit͡ʃan
аналгезија	anǎlɡeːzija
аналгетички	analɡětit͡ʃki
аналгетички	analɡětit͡ʃkiː
аналептик	analěptik
анали	anǎːli
анализа	analǐːza
анализатор	analǐzaːtor
анализирати	analizǐːrati
аналитичан	analǐtit͡ʃan
аналитичар	analǐtit͡ʃaːr
анални	ǎnaːlniː
аналоган	ânaloɡan
аналогија	analǒɡija
аналогијски	analǒɡiːjskiː
аналогно	ânaloɡno
аналошки	anǎloʃki
аналошки	anǎloʃkiː
аналфабет	analfǎbeːt
аналфабетизам	analfabetǐzam
аналфабетски	analfǎbetski
аналфабетски	analfǎbetskiː
анамнеза	anamněːza
ананас	ânanas
анархизам	anarxǐzam
анархист	anǎrxist
анархистички	anarxǐstitʃki
анархистички	anarxǐstitʃkiː
анархичан	anǎrxit͡ʃan
анархичност	anǎrxit͡ʃnoːst
анархија	anǎrxija
анасон	anǎsoːn
анастрофа	anastrǒːfa
анатемизирати	anatemizǐːrati
анатолија	anatǒːlija
анатом	anǎtoːm
анатомија	anatǒmija
анахронизам	anaxronǐzam
ангажиран	anɡǎʒiːran
ангажирати	anɡaʒǐːrati
ангелологија	anɡelolǒɡija
ангиологија	anɡiolǒɡija
англизам	anɡlǐzam
англикан	anɡlǐkaːn
англикански	anɡlǐkaːnskiː
англист	ǎnɡlist
англистика	anɡlǐstika
англистички	anɡlǐstit͡ʃki
англистички	anɡlǐstit͡ʃkiː
англоамерика	anɡloaměrika
англосаксонски	anɡlosǎksoːnskiː
англосаски	anɡlǒsaskiː
англофил	anɡlǒfiːl
англофоб	anɡlǒfoːb
ангола	anɡôːla
анголка	ǎnɡoːlka
анголски	ǎnɡolskiː
андалузија	andǎluːzija
андалузијски	andǎluzijskiː
андалуски	andǎluskiː
анде	âːnde
андора	andôːra
андорац	andǒːrat͡s
андорски	ǎndorskiː
андрија	ǎndrija
андрокло	andrǒklo
андрологија	androlǒɡija
андромаха	andrǒmaxa
андромеда	andrǒmeda
анегдота	aneɡdǒta
анегдоталан	aneɡdǒtaːlan
анегдоталност	aneɡdotǎːlnoːst
анегдотичан	aneɡdǒtit͡ʃan
анегдотичност	aneɡdǒtit͡ʃnoːst
анегдотски	aněɡdotski
анегдотски	aněɡdotskiː
анексиони	âneksioːniː
анексионист	aneksiǒnist
анексионистички	aneksionǐstit͡ʃki
анексионистички	aneksionǐstit͡ʃkiː
анексија	aněksija
анексијски	aněksiːjski
анексијски	aněksiːjskiː
анектирати	anektǐːrati
анемичан	aněmit͡ʃan
анероид	anerǒiːd
анестезија	anestězija
анестетик	anestětik
анилин	anǐliːn
анилински	anǐliːnskiː
анималан	ânimaːlan
аниматор	anǐmaːtor
анимација	animǎːt͡sija
анимизам	animǐzam
анимирати	animǐːrati
анимозитет	animozǐteːt
анис	ǎnis
аниса	ǎnisa
анихилација	anixilǎːt͡sija
анка	âːnka
анкара	ǎnkara
анкета	ankěta
анкетар	ankětaːr
анкетирати	anketǐːrati
анкетни	ǎnketniː
анода	anǒːda
анодни	ǎnoːdniː
аномалија	anomǎlija
анониман	ânoniːman
анонимно	ânoniːmno
анонимност	anonǐːmnoːst
аноргански	ânorɡaːnskiː
анотирати	anotǐːrati
антагонизам	antaɡonǐzam
антарктик	antǎrktik
анте	ǎːnte
антиалкохолизам	antialkoxolǐzam
антибиотик	antibiǒtik
антидржавни	antidřʒaːʋniː
антиимперијализам	antiimperijalǐzam
антик	ǎntik
антика	ǎntika
антиквар	antǐkʋaːr
антикваран	ântikʋaːran
антиклинала	antiklinǎːla
антикни	ǎntikniː
антикомунизам	antikomunǐzam
антикомунист	antikomǔnist
антикомунистички	antikomunǐstit͡ʃki
антикомунистички	antikomunǐstit͡ʃkiː
антилогаритам	antiloɡarǐtam
антиматерија	antimǎteːrija
антиметабола	antimetǎbola
антимон	ǎntimon
антипатичан	antipǎtit͡ʃan
антипатично	antipǎtit͡ʃno
антипод	antǐpoːd
антирелигиозан	antirěliɡioːzan
антисемитизам	antisemitǐzam
антисемитски	antisěmiːtski
антисемитски	antisěmiːtskiː
антисептички	antisěptit͡ʃki
антисептички	antisěptit͡ʃkiː
антисоцијалан	antisǒt͡sijaːlan
антисоцијализам	antisot͡sijalǐzam
антисоцијалистички	antisot͡sijalǐstit͡ʃki
антисоцијалистички	antisot͡sijalǐstit͡ʃkiː
антитеза	antǐteza
антитело	ǎntiteːlo
антитијело	ǎntitjeːlo
антифашизам	antifaʃǐzam
антифашист	antifǎʃist
антифашистички	antifaʃǐstitʃki
антифашистички	antifaʃǐstitʃkiː
антифашисткиња	antifǎʃistkiɲa
антифеминизам	antifeminǐzam
антихерој	antixěroːj
антициклона	antit͡siklǒːna
антиципација	antit͡sipǎːt͡sija
антиципирати	antit͡sipǐːrati
антички	ǎntit͡ʃkiː
антологија	antolǒɡija
антоним	antǒniːm
антонимија	antonǐmija
антономазија	antonomǎːzija
антракс	ǎntraks
антропоидан	ântropoiːdan
антрополог	antropǒloɡ
антропологија	antropolǒɡija
антрополошки	antropǒloʃki
антрополошки	antropǒloʃkiː
антропоморфан	antropomǒrfan
антропоморфизам	antropomorfǐzam
антун	ǎntuːn
анулирати	anulǐːrati
анђелак	and͡ʑěːlak
анђелић	âːnd͡ʑelit͡ɕ
анђелски	âːnd͡ʑelskiː
анђелчић	and͡ʑělt͡ʃit͡ɕ
анђео	âːnd͡ʑeo
анђеоски	andʑeǒski
анђеоски	andʑeǒskiː
анџар	ǎnd͡ʒaːr
аорист	âorist
аористни	âoristniː
аорта	ǎoːrta
апанажа	apanǎːʒa
апаратчик	aparǎtt͡ʃik
апартан	ǎpartan
апартхејд	âpartxejd
апатичан	apǎtit͡ʃan
апатично	apǎtit͡ʃno
апатија	apǎtija
апатрид	apǎtriːd
апел	ǎpel
апелирати	apelǐːrati
аперитив	aperǐtiːʋ
апетит	apětiːt
аплаудирати	aplaudǐːrati
аплауз	ǎplauz
апликација	aplikǎːt͡sija
аплицирати	aplit͡sǐːrati
аподиктички	apodǐktit͡ʃki
апозиција	apozǐːt͡sija
апокалипса	apokalǐpsa
апокалиптичан	apokalǐptit͡ʃan
апокрифан	apǒkrifan
аполитичан	apolǐtit͡ʃan
аполитички	apolǐtitʃki
аполитички	apolǐtitʃkiː
апологет	apolǒɡeːt
апологетика	apoloɡětika
апологија	apolǒɡija
аполон	apǒloːn
апостол	ǎpostol
апостроф	ǎpostrof
апострофа	apǒstrofa
апострофирати	apostrofǐːrati
апотеоза	apoteǒːza
апрецијација	apret͡sijǎːt͡sija
април	ǎpriːl
априлски	ǎpriːlskiː
априоран	âprioːran
апроксимативан	âproksimatiːʋan
апроксимативно	âproksimatiːʋno
апроксимирати	aproksimǐːrati
апсида	ǎpsida
апсолвирати	apsolʋǐːrati
апсолут	âpsoluːt
апсолутан	âpsoluːtan
апсолутизам	apsolutǐzam
апсолутизирати	apsolutizǐːrati
апсолутно	âpsoluːtno
апсолуција	apsolǔːt͡sija
апсорбирати	apsorbǐːrati
апсорпција	apsǒrpt͡sija
апстиненција	apstiněnt͡sija
апстинирати	apstinǐːrati
апстракт	ǎpstrakt
апстрактан	ǎpstraktan
апстрактно	ǎpstraktno
апстракција	apstrǎkt͡sija
апстрахирати	apstraxǐːrati
апсурдан	ǎpsurdan
апсурдно	ǎpsurdno
апсурдност	ǎpsurdnoːst
апсциса	apst͡sǐsa
арабеска	arǎbeska
арабица	arǎbit͡sa
арабија	ǎraːbija
арабијски	arǎːbiːjskiː
арабљанин	arǎːbʎaniːn
арамејски	aramějskiː
аранжирати	aranʒǐːrati
аранжман	arǎnʒmaːn
арапин	ǎrapin
арапски	ǎrapskiː
арбитар	ǎrbitar
арбитража	arbitrǎːʒa
арбитражни	ârbitraːʒniː
арбитраран	ârbitraːran
арбун	ǎrbuːn
аргат	ǎrɡat
аргентина	arɡentǐːna
аргентинац	arɡentǐːnat͡s
аргентински	arɡěntiːnskiː
аргон	ǎrɡoːn
аргумент	arɡǔment
аргументација	arɡumentǎːt͡sija
аргументирано	arɡuměntiːrano
аребица	arěbit͡sa
арена	arěːna
арзухал	arzǔxaːl
аристократ	aristǒkrat
аристократија	aristokrǎtija
аристократкиња	aristǒkratkiɲa
аристократски	aristǒkratski
аристократски	aristǒkratskiː
аристокрација	aristokrǎt͡sija
аритметика	aritmětika
аритметички	aritmětitʃki
аритметички	aritmětitʃkiː
аритмија	arǐtmija
арија	âːrija
аријски	âːriːjskiː
арматура	armatǔːra
арменац	arměːnat͡s
арменија	ǎrmeːnija
арменски	ǎrmeːnskiː
арогантан	aroɡǎntan
арогантно	aroɡǎntno
ароганција	aroɡǎnt͡sija
арома	arǒːma
ароматичан	aromǎtit͡ʃan
арсен	ǎrseːn
арсенал	arsěnaːl
артерија	ǎrteːrija
артеријски	ǎrteːriːjskiː
артефакт	ârtefakt
артикулација	artikulǎːt͡sija
артикулацијски	artikulǎːt͡siːjskiː
артист	ǎrtist
артистички	artǐstitʃki
артистички	artǐstitʃkiː
артичока	artit͡ʃǒːka
артиљерац	artiʎěːrat͡s
артиљерија	artiʎěrija
артиљеријски	artiʎěriːjskiː
артиљерски	artǐʎeːrski
артиљерски	artǐʎeːrskiː
артритис	artrǐtis
архаизам	arxaǐzam
архаизирати	arxaizǐːrati
архаик	arxǎik
архаичан	arxǎit͡ʃan
архаично	arxǎit͡ʃno
археолог	arxeǒloɡ
археологија	arxeolǒɡija
археолошки	arxeǒloʃkiː
архив	ǎrxiːʋ
архивар	arxǐʋaːr
архивист	arxǐʋist
архиепископ	arxiěpiskop
архипелаг	arxipělaːɡ
архитект	arxǐtekt
архитектица	arxǐtektit͡sa
архитектонски	arxitěktoːnskiː
архитектура	arxitektǔːra
архитектурни	arxitěktuːrniː
архиђакон	ǎrxid͡ʑakon
аршин	ǎrʃiːn
ас	âs
асамски	ǎsamskiː
асептичан	asěptit͡ʃan
асептички	asěptit͡ʃkiː
асиметричан	asimětrit͡ʃan
асиметрија	asimětrija
асимилација	asimilǎːt͡sija
асирац	asǐːrat͡s
асирија	asǐːrija
асирологија	asirolǒɡija
асирски	ǎsiːrskiː
асистент	asǐstent
асистенција	asistěnt͡sija
асистирати	asistǐːrati
аскетизам	asketǐzam
асонанца	asǒnaːnt͡sa
асортиман	asortǐmaːn
асоцирати	asot͡sǐːrati
асоцијалан	âsot͡sijaːlan
асоцијацизам	asot͡sijat͡sǐzam
асоцијационизам	asot͡sijat͡sionǐzam
аспект	ǎspekt
аспирин	aspǐriːn
аспра	âspra
астма	ǎstma
астматичан	astmǎtit͡ʃan
астматичар	astmǎtit͡ʃaːr
астралан	ǎstraːlan
астробиологија	astrobiolǒɡija
астрогеологија	astroɡeolǒɡija
астролог	astrǒloɡ
астрологија	astrolǒɡija
астролошки	astrǒloʃki
астролошки	astrǒloʃkiː
астронаут	astronǎut
астронаутика	astronaǔtika
астрономија	astronǒmija
астрономијски	astronǒmiːjskiː
астрономски	astrǒnomskiː
астрофизика	astrofǐzika
астрофизичар	astrofǐzit͡ʃaːr
астурија	ǎstuːrija
астуријац	astǔriːjat͡s
астуријски	ǎstuːriːjskiː
асуан	ǎsuan
асфалт	ǎsfalt
асфалтирати	asfaltǐːrati
атаман	atǎmaːn
атар	âtaːr
атеизам	ateǐzam
атеист	atěist
атена	atěːna
атентат	atěntaːt
атентатор	atěntaːtor
атерирати	aterǐːrati
атина	atǐːna
атички	ǎtit͡ʃkiː
атланта	atlǎnta
атлантида	atlantǐːda
атлантик	atlǎntik
атлантски	ǎtlantskiː
атлетика	atlětika
атлетичар	atlětit͡ʃaːr
атлетичарка	atlětit͡ʃaːrka
атлетски	ǎtleːtskiː
атмосфера	atmosfěːra
атом	ǎtoːm
атомизација	atomizǎːt͡sija
атомизирати	atomizǐːrati
атомски	ǎtoːmskiː
атоналан	âtonaːlan
атрактиван	âtraktiːʋan
атракција	atrǎkt͡sija
атрибут	atrǐbuːt
атрофија	atrǒfija
аугментатив	ǎuɡmentatiːʋ
аудиолог	audiǒloɡ
аудиологија	audiolǒɡija
аудиција	audǐːt͡sija
аукција	aǔkt͡sija
ауреола	aurěola
аустралац	austrǎːlat͡s
аустралија	aǔstraːlija
аустралијанац	australijǎːnat͡s
аустралијански	australǐjaːnskiː
аустралијски	aǔstraːliːjskiː
аустралски	aǔstraːlski
аустралски	aǔstraːlskiː
аустрија	ǎustrija
аустријанац	austrijǎːnat͡s
аустријански	austrǐjaːnskiː
аустријски	ǎustriːjski
аустријски	ǎustriːjskiː
аустроугарски	austroǔɡarski
аустроугарски	austroǔɡarskiː
аутаркија	autǎrkija
аутархија	autǎrxija
аутентичан	autěntit͡ʃan
аутентичност	autěntit͡ʃnoːst
аутизам	autǐzam
аутобиографски	autobiǒɡrafski
аутобиографски	autobiǒɡrafskiː
аутобус	autǒːbus
аутодидакт	autodǐdakt
аутокефалан	autokěfaːlan
аутократ	autǒkraːt
аутокрација	autokrǎt͡sija
аутомат	autǒmaːt
аутоматски	autǒmatski
аутоматски	autǒmatskiː
аутомеханичар	automexǎnit͡ʃaːr
аутомобилист	automobǐlist
аутомобилистички	automobilǐstit͡ʃki
аутомобилистички	automobilǐstit͡ʃkiː
аутомобилски	automǒbilskiː
аутономан	ǎutonoːman
аутономашки	autonǒmaːʃki
аутономашки	autonǒmaːʃkiː
аутономаштво	autonomǎːʃtʋo
аутономист	autonǒmist
аутономистички	autonomǐstit͡ʃki
аутономистички	autonomǐstit͡ʃkiː
аутономија	autonǒmija
аутопортрет	autopǒrtreːt
аутопсија	autǒpsija
аутопут	ǎutopuːt
аутор	ǎutor
ауторизација	autorizǎːt͡sija
ауторитаран	âutoritaːran
ауторитарност	autoritǎːrnoːst
ауторитативан	âutoritatiːʋan
ауторитативно	âutoritatiːʋno
ауторитативност	autoritatǐːʋnoːst
ауторитет	autorǐteːt
ауторски	ǎutorski
ауторски	ǎutorskiː
ауторство	autǒːrstʋo
аутостоп	ǎutostop
аутострада	ǎutostraːda
аутосугестија	autosuɡěstija
аутохтон	autǒxton
аутсајдер	autsǎjder
аутсајдерски	autsǎjderski
аутсајдерски	autsǎjderskiː
афганистан	afɡanǐstaːn
афганистански	afɡanǐstaːnskiː
афект	ǎfekt
афектација	afektǎːt͡sija
афектирати	afektǐːrati
афел	ǎfel
афера	afěːra
аферим	afěrim
афикс	ǎfiks
