ก.	kɔː˧
กระดานลื่น	kra˨˩.daːn˧.lɯːn˥˩,kra˧.daːn˧.lɯːn˥˩
กระดานหก	kra˧.daːn˧.hok̚˨˩,kra˨˩.daːn˧.hok̚˨˩
กระดานหมากรุก	kra˨˩.daːn˧.maːk̚˨˩.ruk̚˦˥,kra˧.daːn˧.maːk̚˨˩.ruk̚˦˥
กระดานโต้คลื่น	kra˨˩.daːn˧.toː˥˩.kʰlɯːn˥˩
กระดานไฟ	kra˨˩.daːn˧.faj˧
กระดาษ	kra˨˩.daːt̚˨˩,kra˧.daːt̚˨˩
กระดาษชำระ	kra˨˩.daːt̚˨˩.t͡ɕʰam˧.raʔ˦˥
กระดาษทราย	kra˨˩.daːt̚˨˩.saːj˧
กระดาษทิชชู	kra˨˩.daːt̚˨˩.tʰit̚˦˥.t͡ɕʰuː˥˩
กระดาษเงินกระดาษทอง	kra˨˩.daːt̚˨˩.ŋɤːn˧.kra˨˩.daːt̚˨˩.tʰɔːŋ˧
กระดาษเช็ดปาก	kra˧.daːt̚˨˩.t͡ɕʰet̚˦˥.paːk̚˨˩,kra˨˩.daːt̚˨˩.t͡ɕʰet̚˦˥.paːk̚˨˩
กระดาษแก้ว	kra˨˩.daːt̚˨˩.kɛːw˥˩
กระดาษแข็ง	kra˨˩.daːt̚˨˩.kʰɛŋ˩˩˦
กระดิก	kra˨˩.dik̚˨˩
กระดิ่ง	kra˨˩.diŋ˨˩
กระดี่ได้น้ำ	kra˨˩.diː˨˩.daj˥˩.naːm˦˥
กระดุม	kra˨˩.dum˧
กระดูก	kra˨˩.duːk̚˨˩
กระดูกค้อน	kra˨˩.duːk̚˨˩.kʰɔːn˦˥
กระดูกงู	kra˨˩.duːk̚˨˩.ŋuː˧
กระดูกซี่โครง	kra˨˩.duːk̚˨˩.siː˥˩.kʰroːŋ˧
กระดูกต้นขา	kra˨˩.duːk̚˨˩.ton˥˩.kʰaː˩˩˦
กระดูกต้นแขน	kra˨˩.duːk̚˨˩.ton˥˩.kʰɛːn˩˩˦
กระดูกทั่ง	kra˨˩.duːk̚˨˩.tʰaŋ˥˩
กระดูกน่อง	kra˨˩.duːk̚˨˩.nɔŋ˥˩
กระดูกสะบัก	kra˨˩.duːk̚˨˩.sa˨˩.bak̚˨˩
กระดูกสันหลัง	kra˨˩.duːk̚˨˩.san˩˩˦.laŋ˩˩˦
กระดูกสันอก	kra˨˩.duːk̚˨˩.san˩˩˦.ʔok̚˨˩
กระดูกอ่อน	kra˨˩.duːk̚˨˩.ʔɔːn˨˩
กระดูกเชิงกราน	kra˨˩.duːk̚˨˩.t͡ɕʰɤːŋ˧.kraːn˧
กระดูกแข้ง	kra˨˩.duːk̚˨˩.kʰɛŋ˥˩
กระดูกโกลน	kra˨˩.duːk̚˨˩.kloːn˧
กระดูกโหนกแก้ม	kra˨˩.duːk̚˨˩.noːk̚˨˩.kɛːm˥˩
กระดูกโอบอก	kra˨˩.duːk̚˨˩.ʔoːp̚˨˩.ʔok̚˨˩
กระดูกไหปลาร้า	kra˨˩.duːk̚˨˩.haj˩˩˦.plaː˧.raː˦˥
กระด้ง	kra˨˩.doŋ˥˩
กระด้าง	kra˨˩.daːŋ˥˩
กระติก	kra˨˩.tik̚˨˩
กระตือรือร้น	kra˨˩.tɯː˧.rɯː˧.ron˦˥
กระตือรือล้น	kra˨˩.tɯː˧.rɯː˧.lon˦˥
กระตุก	kra˨˩.tuk̚˨˩
กระตุกหนวดเสือ	kra˨˩.tuk̚˨˩.nua̯t̚˨˩.sɯa̯˩˩˦
กระตุ้น	kra˨˩.tun˥˩
กระต่าย	kra˨˩.taːj˨˩
กระต่ายป่า	kra˨˩.taːj˨˩.paː˨˩
กระต่ายหมายจันทร์	kra˨˩.taːj˨˩.maːj˩˩˦.t͡ɕan˧
กระต๊อบ	kra˨˩.tɔp̚˦˥
กระถาง	kra˨˩.tʰaːŋ˩˩˦
กระถางดอกไม้	kra˨˩.tʰaːŋ˩˩˦.dɔːk̚˨˩.maːj˦˥
กระถางต้นไม้	kra˨˩.tʰaːŋ˩˩˦.ton˥˩.maːj˦˥
กระทง	kra˨˩.tʰoŋ˧
กระทบ	kra˨˩.tʰop̚˦˥
กระทรวง	kra˨˩.sua̯ŋ˧
กระทรวงศึกษาธิการ	kra˨˩.sua̯ŋ˧.sɯk̚˨˩.saː˩˩˦.tʰi˦˥.kaːn˧
กระทะ	kra˨˩.tʰaʔ˦˥
กระทะทองแดง	kra˨˩.tʰa˦˥.tʰɔːŋ˧.dɛːŋ˧
กระทะใบบัว	kra˨˩.tʰa˦˥.baj˧.bua̯˧
กระทัดรัด	kra˨˩.tʰat̚˦˥.rat̚˦˥
กระทันหัน	kra˨˩.tʰan˧.han˩˩˦
กระทา	kra˨˩.tʰaː˧
กระทำ	kra˨˩.tʰam˧
กระทิง	kra˨˩.tʰiŋ˧
กระทุง	kra˨˩.tʰuŋ˧
กระทู้	kra˨˩.tʰuː˦˥
กระท่อม	kra˨˩.tʰɔm˥˩
กระท้อน	kra˨˩.tʰɔːn˦˥
กระนั้น	kra˨˩.nan˦˥
กระบถ	kra˨˩.bot̚˨˩
กระบวน	kra˨˩.bua̯n˧
กระบวนการ	kra˨˩.bua̯n˧.kaːn˧
กระบวนพิจารณา	kra˨˩.bua̯n˧.pʰi˦˥.t͡ɕaː˧.ra˦˥.naː˧
กระบอก	kra˨˩.bɔːk̚˨˩
กระบอกฉีดยา	kra˨˩.bɔːk̚˨˩.t͡ɕʰiːt̚˨˩.jaː˧
กระบอกเสียง	kra˨˩.bɔːk̚˨˩.sia̯ŋ˩˩˦
กระบอง	kra˨˩.bɔːŋ˧
กระบองเพชร	kra˨˩.bɔːŋ˧.pʰet̚˦˥
กระบะ	kra˨˩.baʔ˨˩
กระบะทราย	kra˨˩.ba˨˩.saːj˧
กระบี่	kra˨˩.biː˨˩
กระบี่กระบอง	kra˨˩.biː˨˩.kra˨˩.bɔːŋ˧
กระบือ	kra˨˩.bɯː˧
กระบุง	kra˨˩.buŋ˧
กระปรี้กระเปร่า	kra˨˩.priː˥˩.kra˨˩.praw˨˩
กระปี๋	kra˨˩.piː˩˩˦
กระปุก	kra˨˩.puk̚˨˩
กระปุกหมู	kra˨˩.puk̚˨˩.muː˩˩˦
กระปุกออมสิน	kra˨˩.puk̚˨˩.ʔɔːm˧.sin˩˩˦
กระป๋อง	kra˨˩.pɔŋ˩˩˦
กระผม	kra˨˩.pʰom˩˩˦
กระพริบ	kra˨˩.pʰrip̚˦˥
กระพัง	kra˨˩.pʰaŋ˧
กระมัง	kra˨˩.maŋ˧
กระยาง	kra˨˩.jaːŋ˧
กระยาหาร	kra˨˩.jaː˧.haːn˩˩˦
กระรอก	kra˨˩.rɔːk̚˥˩
กระลาโหม	kra˨˩.laː˧.hoːm˩˩˦
กระษัตร	kra˨˩.sat̚˨˩,kra˨˩.sat̚˨˩.tra˨˩.
กระษัตริย์	kra˨˩.sat̚˨˩
กระษัตรี	kra˨˩.sat̚˨˩.triː˧
กระสวน	kra˨˩.sua̯n˩˩˦
กระสวย	kra˨˩.sua̯j˩˩˦
กระสวยอวกาศ	kra˨˩.sua̯j˩˩˦.ʔa˨˩.wa˦˥.kaːt̚˨˩
กระสอบ	kra˨˩.sɔːp̚˨˩
กระสะ	kra˨˩.saʔ˨˩
กระสา	kra˧.saː˩˩˦,kra˨˩.saː˩˩˦
กระสาบ	kra˨˩.saːp̚˨˩
กระสาย	kra˨˩.saːj˩˩˦
กระสือ	kra˨˩.sɯː˩˩˦
กระสุน	kra˨˩.sun˩˩˦
กระหนก	kra˨˩.nok̚˨˩
กระหม่อม	kra˨˩.mɔm˨˩
กระหรี่	kra˨˩.riː˨˩
กระหล่ำ	kra˨˩.lam˨˩
กระหวัด	kra˨˩.wat̚˨˩
กระหาย	kra˨˩.haːj˩˩˦
กระอัก	kra˨˩.ʔak̚˨˩
กระเจี๊ยบ	kra˨˩.t͡ɕia̯p̚˦˥
กระเจี๊ยว	kra˨˩.t͡ɕia̯w˦˥
กระเชา	kra˨˩.t͡ɕʰaw˧
กระเซิง	kra˨˩.sɤːŋ˧
กระเซ็น	kra˨˩.sen˧
กระเดือก	kra˨˩.dɯa̯k̚˨˩
กระเด็น	kra˨˩.den˧
กระเต็น	kra˨˩.ten˧
กระเทย	kra˨˩.tʰɤːj˧
กระเทียม	kra˨˩.tʰia̯m˧
กระเบน	kra˨˩.beːn˧
กระเบื้อง	kra˨˩.bɯa̯ŋ˥˩
กระเป๋า	kra˨˩.paw˩˩˦
กระเป๋าตังค์	kra˨˩.paw˩˩˦.taŋ˧
กระเป๋าธนบัตร	kra˨˩.paw˩˩˦.tʰa˦˥.na˦˥.bat̚˨˩
กระเป๋าสตางค์	kra˨˩.paw˩˩˦.sa˨˩.taːŋ˧
กระเป๋าเงิน	kra˨˩.paw˩˩˦.ŋɤn˧
กระเป๋าเดินทาง	kra˨˩.paw˩˩˦.dɤːn˧.tʰaːŋ˧
กระเพรา	kra˨˩.pʰraw˧
กระเพา	kra˨˩.pʰaw˧
กระเพาะ	kra˨˩.pʰɔʔ˦˥
กระเพาะปัสสาวะ	kra˨˩.pʰɔʔ˦˥.pat̚˨˩.saː˩˩˦.waʔ˦˥
กระเพาะพัก	kra˨˩.pʰɔʔ˦˥.pʰak̚˦˥
กระเพาะอาหาร	kra˨˩.pʰɔʔ˦˥.ʔaː˧.haːn˩˩˦
กระเรียน	kra˨˩.ria̯n˧
กระเหรี่ยง	kra˨˩.ria̯ŋ˨˩
กระแต	kra˨˩.tɛː˧
กระแทก	kra˨˩.tʰɛːk̚˥˩
กระแส	kra˨˩.sɛː˩˩˦
กระแสไฟฟ้า	kra˨˩.sɛː˩˩˦.faj˧.faː˦˥
กระโจม	kra˨˩.t͡ɕoːm˧
กระโจมไฟ	kra˨˩.t͡ɕoːm˧.faj˧
กระโชก	kra˨˩.t͡ɕʰoːk̚˥˩
กระโดด	kra˨˩.doːt̚˨˩
กระโดดร่ม	kra˨˩.doːt̚˨˩.rom˥˩
กระโถน	kra˨˩.tʰoːn˩˩˦
กระโทง	kra˨˩.tʰoːŋ˧
กระโปรง	kra˨˩.proːŋ˧
กระได	kra˨˩.daj˧
กรัง	kraŋ˧
กรัม	kram˧
กราด	kraːt̚˨˩
กราบ	kraːp̚˨˩
กราฟ	kraːf˦˥,kraːp̚˦˥
กราม	kraːm˧
กริช	krit̚˨˩
กรินทร์	ka˨˩.rin˧
กริยา	kri˨˩.jaː˧,ka˨˩.ri˦˥.jaː˧
กริยาช่วย	kri˨˩.jaː˧.t͡ɕʰua̯j˥˩,ka˨˩.ri˦˥.jaː˧.t͡ɕʰua̯j˥˩
กริยานุเคราะห์	ka˨˩.ri˦˥.jaː˧.nu˦˥.kʰrɔʔ˦˥,kri˨˩.jaː˧.nu˦˥.kʰrɔʔ˦˥
กริยาวิเศษณานุประโยค	kri˨˩.jaː˧.wi˦˥.seː˩˩˦.sa˨˩.naː˧.nu˦˥.pra˨˩.joːk̚˨˩,ka˨˩.ri˦˥.jaː˧.wi˦˥.seː˩˩˦.sa˨˩.naː˧.nu˦˥.pra˨˩.joːk̚˨˩
กริยาวิเศษณ์	ka˨˩.ri˦˥.jaː˧.wi˦˥.seːt̚˨˩,kri˨˩.jaː˧.wi˦˥.seːt̚˨˩
กริ่ง	kriŋ˨˩
กริ่งเกรง	kriŋ˨˩.kreːŋ˧
กริ้ว	kriw˥˩
กรี	ka˨˩.riː˧,kriː˧
กรีก	kriːk̚˨˩
กรีซ	kriːs˨˩,kriːs˦˥
กรีด	kriːt̚˨˩
กรีนแลนด์	kriːn˧.lɛːn˧
กรุง	kruŋ˧
กรุงเขมา	kruŋ˧.kʰa˨˩.maw˩˩˦
กรุงเทพ	kruŋ˧.tʰeːp̚˥˩
กรุงเทพมหานคร	kruŋ˧.tʰeːp̚˥˩.ma˦˥.haː˩˩˦.na˦˥.kʰɔːn˧
กรุงเทพฯ	kruŋ˧.tʰeːp̚˥˩
กรุงเฮก	kruŋ˧.hek̚˦˥
กรุณา	ka˨˩.ru˦˥.naː˧
กรุ่น	krun˨˩
กรู	kruː˧
กรูม	kruːm˧
กร่อน	krɔn˨˩
กร่อย	krɔj˨˩
กร่าง	kraːŋ˨˩
กฤดีกา	kri˨˩.diː˧.kaː˧
กฤตยฎีกา	krit̚˨˩.ta˨˩.ja˦˥.diː˧.kaː˧
กฤษฎีกา	krit̚˨˩.sa˨˩.diː˧.kaː˧
กฤษณา	krit̚˨˩.sa˨˩.naː˩˩˦
กล	kon˧,kon˧.la˦˥.
กลฉ้อฉล	kon˧.t͡ɕʰɔː˥˩.t͡ɕʰon˩˩˦
กลด	klot̚˨˩
กลบ	klop̚˨˩
กลบบัตร	klop̚˨˩.bat̚˨˩
กลบบัตรสุมเพลิง	klop̚˨˩.bat̚˨˩.sum˩˩˦.pʰlɤːŋ˧
กลบบาตร	klop̚˨˩.baːt̚˨˩
กลบบาตรสุมเพลิง	klop̚˨˩.baːt̚˨˩.sum˩˩˦.pʰlɤːŋ˧
กลม	klom˧
กลมกล่อม	klom˧.klɔm˨˩
กลมเกลียว	klom˧.klia̯w˧
กลวง	klua̯ŋ˧
กลวิธี	kon˧.la˦˥.wi˦˥.tʰiː˧
กลอง	klɔːŋ˧
กลองชุด	klɔːŋ˧.t͡ɕʰut̚˦˥
กลองตุ้ม	klɔːŋ˧.tum˥˩
กลองทัด	klɔːŋ˧.tʰat̚˦˥
กลองยาว	klɔːŋ˧.jaːw˧
กลองสองหน้า	klɔːŋ˧.sɔːŋ˩˩˦.naː˥˩
กลองแขก	klɔːŋ˧.kʰɛːk̚˨˩
กลอน	klɔːn˧
กลอุบาย	kon˧.ʔu˨˩.baːj˧
กลัด	klat̚˨˩
กลับ	klap̚˨˩
กลับคืน	klap̚˨˩.kʰɯːn˧
กลับตัว	klap̚˨˩.tua̯˧
กลับตาลปัตร	klap̚˨˩.taː˧.la˦˥.pat̚˨˩
กลับลำ	klap̚˨˩.lam˧
กลับหลังหัน	klap̚˨˩.laŋ˩˩˦.han˩˩˦
กลับเนื้อกลับตัว	klap̚˨˩.nɯa̯˦˥.klap̚˨˩.tua̯˧
กลัว	klua̯˧
กลัวดอกพิกุลจะร่วง	klua̯˧.dɔːk̚˨˩.pʰi˦˥.kun˧.t͡ɕa˨˩.rua̯ŋ˥˩
กลัวเหมือนหนูกลัวแมว	klua̯˧.mɯa̯n˩˩˦.nuː˩˩˦.klua̯˧.mɛːw˧
กลั่น	klan˨˩
กลั่นกรอง	klan˨˩.krɔːŋ˧
กลั้น	klan˥˩
กลั้ว	klua̯˥˩
กลาก	klaːk̚˨˩
กลาง	klaːŋ˧
กลางคืน	klaːŋ˧.kʰɯːn˧
กลางวัน	klaːŋ˧.wan˧
กลางแจ้ง	klaːŋ˧.t͡ɕɛːŋ˥˩
กลาบาต	ka˨˩.laː˧.baːt̚˨˩
กลาย	klaːj˧
กลายพันธุ์	klaːj˧.pʰan˧
กลาโหม	ka˧.laː˧.hoːm˩˩˦,ka˨˩.laː˧.hoːm˩˩˦
กลิ่น	klin˨˩
กลิ่นตัว	klin˨˩.tua̯˧
กลิ่นหอม	klin˨˩.hɔːm˩˩˦
กลิ้ง	kliŋ˥˩
กลิ้งเกลือก	kliŋ˥˩.klɯa̯k̚˨˩
กลีบ	kliːp̚˨˩
กลีบดอก	kliːp̚˨˩.dɔːk̚˨˩
กลีบดอกไม้	kliːp̚˨˩.dɔːk̚˨˩.maːj˦˥
กลีบหิน	kliːp̚˨˩.hin˩˩˦
กลึง	klɯŋ˧
กลืน	klɯːn˧
กลืนไม่เข้าคายไม่ออก	klɯːn˧.maj˥˩.kʰaw˥˩.kʰaːj˧.maj˥˩.ʔɔːk̚˨˩
กลุ่ม	klum˨˩
กลุ่มกระจุกดาราจักร	klum˨˩.kra˨˩.t͡ɕuk̚˨˩.daː˧.raː˧.t͡ɕak̚˨˩
กลุ่มดาว	klum˨˩.daːw˧
กลุ่มอาการ	klum˨˩.ʔaː˧.kaːn˧
กลุ้ม	klum˥˩
กลูโคส	kluː˧.kʰoːt̚˦˥
กลเม็ด	kon˧.la˦˥.met̚˦˥
กลไก	kon˧.kaj˧
กล่อง	klɔŋ˨˩
กล่องดนตรี	klɔŋ˨˩.don˧.triː˧
กล่องดวงใจ	klɔŋ˨˩.dua̯ŋ˧.t͡ɕaj˧
กล่องดินสอ	klɔːŋ˨˩.din˧.sɔː˩˩˦
กล่องเสียง	klɔŋ˨˩.sia̯ŋ˩˩˦
กล่อม	klɔm˨˩
กล่าว	klaːw˨˩
กล่าวหา	klaːw˨˩.haː˩˩˦
กล้วย	klua̯j˥˩
กล้วยไม้	klua̯j˥˩.maːj˦˥
กล้อง	klɔŋ˥˩
กล้องจุลทรรศน์	klɔŋ˥˩.t͡ɕun˧.la˦˥.tʰat̚˦˥
กล้องจุลทรรศน์อิเล็กตรอน	klɔŋ˥˩.t͡ɕun˧.la˦˥.tʰat̚˦˥.ʔi˨˩.lek̚˦˥.trɔn˧
กล้องจุลทรรศน์อิเล็กตรอนชนิดส่องกราด	klɔŋ˥˩.t͡ɕun˧.la˦˥.tʰat̚˦˥.ʔi˨˩.lek̚˦˥.trɔn˧.t͡ɕʰa˦˥.nit̚˦˥.sɔŋ˨˩.kraːt̚˨˩
กล้องจุลทรรศน์อิเล็กตรอนชนิดส่องผ่าน	klɔŋ˥˩.t͡ɕun˧.la˦˥.tʰat̚˦˥.ʔi˨˩.lek̚˦˥.trɔn˧.t͡ɕʰa˦˥.nit̚˦˥.sɔŋ˨˩.pʰaːn˨˩
กล้องดูดาว	klɔːŋ˥˩.duː˧.daːw˧
กล้องถ่ายภาพ	klɔŋ˥˩.tʰaːj˨˩.pʰaːp̚˥˩
กล้องถ่ายรูป	klɔŋ˥˩.tʰaːj˨˩.ruːp̚˥˩
กล้องยาสูบ	klɔːŋ˥˩.jaː˧.suːp̚˨˩
กล้องยาเส้น	klɔːŋ˥˩.jaː˧.seːn˥˩
กล้องสนาม	klɔːŋ˥˩.sa˨˩.naːm˩˩˦
กล้องสองตา	klɔːŋ˥˩.sɔːŋ˩˩˦.taː˧
กล้องโทรทรรศน์	klɔŋ˥˩.tʰoː˧.ra˦˥.tʰat̚˦˥
กล้า	klaː˥˩
กล้าม	klaːm˥˩
กล้ามเนื้อ	klaːm˥˩.nɯa̯˦˥
กล้ามเนื้อหัวใจ	klaːm˥˩.nɯa̯˦˥.hua̯˩˩˦.t͡ɕaj˧
กล้ามเนื้อเรียบ	klaːm˥˩.nɯa̯˦˥.ria̯p̚˥˩
กล้ามเนื้อโครงร่าง	klaːm˥˩.nɯa̯˦˥.kʰroːŋ˧.raːŋ˥˩
กล้าย	klaːj˥˩
กล้าหาญ	klaː˥˩.haːn˩˩˦
กล้ำกลืน	klam˥˩.klɯːn˧
กวด	kua̯t̚˨˩
กวน	kua̯n˧
กวม	kua̯m˧
กวยจั๊บ	kua̯j˧.t͡ɕap̚˦˥
กวยจี๊	kua̯j˧.t͡ɕiː˦˥
กวัก	kwak̚˨˩
กวาง	kwaːŋ˧
กวางตุ้ง	kwaːŋ˧.tuŋ˥˩
กวางมูส	kwaːŋ˧.muːt̚˥˩
กวาด	kwaːt̚˨˩
กวาดต้อน	kwaːt̚˨˩.tɔːn˥˩
กวาดล้าง	kwaːt̚˨˩.laːŋ˦˥
กวี	ka˨˩.wiː˧
กวีนิพนธ์	ka˨˩.wiː˧.ni˦˥.pʰon˧
กว่า	kwaː˨˩
กว้าง	kwaːŋ˥˩
กว้างใหญ่	kwaːŋ˥˩.jaj˨˩
กว้าน	kwaːn˥˩
กษัตร	ka˨˩.sat̚˨˩.tra˨˩.,ka˨˩.sat̚˨˩
กษัตรา	kra˨˩.sat̚˨˩.traː˧
กษัตริย์	ka˨˩.sat̚˨˩
