a	ɒ
ablakpárkányoknak	ɒblɒkpaːrkaːɲoknɒk
ablakpárkányom	ɒblɒkpaːrkaːɲom
ablakpárkányotok	ɒblɒkpaːrkaːɲotok
ablakpárkányt	ɒblɒkpaːrkaːɲt
ablakpárkányuk	ɒblɒkpaːrkaːɲuk
ablakpárkányunk	ɒblɒkpaːrkaːɲuŋk
ablakra	ɒblɒkrɒ
ablakról	ɒblɒkroːl
ablaktalan	ɒblɒktɒlɒn
ablaktalanság	ɒblɒktɒlɒnʃaːɡ
ablaktól	ɒblɒktoːl
ablaktörlő	ɒblɒktørløː
ablaktörlők	ɒblɒktørløːk
ablaktörlőket	ɒblɒktørløːkɛt
ablaktörlőt	ɒblɒktørløːt
ablakuk	ɒblɒkuk
ablakunk	ɒblɒkuŋk
ablakán	ɒblɒkaːn
ablakát	ɒblɒkaːt
ablaké	ɒblɒkeː
ablakért	ɒblɒkeːrt
ablaküveg	ɒblɒkyvɛɡ
ablaküvegek	ɒblɒkyvɛɡɛk
abnormális	ɒbnormaːliʃ
abortusz	ɒbortus
abortuszok	ɒbortusok
abortuszokat	ɒbortusokɒt
abortuszt	ɒbortust
abortál	ɒbortaːl
abortálás	ɒbortaːlaːʃ
abrak	ɒbrɒk
abrakok	ɒbrɒkok
abrakon	ɒbrɒkon
abrakot	ɒbrɒkot
abroncs	ɒbront͡ʃ
abroncsok	ɒbront͡ʃok
abroncsokat	ɒbront͡ʃokɒt
abroncsot	ɒbront͡ʃot
abrosz	ɒbros
abrosza	ɒbrosɒ
abroszai	ɒbrosɒji
abroszaid	ɒbrosɒjid
abroszaik	ɒbrosɒjik
abroszaim	ɒbrosɒjim
abroszaink	ɒbrosɒjiŋk
abroszaitok	ɒbrosɒjitok
abroszod	ɒbrosod
abroszok	ɒbrosok
abroszokat	ɒbrosokɒt
abroszom	ɒbrosom
abroszotok	ɒbrosotok
abroszt	ɒbrost
abroszuk	ɒbrosuk
abroszunk	ɒbrosuŋk
abszint	ɒpsint
abszintok	ɒpsintok
abszolutórium	ɒpsolutoːrijum
abszolutóriumok	ɒpsolutoːrijumok
abszolút	ɒpsoluːt
abszorpció	ɒpsorpt͡sijoː
abszorpciók	ɒpsorpt͡sijoːk
absztinencia	ɒpstinɛnt͡sijɒ
absztinenciák	ɒpstinɛnt͡sijaːk
absztrakció	ɒpstrɒkt͡sijoː
absztrakciók	ɒpstrɒkt͡sijoːk
absztrakt	ɒpstrɒkt
absztraktabb	ɒpstrɒktɒbː
absztraktok	ɒpstrɒktok
absztraktság	ɒpstrɒktʃaːɡ
absztraktságok	ɒpstrɒktʃaːɡok
abszurd	ɒpsurd
abszurdabb	ɒpsurdɒbː
abszurditás	ɒpsurditaːʃ
abszurditások	ɒpsurditaːʃok
abszurdum	ɒpsurdum
abszurdumok	ɒpsurdumok
acetaldehid	ɒt͡sɛtɒldɛɦid
acetilén	ɒt͡sɛtileːn
aceton	ɒt͡sɛton
acetonba	ɒt͡sɛtombɒ
acetonban	ɒt͡sɛtombɒn
acetonból	ɒt͡sɛtomboːl
acetonhoz	ɒt͡sɛtonɦoz
acetonig	ɒt͡sɛtoniɡ
acetonja	ɒt͡sɛtoɲːɒ
acetonjai	ɒt͡sɛtoɲːɒji
acetonjaid	ɒt͡sɛtoɲːɒjid
acetonjaik	ɒt͡sɛtoɲːɒjik
acetonjaim	ɒt͡sɛtoɲːɒjim
acetonjaink	ɒt͡sɛtoɲːɒjiŋk
acetonjaitok	ɒt͡sɛtoɲːɒjitok
acetonjuk	ɒt͡sɛtoɲːuk
acetonként	ɒt͡sɛtoŋkeːnt
acetonnak	ɒt͡sɛtonːɒk
acetonnal	ɒt͡sɛtonːɒl
acetonná	ɒt͡sɛtonːaː
acetonnál	ɒt͡sɛtonːaːl
acetonod	ɒt͡sɛtonod
acetonok	ɒt͡sɛtonok
acetonokat	ɒt͡sɛtonokɒt
acetonokba	ɒt͡sɛtonoɡbɒ
acetonokban	ɒt͡sɛtonoɡbɒn
acetonokból	ɒt͡sɛtonoɡboːl
acetonokhoz	ɒt͡sɛtonokhoz
acetonokig	ɒt͡sɛtonokiɡ
acetonokkal	ɒt͡sɛtonokːɒl
acetonokká	ɒt͡sɛtonokːaː
acetonokként	ɒt͡sɛtonokːeːnt
acetonoknak	ɒt͡sɛtonoknɒk
acetonoknál	ɒt͡sɛtonoknaːl
acetonokon	ɒt͡sɛtonokon
acetonokra	ɒt͡sɛtonokrɒ
acetonokról	ɒt͡sɛtonokroːl
acetonoktól	ɒt͡sɛtonoktoːl
acetonokért	ɒt͡sɛtonokeːrt
acetonom	ɒt͡sɛtonom
acetonon	ɒt͡sɛtonon
acetonotok	ɒt͡sɛtonotok
acetonra	ɒt͡sɛtonrɒ
acetonról	ɒt͡sɛtonroːl
acetont	ɒt͡sɛtont
acetontól	ɒt͡sɛtontoːl
acetonunk	ɒt͡sɛtonuŋk
acetonért	ɒt͡sɛtoneːrt
achát	ɒɦaːt
achátok	ɒɦaːtok
aciditás	ɒt͡siditaːʃ
aciditások	ɒt͡siditaːʃok
acél	ɒt͡seːl
acélgyártás	ɒt͡seːlɟaːrtaːʃ
acélipar	ɒt͡seːlipɒr
acélkék	ɒt͡seːlkeːk
acéllemez	ɒt͡seːlːɛmɛz
acéllemezek	ɒt͡seːlːɛmɛzɛk
acélok	ɒt͡seːlok
ad	ɒd
adag	ɒdɒɡ
adagok	ɒdɒɡok
adagol	ɒdɒɡol
adandó	ɒdɒndoː
adaptáció	ɒdɒptaːt͡sijoː
adaptációk	ɒdɒptaːt͡sijoːk
adat	ɒdɒt
adata	ɒdɒtɒ
adatai	ɒdɒtɒji
adatainak	ɒdɒtɒjinɒk
adatait	ɒdɒtɒjit
adatba	ɒdɒdbɒ
adatban	ɒdɒdbɒn
adatbázis	ɒdɒdbaːziʃ
adatbázisban	ɒdɒdbaːziʒbɒn
adatbázisok	ɒdɒdbaːziʃok
adatbázisokban	ɒdɒdbaːziʃoɡbɒn
adatbázisunk	ɒdɒdbaːziʃuŋk
adatbázisunkban	ɒdɒdbaːziʃuŋɡbɒn
adatból	ɒdɒdboːl
adatfeldolgozás	ɒdɒtfɛldolɡozaːʃ
adatfeldolgozások	ɒdɒtfɛldolɡozaːʃok
adathoz	ɒdɒthoz
adatig	ɒdɒtiɡ
adatik	ɒdɒtik
adatként	ɒdɒtkeːnt
adatlap	ɒdɒtlɒp
adatlapjai	ɒdɒtlɒpjɒji
adatlapok	ɒdɒtlɒpok
adatnak	ɒdɒtnɒk
adatnál	ɒdɒtnaːl
adatok	ɒdɒtok
adatokat	ɒdɒtokɒt
adatokba	ɒdɒtoɡbɒ
adatokban	ɒdɒtoɡbɒn
adatokból	ɒdɒtoɡboːl
adatokhoz	ɒdɒtokhoz
adatokig	ɒdɒtokiɡ
adatokkal	ɒdɒtokːɒl
adatokká	ɒdɒtokːaː
adatokként	ɒdɒtokːeːnt
adatoknak	ɒdɒtoknɒk
adatoknál	ɒdɒtoknaːl
adatokon	ɒdɒtokon
adatokra	ɒdɒtokrɒ
adatokról	ɒdɒtokroːl
adatoktól	ɒdɒtoktoːl
adatokért	ɒdɒtokeːrt
adatom	ɒdɒtom
adaton	ɒdɒton
adatot	ɒdɒtot
adatra	ɒdɒtrɒ
adatról	ɒdɒtroːl
adattal	ɒdɒtːɒl
adattudós	ɒdɒtːudoːʃ
adattudósok	ɒdɒtːudoːʃok
adattá	ɒdɒtːaː
adattípus	ɒdɒtːiːpuʃ
adattípusok	ɒdɒtːiːpuʃok
adattól	ɒdɒtːoːl
adatvédelem	ɒdɒtveːdɛlɛm
adatállomány	ɒdɒtaːlːomaːɲ
adatállományok	ɒdɒtaːlːomaːɲok
adatátvitel	ɒdɒtaːtvitɛl
adatátviteli	ɒdɒtaːtvitɛli
adatért	ɒdɒteːrt
add	ɒdː
addig	ɒdːiɡ
addigi	ɒdːiɡi
addiglan	ɒdːiɡlɒn
addiktológus	ɒdːiktoloːɡuʃ
addiktológusok	ɒdːiktoloːɡuʃok
adekvát	ɒdɛkvaːt
adekvátabb	ɒdɛkvaːtɒbː
adhat	ɒthɒt
adhatok	ɒthɒtok
adhatsz	ɒthɒt͡sː
adiabatikus	ɒdijɒbɒtikuʃ
adj	ɒɟː
adja	ɒɟːɒ
adjad	ɒɟːɒd
adjak	ɒɟːɒk
adjalak	ɒɟːɒlɒk
adjam	ɒɟːɒm
adjanak	ɒɟːɒnɒk
adjatok	ɒɟːɒtok
adjon	ɒɟːon
adjonisten	ɒɟːoniʃtɛn
adjuk	ɒɟːuk
adjunk	ɒɟːuŋk
adják	ɒɟːaːk
adjál	ɒɟːaːl
adjátok	ɒɟːaːtok
adlak	ɒdlɒk
admin	ɒdmin
adminisztratív	ɒdministrɒtiːv
adminisztráció	ɒdministraːt͡sijoː
adminisztrációk	ɒdministraːt͡sijoːk
adminisztrációs	ɒdministraːt͡sijoːʃ
adminisztrál	ɒdministraːl
adminisztrátor	ɒdministraːtor
adminisztrátora	ɒdministraːtorɒ
adminisztrátornak	ɒdministraːtornɒk
adminisztrátorok	ɒdministraːtorok
adminisztrátorokat	ɒdministraːtorokɒt
adminisztrátorokkal	ɒdministraːtorokːɒl
adminisztrátorral	ɒdministraːtorːɒl
adminisztrátort	ɒdministraːtort
adminisztrátortól	ɒdministraːtortoːl
adminisztrátorát	ɒdministraːtoraːt
adminisztrátorával	ɒdministraːtoraːvɒl
adminok	ɒdminok
admirális	ɒdmiraːliʃ
admirálisig	ɒdmiraːliʃiɡ
admirálisként	ɒdmiraːliʃkeːnt
admirálisnak	ɒdmiraːliʃnɒk
admirálisok	ɒdmiraːliʃok
admirálisokat	ɒdmiraːliʃokɒt
admirálisokig	ɒdmiraːliʃokiɡ
admirálisokkal	ɒdmiraːliʃokːɒl
admirálisokká	ɒdmiraːliʃokːaː
admirálisokként	ɒdmiraːliʃokːeːnt
admirálisoknak	ɒdmiraːliʃoknɒk
admirálisokért	ɒdmiraːliʃokeːrt
admirálissal	ɒdmiraːliʃːɒl
admirálissá	ɒdmiraːliʃːaː
admirálist	ɒdmiraːliʃt
admirálisért	ɒdmiraːliʃeːrt
admittancia	ɒdmitːɒnt͡sijɒ
admittanciák	ɒdmitːɒnt͡sijaːk
adna	ɒdnɒ
adnak	ɒdnɒk
adni	ɒdni
adnia	ɒdnijɒ
adniuk	ɒdnijuk
adnod	ɒdnod
adnom	ɒdnom
adnotok	ɒdnotok
adnunk	ɒdnuŋk
adná	ɒdnaː
adnád	ɒdnaːd
adnák	ɒdnaːk
adnál	ɒdnaːl
adnálak	ɒdnaːlɒk
adnám	ɒdnaːm
adnának	ɒdnaːnɒk
adnánk	ɒdnaːŋk
adnátok	ɒdnaːtok
adnék	ɒdneːk
adod	ɒdod
adok	ɒdok
adolf	ɒdolf
adom	ɒdom
adománnyal	ɒdomaːɲːɒl
adománnyá	ɒdomaːɲːaː
adomány	ɒdomaːɲ
adománya	ɒdomaːɲɒ
adományai	ɒdomaːɲɒji
adományaid	ɒdomaːɲɒjid
adományaik	ɒdomaːɲɒjik
adományaim	ɒdomaːɲɒjim
adományaink	ɒdomaːɲɒjiŋk
adományaitok	ɒdomaːɲɒjitok
adományba	ɒdomaːɲbɒ
adományban	ɒdomaːɲbɒn
adományból	ɒdomaːɲboːl
adományhoz	ɒdomaːɲɦoz
adományig	ɒdomaːɲiɡ
adományként	ɒdomaːɲkeːnt
adománynak	ɒdomaːɲnɒk
adománynál	ɒdomaːɲnaːl
adományod	ɒdomaːɲod
adományok	ɒdomaːɲok
adományokat	ɒdomaːɲokɒt
adományokba	ɒdomaːɲoɡbɒ
adományokban	ɒdomaːɲoɡbɒn
adományokból	ɒdomaːɲoɡboːl
adományokhoz	ɒdomaːɲokhoz
adományokig	ɒdomaːɲokiɡ
adományokkal	ɒdomaːɲokːɒl
adományokká	ɒdomaːɲokːaː
adományokként	ɒdomaːɲokːeːnt
adományoknak	ɒdomaːɲoknɒk
adományoknál	ɒdomaːɲoknaːl
adományokon	ɒdomaːɲokon
adományokra	ɒdomaːɲokrɒ
adományokról	ɒdomaːɲokroːl
adományoktól	ɒdomaːɲoktoːl
adományokért	ɒdomaːɲokeːrt
adományom	ɒdomaːɲom
adományon	ɒdomaːɲon
adományotok	ɒdomaːɲotok
adományoz	ɒdomaːɲoz
adományozta	ɒdomaːɲostɒ
adományozás	ɒdomaːɲozaːʃ
adományozások	ɒdomaːɲozaːʃok
adományra	ɒdomaːɲrɒ
adományról	ɒdomaːɲroːl
adományt	ɒdomaːɲt
adománytól	ɒdomaːɲtoːl
adományuk	ɒdomaːɲuk
adományul	ɒdomaːɲul
adományunk	ɒdomaːɲuŋk
adományért	ɒdomaːɲeːrt
adoptál	ɒdoptaːl
adoptálás	ɒdoptaːlaːʃ
adoptálások	ɒdoptaːlaːʃok
adorján	ɒdorjaːn
adott	ɒdotː
adottak	ɒdotːɒk
adottakat	ɒdotːɒkɒt
adottakba	ɒdotːɒɡbɒ
adottakban	ɒdotːɒɡbɒn
adottakból	ɒdotːɒɡboːl
adottakhoz	ɒdotːɒkhoz
adottakig	ɒdotːɒkiɡ
adottakkal	ɒdotːɒkːɒl
adottakká	ɒdotːɒkːaː
adottakként	ɒdotːɒkːeːnt
adottaknak	ɒdotːɒknɒk
adottaknál	ɒdotːɒknaːl
adottakon	ɒdotːɒkon
adottakra	ɒdotːɒkrɒ
adottakról	ɒdotːɒkroːl
adottaktól	ɒdotːɒktoːl
adottakért	ɒdotːɒkeːrt
adottal	ɒdotːɒl
adottat	ɒdotːɒt
adottba	ɒdodbɒ
adottban	ɒdodbɒn
adottból	ɒdodboːl
adotthoz	ɒdothoz
adottig	ɒdotːiɡ
adottként	ɒdotkeːnt
adottnak	ɒdotnɒk
adottnál	ɒdotnaːl
adotton	ɒdotːon
adottra	ɒdotrɒ
adottról	ɒdotroːl
adottság	ɒdot͡ʃːaːɡ
adottságok	ɒdot͡ʃːaːɡok
adottá	ɒdotːaː
adottért	ɒdotːeːrt
adottól	ɒdotːoːl
adri	ɒdri
adrienn	ɒdrijɛnː
adsz	ɒt͡sː
adszorpció	ɒtsorpt͡sijoː
adszorpciók	ɒtsorpt͡sijoːk
adta	ɒtːɒ
adtad	ɒtːɒd
adtak	ɒtːɒk
adtalak	ɒtːɒlɒk
adtam	ɒtːɒm
adtatok	ɒtːɒtok
adtok	ɒtːok
adtuk	ɒtːuk
adtunk	ɒtːuŋk
adták	ɒtːaːk
adtál	ɒtːaːl
adtátok	ɒtːaːtok
adu	ɒdu
aduba	ɒdubɒ
aduban	ɒdubɒn
aduból	ɒduboːl
adud	ɒdud
aduhoz	ɒduɦoz
adui	ɒduji
aduid	ɒdujid
aduig	ɒdujiɡ
aduik	ɒdujik
aduim	ɒdujim
aduink	ɒdujiŋk
aduitok	ɒdujitok
aduja	ɒdujɒ
adujuk	ɒdujuk
aduk	ɒduk
adukat	ɒdukɒt
adukba	ɒduɡbɒ
adukban	ɒduɡbɒn
adukból	ɒduɡboːl
adukhoz	ɒdukhoz
adukig	ɒdukiɡ
adukkal	ɒdukːɒl
adukká	ɒdukːaː
adukként	ɒdukːeːnt
aduknak	ɒduknɒk
aduknál	ɒduknaːl
adukon	ɒdukon
adukra	ɒdukrɒ
adukról	ɒdukroːl
aduktól	ɒduktoːl
aduként	ɒdukeːnt
adukért	ɒdukeːrt
adum	ɒdum
adun	ɒdun
adunak	ɒdunɒk
adunk	ɒduŋk
adunál	ɒdunaːl
adura	ɒdurɒ
aduról	ɒduroːl
adut	ɒdut
adutok	ɒdutok
adutól	ɒdutoːl
aduval	ɒduvɒl
aduvá	ɒduvaː
aduért	ɒdujeːrt
adva	ɒdvɒ
ady	ɒdi
adás	ɒdaːʃ
adása	ɒdaːʃɒ
adások	ɒdaːʃok
adél	ɒdeːl
adó	ɒdoː
adóba	ɒdoːbɒ
adóban	ɒdoːbɒn
adóbevallás	ɒdoːbɛvɒlːaːʃ
adóbevallások	ɒdoːbɛvɒlːaːʃok
adóbevallásokat	ɒdoːbɛvɒlːaːʃokɒt
adóbevallást	ɒdoːbɛvɒlːaːʃt
adóból	ɒdoːboːl
adócsalás	ɒdoːt͡ʃɒlaːʃ
adócsalások	ɒdoːt͡ʃɒlaːʃok
adócsalásokat	ɒdoːt͡ʃɒlaːʃokɒt
adócsalást	ɒdoːt͡ʃɒlaːʃt
adócsökkentés	ɒdoːt͡ʃøkːɛnteːʃ
adócsökkentések	ɒdoːt͡ʃøkːɛnteːʃɛk
adód	ɒdoːd
adódik	ɒdoːdik
adófizető	ɒdoːfizɛtøː
adóhatóság	ɒdoːɦɒtoːʃaːɡ
adóhoz	ɒdoːɦoz
adói	ɒdoːji
adóid	ɒdoːjid
adóig	ɒdoːjiɡ
adóik	ɒdoːjik
adóim	ɒdoːjim
adóink	ɒdoːjiŋk
adóitok	ɒdoːjitok
adója	ɒdoːjɒ
adójuk	ɒdoːjuk
adók	ɒdoːk
adókat	ɒdoːkɒt
adókba	ɒdoːɡbɒ
adókban	ɒdoːɡbɒn
adókból	ɒdoːɡboːl
adókedvezmény	ɒdoːkɛdvɛzmeːɲ
adókhoz	ɒdoːkhoz
adókig	ɒdoːkiɡ
adókkal	ɒdoːkːɒl
adókká	ɒdoːkːaː
adókként	ɒdoːkːeːnt
adóknak	ɒdoːknɒk
adóknál	ɒdoːknaːl
adókon	ɒdoːkon
adókra	ɒdoːkrɒ
adókról	ɒdoːkroːl
adóktól	ɒdoːktoːl
adókulcs	ɒdoːkult͡ʃ
adókulcsok	ɒdoːkult͡ʃok
adóként	ɒdoːkeːnt
adókért	ɒdoːkeːrt
adóm	ɒdoːm
adómentes	ɒdoːmɛntɛʃ
adómentesség	ɒdoːmɛntɛʃːeːɡ
adómentességek	ɒdoːmɛntɛʃːeːɡɛk
adón	ɒdoːn
adónak	ɒdoːnɒk
adónk	ɒdoːŋk
adónál	ɒdoːnaːl
adóparadicsom	ɒdoːpɒrɒdit͡ʃom
adóparadicsomok	ɒdoːpɒrɒdit͡ʃomok
adóra	ɒdoːrɒ
adóról	ɒdoːroːl
adós	ɒdoːʃ
adósok	ɒdoːʃok
adósság	ɒdoːʃːaːɡ
adósságok	ɒdoːʃːaːɡok
adószedő	ɒdoːsɛdøː
adószedők	ɒdoːsɛdøːk
adót	ɒdoːt
adótok	ɒdoːtok
adótól	ɒdoːtoːl
adóval	ɒdoːvɒl
adóvá	ɒdoːvaː
adózhat	ɒdoːshɒt
adózik	ɒdoːzik
adózás	ɒdoːzaːʃ
adózó	ɒdoːzoː
adózók	ɒdoːzoːk
adóért	ɒdoːjeːrt
aerobik	ɒɛrobik
aeroszol	ɒɛrosol
affin	ɒfːin
affixum	ɒfːiksum
affixumok	ɒfːiksumok
afféle	ɒfːeːlɛ
afganisztán	ɒvɡɒnistaːn
afganisztáni	ɒvɡɒnistaːni
afgán	ɒvɡaːn
afgánok	ɒvɡaːnok
aforizma	ɒforizmɒ
aforizmák	ɒforizmaːk
afrika	ɒfrikɒ
afrikaans	ɒfrikaːns
afrikai	ɒfrikɒji
afrikaiak	ɒfrikɒjijɒk
afrikanista	ɒfrikɒniʃtɒ
afrikanisták	ɒfrikɒniʃtaːk
aga	ɒɡɒ
agaként	ɒɡɒkeːnt
agamemnón	ɒɡɒmɛmnoːn
aganccsal	ɒɡɒnt͡ʃɒl
aganccsá	ɒɡɒnt͡ʃaː
agancs	ɒɡɒnt͡ʃ
agancs	ɒɡːɒnt͡ʃ
agancsa	ɒɡɒnt͡ʃɒ
agancsai	ɒɡɒnt͡ʃɒji
agancsaid	ɒɡɒnt͡ʃɒjid
agancsaik	ɒɡɒnt͡ʃɒjik
agancsaim	ɒɡɒnt͡ʃɒjim
agancsaink	ɒɡɒnt͡ʃɒjiŋk
agancsaitok	ɒɡɒnt͡ʃɒjitok
agancsba	ɒɡɒnd͡ʒbɒ
agancsban	ɒɡɒnd͡ʒbɒn
agancsból	ɒɡɒnd͡ʒboːl
agancshoz	ɒɡɒnt͡ʃhoz
agancsig	ɒɡɒnt͡ʃiɡ
agancsként	ɒɡɒnt͡ʃkeːnt
agancsnak	ɒɡɒnt͡ʃnɒk
agancsnál	ɒɡɒnt͡ʃnaːl
agancsod	ɒɡɒnt͡ʃod
agancsok	ɒɡɒnt͡ʃok
agancsokat	ɒɡɒnt͡ʃokɒt
agancsokba	ɒɡɒnt͡ʃoɡbɒ
agancsokban	ɒɡɒnt͡ʃoɡbɒn
agancsokból	ɒɡɒnt͡ʃoɡboːl
agancsokhoz	ɒɡɒnt͡ʃokhoz
agancsokig	ɒɡɒnt͡ʃokiɡ
agancsokkal	ɒɡɒnt͡ʃokːɒl
agancsokká	ɒɡɒnt͡ʃokːaː
agancsokként	ɒɡɒnt͡ʃokːeːnt
agancsoknak	ɒɡɒnt͡ʃoknɒk
agancsoknál	ɒɡɒnt͡ʃoknaːl
agancsokon	ɒɡɒnt͡ʃokon
agancsokra	ɒɡɒnt͡ʃokrɒ
agancsokról	ɒɡɒnt͡ʃokroːl
agancsoktól	ɒɡɒnt͡ʃoktoːl
agancsokért	ɒɡɒnt͡ʃokeːrt
agancsom	ɒɡɒnt͡ʃom
agancson	ɒɡɒnt͡ʃon
agancsot	ɒɡɒnt͡ʃot
agancsotok	ɒɡɒnt͡ʃotok
agancsra	ɒɡɒnt͡ʃrɒ
agancsról	ɒɡɒnt͡ʃroːl
agancstól	ɒɡɒnt͡ʃtoːl
agancsuk	ɒɡɒnt͡ʃuk
agancsunk	ɒɡɒnt͡ʃuŋk
agancsért	ɒɡɒnt͡ʃeːrt
agarak	ɒɡɒrɒk
agg	ɒɡː
aggaszt	ɒɡːɒst
aggj	ɒɡʝ
aggkor	ɒkːor
agglegény	ɒɡlɛɡeːɲ
agglegények	ɒɡlɛɡeːɲɛk
agglomeráció	ɒɡlomɛraːt͡sijoː
agglomerációk	ɒɡlomɛraːt͡sijoːk
agglomerátum	ɒɡlomɛraːtum
agglomerátumok	ɒɡlomɛraːtumok
aggodalmak	ɒɡːodɒlmɒk
aggodalom	ɒɡːodɒlom
aggok	ɒɡːok
aggsz	ɒks
aggyal	ɒɟːɒl
aggyá	ɒɟːaː
aggály	ɒɡːaːj
aggályok	ɒɡːaːjok
aggályokat	ɒɡːaːjokɒt
aggályt	ɒɡːaːjt
aggódd	ɒɡːoːdː
aggódik	ɒɡːoːdik
aggódj	ɒɡːoːɟː
aggódni	ɒɡːoːdni
aggódás	ɒɡːoːdaːʃ
aggódó	ɒɡːoːdoː
aggódóbb	ɒɡːoːdoːbː
agitáció	ɒɡitaːt͡sijoː
agitációk	ɒɡitaːt͡sijoːk
agitál	ɒɡitaːl
agresszivitás	ɒɡrɛsːivitaːʃ
agresszivitások	ɒɡrɛsːivitaːʃok
agresszió	ɒɡrɛsːijoː
agressziók	ɒɡrɛsːijoːk
agresszív	ɒɡrɛsːiːv
agresszívabb	ɒɡrɛsːiːvɒbː
agresszívebb	ɒɡrɛsːiːvɛbː
