ͷ	t͡sʼ
αὐεντῖνον	aβentinon
αὐθέντησ	afθendis
αὐθέντησ	afθentis
αὐθέντησ	au̯tʰéntɛːs
αὐθέντησ	aɸθentis
αὐθέντησ	aʍtʰɛntes
αὐθεντικόσ	afθendikos
αὐθεντικόσ	afθentikos
αὐθεντικόσ	au̯tʰentikós
αὐθεντικόσ	aɸθentikos
αὐθεντικόσ	aʍtʰɛntikos
αὐλέω	au̯léɔː
αὐλέω	avleo
αὐλέω	awlɛo
αὐλέω	aβleo
αὐλή	au̯lɛ̌ː
αὐλή	avli
αὐλή	awle
αὐλή	aβli
αὐλίσ	au̯lís
αὐλίσ	avlis
αὐλίσ	awlis
αὐλίσ	aβlis
αὐλεῖν	au̯lêːn
αὐλεῖν	avlin
αὐλεῖν	awlin
αὐλεῖν	aβlin
αὐλῆσ	au̯lɛ̂ːs
αὐλῆσ	avlis
αὐλῆσ	awles
αὐλῆσ	aβlis
αὐλητήσ	au̯lɛːtɛ̌ːs
αὐλητήσ	avlitis
αὐλητήσ	awletes
αὐλητήσ	aβlitis
αὐλητρίσ	au̯lɛːtrís
αὐλητρίσ	avlitris
αὐλητρίσ	awletris
αὐλητρίσ	aβlitris
αὐλικόσ	au̯likós
αὐλικόσ	avlikos
αὐλικόσ	awlikos
αὐλικόσ	aβlikos
αὐλοθήκη	au̯lotʰɛ̌ːkɛː
αὐλοθήκη	avloθici
αὐλοθήκη	awlotʰeke
αὐλοθήκη	aβloθiki
αὐλωιδόσ	au̯lɔːi̯dós
αὐλωιδόσ	avloðos
αὐλωιδόσ	awlodos
αὐλωιδόσ	aβloðos
αὐλωπίασ	au̯lɔːpíaːs
αὐλωπίασ	avlopias
αὐλωπίασ	awlopias
αὐλωπίασ	aβlopias
αὐλόσ	au̯lós
αὐλόσ	avlos
αὐλόσ	awlos
αὐλόσ	aβlos
αὐξάνω	afksano
αὐξάνω	au̯ksánɔː
αὐξάνω	aɸksano
αὐξάνω	aʍksano
αὐξηθῆναι	afksiθine
αὐξηθῆναι	au̯ksɛːtʰɛ̂ːnai̯
αὐξηθῆναι	aɸksiθinɛ
αὐξηθῆναι	aʍksetʰenɛ
αὐρήλιοσ	au̯rɛ̌ːlios
αὐρήλιοσ	avrilios
αὐρήλιοσ	awrelios
αὐρήλιοσ	aβrilios
αὐσονία	afsonia
αὐσονία	au̯soníaː
αὐσονία	aɸsonia
αὐσονία	aʍsonia
αὐστηρόσ	afstiros
αὐστηρόσ	au̯stɛːrós
αὐστηρόσ	aɸstiros
αὐστηρόσ	aʍsteros
αὐτά	afta
αὐτά	au̯tá
αὐτά	au̯tǎː
αὐτά	aɸta
αὐτά	aʍta
αὐτάρκεια	aftarcia
αὐτάρκεια	au̯tárkeːa
αὐτάρκεια	aɸtarkia
αὐτάρκεια	aʍtarkia
αὐτάσ	aftas
αὐτάσ	au̯tǎːs
αὐτάσ	aɸtas
αὐτάσ	aʍtas
αὐτάων	aftaon
αὐτάων	au̯tǎːɔːn
αὐτάων	aɸtaon
αὐτάων	aʍtaon
αὐτή	afti
αὐτή	au̯tɛ̌ː
αὐτή	aɸti
αὐτή	aʍte
αὐτήν	aftin
αὐτήν	au̯tɛ̌ːn
αὐτήν	aɸtin
αὐτήν	aʍten
αὐτίκ'	aftik
αὐτίκ'	au̯tík
αὐτίκ'	aɸtik
αὐτίκ'	aʍtik
αὐτίκα	aftika
αὐτίκα	au̯tíka
αὐτίκα	aɸtika
αὐτίκα	aʍtika
αὐταί	afte
αὐταί	au̯tǎi̯
αὐταί	aɸtɛ
αὐταί	aʍtɛ
αὐταῖσ	aftes
αὐταῖσ	au̯tâi̯s
αὐταῖσ	aɸtɛs
αὐταῖσ	aʍtɛs
αὐτερέται	afterete
αὐτερέται	au̯terétai̯
αὐτερέται	aɸteretɛ
αὐτερέται	aʍtɛrɛtɛ
αὐτερέτησ	afteretis
αὐτερέτησ	au̯terétɛːs
αὐτερέτησ	aɸteretis
αὐτερέτησ	aʍtɛrɛtes
αὐτῆι	afti
αὐτῆι	au̯tɛ̂ːi̯
αὐτῆι	aɸti
αὐτῆι	aʍte
αὐτῆσ	aftis
αὐτῆσ	au̯tɛ̂ːs
αὐτῆσ	aɸtis
αὐτῆσ	aʍtes
αὐτοί	afti
αὐτοί	afty
αὐτοί	au̯tǒi̯
αὐτοί	aɸty
αὐτοί	aʍty
αὐτοεπιθυμία	aftoepiθimia
αὐτοεπιθυμία	aftoepiθymia
αὐτοεπιθυμία	au̯toepitʰyːmíaː
αὐτοεπιθυμία	aɸtoepiθymia
αὐτοεπιθυμία	aʍtoɛpitʰymia
αὐτοῖο	aftio
αὐτοῖο	aftyo
αὐτοῖο	au̯tôi̯o
αὐτοῖο	aɸtyo
αὐτοῖο	aʍtyo
αὐτοῖσ	aftis
αὐτοῖσ	aftys
αὐτοῖσ	au̯tôi̯s
αὐτοῖσ	aɸtys
αὐτοῖσ	aʍtys
αὐτοῖσι	aftisi
αὐτοῖσι	aftysi
αὐτοῖσι	au̯tôi̯si
αὐτοῖσι	aɸtysi
αὐτοῖσι	aʍtysi
αὐτοκράτωρ	aftokrator
αὐτοκράτωρ	au̯tokrátɔːr
αὐτοκράτωρ	aɸtokrator
αὐτοκράτωρ	aʍtokrator
αὐτομέδων	aftomeðon
αὐτομέδων	au̯tomédɔːn
αὐτομέδων	aɸtomeðon
αὐτομέδων	aʍtomɛdon
αὐτονομία	aftonomia
αὐτονομία	au̯tonomíaː
αὐτονομία	aɸtonomia
αὐτονομία	aʍtonomia
αὐτονόη	aftonoi
αὐτονόη	au̯tonóɛː
αὐτονόη	aɸtonoi
αὐτονόη	aʍtonoe
αὐτονόμοισ	aftonomis
αὐτονόμοισ	aftonomys
αὐτονόμοισ	au̯tonómoi̯s
αὐτονόμοισ	aɸtonomys
αὐτονόμοισ	aʍtonomys
αὐτονόμου	aftonomu
αὐτονόμου	au̯tonómoː
αὐτονόμου	aɸtonomu
αὐτονόμου	aʍtonomu
αὐτονόμουσ	aftonomus
αὐτονόμουσ	au̯tonómoːs
αὐτονόμουσ	aɸtonomus
αὐτονόμουσ	aʍtonomus
αὐτονόμωι	aftonomo
αὐτονόμωι	au̯tonómɔːi̯
αὐτονόμωι	aɸtonomo
αὐτονόμωι	aʍtonomo
αὐτονόμων	aftonomon
αὐτονόμων	au̯tonómɔːn
αὐτονόμων	aɸtonomon
αὐτονόμων	aʍtonomon
αὐτονόμωσ	aftonomos
αὐτονόμωσ	au̯tonómɔːs
αὐτονόμωσ	aɸtonomos
αὐτονόμωσ	aʍtonomos
αὐτοπαγήσ	aftopaʝis
αὐτοπαγήσ	au̯topaɡɛ̌ːs
αὐτοπαγήσ	aɸtopaɣis
αὐτοπαγήσ	aʍtopaɡes
αὐτοσχεδόν	aftosçeðon
αὐτοσχεδόν	au̯toskʰedón
αὐτοσχεδόν	aɸtosxeðon
αὐτοσχεδόν	aʍtoskʰɛdon
αὐτοῦ	aftu
αὐτοῦ	au̯tôː
αὐτοῦ	aɸtu
αὐτοῦ	aʍtu
αὐτοφραδάτησ	aftofraðatis
αὐτοφραδάτησ	au̯topʰradátɛːs
αὐτοφραδάτησ	aɸtoɸraðatis
αὐτοφραδάτησ	aʍtopʰradates
αὐτούσ	aftus
αὐτούσ	au̯tǒːs
αὐτούσ	aɸtus
αὐτούσ	aʍtus
αὐτῶι	afto
αὐτῶι	au̯tɔ̂ːi̯
αὐτῶι	aɸto
αὐτῶι	aʍto
αὐτῶν	afton
αὐτῶν	au̯tɔ̂ːn
αὐτῶν	aɸton
αὐτῶν	aʍton
αὐτό	afto
αὐτό	au̯tó
αὐτό	aɸto
αὐτό	aʍto
αὐτόθ'	aftoθ
αὐτόθ'	au̯tótʰ
αὐτόθ'	aɸtoθ
αὐτόθ'	aʍtotʰ
αὐτόθεν	aftoθen
αὐτόθεν	au̯tótʰen
αὐτόθεν	aɸtoθen
αὐτόθεν	aʍtotʰɛn
αὐτόθι	aftoθi
αὐτόθι	au̯tótʰi
αὐτόθι	aɸtoθi
αὐτόθι	aʍtotʰi
αὐτόλυκοσ	aftolikos
αὐτόλυκοσ	aftolykos
αὐτόλυκοσ	au̯tólykos
αὐτόλυκοσ	aɸtolykos
αὐτόλυκοσ	aʍtolykos
αὐτόματοσ	aftomatos
αὐτόματοσ	au̯tómatos
αὐτόματοσ	aɸtomatos
αὐτόματοσ	aʍtomatos
αὐτόμολοσ	aftomolos
αὐτόμολοσ	au̯tómolos
αὐτόμολοσ	aɸtomolos
αὐτόμολοσ	aʍtomolos
αὐτόν	afton
αὐτόν	au̯tón
αὐτόν	aɸton
αὐτόν	aʍton
αὐτόνομοι	aftonomi
αὐτόνομοι	aftonomy
αὐτόνομοι	au̯tónomoi̯
αὐτόνομοι	aɸtonomy
αὐτόνομοι	aʍtonomy
αὐτόνομον	aftonomon
αὐτόνομον	au̯tónomon
αὐτόνομον	aɸtonomon
αὐτόνομον	aʍtonomon
αὐτόνομοσ	aftonomos
αὐτόνομοσ	au̯tónomos
αὐτόνομοσ	aɸtonomos
αὐτόνομοσ	aʍtonomos
αὐτόσ	aftos
αὐτόσ	au̯tós
αὐτόσ	aɸtos
αὐτόσ	aʍtos
αὐτώ	afto
αὐτώ	au̯tɔ̌ː
αὐτώ	aɸto
αὐτώ	aʍto
αὐχέν'	afçen
αὐχέν'	au̯kʰén
αὐχέν'	aɸxen
αὐχέν'	aʍkʰɛn
αὐχένα	afçena
αὐχένα	au̯kʰéna
αὐχένα	aɸxena
αὐχένα	aʍkʰɛna
αὐχήν	afçin
αὐχήν	au̯kʰɛ̌ːn
αὐχήν	aɸxin
αὐχήν	aʍkʰen
αὐχμηρόσ	afxmiros
αὐχμηρόσ	au̯kʰmɛːrós
αὐχμηρόσ	aɸxmiros
αὐχμηρόσ	aʍkʰmeros
αὐχμόσ	afxmos
αὐχμόσ	au̯kʰmós
αὐχμόσ	aɸxmos
αὐχμόσ	aʍkʰmos
αἰέν	ai̯én
αἰέν	een
αἰέν	ɛen
αἰέν	ɛɛn
αἰήτησ	ai̯ɛ̌ːtɛːs
αἰήτησ	eitis
αἰήτησ	ɛetes
αἰήτησ	ɛitis
αἰακίδαο	ai̯akídaːo
αἰακίδαο	eaciðao
αἰακίδαο	ɛakidao
αἰακίδαο	ɛakiðao
αἰακίδησ	ai̯akídɛːs
αἰακίδησ	eaciðis
αἰακίδησ	ɛakides
αἰακίδησ	ɛakiðis
αἰακόσ	ai̯akós
αἰακόσ	eakos
αἰακόσ	ɛakos
αἰγίδα	ai̯ɡída
αἰγίδα	eʝiða
αἰγίδα	ɛɡida
αἰγίδα	ɛɣiða
αἰγίδεσ	ai̯ɡídes
αἰγίδεσ	eʝiðes
αἰγίδεσ	ɛɡidɛs
αἰγίδεσ	ɛɣiðes
αἰγίλωψ	ai̯ɡílɔːps
αἰγίλωψ	eʝilops
αἰγίλωψ	ɛɡilops
αἰγίλωψ	ɛɣilops
αἰγίοχοσ	ai̯ɡíokʰos
αἰγίοχοσ	eʝioxos
αἰγίοχοσ	ɛɡiokʰos
αἰγίοχοσ	ɛɣioxos
αἰγίσ	ai̯ɡís
αἰγίσ	eʝis
αἰγίσ	ɛɡis
αἰγίσ	ɛɣis
αἰγαί	ai̯ɡǎi̯
αἰγαί	eʝe
αἰγαί	ɛɡɛ
αἰγαί	ɛɣɛ
αἰγαῖον	ai̯ɡâi̯on
αἰγαῖον	eʝeon
αἰγαῖον	ɛɡɛon
αἰγαῖον	ɛɣɛon
αἰγαῖοσ	ai̯ɡâi̯os
αἰγαῖοσ	eʝeos
αἰγαῖοσ	ɛɡɛos
αἰγαῖοσ	ɛɣɛos
αἰγείρινοσ	ai̯ɡěːrinos
αἰγείρινοσ	eʝirinos
αἰγείρινοσ	ɛɡirinos
αἰγείρινοσ	ɛɣirinos
αἰγεύσ	ai̯ɡěu̯s
αἰγεύσ	eʝefs
αἰγεύσ	ɛɡeʍs
αἰγεύσ	ɛɣeɸs
αἰγιαλεύσ	ai̯ɡialěu̯s
αἰγιαλεύσ	eʝialefs
αἰγιαλεύσ	ɛɡialeʍs
αἰγιαλεύσ	ɛɣialeɸs
αἰγιαλοῖσ	ai̯ɡialôi̯s
αἰγιαλοῖσ	eʝialis
αἰγιαλοῖσ	eʝialys
αἰγιαλοῖσ	ɛɡialys
αἰγιαλοῖσ	ɛɣialys
αἰγιαλοφύλαξ	ai̯ɡialopʰýlaks
αἰγιαλοφύλαξ	eʝialofilaks
αἰγιαλοφύλαξ	eʝialofylaks
αἰγιαλοφύλαξ	ɛɡialopʰylaks
αἰγιαλοφύλαξ	ɛɣialoɸylaks
αἰγιαλόσ	ai̯ɡialós
αἰγιαλόσ	eʝialos
αἰγιαλόσ	ɛɡialos
αἰγιαλόσ	ɛɣialos
αἰγινήταισ	ai̯ɡiːnɛ̌ːtai̯s
αἰγινήταισ	eʝinites
αἰγινήταισ	ɛɡinetɛs
αἰγινήταισ	ɛɣinitɛs
αἰγινήτησ	ai̯ɡiːnɛ̌ːtɛːs
αἰγινήτησ	eʝinitis
αἰγινήτησ	ɛɡinetes
αἰγινήτησ	ɛɣinitis
αἰγινῆται	ai̯ɡiːnɛ̂ːtai̯
αἰγινῆται	eʝinite
αἰγινῆται	ɛɡinetɛ
αἰγινῆται	ɛɣinitɛ
αἰγιόχοιο	ai̯ɡiókʰoi̯o
αἰγιόχοιο	eʝioçio
αἰγιόχοιο	eʝioçyo
αἰγιόχοιο	ɛɡiokʰyo
αἰγιόχοιο	ɛɣioxyo
αἰγοκέφαλοσ	ai̯ɡoképʰalos
αἰγοκέφαλοσ	eɣocefalos
αἰγοκέφαλοσ	ɛɡokɛpʰalos
αἰγοκέφαλοσ	ɛɣokeɸalos
αἰγυπιόσ	ai̯ɡypiós
αἰγυπιόσ	eʝipios
αἰγυπιόσ	eʝypios
αἰγυπιόσ	ɛɡypios
αἰγυπιόσ	ɛɣypios
αἰγῶν	ai̯ɡɔ̂ːn
αἰγῶν	eɣon
αἰγῶν	ɛɡon
αἰγῶν	ɛɣon
αἰγωλιόσ	ai̯ɡɔːliós
αἰγωλιόσ	eɣolios
αἰγωλιόσ	ɛɡolios
αἰγωλιόσ	ɛɣolios
αἰγόκερασ	ai̯ɡókeras
αἰγόκερασ	eɣoceras
αἰγόκερασ	ɛɡokɛras
αἰγόκερασ	ɛɣokeras
αἰγόλεθροσ	ai̯ɡóletʰros
αἰγόλεθροσ	eɣoleθros
αἰγόλεθροσ	ɛɡolɛtʰros
αἰγόλεθροσ	ɛɣoleθros
αἰγύπτιοσ	ai̯ɡýptios
αἰγύπτιοσ	eʝiptios
αἰγύπτιοσ	eʝyptios
αἰγύπτιοσ	ɛɡyptios
αἰγύπτιοσ	ɛɣyptios
αἰδέομαι	ai̯déomai̯
αἰδέομαι	eðeome
αἰδέομαι	ɛdɛomɛ
αἰδέομαι	ɛðeomɛ
αἰδίλησ	eðilis
αἰδίλησ	ɛdiles
αἰδίλησ	ɛðilis
αἰδηψόσ	ai̯dɛːpsós
αἰδηψόσ	eðipsos
αἰδηψόσ	ɛdepsos
αἰδηψόσ	ɛðipsos
αἰδοίη	ai̯dǒi̯ɛː
αἰδοίη	eðii
αἰδοίη	eðyi
αἰδοίη	ɛdye
αἰδοίη	ɛðyi
αἰδοῖα	ai̯dôi̯a
αἰδοῖα	eðia
αἰδοῖα	eðya
αἰδοῖα	ɛdya
αἰδοῖα	ɛðya
αἰδοῖον	ai̯dôi̯on
αἰδοῖον	eðion
αἰδοῖον	eðyon
αἰδοῖον	ɛdyon
αἰδοῖον	ɛðyon
αἰδοῖοσ	ai̯dôi̯os
αἰδοῖοσ	eðios
αἰδοῖοσ	eðyos
αἰδοῖοσ	ɛdyos
αἰδοῖοσ	ɛðyos
αἰδῶ	ai̯dɔ̂ː
αἰδῶ	eðo
αἰδῶ	ɛdo
αἰδῶ	ɛðo
αἰδώ	ai̯dɔ̌ː
αἰδώ	eðo
αἰδώ	ɛdo
αἰδώ	ɛðo
αἰδώσ	ai̯dɔ̌ːs
αἰδώσ	eðos
αἰδώσ	ɛdos
αἰδώσ	ɛðos
αἰεί	ai̯ěː
αἰεί	ei
αἰεί	ɛi
αἰειγενέτησ	ai̯eːɡenétɛːs
αἰειγενέτησ	eiʝenetis
αἰειγενέτησ	ɛiɡɛnɛtes
αἰειγενέτησ	ɛiɣenetis
αἰειγενετάων	ai̯eːɡenetǎːɔːn
αἰειγενετάων	eiʝenetaon
αἰειγενετάων	ɛiɡɛnɛtaon
αἰειγενετάων	ɛiɣenetaon
αἰετόσ	ai̯etós
αἰετόσ	eetos
αἰετόσ	ɛetos
αἰετόσ	ɛɛtos
αἰζηῶν	ai̯zdɛːɔ̂ːn
αἰζηῶν	ezion
αἰζηῶν	ɛzeon
αἰζηῶν	ɛzion
αἰζηόσ	ai̯zdɛːós
αἰζηόσ	ezios
αἰζηόσ	ɛzeos
αἰζηόσ	ɛzios
αἰθάλεια	ai̯tʰáleːa
αἰθάλεια	eθalia
αἰθάλεια	ɛtʰalia
αἰθάλεια	ɛθalia
αἰθάλη	ai̯tʰálɛː
αἰθάλη	eθali
αἰθάλη	ɛtʰale
αἰθάλη	ɛθali
αἰθάληι	ai̯tʰálɛːi̯
αἰθάληι	eθali
αἰθάληι	ɛtʰale
αἰθάληι	ɛθali
αἰθέρι	ai̯tʰéri
αἰθέρι	eθeri
αἰθέρι	ɛtʰɛri
αἰθέρι	ɛθeri
αἰθέροσ	ai̯tʰéros
αἰθέροσ	eθeros
αἰθέροσ	ɛtʰɛros
αἰθέροσ	ɛθeros
αἰθήρ	ai̯tʰɛ̌ːr
αἰθήρ	eθir
αἰθήρ	ɛtʰer
αἰθήρ	ɛθir
αἰθίοψ	ai̯tʰíops
αἰθίοψ	eθiops
αἰθίοψ	ɛtʰiops
αἰθίοψ	ɛθiops
αἰθαλία	ai̯tʰalíaː
αἰθαλία	eθalia
αἰθαλία	ɛtʰalia
αἰθαλία	ɛθalia
αἰθαλίδεω	ai̯tʰalídeɔː
αἰθαλίδεω	eθaliðeo
αἰθαλίδεω	ɛtʰalidɛo
αἰθαλίδεω	ɛθaliðeo
αἰθαλίδησ	ai̯tʰalídɛːs
αἰθαλίδησ	eθaliðis
αἰθαλίδησ	ɛtʰalides
αἰθαλίδησ	ɛθaliðis
αἰθαλίη	ai̯tʰalíɛː
αἰθαλίη	eθalii
αἰθαλίη	ɛtʰalie
αἰθαλίη	ɛθalii
αἰθαλίων	ai̯tʰalíɔːn
αἰθαλίων	eθalion
αἰθαλίων	ɛtʰalion
αἰθαλίων	ɛθalion
αἰθαλόεισ	ai̯tʰalóeːs
αἰθαλόεισ	eθalois
αἰθαλόεισ	ɛtʰalois
αἰθαλόεισ	ɛθalois
αἰθαλόσ	ai̯tʰalós
αἰθαλόσ	eθalos
αἰθαλόσ	ɛtʰalos
αἰθαλόσ	ɛθalos
αἰθιοπία	ai̯tʰiopíaː
αἰθιοπία	eθiopia
αἰθιοπία	ɛtʰiopia
αἰθιοπία	ɛθiopia
αἰθιοπίσ	ai̯tʰiopís
αἰθιοπίσ	eθiopis
αἰθιοπίσ	ɛtʰiopis
αἰθιοπίσ	ɛθiopis
αἰθομένοιο	ai̯tʰoménoi̯o
αἰθομένοιο	eθomenio
αἰθομένοιο	eθomenyo
αἰθομένοιο	ɛtʰomɛnyo
αἰθομένοιο	ɛθomenyo
αἰθούσηι	ai̯tʰǒːsɛːi̯
αἰθούσηι	eθusi
αἰθούσηι	ɛtʰuse
αἰθούσηι	ɛθusi
αἰθόμενοσ	ai̯tʰómenos
αἰθόμενοσ	eθomenos
αἰθόμενοσ	ɛtʰomɛnos
αἰθόμενοσ	ɛθomenos
αἰκία	ai̯kíaː
αἰκία	ecia
αἰκία	ɛkia
αἰκατερίνη	ai̯katerǐːnɛː
αἰκατερίνη	ekaterini
αἰκατερίνη	ɛkaterini
αἰκατερίνη	ɛkatɛrine
αἰμίλιοσ	ai̯mílios
αἰμίλιοσ	emilios
αἰμίλιοσ	ɛmilios
αἰμιλία	ai̯milíaː
αἰμιλία	emilia
αἰμιλία	ɛmilia
αἰνέω	ai̯néɔː
αἰνέω	eneo
αἰνέω	ɛneo
αἰνέω	ɛnɛo
αἰνεία	ai̯něːaː
αἰνεία	enia
αἰνεία	ɛnia
αἰνείαι	ai̯něːaːi̯
αἰνείαι	enia
αἰνείαι	ɛnia
αἰνείαν	ai̯něːaːn
αἰνείαν	enian
αἰνείαν	ɛnian
αἰνείαο	ai̯něːaːo
αἰνείαο	eniao
αἰνείαο	ɛniao
αἰνείασ	ai̯něːaːs
αἰνείασ	enias
αἰνείασ	ɛnias
αἰνεσίδημοσ	ai̯nesídɛːmos
αἰνεσίδημοσ	enesiðimos
αἰνεσίδημοσ	ɛnesiðimos
αἰνεσίδημοσ	ɛnɛsidemos
αἰνῆι	ai̯nɛ̂ːi̯
αἰνῆι	eni
αἰνῆι	ɛne
αἰνῆι	ɛni
αἰνησίδημοσ	ai̯nɛːsidɛːmos
αἰνησίδημοσ	enisiðimos
αἰνησίδημοσ	ɛnesidemos
αἰνησίδημοσ	ɛnisiðimos
αἰνῶσ	ai̯nɔ̂ːs
αἰνῶσ	enos
αἰνῶσ	ɛnos
αἰνόν	ai̯nón
αἰνόν	enon
αἰνόν	ɛnon
αἰνόσ	ai̯nós
αἰνόσ	enos
αἰνόσ	ɛnos
αἰολία	ai̯olíaː
αἰολία	eolia
αἰολία	ɛolia
αἰολίσ	ai̯olís
αἰολίσ	eolis
αἰολίσ	ɛolis
αἰολεύσ	ai̯olěu̯s
αἰολεύσ	eolefs
αἰολεύσ	ɛoleɸs
αἰολεύσ	ɛoleʍs
αἰολικόσ	ai̯olikós
αἰολικόσ	eolikos
αἰολικόσ	ɛolikos
αἰολόπωλοσ	ai̯olópɔːlos
αἰολόπωλοσ	eolopolos
αἰολόπωλοσ	ɛolopolos
αἰπεινόσ	ai̯peːnós
αἰπεινόσ	epinos
αἰπεινόσ	ɛpinos
αἰπόλοσ	ai̯pólos
αἰπόλοσ	epolos
αἰπόλοσ	ɛpolos
αἰπόσ	ai̯pós
αἰπόσ	epos
αἰπόσ	ɛpos
αἰπύ	ai̯pý
αἰπύ	epi
