və	vˈæ
nəticəsində	nætid͡ʒæsˈindæ
orta	ortˈa
eyni	ejnˈi
kiçik	cit͡ʃˈiç
yalnız	jaɫnˈɯz
qeyd	ɡˈejd
müəyyən	myæjjˈæn
iştirak	iʃtiɾˈaç
gün	ɟˈyn
olar	oɫˈar
şəkildə	ʃæcˈildæ
inkişaf	inciʃˈaf
etdiyi	etdijˈi
edirdi	edirdˈi
ilin	ilˈin
nəfər	næfˈær
hesab	hesˈab
olunan	oɫunˈan
yaxşı	jaxʃˈɯ
hərbi	hærbˈi
olduğunu	oɫduːnˈu
tarixi	taɾixˈi
kənd	cˈænd
olunmuşdur	oɫunmuʃdˈur
Bakı	bacˈɯ
deyil	dejˈil
az	ˈaz
aid	ˈa͡ɪd
bağlı	baːɫˈɯ
əlavə	æɫˈavæ
göstərir	ɟœstæɾˈir
üç	ˈyt͡ʃ
artıq	artˈɯx
illərdə	illˈærdæ
malik	malˈiç
təhsil	tæhsˈil
dövlət	dœvlˈæt
ikinci	icind͡ʒˈi
səbəb	sæbˈæb
fəaliyyət	fæalijjˈæt
Bundan	bundˈan
gəlir	ɟælˈir
yer	jˈer
Burada	buɾadˈa
qədim	ɡædˈim
su	sˈu
həmçinin	hæmt͡ʃinˈin
burada	buɾadˈa
əsrin	æsrˈin
birlikdə	birlˈiçdæ
hissəsi	hissæsˈi
yerləşən	jerlæʃˈæn
edib	edˈib
əldə	ˈældæ
Həmin	hæmˈin
ibarət	ibaɾˈæt
yenidən	jenidˈæn
həyata	hæjatˈa
müddət	myddˈæt
bəzi	bæzˈi
insan	insˈan
edərək	edæɾˈæç
onlar	onɫˈar
edilən	edilˈæn
son	sˈon
olması	oɫmasˈɯ
altında	aɫtɯndˈa
lakin	ɫacˈin
Belə	bˈelæ
zamanda	zamandˈa
baxmayaraq	baxmajaɾˈax
əvvəl	ævvˈæl
yaxın	jaxˈɯn
vaxt	vˈaxt
ərzində	ærzˈindæ
uzun	uzˈun
ümumi	ymumˈi
bəy	bˈæj
ibarətdir	ibaɾætdˈir
Dövlət	dœvlˈæt
Onlar	onɫˈar
təyin	tæjˈin
edilmiş	edilmˈiʃ
xan	xˈan
edirlər	edirlˈær
ildən	ildˈæn
etməyə	etmˈæjæ
sıra	sɯɾˈa
şəhər	ʃæhˈær
əmələ	æmˈælæ
min	mˈin
siyasi	sijasˈi
nə	næ
milli	millˈi
edildi	edildˈi
olunmuş	oɫunmˈuʃ
km	kˌaˈem
Ancaq	and͡ʒˈax
təmin	tæmˈin
Böyük	bœjˈyç
dövrdə	dˈœvrdæ
Hər	hˈær
həyat	hæjˈat
başa	baʃˈa
Buna	bunˈa
başladı	baʃɫadˈɯ
tam	tˈam
məşhur	mæʃhˈur
etmiş	etmˈiʃ
xarici	xaɾid͡ʒˈi
birinci	biɾind͡ʒˈi
dövründə	dœvrˈyndæ
qadın	ɡadˈɯn
ola	oɫˈa
İlk	ˈilç
yerli	jerlˈi
yanaşı	janaʃˈɯ
təsvir	tæsvˈir
şəhərində	ʃæhæɾˈindæ
anadan	anadˈan
edə	ˈedæ
başlayır	baʃɫajˈɯr
malikdir	maliçdˈir
Milli	millˈi
məşğul	mæʃɣˈuɫ
fərqli	færɡlˈi
mərkəzi	mærcæzˈi
olmuş	oɫmˈuʃ
Azərbaycanın	azærbajd͡ʒanˈɯn
verən	veɾˈæn
əhatə	æhˈatæ
olmaqla	oɫmaɡɫˈa
türk	tˈyrç
aşağı	aʃaːˈɯ
dünya	dynjˈa
Daha	dahˈa
yerinə	jeɾˈinæ
gələn	ɟælˈæn
Avropa	avropˈa
Azərbaycanda	azærbajd͡ʒandˈa
sayı	sajˈɯ
əsasında	æsasɯndˈa
ərazisində	æɾazisˈindæ
idarə	idˈaɾæ
hələ	hˈælæ
halda	haɫdˈa
təsir	tæsˈir
xalq	xˈaɫx
özünü	œzynˈy
musiqi	musiɡˈi
rus	rˈus
beynəlxalq	bejnælxˈaɫx
yaşayış	jaʃajˈɯʃ
barədə	baɾˈædæ
təqdim	tæɡdˈim
güclü	ɟyd͡ʒlˈy
çıxış	t͡ʃɯxˈɯʃ
uyğun	ujɣˈun
adına	adɯnˈa
rast	rˈast
geri	ɟeɾˈi
ancaq	and͡ʒˈax
dəniz	dænˈiz
mühüm	myhˈym
müasir	myasˈir
Rusiya	rˈusia
təxminən	tæxminˈæn
mövcud	mœvd͡ʒˈud
edilməsi	edilmæsˈi
metr	mˈetər
əks	ˈæçs
adını	adɯnˈɯ
uzunluğu	uzunɫˈuː
iqtisadi	iɡtisadˈi
yolu	joɫˈu
meydana	mejdanˈa
üzvü	yzvˈy
II	ɯˈɯ
Onların	onɫaɾˈɯn
qısa	ɡɯsˈa
istehsal	istehsˈaɫ
yeri	jeɾˈi
doğru	doːɾˈu
olmayan	oɫmajˈan
onları	onɫaɾˈɯ
özü	œzˈy
müdafiə	mydafˈiæ
Bununla	bununɫˈa
yoxdur	joxdˈur
dilində	dilˈindæ
hansı	hansˈɯ
xidmət	xidmˈæt
nəşr	nˈæʃər
təbii	tæbiˈi
müşahidə	myʃahˈidæ
Sovet	sovˈet
qızı	ɡɯzˈɯ
sahəsi	sahæsˈi
Ən	ˈæn
dini	dinˈi
inşa	inʃˈa
I	ˈɯ
buna	bunˈa
m	ˈem
tətbiq	tætbˈix
iş	ˈiʃ
Orta	ortˈa
şəhəri	ʃæhæɾˈi
Bütün	byt͡sˈyn
məlumat	mæɫumˈat
mövcuddur	mœvd͡ʒuddˈur
tələb	tælˈæb
hətta	hættˈa
əsrdə	ˈæsrdæ
biridir	biɾidˈir
dörd	dˈœrd
hərəkət	hæɾæcˈæt
olunub	oɫunˈub
imkan	imcˈan
daxili	daxilˈi
hücum	hyd͡ʒˈum
Yeni	jenˈi
vasitəsilə	vasitæsˈilæ
verdi	verdˈi
kömək	cœmˈæç
milyon	miljˈon
bəzən	bæzˈæn
yerdə	jˈerdæ
elə	ˈelæ
Məhəmməd	mæhæmmˈæd
çoxlu	t͡ʃoxɫˈu
rol	rˈoɫ
yaşayan	jaʃajˈan
demək	demˈæç
ələ	ˈælæ
nəzərdə	næzˈærdæ
ailə	ˈa͡ɪlæ
iri	iɾˈi
əhəmiyyətli	æhæmijjætlˈi
almışdır	aɫmɯʃdˈɯr
kişi	ciʃˈi
Beləliklə	belælˈiçlæ
Bəzi	bæzˈi
sahəsində	sahæsˈindæ
ağır	aːˈɯr
alır	aɫˈɯr
Amma	ammˈa
illər	illˈær
çap	t͡ʃˈap
ifadə	ifˈadæ
mümkün	mymcˈyn
mübarizə	mybaɾˈizæ
yəni	jænˈi
Hazırda	hazɯrdˈa
sahib	sahˈib
rəsmi	ræsmˈi
yox	jˈox
hissəsində	hissæsˈindæ
elan	eɫˈan
ciddi	d͡ʒiddˈi
dünyanın	dynjanˈɯn
şəklində	ʃæçlˈindæ
növ	nˈœv
yaşayır	jaʃajˈɯr
ictimai	id͡ʒtimˈa͡ɪ
daxildir	daxildˈir
Dünya	dynjˈa
ölkənin	œlcænˈin
etmişdi	etmiʃdˈi
cür	d͡ʒˈyr
nisbətən	nisbætˈæn
üzərinə	yzæɾˈinæ
olmaq	oɫmˈax
tərk	tˈærç
onlara	onɫaɾˈa
ali	alˈi
məhv	mˈæhv
asılı	asɯɫˈɯ
Beynəlxalq	bejnælxˈaɫx
Respublikası	respublicasˈɯ
hava	havˈa
Respublikasının	respublicasɯnˈɯn
gənc	ɟˈænd͡ʒ
illik	illˈiç
layiq	ɫajˈix
Həmçinin	hæmt͡ʃinˈin
təklif	tæçlˈif
almaq	aɫmˈax
bilir	bilˈir
Eyni	ejnˈi
cəlb	d͡ʒˈælb
açıq	at͡ʃˈɯx
sistemi	sistemˈi
vəfat	væfˈat
olsa	oɫsˈa
Cənubi	d͡ʒænubˈi
dili	dilˈi
döyüş	dœjˈyʃ
həsr	hˈæsər
məqsədi	mæɡsædˈi
edilib	edilˈib
lazımdır	ɫazɯmdˈɯr
qrup	ɡrˈup
azad	azˈad
tərəfdən	tæɾæfdˈæn
ölkə	ˈœlcæ
Əli	ælˈi
gözəl	ɟœzˈæl
ABŞ	ˈabʃ
əlaqədar	æɫaɡædˈar
Naxçıvan	naxt͡ʃɯvˈan
keçmiş	cet͡ʃmˈiʃ
Mərkəzi	mærcæzˈi
tamamilə	tamamˈilæ
qalan	ɡaɫˈan
Digər	diɟˈær
ağ	ˈaː
işləri	iʃlæɾˈi
XIX	xˈɯx
tarixində	taɾixˈindæ
məğlub	mæːɫˈub
ondan	ondˈan
neft	nˈeft
yaxud	jaxˈud
sosial	sosiˈaɫ
insanlar	insanɫˈar
yol	jˈoɫ
Osmanlı	osmanɫˈɯ
aşkar	aʃcˈar
kəndində	cændˈindæ
İkinci	icind͡ʒˈi
özünün	œzynˈyn
Məsələn	mæsælˈæn
atası	atasˈɯ
dağ	dˈaː
xüsusilə	xysusˈilæ
ətrafında	ætrafɯndˈa
sayda	sajdˈa
qara	ɡaɾˈa
edirdilər	edirdilˈær
arasındakı	aɾasɯndacˈɯ
hallarda	haɫɫardˈa
ərazi	æɾazˈi
yuxarı	juxaɾˈɯ
təsiri	tæsiɾˈi
Baş	bˈaʃ
əhalisi	æhalisˈi
kəndi	cændˈi
Çünki	t͡ʃyncˈi
Xalq	xˈaɫx
Bunun	bunˈun
ifa	ifˈa
ayında	ajɯndˈa
sözü	sœzˈy
etdilər	etdilˈær
irəli	iɾælˈi
bərabər	bæɾabˈær
İran	iɾˈan
Ali	alˈi
erməni	ermænˈi
Əgər	æɟˈær
sm	sˌeˈem
həll	hˈæll
yerə	jˈeɾæ
film	fˈilm
tutur	tutˈur
Mirzə	mˈirzæ
sağ	sˈaː
başlamışdır	baʃɫamɯʃdˈɯr
insanların	insanɫaɾˈɯn
deyilir	dejilˈir
cümlədən	d͡ʒymlædˈæn
hakimiyyəti	hacimijjætˈi
çay	t͡ʃˈaj
xeyli	xejlˈi
Türk	tˈyrç
uşaq	uʃˈax
adətən	adætˈæn
yanında	janɯndˈa
məhz	mˈæhz
məlum	mæɫˈum
düşür	dyʃˈyr
ay	ˈaj
fəaliyyəti	fæalijjætˈi
torpaq	torpˈax
özünə	œzˈynæ
bədii	bædiˈi
dövrü	dœvrˈy
qalır	ɡaɫˈɯr
Ona	onˈa
adlanır	adɫanˈɯr
keçirilən	cet͡ʃiɾilˈæn
rəhbərlik	ræhbærlˈiç
yaxınlığında	jaxɯnɫɯɯɯndˈa
sonrakı	sonracˈɯ
orada	oɾadˈa
çünki	t͡ʃyncˈi
nəzərə	næzˈæɾæ
Birinci	biɾind͡ʒˈi
ev	ˈev
keçir	cet͡ʃˈir
verilir	veɾilˈir
rəngli	rænɟlˈi
ingilis	inɟilˈis
inkişafı	inciʃafˈɯ
təmsil	tæmsˈil
şəxsi	ʃæxsˈi
aiddir	a͡ɪddˈir
bərpa	bærpˈa
inzibati	inzibatˈi
rayonunun	rajonunˈun
qızıl	ɡɯzˈɯɫ
məxsus	mæxsˈus
əvvəlki	ævvælcˈi
Şimali	ʃimalˈi
olduqca	oɫduɡd͡ʒˈa
olundu	oɫundˈu
məruz	mæɾˈuz
zəngin	zænɟˈin
vermişdir	vermiʃdˈir
boyu	bojˈu
on	ˈon
birgə	bˈirɟæ
olunurdu	oɫunurdˈu
mədəni	mædænˈi
dünyada	dynjadˈa
həyatı	hæjatˈɯ
növü	nœvˈy
vardı	vardˈɯ
Sonra	sonrˈa
cavab	d͡ʒavˈab
Qafqaz	ɡafɡˈaz
deməkdir	demæçdˈir
ticarət	tid͡ʒaɾˈæt
boyunca	bojund͡ʒˈa
eləcə	elˈæd͡ʒæ
şəhərin	ʃæhæɾˈin
məktəb	mæçtˈæb
üçüncü	yt͡ʃynd͡ʒˈy
içərisində	it͡ʃæɾisˈindæ
insanın	insanˈɯn
yaradır	jaɾadˈɯr
şəxs	ʃˈæxs
daş	dˈaʃ
bəhs	bˈæhs
qala	ɡaɫˈa
əhalinin	æhalinˈin
cənub	d͡ʒænˈub
qırmızı	ɡɯrmɯzˈɯ
söz	sˈœz
əsr	ˈæsər
gəldi	ɟældˈi
bunu	bunˈu
üstünlük	ystynlˈyç
necə	nˈed͡ʒæ
İslam	isɫˈam
qarşısında	ɡarʃɯsɯndˈa
qardaşı	ɡardaʃˈɯ
şimal	ʃimˈaɫ
pul	pˈuɫ
yayılmışdır	jajɯɫmɯʃdˈɯr
amma	ammˈa
çıxır	t͡ʃɯxˈɯr
Amerika	ameɾicˈa
illərində	illæɾˈindæ
qərar	ɡæɾˈar
adlanan	adɫanˈan
kitab	citˈab
əsərləri	æsærlæɾˈi
əsəri	æsæɾˈi
tərkibində	tærcibˈindæ
rayonunda	rajonundˈa
yaşında	jaʃɯndˈa
beş	bˈeʃ
verilmişdir	veɾilmiʃdˈir
Şərq	ʃˈærx
aldı	aɫdˈɯ
ərəb	æɾˈæb
nəfəri	næfæɾˈi
saat	saˈat
tək	tˈæç
Çin	t͡ʃˈin
yeganə	jeɟˈanæ
həbs	hˈæbs
Kənd	cˈænd
dair	dˈa͡ɪr
bunun	bunˈun
gəlinir	ɟælinˈir
rəhbərliyi	ræhbærlijˈi
göstərən	ɟœstæɾˈæn
sonradan	sonradˈan
dünyaya	dynjajˈa
mümkündür	mymcyndˈyr
etməsi	etmæsˈi
çıxan	t͡ʃɯxˈan
XX	xˌexˈe
bundan	bundˈan
izah	izˈah
gəlib	ɟælˈib
çalışır	t͡ʃaɫɯʃˈɯr
müstəqil	mystæɡˈil
Universitetinin	universit͡set͡sinˈin
gətirir	ɟætiɾˈir
müharibə	myhaɾˈibæ
Türkiyə	tyrcˈijæ
məktəbi	mæçtæbˈi
İki	icˈi
içində	it͡ʃˈindæ
Qarabağ	ɡaɾabˈaː
alıb	aɫˈɯb
olmuşdu	oɫmuʃdˈu
Əhməd	æhmˈæd
mm	ˌemˈem
dəqiq	dæɡˈix
sahibi	sahibˈi
SSRİ	ssrˈi
xilas	xiɫˈas
adam	adˈam
hissəsini	hissæsinˈi
sonunda	sonundˈa
Qara	ɡaɾˈa
təhsilini	tæhsilinˈi
baxımından	baxɯmɯndˈan
məcbur	mæd͡ʒbˈur
daxilində	daxilˈindæ
nümayiş	nymajˈiʃ
olmasına	oɫmasɯnˈa
tanınmış	tanɯnmˈɯʃ
lazım	ɫazˈɯm
əhali	æhalˈi
diqqət	diɡɡˈæt
qərb	ɡˈærb
dəfn	dˈæfn
elm	ˈelm
etdirir	etdiɾˈir
keçirilir	cet͡ʃiɾilˈir
verdiyi	verdijˈi
xanın	xanˈɯn
ərazidə	æɾazˈidæ
sıx	sˈɯx
işi	iʃˈi
dərəcədə	dæɾæd͡ʒˈædæ
sayəsində	sajæsˈindæ
cəhətdən	d͡ʒæhætdˈæn
oyun	ojˈun
edilirdi	edilirdˈi
səbəbdən	sæbæbdˈæn
işə	ˈiʃæ
şərq	ʃˈærx
yazır	jazˈɯr
dəyişir	dæjiʃˈir
gedən	ɟedˈæn
əvəz	ævˈæz
Kiçik	cit͡ʃˈiç
səs	sˈæs
sadə	sˈadæ
ilkin	ilcˈin
rayonu	rajonˈu
tərcümə	tærd͡ʒˈymæ
ölkədə	œlcˈædæ
alman	aɫmˈan
xəbər	xæbˈær
ədəbi	ædæbˈi
Film	fˈilm
alan	aɫˈan
Hacı	had͡ʒˈɯ
olunması	oɫunmasˈɯ
ortaya	ortajˈa
idilər	idilˈær
iddia	iddiˈa
dərin	dæɾˈin
fəal	fæˈaɫ
gedir	ɟedˈir
səbəbi	sæbæbˈi
Son	sˈon
təsərrüfatı	tæsærryfatˈɯ
Sultan	suɫtˈan
həmişə	hæmˈiʃæ
bağlıdır	baːɫɯdˈɯr
özündə	œzˈyndæ
hiss	hˈiss
zəif	zæˈif
keçən	cet͡ʃˈæn
Qədim	ɡædˈim
nail	nˈa͡ɪl
uğrunda	uːɾundˈa
ərazisi	æɾazisˈi
mədəniyyət	mædænijjˈæt
çayı	t͡ʃajˈɯ
sonralar	sonraɫˈar
onunla	onunɫˈa
çatır	t͡ʃatˈɯr
Nəticədə	nætid͡ʒˈædæ
qalib	ɡalˈib
şəhərinin	ʃæhæɾinˈin
deyir	dejˈir
Əsas	æsˈas
yaşlı	jaʃɫˈɯ
tanış	tanˈɯʃ
nəzarət	næzaɾˈæt
bitki	bitcˈi
imtina	imtinˈa
ədəd	ædˈæd
III	ɯɯˈɯ
dəmir	dæmˈir
məqsədilə	mæɡsædˈilæ
ordusu	ordusˈu
gəlmişdir	ɟælmiʃdˈir
təltif	tæltˈif
çoxu	t͡ʃoxˈu
indiki	indicˈi
rolu	roɫˈu
qrupu	ɡrupˈu
Elə	ˈelæ
təsadüf	tæsadˈyf
idman	idmˈan
vacib	vad͡ʒˈib
çayının	t͡ʃajɯnˈɯn
Fransa	fransˈa
aydın	ajdˈɯn
işıq	iʃˈɯx
əksəriyyəti	æçsæɾijjætˈi
kifayət	cifajˈæt
vəzifəsində	væzifæsˈindæ
ayının	ajɯnˈɯn
müəllim	myællˈim
elektrik	eleçtrˈiç
Hərbi	hærbˈi
sənaye	sænajˈe
bildirir	bildiɾˈir
yoldaşı	joɫdaʃˈɯ
anası	anasˈɯ
əmək	æmˈæç
olduğundan	oɫduːndˈan
şey	ʃˈej
polis	polˈis
eni	enˈi
olurlar	oɫurɫˈar
hökuməti	hœcumætˈi
hazırda	hazɯrdˈa
Çox	t͡ʃˈox
quru	ɡuɾˈu
rayon	rajˈon
dərc	dˈærd͡ʒ
may	mˈaj
günü	ɟynˈy
kəskin	cæscˈin
qarşısını	ɡarʃɯsɯnˈɯ
verilən	veɾilˈæn
Bakıda	bacɯdˈa
müraciət	myɾad͡ʒiˈæt
indi	indˈi
etibarən	et͡sibaɾˈæn
memarlıq	memarɫˈɯx
Əliyev	ælijˈev
qarşılıqlı	ɡarʃɯɫɯɡɫˈɯ
əvvəllərində	ævvællæɾˈindæ
üzvləri	yzvlæɾˈi
kitabı	citabˈɯ
xanım	xanˈɯm
Universiteti	universit͡set͡sˈi
mürəkkəb	myɾæçcˈæb
nadir	nadˈir
gecə	ɟˈed͡ʒæ
çətin	t͡ʃætˈin
sərbəst	særbˈæst
Şəhər	ʃæhˈær
müharibəsi	myhaɾibæsˈi
filmi	filmˈi
müsəlman	mysælmˈan
göstərmişdir	ɟœstærmiʃdˈir
əhalisinin	æhalisinˈin
istehsalı	istehsaɫˈɯ
köhnə	cˈœhnæ
əsasını	æsasɯnˈɯ
icazə	id͡ʒˈazæ
sadəcə	sadˈæd͡ʒæ
əl	ˈæl
hazırlanmış	hazɯrɫanmˈɯʃ
Mən	mˈæn
Hüseyn	hysˈejn
müvafiq	myvafˈix
ibn	ˈibn
birbaşa	birbaʃˈa
təsdiq	tæsdˈix
sayılır	sajɯɫˈɯr
müddətdə	myddˈætdæ
hadisə	hadˈisæ
şəhid	ʃæhˈid
tədris	tædrˈis
daşıyır	daʃɯjˈɯr
işlər	iʃlˈær
de	de
gizli	ɟizlˈi
qaldı	ɡaɫdˈɯ
qüvvələri	ɡyvvælæɾˈi
öncə	ˈœnd͡ʒæ
isti	istˈi
yenə	jˈenæ
tipli	tiplˈi
dövr	dˈœvər
Müasir	myasˈir
sədri	sædrˈi
əvvəlcə	ævvˈæld͡ʒæ
işçi	iʃt͡ʃˈi
hündürlüyü	hyndyrlyjˈy
edilə	edˈilæ
The	thˈe
fiziki	fizicˈi
görkəmli	ɟœrcæmlˈi
müsbət	mysbˈæt
altı	aɫtˈɯ
onlardan	onɫardˈan
sol	sˈoɫ
aradan	aɾadˈan
maraqlı	maɾaɡɫˈɯ
müəllifi	myællifˈi
bilən	bilˈæn
cəmi	d͡ʒæmˈi
etməklə	etmˈæçlæ
kəndin	cændˈin
Roma	romˈa
müəllifidir	myællifidˈir
Xəzər	xæzˈær
əsrlərdə	æsrlˈærdæ
icra	id͡ʒrˈa
Müqəddəs	myɡæddˈæs
fikir	ficˈir
yazdığı	jazdɯɯˈɯ
Şah	ʃˈah
hüquq	hyɡˈux
ənənəvi	ænænævˈi
dil	dˈil
dövrün	dœvrˈyn
Qərbi	ɡærbˈi
qaz	ɡˈaz
deyildi	dejildˈi
yerlərdə	jerlˈærdæ
adi	adˈi
saylı	sajɫˈɯ
rəhbəri	ræhbæɾˈi
fransız	fransˈɯz
texniki	texnicˈi
ölümündən	œlymyndˈæn
şair	ʃˈa͡ɪr
ad	ˈad
həlak	hæɫˈaç
işğal	iʃɣˈaɫ
Şərqi	ʃærɡˈi
Qırmızı	ɡɯrmɯzˈɯ
yardım	jardˈɯm
dərs	dˈærs
növbəti	nœvbætˈi
hökumət	hœcumˈæt
vaxtı	vaxtˈɯ
tanınır	tanɯnˈɯr
göstərmək	ɟœstærmˈæç
qan	ɡˈan
Həsən	hæsˈæn
vəziyyətdə	væzijjˈætdæ
gətirib	ɟætiɾˈib
etmişlər	etmiʃlˈær
maliyyə	malˈijjæ
vasitəsi	vasitæsˈi
qız	ɡˈɯz
rolunu	roɫunˈu
dəvət	dævˈæt
Rayon	rajˈon
ana	anˈa
Gəncə	ɟˈænd͡ʒæ
nəfərdən	næfærdˈæn
tez	tˈez
miqdarda	miɡdardˈa
mərkəzində	mærcæzˈindæ
edilmişdi	edilmiʃdˈi
in	in
Qızıl	ɡɯzˈɯɫ
ön	ˈœn
Hətta	hættˈa
formada	formadˈa
birində	biɾˈindæ
kütləvi	cytlævˈi
sübut	sybˈut
sürətlə	syɾˈætlæ
yanına	janɯnˈa
başlayaraq	baʃɫajaɾˈax
əsl	ˈæsl
dərhal	dærhˈaɫ
ailəsi	a͡ɪlæsˈi
km²	kˌaˈemicˈi
elmləri	elmlæɾˈi
deyildir	dejildˈir
əlaqə	æɫˈaɡæ
məsələn	mæsælˈæn
yanvar	janvˈar
mart	mˈart
olmasını	oɫmasɯnˈɯ
ləğv	lˈæːv
sahilində	sahilˈindæ
yaradılmışdır	jaɾadɯɫmɯʃdˈɯr
sovet	sovˈet
bununla	bununɫˈa
ehtimal	ehtimˈaɫ
görünür	ɟœɾynˈyr
yaranır	jaɾanˈɯr
miqdarı	miɡdaɾˈɯ
doktoru	doçtoɾˈu
yola	joɫˈa
yaradılması	jaɾadɯɫmasˈɯ
teatr	teˈatər
əsər	æsˈær
uğurlu	uːrɫˈu
çevrilir	t͡ʃevrilˈir
baxımdan	baxɯmdˈan
sahədə	sahˈædæ
təkcə	tˈæçd͡ʒæ
iyul	ijˈuɫ
keçirir	cet͡ʃiɾˈir
nın	nˈɯn
iyun	ijˈun
nin	nˈin
fəaliyyətini	fæalijjætinˈi
mahnı	mahnˈɯ
tədqiqat	tædɡiɡˈat
çıxdı	t͡ʃɯxdˈɯ
şah	ʃˈah
aprel	aprˈel
olurdu	oɫurdˈu
ordu	ordˈu
qol	ɡˈoɫ
çalışmışdır	t͡ʃaɫɯʃmɯʃdˈɯr
canlı	d͡ʒanɫˈɯ
etməyi	etmæjˈi
Kəndin	cændˈin
Rusiyanın	rusijanˈɯn
kimyəvi	cimjævˈi
yazılmış	jazɯɫmˈɯʃ
PKK	pˌekˌakˈa
məlumatlar	mæɫumatɫˈar
tərəfində	tæɾæfˈindæ
ətraf	ætrˈaf
aldığı	aɫdɯɯˈɯ
xətti	xættˈi
mən	mˈæn
düz	dˈyz
müqəddəs	myɡæddˈæs
pis	pˈis
Məhz	mˈæhz
forması	formasˈɯ
başçısı	baʃt͡ʃɯsˈɯ
istiqamətində	istiɡamætˈindæ
Rus	rˈus
birinin	biɾinˈin
dekabr	decˈabər
maddi	maddˈi
Kənddə	cˈænddæ
köməyi	cœmæjˈi
onda	ondˈa
tarix	taɾˈix
aparılan	apaɾɯɫˈan
səbəbindən	sæbæbindˈæn
yaşıl	jaʃˈɯɫ
qalmış	ɡaɫmˈɯʃ
yaşı	jaʃˈɯ
yerində	jeɾˈindæ
professor	professˈor
qeydə	ɡˈejdæ
dövlətin	dœvlætˈin
yaşadığı	jaʃadɯɯˈɯ
ölüm	œlˈym
alim	alˈim
müavini	myavinˈi
nəticədə	nætid͡ʒˈædæ
ölkələrdə	œlcælˈærdæ
qalmışdır	ɡaɫmɯʃdˈɯr
əsgər	æsɟˈær
sənət	sænˈæt
maraq	maɾˈax
çoxsaylı	t͡ʃoxsajɫˈɯ
İnstitutunun	institutunˈun
Qərb	ɡˈærb
parlaq	parɫˈax
hakim	hacˈim
klassik	çɫassˈiç
İbrahim	ibrahˈim
başlayıb	baʃɫajˈɯb
olduğuna	oɫduːnˈa
səviyyəsindən	sævijjæsindˈæn
sərt	sˈært
Asiya	ˈasia
fəxri	fæxrˈi
filmin	filmˈin
tutan	tutˈan
aylarında	ajɫaɾɯndˈa
qida	ɡidˈa
vermiş	vermˈiʃ
vermək	vermˈæç
bina	binˈa
dəfələrlə	dæfælˈærlæ
sisteminin	sisteminˈin
mənasını	mænasɯnˈɯ
növləri	nœvlæɾˈi
oynayır	ojnajˈɯr
qazandı	ɡazandˈɯ
kilsə	cˈilsæ
hadisələr	hadisælˈær
sülh	sˈylh
ordusunun	ordusunˈun
tərtib	tærtˈib
Qeyd	ɡˈejd
tabe	tabˈe
əsərində	æsæɾˈindæ
tələbə	tælˈæbæ
ərazilərdə	æɾazilˈærdæ
fəaliyyətinə	fæalijjætˈinæ
işləmişdir	iʃlæmiʃdˈir
adları	adɫaɾˈɯ
bəyin	bæjˈin
oktyabr	oçtjˈabər
görülmüşdür	ɟœɾylmyʃdˈyr
Allah	aɫɫˈah
hüququ	hyɡuɡˈu
Bəzən	bæzˈæn
temperatur	tempeɾatˈur
göstərilir	ɟœstæɾilˈir
mənfi	mænfˈi
prosesi	prosesˈi
tarixli	taɾixlˈi
verildi	veɾildˈi
şirkəti	ʃircætˈi
