ँ	ə̃
अख़बारवाला	əxbäːɾʋäːl̪äː
अखाड़ा	əkʰäːɽäː
अखिल	əkʰɪl̪
अखिलेश	əkʰɪl̪eːʃ
अगरतला	əɡəɾt̪əl̪äː
अगरबत्ती	əɡəɾbət̪̚t̪iː
अगला	əɡl̪äː
अगवानी	əɡʋäːn̪iː
अगस्त	əɡəs̪t̪
अगाऊ	əɡäːuː
अगिन	əɡɪ̃n̪
अगुआ	əɡʊäː
अग्नि	əɡn̪iː
अग्निपरीक्षा	əɡn̪ɪpəɾiːkʃäː
अग्निशस्त्र	əɡn̪ɪʃəs̪t̪ɾᵊ
अग्निशामक	əɡn̪ɪʃäːmək
अग्न्याशय	əɡn̪jäːʃəj
अग्रवाल	əɡɾᵊʋäːl̪
अग्रहायण	əɡɾəɦäːjə̃ɳ
अग्रिम	əɡɾɪ̃m
अग्रिमता	əɡɾɪ̃mt̪äː
अचंभा	ət͡ʃə̃mbʱäː
अचकन	ət͡ʃkə̃n̪
अचानक	ət͡ʃäːn̪ək
अच्छा	ət̚t͡ʃʰäː
अच्छाई	ət̚t͡ʃʰäːiː
अच्छापन	ət̚t͡ʃʰäːpə̃n̪
अछना	ət͡ʃʰn̪äː
अछूता	ət͡ʃʰuːt̪äː
अजनबियत	əd͡ʒn̪əbijət̪
अजनबी	əd͡ʒn̪əbiː
अजवाइन	əd͡ʒʋäːɪ̃n̪
अज़दहा	əd͡ʒd̪əɦäː
अज़दहा	əzd̪əɦäː
अज़रबैजान	əd͡ʒəɾbɛːd͡ʒä̃ːn̪
अज़रबैजान	əzəɾbɛːd͡ʒä̃ːn̪
अज़ान	əd͡ʒä̃ːn̪
अज़ान	əzä̃ːn̪
अज़ाब	əd͡ʒäːb
अज़ाब	əzäːb
अज़ीम	əd͡ʒĩːm
अज़ीम	əzĩːm
अजाइब	əd͡ʒäːɪb
अजान	əd͡ʒä̃ːn̪
अजायबघर	əd͡ʒäːjəbɡʱəɾ
अजिल्द	əd͡ʒɪl̪d̪
अजूबा	əd͡ʒuːbäː
अजेंडा	əd͡ʒẽːɳɖäː
अज्ञात	əɡjäːt̪
अज्ञानपन	əɡjä̃ːn̪pə̃n̪
अज्ञेयवाद	əɡjeːjʋäːd̪
अज्ञेयवादी	əɡjeːjʋäːd̪iː
अझ़दहा	əzd̪əɦäː
अझ़दहा	əʒd̪əɦäː
अटकना	əʈəkn̪äː
अटकल	əʈkəl̪
अटकलपच्चू	əʈkəl̪pət̚t͡ʃuː
अटकाना	əʈkäːn̪äː
अटकाव	əʈkäːʋ
अटपटा	əʈpəʈäː
अटल	əʈəl̪
अटारी	əʈäːɾiː
अट्टालिका	əʈ̚ʈäːl̪ɪkäː
अट्ठा	əʈ̚ʈʰäː
अट्ठाईस	əʈ̚ʈʰäːiːs̪
अट्ठानवे	əʈ̚ʈʰä̃ːn̪weː
अट्ठावन	əʈ̚ʈʰäːʋə̃n̪
अट्ठासी	əʈ̚ʈʰäːs̪iː
अठन्नी	əʈʰə̃n̪n̪iː
अठपहिया	əʈʰpəiːjäː
अठपहिया	əʈʰpəɦijäː
अठहत्तर	əʈʰɦət̪̚t̪əɾ
अठारह	əʈʰäːɾəɦ
अड़ंगा	əɽə̃ŋɡäː
अड़चन	əɽt͡ʃə̃n̪
अड़तालीस	əɽt̪äːl̪iːs̪
अड़तीस	əɽt̪iːs̪
अड़ना	əɽn̪äː
अड़सठ	əɽs̪əʈʰ
अड़ाना	əɽäːn̪äː
अड़ियल	əɽijəl̪
अण्डा	ə̃ɳɖäː
अतिकाल	ət̪ɪkäːl̪
अतिवाद	ət̪ɪʋäːd̪
अतिवादी	ət̪ɪʋäːd̪iː
अतिसंवेदनशील	ət̪ɪs̪ə̃mweːd̪ə̃n̪ʃiːl̪
अतिसार	ət̪ɪs̪äːɾ
अतुलित	ət̪ʊl̪ɪt̪
अतुल्य	ət̪ʊl̪jᵊ
अत्फ़ाल	ət̪fäːl̪
अत्फ़ाल	ət̪pʰäːl̪
अत्यंत	ət̪jə̃n̪t̪
अत्यन्त	ət̪jə̃n̪t̪
अत्याचार	ət̪jäːt͡ʃäːɾ
अत्याचारी	ət̪jäːt͡ʃäːɾiː
अत्यावश्यक	ət̪jäːʋəʃjək
अत्युत्तम	ət̪jʊt̪̚t̪ə̃m
अथवा	ət̪ʰʋäː
अथाह	ət̪ʰäːɦ
अदहन	əd̪ɦə̃n̪
अदा	əd̪äː
अदाकार	əd̪äːkäːɾ
अदालत	əd̪äːl̪ət̪
अदालती	əd̪äːl̪ət̪iː
अदावत	əd̪äːʋət̪
अद्यतन	əd̪jət̪ə̃n̪
अद्यापि	əd̪jäːpiː
अधिकतम	əd̪ʱɪkt̪ə̃m
अधिकता	əd̪ʱɪkt̪äː
अधिकरण	əd̪ʱɪkəɾə̃ɳ
अधिकार	əd̪ʱɪkäːɾ
अधिकारिणी	əd̪ʱɪkäːɾɪɳiː
अधिकारिता	əd̪ʱɪkäːɾɪt̪äː
अधिकारी	əd̪ʱɪkäːɾiː
अधिनायक	əd̪ʱɪn̪äːjək
अधिनियम	əd̪ʱɪn̪ijə̃m
अधिभार	əd̪ʱɪbʱäːɾ
अधिमास	əd̪ʱɪmäːs̪
अधिलाभ	əd̪ʱɪl̪äːbʱ
अधिवक्ता	əd̪ʱɪʋəkt̪äː
अधिवार्षिकी	əd̪ʱɪʋäːɾʃɪkiː
अधिवेशन	əd̪ʱɪʋeːʃə̃n̪
अधिसूचना	əd̪ʱɪs̪uːt͡ʃn̪äː
अधिसूचित	əd̪ʱɪs̪uːt͡ʃɪt̪
अधीक्षक	əd̪ʱiːkʃək
अधीक्षण	əd̪ʱiːkʃə̃ɳ
अधीन	əd̪ʱĩːn̪
अधीनता	əd̪ʱĩːn̪t̪äː
अधीरता	əd̪ʱiːɾt̪äː
अधुना	əd̪ʱʊn̪äː
अधूरा	əd̪ʱuːɾäː
अधोहस्ताक्षरी	əd̪ʱoːɦəs̪t̪äːkʃəɾiː
अध्यक्ष	əd̪ʱjəkʃ
अध्यक्षता	əd̪ʱjəkʃt̪äː
अध्ययन	əd̪ʱjəjə̃n̪
अध्ययन	əd̪ʱjə̃n̪
अध्यादेश	əd̪ʱjäːd̪eːʃ
अध्यापक	əd̪ʱjäːpək
अध्यापिका	əd̪ʱjäːpɪkäː
अध्याय	əd̪ʱjäːj
अनंतपुर	ən̪ə̃n̪t̪pʊɾ
अनकटा	ə̃n̪kəʈäː
अनकहा	ə̃n̪kəɦäː
अनखिला	ə̃n̪kʰɪl̪äː
अनगढ़	ə̃n̪ɡəɽʱ
अनगिनत	ə̃n̪ɡɪn̪ət̪
अनचखा	ə̃n̪t͡ʃəkʰäː
अनचाहा	ə̃n̪t͡ʃäːɦäː
अनजाना	ə̃n̪d͡ʒäːn̪äː
अनजाने	ə̃n̪d͡ʒäːn̪eː
अनदेखा	ə̃n̪d̪eːkʰäː
अननुमेय	ə̃n̪n̪ʊmeːj
अनन्नास	ən̪ə̃n̪n̪äːs̪
अनपच	ə̃n̪pət͡ʃ
अनपढ़	ə̃n̪pəɽʱ
अनब्याहा	ə̃n̪bjäːɦäː
अनमना	ə̃n̪mən̪äː
अनमोल	ə̃n̪moːl̪
अनर्थ	ən̪əɾt̪ʰ
अनशन	ə̃n̪ʃə̃n̪
अनसुना	ə̃n̪s̪ʊn̪äː
अनस्तित्व	ən̪əs̪t̪ɪt̪wᵊ
अनहोनी	ə̃n̪ɦoːn̪iː
अनाचार	ən̪äːt͡ʃäːɾ
अनाज	ən̪äːd͡ʒ
अनाड़ी	ən̪äːɽiː
अनातोली	ən̪äːt̪oːl̪iː
अनाथालय	ən̪äːt̪ʰäːl̪əj
अनाधिकारिक	ən̪äːd̪ʱɪkäːɾɪk
अनाम	ən̪ä̃ːm
अनामिका	ən̪äːmɪkäː
अनार	ən̪äːɾ
अनारदाना	ən̪äːɾd̪äːn̪äː
अनावश्यक	ən̪äːʋəʃjək
अनिच्छा	ən̪ɪt̚t͡ʃʰäː
अनिद्रा	ən̪ɪd̪ɾäː
अनियंत्रित	ən̪ijə̃n̪t̪ɾɪt̪
अनियमित	ən̪ijəmɪt̪
अनियमितता	ən̪ijəmɪt̪̚t̪äː
अनिवार्य	ən̪ɪʋäːɾjᵊ
अनिवार्यतः	ən̪ɪʋäːɾjət̪əɦ
अनिश्चित	ən̪ɪʃt͡ʃɪt̪
अनिश्चितता	ən̪ɪʃt͡ʃɪt̪̚t̪äː
अनुकरण	ən̪ʊkəɾə̃ɳ
अनुकूल	ən̪ʊkuːl̪
अनुकूलन	ən̪ʊkuːl̪ə̃n̪
अनुगृहीत	ən̪ʊɡɾɪɦiːt̪
अनुग्रह	ən̪ʊɡɾəɦ
अनुचित	ən̪ʊt͡ʃɪt̪
अनुच्छेद	ən̪ʊt̚t͡ʃʰeːd̪
अनुज्ञप्ति	ən̪ʊɡjəpt̪iː
अनुदान	ən̪ʊd̪ä̃ːn̪
अनुनय	ən̪ʊn̪əj
अनुनाद	ən̪ʊn̪äːd̪
अनुनासिक	ən̪ʊn̪äːs̪ɪk
अनुनासिकता	ən̪ʊn̪äːs̪ɪkt̪äː
अनुपजाऊ	ən̪ʊpd͡ʒäːuː
अनुपम	ən̪ʊpə̃m
अनुपयोगी	ən̪ʊpjoːɡiː
अनुपस्थित	ən̪ʊpəs̪t̪ʰɪt̪
अनुपस्थिति	ən̪ʊpəs̪t̪ʰɪt̪iː
अनुपात	ən̪ʊpäːt̪
अनुपूरक	ən̪ʊpuːɾək
अनुप्रयुक्त	ən̪ʊpɾəjʊkt̪
अनुप्रास	ən̪ʊpɾäːs̪
अनुभव	ən̪ʊbʱəʋ
अनुभवी	ən̪ʊbʱəʋiː
अनुभूति	ən̪ʊbʱuːt̪iː
अनुमति	ən̪ʊmət̪iː
अनुमान	ən̪ʊmä̃ːn̪
अनुमानतः	ən̪ʊmä̃ːn̪t̪əɦ
अनुमानित	ən̪ʊmäːn̪ɪt̪
अनुमेय	ən̪ʊmeːj
अनुमोदन	ən̪ʊmoːd̪ə̃n̪
अनुमोदित	ən̪ʊmoːd̪ɪt̪
अनुयायी	ən̪ʊjäːjiː
अनुरक्षण	ən̪ʊɾəkʃə̃ɳ
अनुरागहीनता	ən̪ʊɾäːɡɦĩːn̪t̪äː
अनुरूप	ən̪ʊɾuːp
अनुरोध	ən̪ʊɾoːd̪ʱ
अनुवांशिक	ən̪ʊʋä̃ːn̪ʃɪk
अनुवांशिकी	ən̪ʊʋä̃ːn̪ʃɪkiː
अनुवाद	ən̪ʊʋäːd̪
अनुवादक	ən̪ʊʋäːd̪ək
अनुवादित	ən̪ʊʋäːd̪ɪt̪
अनुशासन	ən̪ʊʃäːs̪ə̃n̪
अनुशासित	ən̪ʊʃäːs̪ɪt̪
अनुशीलन	ən̪ʊʃiːl̪ə̃n̪
अनुष्ठान	ən̪ʊʃʈʰä̃ːn̪
अनुसंधान	ən̪ʊs̪ə̃n̪d̪ʱä̃ːn̪
अनुसरण	ən̪ʊs̪əɾə̃ɳ
अनुस्वार	ən̪ʊs̪ʋäːɾ
अनूठा	ən̪uːʈʰäː
अनूदित	ən̪uːd̪ɪt̪
अनूप	ən̪uːp
अनेक	ən̪eːk
अनेकता	ən̪eːkt̪äː
अनेकानेक	ən̪eːkäːn̪eːk
अनौपचारिक	ən̪ɔːpt͡ʃäːɾɪk
अन्त	ə̃n̪t̪
अन्तरिक्ष	ə̃n̪t̪əɾɪkʃ
अन्तर्गत	ə̃n̪t̪əɾɡət̪
अन्दर	ə̃n̪d̪əɾ
अन्न	ə̃n̪n̪ᵊ
अन्य	ə̃n̪jə
अन्यथा	ə̃n̪jət̪ʰäː
अन्याय	ə̃n̪jäːj
अन्यायपूर्ण	ə̃n̪jäːjpuːɾɳ
अन्यायी	ə̃n̪jäːjiː
अपकार	əpkäːɾ
अपक्व	əpəkwə
अपना	əpn̪äː
अपमान	əpmä̃ːn̪
अपमानजनक	əpmä̃ːn̪d͡ʒən̪ək
अपमानित	əpmäːn̪ɪt̪
अपराध	əpɾäːd̪ʱ
अपराधिनी	əpɾäːd̪ʱɪn̪iː
अपराधी	əpɾäːd̪ʱiː
अपरिपक्व	əpɾɪpəkwᵊ
अपर्याप्त	əpəɾjäːpt̪
अपलक	əpəl̪ək
अपवाद	əpwäːd̪
अपव्यय	əpwjəj
अपशकुन	əpʃəkʊ̃n̪
अपसामान्य	əps̪äːmä̃ːn̪jᵊ
अपहरण	əpɦəɾə̃ɳ
अपहर्ता	əpʰəɾt̪äː
अपाहिज	əpäːɦɪd͡ʒ
अपेक्षा	əpeːkʃäː
अपेक्षाकृत	əpeːkʃäːkɾɪt̪
अपेक्षित	əpeːkʃɪt̪
अपॉइंटमेंट	əpɔɪ̃ɳʈmẽːɳʈ
अप्रकाशित	əpɾəkäːʃɪt̪
अप्रचलित	əpɾət͡ʃəl̪ɪt̪
अप्रत्यक्ष	əpɾət̪jəkʃ
अप्रत्याशित	əpɾət̪jäːʃɪt̪
अप्रसन्न	əpɾəs̪ə̃n̪n̪ᵊ
अप्रैल	əpɾɛːl̪
अप्सरा	əps̪əɾäː
अफगानिस्तान	əfɣäːn̪ɪs̪t̪ä̃ːn̪
अफगानिस्तान	əpʰɡäːn̪ɪs̪t̪ä̃ːn̪
अफरना	əpʰəɾn̪äː
अफसर	əfs̪əɾ
अफसर	əpʰs̪əɾ
अफ़लातून	əfl̪äːt̪ũːn̪
अफ़लातून	əpʰl̪äːt̪ũːn̪
अफ़वाह	əfʋäːɦ
अफ़वाह	əpʰʋäːɦ
अफ़सर	əfs̪əɾ
अफ़सर	əpʰs̪əɾ
अफ़साना	əfs̪äːn̪äː
अफ़साना	əpʰs̪äːn̪äː
अफ़सोसजनक	əfs̪oːs̪d͡ʒən̪ək
अफ़सोसजनक	əpʰs̪oːs̪d͡ʒən̪ək
अफ़ीम	əfĩːm
अफ़ीम	əpʰĩːm
अफ़ीमची	əfĩːmt͡ʃiː
अफ़ीमची	əpʰĩːmt͡ʃiː
अफ़्ग़ानिस्तान	əfɣäːn̪ɪs̪t̪ä̃ːn̪
अफ़्ग़ानिस्तान	əpʰɡäːn̪ɪs̪t̪ä̃ːn̪
अफ़्रीका	əfɾiːkäː
अफ़्रीका	əpʰɾiːkäː
अफ़्साना	əfs̪äːn̪äː
अफ़्साना	əpʰs̪äːn̪äː
अफीम	əfĩːm
अफीम	əpʰĩːm
अबटाबाद	əbʈäːbäːd̪
अबाबील	əbäːbiːl̪
अबिचल	əbɪt͡ʃəl̪
अबिवात्त	əbɪʋäːt̪t̪
अब्बा	əb̚bäː
अभयारण्य	əbʱjäːɾə̃ɳjᵊ
अभागा	əbʱäːɡäː
अभाव	əbʱäːʋ
अभिकथन	əbʱɪkət̪ʰə̃n̪
अभिकलित्र	əbʱɪkəl̪ɪt̪ɾᵊ
अभिकारक	əbʱɪkäːɾək
अभिक्रिया	əbʱɪkɾijäː
अभिगम	əbʱɪɡə̃m
अभिनंदन	əbʱɪn̪ə̃n̪d̪ə̃n̪
अभिनय	əbʱɪn̪əj
अभिनेता	əbʱɪn̪eːt̪äː
अभिनेत्री	əbʱɪn̪eːt̪ɾiː
अभिप्राय	əbʱɪpɾäːj
अभिभावक	əbʱɪbʱäːʋək
अभिमानी	əbʱɪmäːn̪iː
अभियंता	əbʱijə̃n̪t̪äː
अभियंत्रण	əbʱijə̃n̪t̪ɾə̃ɳ
अभियंत्रिकी	əbʱijə̃n̪t̪ɾɪkiː
अभियन्ता	əbʱijə̃n̪t̪äː
अभियांत्रिकी	əbʱijä̃ːn̪t̪ɾɪkiː
अभियान	əbʱijä̃ːn̪
अभियुक्त	əbʱijʊkt̪
अभियोक्ता	əbʱijoːkt̪äː
अभियोग	əbʱijoːɡ
अभियोजक	əbʱijoːd͡ʒək
अभिलाषा	əbʱɪl̪äːʃäː
अभिलेख	əbʱɪl̪eːkʰ
अभिवादन	əbʱɪʋäːd̪ə̃n̪
अभ्यंग	əbʱjə̃ŋɡ
अभ्यस्त	əbʱjəs̪t̪
अभ्यागत	əbʱjäːɡət̪
अभ्यास	əbʱjäːs̪
अभ्यासक्रम	əbʱjäːs̪kɾə̃m
अभ्यासवश	əbʱjäːs̪ʋəʃ
अमचूर	ə̃mt͡ʃuːɾ
अमन	əmə̃n̪
अमरावती	ə̃mɾäːʋət̪iː
अमरीका	ə̃mɾiːkäː
अमरूद	ə̃mɾuːd̪
अमल	əməl̪
अमानत	əmäːn̪ət̪
अमानती	əmäːn̪ət̪iː
अमानवीय	əmäːn̪əʋiːjᵊ
अमानवीयता	əmäːn̪əʋiːjət̪äː
अमान्य	əmä̃ːn̪jᵊ
अमावस	əmäːʋəs̪
अमाशय	əmäːʃəj
अमूल्य	əmuːl̪jᵊ
अमृत	ə̃mɾɪt̪
अमृतसर	ə̃mɾɪt̪s̪əɾ
अमेरिकन	əmeːɾɪkə̃n̪
अमेरिका	əmeːɾɪkäː
अम्बर	ə̃mbəɾ
अम्मा	ə̃mmäː
अम्माँ	ə̃mmä̃ː
अम्मी	ə̃mmiː
अम्ल	ə̃ml̪ᵊ
अम्लता	ə̃ml̪ᵊt̪äː
अम्लपित्त	ə̃ml̪əpɪt̪t̪
अम्लपित्त	ə̃ml̪ᵊpɪt̪t̪
अम्लीय	ə̃ml̪iːjᵊ
अयनांत	əjən̪ä̃ːn̪t̪
अयस्	əjəs̪
अयस्क	əjəs̪k
अयोग्यता	əjoːɡjət̪äː
अयोध्या	əjoːd̪ʱjäː
अरंडी	əɾə̃ɳɖiː
अरक्तता	əɾəkt̪̚t̪äː
अरगनी	əɾəɡn̪iː
अरदली	əɾd̪əl̪iː
अरबिंद	əɾbɪ̃n̪d̪
अरमान	əɾmä̃ːn̪
अरविंद	əɾʋɪ̃n̪d̪
अरसा	əɾs̪äː
अरस्तू	əɾəs̪t̪uː
अराजक	əɾäːd͡ʒək
अराजकता	əɾäːd͡ʒəkt̪äː
अराजकवाद	əɾäːd͡ʒəkwäːd̪
अराजकवादी	əɾäːd͡ʒəkwäːd̪iː
अरारोट	əɾäːɾoːʈ
अरिहंत	əɾɪɦə̃n̪t̪
अरोरा	əɾoːɾäː
अर्जन	əɾd͡ʒə̃n̪
अर्जुन	əɾd͡ʒʊ̃n̪
अर्जेंटीना	əɾd͡ʒẽːɳʈiːn̪äː
अर्जेण्टीना	əɾd͡ʒẽːɳʈiːn̪äː
अर्जेन्टीना	äːɾd͡ʒẽːɳʈiːn̪äː
अर्थव्यवस्था	əɾt̪ʰəʋjəʋəs̪t̪ʰäː
अर्थशास्त्री	əɾt̪ʰəʃäːs̪t̪ɾiː
अर्थहीन	əɾt̪ʰɦĩːn̪
अर्थात	əɾt̪ʰäːt̪
अर्थात्	əɾt̪ʰäːt̪
अर्थालंकार	əɾt̪ʰäːl̪ə̃ŋkäːɾ
अर्दली	əɾd̪əl̪iː
अर्धकुशल	əɾd̪ʱkʊʃəl̪
अर्धतत्सम	əɾd̪ʱət̪ət̪s̪ə̃m
अर्धवार्षिक	əɾd̪ʱʋäːɾʃɪk
अर्धविकसित	əɾd̪ʱʋɪks̪ɪt̪
अर्धशिक्षित	əɾd̪ʱʃɪkʃɪt̪
अर्धसरकारी	əɾd̪ʱs̪əɾkäːɾiː
अर्धसाप्ताहिक	əɾd̪ʱs̪äːpt̪äːɦɪk
अर्धांगिनी	əɾd̪ʱä̃ːŋɡɪn̪iː
अर्धायु	əɾd̪ʱäːjuː
अर्पण	əɾpə̃ɳ
अर्यमा	əɾjəmäː
अलंकार	əl̪ə̃ŋkäːɾ
अलंकृत	əl̪ə̃ŋkɾɪt̪
अलक़तरा	əl̪kət̪ɾäː
अलक़तरा	əl̪qət̪ɾäː
अलगाना	əl̪ɡäːn̪äː
अलगाव	əl̪ɡäːʋ
अलगाववाद	əl̪ɡäːʋʋäːd̪
अलगाववादी	əl̪ɡäːʋʋäːd̪iː
अलबता	əl̪bət̪äː
अलबत्ता	əl̪bət̪̚t̪äː
अलबम	əl̪bə̃m
अलम	əl̪ə̃m
अलमारी	əl̪mäːɾiː
अलम्	əl̪ə̃m
अलविदा	əl̪ʋɪd̪äː
अलसाना	əl̪s̪äːn̪äː
अलहदा	əl̪ɛɦd̪äː
अलादीन	əl̪äːd̪ĩːn̪
अलापना	əl̪äːpn̪äː
