ա	ɑ
ալեւոր	ɑlɛvɔɾ
ալեքսանդր	ɑlɛkʰsɑndəɾ
ալեքսանդրիա	ɑlɛkʰsɑndɾjɑ
ալժիր	ɑlʒiɾ
ալի	ɑli
ալիբի	ɑlibi
ալիգատոր	ɑliɡɑtɔɾ
ալիեւ	ɑlijɛv
ալինա	ɑlinɑ
ալիստեր	ɑlistɛɾ
ալիք	ɑlikʰ
ալլահ	ɑlːɑh
ալկայոս	ɑlkɑjɔs
ալկաշ	ɑlkɑʃ
ալկիբիադես	ɑlkibjɑdɛs
ալկիոն	ɑlkiɔn
ալկման	ɑlkmɑn
ալկմենե	ɑlkmɛnɛ
ալկոգել	ɑlkɔɡɛl
ալկոհոլ	ɑlkɔhɔl
ալկոհոլային	ɑlkɔhɔlɑjin
ալկոհոլիզմ	ɑlkɔhɔlizm
ալկոհոլիկ	ɑlkɔhɔlik
ալմաթի	ɑlmɑtʰi
ալմանախ	ɑlmɑnɑχ
ալմաս	ɑlmɑs
ալմաստ	ɑlmɑst
ալյանս	ɑljɑns
ալյասկա	ɑljɑskɑ
ալյումին	ɑljumin
ալյումինում	ɑljuminum
ալյուր	ɑljuɾ
ալոե	ɑlɔɛ
ալոճ	ɑlɔt͡ʃ
ալոճենի	ɑlɔt͡ʃɛni
ալոջ	ɑlɔd͡ʒ
ալուցք	ɑlut͡sʰkʰ
ալպագա	ɑlpɑɡɑ
ալպակ	ɑlpɑk
ալպակա	ɑlpɑkɑ
ալպեր	ɑlpɛɾ
ալպինիզմ	ɑlpinizm
ալպինիստ	ɑlpinist
ալջունիդ	ɑld͡ʒunid
ալտ	ɑlt
ալտերնատիվ	ɑltɛɾnɑtiv
ալք	ɑlkʰ
ալքիմիա	ɑlkʰimjɑ
ալքիմիկոս	ɑlkʰimikɔs
ախալցխա	ɑχɑlt͡sʰəχɑ
ախալքալաք	ɑχɑlkʰɑlɑkʰ
ախալքալաքի	ɑχɑlkʰɑlɑkʰi
ախոյան	ɑχɔjɑn
ախոռ	ɑχɔr
ախորժ	ɑχɔɾʒ
ախորժակ	ɑχɔɾʒɑk
ախուրյան	ɑχuɾjɑn
ախպար	ɑχpɑɾ
ախպեր	ɑχpɛɾ
ախտ	ɑχt
ախտաբան	ɑχtɑbɑn
ախտարար	ɑχtɑɾɑɾ
ախտորոշել	ɑχtɔɾɔʃɛl
ախտորոշում	ɑχtɔɾɔʃum
ած	ɑt͡s
ածական	ɑt͡sɑkɑn
ածականային	ɑt͡sɑkɑnɑjin
ածանց	ɑt͡sɑnt͡sʰ
ածանցել	ɑt͡sɑnt͡sʰɛl
ածանցյալ	ɑt͡sɑnt͡sʰjɑl
ածել	ɑt͡sɛl
ածելի	ɑt͡sɛli
ածեր	ɑt͡sɛɾ
ածիլել	ɑt͡silɛl
ածիկ	ɑt͡sik
ածխաթթու	ɑt͡sχɑtʰətʰu
ածխածին	ɑt͡sχɑt͡sin
ածու	ɑt͡su
ածուխ	ɑt͡suχ
ածք	ɑt͡skʰ
ակ	ɑk
ակադեմիա	ɑkɑdɛmjɑ
ակահ	ɑkɑh
ական	ɑkɑn
ականակիտ	ɑkɑnɑkit
ականավոր	ɑkɑnɑvɔɾ
ականատես	ɑkɑnɑtɛs
ականի	ɑkɑni
ականջ	ɑkɑnd͡ʒ
ականջակալ	ɑkɑnd͡ʒɑkɑl
ականջատ	ɑkɑnd͡ʒɑt
ականջօղ	ɑkɑnd͡ʒɔʁ
ակիշ	ɑkiʃ
ակն	ɑkən
ակնաբանություն	ɑknɑbɑnutʰjun
ակնաբուժություն	ɑknɑbuʒutʰjun
ակնախնձոր	ɑknɑχənd͡zɔɾ
ակնածալի	ɑknɑt͡sɑli
ակնածալից	ɑknɑt͡sɑlit͡sʰ
ակնածական	ɑknɑt͡sɑkɑn
ակնածանք	ɑknɑt͡sɑŋkʰ
ակնածել	ɑknɑt͡sɛl
ակնածելի	ɑknɑt͡sɛli
ակնածիածան	ɑknɑt͡sijɑt͡sɑn
ակնածոտ	ɑknɑt͡sɔt
ակնածու	ɑknɑt͡su
ակնածություն	ɑknɑt͡sutʰjun
ակնակապիճ	ɑknɑkɑpit͡ʃ
ակնաղբյուր	ɑknɑχpjuɾ
ակնամոմ	ɑknɑmɔm
ակնային	ɑknɑjin
ակնարկ	ɑknɑɾk
ակնեղեն	ɑknɛʁɛn
ակներեւ	ɑknɛɾɛv
ակներեւաբար	ɑknɛɾɛvɑbɑɾ
ակներեւապես	ɑknɛɾɛvɑpɛs
ակներեւորեն	ɑknɛɾɛvɔɾɛn
ակնթարթ	ɑkəntʰɑɾtʰ
ակնկալել	ɑkəŋkɑlɛl
ակնկալիք	ɑkəŋkɑlikʰ
ակնհայտ	ɑkənhɑjt
ակնհայտնի	ɑkənhɑjtni
ակնոց	ɑknɔt͡sʰ
ակոս	ɑkɔs
ակորդեոն	ɑkɔɾdɛɔn
ակութ	ɑkutʰ
ակումբ	ɑkumb
ակունք	ɑkuŋkʰ
ակուշկա	ɑkuʃkɑ
ակռա	ɑkrɑ
ակտինիում	ɑktinijum
ակտիվ	ɑktiv
ակտիվորեն	ɑktivɔɾɛn
ակրոբատ	ɑkɾɔbɑt
ակրոպոլիս	ɑkɾɔpɔlis
ահ	ɑh
ահաբեկ	ɑhɑbɛk
ահաբեկել	ɑhɑbɛkɛl
ահաբեկիչ	ɑhɑbɛkit͡ʃʰ
ահաբեկություն	ɑhɑbɛkutʰjun
ահաբեկում	ɑhɑbɛkum
ահաբեկչական	ɑhɑbɛkt͡ʃʰɑkɑn
ահաբեկչություն	ɑhɑbɛkt͡ʃʰutʰjun
ահաբեկվածություն	ɑhɑbɛkvɑt͡sutʰjun
ահաբեկվել	ɑhɑbɛkvɛl
ահագին	ɑhɑɡin
ահագնանալ	ɑhɑɡnɑnɑl
ահազանգ	ɑhɑzɑŋɡ
ահազանգել	ɑhɑzɑŋɡɛl
ահազանգում	ɑhɑzɑŋɡum
ահազարհուր	ɑhɑzɑɾhuɾ
ահազդ	ɑhɑzd
ահազդեցիկ	ɑhɑzdɛt͡sʰik
ահազդիկ	ɑhɑzdik
ահազդու	ɑhɑzdu
ահահար	ɑhɑhɑɾ
ահարոն	ɑhɑɾɔn
ահեղ	ɑhɛʁ
ահրիման	ɑhɾimɑn
աղ	ɑʁ
աղա	ɑʁɑ
աղագավ	ɑʁɑɡɑv
աղաթոն	ɑʁɑtʰɔn
աղալ	ɑʁɑl
աղախին	ɑʁɑχin
աղաղակ	ɑʁɑʁɑk
աղաղակել	ɑʁɑʁɑkɛl
աղաման	ɑʁɑmɑn
աղամող	ɑʁɑmɔʁ
աղայան	ɑʁɑjɑn
աղանդ	ɑʁɑnd
աղանդավոր	ɑʁɑndɑvɔɾ
աղանդավորական	ɑʁɑndɑvɔɾɑkɑn
աղանդավորություն	ɑʁɑndɑvɔɾutʰjun
աղանդեր	ɑʁɑndɛɾ
աղանձ	ɑʁɑnd͡z
աղանձել	ɑʁɑnd͡zɛl
աղաչանք	ɑʁɑt͡ʃʰɑŋkʰ
աղաչել	ɑʁɑt͡ʃʰɛl
աղասի	ɑʁɑsi
աղավաղ	ɑʁɑvɑʁ
աղավաղել	ɑʁɑvɑʁɛl
աղավնի	ɑʁɑvni
աղատ	ɑʁɑt
աղատել	ɑʁɑtɛl
աղարտել	ɑʁɑɾtɛl
աղաց	ɑʁɑt͡sʰ
աղաֆոն	ɑʁɑfɔn
աղբ	ɑχp
աղբաման	ɑʁbɑmɑn
աղբանոց	ɑχpɑnɔt͡sʰ
աղբարկղ	ɑχpɑɾkəʁ
աղբերակ	ɑχpɛɾɑk
աղբյուս	ɑχpjus
աղբյուր	ɑχpjuɾ
աղբյուրակ	ɑχpjuɾɑk
աղբուտ	ɑχput
աղդամ	ɑʁdɑm
աղեբեկ	ɑʁɛbɛk
աղեկ	ɑʁɛk
աղեղ	ɑʁɛʁ
աղետ	ɑʁɛt
աղերս	ɑʁɛɾs
աղերսանք	ɑʁɛɾsɑŋkʰ
աղերսել	ɑʁɛɾsɛl
աղի	ɑʁi
աղիճ	ɑʁit͡ʃ
աղիողորմ	ɑʁiɔʁɔɾm
աղիք	ɑʁikʰ
աղլուխ	ɑʁluχ
աղխ	ɑχː
աղկաղկ	ɑχkɑχk
աղճատ	ɑχt͡ʃɑt
աղճատել	ɑχt͡ʃɑtɛl
աղմկել	ɑʁməkɛl
աղմուկ	ɑʁmuk
աղյուս	ɑʁjus
աղյուսակ	ɑʁjusɑk
աղյուսե	ɑʁjusɛ
աղյուսյակ	ɑʁjusjɑk
աղոթակեր	ɑʁɔtʰɑkɛɾ
աղոթել	ɑʁɔtʰɛl
աղոթկեր	ɑʁɔtʰkɛɾ
աղոթք	ɑʁɔtʰkʰ
աղոտ	ɑʁɔt
աղորի	ɑʁɔɾi
աղորիք	ɑʁɔɾikʰ
աղու	ɑʁu
աղուն	ɑʁun
աղունիկ	ɑʁunik
աղջամուղջ	ɑʁd͡ʒɑmuʁd͡ʒ
աղջիկ	ɑχt͡ʃʰik
աղջություն	ɑʁd͡ʒutʰjun
աղվամազ	ɑʁvɑmɑz
աղվան	ɑʁvɑn
աղվանք	ɑʁvɑŋkʰ
աղվաշ	ɑʁvɑʃ
աղվես	ɑʁvɛs
աղվեսենի	ɑʁvɛsɛni
աղվոր	ɑʁvɔɾ
աղտ	ɑχt
աղտամուղտ	ɑχtɑmuχt
աղտեղի	ɑχtɛʁi
աղտոտ	ɑχtɔt
աղտոտել	ɑχtɔtɛl
աղցան	ɑχt͡sʰɑn
աղքատ	ɑχkʰɑt
աղքատները	ɑχkʰɑtnɛɾə
աղքատություն	ɑχkʰɑtutʰjun
աճ	ɑt͡ʃ
աճապարել	ɑt͡ʃɑpɑɾɛl
աճառյան	ɑt͡ʃɑrjɑn
աճացնել	ɑt͡ʃɑt͡sʰnɛl
աճել	ɑt͡ʃɛl
աճեմ	ɑt͡ʃɛm
աճեմյան	ɑt͡ʃɛmjɑn
աճեցնել	ɑt͡ʃɛt͡sʰnɛl
աճյուն	ɑt͡ʃjun
աճուկ	ɑt͡ʃuk
աճուրդ	ɑt͡ʃuɾtʰ
աճպարարություն	ɑt͡ʃpɑɾɑɾutʰjun
ամ	ɑm
ամազոն	ɑmɑzɔn
ամայանալ	ɑmɑjɑnɑl
ամայի	ɑmɑji
աման	ɑmɑn
ամանակ	ɑmɑnɑk
ամանոս	ɑmɑnɔs
ամանոր	ɑmɑnɔɾ
ամանորյա	ɑmɑnɔɾjɑ
ամաչել	ɑmɑt͡ʃʰɛl
ամաչկոտ	ɑmɑt͡ʃʰkɔt
ամառ	ɑmɑr
ամառային	ɑmɑrɑjin
ամառանոց	ɑmɑrɑnɔt͡sʰ
ամարաստան	ɑmɑɾɑstɑn
ամբակում	ɑmbɑkum
ամբաստանյալ	ɑmbɑstɑnjɑl
ամբաստանք	ɑmbɑstɑŋkʰ
ամբար	ɑmbɑɾ
ամբարիշտ	ɑmbɑɾiʃt
ամբարհավաճություն	ɑmbɑɾhɑvɑt͡ʃutʰjun
ամբարտակ	ɑmbɑɾtɑk
ամբարտավան	ɑmbɑɾtɑvɑn
ամբարտավանական	ɑmbɑɾtɑvɑnɑkɑn
ամբարտավանանալ	ɑmbɑɾtɑvɑnɑnɑl
ամբարտավանել	ɑmbɑɾtɑvɑnɛl
ամբարտավանորեն	ɑmbɑɾtɑvɑnɔɾɛn
ամբարտավանություն	ɑmbɑɾtɑvɑnutʰjun
ամբիցիոզ	ɑmbit͡sʰiɔz
ամբոխ	ɑmbɔχ
ամբողջ	ɑmbɔχt͡ʃʰ
ամբողջություն	ɑmbɔχt͡ʃʰutʰjun
ամեհի	ɑmɛhi
ամեն	ɑmɛn
ամենաբարձր	ɑmɛnɑbɑɾt͡sʰəɾ
ամենագետ	ɑmɛnɑɡɛt
ամենազոր	ɑmɛnɑzɔɾ
ամենալավ	ɑmɛnɑlɑv
ամենակալ	ɑmɛnɑkɑl
ամենամեծ	ɑmɛnɑmɛt͡s
ամենայն	ɑmɛnɑjn
ամենեւին	ɑmɛnɛvin
ամենուր	ɑmɛnuɾ
ամենուրեք	ɑmɛnuɾɛkʰ
ամեոբա	ɑmɛɔbɑ
ամերիկա	ɑmɛɾikɑ
ամերիկական	ɑmɛɾikɑkɑn
ամերիկահայ	ɑmɛɾikɑhɑj
ամերիկայի	ɑmɛɾikɑji
ամերիկացի	ɑmɛɾikɑt͡sʰi
ամերիկյան	ɑmɛɾikjɑn
ամերիկուհի	ɑmɛɾikuhi
ամերիցիում	ɑmɛɾit͡sʰijum
ամէ	ɑməɛ
ամիկ	ɑmik
ամիճ	ɑmit͡ʃ
ամիս	ɑmis
ամիրա	ɑmiɾɑ
ամիրյան	ɑmiɾjɑn
ամիրսպասալար	ɑmiɾspɑsɑlɑɾ
ամլիկ	ɑmlik
ամհարերեն	ɑmhɑɾɛɾɛn
ամման	ɑmːɑn
ամն	ɑmənə
ամնիստիա	ɑmnistjɑ
ամոթ	ɑmɔtʰ
ամոթույք	ɑmɔtʰujkʰ
ամոլ	ɑmɔl
ամորձակալ	ɑmɔɾd͡zɑkɑl
ամորձապարկ	ɑmɔɾd͡zɑpɑɾk
ամորձատել	ɑmɔɾd͡zɑtɛl
ամորձի	ɑmɔɾd͡zi
ամորձիք	ɑmɔɾd͡zikʰ
ամուդարյա	ɑmudɑɾjɑ
ամուլ	ɑmul
ամուսին	ɑmusin
ամուսնալուծություն	ɑmusnɑlut͡sutʰjun
ամուսնանալ	ɑmusnɑnɑl
ամուսնացած	ɑmusnɑt͡sʰɑt͡s
ամուսնացնել	ɑmusnɑt͡sʰnɛl
ամուսնություն	ɑmusnutʰjun
ամուր	ɑmuɾ
ամուրի	ɑmuɾi
ամոք	ɑmɔkʰ
ամպ	ɑmp
ամպար	ɑmpɑɾ
ամպել	ɑmpɛl
ամպեղեն	ɑmpɛʁɛn
ամպրոպ	ɑmpɾɔp
ամսագիր	ɑmsɑɡiɾ
ամսական	ɑmsɑkɑn
ամսեկան	ɑmsɛkɑn
ամստերդամ	ɑmstɛɾdɑm
ամրագոտի	ɑmɾɑɡɔti
ամրածածուկ	ɑmɾɑt͡sɑt͡suk
ամրակ	ɑmɾɑk
ամրակազմ	ɑmɾɑkɑzm
ամրապնդում	ɑmɾɑpəndum
ամրոց	ɑmɾɔt͡sʰ
ամփոփել	ɑmpʰɔpʰɛl
այբ	ɑjb
այբբենարան	ɑjbːɛnɑɾɑn
այբուբեն	ɑjbubɛn
այգ	ɑjɡ
այգաբաց	ɑjɡɑbɑt͡sʰ
այգեպան	ɑjɡɛpɑn
այգեստան	ɑjɡɛstɑn
այգեվետ	ɑjɡɛvɛt
այգի	ɑjɡi
այդ	ɑjd
այդուհանդերձ	ɑjduhɑndɛɾt͡sʰ
այդպես	ɑjdpɛs
այդտեղ	ɑjdtɛʁ
այժմ	ɑjʒəm
այժմիկ	ɑjʒəmik
այժմու	ɑjʒəmu
այլ	ɑjl
այլանդակություն	ɑjlɑndɑkutʰjun
այլասիրական	ɑjlɑsiɾɑkɑn
այլատյաց	ɑjlɑtjɑt͡sʰ
այլատյացություն	ɑjlɑtjɑt͡sʰutʰjun
այլափառ	ɑjlɑpʰɑr
այլեւայլ	ɑjlɛvɑjl
այլեւայլություն	ɑjlɛvɑjlutʰjun
այլեւս	ɑjlɛvəs
այլընտրանք	ɑjləntɾɑŋkʰ
այլընտրանքային	ɑjləntɾɑŋkʰɑjin
այծ	ɑjt͡s
այծեմնիկ	ɑjt͡sɛmnik
այծենի	ɑjt͡sɛni
այծյա	ɑjt͡sjɑ
այծյամ	ɑjt͡sjɑm
այծքաղ	ɑjt͡skʰɑʁ
այմարա	ɑjmɑɾɑ
այն	ɑjn
այնուամենայնիվ	ɑjnuɑmɛnɑjniv
այնուհետեւ	ɑjnuhɛtɛv
այնպես	ɑjnpɛs
այնպիսի	ɑjnpisi
այնտեղ	ɑjntɛʁ
այո	ɑjɔ
այուբյան	ɑjubjɑn
այս	ɑjs
այսբերգ	ɑjsbɛɾɡ
այսինքն	ɑjsiŋkʰən
այսու	ɑjsu
այսուամենայնիվ	ɑjsuɑmɛnɑjniv
այսուհանդերձ	ɑjsuhɑndɛɾt͡sʰ
այսուհետ	ɑjsuhɛt
այսուհետեւ	ɑjsuhɛtɛv
այսպես	ɑjspɛs
այստեղ	ɑjstɛʁ
այստեղացի	ɑjstɛʁɑt͡sʰi
այսրկովկաս	ɑjsəɾkɔfkɑs
այսրկովկասյան	ɑjsəɾkɔfkɑsjɑn
այսօր	ɑjsɔɾ
այվազյան	ɑjvɑzjɑn
այտ	ɑjt
այտամորուք	ɑjtɑmɔɾukʰ
այտուց	ɑjtut͡sʰ
այր	ɑjɾ
այրան	ɑjɾɑn
այրացի	ɑjɾɑt͡sʰi
այրել	ɑjɾɛl
այրի	ɑjɾi
այրուկ	ɑjɾuk
այրուձի	ɑjɾud͡zi
այրուք	ɑjɾukʰ
այրվել	ɑjɾvɛl
այց	ɑjt͡sʰ
այցելել	ɑjt͡sʰɛlɛl
այցելություն	ɑjt͡sʰɛlutʰjun
ան	ɑn
անագ	ɑnɑɡ
անագան	ɑnɑɡɑn
անագապղինձ	ɑnɑɡɑpəʁind͡z
անագորույն	ɑnɑɡɔɾujn
անադիր	ɑnɑdiɾ
անազատություն	ɑnɑzɑtutʰjun
անազնիվ	ɑnɑzniv
անալի	ɑnɑli
անախորժ	ɑnɑχɔɾʒ
անակ	ɑnɑk
անակնկալ	ɑnɑkəŋkɑl
անակրեոն	ɑnɑkɾɛɔn
անահիտ	ɑnɑhit
անաղարտ	ɑnɑʁɑɾt
անաղի	ɑnɑʁi
անամոք	ɑnɑmɔkʰ
անանուխ	ɑnɑnuχ
անանցողական	ɑnɑnt͡sʰɔʁɑkɑn
անապատ	ɑnɑpɑt
անապեստ	ɑnɑpɛst
անասնաբույժ	ɑnɑsnɑbujʒ
անասուն	ɑnɑsun
անաստաս	ɑnɑstɑs
անատակ	ɑnɑtɑk
անատոլիա	ɑnɑtɔljɑ
անատոլիական	ɑnɑtɔljɑkɑn
անատոմիա	ɑnɑtɔmjɑ
անարատ	ɑnɑɾɑt
անարդար	ɑnɑɾtʰɑɾ
անարդարություն	ɑnɑɾtʰɑɾutʰjun
անարի	ɑnɑɾi
անարխիզմ	ɑnɑɾχizm
անաքսագորաս	ɑnɑkʰsɑɡɔɾɑs
անաքսիմանդրոս	ɑnɑkʰsimɑndɾɔs
անաքսիմենես	ɑnɑkʰsimɛnɛs
անբան	ɑnbɑn
անբարյացակամ	ɑnbɑɾjɑt͡sʰɑkɑm
անբարյացկամ	ɑnbɑɾjɑt͡sʰkɑm
անբիծ	ɑnbit͡s
անբնակ	ɑnbənɑk
