да	dˈɒ
искә	ˈiskæ
үк	ˈyk
ләкин	lˈækin
кына	qˈɯnɑ
җомга	ʑˈomʁɑ
югары	juʁˈɑrɯ
башлады	bɒʃɫˈɒdɯ
яшьләр	jˈæʃʔlær
тел	tˈel
булмаган	buɫmˈɑʁɑn
карата	qɒrˈɒtɑ
Татарстанның	tˌɒtɒrstˈɑnnɯŋ
барып	bˈɒrɯp
моны	mˈonɯ
вәкилләре	wˌækillˈære
башлыгы	bɒʃɫˈɯʁɯ
дини	dˈini
яши	jˈæʃi
хәрби	xˈærbi
арта	ˈɒrtɒ
аларга	ɒɫˈɒrʁɑ
дин	dˈin
якын	jˈɑqɯn
булуы	buɫˈuɯ
Башкортстан	bɒʃqˈortstɑn
Кырым	qˈɯrɯm
һәр	hˈær
яшәгән	jæʃˈæɣæn
эшләр	ˈeʃlær
моңа	mˈoŋɑ
махсус	mˈɒxsus
дөнья	dˈœnʔjæ
бары	bˈɒrɯ
Бер	bˈer
чыгып	ɕˈɯʁɯp
Һәм	hˈæm
әлегә	ælˈeɣæ
хәзрәт	xˈæzræt
фикер	fˈiker
авыр	ˈɑwɯr
таба	tˈɒbɒ
тавыш	tˈɑwɯʃ
элекке	elˈekke
алу	ˈɒɫu
мөрәҗәгать	mˌœræʑˈæʁɑtʔ
бай	bˈɒɪ
тарафыннан	tˌɒrɒfˈɯnnɑn
барлык	bˈɒrɫɯq
шактый	ʃˈɒqtɯj
хезмәт	xˈezmæt
бирә	bˈiræ
билгеле	bilɣˈele
барган	bˈɒrʁɒn
бүгенге	byɣˈeŋɣe
Рөстәм	rˈœstæm
алды	ˈɒɫdɯ
дөрес	dˈœres
яшьләре	jæʃʔlˈære
калган	qˈɒɫʁɒn
белдерә	beldˈeræ
яшәүче	jˌæʃæˈyɕe
яшь	jˈɑʃʔ
Мәскәүдә	mˌæskæˈydæ
бәйле	bæˈɪle
Аны	ˈɒnɯ
Украина	ˌuqrɑˈinɑ
күрсәтү	kyrsˈæty
рәсми	rˈæsmi
нигезендә	nˌiɣezˈendæ
чыгыш	ɕˈɯʁɯʃ
кем	kˈem
аерым	ɒˈerɯm
хакта	xˈɒqtɒ
Яңа	jˈɑŋɑ
рәвештә	ræwˈeʃtæ
православ	prɑwˈosɫɑw
хәтта	xˈættɑ
Бүген	bˈyɣen
рус	rˈus
Дәүләт	dæˈylæt
саны	sˈɒnɯ
вәкиле	wækˈile
урын	ˈurɯn
уку	ˈuqu
сайлау	sˌɒɪɫˈɑu
оешмасы	ˌoeʃmˈɑsɯ
канун	qˈɒnun
сәбәпле	sæbˈæple
саный	sˈɒnɯj
елга	jˈɯɫʁɑ
таләп	tˈɒɫæp
юл	jˈuɫ
әйтүенчә	ˌæɪtyˈenɕæ
елдан	jˈɯɫdɑn
Кырымны	qɯrˈɯmnɯ
пәнҗешәмбе	pˌænʑeʃˈæmbe
вакыт	wˈɒqɯt
буе	bˈue
Милли	mˈilli
үзәге	yzˈæɣe
Аларның	ɒɫˈɒrnɯŋ
идек	ˈidek
фикеренчә	fˌikerˈenɕæ
эчендә	eɕˈendæ
халыкара	xˌɒɫɯqˈɑrɑ
ниндидер	nindˈider
шуңа	ʃˈuŋɑ
татарлары	tˌɒtɒrɫˈɑrɯ
ителгән	itˈelɣæn
Соңгы	sˈoŋʁɯ
хакимият	xˌɒqimˈijæt
сөйләде	sˌœɪlˈæde
миңа	mˈiŋɑ
язылган	jɑzˈɯɫʁɑn
көндә	kˈœndæ
бернинди	bernˈindi
Минем	mˈinem
эше	ˈeʃe
Казанга	qɒzˈɒŋʁɑ
әйтеп	æˈɪtep
эшләргә	eʃlˈærɣæ
әллә	ˈællæ
халыкның	xɒɫˈɯqnɯŋ
республика	rˌespubɫˈiqɑ
игълан	ˈiʁʔɫɑn
игътибар	iɣʔtˈibɑr
аенда	ɒˈendɑ
кешенең	keʃˈeneŋ
белем	bˈelem
шәһәр	ʃˈæhær
уйлыйм	uˈɪɫɯjm
Шушы	ʃˈuʃɯ
гамәлләре	ʁˌɒmællˈære
китте	kˈitte
китап	kˈitɑp
матур	mˈɒtur
яза	jˈɑzɑ
аз	ˈɒz
турындагы	tˌurɯndˈɑʁɯ
Тик	tˈik
тыш	tˈɯʃ
хакында	xɒqˈɯndɑ
матбугат	mɒtbˈuʁɑt
алырга	ɒɫˈɯrʁɑ
алга	ˈɒɫʁɒ
барысы	bɒrˈɯsɯ
янында	jɑnˈɯndɑ
йөри	ɪˈœri
андый	ˈɒndɯj
биргән	bˈirɣæn
шунда	ʃˈundɑ
очракта	oɕrˈɑqtɑ
карап	qˈɒrɒp
ханым	xˈɒnɯm
кырымтатар	qˌɯrɯmtˈɑtɑr
саен	sˈɒen
үзләре	yzlˈære
чаралары	ɕˌɒrɒɫˈɑrɯ
җире	ʑˈire
киткән	kˈitkæn
Монда	mˈondɑ
АКШ	ˈɒqʃ
Әлбәттә	ælbˈættæ
авыл	ˈɑwɯɫ
бирде	bˈirde
мөһим	mˈœhim
аннан	ˈɒnnɒn
берлеге	berlˈeɣe
кереп	kˈerep
булмады	buɫmˈɑdɯ
мөселманнар	mˌœseɫmˈɑnnɑr
әйтергә	ˌæɪtˈerɣæ
Русиягә	rˌusijˈæɣæ
Халык	xˈɒɫɯq
саклау	sɒqɫˈɒu
бөтенләй	bˌœtenlˈæɪ
тарихи	tɒrˈixi
күрсәтә	kyrsˈætæ
үзенә	yzˈenæ
мәҗбүр	mˈæʑbyr
шурасы	ʃurˈɑsɯ
кулга	qˈuɫʁɑ
чаралар	ɕɒrˈɒɫɑr
өлеше	œlˈeʃe
исемле	isˈemle
булдым	bˈuɫdɯm
нык	nˈɯq
Владимир	wɫɒdˈimir
алдыннан	ɒɫdˈɯnnɑn
карар	qˈɒrɒr
катнашкан	qɒtnˈɒʃqɑn
эшкә	ˈeʃkæ
күз	kˈyz
еллар	jˈɯɫɫɑr
әфәнде	æfˈænde
алдында	ɒɫdˈɯndɑ
илдә	ˈildæ
дүрт	dˈyrt
бала	bˈɒɫɒ
хәзерге	xæzˈerɣe
Тукай	tuqˈɑɪ
безне	bˈezne
халыкка	xɒɫˈɯqqɑ
халкының	xɒɫqˈɯnɯŋ
интернет	intˈernet
эшләгән	eʃlˈæɣæn
калды	qˈɒɫdɯ
сүзләр	sˈyzlær
көч	kˈœɕ
сорау	sorˈɑu
узды	ˈuzdɯ
Аннан	ˈɒnnɒn
карамастан	qˌɒrɒmˈɑstɑn
китә	kˈitæ
моның	mˈonɯŋ
оешма	oˈeʃmɑ
Ислам	ˈisɫɑm
мәхкәмә	mæxkˈæmæ
башлаган	bɒʃɫˈɒʁɑn
болай	boɫˈɑɪ
ителә	itˈelæ
үзен	ˈyzen
урынбасары	ˌurɯnbɑsˈɑrɯ
Беренче	berˈenɕe
нәкъ	nˈækʔ
чын	ɕˈɯn
быел	bˈɯel
миллион	millˈion
эшләп	ˈeʃlæp
белә	bˈelæ
Казанның	qɒzˈɒnnɯŋ
Кырымда	qɯrˈɯmdɑ
бирле	bˈirle
мәгариф	mæʁˈɑrif
шәһәрендә	ʃˌæhærˈendæ
язган	jˈɑzʁɑn
саклап	sˈɒqɫɒp
килгәндә	kilɣˈændæ
көчле	kˈœɕle
сугыш	sˈuʁɯʃ
бирү	bˈiry
Азатлыкка	ˌɒzɒtɫˈɯqqɑ
биш	bˈiʃ
барлыкка	bɒrɫˈɯqqɑ
министры	minˈistrɯ
иҗтимагый	ˌiʑtimˈɑʁɯj
төркем	tˈœrkem
сәясәт	sæjˈæsæt
халыкны	xɒɫˈɯqnɯ
хөкүмәт	xœkˈymæt
дәрәҗәдә	dˌæræʑˈædæ
мине	mˈine
турыда	turˈɯdɑ
яклап	jˈɑqɫɑp
сәгать	sˈæʁɑtʔ
юкка	jˈuqqɑ
Икенче	ikˈenɕe
бирелә	birˈelæ
мәдәният	mˌædænˈijæt
тели	tˈeli
хөкем	xˈœkem
Совет	sˈowet
урнашкан	urnˈɑʃqɑn
әйткән	æˈɪtkæn
урында	urˈɯndɑ
бирергә	birˈerɣæ
салырга	sɒɫˈɯrʁɑ
Иң	ˈiŋ
булмаса	buɫmˈɑsɑ
Мәсәлән	mæsˈælæn
каршылык	qɒrʃˈɯɫɯq
көне	kˈœne
һәлак	hˈæɫɑq
Бүгенге	byɣˈeŋɣe
кергән	kˈerɣæn
файдасы	fˌɒɪdˈɑsɯ
зыян	zˈɯjɑn
кешене	keʃˈene
арада	ɒrˈɒdɑ
хакимияте	xˌɒqimijˈæte
бәлки	bˈælki
башлый	bˈɒʃɫɯj
һава	hˈɑwɑ
әйбер	æˈɪber
күптән	kˈyptæn
сез	sˈez
тормыш	tˈormɯʃ
булсын	bˈuɫsɯn
ителде	itˈelde
Димәк	dˈimæk
Сез	sˈez
рөхсәт	rˈœxsæt
үзләренең	ˌyzlærˈeneŋ
үзем	ˈyzem
Чаллы	ɕˈɒɫɫɯ
булу	bˈuɫu
тәрҗемә	tærʑˈemæ
үткән	ˈytkæn
башында	bɒʃˈɯndɑ
мәдәни	mædˈæni
театры	teˈɑtrɯ
Ике	ˈike
Узган	ˈuzʁɑn
гади	ʁˈɒdi
чара	ɕˈɒrɒ
эшен	ˈeʃen
эшләре	eʃlˈære
яшьлек	jˈæʃʔlek
Әле	ˈæle
урысча	urˈɯsɕɑ
керә	kˈeræ
илнең	ˈilneŋ
теленә	telˈenæ
министрлыгы	mˌinistrɫˈɯʁɯ
тарихы	tɒrˈixɯ
ачык	ˈɒɕɯq
тикшерү	tikʃˈery
ай	ˈɒɪ
еш	jˈeʃ
юлы	jˈuɫɯ
барырга	bɒrˈɯrʁɑ
яклау	jɑqɫˈɑu
укырга	uqˈɯrʁɑ
тәре	tˈære
ягъни	jˈæɣʔni
уңай	uŋˈɑɪ
башта	bˈɒʃtɒ
уртак	ˈurtɑq
алдан	ˈɒɫdɒn
йә	ˈɪæ
кызы	qˈɯzɯ
үтте	ˈytte
багышланган	bˌɒʁɯʃɫˈɑŋʁɑn
мөмкинлеге	mˌœmkinlˈeɣe
яңадан	jɑŋˈɑdɑn
федераль	fedˈerɑɫʔ
Мондый	mˈondɯj
хәлләр	xˈællær
чиратта	ɕirˈɑttɑ
Равил	rˈɑwil
полиция	pˌoɫitsˈijæ
барыбер	bɒrˈɯber
карый	qˈɒrɯj
начар	nˈɒɕɒr
Шуннан	ʃˈunnɑn
шуны	ʃˈunɯ
телне	tˈelne
хокук	xˈoquq
төрек	tˈœrek
тышкы	tˈɯʃqɯ
әлбәттә	ælbˈættæ
Татарстанга	tˌɒtɒrstˈɑŋʁɑ
катнашты	qɒtnˈɒʃtɯ
мәктәп	mˈæktæp
сөйли	sœˈɪli
эшне	ˈeʃne
җирле	ʑˈirle
үзәк	ˈyzæk
икәнен	ikˈænen
алынган	ɒɫˈɯŋʁɑn
тиз	tˈiz
социаль	sotsˈiɑɫʔ
өлкәсендә	ˌœlkæsˈendæ
аталган	ɒtˈɒɫʁɑn
ясаган	jɑsˈɑʁɑn
исеме	isˈeme
язып	jˈɑzɯp
Башкортстанда	bˌɒʃqortstˈɑndɑ
бездә	bˈezdæ
киләчәктә	kˌilæɕˈæktæ
көннәрдә	kœnnˈærdæ
сум	sˈum
ягыннан	jɑʁˈɯnnɑn
кул	qˈuɫ
барды	bˈɒrdɯ
оешмалары	ˌoeʃmɑɫˈɑrɯ
Җиде	ʑˈide
карарга	qɒrˈɒrʁɑ
Инде	ˈinde
җитәкчеләре	ʑˌitækɕelˈære
җыелган	ʑɯˈeɫʁɑn
сатып	sˈɒtɯp
Төркиядә	tˌœrkijˈædæ
хәрәкәт	xærˈækæt
Ни	nˈi
укый	ˈuqɯj
басым	bˈɒsɯm
төрки	tˈœrki
Русиядәге	rˌusijædˈæɣe
астында	ɒstˈɯndɑ
танылган	tɒnˈɯɫʁɑn
укыту	uqˈɯtu
Кытай	qɯtˈɑɪ
Төркиянең	tˌœrkijˈæneŋ
бераз	bˈerɑz
диләр	dˈilær
үзебезнең	ˌyzebˈezneŋ
Аннары	ɒnnˈɒrɯ
гомумән	ʁomˈumæn
Фирая	firˈɑjɑ
кырымтатарча	qˌɯrɯmtɑtˈɑrɕɑ
ясады	jɑsˈɑdɯ
башлап	bˈɒʃɫɒp
урынына	ˌurɯnˈɯnɑ
куркыныч	qurqˈɯnɯɕ
совет	sˈowet
тырыша	tɯrˈɯʃɑ
диярлек	dijˈærlek
Казандагы	qˌɒzɒndˈɑʁɯ
бигрәк	bˈiɣræk
кешегә	keʃˈeɣæ
куелган	quˈeɫʁɑn
тарих	tˈɒrix
куйса	quˈɪsɑ
даими	dɒˈimi
Кайбер	qɒˈɪber
иҗат	ˈiʑɑt
Советлар	sowˈetɫɑr
кызыклы	qɯzˈɯqɫɯ
Хәкимова	xˌækimˈowɑ
иминлек	imˈinlek
Аларны	ɒɫˈɒrnɯ
кешеләрнең	kˌeʃelˈærneŋ
мәсьәләсе	mˌæsʔælˈæse
мәсьәлә	mæsʔˈælæ
Бердәм	bˈerdæm
Медведев	medwˈedew
авылында	ˌɑwɯɫˈɯndɑ
кайтып	qɒˈɪtɯp
идарәсе	ˌidɑrˈæse
тормышка	tormˈɯʃqɑ
гасыр	ʁˈɒsɯr
депутатта	dˌeputˈɑttɑ
кайсы	qɒˈɪsɯ
кечкенә	keɕkˈenæ
бәйрәм	bæˈɪræm
әзер	ˈæzer
Урыс	ˈurɯs
кешеләрне	kˌeʃelˈærne
биреп	bˈirep
ясый	jˈɑsɯj
Быел	bˈɯel
Мәскәүгә	mˌæskæˈyɣæ
җир	ʑˈir
җитәкчелеге	ʑˌitækɕelˈeɣe
эчке	ˈeɕke
Аңа	ˈɒŋɒ
Бәлки	bˈælki
җинаять	ʑinˈɑjɑtʔ
Уфада	ufˈɑdɑ
Моның	mˈonɯŋ
уңаеннан	ˌuŋɑˈennɑn
һөҗүм	hˈœʑym
мөфти	mˈœfti
Югары	juʁˈɑrɯ
Моңа	mˈoŋɑ
үзгәрешләр	ˌyzɣærˈeʃlær
төркеме	tœrkˈeme
елны	jˈɯɫnɯ
башланды	bɒʃɫˈɒndɯ
җиңел	ʑˈiŋel
арасындагы	ˌɒrɒsɯndˈɑʁɯ
басып	bˈɒsɯp
Безгә	bˈezɣæ
дөньяга	dœnʔjˈæʁɑ
балалары	bˌɒɫɒɫˈɑrɯ
урам	ˈurɑm
гел	ɣˈel
күрсәтергә	kˌyrsætˈerɣæ
комитеты	qˌomitˈetɯ
Мисал	mˈisɑɫ
тиешле	tiˈeʃle
һәрвакыт	hærwˈɑqɯt
Дмитрий	dmitrˈiɪ
татарларның	tˌɒtɒrɫˈɑrnɯŋ
бүлеге	bylˈeɣe
максаты	mɒqsˈɒtɯ
күпме	kˈypme
Бөтендөнья	bˌœtendˈœnʔjæ
чакта	ɕˈɒqtɒ
белми	bˈelmi
кайда	qɒˈɪdɑ
уйлап	uˈɪɫɑp
илләрдә	illˈærdæ
төзү	tˈœzy
белдергән	beldˈerɣæn
язучы	jɑzˈuɕɯ
янына	jɑnˈɯnɑ
үзәгендә	ˌyzæɣˈendæ
бирелгән	birˈelɣæn
ял	jˈɑɫ
өйрәнү	ˌœɪrˈæny
фәнни	fˈænni
хөкүмәте	xˌœkymˈæte
районы	rˌɒɪˈonɯ
Миңа	mˈiŋɑ
күбесе	kybˈese
шимбә	ʃˈimbæ
халыклар	xɒɫˈɯqɫɑr
Миңнеханов	mˌiŋnexˈɑnow
гаилә	ʁɒˈilæ
исәптән	isˈæptæn
катнаша	qɒtnˈɒʃɑ
алмыйм	ˈɒɫmɯjm
кешесе	keʃˈese
китаплар	kitˈɑpɫɑr
күреп	kˈyrep
тулы	tˈuɫɯ
һәйкәл	hæˈɪkæl
фикерен	fikˈeren
оешмалар	ˌoeʃmˈɑɫɑr
Иран	ˈirɑn
берәр	bˈerær
булдыру	buɫdˈɯru
Башка	bˈɒʃqɒ
Хәтта	xˈættɑ
Мәскәүнең	mˌæskæˈyneŋ
алганда	ɒɫʁˈɒndɑ
аркасында	ˌɒrqɒsˈɯndɑ
бәйсез	bæˈɪsez
киң	kˈiŋ
журналистлар	ʒˌurnɑɫˈistɫɑr
куя	qˈujɑ
мәчете	mæɕˈete
мөмкинлек	mœmkˈinlek
Үзәк	ˈyzæk
авылы	ɑwˈɯɫɯ
интернетта	ˌinternˈettɑ
Илдар	ˈiɫdɑr
Обама	obˈɑmɑ
ия	ˈijæ
радиосы	rˌɒdiˈosɯ
алмыйбыз	ɒɫmˈɯjbɯz
хәрәкәте	xˌærækˈæte
җыр	ʑˈɯr
җәлеп	ʑˈælep
идарә	idˈɑræ
үтә	ˈytæ
син	sˈin
телдә	tˈeldæ
җирдә	ʑˈirdæ
хокуклары	xˌoquqɫˈɑrɯ
Туган	tˈuʁɑn
тулысынча	tˌuɫɯsˈɯnɕɑ
ана	ˈɒnɒ
беркем	bˈerkem
атна	ˈɒtnɒ
нәтиҗәсендә	nˌætiʑæsˈendæ
теләгән	telˈæɣæn
хокукларын	xˌoquqɫˈɑrɯn
Моны	mˈonɯ
чорында	ɕorˈɯndɑ
эшләү	eʃlˈæy
Фәүзия	fˌæyzˈijæ
сөйләшә	sˌœɪlˈæʃæ
көрәш	kˈœræʃ
өченче	œɕˈenɕe
алмады	ɒɫmˈɒdɯ
тотып	tˈotɯp
икътисади	ˌikʔtisˈɑdi
шуның	ʃˈunɯŋ
Сергей	serɣˈeɪ
бүләге	bylˈæɣe
озак	ˈozɑq
чакырды	ɕɒqˈɯrdɯ
чарасы	ɕɒrˈɒsɯ
әгъзасы	æʁʔzˈɑsɯ
дәвамында	dˌæwɑmˈɯndɑ
килми	kˈilmi
күргән	kˈyrɣæn
тыныч	tˈɯnɯɕ
Һәр	hˈær
татарның	tɒtˈɒrnɯŋ
укып	ˈuqɯp
хат	xˈɒt
үзләрен	yzlˈæren
әгәр	ˈæɣær
күрсәтте	kyrsˈætte
сәясәте	sˌæjæsˈæte
һаман	hˈɒmɒn
дөньяда	dœnʔjˈædɑ
протест	prˈotest
Алтын	ˈɒɫtɯn
китеп	kˈitep
Бездә	bˈezdæ
мәртәбә	mærtˈæbæ
ясап	jˈɑsɑp
Болгар	bˈoɫʁɑr
Камал	qˈɒmɒɫ
булгач	bˈuɫʁɑɕ
китәргә	kitˈærɣæ
Александр	ɒɫˈeqsɑndr
Минемчә	minˈemɕæ
Татарстандагы	tˌɒtɒrstɑndˈɑʁɯ
Татарстаннан	tˌɒtɒrstˈɑnnɑn
куйган	quˈɪʁɑn
Әйтик	æˈɪtik
Рәфис	rˈæfis
исемен	isˈemen
тәэсир	tæˈesir
рухи	rˈuxi
чыгарга	ɕɯʁˈɑrʁɑ
китерә	kitˈeræ
сезнең	sˈezneŋ
карары	qɒrˈɒrɯ
Уфа	ˈufɑ
итәчәк	itˈæɕæk
торды	tˈordɯ
чыгару	ɕɯʁˈɑru
бүләк	bˈylæk
улы	ˈuɫɯ
Бик	bˈik
яшәү	jæʃˈæy
ризасызлык	rˌizɑsˈɯzɫɯq
фикерләр	fikˈerlær
Татарлар	tɒtˈɒrɫɑr
Ак	ˈɒq
кешеләре	kˌeʃelˈære
хезмәттәшлек	xˌezmættˈæʃlek
белгечләр	belɣˈeɕlær
татарларга	tˌɒtɒrɫˈɑrʁɑ
актив	ˈɒqtiw
киләчәк	kilˈæɕæk
Җилкәнсезләр	ʑˌilkænsˈezlær
театр	tˈeɑtr
Моннан	mˈonnɑn
Хәзерге	xæzˈerɣe
башкалар	bɒʃqˈɒɫɑr
Казаннан	qɒzˈɒnnɑn
караган	qɒrˈɒʁɑn
атом	ˈɒtom
ның	nˈɯŋ
сәнгать	sˈæŋʁɑtʔ
торып	tˈorɯp
эшләүче	ˌeʃlæˈyɕe
ята	jˈɑtɑ
журналист	ʒurnˈɑɫist
итәләр	itˈælær
май	mˈɒɪ
Гомумән	ʁomˈumæn
үзара	yzˈɑrɑ
Әлегә	ælˈeɣæ
исемендәге	ˌisemendˈæɣe
оештырган	ˌoeʃtˈɯrʁɑn
абый	ˈɒbɯj
санала	sɒnˈɒɫɑ
конгрессы	qoŋʁrˈessɯ
китереп	kitˈerep
күренеш	kyrˈeneʃ
урынга	urˈɯŋʁɑ
биредә	birˈedæ
итүче	itˈyɕe
күтәреп	kytˈærep
аңлата	ɒŋɫˈɒtɑ
килешү	kilˈeʃy
университеты	ˌuniwˌersitˈetɯ
йорты	ɪˈortɯ
галимнәр	ʁɒɫˈimnær
ярамый	jɑrˈɑmɯj
Наил	nˈɒil
Путинның	putˈinnɯŋ
каты	qˈɒtɯ
беркайчан	bˌerqɑˈɪɕɑn
ягы	jˈɑʁɯ
ясарга	jɑsˈɑrʁɑ
тота	tˈotɑ
сүзләре	syzlˈære
Президент	prezˈident
Ринат	rˈinɑt
Дөрес	dˈœres
ачу	ˈɒɕu
кирәкми	kirˈækmi
җәмәгать	ʑæmˈæʁɑtʔ
Шәймиев	ʃˌæɪmˈiew
куярга	qujˈɑrʁɑ
төзелгән	tœzˈelɣæn
оештырылган	ˌoeʃtɯrˈɯɫʁɑn
уза	ˈuzɑ
Күп	kˈyp
бармы	bˈɒrmɯ
ун	ˈun
яшәргә	jæʃˈærɣæ
илләр	ˈillær
машина	mɒʃˈinɑ
читтә	ɕˈittæ
Башта	bˈɒʃtɒ
Ягъни	jˈæɣʔni
андагы	ɒndˈɒʁɯ
белгече	belɣˈeɕe
Элек	ˈelek
инглиз	ˈiŋɣliz
фикерләрен	fˌikerlˈæren
гарәп	ʁˈɒræp
итәбез	itˈæbez
мөселманнары	mˌœseɫmɑnnˈɑrɯ
теләге	telˈæɣe
хәлдә	xˈældæ
шәһәре	ʃæhˈære
апа	ˈɒpɒ
урыслар	urˈɯsɫɑr
төбәк	tˈœbæk
алай	ɒɫˈɒɪ
берни	bˈerni
