अ	ɐ
अज्ञान	ɐd͡ʑɲɑːn̪ɐ
अज्र	ɐd͡ʑɾɐ
अज्र	ɐ́d͡ʑɾɐ
अज्र्य	ɐd͡ʑɾjɐ
अज्र्य	ɐd͡ʑɾjɐ́
अञ्च्	ɐɲt͡ɕ
अञ्जना	ɐɲd͡ʑɐn̪ɑː
अञ्जस्	ɐɲd͡ʑɐs̪
अञ्जस्	ɐ́ɲd͡ʑɐs̪
अट्टालिका	ɐʈʈɑːl̪ikɑː
अणु	ɐɳu
अतल	ɐt̪ɐl̪ɐ
अति	ɐt̪i
अति	ɐ́t̪i
अतिथि	ɐt̪it̪ʰi
अतिथि	ɐ́t̪it̪ʰi
अतिथिपति	ɐt̪it̪ʰipɐt̪i
अतिथिपति	ɐ́t̪it̪ʰipɐt̪i
अतुल्य	ɐt̪ul̪jɐ
अत्क	ɐt̪kɐ
अत्क	ɐ́t̪kɐ
अत्ति	ɐt̪t̪i
अत्ति	ɐ́t̪t̪i
अत्यद्भुत	ɐt̪jɐd̪bʱut̪ɐ
अत्र	ɐt̪ɾɐ
अत्र	ɐ́t̪ɾɐ
अथर्वन्	ɐt̪ʰɐɾʋɐn̪
अथर्वन्	ɐ́t̪ʰɐɾʋɐn̪
अदर	ɐd̪ɐɾɐ
अदस्	ɐd̪ɐs̪
अदस्	ɐd̪ɐ́s̪
अदाक्षिण्य	ɐd̪ɑːkʂiɳjɐ
अद्	ɐd̪
अद्ग	ɐd̪ɡɐ
अद्ग	ɐ́d̪ɡɐ
अद्य	ɐd̪jɐ
अद्य	ɐd̪jɐ́
अद्यापि	ɐd̪jɑːpi
अद्यैव	ɐd̪jɑjʋɐ
अद्यैव	ɐd̪jɑ́ːjʋɐ
अद्राक्षीत्	ɐd̪ɾɑːkʂiːt̪
अद्रि	ɐd̪ɾi
अद्रि	ɐ́d̪ɾi
अधम	ɐd̪ʱɐmɐ
अधम	ɐd̪ʱɐmɐ́
अधर	ɐd̪ʱɐɾɐ
अधर	ɐ́d̪ʱɐɾɐ
अधस्	ɐd̪ʱɐs̪
अधस्	ɐd̪ʱɐ́s̪
अधात्	ɐd̪ʱɑːt̪
अधात्	ɐ́d̪ʱɑːt̪
अधिक	ɐd̪ʱikɐ
अधिकार	ɐd̪ʱikɑːɾɐ
अधिकारिणी	ɐd̪ʱikɑːɾiɳiː
अधिकारिन्	ɐd̪ʱikɑːɾin̪
अधिकारी	ɐd̪ʱikɑːɾiː
अधुना	ɐd̪ʱun̪ɑː
अधुना	ɐd̪ʱun̪ɑ́ː
अध्यापक	ɐd̪ʱjɑːpɐkɐ
अध्वन्	ɐd̪ʱʋɐn̪
अध्वन्	ɐ́d̪ʱʋɐn̪
अन	ɐn̪ɐ
अन	ɐn̪ɐ́
अनक्ति	ɐn̪ɐkt̪i
अनङ्ग	ɐn̪ɐŋɡɐ
अनङ्ग	ɐn̪ɐŋɡɐ́
अननुमेय	ɐn̪ɐn̪umeːjɐ
अननुमेय	ɐn̪ɐn̪umɐ́jjɐ
अनन्य	ɐn̪ɐn̪jɐ
अनन्य	ɐn̪ɐn̪jɐ́
अनवपृग्ण	ɐn̪ɐʋɐpr̩ɡɳɐ
अनवपृग्ण	ɐ́n̪ɐʋɐpr̩ɡɳɐ
अनस्	ɐn̪ɐs̪
अनस्	ɐ́n̪ɐs̪
अनिन्द्रिय	ɐn̪in̪d̪ɾijɐ
अनिन्द्रिय	ɐn̪in̪d̪ɾijɐ́
अनीक	ɐn̪iːkɐ
अनीक	ɐ́n̪iːkɐ
अनु	ɐn̪u
अनु	ɐ́n̪u
अनुक	ɐn̪ukɐ
अनुक	ɐ́n̪ukɐ
अनुनासिक	ɐn̪un̪ɑːs̪ikɐ
अनुमेय	ɐn̪umeːjɐ
अनुमेय	ɐn̪umɐ́jjɐ
अनुसार	ɐn̪us̪ɑːɾɐ
अनूक	ɐn̪uːkɐ
अनूक	ɐ́n̪uːkɐ
अनूप	ɐn̪uːpɐ
अनूप	ɐn̪uːpɐ́
अनृक्षर	ɐn̪r̩kʂɐɾɐ
अनृक्षर	ɐn̪r̩kʂɐɾɐ́
अन्तःपात्र	ɐn̪t̪ɐ́ɸpɑːt̪ɾɐ́
अन्तःपुर	ɐn̪t̪ɐhpuɾɐ
अन्तर	ɐn̪t̪ɐɾɐ
अन्तर	ɐ́n̪t̪ɐɾɐ
अन्तर्	ɐn̪t̪ɐɾ
अन्तर्	ɐn̪t̪ɐ́ɾ
अन्तर्जाल	ɐn̪t̪ɐɾd͡ʑɑːl̪ɐ
अन्तर्जालेन	ɐn̪t̪ɐɾd͡ʑɑːl̪eːn̪ɐ
अन्ति	ɐn̪t̪i
अन्त्र	ɐn̪t̪ɾɐ
अन्त्र	ɐ́n̪t̪ɾɐ
अन्ध	ɐn̪d̪ʱɐ
अन्ध	ɐn̪d̪ʱɐ́
अन्धकार	ɐn̪d̪ʱɐkɑːɾɐ
अन्धस्	ɐn̪d̪ʱɐs̪
अन्धस्	ɐ́n̪d̪ʱɐs̪
अन्न	ɐn̪n̪ɐ
अन्न	ɐ́n̪n̪ɐ
अन्य	ɐn̪jɐ
अन्य	ɐn̪jɐ́
अन्यथा	ɐn̪jɐt̪ʰɑː
अन्यथा	ɐn̪jɐ́t̪ʰɑː
अप	ɐpɐ
अप	ɐ́pɐ
अपगम	ɐpɐɡɐmɐ
अपत्य	ɐpɐt̪jɐ
अपत्य	ɐ́pɐt̪jɐ
अपदेश	ɐpɐd̪eːɕɐ
अपदेश	ɐpɐd̪ɐjɕɐ
अपद्रव्य	ɐpɐd̪ɾɐʋjɐ
अपनह्यति	ɐpɐn̪ɐɦjɐt̪i
अपर	ɐpɐɾɐ
अपर	ɐ́pɐɾɐ
अपराधिनी	ɐpɐɾɑːd̪ʱin̪iː
अपराधिन्	ɐpɐɾɑːd̪ʱin̪
अपशब्द	ɐpɐɕɐbd̪ɐ
अपसर्जन	ɐpɐs̪ɐɾd͡ʑɐn̪ɐ
अपाय	ɐpɑːjɐ
अपि	ɐpi
अपि	ɐ́pi
अपितु	ɐpit̪u
अपूप	ɐpuːpɐ
अपूप	ɐpuːpɐ́
अप्	ɐp
अप्	ɐ́p
अप्सरस्	ɐps̪ɐɾɐs̪
अप्सरस्	ɐps̪ɐɾɐ́s̪
अप्सस्	ɐps̪ɐs̪
अप्सस्	ɐ́ps̪ɐs̪
अबुध्न	ɐbud̪ʱn̪ɐ
अबुध्न	ɐbud̪ʱn̪ɐ́
अब्जित्	ɐbd͡ʑit̪
अब्जित्	ɐbd͡ʑít̪
अब्द	ɐbd̪ɐ
अभयारण्य	ɐbʱɐjɑːɾɐɳjɐ
अभवत्	ɐbʱɐʋɐt̪
अभवत्	ɐ́bʱɐʋɐt̪
अभि	ɐbʱi
अभि	ɐbʱí
अभितस्	ɐbʱit̪ɐs̪
अभितस्	ɐbʱít̪ɐs̪
अभिनय	ɐbʱin̪ɐjɐ
अभियन्ता	ɐbʱijɐn̪t̪ɑː
अभियन्तृ	ɐbʱijɐn̪t̪r̩
अभिवृष्ट	ɐbʱiʋr̩ʂʈɐ
अभिवृष्ट	ɐbʱíʋr̩ʂʈɐ
अभिषचते	ɐbʱiʂɐt͡ɕɐt̪eː
अभिषचते	ɐbʱiʂɐt͡ɕɐt̪ɐj
अभिष्टिद्युम्न	ɐbʱiʂʈid̪jumn̪ɐ
अभिष्टिद्युम्न	ɐbʱiʂʈíd̪jumn̪ɐ
अभ्यङ्ग	ɐbʱjɐŋɡɐ
अभ्यलंकृत	ɐbʱjɐl̪ɐŋkr̩t̪ɐ
अभ्र	ɐbʱɾɐ
अभ्र	ɐbʱɾɐ́
अमनत्	ɐmɐn̪ɐt̪
अमनस्	ɐmɐn̪ɐs̪
अमनस्	ɐ́mɐn̪ɐs̪
अमरावती	ɐmɐɾɑːʋɐt̪iː
अमवत्	ɐmɐʋɐt̪
अमवत्	ɐ́mɐʋɐt̪
अमृत	ɐmr̩t̪ɐ
अमृत	ɐmŕ̩t̪ɐ
अमृता	ɐmr̩t̪ɑː
अम्नस्	ɐmn̪ɐs̪
अम्नस्	ɐmn̪ɐ́s̪
अम्बर	ɐmbɐɾɐ
अम्बर	ɐ́mbɐɾɐ
अम्बा	ɐmbɑː
अम्बा	ɐmbɑ́ː
अयजत्	ɐjɐd͡ʑɐt̪
अयन	ɐjɐn̪ɐ
अयन	ɐ́jɐn̪ɐ
अयनान्त	ɐjɐn̪ɑːn̪t̪ɐ
अयम्	ɐjɐm
अयम्	ɐjɐ́m
अयस्	ɐjɐs̪
अयस्	ɐ́jɐs̪
अयस्कार	ɐjɐs̪kɑːɾɐ
अयस्कार	ɐ́jɐs̪kɑːɾɐ
अयुत	ɐjut̪ɐ
अयुत	ɐjút̪ɐ
अरण	ɐɾɐɳɐ
अरण	ɐ́ɾɐɳɐ
अरणि	ɐɾɐɳi
अरणि	ɐɾɐ́ɳi
अरण्य	ɐɾɐɳjɐ
अरण्य	ɐ́ɾɐɳjɐ
अरत्नि	ɐɾɐt̪n̪i
अरत्नि	ɐɾɐt̪n̪í
अरमति	ɐɾɐmɐt̪i
अरमति	ɐɾɐ́mɐt̪i
अरित्र	ɐɾit̪ɾɐ
अरित्र	ɐɾít̪ɾɐ
अरित्र	ɐ́ɾit̪ɾɐ
अरोधत्	ɐɾoːd̪ʱɐt̪
अरोधत्	ɐɾɐwd̪ʱɐt̪
अर्क	ɐɾkɐ
अर्क	ɐɾkɐ́
अर्घ	ɐɾɡʱɐ
अर्चति	ɐɾt͡ɕɐt̪i
अर्चति	ɐ́ɾt͡ɕɐt̪i
अर्चा	ɐɾt͡ɕɑː
अर्चा	ɐɾt͡ɕɑ́ː
अर्चि	ɐɾt͡ɕi
अर्चि	ɐɾt͡ɕí
अर्चिस्	ɐɾt͡ɕis̪
अर्चिस्	ɐɾt͡ɕís̪
अर्जन	ɐɾd͡ʑɐn̪ɐ
अर्जनम्	ɐɾd͡ʑɐn̪ɐm
अर्जनयोः	ɐɾd͡ʑɐn̪ɐjoːh
अर्जनयोः	ɐɾd͡ʑɐn̪ɐjɐwh
अर्जनस्य	ɐɾd͡ʑɐn̪ɐs̪jɐ
अर्जनात्	ɐɾd͡ʑɐn̪ɑːt̪
अर्जनाभ्याम्	ɐɾd͡ʑɐn̪ɑːbʱjɑːm
अर्जनाय	ɐɾd͡ʑɐn̪ɑːjɐ
अर्जने	ɐɾd͡ʑɐn̪eː
अर्जने	ɐɾd͡ʑɐn̪ɐj
अर्जनेन	ɐɾd͡ʑɐn̪eːn̪ɐ
अर्जनेन	ɐɾd͡ʑɐn̪ɐjn̪ɐ
अर्जित	ɐɾd͡ʑit̪ɐ
अर्जुन	ɐɾd͡ʑun̪ɐ
अर्जुन	ɐ́ɾd͡ʑun̪ɐ
अर्ज्	ɐɾd͡ʑ
अर्णव	ɐɾɳɐʋɐ
अर्णव	ɐɾɳɐ́ʋɐ
अर्थ	ɐɾt̪ʰɐ
अर्थात्	ɐɾt̪ʰɑːt̪
अर्थालंकार	ɐɾt̪ʰɑːl̪ɐŋkɑːɾɐ
अर्ध	ɐɾd̪ʱɐ
अर्धपथ	ɐɾd̪ʱɐpɐt̪ʰɐ
अर्धपथ	ɐɾd̪ʱɐ́pɐt̪ʰɐ
अर्धपथे	ɐɾd̪ʱɐpɐt̪ʰeː
अर्धपथे	ɐɾd̪ʱɐ́pɐt̪ʰɐj
अर्भ	ɐɾbʱɐ
अर्भ	ɐ́ɾbʱɐ
अर्यमन्	ɐɾjɐmɐn̪
अर्यमन्	ɐɾjɐmɐ́n̪
अर्यमा	ɐɾjɐmɑː
अर्यमा	ɐɾjɐmɑ́ː
अर्श	ɐɾɕɐ
अर्शस्	ɐɾɕɐs̪
अर्शस्	ɐ́ɾɕɐs̪
अर्हति	ɐɾɦɐt̪i
अर्हति	ɐ́ɾɦɐt̪i
अर्हित	ɐɾɦit̪ɐ
अर्ह्	ɐɾɦ
अल	ɐl̪ɐ
अलंकार	ɐl̪ɐŋkɑːɾɐ
अलंकृ	ɐl̪ɐŋkr̩
अलंकृत	ɐl̪ɐŋkr̩t̪ɐ
अलम्	ɐl̪ɐm
अलम्	ɐ́l̪ɐm
अलाबु	ɐl̪ɑːbu
अलाबु	ɐl̪ɑ́ːbu
अलाबुक	ɐl̪ɑːbukɐ
अलाबुका	ɐl̪ɑːbukɑː
अलाबू	ɐl̪ɑːbuː
अलि	ɐl̪i
अलिन्	ɐl̪in̪
अल्पप्राण	ɐl̪pɐpɾɑːɳɐ
अव	ɐʋɐ
अव	ɐ́ʋɐ
अवकर्षति	ɐʋɐkɐɾʂɐt̪i
अवगच्छति	ɐʋɐɡɐtt͡ɕʰɐt̪i
अवति	ɐʋɐt̪i
अवति	ɐ́ʋɐt̪i
अवधारण	ɐʋɐd̪ʱɑːɾɐɳɐ
अवरिफ्	ɐʋɐɾipʰ
अववर्जति	ɐʋɐʋɐɾd͡ʑɐt̪i
अवसर्पिणी	ɐʋɐs̪ɐɾpiɳiː
अवि	ɐʋi
अवि	ɐ́ʋi
अविक	ɐʋikɐ
अविद्या	ɐʋid̪jɑː
अविद्या	ɐ́ʋid̪jɑː
अविद्वस्	ɐʋid̪ʋɐs̪
अविद्वस्	ɐ́ʋid̪ʋɐs̪
अशनि	ɐɕɐn̪i
अशनि	ɐ́ɕɐn̪i
अशिर	ɐɕiɾɐ
अशीति	ɐɕiːt̪i
अशीति	ɐɕiːt̪í
अश्मन्	ɐɕmɐn̪
अश्मन्	ɐ́ɕmɐn̪
अश्रि	ɐɕɾi
अश्रि	ɐ́ɕɾi
अश्रीर	ɐɕɾiːɾɐ
अश्रीर	ɐɕɾiːɾɐ́
अश्रु	ɐɕɾu
अश्रु	ɐ́ɕɾu
अश्रोत्	ɐɕɾoːt̪
अश्रोत्	ɐ́ɕɾɐwt̪
अश्व	ɐɕʋɐ
अश्व	ɐ́ɕʋɐ
अश्वमेध	ɐɕʋɐmeːd̪ʱɐ
अश्वमेध	ɐɕʋɐmɐjd̪ʱɐ́
अश्वमेध	ɐ́ɕʋɐmɐjd̪ʱɐ
अश्वश्चन्द्र	ɐɕʋɐɕt͡ɕɐn̪d̪ɾɐ
अश्वश्चन्द्र	ɐ́ɕʋɐɕt͡ɕɐn̪d̪ɾɐ
अश्वा	ɐɕʋɑː
अश्वा	ɐ́ɕʋɑː
अषाढ	ɐʂɑːɖʱɐ
अषाढ	ɐ́ʂɑːɖʱɐ
अषाळ्ह	ɐʂɑːɭ̆ɦɐ
अषाळ्ह	ɐ́ʂɑːɭ̆ɦɐ
अष्ट	ɐʂʈɐ
अष्ट	ɐʂʈɐ́
अष्टादश	ɐʂʈɑːd̪ɐɕɐ
अष्टादश	ɐʂʈɑ́ːd̪ɐɕɐ
अष्टाविंशति	ɐʂʈɑːʋĩɕɐt̪i
अष्टाविंशति	ɐʂʈɑ́ːʋĩɕɐt̪i
अष्ट्रा	ɐʂʈɾɑː
अष्ट्रा	ɐ́ʂʈɾɑː
अष्ठीवत्	ɐʂʈʰiːʋɐt̪
अष्ठीवत्	ɐʂʈʰiːʋɐ́t̪
असंकॢप्त	ɐs̪ɐŋkl̩pt̪ɐ
असङ्ख्येय	ɐs̪ɐŋkʰjeːjɐ
असङ्ख्येय	ɐs̪ɐŋkʰjɐjjɐ
असत्	ɐs̪ɐt̪
असत्	ɐ́s̪ɐt̪
असनिष्यत	ɐs̪ɐn̪iʂjɐt̪ɐ
असनिष्यत्	ɐs̪ɐn̪iʂjɐt̪
असनीत्	ɐs̪ɐn̪iːt̪
असनोत्	ɐs̪ɐn̪oːt̪
असनोत्	ɐs̪ɐn̪ɐwt̪
असाधारण	ɐs̪ɑːd̪ʱɑːɾɐɳɐ
असाधारण	ɐs̪ɑ́ːd̪ʱɑːɾɐɳɐ
असानीत्	ɐs̪ɑːn̪iːt̪
असार	ɐs̪ɑːɾɐ
असि	ɐs̪i
असि	ɐs̪í
असिन्व	ɐs̪in̪ʋɐ
असिन्व	ɐs̪in̪ʋɐ́
असिर	ɐs̪iɾɐ
असुर	ɐs̪uɾɐ
असुर	ɐ́s̪uɾɐ
असृक्	ɐs̪r̩k
असृक्	ɐ́s̪r̩k
असृज्	ɐs̪r̩d͡ʑ
असृज्	ɐ́s̪r̩d͡ʑ
अस्	ɐs̪
अस्त	ɐs̪t̪ɐ
अस्त	ɐ́s̪t̪ɐ
अस्ति	ɐs̪t̪i
अस्ति	ɐ́s̪t̪i
अस्तित्व	ɐs̪t̪it̪ʋɐ
अस्तु	ɐs̪t̪u
अस्थन्	ɐs̪t̪ʰɐn̪
अस्थन्	ɐs̪t̪ʰɐ́n̪
अस्थात्	ɐs̪t̪ʰɑːt̪
अस्थात्	ɐ́s̪t̪ʰɑːt̪
अस्थि	ɐs̪t̪ʰi
अस्थि	ɐ́s̪t̪ʰi
अस्मद्	ɐs̪mɐd̪
अस्माक	ɐs̪mɑːkɐ
अस्माक	ɐs̪mɑ́ːkɐ
अस्मान्	ɐs̪mɑːn̪
अस्मान्	ɐs̪mɑ́ːn̪
अस्माभिः	ɐs̪mɑːbʱih
अस्मि	ɐs̪mi
अस्मि	ɐ́s̪mi
अस्मिन्	ɐs̪min̪
अस्मिन्	ɐs̪mín̪
अस्र	ɐs̪ɾɐ
अस्र	ɐs̪ɾɐ́
अस्र	ɐ́s̪ɾɐ
अस्वरत्	ɐs̪ʋɐɾɐt̪
अस्वरिष्यत्	ɐs̪ʋɐɾiʂjɐt̪
अस्वर्ष्यत्	ɐs̪ʋɐɾʂjɐt̪
अस्वारीत्	ɐs̪ʋɑːɾiːt̪
अस्वार्षीत्	ɐs̪ʋɑːɾʂiːt̪
अस्वीकार	ɐs̪ʋiːkɑːɾɐ
अहं	ɐɦɐm
अहंकार	ɐɦɐŋkɑːɾɐ
अहंकारिणी	ɐɦɐŋkɑːɾiɳiː
अहंकारिन्	ɐɦɐŋkɑːɾin̪
अहम्	ɐɦɐm
अहम्	ɐɦɐ́m
अहरहर्	ɐɦɐɾɐɦɐɾ
अहरहर्	ɐ́ɦɐɾɐɦɐɾ
अहर्	ɐɦɐɾ
अहर्	ɐ́ɦɐɾ
अहि	ɐɦi
अहि	ɐ́ɦi
अहिभृत्	ɐɦibʱr̩t̪
अही	ɐɦiː
अही	ɐɦíː
अहो	ɐɦoː
अहो	ɐɦɐw
आकाङ्क्षते	ɑːkɑːŋkʂɐt̪eː
आकाङ्क्षते	ɑːkɑːŋkʂɐt̪ɐj
आकृत	ɑːkr̩t̪ɐ
आखु	ɑːkʰu
आखु	ɑːkʰú
आखेट	ɑːkʰeːʈɐ
आखेट	ɑːkʰɐjʈɐ
आखेटक	ɑːkʰeːʈɐkɐ
आखेटक	ɑːkʰɐjʈɐkɐ
आगच्छ	ɑːɡɐtt͡ɕʰɐ
आगच्छति	ɑːɡɐtt͡ɕʰɐt̪i
आगस्	ɑːɡɐs̪
आगस्	ɑ́ːɡɐs̪
आगा	ɑːɡɑː
आगार	ɑːɡɑːɾɐ
आग्नेय	ɑːɡn̪eːjɐ
आग्नेय	ɑːɡn̪ɐjjɐ́
आङ्ग्ल	ɑːŋɡl̪ɐ
आङ्ग्लभाषा	ɑːŋɡl̪ɐbʱɑːʂɑː
आचरति	ɑːt͡ɕɐɾɐt̪i
आचार	ɑːt͡ɕɑːɾɐ
आज	ɑːd͡ʑɐ
आज्ञा	ɑːd͡ʑɲɑː
आज्ञाकारिन्	ɑːd͡ʑɲɑːkɑːɾin̪
आञ्छन	ɑːɲt͡ɕʰɐn̪ɐ
आञ्छित	ɑːɲt͡ɕʰit̪ɐ
आञ्छ्	ɑːɲt͡ɕʰ
आता	ɑːt̪ɑː
आता	ɑ́ːt̪ɑː
आति	ɑːt̪i
आति	ɑːt̪í
आतिथ्य	ɑːt̪it̪ʰjɐ
आतिथ्य	ɑːt̪it̪ʰjɐ́
आत्	ɑːt̪
आत्	ɑ́ːt̪
आत्मनेपद	ɑːt̪mɐn̪eːpɐd̪ɐ
आत्मनेपद	ɑːt̪mɐn̪ɐjpɐd̪ɐ
आत्मन्	ɑːt̪mɐn̪
आत्मन्	ɑːt̪mɐ́n̪
आदि	ɑːd̪i
आदिम	ɑːd̪imɐ
आदिम	ɑːd̪ímɐ
आधान	ɑːd̪ʱɑːn̪ɐ
आधिक	ɑːd̪ʱikɐ
आधुनिक	ɑːd̪ʱun̪ikɐ
आनन	ɑːn̪ɐn̪ɐ
आनयति	ɑːn̪ɐjɐt̪i
आपण	ɑːpɐɳɐ
आपणम्	ɑːpɐɳɐm
आपयति	ɑːpɐjɐt̪i
आपीन	ɑːpiːn̪ɐ
आबुत्त	ɑːbut̪t̪ɐ
आम	ɑːmɐ
आम	ɑːmɐ́
आमन्त्रयते	ɑːmɐn̪t̪ɾɐjɐt̪eː
आमन्त्रयते	ɑːmɐn̪t̪ɾɐjɐt̪ɐj
आम्	ɑːm
आम्र	ɑːmɾɐ
आम्र	ɑːmɾɐ́
आम्रेडित	ɑːmɾeːɖit̪ɐ
आम्रेडित	ɑːmɾɐjɖit̪ɐ
आयम्	ɑːjɐm
आयात	ɑːjɑːt̪ɐ
आयाम	ɑːjɑːmɐ
आयु	ɑːju
आयु	ɑːjú
आयु	ɑ́ːju
आयुर्वेद	ɑːjuɾʋeːd̪ɐ
आयुर्वेद	ɑːjuɾʋɐjd̪ɐ
आयुस्	ɑːjus̪
आयुस्	ɑːjús̪
आयुस्	ɑ́ːjus̪
आरम्भ	ɑːɾɐmbʱɐ
आरा	ɑːɾɑː
आरा	ɑ́ːɾɑː
आराम	ɑːɾɑːmɐ
आराम	ɑːɾɑːmɐ́
आरिफ्	ɑːɾipʰ
आरोप	ɑːɾoːpɐ
आरोप	ɑːɾɐwpɐ
आर्तव	ɑːɾt̪ɐʋɐ
आर्तव	ɑːɾt̪ɐʋɐ́
आर्थिक	ɑːɾt̪ʰikɐ
आर्द्र	ɑːɾd̪ɾɐ
आर्द्र	ɑːɾd̪ɾɐ́
आर्द्रक	ɑːɾd̪ɾɐkɐ
आर्य	ɑːɾjɐ
आर्य	ɑ́ːɾjɐ
आलंकारिक	ɑːl̪ɐŋkɑːɾikɐ
आलाक्त	ɑːl̪ɑːkt̪ɐ
आलाक्त	ɑ́ːl̪ɑːkt̪ɐ
आलु	ɑːl̪u
आलुक	ɑːl̪ukɐ
आवयोः	ɑːʋɐjoːh
आवयोः	ɑːʋɐjɐwh
आवश्यक	ɑːʋɐɕjɐkɐ
आवश्यकता	ɑːʋɐɕjɐkɐt̪ɑː
आवाभ्यां	ɑːʋɑːbʱjɑːm
आवाभ्याम्	ɑːʋɑːbʱjɑːm
आवाम्	ɑːʋɑːm
