'ch	χ
achyddol	aχəðɔl
act	akt
acti	akti
actiaf	aktjav
actio	aktjɔ
actor	aktɔr
actores	aktoːrɛs
actores	aktɔrɛs
acw	aku
ad	aːd
adael	adai̯l
adael	adɛl
adael	aːdai̯l
adael	aːdɛl
adain	adai̯n
adain	adɛn
adain	aːdai̯n
adain	aːdɛn
adanedd	adanɛð
adanedd	adaːnɛð
adar	adar
adar	aːdar
adar duon	adardiːɔn
adar duon	aːdardiːɔn
adar o'r unlliw hedant i'r unlle	adarɔrɪnɬɪu̯hɛdantɪrɪnɬɛ
adar o'r unlliw hedant i'r unlle	aːdarɔrɪnɬɪu̯heːdantɪrɪnɬɛ
adar y bwn	adarəbʊn
adar y bwn	aːdarəbʊn
adara	adara
adara	adaːra
adardai	adardai̯
adardy	adardi
adareg	adarɛɡ
adareg	adaːrɛɡ
adaregol	adareːɡɔl
adaregol	adarɛɡɔl
adaregwyr	adarɛɡwɪr
adaregydd	adareːɡɪð
adaregydd	adarɛɡɪð
adargi	adarɡi
adargraffiad	adarɡrafjad
adargraffiadau	adarɡrafjadai̯
adargraffiadau	adarɡrafjadɛ
adargraffiadau	adarɡrafjaːdai̯
adargraffiadau	adarɡrafjaːdɛ
adargraffu	adarɡrafi
adargwn	adarɡʊn
adarwr	adarʊr
adarwr	adaːrʊr
adarwyr	adarwɪr
adarydd	adarɪð
adarydd	adaːrɪð
adarydda	adarəða
adaryddiaeth	adarəðjai̯θ
adaryddiaeth	adarəðjɛθ
adaryddion	adarəðjɔn
adawed	adau̯ɛd
adborth	adbɔrθ
adborthion	adbɔrθjɔn
addas	aðas
addas	aːðas
addasu	aðasi
addawa	aðau̯a
addaweb	aðau̯ɛb
addef	aðɛv
addef	aːðɛv
addo	aðɔ
addo	aːðɔ
addoldy	aðɔldi
addolgar	aðɔlɡar
addoliad	aðɔljad
addolwr	aðoːlʊr
addolwr	aðɔlʊr
addurn	aðɪrn
addurn	aːðɪrn
addurno	aðɪrnɔ
addysg	aðɪsɡ
addysg	aːðɪsɡ
addysgu	aðəsɡi
adeg	adɛɡ
adeg	aːdɛɡ
adegau	adeːɡai̯
adegau	adeːɡɛ
adegau	adɛɡai̯
adegau	adɛɡɛ
adeilad	adei̯lad
adeiladaeth	adei̯ladai̯θ
adeiladaeth	adei̯ladɛθ
adeiladaeth	adei̯laːdai̯θ
adeiladaeth	adei̯laːdɛθ
adeiladol	adei̯ladɔl
adeiladol	adei̯laːdɔl
adeiladu	adei̯ladi
adeiladu	adei̯laːdi
adeiladwaith	adei̯ladwai̯θ
adeiladwaith	adei̯ladwɛθ
adeiladweithiau	adei̯ladwei̯θjai̯
adeiladweithiau	adei̯ladwei̯θjɛ
adeiladwr	adei̯ladʊr
adeiladwr	adei̯laːdʊr
adeiladwyr	adei̯ladwɪr
adeiniog	adei̯njɔɡ
aden	adɛn
aden	aːdɛn
adenedigaeth	adɛnɛdiːɡai̯θ
adenedigaeth	adɛnɛdiːɡɛθ
adenedigaeth	adɛnɛdɪɡai̯θ
adenedigaeth	adɛnɛdɪɡɛθ
adenedigaethau	adɛnɛdɪɡei̯θai̯
adenedigaethau	adɛnɛdɪɡei̯θɛ
adennill	adɛnɪɬ
adenydd	adeːnɪð
adenydd	adɛnɪð
aderyn	adeːrɪn
aderyn	adɛrɪn
aderyn	deːrɪn
aderyn	dɛrɪn
aderyn du	adeːrɪndiː
aderyn du	adɛrɪndiː
aderyn du	deːrɪndiː
aderyn du	dɛrɪndiː
aderyn y bwn	adeːrɪnəbʊn
aderyn y bwn	adɛrɪnəbʊn
adfail	advai̯l
adfeddiannu	advɛðjani
adfeiliad	advei̯ljad
adfeiliadau	advei̯ljadai̯
adfeiliadau	advei̯ljadɛ
adfeiliadau	advei̯ljaːdai̯
adfeiliadau	advei̯ljaːdɛ
adfeiliedig	advei̯ljeːdɪɡ
adfeiliedig	advei̯ljɛdɪɡ
adfeilio	advei̯ljɔ
adfeilion	advei̯ljɔn
adfent	advɛnt
adfer	advɛr
adferadwy	advɛradʊi̯
adferadwy	advɛraːdʊi̯
adferaf	adveːra
adferaf	adveːrav
adferaf	advɛra
adferaf	advɛrav
adferant	adveːrant
adferant	advɛrant
adferent	adveːrɛnt
adferent	advɛrɛnt
adferf	advɛrv
adferfol	advɛrvɔl
adferiad	advɛrjad
adferiadau	advɛrjadai̯
adferiadau	advɛrjadɛ
adferiadau	advɛrjaːdai̯
adferiadau	advɛrjaːdɛ
adferiadwyr	advɛrjadəðwɪr
adferiadydd	advɛrjadɪð
adferiadydd	advɛrjaːdɪð
adferiadyddion	advɛrjadəðjɔn
adferiedydd	advɛrjeːdɪð
adferiedydd	advɛrjɛdɪð
adfero	adveːrɔ
adfero	advɛrɔ
adferol	adveːrɔl
adferol	advɛrɔl
adferwr	adveːrʊr
adferwr	advɛrʊr
adferwyr	advɛrwɪr
adfilwr	adviːlʊr
adfilwr	advɪlʊr
adfilwyr	advɪlwɪr
adflas	advlas
adflasau	advlasai̯
adflasau	advlasɛ
adfyd	advɪd
adfydau	advədai̯
adfydau	advədɛ
adfydus	advədɪs
adfyw	advɪu̯
adfywiad	advɪu̯jad
adfywiadau	advɪu̯jadai̯
adfywiadau	advɪu̯jadɛ
adfywiadau	advɪu̯jaːdai̯
adfywiadau	advɪu̯jaːdɛ
adfywio	advɪu̯jɔ
adfywiol	advɪu̯jɔl
adio	adjɔ
adladd	adlað
adlais	adlai̯s
adlam	adlam
adlamau	adlamai̯
adlamau	adlamɛ
adlamu	adlami
adlaw	adlau̯
adlef	adlɛv
adlefau	adleːvai̯
adlefau	adleːvɛ
adlefau	adlɛvai̯
adlefau	adlɛvɛ
adleisiau	adlei̯sjai̯
adleisiau	adlei̯sjɛ
adleisiau	adlei̯ʃai̯
adleisiau	adlei̯ʃɛ
adleisio	adlei̯sjɔ
adleisio	adlei̯ʃɔ
adlyn	adlɪn
adlynol	adlənɔl
adlynu	adləni
adlŷn	adliːn
adnabod	adnabɔd
adnabod	adnaːbɔd
adnabyddant	adnabəðant
adnabyddi	adnabəði
adnabyddus	adnabəðɪs
adnabyddwch	adnabəðʊχ
adnabyddwn	adnabəðʊn
adnebydd	adneːbɪð
adnebydd	adnɛbɪð
adnodd	adnɔð
adolygu	adɔləɡi
adra	adra
adran	adran
adre	adrɛ
adref	adrɛ
adref	adrɛv
adrodd	adrɔð
adroddaf	adroːða
adroddaf	adroːðav
adroddaf	adrɔða
adroddaf	adrɔðav
adroddiad	adrɔðjad
adwaen	adwai̯n
adwaenai	adwei̯nai̯
adwaenant	adwei̯nant
adwaenech	adwei̯nɛχ
adwaenem	adwei̯nɛm
adwaenent	adwei̯nɛnt
adwaenid	adwei̯nɪd
adwaenir	adwei̯nɪr
adwaenit	adwei̯nɪt
adwaenoch	adwei̯nɔχ
adwaenom	adwei̯nɔm
adwaenost	adwei̯nɔsd
adwaenwch	adwei̯nʊχ
adwaenwn	adwei̯nʊn
adwaenynt	adwei̯nɪnt
adweinaf	adwei̯nav
adweini	adwei̯ni
adweinid	adwei̯nɪd
adweinir	adwei̯nɪr
adweitheg	adwei̯θɛɡ
adweithegwyr	adwei̯θɛɡwɪr
adweithegydd	adwei̯θeːɡɪð
adweithegydd	adwei̯θɛɡɪð
adwen	adwɛn
adwthio	adʊθjɔ
aeaf	ei̯a
aeaf	ei̯av
aech	ai̯χ
aed	ai̯d
aeddfed	ai̯ðvɛd
ael	ai̯l
aeled	ei̯lɛd
aelod	ei̯lɔd
aelod cynulliad	ei̯lɔdkənɪɬjad
aelod o'r senedd	ei̯lɔdɔrseːnɛð
aelod o'r senedd	ei̯lɔdɔrsɛnɛð
aelod seneddol	ei̯lɔdsɛneːðɔl
aelod seneddol	ei̯lɔdsɛnɛðɔl
aelwyd	ei̯lʊi̯d
aem	ai̯m
aen	ai̯n
aent	ai̯nt
aer	ai̯r
aer	aːr
aeron	ei̯rɔn
aeronen	ei̯roːnɛn
aeronen	ei̯rɔnɛn
aet	ai̯t
aeth	ai̯θ
aeth	aːθ
aethai	ei̯θai̯
aethant	ei̯θant
aethech	ei̯θɛχ
aethem	ei̯θɛm
aethent	ei̯θɛnt
aethid	ei̯θɪd
aethit	ei̯θɪt
aethnen	ei̯θnɛn
aethnenni	ei̯θnɛni
aethoch	ei̯θɔχ
aethoch	ɛθɔχ
aethom	ei̯θɔm
aethon	ei̯θɔn
aethon	ɛθɔn
aethont	ei̯θɔnt
aethost	ei̯θɔsd
aethpwyd	ei̯θpʊi̯d
aethwn	ei̯θʊn
aetsh	ai̯tʃ
af	aː
af	aːv
afal	aval
afal	aːval
afal cariad	avalkarjad
afal cariad	aːvalkarjad
afalau	avalai̯
afalau	avalɛ
afalau	avaːlai̯
afalau	avaːlɛ
afalau	valɛ
afalau	vaːlɛ
afalau cariad	avalai̯karjad
afalau cariad	avalɛkarjad
afalau cariad	avaːlai̯karjad
afalau cariad	avaːlɛkarjad
afallen	avaɬɛn
afan	avan
afan	aːvan
afanc	avaŋk
afanc	aːvaŋk
afancod	avaŋkɔd
afanen	avanɛn
afanen	avaːnɛn
affrica	afrɪka
affwys	afʊi̯s
affwysedd	afʊi̯sɛð
affwysol	afʊi̯sɔl
afiach	avjaχ
aflafar	avlavar
aflafar	avlaːvar
aflwyddiannus	avlʊi̯ðjanɪs
afocado	avɔkadɔ
afocado	avɔkaːdɔ
afocados	avɔkadɔz
afocados	avɔkaːdɔz
afon	avɔn
afon	aːvɔn
afonfarch	avɔnvarχ
afonfeirch	avɔnvei̯rχ
afr	avar
afr	avr
afr	aːvar
afraid	avrai̯d
afreolaidd	avrɛoːlai̯ð
afreolaidd	avrɛoːlɛð
afreolaidd	avrɛɔlai̯ð
afreolaidd	avrɛɔlɛð
afu	avi
afu	aːvi
ag	aɡ
ager	aɡɛr
ager	aːɡɛr
agerddlong	aɡɛrðlɔŋ
agerlong	aɡɛrlɔŋ
agerlongau	aɡɛrlɔŋai̯
agerlongau	aɡɛrlɔŋɛ
agor	aɡɔr
agor	aːɡɔr
agora	aɡoːra
agora	aɡɔra
agoraf	aɡoːra
agoraf	aɡoːrav
agoraf	aɡɔra
agoraf	aɡɔrav
agorai	aɡoːrai̯
agorai	aɡɔrai̯
agoret	aɡoːrɛt
agoret	aɡɔrɛt
agori	aɡoːri
agori	aɡɔri
agoriad	aɡɔrjad
agos	aɡɔs
agos	aːɡɔs
agosáu	aɡɔsai̯
agweddi	aɡweːði
agweddi	aɡwɛði
ai	ai̯
aidd	ai̯ð
aiff	ai̯f
aifft	ai̯ft
ail	ai̯l
aildrefnu	ai̯ldrevni
ailfeddiannu	ai̯lvɛðjani
aillt	ai̯ɬd
ailosod	ai̯lɔsɔd
air	ai̯r
ais	ai̯s
ait	ai̯t
alan	alan
alan	aːlan
alannon	alanɔn
alar	alar
alar	aːlar
alarch	alarχ
alarch	aːlarχ
alaw	alau̯
alaw	aːlau̯
alban	alban
alban arthan	albanarθan
alban cyntefin	albankənteːvɪn
alban cyntefin	albankəntɛvɪn
alban eilir	albanei̯lɪr
alban elfed	albanɛlvɛd
alban hefin	albanheːvɪn
alban hefin	albanhɛvɪn
alban hyfed	albanhəvɛd
albanau	albanai̯
albanau	albanɛ
albanau	albaːnai̯
albanau	albaːnɛ
albaneg	albanɛɡ
albwm	albʊm
alfarch	alvarχ
all	aːɬ
alla	aɬa
allai	aɬai̯
allai	aɬɛ
allan	aɬan
allanfa	aɬanva
allanfa dân	aɬanvadaːn
allanol	aɬanɔl
allant	aɬant
allblyg	aɬblɪɡ
allen	aɬɛn
aller	aɬɛr
allforiadwy	aɬvɔrjadʊi̯
allforiadwy	aɬvɔrjaːdʊi̯
allforio	aɬvɔrjɔ
allforion	aɬvɔrjɔn
allforiwr	aɬvɔrjʊr
allforwyr	aɬvɔrwɪr
allforyn	aɬvoːrɪn
allforyn	aɬvɔrɪn
allfudo	aɬviːdɔ
allfudo	aɬvɪdɔ
allgofnodi	aɬɡɔvnoːdi
allgofnodi	aɬɡɔvnɔdi
alli	aɬi
allo	aɬɔ
allor	aɬɔr
allt	aɬd
alltud	aɬdɪd
allwedd	aɬwɛð
allwedd	aɬwɛθ
allweddell	aɬweːðɛɬ
allweddell	aɬwɛðɛɬ
allwthio	aɬʊθjɔ
almaen	əralmai̯n
almaeneg	almei̯nɛɡ
almaenwr	almei̯nʊr
almanac	almanak
alwminiwm	alʊmɪnjʊm
am	am
am byth	ambɪθ
amaethyddiaeth	amei̯θəðjai̯θ
amaethyddiaeth	amei̯θəðjɛθ
amanita	amanɪta
amanita benfelen	amanɪtabɛnveːlɛn
amanita benfelen	amanɪtabɛnvɛlɛn
amanita borffor	amanɪtabɔrfɔr
amanita droednoeth	amanɪtadrɔi̯dnɔi̯θ
amanita'r gwybed	amanɪtarɡwəbɛd
amau	amai̯
amau	amɛ
ambell	ambɛɬ
ambeutu	ambei̯ti
ambiti	ambɪti
ambiwlans	ambɪu̯lans
amcan	amkan
amcangyfrif	amkaŋɡəvri
amcangyfrif	amkaŋɡəvrɪv
amddiffyn	amðɪfɪn
amddiffynnaf	amðɪfənav
ameba	ameːba
ameba	amɛba
america	amɛrɪka
amethyst	amɛθɪsd
amffibiad	amfɪbjad
amguedd	amɡiɛð
amguedd	amɡiːɛð
amgueddfa	amɡiɛðva
amgueddfa	amɡjɛðva
amgyffred	amɡəfrɛd
amgylch	amɡɪlχ
amgylchedd	amɡəlχɛð
amgylcheddol	amɡəlχeːðɔl
amgylcheddol	amɡəlχɛðɔl
amgáu	amɡai̯
amhenodol	amhɛnoːdɔl
amhenodol	amhɛnɔdɔl
amheuaeth	amhei̯ai̯θ
amheuaeth	amhei̯ɛθ
amheuaf	amhei̯a
amheuaf	amhei̯av
amlach	amlaχ
amlen	amlɛn
amlwg	amlʊɡ
amnewid	annɛu̯ɪd
amobr	amɔbr
amod	amɔd
amodi	amoːdi
amodi	amɔdi
amodiad	amɔdjad
amrant	amrant
amrantiad	amrantjad
amrwd	amrʊd
amryw	amrɪu̯
amrywedd	amrɪu̯jɛð
amrywiad	amrɪu̯jad
amrywiaeth	amrɪu̯jai̯θ
amrywiaeth	amrɪu̯jɛθ
amrywio	amrɪu̯jɔ
amrywiol	amrɪu̯jɔl
amser	amsɛr
amserlen	amsɛrlɛn
amserlenni	amsɛrlɛni
amwythig	amʊi̯θɪɡ
anabl	anabl
anabl	aːnabl
anabledd	anablɛð
anableddau	anableːðai̯
anableddau	anableːðɛ
anableddau	anablɛðai̯
anableddau	anablɛðɛ
anadlu	anadli
anaf	anav
anaf	aːnav
anafa	anava
anafa	anaːva
anafai	anavai̯
anafai	anaːvai̯
anafais	anavai̯s
anafais	anavɛs
anafais	anaːvai̯s
anafais	anaːvɛs
anafes	anavɛs
anafes	anaːvɛs
anafu	anavi
anafu	anaːvi
anawsterau	anau̯sdeːrai̯
anawsterau	anau̯sdeːrɛ
anawsterau	anau̯sdɛrai̯
anawsterau	anau̯sdɛrɛ
aneiriol	anei̯rjɔl
anelu	aneːli
anelu	anɛli
anfantais	anvantai̯s
anfantais	anvantɛs
anfanteision	anvantei̯sjɔn
anfanteision	anvantei̯ʃɔn
anffodus	anfoːdɪs
anffodus	anfɔdɪs
anffurfiol	anfɪrvjɔl
anfon	anvɔn
anfonaf	anvoːnav
anfonaf	anvɔnav
angel	aŋal
angel	aŋɛl
angen	aŋɛn
angharad	aŋharad
angharad	aŋhaːrad
angheuol	aŋhei̯ɔl
anghlod	aŋhlɔd
anghlodwiw	aŋhlɔdwɪu̯
anghofio	aŋhɔvjɔ
anghofrwydd	aŋhɔvrʊi̯ð
anghofus	aŋhoːvɪs
anghofus	aŋhɔvɪs
anghofuster	aŋhɔvɪsdɛr
anghydfod	aŋhədvɔd
anghydradd	aŋhədrað
anghydraddoldeb	aŋhədraðɔldɛb
anghydsynio	aŋhɪdsənjɔ
anghydweld	aŋhɪdwɛld
anghydwelediad	aŋhɪdwɛlɛdjad
anghyfartal	aŋhəvartal
anghyflawn	aŋhəvlau̯n
anghyflogaeth	aŋhəvloːɡai̯θ
anghyflogaeth	aŋhəvloːɡɛθ
anghyflogaeth	aŋhəvlɔɡai̯θ
anghyflogaeth	aŋhəvlɔɡɛθ
anghyfreithlon	aŋhəvrei̯θlɔn
anghymdeithasol	aŋhəmdei̯θasɔl
anghymreigio	aŋhəmrei̯ɡjɔ
anghyseinedd	aŋhəsei̯nɛð
anghytgord	aŋhətɡɔrd
anghytuno	aŋhətiːnɔ
anghytuno	aŋhətɪnɔ
anghytuno	aŋətiːnɔ
anghytuno	aŋətɪnɔ
anghywir	aŋhəu̯ɪr
angladd	aŋlað
angladdau	aŋlaðai̯
angladdau	aŋlaðɛ
angladdau	aŋlaːðai̯
angladdau	aŋlaːðɛ
angof	aŋɔv
angylaidd	aŋəlai̯ð
angylaidd	aŋəlɛð
angyles	aŋəlɛs
angylesau	aŋəlɛsai̯
angylesau	aŋəlɛsɛ
angylion	aŋəljɔn
anhawster	anhau̯sdɛr
anialwch	anjalʊχ
anialwch	anjaːlʊχ
anifail	aniːvai̯l
anifail	aniːvɛl
anifail	anɪvai̯l
anifail	anɪvɛl
animeiddiad	anɪmei̯ðjad
animeiddiadau	anɪmei̯ðjjadai̯
animeiddiadau	anɪmei̯ðjjadɛ
animeiddiadau	anɪmei̯ðjjaːdai̯
animeiddiadau	anɪmei̯ðjjaːdɛ
animeiddio	anɪmei̯ðjɔ
animeiddiwr	anɪmei̯ðjʊr
animeiddwyr	anɪmei̯ðwɪr
annedd	anað
annedd	anɛð
anner	anɛr
annerch	anɛrχ
annherfynol	anhɛrvənɔl
annog	anɔɡ
annwyd	anʊi̯d
annwyl	anʊi̯l
annwyl	anʊl
anobaith	anoːbaiθ
anobaith	anoːbɛθ
anobaith	anɔbaiθ
anobaith	anɔbɛθ
anobeithiau	anɔbei̯θjai̯
anobeithiau	anɔbei̯θjɛ
anobeithio	anɔbei̯θjɔ
anobeithiol	anɔbei̯θjɔl
anodd	anɔð
anodd	aːnɔð
anoddach	anoːðaχ
anoddach	anɔðaχ
anoddaf	anoːða
anoddaf	anoːðav
anoddaf	anɔða
anoddaf	anɔðav
anodded	anoːðɛd
anodded	anɔðɛd
anogaf	anoːɡa
anogaf	anoːɡav
anogaf	anɔɡa
anogaf	anɔɡav
anrheg	anr̥ɛɡ
anrhydeddu	anrədeːði
anrhydeddu	anrədɛði
anrhydeddu	anr̥ədeːði
anrhydeddu	anr̥ədɛði
ansawdd	ansau̯ð
ansoddair	ansoːðai̯r
ansoddair	ansɔðai̯r
antimoni	antɪmɔni
anuniongyrchol	anɪnjɔŋɡərχɔl
anweddu	anweːði
anweddu	anwɛði
anwybyddu	anwɪbəði
ap	ap
apêl	apeːl
ar	ar
ar agor	araɡɔr
ar agor	araːɡɔr
ar amrantiad	aramrantjad
ar bwys	arbʊi̯s
ar daith	ardai̯θ
ar draws	ardrau̯s
ar dân	ardaːn
ar gau	arɡai̯
ar gof a chadw	arɡoːvaχadu
ar gof a chadw	arɡoːvaχaːdu
ar gyfer	arɡəvɛr
ar hyn o bryd	arhɪnɔbriːd
ar werth	arwɛrθ
ar ôl	aroːl
arad	aːrad
arad	ərarad
aradr	arad
aradr	aradr
aradr	aːrad
aradr	aːradr
araf	arav
araf	aːrav
arall	araɬ
arall	aːraɬ
aran	aran
aran	aːran
arbed	arbɛd
arbedaf	arbeːda
arbedaf	arbeːdav
arbedaf	arbɛda
arbedaf	arbɛdav
arch	arχ
archangel	arχaŋɛl
archangylion	arχaŋəljɔn
archeb	arχɛb
archebion	arχɛbjɔn
archebu	arχeːbi
archebu	arχɛbi
archfarchnad	arχvarχnad
archseren	arχseːrɛn
archseren	arχsɛrɛn
ardal	ardal
ardaloedd	ardaːlɔi̯ð
ardaloedd	ardaːlɔð
ardd	arð
arddaf	arðav
arddangosfa	arðaŋɡɔsva
arddangosfeydd	arðaŋɡɔsvei̯ð
arddelw	arðɛl
arddelw	arðɛlw
ardderchog	arðɛrχɔɡ
arddwrn	arðʊrn
aredaf	areːda
aredaf	areːdav
aredaf	arɛda
aredaf	arɛdav
aredig	areːdɪɡ
aredig	arɛdɪɡ
aren	aːrɛn
arestio	arɛstjɔ
arf	arv
arfau	arvai̯
arfau	arvɛ
arfedd	arvɛð
arfeddog	arveːðɔɡ
arfeddog	arvɛðɔɡ
arfer	arvɛr
arglwydd	arɡlʊi̯ð
argoel	arɡɔi̯l
argraff	arɡraf
argraffiad	arɡrafjad
argraffiadaeth	arɡrafjadai̯θ
argraffiadaeth	arɡrafjadɛθ
argraffiadaeth	arɡrafjaːdai̯θ
argraffiadaeth	arɡrafjaːdɛθ
argraffiadwyr	arɡrafjadwɪr
argraffiadydd	arɡrafjadɪð
argraffiadydd	arɡrafjaːdɪð
argraffu	arɡrafi
argraffwr	arɡrafʊr
argraffwyr	arɡrafwɪr
argraffydd	arɡrafɪð
argraffyddion	arɡrafəðjɔn
argrafiadau	arɡrafjadai̯
argrafiadau	arɡrafjadɛ
argrafiadau	arɡrafjaːdai̯
argrafiadau	arɡrafjaːdɛ
arholi	arhɔli
arholiad	arhɔljad
arholiadau	arhɔljadai̯
arholiadau	arhɔljadɛ
arholiadau	arhɔljaːdai̯
arholiadau	arhɔljaːdɛ
arholiadau	arɔljadɛ
arholiadau	arɔljaːdɛ
arhosaf	arhɔsav
arhosan	arhɔsan
arhosfa	arhɔsva
arhoswch	arhɔsʊχ
arian	arjan
arian parod	arjamparɔd
arian parod	arjampaːrɔd
ariannin	ərarjanɪn
ariannog	arjanɔɡ
arllwys	arɬʊi̯s
arllwys	arɬʊs
arllwysaf	arɬʊi̯sa
arllwysaf	arɬʊi̯sav
arlwy	arlui̯
armenia	armɛnja
arna	arna
arnat	arnat
arni	arni
arno	arnɔ
arolwg	aroːlʊɡ
arolwg	arɔlʊɡ
arolygiad	arɔləɡjad
arolygiadau	arɔləɡjadai̯
arolygiadau	arɔləɡjadɛ
arolygiadau	arɔləɡjaːdai̯
arolygiadau	arɔləɡjaːdɛ
arolygiaeth	arɔləɡjai̯θ
arolygiaeth	arɔləɡjɛθ
arolygiaethau	arɔləɡjei̯θai̯
arolygiaethau	arɔləɡjei̯θɛ
arolygol	arɔləɡɔl
arolygon	arɔləɡɔn
arolygu	arɔləɡi
arolygwr	arɔləɡʊr
arolygwyr	arɔləɡwɪr
arolygydd	arɔləɡɪð
aromatherapi	arɔmaθɛrapi
aromatherapydd	arɔmaθɛrapɪð
aromatherapyddion	arɔmaθɛrapəðjɔn
aros	arɔs
aros	aːrɔs
arosfa	arɔsva
arosfeydd	arɔsvei̯ð
arswyd	arsʊi̯d
arswydau	arsʊi̯dai̯
arswydau	arsʊi̯dɛ
arswydo	arsʊi̯dɔ
arswydus	arsʊi̯dɪs
arth	arθ
arth fach	arθvaːχ
arth fawr	arθvau̯r
arth fwyaf	arθvʊi̯a
arth fwyaf	arθvʊi̯av
arthan	arθan
arwain	arwai̯n
arwain	arwɛn
arweiniad	arwei̯njad
arweinydd	arwei̯nɪð
arweinyddion	arwei̯nəðjɔn
arwerthiannau	arwɛrθjanai̯
arwerthiannau	arwɛrθjanɛ
arwerthiant	arwɛrθjant
arwerthu	arwɛrθi
arwerthwr	arwɛrθʊr
arwerthwyr	arwɛrθwɪr
arwydd	arwɪð
arwydd	arʊi̯ð
arwydd	aːrʊi̯ð
arwynebedd	arwɪneːbɛð
arwynebedd	arwɪnɛbɛð
arwynebedd	arʊi̯neːbɛð
arwynebedd	arʊi̯nɛbɛð
asen	asɛn
asesiad	asɛsjad
asesiad	asɛʃad
asesiadau	asɛsjadai̯
asesiadau	asɛsjadɛ
asesiadau	asɛsjaːdai̯
asesiadau	asɛsjaːdɛ
asesiadau	asɛʃadai̯
asesiadau	asɛʃadɛ
asesiadau	asɛʃaːdai̯
asesiadau	asɛʃaːdɛ
asesu	asɛsi
aseswr	asɛsʊr
aseswyr	asɛswɪr
asgell	asɡɛɬ
asgell fraith	asɡɛɬvrai̯θ
asgellog	asɡɛɬɔɡ
asgwrn	asɡʊrn
asid	asɪd
astrus	asdrɪs
astrusi	asdrɪsi
asyn	asɪn
at	at
ata	ata
atal	atal
atalfa	atalva
atalfeydd	atalvei̯ð
atalnod	atalnɔd
atborth	atbɔrθ
atborthion	atbɔrθjɔn
ateb	atɛb
atebaf	ateːba
atebaf	ateːbav
atebaf	atɛba
