dreq	dɾɛcɕ
gjithësi	ɟiθəsi
bulledër	buɫɛdəɾ
shigjetari	ʃid͡ʑɛtaɹi
kaproll	kapɾɔɫ
rrezikshëm	rɛzikʃəm
shqiptoj	ʃkʲiptɔj
pasur	pasuɹ
ëmbël	əmbəl
lus	lus
xhehenem	dʒɛhɛnɛm
zanafillë	zanafiɫə
lar	laɾ
mbledh	mblɛð
fuqishëm	fuciʃəm
bashkëjetoj	baʃkəjɛtɔj
thesar	θɛsaɾ
paqe	pacɛ
zef	zɛf
donikë	dɔniːk
litar	litaɾ
bilë	bilə
bizon	bizɔn
bdek	bdɛk
katërmbëdhjetë	katəɾmbəðjɛtə
sistem	sɪstɛm
amë	aːm
putër	putə
cup	tsup
kalë	kalə
shtreb	ʃtɾɛb
mjaltë	mjaltə
ç'	t͡ʃ
ishte	iʃtɛ
dëftor	dəftɔɹ
tavë	tavə
kryqëzatë	kɾycɕəzatə
birrem	birem
gozhdë	ɡɔːʒd
ikur	ikuɾ
librari	libɾaɾi
tridhjetenëntë	tɾiðjɛtɛnəntə
halë	haːl
dhe	ðɛ
njëzetenëntë	ɲəzɛtɛnəntə
shpjegoj	ʃpjɛɡɔj
zvicërr	zvit͡sər
bukur	bukuɾ
zvogëloj	zvɔɡəlɔj
të	tə
muskulor	muskulɔɹ
vihem	vihem
fe	fɛ
votoj	votɔj
shqiponjë	ʃcipɔɲə
mëshoj	məʃɔj
zbuloj	zbulɔj
udhëzim	uðəzim
bagëti	baɡəti
çifteli	t͡ʃiftɛli
galë	ɡaːl
përsosur	pɚsosuɹ
ushqej	uʃcçɛj
dihet	dihet
urdhëror	uɹðəɹɔɹ
veprim	vɛpɹim
dihet	dihɛt
bejleg	bɛlɛɡ
kungoj	kuŋɡɔj
mrikë	mɾiːk
grimcoj	ɡɾimt͡sɔj
tërë	təːɾə
veti	vɛti
c	t͡sə
mbart	mbaɾt
grafik	ɡɹafik
lëkurë	ləkuɹə
zhubë	ʒuːb
spec	spɛt͡s
masturbim	mastuɹbim
fatjon	fatjɔn
a	a
urdhëror	uɾðəɾɔɾ
yjeplotë	yjɛplɔtə
tamël	tɒməl
dridhem	dɾiðɛm
bashkohem	baʃkɔhɛm
kamatë	kamaːt
lylc	ʎyʎt͡s
eshtë	ɛʃtər
ekologji	ɛkɔlɔɟʑi
jakup	jakʲup
dhjes	ðjɛs
di	di
fall	faɫ
ramush	ɾamuʃ
afrohem	afɾɔhɛm
veri	vɛɾi
mut	mut
mund	mʊnd
therës	θɛɾəs
punësuara	punəsuaɾa
lopatë	lɔpaːt
bashtinë	baʃtiːn
pavdekshëm	pavdɛkʃəm
rrezik	rɛzik
prehën	pɹehən
belbëzoj	bɛlbəzɔj
dyzetepesë	dyzɛtɛpɛsə
vete	vɛtɛ
rrah	rah
qeveris	cɛvɛɾis
bir	biɾ
matematikë	matɛmatikə
shtrat	ʃtɾat
dashni	daʃni
filxhan	fildʒan
pesëdhjetegjashtë	pɛsəðjɛtɛɟʑaʃtə
pesëdhjetë	pɛsəðjɛtə
shuguroj	ʃuɡuɾoj
trembëdhjetë	tɾɛmbəðjɛtə
flihet	flihɛt
afganistani	afɡanistani
thjeshtë	θjɛʃtə
dymbëdhjetë	dymbəðjɛtə
elb	ɛlb
shof	ʃɔf
dan	dan
patëllxhan	patəɫdʒan
shembull	ʃɛmbuɫ
mal	mal
përsos	pɚsos
trondit	tɾɔndit
gajushë	ɡajuʃ
mbaroj	mɑɹɔj
gadishull	ɡadiʃuɫ
apologji	apɔlɔɟi
shtoj	ʃtɔj
det	dɛt
kthjelloj	kθjɛɫɔj
dhëndërr	ðəndər
aftë	aft
boçëborë	bɔt͡ʃəbɔːɾ
rrëshqanor	rəʃcanɔɾ
prëhër	pɾəhəɾ
langua	lanɡuɛ
punësohem	punəsɔhɛm
makinë	makinə
gotë	ɡɔːt
shqipëlloj	ʃcipəɫɔj
kurriz	kuriz
fllad	fɫad
shqipëri	ʃcɕipni
dodë	dɔːdə
manxuranë	mand͡zuraːn
hotel	hɔtɛl
fletë	fletə
belush	bɛluʃ
patur	patuɹ
qeveri	cɛvɛɾi
flihet	fʎəhɛt
grimcoj	ɡɹimt͡sɔj
kaçërotë	käɕəɹɔːtə
padukshëm	padukʃəm
shokëve	ʃɔkvɛ
dhen	ðɛn
bardhyll	baːɾðyːl
fshihem	fʃihem
bafër	bafəɾ
zotëni	zɔtəni
bakter	baktɛɹ
këput	kəput
shpifa	ʃpifa
gjashtë	ɟaʃtə
bashkëfajtor	baʃkəfajtɔɹ
lopë	lɔpə
shqipëria	ʃcipnia
hide	hidɛ
lut	lus
thellë	θɛːɫ
peshuar	pɛʃuaɾ
mali	mali
përgjithësoj	pɚɟʑiθəsɔj
qemë	cɕɛmə
çetinë	t͡ʃɛtiːn
blihem	bʎihem
sodit	sɔdit
toskërishte	tɔskəɾiʃtɛ
bozhure	bɔʒuɾɛ
jak	jak
buzë	buzə
harrueshëm	haruɛʃəm
shermend	ʃɛɾmɛnd
kunat	kunat
amull	amuɫ
paqe	pat͡ɕɛ
tridhjetegjashtë	tɾiðjɛtɛɟʑaʃtə
ndihem	ndihɛm
arbëreshë	aɾbəɾɛʃə
shurbë	ʃuːɾb
mbulohem	mbulɔhɛm
kushtor	kuʃtɔɹ
xhak	d͡ʒaːk
kujtoj	kujtɔj
pyll	pyɫ
bisedë	bisɛːd
shap	ʃap
gënjej	ɡəɲɛj
kujtim	kujtim
grafulloj	ɡɾafuɫɔj
habit	habit
bezgë	bɛːzɡ
gegërishte	ɡɛɡəɾiʃte
ngjis	ɲɟis
gëzoj	ɡəzɔj
afër	afəɾ
zhvesh	ʒvɛʃ
gjashtëdhjetegjashtë	ɟaʃtəðjɛtɛɟaʃtə
gjysh	ɟyʃ
sfurk	sfuːrk
grûnë	ɡɾũnə
lexueshëm	lɛdzuɛʃəm
gjashtëdhjetenëntë	ɟʑaʃtəðjɛtɛnəntə
macë	mãːt͡s
bodrum	bɔdɾum
ato	atɔ
ashpër	aʃpəɾ
uragan	uɾaɡan
vagëlloj	vaɡəɫɔj
agull	aɡuɫ
shokësh	ʃɔkəʃ
anglisht	anɡliʃt
gjuhë	ɟuhə
harmoç	haɾmɔt͡ʃ
skelet	skɛlɛt
gramatikan	ɡɾamatikan
dac	dat͡s
sqotë	scɕɔtə
brengos	brɛnɡɔs
fizikë	fizikə
gjashtëdhjeteshtatë	ɟʑaʃtəðjɛtɛʃtatə
libër	libəɾ
gramatikor	ɡɾamatikɔɹ
gozhup	ɡɔʒup
bujgër	bujɡəɾ
daniel	danjɛl
dyzetedy	dyzɛtɛdy
kaci	kat͡si
makth	makθ
ryshfet	ɾyʃfɛt
amfib	amfib
nxjerr	ndzjɛr
valixhe	validʒɛ
xhenem	dʒɛnɛm
dëshiror	dəʃiɾɔɾ
qerre	cɛrɛ
energjik	ɛnɛɾɟik
nxehtësi	ndzehtəsi
vindjak	vɪndjak
bërcel	bəɾcɛl
atësi	atəsi
shtëpi	ʃtəpi
tru	tɾũ
kaçërotë	käʃəɹɔːtə
arritje	aritjɛ
dashi	daʃi
ƅ	bə
qen	cɕɛn
cërmëdell	t͡səɾmədɛɫ
pjeshkë	pjɛːʃk
dëftore	dəftɔɾe
qepë	ceːpə
gjashtëdhjetenjë	ɟʑaʃtəðjɛtɛɲə
viç	vic
vjeshtë	vjɛʃtə
fushatë	fuʃatə
zi	zi
blej	blej
bardhyll	baːɾðiːʎ
qup	c͡ɕup
mollë	mɔɫə
bioteknologji	bijɔtɛknɔlɔɟʑi
dy	dy
amulli	amuɫi
paqe	pac͡ɕɛ
bush	buʃ
gërbellë	ɡəɾbɛːɫ
karkalec	kaɾkalɛt͡s
gobellë	ɡɔbɛːɫ
komunikoj	kɔmunikɔj
shumëgjuhësh	ʃuməɟʑuhəʃ
shqipëlloj	ʃt͡ʃipəɫɔj
morfologji	mɔɹfɔlɔɟʑi
betë	betə
qofshit	cɕɔfʃit
flihet	fʎihet
bashkëngjis	baʃkənɟʑis
rezultat	ɾɛzultat
qupi	t͡ɕupi
buzëqesh	bʊzəcɛʃ
zysh	zyʃ
acarohem	at͡saɾɔhɛm
jashtëzakonisht	jaʃtəzakɔniʃt
arë	aːɾə
shputë	ʃputə
gatë	ɡatə
kuçedër	kutʃɛdəɾ
paqe	pakʲɛ
prehën	pɾehən
tjetër	tjɛtəɾ
shqiptoj	ʃc͡ɕiptɔj
ushqim	uʃɕim
dyzetenëntë	dyzɛtɛnəntə
femër	fɛməɹ
amti	amti
bërshen	bəɾʃɛn
modest	mɔdɛst
ethe	hɛθɛ
gjykoj	ɟykɔj
vërtetë	vəɾtɛt
gjashtëkëndësh	ɟaʃtəkəndəʃ
jenë	jɛnə
nëntë	nəntə
mësohem	məsɔhɛm
sjellje	sjɛɫjɛ
bardhë	baːɹθ
qiri	cɕiɾi
dajë	dajə
kanavacë	kanavaːt͡s
lungë	luŋɡə
ushqim	uʃtɕim
kremte	kɾɛmtɛ
fjalë	fjalə
milingonë	milinɡɔːn
buças	but͡ʃas
bricjapi	bɾit͡sjapi
peshohem	pɛʃɔhɛm
duaj	duːaj
je	jɛ
dorë	dɔɹ
mbuloj	mbulɔj
argjend	aɾɟɛnd
xhaketë	d͡ʒaketə
dëftore	dəftɔɹe
ajër	ajər
fidhës	fiðəs
gjashtëdhjetetre	ɟʑaʃtəðjɛtɛtɾɛ
eci	ɛtsi
alarmohem	alaɾmɔhɛm
carangth	t͡saɾaŋθ
tridhjetetetë	tɾiðjɛtɛtɛtə
qiell	cçiɛɫ
shqiptar	ʃcɕiptaɹ
frashër	fɾaʃəɾ
kënaq	kənacɕ
ë	ə
shkruaj	ʃkɾuaj
dyzeteshtatë	dyzɛtɛʃtatə
vakëf	vakəf
bashkëjetesë	baʃkəjɛtɛsə
dushkull	duʃkuɫ
dodaj	doːdaj
yll	uːɫ
rruaj	ruaj
mace	mõːt͡s
gjarpër	ɟaɾpəɹ
gjëlpërë	ɟʑɪlpəɹ
bardhyll	baːɾðiːl
asht	aʃt
shat	ʃat
dobi	dɔbi
kuptim	kuptim
mbush	mbuʃ
hatër	hatəɾ
gëlltit	ɡəɫtit
krimb	kɾimb
kallcë	kɒːɫt͡sə
herdhesh	hɛɾðɛʃ
dushk	duʃk
banoj	banoj
lidhore	liːðɔɹe
pajtoj	pajtɔj
gljuhë	ɡljuxə
lakmi	lakmi
qupi	kʲupi
gjeth	ɟeθ
krekë	kɾɛːk
këpus	kəpus
bar	baɾ
ereksion	ɛɾɛksiɔn
flihet	fʎihɛt
dodë	dɔːd
jap	jaːp
bardhyll	baːɾðyːɫ
vërtetë	vəɹtɛtə
vihem	vihɛm
miqësohem	micɕəsɔhɛm
zë	zə
këpucë	kəput͡sə
kos	kɔs
ëngjëll	ənɟəɫ
dh	ðə
ar	aɾ
jakupi	jakupi
kudër	kuːdəɾ
përhap	pəɾhap
tridhjeteshtatë	tɾiðjɛtɛʃtatə
bredh	bɾɛð
gjykatë	ɟykaːt
buxhetor	budʒɛtɔɹ
arsyetoj	aɾsyɛtɔj
shëtit	ʃətit
duhi	duhi
o	oː
që	c͡ɕə
njer	ɲɛɾ
afër	afəɹ
luginë	luɡinə
arnë	aːɾn
vjedhëse	vjɛðəsɛ
daniel	daɲɛɫ
mbaj	mbaj
shqipëri	ʃcipəɾi
madhe	ɛmaðɛ
njëzet	ɲəzɛt
arushë	aɾuːʃə
keqe	kɛcɕɛ
ishin	iʃin
njëzetenjë	ɲəzɛtɛɲə
pykë	pyːk
vlej	vlɛj
lashtë	laʃtə
peshova	pɛʃɔva
bëllogxhi	bəɫɔ̯ɡd͡ʒiː
tatuazh	tatuaʒ
arqitë	aɾciːt
sinqertë	siŋc͡ɕɛɾtə
shtatzënë	ʃtatzəːn
çmend	t͡ʃmɛnd
mjalcë	mjaltsə
lafshë	lafʃə
bobo	bɔbɔ
punësi	punəsi
lajm	lajm
yjor	yjɔɹ
qifsha	t͡ɕifʃaː
muskul	muskul
zog	zɔɡ
shtëpâ	ʃtəpã
sqaroj	stɕaɹɔj
dëftohem	dəftɔhɛm
bletë	bletə
mbarë	mbɑɾə
vegsh	vɛɡʃ
ballëbreshtëz	baɫəbɾɛʃtəz
hirrë	hirə
përtoj	pəɾtɔj
ap	aːp
ujori	ujɔɾi
kastravec	kastɾavɛt͡s
qofsha	cɕofʃa
qivur	tɕivuɹ
lyp	lyp
stan	stan
bathë	baːθ
ndoc	ndɔt͡s
prag	pɾaɡ
inteligjencë	intɛliɟɛntsə
qup	kʲup
cac	t͡sat͡s
polem	pɔlɛm
qupi	t͡ʃupi
dyzetenjë	dyzɛtɛɲə
kënaqësi	kənacɕəsi
zvicër	zvit͡sər
grûnë	ɡɹũnə
pesëdhjetetre	pɛsəðjɛtɛtɾɛ
rreshtoj	rɛʃt
stihi	stihi
maqorr	mac͡ɕɔr
dështim	dəʃtim
mace	mat͡sɛ
lidhor	liːðɔɾ
maqorr	mat͡ʃɔr
urrej	urɛj
arne	aɾnɛ
belot	bɛlɔt
babanik	babanik
është	əʃtə
bashkëndodhi	baʃkəndɔði
buxhak	bud͡ʒak
hir	hiːɾ
bagolinë	baɡɔliːn
bri	bɹĩː
virtyt	viɾtyt
shtatëmbëdhjetë	ʃtatəmbəðjɛtə
kala	kala
drokth	dɾɔkθ
mëkat	məkat
bardhë	baːɾθ
bilë	biʎə
zhbllokohet	ʒbɫɔkɔhɛt
dreq	dɾɛt͡ɕ
besnik	bɛsnik
prift	pɾift
gakth	ɡakθ
rritem	ritem
zhvishem	ʒviʃɛm
dëshirë	dəʃiɾə
bërllog	bəɾɫɔ̯ɡ
kushtrim	kuʃtɾim
hartinë	haɾtiːn
blihem	blihem
a	ɑ
shqiptar	ʃciptaɾ
herdhe	hɛɾðɛ
shtëpiak	ʃtəpiak
udhëheq	uðəhɛc
gegnishte	ɡɛɡəniʃte
stinë	stinə
lakuriqësi	lakuɾicəsi
vërtetë	vəɾtɛtə
grurë	ɡɾuɾə
viç	vic͡ɕ
madhësi	maðəsi
vdes	vdɛs
mëshirë	məʃiːɾ
peshqit	pɛʃcit
dhampir	ðampiɾ
derr	dɛr
imam	imam
gjë	ɟə
ynë	ynə
përafrohem	pəɾafɾɔhɛm
rajon	ɾajɔn
kujdestar	kujdɛstaɾ
pesëdhjetenjë	pɛsəðjɛtɛɲə
çupi	kʲupi
tridhjetenjë	tɾiðjɛtɛɲə
njëkohësisht	ɲəkɔhəsiʃt
qafë	cafə
gjilpërë	ɟilpəɾə
verbër	vɛɾbəɾ
zgjiç	zɟitʃ
zhubër	ʒubəɾ
kreshmë	kɾɛʃmə
shejtan	ʃɛjtan
ata	ata
kundërshtoj	kundəɾʃtɔj
mbahem	mbahɛm
qofsh	cɕofʃ
gjuhë	ɡʎuxə
dëshirore	dəʃiɹɔɹe
tre	tɾɛ
ishim	iʃim
afroj	afɾɔj
njëzetetre	ɲəzɛtɛtɾɛ
muzikë	muzikə
punëtor	punətoɾ
shqipëlloj	ʃt͡ɕipəɫɔj
gjej	ɟɛj
përgjithshëm	pɚɟʑiθʃəm
shkathët	ʃkaθət
en	ɛɲi
arrës	arəs
vuaj	vuaj
besim	bɛsim
gjymtyrë	ɟymtyːɾ
dhjetë	ðɛt
akth	akθ
pajt	pajt
shkencë	ʃkɛntsə
vinjak	d
fryhem	fryhɛm
gomar	ɡɔmaɾ
pesëdhjetedy	pɛsəðjɛtɛdy
neve	nɛvɛ
parapëlqej	paɾapəlcɛj
bijë	bijə
vjedh	vjɛð
iki	iki
skipetar	ʃcɕiptaɹ
mbaroj	mbaɾɔj
bënj	bənj
zdrukth	zdɾukθ
akrepi	akɾɛpi
veçantë	vɛtʃantə
thith	θiθ
alarm	alaɾm
kij	kij
frikë	fɾikə
përzë	pəɾzə
gërnetë	ɡəɾnɛːt
boshtër	bɔʃtəɾ
krijoj	kɾiːjɔj
mburrem	mburɛm
krahasoj	kɾahasɔj
grabit	ɡɾabit
çakall	tʃakaɫ
gljuhë	ɟuhə
shoku	ʃɔku
bakëm	bakəm
pesëdhjetenëntë	pɛsəðjɛtɛnəntə
çudi	t͡ʃudi
fytyrë	fytyɹə
zbavis	zbavis
qup	t͡ʃup
macë	mat͡sə
shëlboj	ʃəlbɔj
këmbej	kəmbɛj
bizele	bizɛlɛ
lus	ʎʊs
mësim	məsim
shqyptar	ʃɕyptaɾ
mëdha	təməða
habitor	habitɔɹ
çliroj	t͡ʃliɾɔj
zojz	zɔːjz
qime	cimɛ
keqkuptoj	kɛcɕkuptɔj
shuplakë	ʃuplaːk
kepa	keːpa
bri	bɾiː
një	ɲə
daniel	danjɛɫ
ilqe	ilcɛ
shqip	ʃcip
vagjinë	vaɟʑinə
kudër	kuːdəɹ
kulturë	kultuɾə
anita	anita
keqardhës	kɛcɕaɾðəs
urdhërore	uɾðəɾɔɾe
pushoj	puʃɔj
gzim	ɡzim
plug	pluɡ
qye	c͡ɕyː
shqipëria	ʃcipəɾia
jozë	joːz
doracak	dɔratsaku
kikirik	kikiɾik
postel	pɔstɛl
gjuhë	ɡljuxə
sëpatë	səpatə
kaçurrel	kat͡ʃurɛl
letër	lɛtəɾ
zhurmoj	ʒuɾmɔj
vaginë	vaɡinə
shqipëri	ʃcɕipəni
isha	iʃa
rrëmujaxhi	rəmujadʒi
çifut	t͡ʃifut
përmirësoj	pəɹmiɹəsɔj
gjerë	ɟɛɾə
këqinj	kəcɕiɲ
ofendoj	ɔfɛndɔj
ky	ky
drejt	dɾɛjt
dredhëz	dɾɛðəz
mjel	mjɛl
ang	aŋɡ
shtet	ʃtɛt
pagëzoj	paɡəzɔj
biçikletë	bit͡ʃikletə
trashëgoj	tɾaʃəɡɔj
zvicrra	zvit͡sra
pabesueshëm	pabɛsuɛʃəm
kënaqem	kənac͡ɕɛm
jeni	jɛni
qye	cyː
ujdis	ujdis
brehem	bɾehem
së	sə
xheloz	dʒɛlɔs
joz	joːz
furçë	fuːɾt͡ʃ
kaçavidë	kat͡ʃaviːd
qerpik	tɕɛɹpik
dihat	dihat
krejtësisht	kɾɛjtəsiʃt
kaçubë	kat͡ʃuːb
mbasi	mbaːsi
modesti	mɔdɛsti
kordhë	kɔːɾð
kopër	kɔpəɾ
tridhjetedy	tɾiðjɛtɛdy
botoj	bɔtɔj
larg	laɾɡ
botë	bɔtə
lehtësoj	lɛhtəsɔj
udhë	uːð
drizë	dɾiːz
kthetër	kθɛtɚ
kaçkavall	kat͡ʃkavaɫ
mjellmë	mjɛɫmə
perëndim	pɛɾəndim
maqorr	macɔr
sup	sup
shihem	ʃiːhem
domosdoshëm	dɔmɔsdɔʃəm
këqija	kəɕija
ylber	ylbɛɹ
qup	t͡ɕup
kushtore	kuʃtɔɾe
nënë	nənə
dod	dɔːd
xhehnem	dʒɛhnɛm
zot	zɔt
shark	ʃaɾk
që	t͡ɕə
kaçubet	kat͡ʃubɛt
gramatikisht	ɡɾamatikiʃt
beshtë	bɛːʃt
daniell	daɲɛɫ
dashuroj	daʃuɾɔj
jakup	jakup
zakon	zakɔn
jozef	joːzəf
herdheve	hɛɾðɛvɛ
hidhërohem	hiðəɾɔhɛm
njëzetekatër	ɲəzɛtɛkatəɹ
gljuhë	ɡʎuxə
shqiptar	ʃcɕiptaɾ
arashkë	aɾaːʃk
ukshin	ukʃin
vjehërr	vjɛhər
çup	c͡ɕup
shqipohem	ʃcipɔhɛm
udhëhiqem	uðəhicɛm
kyç	kyt͡ʃ
dashurohem	daʃuɾɔhɛm
deri	dɛɾi
daniell	danjɛɫ
gjashtëdhjetepesë	ɟʑaʃtəðjɛtɛpɛsə
qartë	caːɾt
zbukuroj	zbʊːkʊɾɔj
peshore	pɛʃɔɾɛ
mbushem	mbuʃɛm
beqar	bɛcaɾ
qeth	cɛθ
shushunjë	ʃuʃuːɲə
fërkoj	fəɾkɔj
vraç	vɾat͡ʃ
stërvis	stəɾvit
gardh	ɡaɾð
zvarrisem	zvarisɛm
vdekje	vdɛkjɛ
gjitar	ɟʑitaɹ
quhem	cuhɛm
hënë	hənə
budallallosem	budaɫaɫɔsɛm
dëllinjë	dəɫiːɲ
thashethemëxhi	θaʃɛθɛmədʒi
punëdhënës	punəðənəs
pesë	pɛsə
verior	vɛɾiɔɾ
bolbë	bɔːlb
këpushë	kəpuʃə
bëj	bəj
flihet	flihet
çupi	t͡ɕupi
quaj	kluːɲ
shpretkë	ʃprɛtkə
piano	pianɔ
shqiptoj	skʲiptɔj
dyzetetetë	dyzɛtɛtɛtə
shokun	ʃɔkun
emtë	ɛmtə
ujë	ujə
sopatë	sɔpatə
zvicra	zvit͡sra
dorëzohem	dɔɹzɔhɛm
rrjedhje	rjɛðjɛ
teuta	teuta
shërbej	ʃəɾbɛj
pafund	pafunt
shkurtohem	ʃkuɾtɔhɛm
grimcuar	ɡɾimt͡suaɾ
pesëdhjetepesë	pɛsəðjɛtɛpɛsə
shqiptar	ʃkʲiptaɾ
vobektë	vɔbɛkt
veri	veɾi
qye	t͡ʃyː
hyjnor	hyjnɔɾ
shqipëlloj	ʃc͡ɕipəɫɔj
ftohtësi	ftɔhtəsi
këllk	kəɫk
luftë	luftə
zbavitës	zbavitəs
bërryl	bəryl
vlefshëm	vlɛfʃəm
arkivol	aɹkivɔl
qofshim	cɕofʃim
masturboj	mastuɹbɔj
qëndroj	cɕəndɾɔj
durrës	durəs
merimangë	mɛɾimaŋɡə
kreshnik	kɾɛʃnik
jak	jakə
betoj	bɛtɔj
shemër	ʃɛməɾ
çup	t͡ʃup
gramatikë	ɡɾamatikə
bakall	bakaɫ
habitore	habitɔɾe
shqiptoj	ʃt͡ɕiptɔj
heci	hɛt͡si
sh	ʃ
shkëndijë	ʃkəndiːj
yll	yːɫ
paafruar	paːafɾuːaɾ
lajthi	lajθi
shkal	ʃkal
janë	janə
kosë	kɔːs
gëlqere	ɡəlcɛɾɛ
jakupi	jakʲupi
mjeshtër	mjɛʃtəɾ
shakull	ʃakuɫ
dodaj	doːdaɲi
nëntëmbëdhjetë	nəntəmbəðjɛtə
kaçërotë	kät͡ʃəɹɔːtə
lloj	ɫɔj
helmoj	helmɔj
joz	joːzə
shturë	ʃtuːɾ
morr	mɔr
luaj	luaj
vlagë	vlaːɡ
interes	intɛrɛs
hithës	hiθəs
tarogzë	taɾɔːɡzə
ag	aɡ
djersij	djeɾsij
caran	t͡saɾan
mauthia	mauθia
lagët	laɡət
valdet	valdɛt
çupi	c͡ɕupi
imi	imi
d	də
vendos	vɛndos
qendër	cɛndəɾ
armë	aːɾm
jini	jini
bojaxhi	bɔjadʒi
qenë	cɕɛnə
afrona	afɾɔːna
bardhyll	baːɾðuːʎ
gresë	ɡɾɛːs
lëndim	ləndim
qepë	cçeːpə
jozef	joːzɛf
tosknishte	toskniʃte
mbahem	mbahem
mëgashtër	məɡaʃtəɾ
alarmim	alaɾmim
harroj	harɔj
josef	joːsəf
zotëri	zɔtəri
blihem	blihɛm
peshë	pɛʃə
gjyq	ɟyc
dinjitet	diɲitɛt
aftësi	aftəsi
zvicra	zvit͡sɾa
jozë	joːzə
vdekur	vdɛkuɾ
shparg	ʃpaɾɡ
kryetar	kɾyetaɾ
josef	joːsɛf
qup	cup
shtëllungë	ʃtəɫuŋə
grimcuar	ɡɹimt͡sue
breg	bɾɛɡ
vetvetishëm	vɛtvɛtiʃəm
çelës	tʃɛləs
dodë	doːd
doracak	dɔɾatsak
frymëzoj	fɾyməzɔj
birrem	birɛm
hyj	hyj
anitë	anitə
zhurmoj	ʒuɹmɔj
akrep	akɾɛp
shpotit	ʃpɔtit
së	s
afron	afɹɔn
klm	kələmə
gjashtëdhjetë	ɟaʃtəðjɛtə
mbikëqyr	mbikəcyɾ
motivoj	motivɔj
dyzet	dyzɛt
xitelë	dzitɛlə
liqen	licɛn
përqesh	pəɾcɛʃ
blej	blɛj
vampir	vampiɾ
sherbelë	ʃɛɾbɛːl
vjehrrë	vjɛhrə
afron	afɾɔn
dh	ð
shtrep	ʃtɾɛp
arushan	aɾuʃan
fare	faɾɛ
shpend	ʃpɛnd
përafroj	pəɾafɾɔj
dëshirore	dəʃiɾɔɾe
vërtetë	vəɹtɛt
mish	miʃ
thelbësor	θɛlbəsoɹ
pat	pat
motivohem	motivɔhɛm
prëhën	pɹəhən
pësoj	pəsɔj
rrepë	rɛpə
zemër	zɛ̃ːməɾ
leksikologji	lɛksikɔlɔɟʑi
kaçërotë	kät͡ɕəɹɔːt
gjorë	iɟɔrə̥
mendoj	mɛndɔj
brazdë	braːzd
z	zə
alarmoj	alaɾmɔj
sheqer	ʃɛcɕɛɾ
hajdut	hajdut
urdhërore	uɹðəɹɔɹe
keq	kɛcɕ
qifsha	cifʃaː
viç	vit͡ʃ
çfarë	tʃfaɹə
shtohem	ʃtɔhɛm
rrepë	rɛp
sundoj	sundɔj
hall	haɫ
bokë	bɔːk
gjashtëdhjetekatër	ɟʑaʃtəðjɛtɛkatəɹ
imagjinatë	imaɟʑinatə
lidhore	liːðɔɾe
borigë	boɾiːɡ
bënj	bəɲ
shqipoj	ʃcipɔj
ded	dɛːd
varfër	vaɾfəɾ
xhaxha	dʒadʒa
keqardhje	kɛcɕaɾðjɛ
vegoj	vɛɡɔj
habitore	habitɔɹe
mace	mãːt͡s
këmbë	kəmbə
kjo	kjɔ
punonjës	punɔɲəs
jakë	jakə
