gadu	ɡə̀dúː
kuɗi	kʷʊ́ɗíː
kamili	káːmɪ̀líː
tauraro	tàuɽáːɽòː
muzi	múːzíː
mushiriki	mʊ́ʃɪ́rɪ̀cíː
ruhu	rúːhʊ̀
du'a'i	dɪ́ʔáːʔìː
takum	táːkʷʊ̀ŋ
lissafi	lɪ̀ssáːɸìː
waƙafi	wə́kʼə̀ɸíː
ni	níː
ru'uya	rɪ̀ʔìjáː
abarba	ʔàbàɽbáː
tuta	túːtàː
ganau	ɡə̀náu
gabas	ɡə́bàs
kairo	kéirɔ̀
rama	ɽə́màː
adamu	ʔàːdə̀mʊ́
dososo	dòːsòːsòː
arabiyya	ʔàrə̀bɪ́jjàː
nukus	nɪ̀kʷʊ̀s
notis	nóːtɪ̀s
humusi	hʊ́mùːsíː
maka	mə́kə̀
gwandu	ɡʷándɪ́
wasiƙa	wə̀síːkʼàː
uba	ʔʊ̀báː
ƙazanta	kʼə̀zântáː
barka	bárkàː
bindiga	bɪ́ndɪ́ɡàː
halwa	hálwàː
biza	bíːzàː
huhu	húːhùː
kirsimati	cɪ́rsɪ̀mə́tɪ̀
kogi	kʷòːɟíː
tasalla	tə́sállə̀
alif	ʔálɪ̀ɸ
muhtari	mʊ̀ktáːrɪ́
yakubu	jàːkʷʊ́bʊ̀
al'amari	ʔàlʔámə̀ríː
zigidir	zɪ̀ɟɪ̀dɪ́r
ɗari	ɗáːɽíː
hajji	hádd͡ʒɪ̀
samɓali	sámɓə́lɪ́
limam	lìːmâŋ
jibiya	d͡ʒɪ́bɪ́jɛ̀
mashin	mə̀ʃɪ̂ŋ
ɗalibi	ɗáːlɪ̀bíː
rasha	ɽáːʃə̀
ar	ʔár
alfadari	ʔàlɸə́də́ríː
sago	sə́ɡʷóː
lumana	lɪ̀máːnàː
sarƙa	sáɽkʼàː
safa	sə̀ɸâː
sili	síːlìː
dattijo	dáttíːd͡ʒò
kurmi	kʷʊ́ɽmìː
lalo	láːlòː
gwal	ɡʷâl
lalle	lálléː
adadi	ʔádə̀díː
arziki	ʔárzɪ̀cíː
wala	wáːlàː
zulhajji	zɪ́lhádd͡ʒɪ̀
aradu	ʔàráːdɪ̀
wuya	wìjáː
danana	də́nə́nə́
maɗaci	mə́ɗàːt͡ʃíː
tsaka	sʼə́káː
ramalan	ɽə̀mə̀lâŋ
holo	hóːlòː
naijeriya	nèid͡ʒéːrɪ́jàː
alhamis	ʔàlhàmɪ̂s
rawani	ɽə́wə̀níː
manjo	mánd͡ʒɔ̀
shaihi	ʃéihìː
lardi	lárdìː
gwalkwas	ɡʷálkʷàs
ingila	ʔíːɲɟɪ̀lə̀
alkali	ʔàlkáːlíː
sardauna	sàrdáunə́
talata	tə̀láːtə̀
gimbiya	ɟɪ́mbɪ̀jáː
cir	t͡ʃɪ̂r
homan	hóːmàŋ
fatau	ɸə́táu
magajiya	mə́ɡáːd͡ʒɪ̀jáː
hanhai	hàŋhái
kare	kə̀ɽéː
jirgi	d͡ʒɪ́ɽɟíː
zaki	záːcìː
hikaya	hɪ̀káːjàː
alhanzir	ʔàlhànzɪ̂r
kuskus	kʷʊ́skʷʊ̀s
lambu	làmbúː
isiyaku	ʔɪ́sɪ́jáːkʷʊ̀
na'ura	nàːʔúːràː
wata	wə́tàː
lemo	lèːmóː
tis'in	tɪ̀sʔɪ́ŋ
mota	móːtàː
shari'a	ʃə̀rɪ́ʔàː
shifta	ʃɪ́ɸtàː
zunubi	zɪ̀nɪ́bìː
fetal	ɸèːtál
rututu	rɪ́tɪ́tɪ́
makaranta	mə́kə́rántáː
ofis	ʔóːɸɪ̀s
husufi	hʊ̀súːɸìː
yautai	jɛ́utéi
boyi	bòːjɪ́
taliki	táːlɪ̀cíː
kafiri	káːɸɪ̀ríː
alkama	ʔàlkə́màː
jaza'i	d͡ʒə̀záːʔìː
tsaf	sʼáp
'ya	j̰áː
bango	báŋɡʷóː
rimi	ɽíːmíː
zamani	zàːmáːnìː
nasara	nə́sáːràː
shin	ʃɪ́ŋ
sifiri	sɪ́ɸɪ̀ríː
rubuta	rɪ́bùːtáː
sitam	sɪ̀tâŋ
bawa	báːwə̀
agwado	ʔàɡʷàːdóː
bas	bâs
haddi	háddìː
mutum	mʊ̀tɪ̂ŋ
saɗara	sə̀ɗə́ràː
eka	ʔéːkàː
cukwi	t͡ʃɪ́kʷíː
hadda	háddàː
maitama	mèitə́mə́
karanta	kə́ràntáː
tef	téɸ
gitta	ɟɪ́ttàː
soye	sòːjéː
sunna	sɪ́nnàː
palasɗinu	pə̀làsɗíːnɪ̀
darma	dármàː
jika	d͡ʒɪ́kə̀
molo	móːlóː
tuhuma	tɪ̀hʊ́màː
albarushi	ʔàlbə̀rúːʃìː
wul	wʊ́l
inna	ʔɪ́nnə̀
gemu	ɟéːmùː
yamai	jɛ̀mèi
hanya	hɛ́ɲjàː
cibi	t͡ʃíːbìː
illa	ʔɪ́llàː
ishe	ʔɪ́ʃèː
tsada	sʼáːdə́
zariya	záːɽɪ́jɛ̀
wanzami	wànzáːmìː
nesa	néːsə̀
turai	túːréi
bayan	báːjɛ́ŋ
ɗim	ɗɪ̂m
kore	kʷóːrèː
warƙa	wárkʼàː
maiwada	mèiwə̀dáː
bajo	báːd͡ʒòː
gwiwa	ɡʷíːwàː
kyanwa	cɛ̂mwáː
halaka	hálə̀káː
warwar	wàrwár
baƙo	bàːkʷʼó
ma'amala	mə̀ʔáːmə́làː
wuta	wʊ́táː
usumanu	ʔʊ̀sɪ̀máːnɪ̀
wuƙa	wʊ́kʼáː
ɗan	ɗáŋ
basakkwace	bə̀sákʷkʷə́t͡ʃèː
sol	sɔ́l
algaita	ʔàlɡéitàː
katagum	kə́táːɡʷʊ̀ŋ
goge	ɡʷòːɟéː
siyasa	sɪ̀jáːsàː
binta	bɪ́ntə̀
ƙala	kʼáːlàː
aljanna	ʔàld͡ʒánnàː
barau	bə̀ɽáu
samɓal	sàmɓál
janaba	d͡ʒə̀nə́bàː
kasat	káːsàt
zubairu	zɪ̀béirɪ̀
bori	bòːɽíː
faƙiri	ɸə̀cʼíːrìː
tanimu	tə̀níːmʊ̀
mula	mʊ̀lə́
uzuri	ʔʊ́zɪ̀ríː
mata	màːtáː
maigari	mèiɡə̀ɽɪ́
bini	bìːnɪ́
asuba	ʔàsɪ̀bâː
bafilatani	bə̀ɸɪ́láːtə̀níː
bahili	bə̀híːlìː
gaiwa	ɡêiwáː
lisha	lìːʃáː
barbarci	báɽbáɽt͡ʃíː
ƙosai	kʷʼóːséi
soso	sòːsóː
murtuk	mʊ̀rtɪ́k
paris	páːrɪ̀s
asham	ʔáʃáŋ
mashahuri	mə̀ʃə̀húːrìː
zololo	zòːlòːlòː
jim	d͡ʒɪ́ŋ
cibi	t͡ʃɪ́bíː
dogarai	dòːɡə̀ɽéi
lugga	lɪ́ɡɡàː
ƙadangare	kʼə̀dáŋɡə́ɽèː
salka	sàlkáː
guna	ɡʷʊ́nàː
daftari	dáɸtə̀ríː
zaiba	zéibàː
calawa	t͡ʃáːláːwáː
sannu	sánnɪ̀
almasihu	ʔàlmə̀síːhʊ̀
kusa	kʷʊ́sə́
ɗefi	ɗèːɸíː
jadawali	d͡ʒə́də́wə̀líː
sef	sêɸ
ƙasa	kʼə́sə̀
rairayi	ɽèiɽɛ̀jíː
raki	ɽáːcìː
najeriya	nàːd͡ʒéːrɪ́jàː
akawal	ʔákə́wàl
ringim	ɽɪ́ɲɟɪ̀ŋ
sati	sáːtíː
filafili	ɸɪ́lə̀ɸɪ́líː
dina	dɪ́nàː
bado	bə́dòː
miski	mɪ́scìː
hikima	hɪ́cɪ́màː
siriya	síːrɪ́jɛ̀
saba'in	sə̀bə̀ʔɪ́ŋ
huɗu	hʊ́ɗɪ́
tubali	túːbə̀líː
zinariya	zíːnáːrɪ̀jáː
ƙudus	kʷʼʊ́dɪ̀s
hijabi	hɪ̀d͡ʒáːbìː
ƙa'imi	kʼáːʔɪ̀míː
babur	bàːbʊ́r
hole	hóːlèː
iska	ʔɪ́skàː
dumɓu	dɪ́mɓúː
annoba	ʔànnòːbáː
gafara	ɡáːɸə́ràː
galadima	ɡə̀làːdíːmàː
daƙashi	də́kʼə̀ʃíː
lokaci	lóːkə̀t͡ʃíː
jos	d͡ʒàs
kibiya	cɪ́bɪ́jàː
mace	mə̀t͡ʃèː
rairai	ɽèiɽéi
laraba	làːrə̀báː
azurfa	ʔázɪ̀rɸáː
taska	táskàː
wasa	wàːsáː
gaira	ɡéirə̀
haɗari	háɗə̀ríː
somi	sóːmìː
sharu	ʃə̀rûː
akawu	ʔàkàːwʊ́
jarrabawa	d͡ʒárrə̀bâːwáː
sannu	sànnɪ́
takarda	tə́kàrdáː
ankara	ʔáŋkə̀rə̀
tawada	tə̀wə́dàː
attajiri	ʔàttáːd͡ʒɪ̀ríː
tusa	túːsàː
albaras	ʔàlbə́ràs
kwaɗo	kʷə́ɗò
kaza	kàːzáː
tubarkalla	tɪ̀bárkállàː
dutse	dúːsʼèː
hafizu	háːɸɪ́zɪ̀
maris	máːrɪ̀s
kanta	kántàː
na'am	nə́ʔàm
bal	bâl
landan	lándàŋ
shida	ʃɪ́də̀
rahila	ɽə̀híːláː
audu	ʔáudɪ̀
garwashi	ɡáɽwáːʃíː
kafa	kə́ɸàː
sallau	sàlláu
fi'ili	ɸɪ́ʔɪ̀líː
alhamdulillahi	ʔàlhámdɪ̀lɪ̀lláːhɪ̀
hamada	hàmáːdàː
muhibba	mʊ̀hɪ́bbàː
ƙandas	kʼándás
kifa	cɪ́ɸàː
nafila	náːɸɪ́làː
nazari	nə́zə̀ríː
tsanyawa	sʼɛ́ɲjáːwáː
oza	ʔóːzàː
gumal	ɡʷʊ́màl
balaraba	bə̀láːrə́bə̀
wili	wíːlìː
murhu	mʊ́ɽhùː
kyat	cɛ̂t
ashana	ʔàʃáːnáː
sharo	ʃə́rò
azumi	ʔázɪ̀mɪ́
budurwa	bʊ̀dɪ́ɽwáː
gobir	ɡʷòːbɪ́r
maraɗi	mə́ɽáːɗɪ́
ladan	làːdâŋ
anta	ʔántàː
maiduguri	mèidɪ́ɡʷʊ̀rɪ́
ƙosau	kʷʼòːsáu
tun	tɪ́ŋ
tara	tə̀ɽáː
halaka	hàlə́kə̀
lu	lûː
hauwa	hàuwə́
bara	bə́ràː
ajuza	ʔàd͡ʒúːzàː
bisa	bɪ́sáː
ra'ayi	rə́ʔɛ̀jíː
zazzau	zázzàu
ƙundu	kʷʼʊ̀ndúː
husaini	hʊ̀séinɪ̀
salati	sə̀láːtìː
wahala	wə̀hálàː
haɓe	háːɓè
wanzam	wànzâŋ
rano	ɽə́nó
rana	ɽáːnáː
omo	ʔóːmòː
lula	lúːlàː
albarka	ʔàlbárkàː
rake	ɽə̀céː
tsintsiya	sʼɪ́nsʼɪ́ɲjáː
yis	jɪ̂s
sarai	sə́réi
nishaɗi	nɪ̀ʃáːɗìː
mesin	méːsɪ̀ŋ
mur	mʊ̂r
iyali	ʔɪ̀jáːlìː
sha'aban	ʃə̀ʔàbâŋ
muradi	mʊ̀ráːdìː
guma	ɡʷʊ́màː
tsila	sʼíːlə́
lamiri	lə̀míːrìː
tausa	tàusáː
aibi	ʔáibɪ̀
jimla	d͡ʒɪ́mlàː
hani	hánìː
salama	sə̀láːmàː
sura	súːràː
sittin	sɪ̀ttɪ́ŋ
hamayya	hàmɛ́jjàː
guru	ɡʷúːrúː
kirtif	cɪ̀ɽtɪ́p
alhali	ʔàlháːlíː
kasuwa	kàːsʊ́wáː
minista	mɪ́nɪ́stə̀
dawa	də́wə̀
al'umma	ʔàlʔʊ́mmàː
umaru	ʔʊ̀mə́rɪ̀
shayi	ʃáːjɪ̀
nama	náːmàː
nahawu	nə́háwùː
taru	táːɽúː
kafaɗa	kàːɸə́ɗàː
haruna	hárúːnə̀
alabe	ʔàlə́bèː
dogari	dòːɡə́ɽìː
kaɗo	káːɗò
hawa'i	hàwáːʔíː
gabar	ɡə́bàr
tilo	tìːlóː
fijo	ɸɪ̀d͡ʒôː
maru	máːɽɪ̀
wasali	wə́sə̀líː
alheri	ʔàlhéːrìː
japan	d͡ʒə̀pâŋ
legas	léːɡàs
altine	ʔàltɪ̀né
diwani	díːwáːnìː
waliyyi	wə̀lɪ́jjìː
sha	ʃə́
bisimilla	bɪ̀sɪ́mɪ́llàː
mu'amala	mʊ̀ʔáːmə́làː
tano	tə̀nôː
hangum	hàŋɡʷʊ́ŋ
ikko	ʔɪ̀kʷkʷó
ƙa'ida	kʼáːʔɪ́dàː
sila	sɪ́làː
faruku	ɸàːrɪ́kʷʊ̀
lasin	láːsɪ̀ŋ
ƙoƙari	kʷʼòːkʼə́ɽɪ́
ba'askare	bə̀ʔáskə́rèː
katsina	kə̀sʼɪ́nə̀
habasha	hábə́ʃə̀
ingarma	ʔɪ̀ŋɡármàː
haji	hád͡ʒɪ̀
dankali	dàŋkə́lìː
barno	bàrnó
wulik	wʊ́lɪ́k
jarida	d͡ʒə̀ríːdàː
tauna	táunàː
yari	jɛ̀ɽíː
tif	tɪ̂ɸ
tela	téːlə̀
asibiti	ʔásɪ̀bɪ́tɪ̀
wuski	wʊ́scìː
bargo	bàrɡʷóː
shadda	ʃáddàː
amurka	ʔámʊ̀rkə̀
buguzunzum	bʊ̀ɡʷʊ̀zɪ̀nzɪ̀m
jazur	d͡ʒàːzɪ́r
samɓala	sámɓə́láː
dauda	dáudàː
isha	ʔìːʃáː
ango	ʔáŋɡʷò
al'aura	ʔàlʔáuràː
gusum	ɡʷʊ́sɪ̀ŋ
sito	sɪ̀tó
banda	bàndáː
wallahi	wàlláːhɪ̀
lalle	lállèː
noti	nóːtìː
caɓaɓa	t͡ʃə́ɓə́ɓə́
fasiƙi	ɸáːsɪ̀cʼíː
fatsa	ɸə́sʼə́
siɗik	sɪ́ɗɪ́k
ƙififiya	cʼɪ́ɸɪ́ɸɪ́jɛ́
lale	láːlèː
kafa	kə́ɸáː
makka	mákkə̀
tana	táːnáː
shadda	ʃâddáː
wanzanci	wánzánt͡ʃìː
lamba	lámbàː
abdussalamu	ʔàbdɪ̀ssə̀láːmʊ̀
usaina	ʔʊ́sèináː
zi	zîː
mugu	múːɡʷùː
fasinja	ɸáːsɪ́nd͡ʒə̀
fensir	ɸɛ́nsɪ̀r
alkyabba	ʔàlcɛ́bbàː
ƙut	kʷʼʊ́t
kaltibeta	káltɪ̀béːtàː
rana	ɽáːnə́
'yar	j̰ɛ́r
cata	t͡ʃáːtàː
fashe	ɸə́ʃé
adabi	ʔádə̀bíː
jahun	d͡ʒáːhʊ̀ŋ
balas	bə́làs
maigado	mèiɡə́dó
dinari	díːnáːrìː
ƙamus	kʼáːmʊ̀s
abacada	ʔàːbàːt͡ʃàːdâː
tsai	sʼéi
karahiya	kə̀ráːhɪ́jàː
ni'ima	nɪ́ʔɪ́màː
hanci	hánt͡ʃìː
makiyayi	mə́cɪ̀jàːjíː
zaƙaƙa	zə̀kʼə̀kʼə̀
ɓakutu	ɓáːkʷʊ́tɪ́
rashawa	rə́ʃə́wáː
ɗa	ɗáː
jahili	d͡ʒáːhɪ̀líː
obin	ʔóːbɪ̀ŋ
gunya	ɡʷʊ́ɲjáː
almakashi	ʔàlmə́kə̀ʃíː
pasha	páːʃə̀
awa	ʔáwàː
amalanke	ʔámáːlɛ́ɲcé
bakwai	bə́kʷèi
danda	dàndə́
kuni	kʷʊ̀nîː
ƙiyasi	cʼɪ̀jáːsìː
safe	sáːɸé
kubbi	kʷʊ́bbɪ̀
dau	dàu
gaula	ɡáuláː
tambaya	tàmbɛ́jàː
sukari	sɪ́kə̀ríː
ƙorama	kʷʼòːɽə́màː
jega	d͡ʒèːɡə́
jimina	d͡ʒɪ̀mɪ́náː
dage	də́ɟéː
aljabara	ʔàld͡ʒə́bə́ràː
maza	mə́záː
gado	ɡə́dóː
bisimillahi	bɪ̀sɪ́mɪ̀lláːhìː
ƙube	kʷʼúːbè
dambe	dámbé
alƙur'ani	ʔàlkʷʼʊ̀rʔáːnìː
ragama	ɽə́ɡə̀máː
ƙaddara	kʼáddə̀ráː
alhudahuda	ʔàlhʊ́də̀hʊ́də̀
tsalala	sʼə́lə́lə́
nun	nɪ́ŋ
haila	háilàː
tara	tàːɽáː
gandu	ɡándúː
katifa	kə̀tíːɸàː
abdu	ʔábdɪ̀
sata	sáːtàː
minti	mɪ́ntìː
ajami	ʔàd͡ʒə̀mɪ́
baho	báːhòː
salla	sállàː
abdulhamid	ʔàbdɪ̀lhàmɪ̂d
birjik	bɪ̀rd͡ʒɪ́k
ƙal	kʼál
afirka	ʔáɸɪ́rkə̀
hamsin	hàmsɪ́ŋ
jamhuriya	d͡ʒàmhúːrɪ́jàː
husaina	hʊ́sèináː
taguwa	tàːɡʷʊ́wàː
zina	zɪ̀náː
fida'u	ɸɪ̀dáːʔùː
juwa	d͡ʒʊ̀wáː
waga	wáːɡáː
koko	kʷòːkʷóː
harafi	hárə̀ɸíː
lazza	lázzàː
jami'a	d͡ʒáːmɪ́ʔàː
tutu	túːtɪ̀
bici	bɪ́t͡ʃɪ̀
asara	ʔàsáːràː
dubu	dɪ́búː
ton	táŋ
akara	ʔàkə̀ɽə̀
cali	t͡ʃáːlíː
shiru	ʃɪ́ɽúː
tajiri	táːd͡ʒɪ̀ríː
zare	záːɽèː
musulmi	mʊ̀sɪ̀lmíː
tantabara	tàntə́bə̀ráː
sake	sə̀céː
zandar	zàndâr
baya	báːjáː
kwiyat	kʷɪ̀jɛ̂t
bana	bə́nə́
malami	máːlə̀míː
fura	ɸʊ́ɽáː
laifi	lêiɸíː
barewa	bə̀ɽéːwáː
ganima	ɡə̀níːmàː
za'ida	záːʔɪ́dàː
kam	kám
faruƙu	ɸàːrɪ́kʷʼʊ̀
rajab	ɽə́d͡ʒàb
sandal	sándàl
sarauniya	sə́ɽáunɪ̀jáː
hubbare	hʊ́bbáːrè
shuɗi	ʃúːɗìː
kwara	kʷáːɽə̀
italiya	ʔɪ̀táːlɪ́jɛ̀
sanduƙi	sàndúːcʼìː
mowa	móːwàː
la'ifi	lə̀ʔíːɸìː
tozo	tóːzóː
amale	ʔámáːlè
gusau	ɡʷʊ̀sáu
zare	zə́ɽèː
kullum	kʷʊ́llɪ́ŋ
usur	ʔʊ́sɪ̀r
titi	tíːtìː
di'o	díːʔòː
manja	mánd͡ʒə̀
tsuntsu	sʼɪ́nsʼúː
janar	d͡ʒə́nàr
raɓa	ɽáːɓáː
iraƙ	ʔɪ̀râkʼ
ƙugiya	kʷʼúːɟɪ̀jáː
feda	ɸéːdàː
zomo	zóːmóː
amarya	ʔámáɽjáː
alkarya	ʔàlkárjàː
alkawari	ʔàlkə́wə̀ríː
fururu	ɸʊ́ɽɪ́ɽɪ́
kili	cɪ̀lîː
tabarma	tàːbáɽmáː
kofi	kʷóːɸìː
kauci	káut͡ʃìː
lahira	láːhɪ́ràː
larura	lə̀rúːràː
maraba	mə́ràːbə́
oga	ʔòɡáː
santambul	sàntàmbʊ̂l
oktoba	ʔɔ̀któːbàː
haram	hàrâŋ
murfi	mʊ́ɽɸíː
balarabe	bə̀láːrə́bèː
murza	mʊ́ɽzàː
agusta	ʔàɡʷʊ́stàː
kucaki	kʷʊ̀t͡ʃáːcíː
gatari	ɡàːtə́ɽíː
gagai	ɡə́ɡèi
aibu	ʔáibʊ̀
faransanci	ɸə́ránsánt͡ʃíː
shehu	ʃéːhùː
yaƙubu	jàːkʷʼʊ́bʊ̀
sahihi	sə̀híːhìː
fasfo	ɸàsɸó
akuya	ʔàkʷíjàː
zik	zɪ̂k
dogo	dóːɡʷóː
dandali	dándə̀líː
lif	lɪ̂ɸ
kuge	kʷʊ̀ɟéː
teku	tèːkʷʊ́
hakiya	hácɪ́jàː
ishara	ʔɪ̀ʃáːràː
laba	láːbàː
amma	ʔàmmáː
fasali	ɸə́sə̀líː
jugum	d͡ʒɪ̀ɡʷʊ́m
hatta	hàttáː
bahaushe	bə̀háuʃèː
ɗabi'a	ɗə̀bíːʔàː
sauna	sáunàː
a'ishatu	ʔáːʔɪ̀ʃə́tɪ̀
tururi	tɪ̀ɽɪ̀ɽíː
bauta	bàutáː
yarinya	jáːɽɪ́ɲjàː
lasisi	láːsíːsìː
kufai	kʷʊ́ɸéi
jihadi	d͡ʒɪ̀háːdìː
hamidu	hámíːdɪ̀
yuganda	jʊ̀ɡándə̀
tamanin	tə̀màːnɪ́ŋ
gona	ɡʷóːnáː
bello	bállò
zare	zàːɽéː
fes	ɸɛ́s
nasara	nə́sə́ràː
dabo	də́bòː
sarki	sáɽcíː
abdulƙadir	ʔàbdɪ̀lkʼáːdɪ̀r
kasko	káskʷóː
jibirilu	d͡ʒɪ̀bɪ̀ríːlɪ̀
mata	máːtáː
yuni	júːnɪ̀
alhaki	ʔàlhácíː
saudiyya	sàudɪ́jjàː
cali	t͡ʃàːlɪ́
ƙarami	kʼə̀ɽə́míː
kafin	kàːɸɪ̀ŋ
rawaya	ɽàːwɛ́jàː
ƙoƙiƙoƙi	kʷʼóːcɪ̀kʷʼóːcʼɪ̀
waha	wə́hàː
ido	ʔɪ́dòː
sahur	sə̀hʊ̂r
ibada	ʔɪ̀báːdàː
ruƙayyatu	ɽɪ́kʼɛ̀jjɛ́tɪ̀
ingilishi	ʔɪ́ɲɟɪ̀líːʃìː
ƙuƙut	kʷʼʊ́kʷʼʊ́t
fure	ɸʊ̀ɽéː
sunduƙi	sɪ̀ndúːcʼìː
amina	ʔámíːnə̀
bindi	bɪ́ndìː
sakarai	sáːkə́réi
fabrairu	ɸàbréirɪ̀
bidi'a	bɪ́dɪ́ʔàː
tasi	tàːsîː
litinin	lìːtɪ̀nɪ̂ŋ
kyaftin	cɛ́ɸtɪ̀ŋ
nas	nâs
sadaka	sə́də́kàː
akwati	ʔàkʷàːtɪ̀
buroka	bʊ̀róːkàː
littafi	lɪ́ttáːɸìː
kwatsam	kʷə́sʼàm
musawa	múːsáːwáː
filas	ɸɪ̀lâs
yusufu	júːsɪ́ɸʊ̀
taga	táːɡàː
tatul	tàːtɪ́l
mirya	mɪ́ɽjɛ̀
taguwa	tə́ɡʷʊ́wàː
marili	mə̀ríːlìː
fitina	ɸɪ̀tɪ́nàː
sin	sɪ́ŋ
kilishi	cɪ́lɪ̀ʃíː
gazet	ɡə̀zát
hafsatu	hàɸsə́tɪ̀
reras	rèːrás
tauhidi	tàuhíːdìː
turba	tɪ́ɽbàː
cindo	t͡ʃɪ́ndòː
fahami	ɸə́hàmíː
linjila	lɪ̀nd͡ʒíːláː
coi	t͡ʃóɪ́
tsere	sʼéːɽé
sadin	sàːdɪ̂ŋ
muhammadiyya	mʊ̀hàmmə̀dɪ́jjàː
daula	dáulàː
mumbari	mʊ́mbə̀ríː
dimokuraɗiyya	dɪ̀mòkʷʊ̀ɽə̀ɗɪ́jjàː
kandu	kándúː
dabba	dábbàː
zira'i	zɪ̀ráːʔìː
ƙafa	kʼə́ɸàː
dukiya	dúːcɪ̀jáː
ƙursunsun	kʷʼʊ̀ɽsɪ̀nsɪ̀ŋ
bagwari	bə̀ɡʷáːɽíː
fanke	ɸɛ̀ɲcéː
bosniya	bɔ́snɪ́jɛ̀
ɓangwalgwal	ɓàŋɡʷàlɡʷàl
bonono	bòːnòːnòː
haja	háːd͡ʒàː
toshiya	tóːʃɪ́jáː
bara	bə́ɽàː
lafiya	láːɸɪ́jàː
ɗawafi	ɗə̀wáːɸìː
mujalla	mʊ̀d͡ʒállàː
ca	t͡ʃâː
