uchinjo	utʃiⁿɗʒo
mbacha	ᵐɓatʃa
dhamiriana	ɗhamiɾiana
msijisifu	msiʄisifu
walimsikia	walimsikia
kuwapenda	kuwapeⁿɗa
tulipoanza	tulipoaⁿza
haikuonyesha	haikuoɲeʃa
kurukaruka	kuɾukaɾuka
mkatafungo	mkatafuᵑgo
tuangukieni	tuaᵑgukieni
rarua	ɾaɾua
eleleza	eleleza
amefunika	amefunika
walianguka	waliaᵑguka
mwasi	mwasi
ubani	uɓani
tenga	teᵑga
mava	mava
wanashuhudi	wanaʃuhuɗi
hawalii	hawalii
mvunjiko	ᵐvuⁿɗʒiko
sekundo	Sekuⁿɗo
waliniacha	waliniatʃa
soni	soni
yasiyokuwa	jasijokuwa
tunayomshtak	tunajomʃtak
chuju	tʃuʄu
hadimu	haɗimu
upokezi	upokezi
ataweka	ataweka
mdhambi	mɗhaᵐɓi
yanayowezesha	janajowezeʃa
ubati	uɓati
jumanne	Jumanne
akawaita	akawaita
kisonoko	kisonoko
uvumba	uvuᵐɓa
usitutie	usitutie
nimekuombea	nimekuoᵐɓea
baathi	ɓaaθi
nikachagua	nikatʃaɠua
tete	tete
gojo	ɠoʄo
uchukivu	utʃukivu
wakifundisha	wakifuⁿɗiʃa
geuka	ɠeuka
mnasafisha	mnasafiʃa
tamanisha	tamaniʃa
rama	Rama
tepu	tepu
minya	miɲa
unajaribu	unaʄaɾiɓu
nomino	nomino
hawanijali	hawaniʄali
nitakusifu	nitakusifu
iliyojiunga	ilijoʄiuᵑga
viuma	viuma
yanayopikwa	janajopikwa
mshoro	mʃoɾo
umwangalie	umwaᵑgalie
zuilika	zuilika
amekufadhil	amekufaɗhil
gofu	ɠofu
kutulizwa	kutulizwa
chuchumaa	tʃutʃumaa
kutosheka	kutoʃeka
pambaja	paᵐɓaʄa
kuwafanyia	kuwafaɲia
kutungojea	kutuᵑgoʄea
wamelieleza	wamelieleza
akaweza	akaweza
kutazamiwa	kutazamiwa
mashingo	maʃiᵑgo
uakida	uakiɗa
ulienea	ulienea
akumbuke	akuᵐɓuke
litatangazw	litataᵑgazw
mngeweza	mᵑgeweza
refu	ɾefu
finingi	finiᵑgi
akijisomea	akiʄisomea
ikawanyeshe	ikawaɲeʃe
masahibu	masahiɓu
upumba	upuᵐɓa
kujifunza	kuʄifuⁿza
walivyotaka	walivjotaka
hawakumtesa	hawakumtesa
kutuwekea	kutuwekea
matumbo	matuᵐɓo
huwajia	huwaʄia
adidisha	aɗiɗiʃa
hamaji	hamaʄi
kiinikizo	kiinikizo
kufiwa	kufiwa
kusuru	kusuɾu
akakiangusha	akakiaᵑguʃa
dendeka	ɗeⁿɗeka
mvungunya	ᵐvuᵑguɲa
bori	ɓoɾi
walivutiwa	walivutiwa
viunda	viuⁿɗa
wakoloni	wakoloni
upujufu	upuʄufu
wanataraji	wanataɾaʄi
kubadilisha	kuɓaɗiliʃa
sogeza	soɠeza
mtito	Mtito
tua	tua
kuteketezwa	kuteketezwa
pekua	pekua
hakitachukua	hakitatʃukua
yaliyonifika	jalijonifika
adhirisha	aɗhiɾiʃa
watakaopewa	watakaopewa
walawi	Walawi
kitumbuizo	kituᵐɓuizo
paipu	paipu
zozana	zozana
madau	maɗau
ameachwa	ameatʃwa
kuwapatia	kuwapatia
fungua	fuᵑgua
waniwekea	waniwekea
mibamiba	miɓamiɓa
danganyia	ɗaᵑgaɲia
kupayukapayu	kupajukapaju
wakitoa	wakitoa
waliomwasi	waliomwasi
viangazi	viaᵑgazi
awezavyo	awezavjo
kuyasikia	kujasikia
ilitiwa	ilitiwa
ataamini	ataamini
nginyang	Nɠiɲaᵑg
anayetunza	anajetuⁿza
upelekwa	upelekwa
anayeipoteza	anajeipoteza
atakavyowez	atakavjowez
bwatika	ɓwatika
aukika	aukika
anapelekwa	anapelekwa
nitakupigia	nitakupiɠia
halitawacho	halitawatʃo
ukambi	ukaᵐɓi
sudi	suɗi
tuyamudu	tujamuɗu
vilivyorund	vilivjoɾuⁿɗ
futuka	futuka
fumbata	fuᵐɓata
kilichozidi	kilitʃoziɗi
mafuatano	mafuatano
kati	kati
waliokuwamo	waliokuwamo
hamkunidhara	hamkuniɗhaɾa
kaptura	kaptuɾa
gawakati	ɠawakati
mkweme	mkweme
kuhani	kuhani
dara	ɗaɾa
vielezi	vielezi
wayakabili	wajakaɓili
mlijifunza	mliʄifuⁿza
kibango	kiɓaᵑgo
mitazamo	mitazamo
misafara	misafaɾa
amesikiliza	amesikiliza
alijistaaja	aliʄistaaʄa
stafeli	stafeli
kifanye	kifaɲe
kubaliana	kuɓaliana
tembeeni	teᵐɓeeni
kobwe	koɓwe
sihiri	sihiɾi
humtumainia	humtumainia
jichoni	ʄitʃoni
ninayomhubir	ninajomhuɓiɾ
pinduka	piⁿɗuka
vipini	vipini
viwezapo	viwezapo
waovu	waovu
kuwabomoa	kuwaɓomoa
ushamba	uʃaᵐɓa
iliaminika	iliaminika
akuombaye	akuoᵐɓaje
zikisema	zikisema
wahedi	waheɗi
wameelewa	wameelewa
wanaowavurug	wanaowavuɾuɠ
ghafla	ɠhafla
tulikaa	tulikaa
vimya	vimja
umueleze	umueleze
pululu	pululu
wapishane	wapiʃane
dusa	ɗusa
vinavyotund	vinavjotuⁿɗ
kumnajisi	kumnaʄisi
anamfuata	anamfuata
anapohukumi	anapohukumi
kugharamia	kuɠhaɾamia
vibunzi	viɓuⁿzi
uendelezaji	ueⁿɗelezaʄi
fupiza	fupiza
toleana	toleana
kurefushwa	kuɾefuʃwa
anaokuchuki	anaokutʃuki
pencheni	pentʃeni
ziwanase	ziwanase
wakawatupa	wakawatupa
nusra	nusɾa
magawioni	maɠawioni
mterehemezi	Mteɾehemezi
hatujamkose	hatuʄamkose
mlezi	mlezi
kitathmini	kitaθmini
daku	ɗaku
unajibana	unaʄiɓana
atawekwa	atawekwa
skuli	skuli
ruba	ɾuɓa
badhiria	ɓaɗhiɾia
senene	senene
masikio	masikio
kulitegemeza	kuliteɠemeza
hakulichagu	hakulitʃaɠu
babatika	ɓaɓatika
litumikalo	litumikalo
anijalie	aniʄalie
uzaaji	uzaaʄi
nitawatuma	nitawatuma
binti	ɓinti
singine	siᵑgine
aliyeshuhudi	alijeʃuhuɗi
lipowajia	lipowaʄia
waliutwaa	waliutwaa
waliwaweka	waliwaweka
mastadi	mastaɗi
akamtoa	akamtoa
hashakum	haʃakum
giahesi	ɠiahesi
waliufanya	waliufaɲa
machinjioni	matʃiⁿɗʒioni
tupokee	tupokee
vinyeo	viɲeo
mwafu	mwafu
dakiza	ɗakiza
kumdodofya	kumɗoɗofja
kunitii	kunitii
chonyotea	tʃoɲotea
anayetumia	anajetumia
muhoroni	Muhoɾoni
unamlilia	unamlilia
mjue	mʄue
ndicho	ⁿɗitʃo
mlalavi	mlalavi
kisifa	kisifa
ugoigoi	uɠoiɠoi
azma	azma
aliyefiwa	alijefiwa
huchemshwa	hutʃemʃwa
kupotezea	kupotezea
mli	mli
zilipelekwa	zilipelekwa
kijivu	kiʄivu
zaha	zaha
senea	senea
masito	masito
hamhukumu	hamhukumu
liwa	liwa
atakayemkwaz	atakajemkwaz
ayafanyayo	ajafaɲajo
ndizo	ⁿɗizo
miteremko	miteɾemko
wakawakomea	wakawakomea
ameniokoa	ameniokoa
binisha	ɓiniʃa
akamkaribish	akamkaɾiɓiʃ
kumtumainia	kumtumainia
kuyaimba	kujaiᵐɓa
fuata	fuata
hawapi	hawapi
hatumo	hatumo
amosi	Amosi
wamejitokeza	wameʄitokeza
wachache	watʃatʃe
hamud	Hamuɗ
vizimwe	vizimwe
skuta	skuta
kormeo	koɾmeo
wajomba	waʄoᵐɓa
kilichodondoka	kilitʃoɗoⁿɗoka
churupukia	tʃuɾupukia
ulikutana	ulikutana
aliguna	aliɠuna
huikuta	huikuta
msaidizi	msaiɗizi
umepanga	umepaᵑga
malori	maloɾi
alikata	alikata
tiba	tiɓa
kusahau	kusahau
kuzungusha	kuzuᵑguʃa
kisitumike	kisitumike
anawatanguli	anawataᵑguli
anayebatiza	anajeɓatiza
jimbo	ʄiᵐɓo
vijusi	viʄusi
ameungana	ameuᵑgana
mgazi	mɠazi
achali	atʃali
imeandikwa	imeaⁿɗikwa
lainisha	lainiʃa
zuia	zuia
anikamilish	anikamiliʃ
ninalotaka	ninalotaka
watoa	watoa
tesa	tesa
fitina	fitina
kiungio	kiuᵑgio
kijiwe	kiʄiwe
anayeropoka	anajeɾopoka
yaliyoyapat	jalijojapat
nimekutua	nimekutua
tunzo	tuⁿzo
uzuiliaji	uzuiliaʄi
kibwagizo	kiɓwaɠizo
semetiki	semetiki
kumtumikia	kumtumikia
inuliwa	inuliwa
kupura	Kupuɾa
kummeza	kummeza
makadamu	makaɗamu
kinachohami	kinatʃohami
keshaipokea	keʃaipokea
mbarapi	ᵐɓaɾapi
yamekwisha	jamekwiʃa
wakaita	wakaita
mpumbao	mpuᵐɓao
mtukuze	mtukuze
mlombo	mloᵐɓo
marobota	maɾoɓota
kitutu	kitutu
marula	maɾula
magazeti	maɠazeti
kinachokingami	kinatʃokiᵑgami
mpokeeni	mpokeeni
mwingereza	Mwiᵑgeɾeza
alaye	alaje
fariki	faɾiki
alfabeti	alfaɓeti
tuliyoandika	tulijoaⁿɗika
hakuzuia	hakuzuia
kipya	kipja
wanashuka	wanaʃuka
uanahewa	uanahewa
wabatiza	waɓatiza
ukalifu	ukalifu
sifahamu	sifahamu
niliokuwa	niliokuwa
utupeleke	utupeleke
mkwakwa	mkwakwa
popota	popota
majumbani	maʄuᵐɓani
vivia	vivia
elburgon	Elɓuɾɠon
makanadili	makanaɗili
aliyosulubi	alijosuluɓi
vyangu	vjaᵑgu
vigogota	viɠoɠota
humfanya	humfaɲa
hujionyesha	huʄioɲeʃa
thitani	Thitani
unaosokotwa	unaosokotwa
aonayo	aonajo
anna	anna
anawalaumu	anawalaumu
likimtoka	likimtoka
ulioupanda	ulioupaⁿɗa
mkoloni	mkoloni
kulimpatia	kulimpatia
katana	katana
mihalbori	mihalɓoɾi
mkristu	Mkɾistu
kisii	Kisii
mkamia	mkamia
walizichuku	walizitʃuku
kipigi	kipiɠi
unahitaji	unahitaʄi
walidiriki	waliɗiɾiki
wapenyezi	wapeɲezi
iliyofanywa	ilijofaɲwa
nikupashe	nikupaʃe
huvunjavunj	huvuⁿɗʒavuⁿɗʒ
kigome	kiɠome
wenzi	weⁿzi
wakanipandis	wakanipaⁿɗis
kujitupa	kuʄitupa
dafurao	ɗafuɾao
kilicho	kilitʃo
chinjika	tʃiⁿɗʒika
anayopata	anajopata
nitamtukuza	nitamtukuza
apataye	apataje
kisayansi	kisajansi
hamtaona	hamtaona
wahabeshi	wahaɓeʃi
zongoa	zoᵑgoa
arizisha	aɾiziʃa
nimejificha	nimeʄifitʃa
utajitokeza	utaʄitokeza
aliokabidhi	aliokaɓiɗhi
dekulia	ɗekulia
chujo	tʃuʄo
babulisha	ɓaɓuliʃa
wakayaweka	wakajaweka
wakawaleta	wakawaleta
jamala	ʄamala
wanaomtumai	wanaomtumai
ehenezo	ehenezo
alichonunua	alitʃonunua
kuitii	kuitii
uzi	uzi
maangavu	maaᵑgavu
zimwe	zimwe
hawakuambiw	hawakuaᵐɓiw
vinywa	viɲwa
inayofanana	inajofanana
yaa	jaa
zinatoka	zinatoka
mgobo	mɠoɓo
usodai	usoɗai
shokomzoba	ʃokomzoɓa
mnapokula	mnapokula
habaswein	Haɓaswein
wanaosisiti	wanaosisiti
liitwalo	liitwalo
waliyaosha	walijaoʃa
twambie	twaᵐɓie
wamsaidie	wamsaiɗie
asisha	asiʃa
anayoipata	anajoipata
kijivujivu	kiʄivuʄivu
mtazidi	mtaziɗi
apatikane	apatikane
hayashiki	hajaʃiki
amnyang'any	amɲaŋaɲ
nili	nili
hulifunika	hulifunika
akanyoshamkono	akaɲoʃamkono
walioendelea	walioeⁿɗelea
wakapaaza	wakapaaza
zilizoathiriwa	zilizoaθiɾiwa
tirivyogo	tiɾivjoɠo
itenguke	iteᵑguke
wadinasi	waɗinasi
inuka	inuka
watashindwa	wataʃiⁿɗwa
hatujitanga	hatuʄitaᵑga
lisilosikia	lisilosikia
mwembamba	mweᵐɓaᵐɓa
kitali	kitali
vikwayakwaya	vikwajakwaja
mandanda	maⁿɗaⁿɗa
kujikita	kuʄikita
ukumiwe	ukumiwe
msimwite	msimwite
masiya	Masija
umetupa	umetupa
mtaba	mtaɓa
lotongot	Lotoᵑgot
kombamoyo	koᵐɓamojo
ukautupe	ukautupe
uwashambuli	uwaʃaᵐɓuli
urefu	uɾefu
kutembeatembea	kuteᵐɓeateᵐɓea
huajiriwa	huaʄiɾiwa
aliitii	aliitii
mkiishi	mkiiʃi
aliwaruhusu	aliwaɾuhusu
chamvi	tʃaᵐvi
nzi	ⁿzi
lililofanya	lililofaɲa
nimetaka	nimetaka
atakayemkwaza	atakajemkwaza
fadhila	faɗhila
kutupwa	kutupwa
iyetupinga	ijetupiᵑga
kawisha	kawiʃa
mavumbi	mavuᵐɓi
ushauri	uʃauɾi
samaki	samaki
ikianguka	ikiaᵑguka
wameweka	wameweka
unaleta	unaleta
hatalisikia	hatalisikia
sengenywa	seᵑgeɲwa
matomondo	matomoⁿɗo
hamdi	hamɗi
anavyotumia	anavjotumia
ambalia	aᵐɓalia
kimvita	Kiᵐvita
inayodhamiriwa	inajoɗhamiɾiwa
mangumburi	maᵑguᵐɓuɾi
tatanisha	tataniʃa
wawatendee	wawateⁿɗee
mchele	mtʃele
aliutamani	aliutamani
gwia	ɠwia
wasioitii	wasioitii
motaboti	motaɓoti
avizana	avizana
jipima	ʄipima
ajivunie	aʄivunie
kinachomchaf	kinatʃomtʃaf
dadiswa	ɗaɗiswa
mbadhirifu	ᵐɓaɗhiɾifu
kusukumiza	kusukumiza
kufundishia	kufuⁿɗiʃia
kitakuwa	kitakuwa
andalio	aⁿɗalio
achekelee	atʃekelee
janjaruka	ʄaⁿɗʒaɾuka
amenionyesh	amenioɲeʃ
iwezekanavyo	iwezekanavjo
vipooza	vipooza
lililowekwa	lililowekwa
mchemrabasawa	mtʃemɾaɓasawa
pimia	pimia
wakutukuze	wakutukuze
linalotangulia	linalotaᵑgulia
ujari	uʄaɾi
mshughuliko	mʃuɠhuliko
mvumo	ᵐvumo
anayapa	anajapa
uingie	uiᵑgie
mwao	mwao
bismillahi	ɓismillahi
wakayakung'u	wakajakuŋu
kugawa	kuɠawa
haturuhusiwi	hatuɾuhusiwi
wachumba	watʃuᵐɓa
kigeregenja	kiɠeɾeɠeⁿɗʒa
anawafundisha	anawafuⁿɗiʃa
munyu	muɲu
amwepushe	amwepuʃe
kificho	kifitʃo
durusika	ɗuɾusika
mjeuri	mʄeuɾi
ogembo	Oɠeᵐɓo
mkae	mkae
itaanguka	itaaᵑguka
kukitumia	kukitumia
mcheza	mtʃeza
jaliko	ʄaliko
aliyotenda	alijoteⁿɗa
kuwatanabahish	kuwatanaɓahiʃ
hambe	haᵐɓe
nikapita	nikapita
mgumu	mɠumu
kibeti	kiɓeti
mkaupokea	mkaupokea
kondakta	koⁿɗakta
beulika	ɓeulika
punje	puⁿɗʒe
kuzitakasa	kuzitakasa
mahususi	mahususi
kinacholengwa	kinatʃoleᵑgwa
toroli	toɾoli
kukorogwa	kukoɾoɠwa
wanunue	wanunue
kuagua	kuaɠua
nadra	naɗɾa
walijihisi	waliʄihisi
kuuzingatia	kuuziᵑgatia
mfiraji	mfiɾaʄi
hujidai	huʄiɗai
takizi	takizi
wanatembea	wanateᵐɓea
yaonyeshayo	jaoɲeʃajo
kokwa	kokwa
ala	ala
kinachosafishw	kinatʃosafiʃw
turubai	tuɾuɓai
mgutusho	mɠutuʃo
mgawanyi	mɠawaɲi
zingira	ziᵑgiɾa
zogo	zoɠo
kuufunika	kuufunika
wazua	wazua
hakufikiri	hakufikiɾi
anirudishe	aniɾuɗiʃe
chakura	tʃakuɾa
ghilba	ɠhilɓa
uonevu	uonevu
kolekole	kolekole
anayoiona	anajoiona
pimapima	pimapima
itajitokeza	itaʄitokeza
artema	Aɾtema
kusamehe	kusamehe
yesu	Yesu
kipenyo	kipeɲo
ufukweni	ufukweni
zisizostahili	zisizostahili
inayopambwa	inajopaᵐɓwa
atatolewa	atatolewa
aliyepelekewa	alijepelekewa
wanavyowapen	wanavjowapen
alivipiga	alivipiɠa
akakaza	akakaza
hamnyoshi	hamɲoʃi
oana	oana
kihodhi	kihoɗhi
majani	maʄani
tonga	toᵑga
tsavo	Tsavo
wakatushika	wakatuʃika
mbwago	ᵐɓwaɠo
akrama	akɾama
halali	halali
fanya	faɲa
kumwarifu	kumwaɾifu
unaokwenda	unaokweⁿɗa
ungama	uᵑgama
zimwendee	zimweⁿɗee
mkanivika	mkanivika
iliyodidimia	ilijoɗiɗimia
misamaha	misamaha
mzaha	mzaha
wakishika	wakiʃika
tumpigie	tumpiɠie
mteja	mteʄa
deuliwa	ɗeuliwa
nyatunyatu	ɲatuɲatu
tengana	teᵑgana
walimwomba	walimwoᵐɓa
hauwezi	hauwezi
waweza	waweza
wanamhubiri	wanamhuɓiɾi
upo	upo
unaposema	unaposema
kujibizana	kuʄiɓizana
tumetiwa	tumetiwa
alipowatawa	alipowatawa
zimepangwa	zimepaᵑgwa
mibigili	miɓiɠili
aguzi	aɠuzi
unaoelezea	unaoelezea
lililofichama	lililofitʃama
bashasha	ɓaʃaʃa
ubia	uɓia
hayahusiani	hajahusiani
uvati	uvati
kilichoko	kilitʃoko
marugaruga	maɾuɠaɾuɠa
wanipiga	wanipiɠa
kulielekea	kulielekea
mizibo	miziɓo
tuliotanguli	tuliotaᵑguli
ichezwayo	itʃezwajo
uongozwe	uoᵑgozwe
nauli	nauli
kuhurumiana	kuhuɾumiana
hahukumiwi	hahukumiwi
wanaowatend	wanaowateⁿɗ
injili	iⁿɗʒili
waliyotazami	walijotazami
mnayemwita	mnajemwita
washaufu	waʃaufu
malengo	maleᵑgo
anayemfuata	anajemfuata
kong'ota	koŋota
kujaa	kuʄaa
uthibitisho	uθiɓitiʃo
vinapohitajika	vinapohitaʄika
mwisraeli	Mwisɾaeli
hujificha	huʄifitʃa
mavimbizi	maviᵐɓizi
zuhura	zuhuɾa
mmehuzunish	mmehuzuniʃ
mkwara	mkwaɾa
mpaje	mpaʄe
hupo	hupo
usiseme	usiseme
ndiga	ⁿɗiɠa
wanaonitaki	wanaonitaki
nungu	nuᵑgu
uvoo	uvoo
tutaweza	tutaweza
banamlango	ɓanamlaᵑgo
wanaoteseka	wanaoteseka
mavumo	mavumo
mjusi	mʄusi
mkaote	mkaote
tikisiko	tikisiko
mifupimifupi	mifupimifupi
atastahili	atastahili
hizohizo	hizohizo
zumgumzo	zumɠumzo
fatiha	Fatiha
aliaye	aliaje
kuyasema	kujasema
walivyopewa	walivjopewa
akaniacha	akaniatʃa
niwaongoze	niwaoᵑgoze
bahameli	ɓahameli
wekea	wekea
banguka	ɓaᵑguka
migori	Miɠoɾi
pampo	pampo
kuyazingatia	kujaziᵑgatia
bomba	ɓoᵐɓa
kigogota	kiɠoɠota
tawadha	tawaɗha
miunyu	miuɲu
magube	maɠuɓe
ninajua	ninaʄua
tafi	tafi
kumleta	kumleta
wayawaya	wajawaja
ulivyofanya	ulivjofaɲa
futari	futaɾi
kumbusho	kuᵐɓuʃo
ukautunze	ukautuⁿze
iliyogawanya	ilijoɠawaɲa
hakumjua	hakumʄua
nyauka	ɲauka
kelbu	kelɓu
kumtahadhari	kumtahaɗhaɾi
aliabudiwa	aliaɓuɗiwa
wanenaji	wanenaʄi
waliokusanyi	waliokusaɲi
banikana	ɓanikana
mchongezi	mtʃoᵑgezi
uanadamu	uanaɗamu
bekuana	ɓekuana
anayeyaping	anajejapiᵑg
kuuteketeza	kuuteketeza
kipaji	kipaʄi
kijembe	kiʄeᵐɓe
gawanyia	ɠawaɲia
kukihifadhi	kukihifaɗhi
mikangazi	mikaᵑgazi
uchikichia	utʃikitʃia
chubusha	tʃuɓuʃa
kandile	kaⁿɗile
nyonyolewa	ɲoɲolewa
ukano	ukano
atatoa	atatoa
ponyeni	poɲeni
ijara	iʄaɾa
mabaki	maɓaki
mshukuruni	mʃukuɾuni
amewanyamazi	amewaɲamazi
jeupe	ʄeupe
lililoshuka	lililoʃuka
ukatoa	ukatoa
lemeza	lemeza
dabirika	ɗaɓiɾika
uge	uɠe
bong'olea	ɓoŋolea
yanayoleta	janajoleta
kimwetu	kimwetu
kutosikiliza	kutosikiliza
waliotekwa	waliotekwa
walijumuika	waliʄumuika
ngorengore	Nɠoɾeᵑgoɾe
hushikamana	huʃikamana
kuviringa	kuviɾiᵑga
akikulazimisha	akikulazimiʃa
apandishaye	apaⁿɗiʃaje
huchipua	hutʃipua
vilembwe	vileᵐɓwe
maono	maono
mwayo	mwajo
pwaji	pwaʄi
iliyokuja	ilijokuʄa
yaitwayo	jaitwajo
ameifanya	ameifaɲa
inatukabili	inatukaɓili
unaniuma	unaniuma
yamulikwe	jamulikwe
chungua	tʃuᵑgua
tumshukuru	tumʃukuɾu
umetunasa	umetunasa
waangamie	waaᵑgamie
anachosomewa	anatʃosomewa
inayo	inajo
litumikavyo	litumikavjo
masikini	masikini
asingeweza	asiᵑgeweza
anavyoambiwa	anavjoaᵐɓiwa
pete	pete
niishike	niiʃike
bwekesha	ɓwekeʃa
makumbwe	makuᵐɓwe
chumbiwa	tʃuᵐɓiwa
naendelea	naeⁿɗelea
rohoni	ɾohoni
tiwa	tiwa
magendo	maɠeⁿɗo
atakapohuku	atakapohuku
tuwakumbuke	tuwakuᵐɓuke
mnafanya	mnafaɲa
mafashisti	mafaʃisti
wanaojiona	wanaoʄiona
anadharauli	anaɗhaɾauli
kumfahamu	kumfahamu
vigezo	viɠezo
kistaarabu	kistaaɾaɓu
atawakalisha	atawakaliʃa
guswa	ɠuswa
maktabu	maktaɓu
atampenda	atampeⁿɗa
bowelamvuvi	ɓowelaᵐvuvi
iliyoleta	ilijoleta
kusakafiwa	kusakafiwa
kaka	kaka
asikilize	asikilize
hufufuliwa	hufufuliwa
wanaooana	wanaooana
unaitumaini	unaitumaini
kufafanuliwa	kufafanuliwa
uzuizi	uzuizi
manyunyu	maɲuɲu
utufanyie	utufaɲie
waingia	waiᵑgia
mbaya	ᵐɓaja
wasalimuni	wasalimuni
misururu	misuɾuɾu
akamwangusha	akamwaᵑguʃa
walimjia	walimʄia
niwafufue	niwafufue
andei	Aⁿɗei
hamdharau	hamɗhaɾau
kuyapeleka	kujapeleka
kukurika	kukuɾika
hamkunikarib	hamkunikaɾiɓ
wanyamazishe	waɲamaziʃe
kiyunga	kijuᵑga
mchu	mtʃu
ogofya	oɠofja
nihubiri	nihuɓiɾi
mchaguzi	mtʃaɠuzi
umeniokoa	umeniokoa
unapofunga	unapofuᵑga
kuchunga	kutʃuᵑga
naima	naima
kumwuliza	kumwuliza
yamevimba	jameviᵐɓa
mnyerereko	mɲeɾeɾeko
alilalamika	alilalamika
limbikwa	liᵐɓikwa
enye	eɲe
alijenga	aliʄeᵑga
akawakweza	akawakweza
teremeshi	teɾemeʃi
niliyowaach	nilijowaatʃ
kao	kao
kunyiririka	kuɲiɾiɾika
mlishiriki	mliʃiɾiki
atupe	atupe
kizushi	kizuʃi
kipapai	kipapai
tulimhubiri	tulimhuɓiɾi
dufi	ɗufi
hirini	hiɾini
madonge	maɗoᵑge
mpitapo	mpitapo
melkisedeki	Melkiseɗeki
niwafanye	niwafaɲe
nimewaosha	nimewaoʃa
sabaiya	saɓaija
vimetengwa	vimeteᵑgwa
ukataji	ukataʄi
makuhani	makuhani
angatana	aᵑgatana
nawa	nawa
ajizika	aʄizika
amejiunga	ameʄiuᵑga
ikipata	ikipata
ngumbaro	ᵑguᵐɓaɾo
alinong'ona	alinoŋona
ashukaye	aʃukaje
imeyachukua	imejatʃukua
mashamshamu	maʃamʃamu
kumwongeza	kumwoᵑgeza
alisogeza	alisoɠeza
akamjulisha	akamʄuliʃa
hudumu	huɗumu
anamsema	anamsema
bintiamu	ɓintiamu
vikomo	vikomo
haliendi	halieⁿɗi
kuwarudisha	kuwaɾuɗiʃa
wamejiunga	wameʄiuᵑga
migwisho	miɠwiʃo
wananifunga	wananifuᵑga
unachotaka	unatʃotaka
aurekebisha	auɾekeɓiʃa
ponto	Ponto
limebadilis	limeɓaɗilis
watazimia	watazimia
kinachowash	kinatʃowaʃ
mtastaajabu	mtastaaʄaɓu
msagiko	msaɠiko
mnayotumain	mnajotumain
utakaovunjwa	utakaovuⁿɗʒwa
unaofungama	unaofuᵑgama
zongomo	zoᵑgomo
ibakiwa	iɓakiwa
wamenjipanga	wameⁿɗʒipaᵑga
visipotee	visipotee
tofya	tofja
ukafunguliwa	ukafuᵑguliwa
kipkelion	Kipkelion
ubashiri	uɓaʃiɾi
huletwa	huletwa
hinziri	hiⁿziɾi
usitake	usitake
atenge	ateᵑge
kuwambia	kuwaᵐɓia
hawakuruhusi	hawakuɾuhusi
mibandiko	miɓaⁿɗiko
limbua	liᵐɓua
kusikitikia	kusikitikia
yanayokubali	janajokuɓali
mwenzenu	mweⁿzenu
chuchika	tʃutʃika
kukonda	kukoⁿɗa
tulipokuja	tulipokuʄa
agulisha	aɠuliʃa
linalotanga	linalotaᵑga
hawakuogopa	hawakuoɠopa
yanapoanza	janapoaⁿza
namwambia	namwaᵐɓia
washinda	waʃiⁿɗa
mifure	mifuɾe
unashikilia	unaʃikilia
