guztientzako	ɡus̻tˈient͡s̻akˌo
enpresekin	enpɾˈes̺ekˌin
deportatu	depˈoɾtatˌu
gogorki	ɡoɣˈoɾkˌi
birusa	biɾˈus̺ˌa
hurbilduz	uɾβˈilðˌus̻
algak	alɣˈak
Dafne	dˈafne
zoladura	s̻olˈaðuɾˌa
aldikoak	alðˈikoˌak
Dirudienez	diɾˈuðienˌes̻
filosofoak	fiʎˈos̺ofoˌak
kromosoma	kɾomˈos̺omˌa
diagnostikatzeko	diˈaɡnos̺tikat͡s̻ekˌo
Gaietarako	ɡa͡ɪˈetaɾakˌo
zizkien	s̻is̻kˈiˌen
altxatutako	alt͡ʃˈatutakˌo
ezaguna	es̻ˈaɣunˌa
gorputzean	ɡoɾpˈut͡s̻eˌan
Heldu	ˈelðu
kantak	kantˈak
Idazkera	iðˈas̻keɾˌa
proportzionala	pɾopˈoɾt͡s̻ionalˌa
bakoitzetik	bakˈo͡ɪt͡s̻etˌik
balak	balˈak
gradiente	ɡɾaðˈientˌe
gelditu	ɡelðˈitˌu
seriean	s̺eɾˈieˌan
erabilia	eɾˈaβiʎiˌa
arteko	aɾtˈekˌo
ustez	us̺tˈes̻
Erlojuaren	eɾlˈojuaɾˌen
kolorez	kolˈoɾˌes̻
tradizional	tɾaðˈis̻ionˌal
sendagile	s̺endˈaɣiʎˌe
Konposatu	konpˈos̺atˌu
material	matˈeɾiˌal
galiziar	ɡalˈis̻iˌaɾ
itxietan	it͡ʃˈietˌan
kalitatea	kalˈitateˌa
ezberdintasun	es̻βˈeɾðintas̺ˌun
aurkezpenean	a͡ʊɾkˈes̻peneˌan
militarrekin	miʎˈitarekˌin
ertain	eɾtˈa͡ɪn
Arroyo	arˈojjˌo
nortasun	noɾtˈas̺ˌun
Lazkano	las̻kˈanˌo
Pirinioetan	piɾˈiɲioetˌan
honako	onˈakˌo
Frantsesa	fɾant͡s̺ˈes̺ˌa
garaikurra	ɡaɾˈa͡ɪkurˌa
itxura	it͡ʃˈuɾˌa
pilota	piʎˈotˌa
itsu	ˈit͡s̺u
garrantzirik	ɡarˈant͡s̻iɾˌik
bakarkako	bakˈaɾkakˌo
balioan	balˈioˌan
kontsumitzaileen	kont͡s̺ˈumit͡s̻a͡ɪʎeˌen
nahikoa	naˈikoˌa
ingelesarekin	inɡˈeles̺aɾekˌin
malguak	malɣˈuˌak
erreportari	erˈepoɾtaɾˌi
enpresaburuak	enpɾˈes̺aβuɾuˌak
ezkontzan	es̻kˈont͡s̻ˌan
ekonomikoko	ekˈonomikokˌo
prestatuz	pɾes̺tˈatˌus̻
irakurleari	iɾˈakuɾleaɾˌi
hautsiko	a͡ʊt͡s̺ˈikˌo
liteke	litˈekˌe
bertsioa	beɾt͡s̺ˈioˌa
zutik	s̻ˈutik
nagusitasuna	naɣˈus̺itas̺unˌa
Arabia	aɾˈaβiˌa
garbi	ɡˈaɾβi
eskaintza	es̺kˈa͡ɪnt͡s̻ˌa
Mugako	muɣˈakˌo
onurak	onˈuɾˌak
eztabaidetan	es̻tˈaβa͡ɪðetˌan
hein	ˈe͡ɪn
gainean	ɡa͡ɪɲˈeˌan
Portugal	poɾtˈuɣˌal
ezartzea	es̻ˈaɾt͡s̻eˌa
Jesukristo	ɟes̺ˈukɾis̺tˌo
definiziorik	defˈiɲis̻ioɾˌik
esperientziaren	es̺pˈeɾient͡s̻iaɾˌen
nahasten	naˈas̺tˌen
eskasera	es̺kˈas̺eɾˌa
Hezkuntzako	es̻kˈunt͡s̻akˌo
desobedientzia	des̺ˈoβeðient͡s̻iˌa
metodo	metˈoðˌo
linguistikoa	linɡˈuis̺tikoˌa
kontserbatuta	kont͡s̺ˈeɾβatutˌa
Zati	s̻ˈati
sentimendu	s̺entˈimendˌu
preziatuak	pɾes̻ˈiatuˌak
pista	pˈis̺ta
koefizientea	koˈefis̻ienteˌa
aldameneko	alðˈamenekˌo
Atlantikoko	atlˈantikokˌo
itzuli	it͡s̻ˈulˌi
Kartagok	kaɾtˈaɣˌok
Aurretiaz	a͡ʊrˈetiˌas̻
formalki	foɾmˈalkˌi
bideratzeko	biðˈeɾat͡s̻ekˌo
Goierriko	ɡo͡ɪˈerikˌo
argazkigintza	aɾɣˈas̻kiɣint͡s̻ˌa
gomendioa	ɡomˈendioˌa
segundu	s̺eɣˈundˌu
Arratsaldeko	arˈat͡s̺alðekˌo
bereganatuz	beɾˈeɣanatˌus̻
erdisotoa	eɾðˈis̺otoˌa
Kontsumo	kont͡s̺ˈumˌo
erosiko	eɾˈos̺ikˌo
emaileen	emˈa͡ɪʎeˌen
arrea	arˈeˌa
Lurpeko	luɾpˈekˌo
buruarekin	buɾˈuaɾekˌin
interfaze	intˈeɾfas̻ˌe
olerkietan	olˈeɾkietˌan
korronteen	korˈonteˌen
errektangularra	erˈektanɡularˌa
euriaren	e͡ʊɾˈiaɾˌen
borrokarako	borˈokaɾakˌo
ilargia	iʎˈaɾɣiˌa
tolestuta	tolˈes̺tutˌa
Santi	s̺ˈanti
benetan	benˈetˌan
mendiz	mendˈis̻
ideiek	iðˈe͡ɪˌek
urrearen	urˈeaɾˌen
probintzietan	pɾoβˈint͡s̻ietˌan
tunela	tunˈelˌa
hazia	as̻ˈiˌa
itzulia	it͡s̻ˈuliˌa
azpiegiturak	as̻pˈieɣituɾˌak
nostalgia	nos̺tˈalɣiˌa
kognitiboa	koɡnˈitiβoˌa
Abeslari	aβˈes̺laɾˌi
herenak	eɾˈenˌak
europar	e͡ʊɾˈopˌaɾ
Kolonen	kolˈonˌen
sektoreen	s̺ektˈoɾeˌen
indarrik	indˈarˌik
dituzte	ditˈus̻tˌe
definizioz	defˈiɲis̻iˌos̻
kontakizun	kontˈakis̻ˌun
hartzekoak	aɾt͡s̻ˈekoˌak
Fitxategi	fit͡ʃˈateɣˌi
hauentzat	ˈa͡ʊent͡s̻ˌat
egokien	eɣˈokiˌen
zahartzen	s̻aˈaɾt͡s̻ˌen
zentral	s̻entɾˈal
metodorik	metˈoðoɾˌik
Boli	bˈoli
teknologikoaBigarren	teknˈoloɣikoˌaβiɣˈarˌen
harizpi	aɾˈis̻pˌi
irtendako	iɾtˈendakˌo
Google	ɡˈuɣel
balorazio	balˈoɾas̻iˌo
tiroa	tiɾˈoˌa
herrietan	erˈietˌan
hedatzeko	eðˈat͡s̻ekˌo
uzta	ˈus̻ta
Buztan	bus̻tˈan
milioiko	miʎˈio͡ɪkˌo
bularra	bulˈarˌa
VII	bˈii
airez	a͡ɪɾˈes̻
nukleo	nuklˈeˌo
laburrago	laβˈuraɣˌo
lidergoa	liðˈeɾɣoˌa
laborategia	laβˈoɾateɣiˌa
Ane	ˈane
pinua	piɲˈuˌa
mugimenduan	muɣˈimenduˌan
gizarteak	ɡis̻ˈaɾteˌak
magistratuak	maɣˈis̺tɾatuˌak
egutegiko	eɣˈuteɣikˌo
kasuko	kˈas̺ukˌo
ematea	emˈateˌa
instrukzio	ins̺tɾˈuks̻iˌo
exotikoak	eʃˈotikoˌak
zaintzapean	s̻a͡ɪnt͡s̻ˈapeˌan
hildakoei	ilðˈakoˌe͡ɪ
adostasun	aðˈos̺tas̺ˌun
Cornell	koɾnˈeʎ
luzean	lus̻ˈeˌan
urterako	uɾtˈeɾakˌo
aurrerapenaren	a͡ʊrˈeɾapenaɾˌen
bete	bˈete
bisitariek	bis̺ˈitaɾiˌek
Ate	ˈate
dit	dˈit
gorria	ɡorˈiˌa
Aske	ˈas̺ke
astronomian	as̺tɾˈonomiˌan
Anaiak	anˈa͡ɪˌak
zelai	s̻ˈela͡ɪ
bisitariak	bis̺ˈitaɾiˌak
toponimian	topˈonimiˌan
Landa	lˈanda
helduetan	elðˈuetˌan
Komunistak	komˈunis̺tˌak
Mugimendua	muɣˈimenduˌa
aipamenak	a͡ɪpˈamenˌak
boluntarioak	bolˈuntaɾioˌak
ziharduen	s̻iˈaɾðuˌen
ikurren	ikˈurˌen
algoritmoak	ˌalɣoɾˈitmoˌak
Muguruza	muɣˈuɾus̻ˌa
egoitzaren	eɣˈo͡ɪt͡s̻aɾˌen
OH	ˈo
bilakatuko	biʎˈakatukˌo
zatiari	s̻atˈiaɾˌi
aberri	aβˈerˌi
orekaren	oɾˈekaɾˌen
kideko	kiðˈekˌo
Hobbes	obβˈes̺
Women	uˈomˌen
gainbeheran	ɡa͡ɪnbˈeeɾˌan
dokumentatuta	dokˈumentatutˌa
konderriko	kondˈerikˌo
margotzea	maɾɣˈot͡s̻eˌa
bihurritu	biˈuritˌu
Telebistarako	telˈeβis̺taɾakˌo
Hitzarmenaren	it͡s̻ˈaɾmenaɾˌen
logikoa	loɣˈikoˌa
datatuak	datˈatuˌak
Geoffrey	ɡeˈoffɾˌejj
monopolio	monˈopoliˌo
demokratikoak	demˈokɾatikoˌak
tarteetan	taɾtˈeetˌan
Lorentzo	loɾˈent͡s̻ˌo
zedila	s̻eðˈiʎˌa
kopuruz	kopˈuɾˌus̻
proportzionalak	pɾopˈoɾt͡s̻ionalˌak
hondamendien	ondˈamendiˌen
humanitario	umˈanitaɾiˌo
esperientzian	es̺pˈeɾient͡s̻iˌan
sentitzeko	s̺entˈit͡s̻ekˌo
neu	nˈe͡ʊ
Atxagak	at͡ʃˈaɣˌak
etxetxo	et͡ʃˈet͡ʃˌo
hondartzara	ondˈaɾt͡s̻aɾˌa
erakusgarri	eɾˈakus̺ɣarˌi
Donostiara	donˈos̺tiaɾˌa
gobernuari	ɡoβˈeɾnuaɾˌi
laminak	lamˈiɲˌak
Egiptok	eɣˈiptˌok
zuzendu	s̻us̻ˈendˌu
irudika	iɾˈuðikˌa
unibertsitatean	unˈiβeɾt͡s̺itateˌan
Henry	ˈenɾjj
egoten	eɣˈotˌen
Port	pˈoɾt
utzitako	ut͡s̻ˈitakˌo
iturriak	itˈuriˌak
linealaren	liɲˈealaɾˌen
zinea	s̻iɲˈeˌa
egoteagatik	eɣˈoteaɣatˌik
Kafkak	kafkˈak
zentzua	s̻ent͡s̻ˈuˌa
galdetzeko	ɡalðˈet͡s̻ekˌo
ahoskatua	aˈos̺katuˌa
filmaren	filmˈaɾˌen
militantzia	miʎˈitant͡s̻iˌa
helbururik	elβˈuɾuɾˌik
Kartagora	kaɾtˈaɣoɾˌa
mapan	mapˈan
kontsulta	kont͡s̺ˈultˌa
gorputzek	ɡoɾpˈut͡s̻ˌek
ikuspuntua	ikˈus̺puntuˌa
Juana	xuˈanˌa
konde	kˈonde
udalerri	uðˈalerˌi
Venezian	benˈes̻iˌan
Ln	ˌeleˈene
asmakuntza	as̺mˈakunt͡s̻ˌa
Konstituzioak	kons̺tˈitus̻ioˌak
konponduko	konpˈondukˌo
Umore	umˈoɾˌe
lurraldera	lurˈalðeɾˌa
Aretoa	aɾˈetoˌa
berrogei	berˈoɣˌe͡ɪ
Mortadelo	moɾtˈaðelˌo
Hawaiiko	aˈua͡ɪikˌo
euro	ˈe͡ʊɾo
noranzko	noɾˈans̻kˌo
ozeano	os̻ˈeanˌo
txiste	t͡ʃˈis̺te
Again	aɣˈa͡ɪn
egutegia	eɣˈuteɣiˌa
kontatu	kontˈatˌu
irakaskuntza	iɾˈakas̺kunt͡s̻ˌa
duk	dˈuk
Joera	ɟoˈeɾˌa
gizonezkoena	ɡis̻ˈones̻koenˌa
formari	foɾmˈaɾˌi
Zibila	s̻iβˈiʎˌa
Hauetatik	ˈa͡ʊetˌatik
zaion	s̻a͡ɪˈon
biztanleriaren	bis̻tˈanleɾiaɾˌen
seriea	s̺eɾˈieˌa
obretan	oβɾˈetˌan
Hautespen	a͡ʊtˈes̺pˌen
hartua	aɾtˈuˌa
zentralizatua	s̻entɾˈalis̻atuˌa
zuloak	s̻ulˈoˌak
Project	pɾojˈekt
interfazearen	intˈeɾfas̻eaɾˌen
planteamendu	plantˈeamendˌu
nabarmenak	naβˈaɾmenˌak
serie	s̺eɾˈiˌe
Kontinente	kontˈiɲentˌe
sindromea	s̺indɾˈomeˌa
handienak	andˈienˌak
isatsaren	is̺ˈat͡s̺aɾˌen
balitz	balˈit͡s̻
Urdin	uɾðˈin
geure	ɡˈe͡ʊɾe
ekaitzen	ekˈa͡ɪt͡s̻ˌen
gazteen	ɡas̻tˈeˌen
gainekoa	ɡa͡ɪɲˈekoˌa
punikoak	punˈikoˌak
IP	ˈip
neguko	neɣˈukˌo
zeritzon	s̻eɾˈit͡s̻ˌon
genitalak	ɡenˈitalˌak
daramatza	daɾˈamat͡s̻ˌa
emaztearekin	emˈas̻teaɾekˌin
aretoetan	aɾˈetoetˌan
partekatu	paɾtˈekatˌu
orduan	oɾðˈuˌan
osatu	os̺ˈatˌu
frogarik	fɾoɣˈaɾˌik
orokorraren	oɾˈokoraɾˌen
Errusiar	erˈus̺iˌaɾ
Kanadan	kanˈaðˌan
arroaren	arˈoaɾˌen
argitaratuko	aɾɣˈitaɾatukˌo
berezko	beɾˈes̻kˌo
erlazionatzeko	eɾlˈas̻ionat͡s̻ekˌo
solidoan	s̺olˈiðoˌan
zabaleko	s̻aβˈalekˌo
Carmen	kaɾmˈen
Esparru	es̺pˈarˌu
Norberaren	noɾβˈeɾaɾˌen
ahizparen	aˈis̻paɾˌen
Datuak	datˈuˌak
zabalagoak	s̻aβˈalaɣoˌak
burokrazia	buɾˈokɾas̻iˌa
indibidual	indˈiβiðuˌal
arduratzen	aɾðˈuɾat͡s̻ˌen
Robert	roβˈeɾt
Facebook	faθˈeβoˌok
Granada	ɡɾanˈaðˌa
Herrialde	erˈialðˌe
fluido	fluˈiðˌo
konplexutasun	konplˈeʃutas̺ˌun
Zentroa	s̻entɾˈoˌa
Gabeko	ɡaβˈekˌo
daitekela	da͡ɪtˈekelˌa
bikoitzaren	bikˈo͡ɪt͡s̻aɾˌen
egindakoaren	eɣˈindakoaɾˌen
beira	bˈe͡ɪɾa
bihotz	biˈot͡s̻
dizkien	dis̻kˈiˌen
murriztuta	murˈis̻tutˌa
Herbeheretako	eɾβˈeeɾetakˌo
Izan	is̻ˈan
gorrixkak	ɡorˈiʃkˌak
minbiziaren	minbˈis̻iaɾˌen
danborra	danbˈorˌa
parera	paɾˈeɾˌa
herrixkako	erˈiʃkakˌo
artilea	aɾtˈiʎeˌa
Urteetan	uɾtˈeetˌan
baieztatu	ba͡ɪˈes̻tatˌu
kono	kˈono
aitona	a͡ɪtˈonˌa
ikusmolde	ikˈus̺molðˌe
birtualak	biɾtˈualˌak
Jokoak	ɟokˈoˌak
pentsamendu	pent͡s̺ˈamendˌu
Haizearen	a͡ɪs̻ˈeaɾˌen
akzioak	aks̻ˈioˌak
salbu	s̺ˈalβu
politikagintzan	polˈitikaɣint͡s̻ˌan
malkartsu	malkˈaɾt͡s̺ˌu
Zentro	s̻ˈentɾo
adjektibo	adɟˈektiβˌo
Geologia	ɡeˈoloɣiˌa
ezaugarriren	es̻ˈa͡ʊɣariɾˌen
Test	tˈes̺t
gustukoak	ɡus̺tˈukoˌak
japoniar	ɟapˈoniˌaɾ
anaiek	anˈa͡ɪˌek
Formatu	foɾmˈatˌu
Ogasun	oɣˈas̺ˌun
Lanek	lanˈek
belar	belˈaɾ
oparo	opˈaɾˌo
maparen	mapˈaɾˌen
gozoa	ɡos̻ˈoˌa
apiriletik	apˈiɾiʎetˌik
zale	s̻ˈale
agertzea	aɣˈeɾt͡s̻eˌa
zatiki	s̻atˈikˌi
Fundazioak	fundˈas̻ioˌak
zauri	s̻ˈa͡ʊɾi
Horregatik	orˈeɣatˌik
zatian	s̻atˈiˌan
aliantzak	alˈiant͡s̻ˌak
Kode	kˈoðe
kumulu	kumˈulˌu
erretorika	erˈetoɾikˌa
feministak	femˈinis̺tˌak
atzera	at͡s̻ˈeɾˌa
isuritako	is̺ˈuɾitakˌo
Jo	ɟˈo
desberdinetako	des̺βˈeɾðiɲetakˌo
Birjinari	biɾɟˈiɲaɾˌi
Eskualdeak	es̺kˈualðeˌak
Boucher	boˈut͡ʃˌeɾ
dotorezia	dotˈoɾes̻iˌa
inperiala	inpˈeɾialˌa
Bitxia	bit͡ʃˈiˌa
egiazkoa	eɣˈias̻koˌa
hautaturiko	a͡ʊtˈatuɾikˌo
Ahal	aˈal
Adarrak	aðˈarˌak
partekatzen	paɾtˈekat͡s̻ˌen
RAM	rˈam
Ramses	rams̺ˈes̺
interesaren	intˈeɾes̺aɾˌen
jangela	ɟanɡˈelˌa
