服務	fʊk˨mou˨
不可救藥	pɐt˥hɔ:˧˥kɐu˧jœ:k˨
壯年	tsɔ:ŋ˧li:n˨˩,tsɔ:ŋ˧ni:n˨˩
崝	tsɐŋ˥
柟	na:m˨˩
瑿	ji:˥
大智若愚	ta:i˨tsi:˧jœ:k˨jy:˨˩
一車搏雙馬	jɐt˥tsʰɛ:˥pɔ:k˧sœ:ŋ˥ma:˩˧
四邊	sei˧pi:n˥
尼姑	nei˨˩ku:˥,lei˨˩ku:˥
𨃩跤	si:n˧ka:u˥
縫住	fʊŋ˨˩tsy:˨
火水燈	fɔ:˧˥sɵy˧˥tɐŋ˥
你追我趕	lei˩˧tsɵy˥ŋɔ:˩˧kɔ:n˧˥,nei˩˧tsɵy˥ŋɔ:˩˧kɔ:n˧˥
懶散	la:n˩˧sa:n˧˥
粟米羹	sʊk˥mɐi˩˧kɐŋ˥
鼫	sɛ:k˨
睡夢	sɵy˨mʊŋ˨
紛紜	fɐn˥wɐn˨˩
開齋	hɔ:i˥tsa:i˥
可悲	hɔ:˧˥pei˥
溜光	lɐu˨kwɔ:ŋ˥
物價	mɐt˨ka:˧
家人	ka:˥jɐn˨˩
親信	tsʰɐn˥sɵn˧
鬍鬚刨	wu:˨˩sou˥pʰa:u˧˥
喜怒無常	hei˧˥nou˨mou˨˩sœ:ŋ˨˩,hei˧˥lou˨mou˨˩sœ:ŋ˨˩
外表	ŋɔ:i˨pi:u˧˥,ɔ:i˨pi:u˧˥
苴	tsɵy˥
主流派	tsy:˧˥lɐu˨˩pʰa:i˧
恐怖	hʊŋ˧˥pou˧
低空飛行	tɐi˥hʊŋ˥fei˥hɐŋ˨˩
鯖魚	tsʰɪŋ˥jy:˨˩
氨	ŋɔ:i˥,ɔ:n˥
打燈謎	ta:˧˥tɐŋ˥mɐi˨˩
多選題	tɔ:˥sy:n˧˥tʰɐi˨˩
人物誌	jɐn˨˩mɐt˨tsi:˧
䀻	pɪŋ˧˥,pʰɪŋ˧
無言以對	mou˨˩ji:n˨˩ji:˩˧tɵy˧
降服	hɔ:ŋ˨˩fʊk˨
崢	tsa:ŋ˥,tsɐŋ˥
㯀	sy:n˨˩
矉	pʰɐn˨˩
拉尺	la:i˥tsʰɛ:k˧
晏晝飯	a:n˧tsɐu˧fa:n˨,ŋa:n˧tsɐu˧fa:n˨
唵	ɐm˧˥
網友	mɔ:ŋ˩˧jɐu˩˧
酒色財氣	tsɐu˧˥sɪk˥tsʰɔ:i˨˩hei˧
很	hɐn˧˥
宏論	wɐŋ˨˩lɵn˨
拉麪	la:i˥mi:n˨
傽	tsœ:ŋ˥
㧦	kwa:ŋ˥,hy:n˧
頌歌	tsʊŋ˨kɔ:˥
拜托	pa:i˧tʰɔ:k˧
駛出	sɐi˧˥tsʰɵt˥
枋	fɔ:ŋ˥
理清	lei˩˧tsʰɪŋ˥
靻	tsou˧˥
殉難者	sɵn˥na:n˨tsɛ:˧˥,sɵn˥la:n˨tsɛ:˧˥
名師出高徒	mɪŋ˨˩si:˥tsʰɵt˥kou˥tʰou˨˩
口	hɐu˧˥
喝	hɔ:t˧
鷕	ji:u˨,ji:u˨˩
揊	pɪk˥
傳動	tsʰy:n˨˩tʊŋ˨
溜滑梯	lɐu˨wa:t˨tʰɐi˥
總人口	tsʊŋ˧˥jɐn˨˩hɐu˧˥
分子量	fɐn˥tsi:˧˥lœ:ŋ˨
唔好得去邊	m̩˨˩hou˧˥tɐk˥hɵy˧pi:n˥
獮	si:n˧˥
盆栽	pʰu:n˨˩tsɔ:i˥
覺意	kɔ:k˧ji:˧
搖籃曲	ji:u˨˩la:m˨˩kʰʊk˥
改為	kɔ:i˧˥wɐi˨˩
鎅板	ka:i˧pa:n˧˥
擠	tsɐi˥
稍等	sa:u˥tɐŋ˥
名門貴族	mɪŋ˨˩mu:n˨˩kwɐi˧tsʊk˨
角度	kɔ:k˧tou˨
巨大	kɵy˨ta:i˨
使節	si:˧tsi:t˧
䉺米	hɔ:ŋ˧˥mɐi˩˧
滿腔	mu:n˩˧hɔ:ŋ˥
綧	tsɵn˧˥
郖	tɐu˥,tɐu˨
眼裏	a:n˩˧lɵy˩˧,ŋa:n˩˧lɵy˩˧
意料之中	ji:˧li:u˨tsi:˥tsʊŋ˥
打關斗	ta:˧˥kwa:n˥tɐu˧˥
萬死不辭	ma:n˨sei˧˥pɐt˥tsʰi:˨˩
癐到死死吓	ku:i˨tou˧sei˧˥sei˧˥ha:˧˥
等到頸都長	tɐŋ˧˥tou˧kɛ:ŋ˧˥tou˥tsʰœ:ŋ˨˩
路邊攤	lou˨pi:n˥tʰa:n˥
齋噏	tsa:i˥ɐp˥,tsa:i˥ŋɐp˥
收票員	sɐu˥pʰi:u˧jy:n˨˩
苜蓿	mʊk˨sʊk˥
諗落	lɐm˧˥lɔ:k˨,nɐm˧˥lɔ:k˨
敢作敢為	kɐm˧˥tsɔ:k˧kɐm˧˥wɐi˨˩
䳎	kʰa:u˩˧,kʰa:u˧,ha:u˨,hi:n˥
頭痛醫頭，腳痛醫腳	tʰɐu˨˩tʰʊŋ˧ji:˥tʰɐu˨˩kœ:k˧tʰʊŋ˧ji:˥kœ:k˧
魴	fɔ:ŋ˨˩
玄門	jy:n˨˩mu:n˨˩
娓	mei˩˧
蛀牙	tsy:˧a:˨˩,tsy:˧ŋa:˨˩
右舦車	jɐu˨tʰa:i˩˧tsʰɛ:˥
腶	ty:n˧
消受	si:u˥sɐu˨
踎低身	mɐu˥tɐi˥sɐn˥
揞唔住	ɐm˧˥m̩˨˩tsy:˨,ŋɐm˧˥m̩˨˩tsy:˨
梅	mu:i˨˩
屎忽窿	si:˧˥fɐt˥lʊŋ˥
議定書	ji:˩˧tɪŋ˨sy:˥
證婚人	tsɪŋ˧fɐn˥jɐn˨˩
死都話	sei˧˥tou˥wa:˧˥
述說	sɵt˨sy:t˧
指尖	tsi:˧˥tsi:m˥
飉	li:u˨˩
木糠	mʊk˨hɔ:ŋ˥
畀雪藏	pei˧˥sy:t˧tsʰɔ:ŋ˨˩
畀人賣豬仔	pei˧˥jɐn˨˩ma:i˨tsy:˥tsɐi˧˥
落水狗	lɔ:k˨sɵy˧˥kɐu˧˥
鐎	tsi:u˥
純	tsɵn˧˥,sɵn˨˩
買衫	ma:i˩˧sa:m˥
宮廷	kʊŋ˥tʰɪŋ˨˩
飛過	fei˥kwɔ:˧
葌	ka:n˥
稔	nɐm˩˧
無業	mou˨˩ji:p˨
就係	tsɐu˨hɐi˨
䂜	pa:ŋ˥,pʰɐŋ˩˧
𦂗	sɔ:k˧
平價	pʰɛ:ŋ˨˩ka:˧,pʰɪŋ˨˩ka:˧
繚繞	li:u˨˩ji:u˧˥
面善心惡	mi:n˨si:n˨sɐm˥ɔ:k˧,mi:n˨si:n˨sɐm˥ŋɔ:k˧
隔籬	ka:k˧lei˨˩
工兵連	kʊŋ˥pɪŋ˥li:n˨˩
公卿	kʊŋ˥hɪŋ˥
串演	tsʰy:n˧ji:n˧˥
鬧市	la:u˨si:˩˧,na:u˨si:˩˧
節外生枝	tsi:t˧ŋɔ:i˨sɐŋ˥tsi:˥,tsi:t˧ɔ:i˨sɐŋ˥tsi:˥
悲壯	pei˥tsɔ:ŋ˧
現代化	ji:n˨tɔ:i˨fa:˧
配色	pʰu:i˧sɪk˥
蚊赧	mɐn˥na:n˧,mɐn˥la:n˧
面巾	mi:n˨kɐn˥
無端白事	mou˨˩ty:n˥pa:k˨si:˨
㴕	tsɐp˨,tsʰa:p˥
賺唔到錢	tsa:n˨m̩˨˩tou˧˥tsʰi:n˧˥
雞尾酒會	kɐi˥mei˩˧tsɐu˧˥wu:i˨
消化	si:u˥fa:˧
入嚟啦	jɐp˨lei˨˩la:˥
糖水舖	tʰɔ:ŋ˨˩sɵy˧˥pʰou˧˥
陣間	tsɐn˨ka:n˥
笠實	lɐp˥sɐt˨
彪	pi:u˥
孭蘇蝦仔	mɛ:˥sou˥ha:˥tsɐi˧˥
草原	tsʰou˧˥jy:n˨˩
趷腳	kɐt˨kœ:k˧
豆腐泡	tɐu˨fu:˨pʰɔ:k˥
餘情未了	jy:˨˩tsʰɪŋ˨˩mei˨li:u˩˧
占筮	tsi:m˥sɐi˨
井然有條	tsɪŋ˧˥ji:n˨˩jɐu˩˧tʰi:u˨˩
韌性	jɐn˨sɪŋ˧,ɐŋ˨sɪŋ˧
骨肉團聚	kwɐt˥jʊk˨tʰy:n˨˩tsɵy˨
公厘	kʊŋ˥lei˨˩
淵痛	jy:n˥tʰʊŋ˧
剛啱	kɔ:ŋ˥ŋa:m˥,kɔ:ŋ˥a:m˥
九宮格	kɐu˧˥kʊŋ˥ka:k˧
吹笛	tsʰɵy˥tɛ:k˨
相陪	sœ:ŋ˥pʰu:i˨˩
豆渣	tɐu˨tsa:˥
展示出	tsi:n˧˥si:˨tsʰɵt˥
初始	tsʰɔ:˥tsʰi:˩˧
自供	tsi:˨kʊŋ˥
關刀	kwa:n˥tou˥
劃花	wa:k˨fa:˥
一鳴驚人	jɐt˥mɪŋ˨˩kɛ:ŋ˥jɐn˨˩
不可同日而語	pɐt˥hɔ:˧˥tʰʊŋ˨˩jɐt˨ji:˨˩jy:˩˧
屹立不動	ŋɐt˨la:p˨pɐt˥tʊŋ˨,ɐt˨la:p˨pɐt˥tʊŋ˨
嗌嘢食	a:i˧jɛ:˩˧sɪk˨,ŋa:i˧jɛ:˩˧sɪk˨
樂觀	lɔ:k˨ku:n˥
食晒	sɪk˨sa:i˧
黑色	hɐk˥sɪk˥
省黃魚	sa:ŋ˧˥wɔ:ŋ˨˩jy:˧˥
㖫	lɪŋ˨˩
熔鑄	jʊŋ˨˩tsy:˧
𠼮𠼮篩篩	ɐi˥ɐi˥sɐi˥sɐi˥,ŋɐi˥ŋɐi˥sɐi˥sɐi˥
狀態	tsɔ:ŋ˨tʰa:i˧
疢	tsʰɐn˧˥,tsʰɐn˧
㢩	ti:m˧,tɪk˥,tʰi:u˨˩
傒	hɔ:i˨˩,hɐi˨˩
揗雞	tʰɐn˨˩kɐi˥
千辛萬苦	tsʰi:n˥sɐn˥ma:n˨fu:˧˥
尢	wɔ:ŋ˥
靚妹	lɛ:ŋ˥mu:i˥
三角褲	sa:m˥kɔ:k˧fu:˧
武裝份子	mou˩˧tsɔ:ŋ˥fɐn˨tsi:˧˥
摃	kɔ:ŋ˥
鴯	ji:˨˩
遴	lɵn˨˩
罪案	tsɵy˧ɔ:n˧,tsɵy˧ŋɔ:n˧
泐	lɐk˨
後門	hɐu˨mu:n˨˩
鳚	tʰɔ:˩˧,wa:i˧
講漏嘴	kɔ:ŋ˧˥lɐu˨tsɵy˧˥
噉都唔得咩	kɐm˧˥tou˥m̩˨˩tɐk˥mɛ:˥
靈魂	lɪŋ˨˩wɐn˨˩
敘情	tsɵy˨tsʰɪŋ˨˩
豺狼	tsʰa:i˨˩lɔ:ŋ˨˩
sharp	sa:p˥
前院	tsʰi:n˨˩jy:n˨
[米＋囗＋又][米＋囗＋又]令	lɐp˨lɐp˨lɪŋ˧,nɐp˨nɐp˨lɪŋ˧
全集	tsʰy:n˨˩tsa:p˨
嘴刁	tsɵy˧˥ti:u˥
犀	sɐi˥
息息相關	sɪk˥sɪk˥sœ:ŋ˥kwa:n˥
節	tsi:t˧
肝部	kɔ:n˥pou˨
養魚	jœ:ŋ˩˧jy:˨˩
薅草	hou˥tsʰou˧˥
散毒	sa:n˧tʊk˨
證券市場	tsɪŋ˧hy:n˧si:˩˧tsʰœ:ŋ˨˩
钌	li:u˩˧
泝	sou˧
袬	kwɐn˧˥
詘	tsɵt˥,wɐt˥
仰	jœ:ŋ˩˧,ŋɔ:ŋ˩˧
鰻魚	ma:n˨jy:˨˩
俚語	lei˩˧jy:˩˧
恐龍	hʊŋ˧˥lʊŋ˨˩
飛髮佬	fei˥fa:t˧lou˧˥
㵔	tou˧˥,sɛ:˧˥
湎	mi:n˩˧
腳肚瓤	kœ:k˧tʰou˩˧nɔ:ŋ˥,kœ:k˧tʰou˩˧lɔ:ŋ˥
觸電	tsʰʊk˥ti:n˨
國文	kwɔ:k˧mɐn˨˩
著名	tsy:˧mɪŋ˨˩
猁	lei˨
漸	tsi:m˥,tsi:m˨
海濱	hɔ:i˧˥pɐn˥
下額	ha:˨a:k˨,ha:˨ŋa:k˨
通車	tʰʊŋ˥tsʰɛ:˥
峽	ha:p˨
鷄	kɐi˥
行李箱	hɐŋ˨˩lei˩˧sœ:ŋ˥
歪歪斜斜	mɛ:˧˥mɛ:˧˥tsʰɛ:˧tsʰɛ:˧
耐人尋味	lɔ:i˨jɐn˨˩tsʰɐm˨˩mei˨,nɔ:i˨jɐn˨˩tsʰɐm˨˩mei˨
社論	sɛ:˩˧lɵn˨
畸卡咁笑	kʰi:˥kʰa:˥kɐm˧si:u˧
一個頭兩個大	jɐt˥kɔ:˧tʰɐu˨˩lœ:ŋ˩˧kɔ:˧ta:i˨
鎮定	tsɐn˧tɪŋ˨
月份牌	jy:t˨fɐn˨pʰa:i˨˩
眼	a:n˩˧,ŋa:n˩˧
大牙	ta:i˨a:˨˩,ta:i˨ŋa:˨˩
撫	fu:˧˥
中下等	tsʊŋ˥ha:˨tɐŋ˧˥
䎄	hi:u˥,ti:u˥
推理小說	tʰɵy˥lei˩˧si:u˧˥sy:t˧
鋋	si:n˨˩,ji:n˨˩
㠾	tsy:n˥,tsy:n˧
駕駛室	ka:˧sɐi˧˥sɐt˥
採擷	tsʰɔ:i˧˥kʰi:t˧
乾骾	kɔ:n˥kʰɐŋ˧˥
煮重米	tsy:˧˥tsʰʊŋ˩˧mɐi˩˧
蟙	tsɪk˥
言詞	ji:n˨˩tsʰi:˨˩
枷鎖	ka:˥sɔ:˧˥
菜心	tsʰɔ:i˧sɐm˥
副總經理	fu:˧tsʊŋ˧˥kɪŋ˥lei˩˧
移動	ji:˨˩tʊŋ˨
曜	ji:u˨
長凳	tsʰœ:ŋ˨˩tɐŋ˧
花苞	fa:˥pa:u˥
性教育	sɪŋ˧ka:u˧jʊk˨
異常	ji:˨sœ:ŋ˨˩
前方	tsʰi:n˨˩fɔ:ŋ˥
天明	tʰi:n˥mɪŋ˨˩
面龐	mi:n˨pʰɔ:ŋ˨˩
阿星	a:˧sɪŋ˥
君子之交	kwɐn˥tsi:˧˥tsi:˥ka:u˥
特派員	tɐk˨pʰa:i˧jy:n˨˩
外交代表	ɔ:i˨ka:u˥tɔ:i˨pi:u˧˥,ŋɔ:i˨ka:u˥tɔ:i˨pi:u˧˥
瓦背頂	ŋa:˩˧pu:i˧˥tɛ:ŋ˧˥,a:˩˧pu:i˧˥tɛ:ŋ˧˥
天塹	tʰi:n˥tsʰi:m˧
誣害	mou˨˩hɔ:i˨
啲咁多	ti:t˥kɐm˧tɔ:˥
壎	hy:n˥
順風順水	sɵn˨fʊŋ˥sɵn˨sɵy˧˥
關節痛	kwa:n˥tsi:t˧tʰʊŋ˧
確認	kʰɔ:k˧jɪŋ˨
不大不小	pɐt˥ta:i˨pɐt˥si:u˧˥
爆晒棚	pa:u˧sa:i˧pʰa:ŋ˨˩
家貓	ka:˥ma:u˥
送醫	sʊŋ˧ji:˥
來來往往	lɔ:i˨˩lɔ:i˨˩wɔ:ŋ˩˧wɔ:ŋ˩˧
統	tʰʊŋ˧˥
擳	tsi:t˥
以不變應萬變	ji:˩˧pɐt˥pi:n˧jɪŋ˧ma:n˨pi:n˧
蕙	wɐi˨
煲藥	pou˥jœ:k˨
嬌軀	ki:u˥kʰɵy˥
縫製	fʊŋ˨˩tsɐi˧
雜種	tsa:p˨tsʊŋ˧˥
馴	tsʰɵn˨˩,sɵn˨˩
叱	tsʰɪk˥
托槍	tʰɔ:k˧tsʰœ:ŋ˥
重駛講	tsʊŋ˨sɐi˧˥kɔ:ŋ˧˥
好勁	hou˧˥kɪŋ˨
中藥房	tsʊŋ˥jœ:k˨fɔ:ŋ˨˩
蓮	li:n˨˩
蝳	tɔ:i˨
行入嚟	ha:ŋ˨˩jɐp˨lei˨˩
耳筒	ji:˩˧tʰʊŋ˧˥
汀綫	tʰɪŋ˥si:n˧
铗	ka:p˧
掐死	ha:p˧sei˧˥
膠檯布	ka:u˥tʰɔ:i˧˥pou˧
思慮	si:˥lɵy˨
䳄	tsʰi:˥,tsʰi:˧˥
錄低	lʊk˨tɐi˥
羞	sɐu˥
呆鈍	ɔ:i˨˩tɵn˨,ŋɔ:i˨˩tɵn˨
粒聲唔出	nɐp˥sɛ:ŋ˥m̩˨˩tsʰɵt˥
鬆骨	sʊŋ˥kwɐt˥
靆	tɔ:i˨
有閒	jɐu˩˧ha:n˨˩
睇真	tʰɐi˧˥tsɐn˥
怫	fɐi˧,fɐt˨
洛	lɔ:k˧,lɔ:k˨
呠	pʰɐn˧
頭痛	tʰɐu˨˩tʰʊŋ˧
揸機影相	tsa:˥kei˥jɪŋ˧˥sœ:ŋ˧˥
懼高	kɵy˨kou˥
打生打死	ta:˧˥sa:ŋ˥ta:˧˥sei˧˥
性變態	sɪŋ˧pi:n˧tʰa:i˧
睭	tsɐu˧˥
水槍	sɵy˧˥tsʰœ:ŋ˥
供果	kʊŋ˧kwɔ:˧˥
爛船都仲有三斤釘	la:n˨sy:n˨˩tou˥tsʊŋ˧jɐu˩˧sa:m˥kɐn˥tɛ:ŋ˥
齊齊	tsʰɐi˨˩tsʰɐi˨˩
喁	jy:˨˩,jʊŋ˨˩
特遣	tɐk˨hi:n˧˥
橦	tsʰɔ:ŋ˨˩,tʰʊŋ˨˩
枯黃	fu:˥wɔ:ŋ˨˩
能量不滅定律	nɐŋ˨˩lœ:ŋ˨pɐt˥mi:t˨tɪŋ˨lɵt˨,lɐŋ˨˩lœ:ŋ˨pɐt˥mi:t˨tɪŋ˨lɵt˨
鰔	kɐm˧
絞	ka:u˧˥
肂	si:˧,sei˧
組裝	tsou˧˥tsɔ:ŋ˥
勤以補拙	kʰɐn˨˩ji:˩˧pou˧˥tsy:t˧
掐著指頭	ha:p˧tsœ:k˨tsi:˧˥tʰɐu˨˩
約束力	jœ:k˧tsʰʊk˥lɪk˨
光耀	kwɔ:ŋ˥ji:u˨
流淌	lɐu˨˩tʰɔ:ŋ˧˥
咖哩魷魚	ka:˧lei˥jɐu˨˩jy:˧˥
走唔起	tsɐu˧˥m̩˨˩hei˧˥
䒇	fu:˧,ta:u˧˥,ta:u˨
水彩畫	sɵy˧˥tsʰɔ:i˧˥wa:˧˥
哈佬	ha:˥lou˧˥
秒鐘	mi:u˩˧tsʊŋ˥
鼠翻去	sy:˧˥fa:n˥hɵy˧
平方公分	pʰɪŋ˨˩fɔ:ŋ˥kʊŋ˥fɐn˨
團聚	tʰy:n˨˩tsɵy˨
文房	mɐn˨˩fɔ:ŋ˨˩
警備	kɪŋ˧˥pei˨
照版煮碗	tsi:u˧pa:n˧˥tsi:u˧˥wu:n˧˥
攝高	si:p˧kou˥
言而無信	ji:n˨˩ji:˨˩mou˨˩sɵn˧
電熱	ti:n˨ji:t˨
乜都冇	mɐt˥tou˥mou˩˧
爽脆	sɔ:ŋ˧˥tsʰɵy˧
統計	tʰʊŋ˧˥kɐi˧
不幸中之大幸	pɐt˥hɐŋ˨tsʊŋ˥tsi:˥ta:i˨hɐŋ˨
不遺餘力	pɐt˥wɐi˨˩jy:˨˩lɪk˨
水火無情	sɵy˧˥fɔ:˧˥mou˨˩tsʰɪŋ˨˩
齆	ʊŋ˧
搞	ka:u˧˥
物換星移	mɐt˨wu:n˨sɪŋ˥ji:˨˩
銗	hɐu˨˩,hɔ:ŋ˧˥
大將	ta:i˨tsœ:ŋ˧
衝突	tsʰʊŋ˥tɐt˨
退稅	tʰɵy˧sɵy˧
梁山	lœ:ŋ˨˩sa:n˥
前人	tsʰi:n˨˩jɐn˨˩
炭化	tʰa:n˧fa:˧
加班費	ka:˥pa:n˥fɐi˧
㢙	kʰa:n˨˩,sa:p˥,ka:n˧˥
爛佬	la:n˨lou˧˥
長歎	tsʰœ:ŋ˨˩tʰa:n˧
捎	sa:u˥
㚓	lɔ:i˨˩
笪餐死	ta:t˧tsʰa:n˥sei˧˥
殊禮	sy:˨˩lɐi˩˧
肚屙	tʰou˩˧ɔ:˥,tʰou˩˧ŋɔ:˥
鹹溼電影	ha:m˨˩sɐp˥ti:n˨jɪŋ˧˥
戶口謄本	wu:˨hɐu˧˥tʰɐŋ˨˩pu:n˧˥
穛	tsœ:k˧
寶劍	pou˧˥ki:m˧
死梗	sei˧˥kɐŋ˧˥
濑	la:i˨
麵	mi:n˨
上層社會	sœ:ŋ˨tsʰɐŋ˨˩sɛ:˩˧wu:i˨
蝶泳	ti:p˨wɪŋ˨
騰空	tʰɐŋ˨˩hʊŋ˥
恩賜	jɐn˥tsʰi:˧
怪叫	kwa:i˧ki:u˧
乾炒牛河	kɔ:n˥tsʰa:u˧˥ɐu˨˩hɔ:˨˩,kɔ:n˥tsʰa:u˧˥ŋɐu˨˩hɔ:˨˩
缺少	kʰy:t˧si:u˧˥
檯墊	tʰɔ:i˧˥tsi:n˧˥
耗損	hou˧sy:n˧˥
逸事	jɐt˨si:˨
付錢	fu:˨tsʰi:n˧˥
假公濟私	ka:˧˥kʊŋ˥tsɐi˧si:˥
蜉	fɐu˨˩
幾平	kei˧˥pʰɛ:ŋ˧
一唔係	jɐt˥m̩˨˩hɐi˨
水瓶座	sɵy˧˥pʰɪŋ˨˩tsɔ:˨
神職人員	sɐn˨˩tsɪk˥jɐn˨˩jy:n˨˩
飲筒	jɐm˧˥tʰʊŋ˧˥
甜情密意	tʰi:m˨˩tsʰi:n˨˩mɐt˨ji:˧
情操	tsʰɪŋ˨˩tsʰou˥
同名同姓	tʰʊŋ˨˩mɪŋ˨˩tʰʊŋ˨˩sɪŋ˧
禓	jœ:ŋ˨˩
[足+南]	la:m˧,na:m˧
䎐	tsʰɐu˧˥,tsʰɛ:˧˥,tsɛ:˨˩
擝貓尾	mɐŋ˥ma:u˥mei˩˧
個	kɔ:˧
廝	si:˥
蟬	si:m˨˩,si:n˨˩
唸翻起	nɐm˧˥fa:n˥hei˧˥,lɐm˧˥fa:n˥hei˧˥
鮮果	si:n˥kwɔ:˧˥
失常	sɐt˥sœ:ŋ˨˩
廿	ja:˨,jɛ:˨,ni:m˨
酸酸哋	sy:n˥sy:n˥tei˧˥
牽動	hi:n˥tʊŋ˨
帳號	tsœ:ŋ˧hou˨
㧮	fa:t˥,pou˨,pɐk˨
七重奏	tsʰɐt˥tsʰʊŋ˨˩tsɐu˧
儘量	tsɵn˧˥lœ:ŋ˨
捭	pa:i˧˥
決策	kʰy:t˧tsʰa:k˧
蟥蜞	wɔ:ŋ˨˩kʰei˨˩
誓願	sɐi˨jy:n˨
見多識廣	ki:n˧tɔ:˥sɪk˥kwɔ:ŋ˧˥
學費	hɔ:k˨fɐi˧
鼾聲如雷	hɔ:n˨˩sɪŋ˥jy:˨˩lɵy˨˩
禁得住	kɐm˥tɐk˥tsy:˨
閃躲	si:m˧˥tɔ:˧˥
盒仔飯	hɐp˨tsɐi˧˥fa:n˨
投書	tʰɐu˧sy:˥
荓	pʰɪŋ˨˩
龜	kwɐi˥,kɐu˥,kwɐn˥
悖論	pu:i˨lɵn˨
閱覽室	jy:t˨la:m˩˧sɐt˥
分餾法	fɐn˥lɐu˨fa:t˧
不合規定	pɐt˥hɐp˨kʰwɐi˥tɪŋ˨
陰謀份子	jɐm˥mɐu˨˩fɐn˨tsi:˧˥
攪到咁大劑	ka:u˧˥tou˧kɐm˧ta:i˨tsɐi˥
掗埞	ŋa:˨tɛ:ŋ˨,a:˨tɛ:ŋ˨
九牛二虎之力	kɐu˧˥ŋɐu˨˩ji:˨fu:˧˥tsi:˥lɪk˨,kɐu˧˥ɐu˨˩ji:˨fu:˧˥tsi:˥lɪk˨
侏儒症	tsy:˥jy:˨˩tsɪŋ˧
清真教	tsʰɪŋ˥tsɐn˥ka:u˧
唔啱數	m̩˨˩ŋa:m˥sou˧,m̩˨˩a:m˥sou˧
識啲啲扮老師	sɪk˥ti:˥ti:˥pa:n˨lou˩˧si:˥
𤿂	sa:i˨˩
春秋時期	tsʰɵn˥tsʰɐu˥si:˨˩kʰei˨˩
氣魄	hei˧pʰa:k˧
直角	tsɪk˨kɔ:k˧
诼	tœ:k˨
刻舟求劍	hɐk˥tsɐu˥kʰɐu˨˩ki:m˧
嚬	pʰɐn˨˩
膳食	si:n˨sɪk˨
貪心不足蛇吞象	tʰa:m˥sɐm˥pɐt˥tsʊk˥sɛ:˨˩tʰɐn˥tsœ:ŋ˨
見義勇為	ki:n˧ji:˨jʊŋ˩˧wɐi˨˩
