теорією	teɔrʲijejʊ
мізантропія	mʲizɐntrɔpʲijɐ
дисциплінувати	dest͡seplʲinʊʋɑte
авіарозвідування	ɐʋʲiɐrɔzʲʋʲidʊʋɐnʲːɐ
логіка	ɫɔɦʲikɐ
першомучениця	perʃomut͡ʃenet͡sʲɐ
відкласти	ʋʲidkɫɑste
тишина	teʃenɑ
щоразу	ʃt͡ʃɔrɑzʊ
друзях	druzʲɐx
припинити	prepenɪte
антарктичний	ɐntɐrktɪt͡ʃnei̯
білий	bʲiɫei̯
лекціями	ɫɛkt͡sʲijɐme
розмова	rɔzmɔʋɐ
двісті	dʲʋʲisʲtʲi
наприклад	nɐprɪkɫɐd
клімат	klʲimɐt
серб	sɛrb
отвір	ɔtʲʋʲir
ювелір	jʊʋelʲir
письменниць	pesʲmɛnːet͡sʲ
дитсадок	det͡sɐdɔk
вибух	ʋɪbʊx
пасажир	pɐsɐʒɪr
битви	bɪtʋe
проголосити	prɔɦɔɫɔsɪte
благоговійний	bɫɐɦɔɦɔʋʲii̯nei̯
інтелектуалізувати	inteɫektʊɐlʲizʊʋɑte
кандидат	kɐndedɑt
терапія	terɐpʲijɐ
їхній	jixnʲii̯
пасічник	pɑsʲit͡ʃnek
дзиґа	d͡zɪɡɐ
гоголь	ɦɔɦɔlʲ
шиях	ʃɪjɐx
інерцією	inɛrt͡sʲijejʊ
соромливий	sɔrɔmɫɪʋei̯
тілесний	tʲiɫɛsnei̯
зад	zɑd
кінь	kʲinʲ
вам	ʋɑm
авіаракетобудування	ɐʋʲiɐrɐketɔbʊdʊʋɑnʲːɐ
прислухатися	presɫʊxɑtesʲɐ
замінити	zɐmʲinɪte
тунелів	tʊnɛlʲiu̯
більшості	bʲilʲʃɔsʲtʲi
утруднювати	ʊtrudʲnʲʊʋɐte
баритися	bɐrɪtesʲɐ
абетка	ɐbɛtkɐ
твердий	tʋerdɪi̯
серпень	sɛrpenʲ
слівцям	sʲlʲiu̯t͡sʲɐm
цивілізація	t͡seʋʲilʲizɑt͡sʲijɐ
помилка	pɔmeɫkɐ
зоряний	zɔrʲɐnei̯
передній	perɛdʲnʲii̯
тисяча	tɪsʲɐt͡ʃɐ
дані	dɑnʲi
здоров	zdɔrɔu̯
словечками	sɫɔʋɛt͡ʃkɐme
винахід	ʋɪnɐxʲid
красуня	krɐsunʲɐ
стандартові	stɐndɑrtɔʋʲi
поем	pɔɛm
дорогий	dɔrɔɦɪi̯
існуючий	isnujʊt͡ʃei̯
кувати	kʊʋɑte
безіменний	bezʲimɛnːei̯
прислівник	presʲlʲiu̯nek
декларативний	dekɫɐrɐtɪu̯nei̯
вищезазначений	ʋeʃt͡ʃezɐznɑt͡ʃenei̯
абортування	ɐbɔrtʊʋɑnʲːɐ
золотом	zɔɫɔtɔm
бабка	bɑbkɐ
повікою	pɔʋʲikɔjʊ
вечори	ʋet͡ʃɔrɪ
макові	mɑkɔʋʲi
четвертий	t͡ʃetʋɛrtei̯
неподалік	nepɔdɐlʲik
експорт	ɛkspɔrt
автократія	ɐu̯tɔkrɑtʲijɐ
мінералогія	mʲinerɐɫɔɦʲijɐ
трактористка	trɐktɔrɪstkɐ
несподіваний	nespodʲiʋɐnei̯
підошво	pʲidɔʃwɔ
двоїна	dwɔjinɑ
гаїті	ɦɐjitʲi
кар	kɑr
риса	rɪsɐ
інфекція	infɛkt͡sʲijɐ
бідність	bʲidʲnʲisʲtʲ
насіння	nɐsʲinʲːɐ
виставка	ʋɪstɐu̯kɐ
серйозний	serʲɔznei̯
шкіри	ʃkʲire
синхронний	senxrɔnːei̯
перемога	peremɔɦɐ
знищувати	znɪʃt͡ʃʊʋɐte
парша	pɑrʃɐ
літературний	lʲiterɐturnei̯
помічниця	pɔmʲit͡ʃnɪt͡sʲɐ
список	spɪsɔk
близький	bɫezʲkɪi̯
паузам	pɑʊzɐm
зумовити	zʊmɔʋete
слів	sʲlʲiu̯
плавець	pɫɐʋɛt͡sʲ
провінція	prɔʋʲinʲt͡sʲijɐ
автовокзал	ɐu̯tɔwɔɡzɑɫ
призупиняти	prezʊpenʲɑte
досяжний	dɔsʲɐʒnɪi̯
довгочасний	dɔu̯ɦɔt͡ʃɑsnei̯
замість	zɑmʲisʲtʲ
неорганічний	neɔrɦɐnʲit͡ʃnei̯
гурченко	ɦurt͡ʃenkɔ
галактичний	ɦɐɫɐktɪt͡ʃnei̯
дощова	dɔʃt͡ʃɔʋɑ
мій	mʲii̯
скайдайвінг	skɐi̯dɑjʋʲinɦ
пеніс	pɛnʲis
древній	drɛu̯nʲii̯
добробут	dɔbrɔbʊt
властивий	wɫɐstɪʋei̯
утратою	ʊtrɑtɔjʊ
оренда	ɔrɛndɐ
дорости	dɔrɔstɪ
символічно	semwolʲit͡ʃnɔ
знання	znɐnʲːɑ
чарувати	t͡ʃɐrʊʋɑte
шпигун	ʃpeɦun
риторичний	retɔrɪt͡ʃnei̯
тобі	tobʲi
миша	mɪʃɐ
сонце	sɔnt͡se
спосіб	spɔsʲib
полька	pɔlʲkɐ
литвиненко	ɫetʋenɛnkɔ
верховний	ʋerxɔu̯nei̯
тиша	tɪʃɐ
приготувати	preɦɔtʊʋɑte
цей	t͡sɛi̯
серотонін	serɔtonʲin
якщо	jɐkʃt͡ʃɔ
пізно	pʲiznɔ
запальничка	zɐpɐlʲnɪt͡ʃkɐ
когут	kɔɦʊt
жарити	ʒɑrete
прочитати	prɔt͡ʃetɑte
сахар	sɑxɐr
ображати	ɔbrɐʒɑte
східний	sʲxʲidnei̯
вільнюс	ʋʲilʲnʲʊs
купальний	kʊpɑlʲnei̯
валюта	ʋɐlʲutɐ
авіаматка	ɐʋʲiɐmɑtkɐ
старанний	stɐrɑnːei̯
заснувати	zɐsnʊʋɑte
дефект	defɛkt
соратник	sɔrɑtnek
чесність	t͡ʃɛsʲnʲisʲtʲ
тополями	tɔpɔlʲɐme
маріонетка	mɐrʲiɔnɛtkɐ
лицарський	ɫet͡sɑrsʲkei̯
інструкцію	instrukt͡sʲijʊ
уже	ʊʒɛ
нирка	nɪrkɐ
коса	kɔsɑ
залупа	zɐɫupɐ
кошик	kɔʃek
шиям	ʃɪjɐm
ексгібіціонізм	eɡzʲɦʲibʲit͡sʲionʲizm
браму	brɑmʊ
портфеля	pɔrtfɛlʲɐ
патріотизмі	pɐtʲrʲiɔtɪzʲmʲi
більший	bʲilʲʃei̯
марність	mɑrnʲisʲtʲ
шибеницю	ʃɪbenet͡sʲʊ
зайнятий	zɑi̯nʲɐtei̯
вуж	wuʒ
волейболіст	wɔɫei̯bolʲist
екологічний	ekɔɫoɦʲit͡ʃnei̯
прабаба	prɐbɑbɐ
наркоз	nɐrkɔz
переважний	pereʋɑʒnei̯
будівельник	bʊdʲiʋɛlʲnek
літо	lʲitɔ
інфляція	inflʲɑt͡sʲijɐ
наживо	nɐʒɪwɔ
штатів	ʃtɑtʲiu̯
директор	derɛktɔr
служити	sɫʊʒɪte
авіабаза	ɐʋʲiɐbɑzɐ
збройний	zbrɔi̯nei̯
бюрократія	bʲʊrɔkrɑtʲijɐ
продукція	produkt͡sʲijɐ
онтологія	ɔntɔɫɔɦʲijɐ
вісімдесятий	ʋʲisʲimdesʲɑtei̯
литка	ɫɪtkɐ
доставляти	dɔstɐu̯lʲɑte
амбітний	ɐmbʲitnei̯
огидний	ɔɦɪdnei̯
лібералізація	lʲiberɐlʲizɑt͡sʲijɐ
човен	t͡ʃɔʋen
суровий	sʊrɔʋei̯
представниця	pred͡zstɐu̯nɪt͡sʲɐ
прихильник	prexɪlʲnek
недостатній	nedɔstɑtʲnʲii̯
підошву	pʲidɔʃwʊ
мітологія	mʲitɔɫɔɦʲijɐ
акціонерний	ɐkt͡sʲiɔnɛrnei̯
екологія	ekɔɫɔɦʲijɐ
відомство	ʋʲidɔmstwɔ
врахувати	wrɐxʊʋɑte
фосфат	fɔsfɑt
хлопець	xɫɔpet͡sʲ
штормило	ʃtɔrmɪɫɔ
пасивний	pɐsɪu̯nei̯
схема	sxɛmɐ
літератор	lʲiterɑtɔr
континент	kɔntenɛnt
дня	dʲnʲɑ
підручник	pʲidrut͡ʃnek
утратам	ʊtrɑtɐm
практика	prɑktekɐ
активація	ɐkteʋɑt͡sʲijɐ
їжа	jiʒɐ
політичний	pɔlʲitɪt͡ʃnei̯
авіазасіб	ɐʋʲiɐzɑsʲib
куций	kut͡sei̯
реалізувати	reɐlʲizʊʋɑte
ситуаціями	setʊɑt͡sʲijɐme
займається	zɐi̯mɑjet͡sʲːɐ
здійснити	zʲdʲii̯snɪte
туди	tʊdɪ
другий	druɦei̯
литва	ɫetʋɑ
маківка	mɑkʲiu̯kɐ
взимку	wzɪmkʊ
авансик	ɐʋɑnsek
борошно	bɔrɔʃnɔ
реклама	rekɫɑmɐ
похіть	pɔxʲitʲ
команда	kɔmɑndɐ
крохмаль	krɔxmɑlʲ
рації	rɑt͡sʲiji
обурення	oburenʲːɐ
ступати	stʊpɑte
індивідуалізувати	indeʋʲidʊɐlʲizʊʋɑte
полтава	pɔɫtɑʋɐ
бірюзовий	bʲirʲʊzɔʋei̯
подробицях	pɔdrɔbet͡sʲɐx
мікроскопія	mʲikrɔskopʲijɐ
трагедіям	trɐɦɛdʲijɐm
жарко	ʒɑrkɔ
хто	xtɔ
олива	ɔɫɪʋɐ
закінчення	zɐkʲint͡ʃenʲːɐ
фарфор	fɐrfɔr
таць	tɑt͡sʲ
опозиційний	ɔpɔzet͡sʲii̯nei̯
гагауз	ɦɐɦɐuz
абревіатура	ɐbreʋʲiɐturɐ
гривне	ɦrɪu̯ne
справо	sprɑwɔ
авіавиставка	ɐʋʲiɐʋɪstɐu̯kɐ
регіональний	reɦʲiɔnɑlʲnei̯
самшит	sɐmʃɪt
світовий	sʲʋʲitɔʋɪi̯
експонат	ekspɔnɑt
хотітися	xotʲitesʲɐ
свердловина	sʋerdɫɔʋɪnɐ
опитувати	ɔpɪtʊʋɐte
розрізнити	rɔzʲrʲiznɪte
гуслі	ɦusʲlʲi
сестриць	sestrɪt͡sʲ
десертом	desɛrtɔm
шкірою	ʃkʲirɔjʊ
незалежности	nezɐɫɛʒnɔste
арістотель	ɐrʲistɔtelʲ
уродливий	ʊrɔdɫɪʋei̯
розмір	rɔzʲmʲir
абикуди	ɐbɪkʊde
скубти	skubte
імунна	imunːɐ
коло	kɔɫɔ
вторгнення	ʍtɔrɦnenʲːɐ
міжвоєнний	mʲiʒwɔjɛnːei̯
поздоровити	pɔzdɔrɔʋete
прислухатися	presɫuxɐtesʲɐ
інформація	infɔrmɑt͡sʲijɐ
шовковистий	ʃɔu̯kɔʋɪstei̯
шарф	ʃɑrf
ліхтар	lʲixtɑr
помічати	pɔmʲit͡ʃɑte
закривати	zɐkreʋɑte
пропаганда	prɔpɐɦɑndɐ
пропорцій	prɔpɔrt͡sʲii̯
простота	prɔstɔtɑ
начальство	nɐt͡ʃɑlʲstwɔ
альбатрос	ɐlʲbɐtrɔs
гуманістка	ɦʊmɐnʲistkɐ
провакцинувати	prɔʋɐkt͡senʊʋɑte
гавана	ɦɐʋɑnɐ
розкішний	rozʲkʲiʃnei̯
ніздрею	nʲizdrejʊ
зв'язок	zʋjɑzɔk
знайти	znɐi̯tɪ
працівник	prɐt͡sʲiu̯nɪk
тістечко	tʲistet͡ʃkɔ
середовище	seredɔʋeʃt͡ʃe
монументальний	mɔnʊmentɑlʲnei̯
працювати	prɐt͡sʲʊʋɑte
морок	mɔrɔk
літр	lʲitr
ощасливлювати	ɔʃt͡ʃɐsɫɪu̯lʲʊʋɐte
тисячоліттями	tesʲɐt͡ʃolʲitʲːɐme
конфета	kɔnfɛtɐ
замовниця	zɐmɔu̯net͡sʲɐ
рилах	rɪɫɐx
болгари	bɔɫɦɑre
авізо	ɐʋʲizɔ
радісний	rɑdʲisnei̯
перевести	pereʋestɪ
колосальний	kɔɫɔsɑlʲnei̯
виступати	ʋestʊpɑte
снодійний	snodʲii̯nei̯
похорони	pɔxɔrɔne
гість	ɦʲisʲtʲ
фактичний	fɐktɪt͡ʃnei̯
зоопарк	zɔɔpɑrk
прибрати	prebrɑte
погляди	pɔɦlʲɐde
добрий	dɔbrei̯
дебелий	debɛɫei̯
законами	zɐkɔnɐme
міжурядовий	mʲiʒʊrʲɐdɔʋei̯
вельможа	ʋelʲmɔʒɐ
максим	mɐksɪm
м'яти	mjɑte
дивина	deʋenɑ
суконь	sukɔnʲ
аттик	ɑtːek
зіниця	zʲinɪt͡sʲɐ
сюди	sʲʊdɪ
сестрицю	sestrɪt͡sʲʊ
депресія	deprɛsʲijɐ
відмежовувати	ʋʲidmeʒɔwʊʋɐte
абсанс	ɐbsɑns
авіасалон	ɐʋʲiɐsɐɫɔn
звертати	zʋertɑte
бур'ян	bʊrjɑn
неправомірний	neprɐwomʲirnei̯
варіантам	ʋɐrʲiɑntɐm
арахнологію	ɐrɐxnɔɫɔɦʲijʊ
фасад	fɐsɑd
авіарозвідка	ɐʋʲiɐrɔzʲʋʲidkɐ
очолити	ɔt͡ʃɔɫete
тацею	tɑt͡sejʊ
чорної	t͡ʃɔrnɔji
характерний	xɐrɐktɛrnei̯
заводити	zɐwɔdete
заподіяти	zɐpodʲijɐte
диспетчер	despɛt͡ʃːer
бігати	bʲiɦɐte
кошуля	koʃulʲɐ
попіл	pɔpʲiɫ
взірець	wzʲirɛt͡sʲ
сербський	sɛrbsʲkei̯
аура	ɑʊrɐ
канонерський	kɐnɔnɛrsʲkei̯
купець	kʊpɛt͡sʲ
типовий	tepɔʋɪi̯
авантюрниця	ɐʋɐnʲtʲurnet͡sʲɐ
килим	kɪɫem
організацій	ɔrɦɐnʲizɑt͡sʲii̯
дефініцію	defʲinʲit͡sʲijʊ
дельфін	delʲfʲin
порушувати	poruʃʊʋɐte
завантажити	zɐʋɐntɑʒete
довічне	dɔʋʲit͡ʃne
дисертаціями	desertɑt͡sʲijɐme
прийняття	prei̯nʲɐtʲːɑ
імпорт	impɔrt
рекомендація	rekɔmendɑt͡sʲijɐ
віям	ʋʲijɐm
прототип	prɔtɔtɪp
трикутний	trekutnei̯
півстоліття	pʲiu̯stolʲitʲːɐ
відданість	ʋʲidːɐnʲisʲtʲ
трагічний	trɐɦʲit͡ʃnei̯
семи	semɪ
легко	ɫɛɦkɔ
кукіль	kʊkʲilʲ
мовлення	mɔu̯ɫenʲːɐ
персональний	persɔnɑlʲnei̯
ранку	rɑnkʊ
щиколотці	ʃt͡ʃɪkɔɫɔt͡sʲːi
відокремлювати	ʋʲidɔkrɛmlʲʊʋɐte
бік	bʲik
девіантний	deʋʲiɑntnei̯
фільтрувати	fʲilʲtrʊʋɑte
комора	kɔmɔrɐ
лекціям	ɫɛkt͡sʲijɐm
виявити	ʋɪjɐʋete
аблактування	ɐbɫɐktʊʋɑnʲːɐ
абака	ɐbɑkɐ
характер	xɐrɑkter
григоріанський	ɦreɦɔrʲiɑnʲsʲkei̯
апостроф	ɐpɔstrɔf
бурулька	bʊrulʲkɐ
померти	pɔmɛrte
поживний	pɔʒɪu̯nei̯
перевиховати	pereʋɪxɔʋɐte
запізнюватися	zɐpʲizʲnʲʊʋɐtesʲɐ
періодизаціям	perʲiɔdezɑt͡sʲijɐm
авіадиспетчер	ɐʋʲiɐdespɛt͡ʃːer
імперій	impɛrʲii̯
активність	ɐktɪu̯nʲisʲtʲ
примирення	premɪrenʲːɐ
чайна	t͡ʃɐi̯nɑ
лиходій	ɫexodʲii̯
законослухняний	zɐkɔnɔsɫʊxnʲɑnei̯
підпорядкувати	pʲidpɔrʲɐdkʊʋɑte
перекласти	perekɫɑste
льоха	lʲɔxɐ
богослів'я	bɔɦosʲlʲiʋjɐ
антена	ɐntɛnɐ
викладач	ʋekɫɐdɑt͡ʃ
ластівочка	ɫɑsʲtʲiwɔt͡ʃkɐ
послідовниця	pɔsʲlʲidɔu̯net͡sʲɐ
всеохоплюючий	ʍseɔxɔplʲʊjʊt͡ʃei̯
боєць	bɔjɛt͡sʲ
закупити	zɐkʊpɪte
нейтральний	nei̯trɑlʲnei̯
дебютний	debʲutnei̯
безпрецедентний	bezpret͡sedɛntnei̯
сестрин	sestrɪn
вирости	ʋɪrɔste
автовантажник	ɐu̯tɔʋɐntɑʒnek
машина	mɐʃɪnɐ
гладіатор	ɦɫɐdʲiɑtɔr
маніпулювати	mɐnʲipʊlʲʊʋɑte
звати	zʋɑte
виглянути	ʋɪɦlʲɐnʊte
додавати	dɔdɐʋɑte
здивувати	zdewʊʋɑte
готівка	ɦotʲiu̯kɐ
тюхтій	tʲʊxtʲii̯
небог	nebɔɦ
крайній	krɑi̯nʲii̯
вівторковий	ʋʲiu̯tɔrkɔʋei̯
брюссельський	brʲʊsːɛlʲsʲkei̯
нетерплячий	neterplʲɑt͡ʃei̯
японією	jɐpɔnʲijejʊ
вікісловник	ʋʲikʲisɫɔu̯nɪk
референдуму	referɛndʊmʊ
скарб	skɑrb
заперечити	zɐperɛt͡ʃete
словникам	sɫɔu̯nekɑm
крилатка	kreɫɑtkɐ
тунелем	tʊnɛɫem
скребти	skrebtɪ
щиколоткою	ʃt͡ʃɪkɔɫɔtkɔjʊ
рамка	rɑmkɐ
мурахоїд	mʊrɐxɔjid
номенклатурні	nɔmenkɫɐturnʲi
самозакоханий	sɐmɔzɐkɔxɐnei̯
абісаль	ɐbʲisɑlʲ
кінець	kʲinɛt͡sʲ
клас	kɫɑs
решето	rɛʃetɔ
авіаметеослужба	ɐʋʲiɐmeteosɫuʒbɐ
каплиць	kɐpɫɪt͡sʲ
різдвяний	rʲizdʲʋʲɑnei̯
підтверджувати	pʲidtʋɛrd͡ʒʊʋɐte
наміри	nɑmʲire
травмувати	trɐu̯mʊʋɑte
негативно	neɦɐtɪu̯nɔ
інституційний	instetʊt͡sʲii̯nei̯
ліки	lʲike
дівча	dʲiu̯t͡ʃɑ
феям	fɛjɐm
оцією	ɔt͡sʲijɛjʊ
ісус	isus
навмисний	nɐu̯mɪsnei̯
карбованець	kɐrbɔʋɐnet͡sʲ
оптична	ɔptɪt͡ʃnɐ
самореференція	sɐmɔreferɛnʲt͡sʲijɐ
готовий	ɦɔtɔʋei̯
довготривалий	dɔu̯ɦɔtreʋɑɫei̯
чоловікам	t͡ʃɔɫɔʋʲikɐm
кажан	kɐʒɑn
клавіатурами	kɫɐʋʲiɐturɐme
профіль	prɔfʲilʲ
привчити	preu̯t͡ʃɪte
косити	kɔsɪte
молодицями	mɔɫɔdɪt͡sʲɐme
хтивий	xtɪʋei̯
портфелів	pɔrtfɛlʲiu̯
справедливий	sprɐʋedɫɪʋei̯
символічний	semwolʲit͡ʃnei̯
постатях	pɔstɐtʲɐx
мене	menɛ
семен	semɛn
друкарня	drʊkɑrnʲɐ
ринковий	rɪnkɔʋei̯
межи	meʒɪ
демократичний	demɔkrɐtɪt͡ʃnei̯
угорщина	ʊɦɔrʃt͡ʃenɐ
фразеологічний	frɐzeɔɫoɦʲit͡ʃnei̯
данія	dɑnʲijɐ
гінекологія	ɦʲinekɔɫɔɦʲijɐ
коник	kɔnek
хмарочос	xmɐrɔt͡ʃɔs
працівниць	prɐt͡sʲiu̯nɪt͡sʲ
споряджати	spɔrʲɐd͡ʒɑte
вії	ʋʲiji
промовляти	prɔmɔu̯lʲɑte
щеплень	ʃt͡ʃɛpɫenʲ
виноград	ʋenɔɦrɑd
молдавія	mɔɫdɑʋʲijɐ
смітник	sʲmʲitnɪk
якісний	jɑkʲisnei̯
також	tɐkɔʒ
друзям	druzʲɐm
кип'ятити	kepjɐtɪte
трупа	pret͡ʃɪnɐ
релігієзнавство	relʲiɦʲijeznɑu̯stwɔ
зустрічі	zustʲrʲit͡ʃʲi
клавіатури	kɫɐʋʲiɐture
двадцятий	dʋɐd͡zʲt͡sʲɑtei̯
полумисок	poɫumesɔk
працівникам	prɐt͡sʲiu̯nekɑm
граната	ɦrɐnɑtɐ
промисловий	prɔmesɫɔʋei̯
інфраструктурний	infrɐstrʊkturnei̯
помічник	pɔmʲit͡ʃnɪk
запевнити	zɐpɛu̯nete
контамінація	kɔntɐmʲinɑt͡sʲijɐ
крити	krɪte
мурашко	mʊrɑʃkɔ
знаменитість	znɐmenɪtʲisʲtʲ
влаштуватися	wɫɐʃtʊʋɑtesʲɐ
книжками	kneʒkɑme
честь	t͡ʃɛsʲtʲ
труба	trʊbɑ
недовірливий	nedɔʋʲirɫeʋei̯
чернігів	t͡ʃernʲiɦʲiu̯
словечках	sɫɔʋɛt͡ʃkɐx
початківець	pɔt͡ʃɐtʲkʲiʋet͡sʲ
богослов	bɔɦɔsɫɔu̯
популяції	pɔpʊlʲɑt͡sʲiji
звуковий	zwʊkɔʋɪi̯
постачання	pɔstɐt͡ʃɑnʲːɐ
неправді	neprɑu̯dʲi
взірцевий	wzʲirt͡sɛʋei̯
ложе	ɫɔʒe
критерію	kretɛrʲijʊ
столиця	stɔɫɪt͡sʲɐ
виключний	ʋɪklʲʊt͡ʃnei̯
посталий	pɔstɑɫei̯
відрізнятися	ʋʲidʲrʲizʲnʲɑtesʲɐ
фабрика	fɑbrekɐ
зошит	zɔʃet
порося	pɔrɔsʲɑ
перевантажити	pereʋɐntɑʒete
допитливий	dɔpɪtɫeʋei̯
кров'яний	krɔʋjɐnɪi̯
ангольський	ɐnɦɔlʲsʲkei̯
завтра	zɑu̯trɐ
пристрасть	prɪstrɐsʲtʲ
страта	strɑtɐ
одночасність	ɔdnɔt͡ʃɑsʲnʲisʲtʲ
абсурдність	ɐbsurdʲnʲisʲtʲ
італійський	itɐlʲii̯sʲkei̯
виграш	ʋɪɦrɐʃ
мотоциклам	mɔtɔt͡sɪkɫɐm
абсорбціометр	ɐbsɔrbt͡sʲiɔmetr
намірів	nɑmʲirʲiu̯
ніздрям	nʲizdʲrʲɐm
петицією	petɪt͡sʲijejʊ
зазначати	zɐznɐt͡ʃɑte
божественне	bɔʒɛstʋenːe
зоологія	zɔɔɫɔɦʲijɐ
генасамблея	ɦenɐsɐmbɫɛjɐ
пацюк	pɐt͡sʲuk
подвір'я	pɔdʲʋʲirjɐ
сонячний	sɔnʲɐt͡ʃnei̯
приголосний	prɪɦɔɫɔsnei̯
капелан	kɐpeɫɑn
пінистий	pʲinestei̯
скумбрія	skumbrʲijɐ
кліматологічний	klʲimɐtɔɫoɦʲit͡ʃnei̯
пращур	prɑʃt͡ʃʊr
ясла	jɑsɫɐ
погоджуватися	pɔɦɔd͡ʒʊʋɐtesʲɐ
теребейчук	terebei̯t͡ʃuk
нуль	nulʲ
цими	t͡sɪme
болгарка	bɔɫɦɑrkɐ
нещодавній	neʃt͡ʃɔdɑu̯nʲii̯
ковзкий	kɔu̯zkɪi̯
коефіцієнт	kɔefʲit͡sʲijɛnt
інтерактивний	interɐktɪu̯nei̯
помилка	pɔmɪɫkɐ
печиві	pɛt͡ʃeʋʲi
літній	lʲitʲnʲii̯
гріховний	ɦrʲixɔu̯nei̯
глобалізація	ɦɫɔbɐlʲizɑt͡sʲijɐ
четвер	t͡ʃetʋɛr
кухонний	kʊxɔnːei̯
нещирість	neʃt͡ʃɪrʲisʲtʲ
величезний	ʋeɫet͡ʃɛznei̯
повставати	pɔu̯stɐʋɑte
політизація	pɔlʲitezɑt͡sʲijɐ
повторювати	pɔu̯tɔrʲʊʋɐte
вівтар	ʋʲiu̯tɐr
аудиторія	ɐʊdetɔrʲijɐ
відміна	ʋʲidʲmʲinɐ
оцінювати	ot͡sʲinʲʊʋɐte
сестрицях	sestrɪt͡sʲɐx
репродуктивний	reprɔdʊktɪu̯nei̯
інфекціями	infɛkt͡sʲijɐme
полігамія	pɔlʲiɦɑmʲijɐ
еміграція	emʲiɦrɑt͡sʲijɐ
засмучений	zɐsmut͡ʃenei̯
модрина	mɔdrɪnɐ
безвідсотковий	bezʲʋʲid͡zsɔtkɔʋei̯
аутсайдер	ɐʊt͡sɑi̯der
віддаляти	ʋʲidːɐlʲɑte
шукати	ʃʊkɑte
кукурудза	kʊkʊrud͡zɐ
райдуга	rɑi̯dʊɦɐ
щеплення	ʃt͡ʃɛpɫenʲːɐ
вадам	ʋɑdɐm
друзів	druzʲiu̯
печива	pɛt͡ʃeʋɐ
запозичати	zɐpɔzet͡ʃɑte
простити	prɔstɪte
артеріях	ɐrtɛrʲijɐx
знімати	zʲnʲimɑte
відповідати	ʋʲidpɔʋʲidɑte
керівник	kerʲiu̯nɪk
черевний	t͡ʃereu̯nɪi̯
сфальсифікувати	sfɐlʲsefʲikʊʋɑte
мобілізація	mɔbʲilʲizɑt͡sʲijɐ
масть	mɑsʲtʲ
досконалість	dɔskɔnɑlʲisʲtʲ
янтар	jɐntɑr
страхувати	strɐxʊʋɑte
одяг	ɔdʲɐɦ
земля	zemlʲɑ
твір	tʲʋʲir
заборона	zɐbɔrɔnɐ
зося	zɔsʲɐ
зимний	zɪmnei̯
експозиція	ekspɔzɪt͡sʲijɐ
зграя	zɦrɑjɐ
забавний	zɐbɑu̯nei̯
підкреслити	pʲidkrɛsɫete
каштан	kɐʃtɑn
захворіти	zɐxworʲite
сумнів	sumnʲiu̯
ускладнити	ʊskɫɐdnɪte
повзик	pɔu̯zek
цю	t͡sʲu
вмирати	wmerɑte
оподатковувати	ɔpɔdɐtkɔwʊʋɐte
пропорціям	prɔpɔrt͡sʲijɐm
африканка	ɐfrekɑnkɐ
гарний	ɦɑrnei̯
ресторанний	restɔrɑnːei̯
повага	pɔʋɑɦɐ
мігрантка	mʲiɦrɑntkɐ
спробувати	sprɔbʊʋɐte
клуатр	kɫʊɑtr
банк	bɑnk
пленум	pɫɛnʊm
абсорбування	ɐbsɔrbʊʋɑnʲːɐ
лимонад	ɫemɔnɑd
заєць	zɑjet͡sʲ
додатка	dɔdɑtkɐ
