secretive	sˈiːkɹətˌɪv
detaching	dɪtˈætʃɪŋ
deadly	dˈɛdli
rasper	ɹˈɑːspɐ
onyx	ˈɒnɪks
terrazzo	tɛɹˈæzəʊ
whizzes	wˈɪzɪz
epidemic	ˌɛpɪdˈɛmɪk,ɛpɪdˈɛmɪk
veteran	vˈɛtəɹən
influxes	ˈɪnflʌksɪz
atmospheric	ˌætməsfˈɛɹɪk
kwanza	kwˈænzɐ
godlike	ɡˈɒdlaɪk
venerated	vˈɛnəɹˌeɪtɪd
peddling	pˈɛdlɪŋ
bedposts	bˈɛdpəʊsts
chervil	tʃˈɜːvəl
communicating	kəmjˈuːnɪkˌeɪtɪŋ
shrink	ʃɹˈɪŋk
jessie	dʒˈɛsi
tessellation	tˌɛsɪlˈeɪʃən
pontoon	pəntˈuːn
relay	ɹɪlˈeɪ,ɹˈiːleɪ
windowpane	wˈɪndəʊpˌeɪn
dunes	djˈuːnz
junking	dʒˈʌŋkɪŋ
secession	sɛsˈɛʃən
nipper	nˈɪpɐ
disputed	dɪspjˈuːtɪd
brooks	bɹˈʊks
arbitrariness	ˈɑːbɪtɹəɹinəs
accoutrements	ɐkˈuːtɹɪmənts
rance	ɹˈɑːns
rissole	ɹˈɪsəʊl
cinematography	sˌɪnɪmɐtˈɒɡɹəfi
shrimping	ʃɹˈɪmpɪŋ
gradin	ɡɹˈædɪn
goa	ɡˈəʊɐ
solstice	sˈɒlstɪs
discussing	dɪskˈɐsɪŋ,dɪskˈʌsɪŋ
rerunning	ɹɪɹˈʌnɪŋ
optimum	ˈɒptɪməm
colder	kˈəʊldɐ,kˈəʊldə
girded	ɡˈɜːdɪd
coachmen	kˈəʊtʃmɛn
burdensome	bˈɜːdənsˌʌm
marshland	mˈɑːʃlənd
squirreling	skwˈɜːɹəlɪŋ
wimbledon	wˈɪmbəldən
renovations	ɹˌɛnəvˈeɪʃənz
supernova	sˈuːpənˈəʊvɐ
inscribed	ɪnskɹˈaɪbd
purportedly	pɜːpˈɔːtɪdli
sprayers	spɹˈeɪəz
relate	ɹɪlˈeɪt
updraughts	ʌpdɹˈɑːfts
marinating	mˈæɹɪnˌeɪtɪŋ
punched	pˈʌntʃt
unlovely	ʌnlˈʌvli
stomachache	stˈʌməkˌeɪk
hazard	hˈæzəd
wear	wˈɛə
fleam	flˈiːm
motorway	mˈəʊtəwˌeɪ
campaigns	kæmpˈeɪnz
shorthorns	ʃˈɔːθɔːnz
herded	hˈɜːdɪd
pigheaded	pˈɪɡhɛdɪd
disposes	dɪspˈəʊzɪz
pantomime	pˈæntəmˌaɪm,pˈɑːntəmˌaɪm
hoovered	hˈuːvəd
songs	sˈɒŋz
bespeaking	bɪspˈiːkɪŋ
improvisational	ˌɪmpɹəvaɪzˈeɪʃənəl
snores	snˈɔːz
inquiring	ɪnkwˈaɪəɹɪŋ
nullifying	nˈʌlɪfˌaɪɪŋ
snappiest	snˈæpɪəst
subdues	sʌbdjˈuːz
mariah	məɹˈaɪə
exposures	ɛkspˈəʊʒəz
knocked	nˈɒkt
blooded	blˈʌdɪd
react	ɹɪˈækt
clearwing	klˈiəwəɹɪŋ
cement	sɪmˈɛnt
wharfs	wˈɔːfs
slings	slˈɪŋz
callboy	kˈɔːlbɔɪ
painfully	pˈeɪnfəli
wean	wˈiːn
linebacker	lˈaɪnbækɐ
disjoint	dɪsdʒˈɔɪnt
amie	ˈæmi
impassioned	ɪmpˈæʃənd
meows	mɪˈaʊz
dictums	dˈɪktəmz
archetypal	ˌɑːkɪtˈaɪpəl
personification	pɜːsˈɒnɪfɪkˈeɪʃən
outgunned	aʊtɡˈʌnd
organists	ˈɔːɡɐnˌɪsts
rapturous	ɹˈæptʃəɹəs
foully	fˈaʊli
college	kˈɒlɪdʒ
consensus	kənsˈɛnsəs
odometers	əʊdˈɒmɪtəz
tizz	tˈɪz
quest	kwˈɛst
outrace	aʊtɹˈeɪs
collide	kəlˈaɪd
loomed	lˈuːmd
rugged	ɹˈɐgɪd
cashes	kˈæʃɪz
bloodstain	blˈʌdsteɪn
auditioned	ɔːdˈɪʃənd
clammy	klˈæmi
papered	pˈeɪpəd
bunchy	bˈʌntʃi
reserve	ɹɪzˈɜːv
rainbows	ɹˈeɪnbəʊz
septic	sˈɛptɪk
ukulele	jˌuːkəlˈeɪli
refolding	ɹɪfˈəʊldɪŋ
reconvenes	ɹˌiːkənvˈiːnz
consultant	kənsˈɐltənt,kənsˈʌltənt
centralising	sˈɛntɹəlˌaɪzɪŋ
duckpond	dˈʌkpɒnd
biodegradable	bˌaɪəʊdɪɡɹˈeɪdəbəl
pawpaw	pˈɔːpɔː
walkable	wˈɔːkəbəl
disorderly	dɪsˈɔːdəli
dudes	djˈuːdz
echopraxia	ˌɛkəpɹˈeɪksiə
primula	pɹˈɪmjʊlɐ
holograph	hˈɒləɡɹˌæf
commuted	kəmjˈuːtɪd
slinking	slˈɪŋkɪŋ
petrels	pˈɛtɹəlz
propylene	pɹˈəʊpaɪlˌiːn
vitrines	vˈɪtɹiːnz
sorrow	sˈɒɹəʊ
francium	fɹˈɑːnsiəm
propinquity	pɹəpˈɪnkwɪti
tame	tˈeɪm
sill	sˈɪl
riddler	ɹˈɪdlɐ
assail	ɐsˈeɪl
spacewalking	spˈeɪswɔːkɪŋ
relied	ɹɪlˈaɪd
paroxysms	pˈæɹəksˌɪzəmz
birthplaces	bˈɜːθpleɪsɪz
nominated	nˈɒmɪnˌeɪtɪd
sky	skˈaɪ
norma	nˈɔːmə
superfluous	suːpˈɜːfluːəs
endured	ɛndjˈɔːd
upskirt	ˈɐpskˌɜːt
whodunnit	hˈuːdənˌɪt
cleaned	klˈiːnd
antitrust	ˌæntɪtɹˈʌst
placemen	plˈeɪsmɛn
woodmen	wˈʊdmɛn
fourths	fˈɔːθs
metastasised	mˌɛtəstˈæsaɪzd
payed	pˈeɪd
saiga	sˈeɪɡɐ
overcame	ˌəʊvəkˈeɪm,ˈəʊvəkˌeɪm
haricot	hˈæɹɪkˌɒt
heraldry	hˈɛɹəldɹi
hunger	hˈɐŋgə,hˈʌŋɡɐ
ulcerous	ˈʌlsəɹəs
chesty	tʃˈɛsti
outsourcing	aʊtsˈɔːsɪŋ,ˌaʊtsˈɔːsɪŋ
puffiness	pˈʌfɪnəs
blogger	blˈɒgə,blˈɒɡɐ
laughed	lˈɑːft,lˈɑːfd
patronising	pˈætɹənˌaɪzɪŋ
leisure	lˈɛʒɐ,lˈɛʒə,lˈiːʒə
blotting	blˈɒtɪŋ
bucko	bˈʌkəʊ
deferentially	dˌɛfəɹˈɛnʃəlˌi
synthesise	sˈɪnθəsˌaɪz
converter	kənvˈɜːtə,kənvˈɜːtɐ
narrate	nɐɹˈeɪt
trucker	tɹˈʌkɐ
buying	bˈaɪɪŋ
embed	ɛmbˈɛd
circulars	sˈɜːkjʊləz
intrigues	ɪntɹˈiːɡz
foppish	fˈɒpɪʃ
leman	lˈɛmən
gollies	ɡˈɒliz
wrath	ɹˈæθ,ɹˈɒθ
wreaking	ɹˈiːkɪŋ
generalisations	dʒˌɛnəɹəlaɪzˈeɪʃənz
peelings	pˈiːlɪŋz
twisting	twˈɪstɪŋ
lamberts	lˈæmbəts
tartars	tˈɑːtəz
tubercles	tjˈuːbəkəlz
tearful	tˈiəfəl
cattle	kˈætəl
exclaimed	ɛksklˈeɪmd,ɪksklˈeɪmd
painlessly	pˈeɪnləsli
foretell	fɔːtˈɛl
cisterns	sˈɪstənz
rebuttable	ɹɪbˈʌtəbəl
monk	mˈɐŋk,mˈʌnk
saffrons	sˈæfɹɒnz
suspiciously	səspˈɪʃəsli
sleigh	slˈeɪ
donation	dəʊnˈeɪʃən
slaughtering	slˈɔːtəɹɪŋ
bluebell	blˈuːbɛl
rosette	ɹəʊzˈɛt
elephant	ˈɛlɪfənt
tattooists	tˈætuːˌɪsts
scored	skˈɔːd
crystallises	kɹˈɪstɐlˌaɪzɪz
dispute	dɪspjˈuːt
tailors	tˈeɪləz
harmonics	hɑːmˈɒnɪks
vagueness	vˈeɪɡnəs
smarted	smˈɑːtɪd
patterned	pˈætənd
dislocating	dɪsləʊkˈeɪtɪŋ
lugged	lˈʌɡd
crossbreeds	kɹˈɒsbɹiːdz
reliever	ɹɪlˈiːvɐ
stratum	stɹˈɑːtəm
happenstance	hˈæpənstəns
basest	bˈeɪsəst
foreigners	fˈɒɹɪnəz,fˈɒɹənəz
skivvying	skˈɪvɪɪŋ
budding	bˈʌdɪŋ
intervenes	ˌɪntəvˈiːnz
deflecting	dɪflˈɛktɪŋ
misspelled	mˌɪsspˈɛld,mɪsspˈɛld
rarer	ɹˈeəɹɐ
copywriting	kˈɒpɪɹˌaɪtɪŋ
outsize	aʊtsˈaɪz
oneself	wɒnsˈɛlf
inward	ˈɪnwəd
outskirts	ˈaʊtskɜːts
hurlers	hˈɜːləz
subscribes	səbskɹˈaɪbz
police	pəlˈiːs
powerfully	pˈaʊəfəli
castrated	kˈɑːstɹeɪtɪd
conflict	kˈɒnflɪkt,kənflˈɪkt
cliffhanger	klˈɪfhæŋɐ
rung	ɹˈɐŋ,ɹˈʌŋ
kingship	kˈɪŋʃɪp
stringier	stɹˈɪŋɪɐ
jefferson	dʒˈɛfəsən
neuralgic	njuːɹˈældʒɪk
firebrand	fˈaɪəbɹænd
benefactress	bˈɛnɪfˌæktɹəs
liquefying	lˈɪkwɪfˌaɪɪŋ
dislodged	dɪslˈɒdʒd
rehashed	ɹɪhˈæʃt
rendezvoused	ɹˈɒndɪvˌuːd
antihistamine	ˌæntɪhˈɪstɐmˌiːn
interweaving	ˌɪntəwˈiːvɪŋ
knobbly	nˈɒbli
counterattacked	kˈaʊntəɹɐtˌækt
mutates	mjuːtˈeɪts
reallocated	ɹˌiːˈæləkˌeɪtɪd
heretics	hˈɛɹətˌɪks
holier	hˈəʊliɐ
fortieth	fˈɔːtiəθ
abasement	ɐbˈeɪsmənt
mealie	mˈiːli
freest	fɹˈiːst
dogma	dˈɒɡmɐ,dˈɒgmə
peaches	pˈiːtʃɪz
mistimed	mɪstˈaɪmd
footsore	fˈʊtsɔː
battledress	bˈætəldɹˌɛs
piccolos	pɪkˈɒləʊz
splendid	splˈɛndɪd
ironsides	ˈaɪənsaɪdz
votes	vˈəʊts
supplication	sˌʌplɪkˈeɪʃən
steady	stˈɛdi
millenarian	mɪlɪnˈeəɹiən
flagstone	flˈæɡstəʊn
midterm	mˈɪdtˌɜːm
owing	ˈəʊɪŋ
strictures	stɹˈɪktʃəz
heralds	hˈɛɹəldz
racketeer	ɹˌækɪtˈiə
massed	mˈæst
bumptious	bˈʌmpʃəs
chintz	tʃˈɪnts
idealising	aɪdˈiəlaɪzɪŋ
provocateurs	pɹəvˌɒkɐtˈɜːz
gravely	ɡɹˈeɪvli
painty	pˈeɪnti
postmortem	pˈəʊstmɔːtəm
ionisation	ˌaɪənaɪzˈeɪʃən
acquiescing	ˌækwɪˈɛsɪŋ
legitimately	lədʒˈɪtɪmətli
breakpoints	bɹˈeɪkpɔɪnts
submersibles	səbmˈɜːsəbəlz
stowage	stˈəʊɪdʒ
trichology	tɹɪkˈɒlədʒi
phi	fˈaɪ
isolators	ˈaɪsəlˌeɪtəz
suggestive	sədʒˈɛstɪv
nat	nˈæt
haematomas	hˌiːmɐtˈəʊməz
homograft	hˈɒməɡɹˌɑːft
woofers	wˈuːfəz
frustratingly	fɹˈʌstɹeɪtˌɪŋli
furry	fˈɜːɹi
barbered	bˈɑːbəd
eggplant	ˈɛɡplænt
ultimatums	ˌʌltɪmˈeɪtəmz
caseworker	kˈeɪswɜːkɐ
pounders	pˈaʊndəz
overturned	ˌəʊvətˈɜːnd
lupulin	lˈuːpjʊlˌɪn
transcendentalism	tɹænsɪndˈɛntəlˌɪzəm
remodel	ɹɪmˈɒdəl
pelicans	pˈɛlɪkənz
adapting	ɐdˈæptɪŋ
anorexic	ˌænɔːɹˈɛksɪk
eliminated	ɪlˈɪmɪnˌeɪtɪd
steadily	stˈɛdɪli
obeying	əʊbˈeɪɪŋ
p	pˈiː
subtlety	sˈʌtəlti
thriftiness	θɹˈɪftɪnəs
hunkering	hˈʌŋkəɹɪŋ
jezebel	dʒˈɛzɛbəl
twister	twˈɪstɐ
despotic	dɛspˈɒtɪk
heartwarming	hˈɑːtwɔːmɪŋ
hurdled	hˈɜːdəld
barium	bˈeəɹiəm
expectation	ˌɛkspɛktˈeɪʃən,ɛkspɪktˈeɪʃən
pocket	pˈɒkɪt
suturing	sˈuːtʃəɹɪŋ
shirtless	ʃˈɜːtləs
quartz	kwˈɔːts
skaters	skˈeɪtəz
lighters	lˈaɪtəz
bluing	blˈuːɪŋ
forest	fˈɒɹɪst
incident	ˈɪnsɪdənt
catwalks	kˈætwɔːks
perpetuates	pəpˈɛtʃuːˌeɪts
commodious	kəmˈəʊdɪəs
compaction	kəmpˈækʃən
compared	kəmpˈeəd,kəmpˈɛəd
footers	fˈʊtəz
depict	dɪpˈɪkt
occasions	əkˈeɪʒənz
vulpine	vˈʌlpaɪn
professionalisation	pɹəfˌɛʃənəlaɪzˈeɪʃən
slotting	slˈɒtɪŋ
sourpuss	sˈaʊəpʊs
sloshes	slˈɒʃɪz
verbosity	vɜːbˈɒsɪti
cant	kˈɑːnt,kˈænt
adulteresses	ɐdˈʌltəɹəsɪz
cracks	kɹˈæks
invariant	ɪnvˈeəɹiənt
dawdler	dˈɔːdlɐ
decapitate	dɪkˈæpɪtˌeɪt
adorably	ɐdˈɔːɹəbli
pressing	pɹˈɛsɪŋ
calx	kˈælks
inquirer	ɪnkwˈaɪəɹɐ
indiscipline	ˌɪndˈɪsɪplˌɪn
moonless	mˈuːnləs
tarnishes	tˈɑːnɪʃɪz
smouldered	smˈəʊldəd
noradrenaline	nˈɔːɹɐdɹˌɛnəlˌɪn
internships	ɪntˈɜːnʃɪps
cobwebbed	kˈɒbwɛbd
dilator	daɪlˈeɪtɐ
putdowns	pˈʌtdaʊnz
labeled	lˈeɪbəld
pinhead	pˈɪnhɛd
troopship	tɹˈuːpʃɪp
money	mˈʌni,mˈɐni
laughably	lˈɑːfəbli
controversy	kəntɹˈɒvəsi,kˈɒntɹəvˌɜːsi
comradely	kˈɒmɹeɪdli
tangential	tændʒˈɛnʃəl
actresses	ˈæktɹəsɪz
weightlessly	wˈeɪtləsli
gleaming	ɡlˈiːmɪŋ
halted	hˈɒltɪd
threadbare	θɹˈɛdbeə
cries	kɹˈaɪz
barnacled	bˈɑːnəkəld
sacrificing	sˈækɹɪfˌaɪsɪŋ
replenishes	ɹɪplˈɛnɪʃɪz
spigot	spˈɪɡət
subliming	sʌblˈaɪmɪŋ
obscurer	ɒbskjˈʊɹɐ
suffocate	sˈʌfəkˌeɪt
thirtieth	θˈɜːtiəθ,θˈɜːtiɪθ
joggers	dʒˈɒɡəz
enfolds	ɛnfˈəʊldz
remastered	ɹɪmˈɑːstəd
trunnion	tɹˈʌniən
resulted	ɹɪzˈɐltɪd,ɹɪzˈʌltɪd
spinnakers	spˈɪneɪkəz
heirlooms	ˈeəluːmz
straightened	stɹˈeɪtənd
scared	skˈɛəd,skˈeəd
frailties	fɹˈeɪltɪz
holidaying	hˈɒlɪdˌeɪɪŋ
nosiness	nˈəʊzɪnəs
shimmied	ʃˈɪmɪd
microbrewery	mˈaɪkɹəʊbɹˌuːəɹi
malformations	mˌælfɔːmˈeɪʃənz
intertidal	ˌɪntətˈaɪdəl
backplate	bˈækpleɪt
loran	lˈɔːɹən
diagnoses	dˌaɪəgnˈəʊsiːz
ernest	ˈɜːnɪst
extracellular	ˌɛkstɹəsˈɛljʊlɐ
refashion	ɹɪfˈæʃən
opticians	ɒptˈɪʃənz
undershooting	ˌʌndəʃˈuːtɪŋ
grooved	ɡɹˈuːvd
pawing	pˈɔːɹɪŋ
shatteringly	ʃˈætəɹɪŋli
headphone	hˈɛdfəʊn
rhinoplasty	ɹˈaɪnəplɐsti
bellowed	bˈɛləʊd
innumerate	ɪnjˈuːməɹˌeɪt
objecting	ɒbdʒˈɛktɪŋ
squires	skwˈaɪəz
terraced	tˈɛɹɪst
artefacts	ˈɑːtɪfˌækts
deceitfulness	dɪsˈiːtfəlnəs
steno	stˈiːnəʊ
eggbeater	ˈɛɡbiːtɐ
survivor	səvˈaɪvə,səvˈaɪvɐ
sharpest	ʃˈɑːpəst
modernises	mˈɒdənˌaɪzɪz
thornier	θˈɔːnɪɐ
lumbermen	lˈʌmbəmˌɛn
lookalikes	lˈʊkəlˌaɪks
highly	hˈaɪli
clarification	klˌæɹɪfɪkˈeɪʃən
guaranteeing	ɡˌæɹɑːntˈiːɪŋ
handcrafting	hˈændkɹɑːftɪŋ
shrinks	ʃɹˈɪŋks
shins	ʃˈɪnz
tableaux	tˈeɪbləʊ
mistreat	mɪstɹˈiːt
untidier	ʌntˈaɪdiɐ
misting	mˈɪstɪŋ
supercooled	sˈuːpəkˌuːld
else	ˈɛls
hyperinflation	hˌaɪpəɹɪnflˈeɪʃən
rimmed	ɹˈɪmd
structureless	stɹˈʌktʃələs
angulation	ˈænɡjʊlˈeɪʃən
phlox	flˈɒks
bastion	bˈæstiən
parolee	pˈæɹəʊlˌiː
grig	ɡɹˈɪɡ
dances	dˈɑːnsɪz
modesty	mˈɒdəsti
cockney	kˈɒkni
worries	wˈʌɹɪz,wˈɐɹiz
paternoster	pətˈɜːnɒstɐ
matchmaker	mˈætʃmeɪkɐ
obtainable	ɒbtˈeɪnəbəl
formulated	fˈɔːmjʊlˌeɪtɪd
nominee	nˌɒmɪni,nˈɒmɪnˌiː
boded	bˈəʊdɪd
teas	tˈiːz
canoeists	kˈænəʊˌɪsts
reformulating	ɹɪfˈɔːmjʊlˌeɪtɪŋ
jobsworth	dʒˈɒbswɜːθ
clair	klˈɛə
consecrated	kˈɒnsɪkɹˌeɪtɪd
routers	ɹˈaʊtəz,ɹˈuːtəz
pressed	pɹˈɛst
stooping	stˈuːpɪŋ
dependents	dɪpˈɛndənts
teetering	tˈiːtəɹɪŋ
aerobatics	ˌeəɹəʊbˈætɪks
spirited	spˈɪɹɪtɪd
cliffy	klˈɪfi
thoughtfully	θˈɔːtfəli
socialite	sˈəʊʃəlˌaɪt
hopscotch	hˈɒpskɒtʃ
productive	pɹədˈʌktɪv,pɹədˈɐktɪv
customarily	kˌʌstəmˈɛɹəli
message	mˈɛsɪdʒ
haven't	hˈævənt
homies	hˈəʊmɪz
infringe	ɪnfɹˈɪndʒ
disinformation	dˌɪsˌɪnfəmˈeɪʃən
affair	ɐfˈeə,əfˈɛə
floodlit	flˈʌdlɪt
artwork	ˈɑːtwˌɜːk,ˈɑːtwɜːk
buyers	bˈaɪəz
fractiousness	fɹˈækʃəsnəs
geocentric	dʒˌiːəʊsˈɛntɹɪk
parch	pˈɑːtʃ
capri	kəpɹˈiː,kˈæpɹi
transaction	tɹænsˈækʃən,tɹænzˈækʃən
idolising	ˈaɪdəlˌaɪzɪŋ
champagnes	ʃæmpˈeɪnz
flunked	flˈʌŋkt
kissers	kˈɪsəz
whizzed	wˈɪzd
cola	kˈəʊlɐ
franchisee	fɹˈɑːntʃɪsˌiː
toolkit	tˈuːlkɪt
malevolently	məlˈɛvələntli
pain	pˈeɪn
acceptability	ɐksˌɛptəbˈɪlɪti
partnering	pˈɑːtnəɹɪŋ
touch	tˈɐtʃ,tˈʌtʃ
squarer	skwˈeəɹɐ
bouilli	buːˈɪli
brushy	bɹˈʌʃi
ore	ˈɔː
predilection	pɹˌiːdɪlˈɛkʃən
triathlons	tɹˈaɪæθlənz
canting	kˈɑːntɪŋ
tamarack	tˈæmɐɹˌæk
impound	ɪmpˈaʊnd
superintendent	sˌuːpəɹɪntˈɛndənt
foreshore	fˈɔːʃɔː
measures	mˈɛʒəz
antacids	ˈæntɐsˌɪdz
chandlery	tʃˈændəlɹi
dysprosium	dɪspɹˈəʊsiəm
dislodging	dɪslˈɒdʒɪŋ
reservoirs	ɹˈɛzəvwˌɑːz
encourager	ɛnkˈʌɹɪdʒɐ
spinal	spˈaɪnəl
sod	sˈɒd
superannuated	sˌuːpəɹˈænjuːˌeɪtɪd
revitalises	ɹɪvˈaɪtəlˌaɪzɪz
chunks	tʃˈʌŋks
sexual	sˈɛkʃʊəl,sˈɛkʃuːəl
terribly	tˈɛɹɪbli,tˈɛɹəbli
flappers	flˈæpəz
tweeted	twˈiːtɪd
permit	pˈɜːmˌɪt,pəmˈɪt
oxygenates	ˈɒksɪdʒənˌeɪts
fatness	fˈætnəs
overturns	ˌəʊvətˈɜːnz
darkrooms	dˈɑːkɹuːmz
droppers	dɹˈɒpəz
zapping	zˈæpɪŋ
hopping	hˈɒpɪŋ
go	gˈəʊ,ɡˈəʊ
witching	wˈɪtʃɪŋ
screech	skɹˈiːtʃ
prearranged	pɹˈiəɹeɪndʒd
littler	lˈɪtlɐ
loaner	lˈəʊnɐ
drunk	dɹˈʌŋk,dɹˈɐŋk
lance	lˈɑːns
innit	ɪnnˈɪt
rivulets	ɹˈɪvjʊləts
allergens	ˈælədʒənz
fenland	fˈɛnlənd
rhymers	ɹˈaɪməz
mattock	mˈætək
retains	ɹɪtˈeɪnz
beserk	bəzˈɜːk,bəsˈɜːk
adequate	ˈædɪkwɪt,ˈædɪkwət
marquis	mɑːrkˈiː
