pcion	pt͡ɕɔn
mazowiecku	mazɔvʲɛt͡sku
zazdrosne	zazdrɔsnɛ
bogatemu	bɔɡatɛmu
krzyżaniak	kʂɨʐaɲak
sójce	sujt͡sɛ
dzieciuch	d͡ʑɛt͡ɕux
chrześcijańskiego	xʂɛɕt͡ɕijaɲskʲɛɡɔ
wrzemię	vʐɛmʲɛ
czernuszewicz	t͡ʂɛrnuʂɛvʲit͡ʂ
łemkowski	wɛmkɔfskʲi
ubogiemu	ubɔɡʲɛmu
technologiczny	tɛxnɔlɔɡʲit͡ʂnɨ
szaciło	ʂat͡ɕiwɔ
usa	uɛsa
bartoszewicz	bartɔʂɛvʲit͡ʂ
żeliszczak	ʐɛlʲiʂt͡ʂak
chrupała	xrupawa
cyrankiewicz	t͡sɨrankʲɛvʲit͡ʂ
dołomisiewicz	dɔwɔmʲiɕɛvʲit͡ʂ
socjolingwistyka	sɔt͡sjɔlʲinɡvʲistɨka
piędź	pʲɛɲt͡ɕ
wysłanie	vɨswaɲɛ
plewy	plɛvɨ
znad	znat
toczyć	tɔt͡ʂɨt͡ɕ
wstyd	fstɨt
atłas	atwas
staniucha	staɲuxa
rygasiewicz	rɨɡaɕɛvʲit͡ʂ
załzawiony	zawzavʲɔnɨ
prawdopodobnemu	pravdɔpɔdɔbnɛmu
zgryziewicz	zɡrɨʑɛvʲit͡ʂ
rybimi	rɨbʲimʲi
jaszczurzymi	jaʂt͡ʂuʐɨmʲi
popatrzeć	pɔpatʂɛt͡ɕ
nagradzać	naɡrad͡zat͡ɕ
plotkach	plɔtkax
absorpcyjną	apsɔrpt͡sɨjnɔ̃
wie	vʲɛ
abonentami	abɔnɛntamʲi
obrać	ɔbrat͡ɕ
skwapliwy	skfaplʲivɨ
gorliwszego	ɡɔrlʲifʂɛɡɔ
palestyńscy	palɛstɨɲst͡sɨ
żytem	ʐɨtɛm
kornaś	kɔrnaɕ
menstruacja	mɛnstruat͡sja
kurzempa	kuʐɛmpa
wyce	vɨt͡sɛ
kosmate	kɔsmatɛ
kułby	kuwbɨ
roztropność	rɔstrɔpnɔɕt͡ɕ
francuska	frant͡suska
sępię	sɛmpʲɛ
haiku	xaiku
maciejewska	mat͡ɕɛjɛfska
jańczak	jaɲt͡ʂak
toni	tɔɲi
szczegółowa	ʂt͡ʂɛɡuwɔva
wrześniak	vʐɛɕɲak
kręciło	krɛɲt͡ɕiwɔ
waru	varu
fonetyka	fɔnɛtɨka
cieślikiewicz	t͡ɕɛɕlʲikʲɛvʲit͡ʂ
wylej	vɨlɛj
płukać	pwukat͡ɕ
gotowałbyś	ɡɔtɔvawbɨɕ
bociani	bɔt͡ɕaɲi
wykopię	vɨkɔpʲɛ
eupatorią	ɛwpatɔrʲjɔ̃
myleni	mɨlɛɲi
błyskać	bwɨskat͡ɕ
wytwarzać	vɨtfaʐat͡ɕ
fangrat	fanɡrat
ciepełko	t͡ɕɛpɛwkɔ
psuło	psuwɔ
naparł	naparw
wróży	vruʐɨ
chucham	xuxam
naganach	naɡanax
kąpię	kɔmpʲɛ
egipskiego	ɛɡʲipskʲɛɡɔ
burek	burɛk
chucią	xut͡ɕɔ̃
pomarańczowych	pɔmaraɲt͡ʂɔvɨx
globu	ɡlɔbu
szczudle	ʂt͡ʂudlɛ
szczypnięcie	ʂt͡ʂɨpɲɛɲt͡ɕɛ
pas	pa
żartobliwość	ʐartɔblʲivɔɕt͡ɕ
tłukły	twukwɨ
chińskojęzyczny	xʲiɲskɔjɛ̃zɨt͡ʂnɨ
detektywie	dɛtɛktɨvʲɛ
mrugać	mruɡat͡ɕ
zeszut	zɛʂut
zaciążyłbym	zat͡ɕɔ̃ʐɨwbɨm
nogach	nɔɡax
łyżwiarka	wɨʐvʲarka
goiło	ɡɔiwɔ
olewanie	ɔlɛvaɲɛ
pawlenty	pavlɛntɨ
ugaszanie	uɡaʂaɲɛ
niecnymi	ɲɛt͡snɨmʲi
sałęga	sawɛŋɡa
spowodować	spɔvɔdɔvat͡ɕ
magdalenka	maɡdalɛnka
całą	t͡sawɔ̃
koczanowicz	kɔt͡ʂanɔvʲit͡ʂ
przełęcz	pʂɛwɛnt͡ʂ
klosz	klɔʂ
sztolnia	ʂtɔlɲa
walocha	valɔxa
półprzewodnik	puwpʂɛvɔdɲik
cichutko	t͡ɕixutkɔ
chrobrym	xrɔbrɨm
wymień	vɨmʲɛɲ
właź	vwaɕ
skupniewicz	skupɲɛvʲit͡ʂ
gaśniczy	ɡaɕɲit͡ʂɨ
narkoza	narkɔza
abchazowi	apxazɔvʲi
smoło	smɔwɔ
guja	ɡuja
pacę	pat͡sɛ
gruzinka	ɡruʑinka
samym	samɨm
tożsamy	tɔʂsamɨ
parafianowicz	parafʲanɔvʲit͡ʂ
awestyjska	avɛstɨjska
belczewska	bɛlt͡ʂɛfska
napisać	napʲisat͡ɕ
tojad	tɔjat
powinienem	pɔvʲiɲɛnɛm
trąbką	trɔmpkɔ̃
koreańska	kɔrɛaɲska
ścięła	ɕt͡ɕɛwa
precyzja	prɛt͡sɨzja
hydra	xɨdra
estońskiego	ɛstɔɲskʲɛɡɔ
odzienie	ɔd͡ʑɛɲɛ
gad	ɡat
twardemu	tfardɛmu
kipczackie	kʲipt͡ʂat͡skʲɛ
zarchiwizowali	zarxʲivʲizɔvalʲi
jaśnie	jaɕɲɛ
nibytorebka	ɲibɨtɔrɛpka
pękli	pɛŋklʲi
bogobojność	bɔɡɔbɔjnɔɕt͡ɕ
rozbójnik	rɔzbujɲik
kosmyczek	kɔsmɨt͡ʂɛk
bramy	bramɨ
kościozrost	kɔɕt͡ɕɔzrɔst
podglądać	pɔdɡlɔndat͡ɕ
ropuszym	rɔpuʂɨm
zemrzeć	zɛmʐɛt͡ɕ
vanuatu	vanuatu
danie	daɲɛ
wejścia	vɛjɕt͡ɕa
chmielarz	xmʲɛlaʂ
czerniachowicz	t͡ʂɛrɲaxɔvʲit͡ʂ
walkman	wɔkmɛn
kuszo	kuʂɔ
neodym	nɛɔdɨm
krata	krata
wpieranie	fpʲɛraɲɛ
setnymi	sɛtnɨmʲi
chudoń	xudɔɲ
żęty	ʐɛntɨ
karaimskim	karaimskʲim
wiosna	vʲɔsna
strzelba	stʂɛlba
sapało	sapawɔ
garbujący	ɡarbujɔnt͡sɨ
tatuować	tatuɔvat͡ɕ
figurowy	fʲiɡurɔvɨ
marnych	marnɨx
tajscy	tajst͡sɨ
blaszka	blaʂka
asystentka	asɨstɛntka
stoli	stɔlʲi
kulczyk	kult͡ʂɨk
suduł	suduw
znalezionemu	znalɛʑɔnɛmu
zwrot	zvrɔt
nazaret	nazarɛt
ukradkiem	ukratkʲɛm
kier	kʲɛr
opieki	ɔpʲɛkʲi
korom	kɔrɔm
diamencik	djamɛnt͡ɕik
rozrywka	rɔzrɨfka
klinga	klʲinɡa
zanikać	zaɲikat͡ɕ
jesienie	jɛɕɛɲɛ
żółtą	ʐuwtɔ̃
uzupełnij	uzupɛwɲij
karcz	kart͡ʂ
piękoś	pʲɛŋkɔɕ
dubbingowalibyście	dabʲinɡɔvalʲibɨɕt͡ɕɛ
stękało	stɛŋkawɔ
bysiec	bɨɕɛt͡s
łabuda	wabuda
proc	prɔt͡s
gargol	ɡarɡɔl
bezczeszczeniami	bɛst͡ʂɛʂt͡ʂɛɲamʲi
widłok	vʲidwɔk
skalnik	skalɲik
gwiazdowicz	ɡvʲazdɔvʲit͡ʂ
miron	mʲirɔn
migacz	mʲiɡat͡ʂ
ginęli	ɡʲinɛli
węgłowe	vɛŋɡwɔvɛ
tlał	tlaw
tankowiec	tankɔvʲɛt͡s
bukowałam	bukɔvawam
sferyczny	sfɛrɨt͡ʂnɨ
lęgami	lɛŋɡamʲi
indiana	indjana
zgłoś	zɡwɔɕ
młodszego	mwɔtʂɛɡɔ
wolan	vɔlan
pieli	pʲɛlʲi
przytarczyca	pʂɨtart͡ʂɨt͡sa
śródtułowie	ɕruttuwɔvʲɛ
henryka	xɛnrɨka
przewracać	pʂɛvrat͡sat͡ɕ
kluto	klutɔ
żyłabyś	ʐɨwabɨɕ
rzeźbiarstwo	ʐɛʑbʲarstfɔ
wrzecionowy	vʐɛt͡ɕɔnɔvɨ
posłom	pɔswɔm
firmę	fʲirmɛ
brytyjka	brɨtɨjka
toporkiewicz	tɔpɔrkʲɛvʲit͡ʂ
polecieć	pɔlɛt͡ɕɛt͡ɕ
nato	natɔ
kiep	kʲɛp
irańską	iraɲskɔ̃
kurasiewicz	kuraɕɛvʲit͡ʂ
wkrętarka	fkrɛntarka
bura	bura
trupisko	trupʲiskɔ
lutem	lutɛm
szkatułeczka	ʂkatuwɛt͡ʂka
pomagałbyś	pɔmaɡawbɨɕ
uwielbiając	uvʲɛlbʲajɔnt͡s
kłoci	kwɔt͡ɕi
kaszuba	kaʂuba
kozodój	kɔzɔduj
świrbutowicz	ɕfʲirbutɔvʲit͡ʂ
gałowicz	ɡawɔvʲit͡ʂ
archiwizowałeś	arxʲivʲizɔvawɛɕ
wykrzyknik	vɨkʂɨkɲik
prostota	prɔstɔta
tornister	tɔrɲistɛr
adopcjach	adɔpt͡sjax
przedwczesny	pʂɛtft͡ʂɛsnɨ
odlej	ɔdlɛj
owadziego	ɔvad͡ʑɛɡɔ
niemieckimi	ɲɛmʲɛt͡skʲimʲi
zestrofować	zɛstrɔfɔvat͡ɕ
browarnik	brɔvarɲik
urazami	urazamʲi
pojawił	pɔjavʲiw
lipniejszego	lʲipɲɛjʂɛɡɔ
gitaro	ɡʲitarɔ
wyderek	vɨdɛrɛk
audiobook	awdjɔbuk
burczą	burt͡ʂɔ̃
duńskiemu	duɲskʲɛmu
gleboznawstwo	ɡlɛbɔznafstfɔ
mieni	mʲɛɲi
archiwalium	arxʲivalʲum
gniewny	ɡɲɛvnɨ
sterować	stɛrɔvat͡ɕ
daros	darɔs
hlebowicz	xlɛbɔvʲit͡ʂ
winił	vʲiɲiw
tchórzostwo	txuʐɔstfɔ
taczanowska	tat͡ʂanɔfska
pasto	pastɔ
zaułka	zauwka
liścień	lʲiɕt͡ɕɛɲ
ścieracie	ɕt͡ɕɛrat͡ɕɛ
archiwizacyjni	arxʲivʲizat͡sɨjɲi
zaabonowanym	zaabɔnɔvanɨm
rżałam	rʐawam
diabły	djabwɨ
skończycie	skɔɲt͡ʂɨt͡ɕɛ
drozdy	drɔzdɨ
odprowadzać	ɔtprɔvad͡zat͡ɕ
bezcześciłyby	bɛst͡ʂɛɕt͡ɕiwɨbɨ
guś	ɡuɕ
niepodległość	ɲɛpɔdlɛɡwɔɕt͡ɕ
telewizja	tɛlɛvʲizja
rosyjsku	rɔsɨjsku
trupach	trupax
okrywa	ɔkrɨva
zagraj	zaɡraj
miałybyśmy	mʲawɨbɨɕmɨ
abonamencikom	abɔnamɛnt͡ɕikɔm
atakujące	atakujɔnt͡sɛ
papranie	papraɲɛ
wytrwale	vɨtrvalɛ
oramy	ɔramɨ
kikut	kʲikut
zapieczętować	zapʲɛt͡ʂɛntɔvat͡ɕ
wrzyj	vʐɨj
anglista	anɡlʲista
czembor	t͡ʂɛmbɔr
robaczywy	rɔbat͡ʂɨvɨ
pożarowszczyk	pɔʐarɔfʂt͡ʂɨk
lentowicz	lɛntɔvʲit͡ʂ
wyza	vɨza
przedwieć	pʂɛdvʲɛt͡ɕ
raca	rat͡sa
pląsam	plɔ̃sam
zieleśkiewicz	ʑɛlɛɕkʲɛvʲit͡ʂ
raziły	raʑiwɨ
małych	mawɨx
rzyciami	ʐɨt͡ɕamʲi
nakreślać	nakrɛɕlat͡ɕ
litwiniec	lʲitfʲiɲɛt͡s
spiąłeś	spʲɔwɛɕ
bachraty	baxratɨ
pokłosie	pɔkwɔɕɛ
ciuszek	t͡ɕuʂɛk
wujciak	vujt͡ɕak
stefański	stɛfaɲskʲi
krocze	krɔt͡ʂɛ
krowo	krɔvɔ
zostaniemy	zɔstaɲɛmɨ
wieloboistka	vʲɛlɔbɔistka
grelewicz	ɡrɛlɛvʲit͡ʂ
mieleni	mʲɛlɛɲi
heteroseksualny	xɛtɛrɔsɛksualnɨ
bronię	brɔɲɛ
długim	dwuɡʲim
studnie	studɲɛ
buras	buras
wręczać	vrɛnt͡ʂat͡ɕ
biegałabyś	bʲɛɡawabɨɕ
ograniczony	ɔɡraɲit͡ʂɔnɨ
samochodowy	samɔxɔdɔvɨ
pyskach	pɨskax
smalcjusz	smalt͡sjuʂ
orkom	ɔrkɔm
gościć	ɡɔɕt͡ɕit͡ɕ
zdemoralizować	zdɛmɔralʲizɔvat͡ɕ
glana	ɡlana
jelce	jɛlt͡sɛ
puszczewicz	puʂt͡ʂɛvʲit͡ʂ
kradła	kradwa
australijską	awstralʲijskɔ̃
więcej	vʲɛnt͡sɛj
malwersacja	malvɛrsat͡sja
zaratusztrianizm	zaratuʂtrʲjaɲizm
kłaka	kwaka
baryłka	barɨwka
zdiagnozowany	zdiaɡnɔzɔvanɨ
muesli	muslʲi
chwirot	xfʲirɔt
odjęły	ɔdjɛwɨ
gadolin	ɡadɔlʲin
podbiec	pɔdbʲɛt͡s
niedaleki	ɲɛdalɛkʲi
poganin	pɔɡaɲin
poniewiera	pɔɲɛvʲɛra
wykarmiać	vɨkarmʲat͡ɕ
bezeń	bɛzɛɲ
okoniek	ɔkɔɲɛk
słyszysz	swɨʂɨʂ
kaszel	kaʂɛl
przygięcie	pʂɨɡʲɛɲt͡ɕɛ
rytach	rɨtax
odlewnia	ɔdlɛvɲa
ogramy	ɔɡramɨ
waza	vaza
naci	nat͡ɕi
zgodność	zɡɔdnɔɕt͡ɕ
koicie	kɔit͡ɕɛ
ziołu	ʑɔwu
zaabsorbowało	zaapsɔrbɔvawɔ
parka	parka
rewia	rɛvʲa
koczwara	kɔt͡ʂfara
afatyków	afatɨkuf
ciapów	t͡ɕapuf
szczeniątko	ʂt͡ʂɛɲɔntkɔ
schlebiające	sxlɛbʲajɔnt͡sɛ
nurkować	nurkɔvat͡ɕ
optyka	ɔptɨka
wile	vʲilɛ
przeminięcie	pʂɛmʲiɲɛɲt͡ɕɛ
potrzeba	pɔtʂɛba
babiuch	babʲux
jabłkowy	jabwkɔvɨ
aspirować	aspʲirɔvat͡ɕ
rosłoniec	rɔswɔɲɛt͡s
węglowe	vɛŋɡlɔvɛ
szkot	ʂkɔt
ciężarówki	t͡ɕɛ̃ʐarufkʲi
koła	kɔwa
grzywny	ɡʐɨvnɨ
paczek	pat͡ʂɛk
najobfitszego	najɔpfʲitʂɛɡɔ
wtarganie	ftarɡaɲɛ
kmiotka	kmʲɔtka
ryje	rɨjɛ
finalista	fʲinalʲista
podnieść	pɔdɲɛɕt͡ɕ
grozny	ɡrɔznɨ
najciemniejszego	najt͡ɕɛmɲɛjʂɛɡɔ
naszego	naʂɛɡɔ
kalemba	kalɛmba
zwiedzający	zvʲɛd͡zajɔnt͡sɨ
czips	t͡ʂips
wstaną	fstanɔ̃
głaskasz	ɡwaskaʂ
igor	iɡɔr
konsolacja	kɔnsɔlat͡sja
dalszą	dalʂɔ̃
kajdanki	kajdankʲi
licealista	lʲit͡sɛalʲista
obraźliwy	ɔbraʑlʲivɨ
dziadowizna	d͡ʑadɔvʲizna
prostą	prɔstɔ̃
hołubiec	xɔwubʲɛt͡s
szczegółowy	ʂt͡ʂɛɡuwɔvɨ
klaszczem	klaʂt͡ʂɛm
omyk	ɔmɨk
małasiewicz	mawaɕɛvʲit͡ʂ
gębie	ɡɛmbʲɛ
pokazywałyście	pɔkazɨvawɨɕt͡ɕɛ
nóż	nuʂ
roztocz	rɔstɔt͡ʂ
cewa	t͡sɛva
lubienie	lubʲɛɲɛ
przemyślę	pʂɛmɨɕlɛ
jeździ	jɛʑd͡ʑi
osiądź	ɔɕɔɲt͡ɕ
czworonóg	t͡ʂfɔrɔnuk
olcho	ɔlxɔ
wodoszczelny	vɔdɔʂt͡ʂɛlnɨ
włodarz	vwɔdaʂ
hondurascy	xɔndurast͡sɨ
odmrozić	ɔdmrɔʑit͡ɕ
urażę	uraʐɛ
