pogosto	pɔɡóːstɔ
skuša	skùːʃa
miličnik	milíːt͡ʃnik
be	béː
roman	rɔmáːn
menih	mɛnìːx
staviti	stàːʋiti
moški	mɔ̀ːʃki
trava	tràːʋa
sveča	sʋèːt͡ʃa
brod	bróːt
tveganje	tʋéːɡanjɛ
senožet	sɛnɔ̀ːʒɛt
sesalec	səsáːlət͡s
romunka	rɔmúːnka
nehemija	nɛxɛmíːja
egipt	ɛɡíːpt
sedlo	sɛ̀ːdlɔ
iskati	iskàːti
litij	lìːtij
dimlje	díːmljɛ
drkajva	də́rkajʋa
radost	ràːdɔst
najjasnejši	nájjasnɛ́ːjʃi
ljubljana	ljubljàːna
pogovor	pɔɡɔ́ːʋɔr
čopič	t͡ʃóːpit͡ʃ
majhen	máːjxən
arašid	araʃíːt
vodik	ʋɔdíːk
megavat	méːɡaʋáːt
razpelo	raspèːlɔ
voda	ʋɔ̀ːda
pozen	pɔ̀ːzən
poklekniti	pɔklɛknìːti
mjanmar	mjanmáːr
zgoraj	zɡɔ̀ːraj
stopiti	stɔpíːti
novina	nɔʋìːna
travnik	tràːʋnik
čemaž	t͡ʃèːmaʃ
abak	áːbak
optičen	òːptit͡ʃən
poudariti	pɔudàːriti
ingver	ìːnɡʋɛr
matica	máːtit͡sa
kitajski	kitáːjski
vi	ʋíː
energija	ɛnɛrɡíːja
lepiti	lɛpíːti
general	ɡɛnɛráːl
usoda	usóːda
volkodlak	ʋɔʋkɔdláːk
cena	t͡sèːna
ve	ʋéː
prazeodim	prazɛɔdíːm
govedo	ɡɔʋéːdɔ
puhati	pùːxati
mula	mùːla
grebsti	ɡrɛ̀ːpsti
žep	ʒɛ́p
krsta	kə̀rsta
nosorog	nɔsɔróːk
kovinski	kɔʋíːnski
črevo	t͡ʃrɛʋóː
ugrizniti	uɡrìːzniti
poln	pɔ́ːʋn
zdravljica	zdraʋljìːt͡sa
splošen	splɔ̀ːʃən
bosanski	bɔsáːnski
hropsti	xrɔ̀ːpsti
šest	ʃéːst
optika	òːptika
bruc	brúːt͡s
nosilec	nɔsíːlət͡s
pogoltniti	pɔɡɔ̀ːʋtniti
prijeten	prijèːtən
italijanka	italijáːnka
francoščina	frant͡sóːʃt͡ʃina
mezinec	mɛzíːnət͡s
komarček	kɔmáːrt͡ʃək
ovčar	ɔʋt͡ʃàːr
nazaj	nazàːj
vsaj	ʋsáːj
dogajati	dɔɡáːjati
brat	brát
sedem	sèːdəm
sirilo	sirìːlɔ
italija	itàːlija
poljski	póːlski
drug	drúːk
samorog	samɔróːk
postelja	pòːstɛlja
maja	màːja
šoja	ʃòːja
brdo	bə̀rdɔ
velblod	ʋɛlblóːt
študent	ʃtudɛ́nt
počivati	pɔt͡ʃìːʋati
srbija	sə́rbija
je	jèː
odprt	ɔtpə́rt
palčnik	páːʋt͡ʃnik
vovk	ʋɔ́ːʋk
mrkev	mə̀rkəʋ
kuga	kùːɡa
platana	platáːna
žveplo	ʒʋɛ̀ːplɔ
množina	mnɔʒìːna
sanjati	sàːnjati
mihaela	míːxaɛla
ura	ùːra
kakšen	káːkʃən
prababica	práːbàːbit͡sa
mišjak	míːʃjak
podleči	pɔdlèːt͡ʃi
punt	púnt
osnoven	ɔsnɔ́ːʋən
bliže	blíːʒɛ
gruzinski	ɡruzíːnski
skrivnost	skriʋnóːst
maček	màːt͡ʃək
kalij	kàːlij
hrana	xràːna
rumenjak	rumɛnjàːk
cilj	t͡síːl
muslimanka	muslimáːnka
rjuti	ərjùːti
bukev	búːkəʋ
govorec	ɡɔʋóːrət͡s
ruti	rùːti
m	ɛm
ovratnik	ɔʋráːtnik
šestnajst	ʃɛstnàːjst
pogača	pɔɡàːt͡ʃa
najdaljši	nájdáːlʃi
niša	nìːʃa
raba	ràːba
dobiti	dɔbìːti
sviloprejka	sʋilɔprɛ́ːjka
nagelj	nàːɡəl
seksualnost	sɛksuáːlnɔst
detel	dèːtəl
glog	ɡlɔ́k
žrebe	ʒrɛbɛ́
gorica	ɡɔrìːt͡sa
nov	nɔ́ʋ
pravičen	praʋìːt͡ʃən
globlji	ɡlóːblji
vaga	ʋáːɡa
zaljubiti	zaljubìːti
ček	t͡ʃéːk
apokalipsa	apɔkalíːpsa
historičen	xistòːrit͡ʃən
asimetrija	ásimɛtríːja
mandolina	mandɔlíːna
stavek	stáːʋək
rdeč	ərdɛ́t͡ʃ
čarovnik	t͡ʃarɔ́ːʋnik
rima	rìːma
sončnica	sóːnt͡ʃnit͡sa
beg	béːk
krom	króːm
gnostičen	ɡnòːstit͡ʃən
prstanec	pə̀rstanət͡s
sonce	sóːnt͡sɛ
nadporočnica	natpɔróːt͡ʃnit͡sa
grad	ɡráːt
carstvo	t͡sáːrstʋɔ
napisati	napisàːti
mladina	mladìːna
strast	stráːst
upati	úːpati
živahen	ʒiʋàːxən
apartma	apartmáː
kres	kréːs
topiti	tɔpíːti
teti	tèːti
melancana	mɛlant͡sáːna
najsrečnejši	nájsrèːt͡ʃnɛjʃi
posebej	pɔséːbɛj
nositi	nɔsìːti
slina	slìːna
dvajset	dʋáːjsɛt
francoz	frant͡sóːs
utrujati	utrùːjati
nemec	nèːmət͡s
solaren	sɔláːrən
ajd	ájt
lom	lɔ́m
poznati	pɔznàːti
mojzes	móːjzɛs
germanij	ɡɛrmàːnij
svakinja	sʋáːkinja
ozek	òːzək
kozorog	kɔzɔróːk
najdalj	nájdál
istanbul	íːstanbul
slovaška	slɔʋáːʃka
rusinja	rúːsinja
izpuščaj	ispuʃt͡ʃáːj
herbivor	xɛrbiʋóːr
recikliranje	rɛt͡siklíːranjɛ
repatica	rɛpatìːt͡sa
gradec	ɡráːdət͡s
klasti	klàːsti
cvetje	t͡sʋèːtjɛ
suspenzorij	suspɛnzòːrij
možnost	mòːʒnɔst
nota	nóːta
mesti	mèːsti
smel	sméːʋ
mesar	mɛsàːr
bazalt	bazáːlt
fotografija	fɔtɔɡrafíːja
blizu	blìːzu
hrupen	xrùːpən
ščinkavec	ʃt͡ʃìːnkaʋət͡s
najtrši	nájtə́rʃi
prijaznejši	prijàːznɛjʃi
ivan	íːʋan
stati	stàːti
cesarstvo	t͡sɛsáːrstʋɔ
smreka	smrèːka
nevihta	nɛʋíːxta
zupan	zúːpan
grenlandija	ɡréːnláːndija
runo	rúːnɔ
katalonija	katalòːnija
števnik	ʃtéːʋnik
slava	slàːʋa
vstopati	ʋstòːpati
pristati	pristàːti
čarovnica	t͡ʃarɔ́ːʋnit͡sa
vanadij	ʋanàːdij
militi	míːliti
sicilija	sit͡sìːlija
pistacija	pistàːt͡sija
glasba	ɡláːzba
kis	kíːs
obuti	ɔbùːti
usoden	usòːdən
opazovati	ɔpazɔʋàːti
antilopa	antilóːpa
ne	nɛ́
mestnik	méːstnik
murva	múːrʋa
mesto	mèːstɔ
maternica	máːtɛrnit͡sa
zakaj	zakáːj
brez	brɛs
dol	dɔ́ːʋ
žrebica	ʒrɛbìːt͡sa
edvard	éːdʋart
spominjati	spɔmìːnjati
musliman	muslimáːn
me	méː
erbij	ɛ̀ːrbij
bolezen	bɔléːzən
uniforma	unifóːrma
davek	dàːʋək
neposreden	nɛ́pɔsréːdən
halucinacija	xalut͡sinàːt͡sija
bršljan	bərʃljáːn
moka	mòːka
zima	zìːma
gorivo	ɡɔrìːʋɔ
vzhoden	ʋzxóːdən
francosko	frant͡sóːskɔ
najbelejši	nájbɛlɛ́ːjʃi
dvojček	dʋóːjt͡ʃək
neapelj	nɛàːpəl
grk	ɡə́rk
borza	bóːrza
ograja	ɔɡràːja
socvetje	sɔt͡sʋéːtjɛ
kopalnica	kɔpáːlnit͡sa
dude	dúːdɛ
iridij	irìːdij
rek	réːk
najmlajši	nájmláːjʃi
znotraj	znòːtraj
gladilka	ɡladíːlka
orakelj	ɔràːkəl
ledenik	lɛdɛnìːk
pomaranča	pɔmaráːnt͡ʃa
iterbij	itɛ̀ːrbij
belejši	bɛlɛ́ːjʃi
tožilnik	tɔʒíːlnik
estonija	ɛstòːnija
šal	ʃáːl
čitati	t͡ʃìːtati
štor	ʃtɔ́r
najvarnejši	nájʋàːrnɛjʃi
valentin	ʋalɛntíːn
mirta	mìːrta
čistota	t͡ʃistɔ̀ːta
ustnica	úːstnit͡sa
nominativ	nóːminatiʋ
zastavnica	zastáːʋnit͡sa
fukati	fúːkati
diamant	dijamàːnt
estonec	ɛstóːnət͡s
krut	krúːt
zibati	zibàːti
fosfor	fóːsfɔr
mornarica	mɔrnáːrit͡sa
vesel	ʋɛséːʋ
plamen	plàːmɛn
romunščina	rɔmúːnʃt͡ʃina
jak	jáːk
star	stár
zver	zʋéːr
smrtonosen	smərtɔnɔ̀ːsən
vest	ʋéːst
poljanšek	pɔljàːnʃək
gana	ɡáːna
romb	róːmp
neumnejši	nɛùːmnɛjʃi
kavkaz	kaʋkáːs
ubiti	ubìːti
všečnost	ʋʃèːt͡ʃnɔst
pastir	pastìːr
meniti	mɛníːti
imeti	imèːti
aerodinamika	áːɛrɔdinàːmika
čut	t͡ʃúːt
vodnar	ʋɔdnàːr
apnenec	apnèːnət͡s
betežen	bɛtèːʒən
obraz	ɔbrás
zvone	zʋóːnɛ
sranje	sràːnjɛ
najpomembnejši	nájpɔmèːmbnɛjʃi
neon	néːɔn
cona	t͡sóːna
madžarsko	mad͡ʒáːrskɔ
starec	stáːrət͡s
zemljevid	zɛmljɛʋíːt
dreti	drèːti
pred	prɛt
nekaj	nèːkaj
presti	prèːsti
lunaren	lunáːrən
svetilnik	sʋɛtíːlnik
rešiti	rɛʃìːti
korenina	kɔrɛnìːna
slamica	slàːmit͡sa
kersnik	kɛrsnìːk
miniti	miníːti
datelj	dàːtəl
kardinal	kardináːl
odgovoriti	ɔdɡɔʋɔrìːti
homoseksualen	xɔmɔsɛksuáːlən
tolkalo	tɔʋkàːlɔ
črn	t͡ʃə̀rn
belgijski	bèːlɡijski
knjigarna	knjiɡáːrna
kmet	kmɛ́t
majati	màːjati
podaljšava	pɔdalʃáːʋa
kovanec	kɔʋàːnət͡s
jetika	jèːtika
jezik	jɛ̀ːzik
slonica	slɔ̀ːnit͡sa
sliva	slìːʋa
kupiti	kupìːti
irka	íːrka
nasvidenje	nasʋíːdɛnjɛ
tkalec	tkáːlət͡s
končati	kɔnt͡ʃàːti
roka	rɔ̀ːka
stranišče	stranìːʃt͡ʃɛ
goreti	ɡɔrèːti
tantal	táːntal
divji	dìːʋji
isti	íːsti
vejica	ʋɛ́ːjit͡sa
koš	kɔ́ʃ
klen	kléːn
morje	móːrjɛ
posodobiti	pɔsɔdɔ̀ːbiti
čebela	t͡ʃɛbéːla
mah	máːx
trakulja	trakùːlja
rabiti	rabíːti
univerza	uniʋɛ́ːrza
oditi	ɔdìːti
občutljiv	ɔpt͡ʃutljíːʋ
janez	jàːnɛs
kristjan	kristjáːn
ujeda	ujèːda
ponarediti	pɔnarɛdìːti
mešati	mèːʃati
prazniti	pràːzniti
skoraj	skɔ́ːraj
značilnejši	znat͡ʃíːlnɛjʃi
glagolski	ɡlàːɡɔlski
sedanjik	sɛdáːnjik
mečji	méːt͡ʃji
bager	bàːɡər
šestdeset	ʃéːzddɛsɛt
odpreti	ɔtprèːti
škatla	ʃkáːtla
dvojina	dʋɔjìːna
bati	bàːti
sezuti	səzùːti
pijavka	pijáːʋka
milimeter	milimèːtər
bukva	búːkʋa
spet	spéːt
pšenica	pʃɛnìːt͡sa
milijon	milijóːn
oseba	ɔséːba
osončje	ɔsóːnt͡ʃjɛ
komori	kɔmóːri
tikati	tìːkati
škotska	ʃkóːtska
krajina	kráːjina
dejavnejši	dɛjàːʋnɛjʃi
sodoben	sɔdɔ̀ːbən
on	ɔ́n
tvegati	tʋéːɡati
srebrnina	srɛbərnìːna
kje	kjèː
tunizija	tunìːzija
klor	klóːr
irski	íːrski
najnaravnejši	nájnaràːʋnɛjʃi
portugalka	pɔrtuɡáːlka
stroncij	stròːnt͡sij
kašljati	káːʃljati
tisoč	tíːsɔt͡ʃ
vnukinja	ʋnúːkinja
volfram	ʋóːlfram
lovka	lɔ́ːʋka
nemogoč	nɛ́mɔɡòːt͡ʃ
katalonski	katalóːnski
radij	ráːdij
književnost	knjiʒéːʋnɔst
beljak	bɛljàːk
mlajši	mláːjʃi
meja	mɛ̀ːja
merkur	mɛrkúːr
čile	t͡ʃíːlɛ
jogurt	jóːɡurt
kdaj	ɡdàːj
posoditi	pɔsɔdìːti
obrazen	ɔbráːzən
južnoameriški	juʒnɔamɛ́ːriʃki
lemež	lɛ̀ːmɛʃ
vzhod	ʋzxɔ́t
črnilo	t͡ʃərnìːlɔ
jur	jùːr
stožec	stɔ̀ːʒət͡s
ukrasti	ukràːsti
namenilnik	namɛníːlnik
kompas	kóːmpas
demokracija	dɛmɔkrat͡síːja
viti	ʋíːti
buteljka	butéːlka
gejzir	ɡɛjzíːr
kenguru	kɛnɡurúː
testo	tɛstóː
angleščina	anɡléːʃt͡ʃina
podrobnejši	pɔdróːbnɛjʃi
načrt	nat͡ʃə́rt
vidra	ʋìːdra
težek	tɛ̀ːʒək
atrij	àːtrij
poljak	pɔljàːk
sposoditi	spɔsɔdìːti
bolgarija	bɔlɡàːrija
igra	íːɡra
nadzorovati	nadzɔrɔʋàːti
grši	ɡə́rʃi
pogumen	pɔɡùːmən
gospod	ɡɔspóːt
močerad	mɔt͡ʃɛrát
tvoriti	tʋóːriti
mitološki	mitɔlóːʃki
kobalt	kóːbalt
devetdeset	dɛʋéːddɛsɛt
drag	dráːk
vleči	ʋlèːt͡ʃi
ribariti	ribàːriti
blazen	blàːzən
absurdnejši	apsúːrdnɛjʃi
bova	bóːʋa
najpustejši	nájpùːstɛjʃi
srečneje	srɛt͡ʃnɛ́ːjɛ
programje	prɔɡráːmjɛ
slab	sláp
kosinus	kóːzinus
navdih	naʋdíːx
pogojnik	pɔɡóːjnik
gor	ɡɔ̀ːr
jegulja	jɛɡùːlja
zadnjica	záːdnjit͡sa
leska	lèːska
aktualizacija	aktualizàːt͡sija
rebro	rɛ̀ːbrɔ
poročen	pɔróːt͡ʃən
umoriti	umɔrìːti
narečje	naréːt͡ʃjɛ
viti	ʋìːti
pita	pìːta
briti	brìːti
njegov	njɛɡɔ̀ːʋ
mrkva	mə̀rkʋa
švedska	ʃʋéːtska
senožet	sɛnɔʒéːt
skrivati	skrìːʋati
vice	ʋìːt͡sɛ
skrivnejši	skríːʋnɛjʃi
bambus	báːmbus
zlat	zláːt
policistka	pɔlit͡síːstka
znanost	znàːnɔst
filipini	filipíːni
losos	lóːsɔs
osem	òːsəm
praslovanščina	práːslɔʋáːnʃt͡ʃina
najočitnejši	nájɔt͡ʃìːtnɛjʃi
gos	ɡóːs
kurdščina	kúːrtʃt͡ʃina
krutejši	krúːtɛjʃi
žrtvovati	ʒərtʋɔʋàːti
pomemben	pɔmèːmbən
načelo	nat͡ʃɛ̀ːlɔ
liberija	libɛ̀ːrija
zvitek	zʋíːtək
en	ɛ́n
hvaliti	xʋalìːti
moča	mòːt͡ʃa
kobarid	kɔbaríːt
šarenica	ʃarɛnìːt͡sa
skupnost	skùːpnɔst
pozabiti	pɔzàːbiti
predhodnik	prɛdxóːdnik
voluhar	ʋɔlúːxar
planet	planéːt
slaven	slàːʋən
nasmeh	nasmɛ́x
rim	rìːm
vrstilen	ʋərstíːlən
potrpežljiv	pɔtərpɛʒljíːʋ
okarina	ɔkaríːna
samozadovoljevati	sáːmɔzadɔʋɔljɛʋàːti
koleno	kɔlèːnɔ
sinhrono	sinxróːnɔ
krajši	kráːjʃi
nebotičnik	nɛbɔtíːt͡ʃnik
poklekniti	pɔklèːkniti
grenak	ɡrɛnáːk
postaja	pɔstáːja
potrebovati	pɔtrɛbɔʋàːti
kirij	kirìːj
desetnica	dɛséːtnit͡sa
sel	sə́ʋ
analogija	analɔɡíːja
jabolko	jàːbɔʋkɔ
monom	mɔnóːm
čustvo	t͡ʃúːstʋɔ
izuti	izùːti
krater	kràːtɛr
resnica	rɛsnìːt͡sa
obljuba	ɔbljúːba
batiskaf	batiskáːf
belina	bɛlìːna
srbski	sə́rpski
tehnecij	tɛxnèːt͡sij
vice	ʋíːt͡sɛ
saksofon	saksɔfóːn
javiti	jàːʋiti
četrtek	t͡ʃɛtə̀rtək
peljati	pɛljàːti
fazan	fazáːn
vreti	ʋrèːti
kreniti	krɛnìːti
kristus	kríːstus
igrača	iɡràːt͡ʃa
podkovati	pɔtkɔʋàːti
brusnica	brúːsnit͡sa
grešiti	ɡrɛʃíːti
panj	páːn
pomembnost	pɔmèːmbnɔst
sedemnajst	sɛdəmnàːjst
seč	séːt͡ʃ
število	ʃtɛʋìːlɔ
pira	pìːra
slovenščina	slɔʋèːnʃt͡ʃina
spodobnejši	spɔdòːbnɛjʃi
najbolj	nájbɔl
krava	kràːʋa
muzej	muzɛ́ːj
butan	butáːn
noj	nóːj
pustiti	pustíːti
drugoten	druɡɔ̀ːtən
sladkor	slàːtkɔr
najstarejši	nájstarɛ́ːjʃi
turek	tùːrək
babica	bàːbit͡sa
preproga	prɛpróːɡa
zdolgočasen	zdɔʋɡɔt͡ʃáːsɛn
pedagogika	pɛdaɡòːɡika
osnovnejši	ɔsnɔ́ːʋnɛjʃi
deležnik	dɛléːʒnik
riti	rìːti
kdaj	ɡdáːj
srečnejše	srèːt͡ʃnɛjʃɛ
roževina	rɔʒɛʋìːna
tetovirati	tɛtɔʋíːrati
na	na
blesti	blɛ̀ːsti
glavnik	ɡlaʋnìːk
snežak	snɛʒàːk
kadmij	kàːdmij
kanjon	káːnjɔn
slovenija	slɔʋèːnija
itrij	ìːtrij
angleški	anɡléːʃki
klošar	klɔʃàːr
greti	ɡrèːti
talij	tàːlij
zaman	zamán
uplinjač	uplinjàːt͡ʃ
orgazem	ɔrɡàːzəm
ljudski	ljúːtski
brana	bràːna
morda	mɔrdá
korenje	kɔrɛ̀ːnjɛ
maj	màːj
spustiti	spustìːti
teksas	téːksas
letališče	lɛtalìːʃt͡ʃɛ
jezero	jéːzɛrɔ
domov	dɔmɔ́ːʋ
smet	sméːt
poper	pɔ̀ːpər
zanimiv	zanimìːʋ
len	léːn
aleksander	alɛksàːndər
ločevati	lɔt͡ʃɛʋàːti
rjav	ərjáʋ
kras	krás
svakinja	sʋàːkinja
nevarnejši	nɛʋàːrnɛjʃi
plačati	plàːt͡ʃati
premena	prɛméːna
podlasica	pɔdlàːsit͡sa
rezultat	rɛzultáːt
peteršilj	pɛtɛrʃíl
najusodnejši	nájusòːdnɛjʃi
sokol	sɔ̀ːkɔl
dirigent	diriɡɛ́nt
bolnik	bɔʋnìːk
birtija	birtíːja
maldivi	maldíːʋi
krivoverec	kriʋɔʋéːrət͡s
profesor	prɔféːsɔr
dunajski	dùːnajski
iglokožec	iɡlɔkóːʒət͡s
strela	strèːla
več	ʋɛ́t͡ʃ
trikotnik	trikóːtnik
gruzija	ɡrúːzija
zadovoljiti	zadɔʋɔljíːti
sadje	sàːdjɛ
tom	tóːm
prha	pə̀rxa
imenovalnik	imɛnɔʋáːlnik
diamanten	diamáːntən
češko	t͡ʃéːʃkɔ
zrelejši	zrèːlɛjʃi
skriven	skríːʋən
budimpešta	búːdimpɛʃta
labod	labóːt
eržen	ɛrʒéːn
grča	ɡə̀rt͡ʃa
pek	pèːk
česmina	t͡ʃɛsmìːna
nebo	nɛbóː
podrobnost	pɔdróːbnɔst
junij	jùːnij
vrč	ʋə́rt͡ʃ
robot	rɔbóːt
hvala	xʋàːla
jesen	jɛ̀ːsɛn
letalo	lɛtàːlɔ
komaj	kóːmaj
stolp	stɔ́lp
rad	ráːt
najrevnejši	nájrèːʋnɛjʃi
slovanka	slɔʋáːnka
lažji	láːʒji
kronati	króːnati
las	láːs
mreti	mrèːti
govno	ɡɔ̀ːʋnɔ
temen	tə̀mən
turško	tùːrʃkɔ
lajati	láːjati
danščina	dáːnʃt͡ʃina
pridnejši	prìːdnɛjʃi
jablana	jáːblana
zamuditi	zamudìːti
voz	ʋóːs
barion	báːrijɔn
erik	ɛ́ːrik
roditi	rɔdíːti
boš	bóːʃ
cigara	t͡siɡáːra
jeti	jèːti
meta	méːta
ves	ʋə́s
maroko	maróːkɔ
hidrat	xidráːt
leteti	lɛtèːti
nuna	nùːna
brazilija	brazìːlija
presredek	prɛsréːdək
cink	t͡síːnk
komar	kɔmàːr
notri	nòːtri
jasniti	jasnìːti
krilo	krìːlɔ
hmelj	xmɛ́l
velikan	ʋɛlikáːn
pepelka	pɛpéːlka
molitev	mɔlíːtəʋ
odločba	ɔdlóːd͡ʒba
nekdo	nɛɡdóː
rast	ráːst
starejši	starɛ́ːjʃi
ubog	ubóːk
noč	nóːt͡ʃ
desetarka	dɛsɛtàːrka
otrok	ɔtrɔ́k
arabski	aráːpski
ampak	ámpak
tele	tɛ̀ːlɛ
terarij	tɛràːrij
sklanjatev	sklanjáːtəʋ
vegetarijanec	ʋɛɡɛtarijáːnət͡s
želva	ʒèːlʋa
pripeti	pripèːti
rastlina	rastlìːna
katedrala	katɛdráːla
riba	rìːba
dol	dɔ̀ːl
suženjstvo	sùːʒənstʋɔ
klitoris	klíːtɔris
vikati	ʋìːkati
libanon	líːbanɔn
loviti	lɔʋíːti
primer	priméːr
trebuh	trèːbux
ameriški	amɛ́ːriʃki
govoriti	ɡɔʋɔrìːti
astat	astáːt
phati	pxàːti
jagoda	jàːɡɔda
všečen	ʋʃèːt͡ʃən
vrtnica	ʋə́rtnit͡sa
bistvo	bíːstʋɔ
glup	ɡlúːp
tikati	tíːkati
sneti	snèːti
kaditi	kadìːti
glasoslovje	ɡlasɔslɔ́ːʋjɛ
kuhar	kúːxar
palma	páːlma
slušati	slùːʃati
morski	mɔ̀ːrski
zdravstvo	zdráːʋstʋɔ
občinstvo	ɔpt͡ʃíːnstʋɔ
telovaditi	tɛlɔʋàːditi
gams	ɡáms
lastnost	lastnóːst
zelen	zéːlən
jupiter	júːpitər
šestnajst	ʃéːstnajst
poletje	pɔléːtjɛ
švicarski	ʃʋíːt͡sarski
dekle	dɛklɛ́
perut	pɛrúːt
uporabljati	upɔràːbljati
bukarešta	bukaréːʃta
vnuk	ʋnúːk
cezij	t͡sèːzij
mavretanija	maʋrɛtàːnija
drek	drɛ́k
jasniti	jasníːti
slajši	sláːjʃi
tek	téːk
najnaglejši	nájnàːɡlɛjʃi
vir	ʋíːr
zaljubiti	zaljúːbiti
udariti	udàːriti
albanija	albàːnija
ovca	ɔ̀ːʋt͡sa
aktinij	aktìːnij
škarje	ʃkáːrjɛ
tajvan	táːjʋan
robidnica	rɔbíːdnit͡sa
zdravo	zdráːʋɔ
srbohrvaški	sərbɔxərʋáːʃki
poljubiti	pɔljùːbiti
atonalen	átɔnáːlən
norvežan	nɔrʋɛʒáːn
zabava	zabáːʋa
republika	rɛpùːblika
neptunij	nɛptùːnij
ejakulacija	ɛjakulàːt͡sija
gostitelj	ɡɔstíːtɛl
instrumentalen	instrumɛntáːlən
mak	mák
mušnica	múːʃnit͡sa
pomniti	póːmniti
trst	tə́rst
najpravilneje	nájpraʋíːlnɛjɛ
lopata	lɔpàːta
počasi	pɔt͡ʃáːsi
osel	ɔ̀ːsəʋ
bo	bóː
pravilneje	praʋíːlnɛjɛ
betežnejši	bɛtèːʒnɛjʃi
očim	óːt͡ʃim
megla	məɡlá
abeceda	abɛt͡séːda
praprot	pràːprɔt
narod	nàːrɔt
najplodnejši	nájplòːdnɛjʃi
pleti	plèːti
položaj	pɔlɔʒáːj
praga	pràːɡa
brazgotina	brazɡɔtìːna
bisaga	bisáːɡa
podaljšati	pɔdáːlʃati
ljubljenje	ljùːbljɛnjɛ
rakun	rakúːn
kolidž	kóːlitʃ
nlp	nələpə́
antimon	antimóːn
čmrlj	t͡ʃmə̀rl
štacun	ʃtat͡sùːn
prati	pràːti
topiti	tɔpìːti
prostornina	prɔstɔrnìːna
znanstven	znáːnstʋɛn
mehur	mɛxùːr
godba	ɡóːdba
smeh	sméːx
ostrivec	ɔstríːʋət͡s
goba	ɡòːba
šiliti	ʃìːliti
mačeha	màːt͡ʃɛxa
pogosteje	pɔɡóːstɛjɛ
narediti	narɛdíːti
siriti	sìːriti
umoriti	umɔríːti
drugi	drúːɡi
korak	kɔráːk
benzen	bɛnzéːn
snaha	snàːxa
kozmologija	kɔzmɔlɔɡíːja
lastovka	làːstɔʋka
levinja	lɛʋìːnja
kelt	kéːlt
fluor	flúːɔr
klasičen	klàːsit͡ʃən
čad	t͡ʃáːt
prakrt	práːkərt
mak	máːk
naraven	naràːʋən
rvati	ərʋàːti
pot	pòːt
švedinja	ʃʋéːdinja
lagati	laɡàːti
klepati	klɛpàːti
lonec	lɔ̀ːnət͡s
samomnožinski	samóːmnɔʒíːnski
jeklo	jɛ̀ːklɔ
ne	nɛ
modernizirati	mɔdɛrnizíːrati
uporabiti	upɔrabíːti
odgovor	ɔdɡɔ́ːʋɔr
nemka	nèːmka
kraljestvo	kraljéːstʋɔ
bosti	bɔ̀ːsti
vprašati	ʋpraʃàːti
švica	ʃʋíːt͡sa
ostriga	ɔstrìːɡa
drkamo	də́rkamɔ
srednjeveški	srɛdnjɛʋéːʃki
portugalec	pɔrtuɡáːlət͡s
prekletstvo	prɛkléːtstʋɔ
bisaga	bisàːɡa
evropij	ɛʋròːpij
potres	pɔtrɛ́s
nesti	nɛ̀ːsti
bitje	bìːtjɛ
lesketati	lɛskɛtàːti
devet	dɛʋéːt
boja	bóːja
zadnjik	záːdnjik
škržat	ʃkərʒáːt
