pamīsus	pamiːzus
baetō	bɛːt̪ɔ
habita	aːbit̪a
conticēscō	kɔn̪t̪it͡ʃɛskɔ
rēctificō	rɛkt̪iːfikɔ
pastazānus	past̪add͡zaːnus
mūneribus	munɛːribus
clīmactēricus	klimakt̪ɛːrikus
intrepidus	in̪t̪rɛːpid̪us
regenerātī	rɛd͡ʒɛnɛraːt̪i
immittō	immit̪t̪ɔ
sapōrō	sapɔːrɔ
mygdonēs	miɡd̪ɔnɛs
imprūdentēs	imprud̪ɛn̪t̪ɛs
optiō	ɔpt͡siɔ
pugillātiō	pud͡ʒillaːt͡siɔ
indiānī	in̪d̪iaːni
etrūscus	ɛt̪ruskus
sēptum	sɛpt̪um
āctuō	akt̪uɔ
prytanis	priːt̪anis
lībertīna	libɛrt̪iːna
chrȳsoprassus	krizɔprassus
dangalae	d̪aŋɡalɛ
olfactōrius	ɔlfakt̪ɔːrius
cilbiānī	t͡ʃilbiaːni
lānūginōsus	lanud͡ʒinɔːzus
symbolum	simbɔlum
cannabinus	kannaːbinus
subūra	subuːra
colycantiī	kɔlikant͡sii
ālūcinor	aluːt͡ʃinɔr
inventiōnī	invɛnt͡siɔːni
pāscentur	paʃʃɛn̪t̪ur
dēstruō	d̪ɛst̪ruɔ
pēniculus	pɛniːkulus
iūdaeogermānicus	jud̪ɛɔd͡ʒɛrmaːnikus
addictiō	ad̪d̪ikt͡siɔ
hypogaeum	ipɔd͡ʒɛːum
ameria	amɛːria
illūstrāverimus	illust̪ravɛriːmus
perītās	pɛriːt̪as
rogāre	rɔɡaːrɛ
sassaeī	sassɛːi
imperātrīx	impɛraːt̪riks
augustīnus	au̯ɡust̪iːnus
plāniloquus	planiːlɔkwus
lamyrus	laːmirus
ruthenium	rut̪ɛːnium
occultātīs	ɔkkul̪t̪aːt̪is
iehōvae	jɛɔːvɛ
amoenus	amɛːnus
sēductor	sɛd̪ukt̪ɔr
sessītēs	sɛssiːt̪ɛs
sondaicus	sɔn̪d̪aːikus
tōnsōrius	t̪ɔnsɔːrius
impotentēs	impɔt̪ɛn̪t̪ɛs
dēclīvis	d̪ɛkliːvis
ad	ad̪
zygostatēs	d͡ziɡɔst̪at̪ɛs
āeros	aːɛrɔs
glandulifer	ɡlan̪d̪uːlifɛr
rēsīnōsās	rɛzinɔːzas
inhibeō	iniːbɛɔ
liquiditātibus	likwid̪it̪aːt̪ibus
superērogātōrius	supɛrɛrɔɡat̪ɔːrius
quīnquennis	kwiŋkwɛnnis
organīs	ɔrɡanis
dīgerō	d̪iːd͡ʒɛrɔ
tympanum	t̪impanum
ambiguitās	ambiɡuːit̪as
fulviventris	fulvivɛn̪t̪ris
petroselīnum	pɛt̪rɔzɛliːnum
dīrēcta	d̪irɛkt̪a
īnstruō	inst̪ruɔ
agricultōrēs	aɡrikul̪t̪ɔːrɛs
bēē	bɛːɛ
adsuō	at̪suɔ
phōcis	fɔːt͡ʃis
isaāc	iːzaak
ēgeris	ɛːd͡ʒɛris
trigisamum	t̪rid͡ʒiːzamum
mōnstrāveritis	mɔnst̪ravɛːrit̪is
argentifolius	ard͡ʒɛn̪t̪ifɔːlius
septentriōnānus	sɛpt̪ɛn̪t̪riɔnaːnus
ancōnitānus	aŋkɔnit̪aːnus
corsus	kɔrsus
prōsternor	prɔst̪ɛrnɔr
dēliquēscō	d̪ɛlikwɛskɔ
religiōsōs	rɛlid͡ʒiɔːzɔs
geōgraphicus	d͡ʒɛɔɡraːfikus
eurus	ɛu̯rus
cēterus	t͡ʃɛːt̪ɛrus
amplector	amplɛkt̪ɔr
zēbrātus	d͡zɛbraːt̪us
refrīgēscō	rɛfrid͡ʒɛskɔ
resignō	rɛziɲɲɔ
coptus	kɔpt̪us
incurvāveritis	iŋkurvavɛːrit̪is
stibadium	st̪ibaːd̪ium
coūtor	kɔuːt̪ɔr
suēscō	svɛskɔ
graduātus	ɡrad̪uaːt̪us
effigiēs	ɛffiːd͡ʒiɛs
repedō	rɛːpɛd̪ɔ
maritimus	mariːt̪imus
vērī	vɛːri
idahoēnsis	id̪aɔɛnsis
pējōrum	pɛjɔːrum
parōnymon	parɔːnimɔn
incūsāveritis	iŋkuzavɛːrit̪is
superfundō	supɛrfun̪d̪ɔ
austinopolis	au̯st̪inɔːpɔlis
fēlīneus	fɛliːnɛus
impetīgō	impɛt̪iːɡɔ
conductīcius	kɔn̪d̪ukt̪iːt͡ʃius
casuentus	kazuɛn̪t̪us
tūs	t̪us
verāgrī	vɛraːɡri
sonōrē	sɔnɔːrɛ
bonāsus	bɔnaːzus
aurilegulus	au̯rilɛːɡulus
fortēs	fɔrt̪ɛs
paropamīsus	parɔpamiːzus
dēierō	d̪ɛːjɛrɔ
obliterās	ɔbliːt̪ɛras
moschī	mɔski
paltus	pal̪t̪us
indignus	in̪d̪iɲɲus
dispōnō	d̪ispɔːnɔ
iniūriōsus	injuriɔːzus
tentō	t̪ɛn̪t̪ɔ
scardus	skard̪us
scelestus	ʃɛlɛst̪us
diadēma	d̪iad̪ɛːma
ingrāta	iŋɡraːt̪a
polliceor	pɔlliːt͡ʃɛɔr
ēgregiē	ɛɡrɛːd͡ʒiɛ
haedus	ɛːd̪us
aspīrāstī	aspirast̪i
gē	d͡ʒɛ
lancī	lan̠ʲt͡ʃi
calcivorus	kal̠ʲt͡ʃiːvɔrus
locāveritis	lɔkavɛriːt̪is
vereasueca	vɛrɛazuːɛka
feminō	fɛːminɔ
matia	maːt͡sia
iūnōnicola	junɔniːkɔla
exultātiō	ɛksul̪t̪aːt͡siɔ
caphāreum	kafaːrɛu̯m
ambonēnsis	ambɔnɛnsis
histriōnicus	ist̪riɔːnikus
naprae	naːprɛ
cucumifōrmēs	kukumifɔrmɛs
ostentāveris	ɔst̪ɛn̪t̪aːvɛris
vatia	vaːt͡sia
pueritia	puɛriːt͡sia
acēre	at͡ʃɛːrɛ
orīgināria	ɔrid͡ʒinaːria
loquūtiōne	lɔkwut͡siɔːnɛ
creōn	krɛːɔn
medicātōre	mɛd̪ikat̪ɔːrɛ
tropaeum	t̪rɔpɛːum
bolbē	bɔlbɛ
meritōrius	mɛrit̪ɔːrius
reductō	rɛd̪ukt̪ɔ
serīphus	sɛriːfus
glōttidum	ɡlɔt̪t̪id̪um
iūdicātrīx	jud̪ikaːt̪riks
octōgēnāria	ɔkt̪ɔd͡ʒɛnaːria
sator	saːt̪ɔr
opācō	ɔpaːkɔ
tarbellī	t̪arbɛlli
chīus	kiːus
pullastrīs	pullast̪ris
rapāx	raːpaks
strychnos	st̪riknɔs
diagorās	d̪iaːɡɔras
inductīcius	in̪d̪ukt̪iːt͡ʃius
procāx	prɔːkaks
petasātus	pɛt̪azaːt̪us
friābilis	friaːbilis
sicānī	sikaːni
vardulī	vard̪uli
concurrō	kɔŋkurrɔ
ce͡ilārius	t͡ʃɛjlaːrius
remī	rɛːmi
quālis	kwaːlis
mezetulus	mɛdd͡zɛːt̪ulus
pisum	piːzum
sēgniter	sɛɲɲit̪ɛr
redeō	rɛːd̪ɛɔ
āra	aːra
surrentium	surrɛnt͡sium
requīrō	rɛkwiːrɔ
vīvificō	viviːfikɔ
bergomum	bɛrɡɔmum
lexiānae	lɛksiaːnɛ
vāgītus	vad͡ʒiːt̪us
trānsgredior	t̪ransɡrɛːd̪iɔr
potēns	pɔːt̪ɛns
extrēmus	ɛkst̪rɛːmus
axāmenta	aksamɛn̪t̪a
obumbrātis	ɔbumbraːt̪is
altrīnsecus	al̪t̪rinsɛkus
compēnsātīvī	kɔmpɛnsat̪iːvi
baracum	baːrakum
iīs	iːis
carpiō	karpiɔ
iunceus	jun̠ʲt͡ʃɛus
dēterminātiō	d̪ɛt̪ɛrminaːt͡siɔ
ravenna	ravɛnna
avidius	aviːd̪ius
incongruentēs	iŋkɔŋɡruɛn̪t̪ɛs
pāricīda	parit͡ʃiːd̪a
homodotī	ɔmɔːd̪ɔt̪i
auxaciī	au̯ksaːt͡ʃii
alternus	al̪t̪ɛrnus
vitiōsus	vit͡siɔːzus
pervagor	pɛrvaɡɔr
dīra	d̪iːra
grāculus	ɡraːkulus
myrtātum	mirt̪aːt̪um
olma	ɔlma
concupīscō	kɔŋkupiskɔ
perscrūtor	pɛrskruːt̪ɔr
davūricus	d̪avuːrikus
lūridus	luːrid̪us
verbigerāns	vɛrbiːd͡ʒɛrans
marōnēa	marɔnɛːa
mīrābile	miraːbilɛ
excremō	ɛkskrɛmɔ
fascinantēs	faʃʃinan̪t̪ɛs
stadia	st̪aːd̪ia
aeschylus	ɛskilus
imperitātis	impɛrit̪aːt̪is
crēditum	krɛːd̪it̪um
hīspellum	ispɛllum
oecosystēma	ɛkɔzist̪ɛːma
theātricus	t̪ɛaːt̪rikus
equus	ɛːkwus
caerellius	t͡ʃɛrɛllius
būcolicus	bukɔːlikus
dānicārum	d̪anikaːrum
cantābilis	kan̪t̪aːbilis
indicīva	in̪d̪it͡ʃiːva
plancius	plan̠ʲt͡ʃius
venerābilis	vɛnɛraːbilis
centuplicō	t͡ʃɛn̪t̪uːplikɔ
acraephia	akrɛːfia
curius	kuːrius
benedīce	bɛnɛd̪iːt͡ʃɛ
passiēnus	passiɛːnus
notāveritis	nɔt̪avɛːrit̪is
rāve	raːvɛ
gnaeus	ɲɛːus
inpūrus	impuːrus
ōscillī	ɔʃʃilli
scylacē	ʃiːlat͡ʃɛ
natoriēnsis	nat̪ɔriɛnsis
mycēnae	mit͡ʃɛːnɛ
cedrium	t͡ʃɛːd̪rium
nāvita	naːvit̪a
cracōviēnsis	krakɔviɛnsis
religiōsās	rɛlid͡ʒiɔːzas
arrenicum	arrɛːnikum
prōstibulum	prɔst̪iːbulum
indis	in̪d̪is
pugilātiō	pud͡ʒilaːt͡siɔ
praemedicātus	prɛmɛd̪ikaːt̪us
nōne	nɔːnɛ
concurrentia	kɔŋkurrɛnt͡sia
dēsenēscō	d̪ɛzɛnɛskɔ
diethūsa	d̪iɛt̪uːza
obsordēscō	ɔpsɔrd̪ɛskɔ
subterrāneus	supt̪ɛrraːnɛus
senior	sɛːniɔr
sobrīna	sɔbriːna
castellam	kast̪ɛllam
sōzūsa	sɔdd͡zuːza
bēthleëm	bɛt̪lɛːɛm
velī̆trae	vɛːlit̪rɛ
parārem	paraːrɛm
iuncus	juŋkus
piguus	piːɡuus
glūtiō	ɡluːt͡siɔ
temerāriōs	t̪ɛmɛraːriɔs
dentiferus	d̪ɛn̪t̪iːfɛrus
nāna	naːna
ustīca	ust̪iːka
praedium	prɛːd̪ium
sēnseris	sɛnsɛris
sacrifer	saːkrifɛr
mātrīculārius	mat̪rikulaːrius
interiectūra	in̪t̪ɛrjɛkt̪uːra
inaequābilis	inɛkwaːbilis
succinerīcius	sutt͡ʃinɛriːt͡ʃius
pelagonia	pɛlaɡɔːnia
veniālia	vɛniaːlia
pācō	paːkɔ
distō	d̪ist̪ɔ
concīdō	kɔn̠ʲt͡ʃiːd̪ɔ
neodymium	nɛɔd̪iːmium
malamantus	malaman̪t̪us
catēchizō	kat̪ɛkidd͡zɔ
valēscō	valɛskɔ
sūtēla	sut̪ɛːla
dīrēxeris	d̪irɛksɛris
salmō	salmɔ
rauda	rau̯d̪a
volusius	vɔluːzius
cranaos	kraːnaɔs
astrologia	ast̪rɔlɔːd͡ʒia
pyelus	piːɛlus
strophadēs	st̪rɔːfad̪ɛs
parsimōnia	parsimɔːnia
dēscēnsus	d̪ɛʃʃɛnsus
inoboediō	inɔbɛːd̪iɔ
dēlitīscō	d̪ɛlit̪iskɔ
probalinthus	prɔbalin̪t̪us
cū̆stōs	kust̪ɔs
praesonitum	prɛzɔːnit̪um
lānōsus	lanɔːzus
rīmābundus	rimabun̪d̪us
perspeculor	pɛrspɛːkulɔr
rejectiō	rɛjjɛkt͡siɔ
senīliter	sɛniːlit̪ɛr
ambulātōrius	ambulat̪ɔːrius
elementum	ɛlɛmɛn̪t̪um
flābrum	flaːbrum
āmentō	amɛn̪t̪ɔ
plēnārius	plɛnaːrius
vocīvus	vɔt͡ʃiːvus
vagās	vaːɡas
violāceus	viɔlaːt͡ʃɛus
saravus	saːravus
zeugma	d͡zɛu̯ɡma
pānis	paːnis
iūcundus	jukun̪d̪us
squāmōsus	skwamɔːzus
anticipāta	an̪t̪it͡ʃipaːt̪a
adriānī	ad̪riaːni
dīluviīs	d̪iluːviis
adpellō	at̪pɛllɔ
near	nɛːar
haeretice	ɛrɛːt̪it͡ʃɛ
baetis	bɛːt̪is
trānscendent	t̪ran̠ʲʃɛn̪d̪ɛn̪t̪
euge	ɛu̯d͡ʒɛ
viduō	viːd̪uɔ
sūgar	suːɡar
indistīnctus	in̪d̪ist̪iŋkt̪us
mandibulārēs	man̪d̪ibulaːrɛs
vestīgō	vɛst̪iːɡɔ
cembrae	t͡ʃɛmbrɛ
invēneritis	invɛnɛːrit̪is
distīnctus	d̪ist̪iŋkt̪us
exhālō	ɛksaːlɔ
octōgintā	ɔkt̪ɔd͡ʒin̪t̪a
siser	siːzɛr
panysus	paːnizus
procās	prɔːkas
lītigem	liːt̪id͡ʒɛm
sertōrius	sɛrt̪ɔːrius
quiētō	kwiɛːt̪ɔ
helxīnē	ɛlksiːnɛ
chariclēs	kaːriklɛs
mammillātus	mammillaːt̪us
leōnīnus	lɛɔniːnus
salvō	salvɔ
abdicāsse	abd̪ikassɛ
dispergō	d̪ispɛrɡɔ
fungus	fuŋɡus
cōnfarreātiō	kɔnfarrɛaːt͡siɔ
patefaciō	pat̪ɛfaːt͡ʃiɔ
thoanī	t̪ɔːani
praemoveō	prɛmɔːvɛɔ
gorgylus	ɡɔrd͡ʒilus
clūnis	kluːnis
abbreviātiōnibus	abbrɛviat͡siɔːnibus
excaecō	ɛkst͡ʃɛːkɔ
subdoceō	subd̪ɔːt͡ʃɛɔ
recidō	rɛːt͡ʃid̪ɔ
circumflectō	t͡ʃirkumflɛkt̪ɔ
victimō	vikt̪imɔ
ciminus	t͡ʃiːminus
vēiī	vɛːji
fadius	faːd̪ius
mōsī	mɔːzi
inurgeō	inurd͡ʒɛɔ
impedicō	impɛːd̪ikɔ
praeficiō	prɛfiːt͡ʃiɔ
intueor	in̪t̪uːɛɔr
canāliculus	kanaliːkulus
vacēfactum	vat͡ʃɛfakt̪um
anastasis	anast̪azis
rūctābundus	rukt̪abun̪d̪us
spectātor	spɛkt̪aːt̪ɔr
icus	iːkus
negātīvōs	nɛɡat̪iːvɔs
condītor	kɔn̪d̪iːt̪ɔr
conpatior	kɔmpaːt͡siɔr
acrillae	akrillɛ
quadrīgālis	kwad̪riɡaːlis
stilō	st̪iːlɔ
dyspnoea	d̪ispnɛːa
īnsufflāta	insufflaːt̪a
arizonicus	aridd͡zɔːnikus
extorreō	ɛkst̪ɔrrɛɔ
planēta	planɛːt̪a
quōcircā	kwɔt͡ʃirka
philae	fiːlɛ
venēfica	vɛnɛːfika
appalachiānus	appalakiaːnus
epidermis	ɛpid̪ɛrmis
insūdō	insuːd̪ɔ
dēdicō	d̪ɛːd̪ikɔ
būsequa	buːzɛkwa
hērōdiānī	ɛrɔd̪iaːni
davūricās	d̪avuːrikas
oppetō	ɔppɛt̪ɔ
obliterō	ɔbliːt̪ɛrɔ
dēportō	d̪ɛpɔrt̪ɔ
excūsō	ɛkskuːzɔ
prōsēminō	prɔzɛːminɔ
nebulō	nɛːbulɔ
saetās	sɛːt̪as
impūnis	impuːnis
polygamus	pɔliːɡamus
culcitra	kul̠ʲt͡ʃit̪ra
īra	iːra
latēns	laːt̪ɛns
adumbrātiō	ad̪umbraːt͡siɔ
fabriō	faːbriɔ
pueraster	puɛrast̪ɛr
ōsculor	ɔskulɔr
anterior	an̪t̪ɛːriɔr
māchināmen	makinaːmɛn
sicoris	siːkɔris
dissonantēs	d̪issɔnan̪t̪ɛs
aturus	aːt̪urus
austricus	au̯st̪rikus
ordēsus	ɔrd̪ɛːzus
sōlemnis	sɔlɛmnis
antelūcānus	an̪t̪ɛlukaːnus
patibulum	pat̪iːbulum
edenātēs	ɛd̪ɛnaːt̪ɛs
ogulnius	ɔɡulnius
calcātrīx	kalkaːt̪riks
adiūnctīvus	ad̪juŋkt̪iːvus
lumbricālis	lumbrikaːlis
dīānae	d̪iaːnɛ
doctōrant	d̪ɔkt̪ɔːran̪t̪
cinaedus	t͡ʃinɛːd̪us
luccēius	lutt͡ʃɛːjus
jōcundus	jɔkun̪d̪us
archilochus	arkiːlɔkus
corēāna	kɔrɛaːna
prōscrīptiō	prɔskript͡siɔ
sublātiō	sublaːt͡siɔ
būcinō	buːt͡ʃinɔ
collȳra	kɔlliːra
torculō	t̪ɔrkulɔ
strīdor	st̪riːd̪ɔr
costarīcēnsis	kɔst̪arit͡ʃɛnsis
dēfervēscō	d̪ɛfɛrvɛskɔ
cumque	kuŋkwɛ
virgultus	virɡul̪t̪us
dētractiō	d̪ɛt̪rakt͡siɔ
murgisō	murd͡ʒizɔ
abortiō	abɔrt͡siɔ
ohīum	ɔiːum
synochītis	sinɔkiːt̪is
brachydactylus	brakid̪akt̪ilus
iūrista	jurist̪a
pāsiphaē	paziːfaɛ
sūber	suːbɛr
fraudātiō	frau̯d̪aːt͡siɔ
conclūdō	kɔŋkluːd̪ɔ
dialectos	d̪ialɛkt̪ɔs
impōnēre	impɔːnɛrɛ
patriē	paːt̪riɛ
sepelībilis	sɛpɛliːbilis
onuba	ɔːnuba
antae	an̪t̪ɛ
pretiōsē	prɛt͡siɔːzɛ
verbālēs	vɛrbaːlɛs
exerceō	ɛksɛrt͡ʃɛɔ
sepelīveritis	sɛpɛlivɛriːt̪is
forāgō	fɔraːɡɔ
gadolinium	ɡad̪ɔliːnium
mediēvālis	mɛd̪iɛvaːlis
penetrantēs	pɛnɛt̪ran̪t̪ɛs
sināpis	sinaːpis
bellāria	bɛllaːria
emydas	ɛːmid̪as
geminātiō	d͡ʒɛminaːt͡siɔ
substitūtō	supst̪it̪uːt̪ɔ
foresta	fɔrɛst̪a
cabylē	kaːbilɛ
subcordātus	supkɔrd̪aːt̪us
minus	miːnus
stadieus	st̪aːd̪iɛu̯s
ascendō	aʃʃɛn̪d̪ɔ
flōrilegus	flɔriːlɛɡus
assellor	assɛllɔr
trīnāliter	t̪rinaːlit̪ɛr
subdīvidō	subd̪iːvid̪ɔ
sabulōsus	sabulɔːzus
sustentās	sust̪ɛn̪t̪as
sōligenitus	sɔlid͡ʒɛːnit̪us
incohāte	iŋkɔaːt̪ɛ
citāte	t͡ʃit̪aːt̪ɛ
commonitum	kɔmmɔːnit̪um
sincipita	sin̠ʲt͡ʃiːpit̪a
anticipante	an̪t̪it͡ʃipan̪t̪ɛ
tōtālis	t̪ɔt̪aːlis
traumaticum	t̪rau̯maːt̪ikum
torōsus	t̪ɔrɔːzus
acanthocalycibus	akan̪t̪ɔkaliːt͡ʃibus
dēflāgrātiō	d̪ɛflaɡraːt͡siɔ
androsaces	an̪d̪rɔːzat͡ʃɛs
haustus	au̯st̪us
sacrāmentum	sakramɛn̪t̪um
dēspūmāre	d̪ɛspumaːrɛ
nūncupātis	nuŋkupaːt̪is
aequor	ɛːkwɔr
novitās	nɔːvit̪as
artaxiās	art̪aksias
cacultris	kakul̪t̪ris
ēlūctābilis	ɛlukt̪aːbilis
occultāveritis	ɔkkul̪t̪avɛriːt̪is
efficiō	ɛffiːt͡ʃiɔ
carpe	karpɛ
quadrāgēnārius	kwad̪rad͡ʒɛnaːrius
prōcurrō	prɔkurrɔ
holocaustus	ɔlɔkau̯st̪us
quidem	kwiːd̪ɛm
caelebs	t͡ʃɛːlɛps
campester	kampɛst̪ɛr
michāhēl	mikaːɛl
loxēnsis	lɔksɛnsis
celtica	t͡ʃɛl̪t̪ika
ācrimōnia	akrimɔːnia
plūtōnium	plut̪ɔːnium
candētum	kan̪d̪ɛːt̪um
arcticus	arkt̪ikus
pēnīnsula	pɛninsula
dulciculus	d̪ul̠ʲt͡ʃiːkulus
timefactus	t̪imɛfakt̪us
sexuālitās	sɛksuaːlit̪as
arguō	arɡuɔ
omnimodus	ɔmniːmɔd̪us
tectonicus	t̪ɛkt̪ɔːnikus
zephyre	d͡zɛːfirɛ
īnfāmāverimus	infamavɛriːmus
erymandrus	ɛriman̪d̪rus
fātālis	fat̪aːlis
lȳsimachīa	lizimakiːa
sēsqui	sɛskwi
lurdus	lurd̪us
intertrīgō	in̪t̪ɛrt̪riːɡɔ
affectātor	affɛkt̪aːt̪ɔr
thūcȳdidēs	t̪ut͡ʃiːd̪id̪ɛs
subpīlō	suppiːlɔ
bōlētus	bɔlɛːt̪us
artaxata	art̪aksat̪a
ūdor	uːd̪ɔr
prōcūrātor	prɔkuraːt̪ɔr
humiliāte	umiliaːt̪ɛ
ēvolvam	ɛvɔlvam
spūmābundus	spumabun̪d̪us
vacuus	vaːkuus
ōtōrum	ɔt̪ɔːrum
gracilis	ɡraːt͡ʃilis
perexiguus	pɛrɛksiːɡuus
īdōlicus	id̪ɔːlikus
pȳtheās	piːt̪ɛas
tardus	t̪ard̪us
coxālis	kɔksaːlis
exportēs	ɛkspɔrt̪ɛs
bragae	braːd͡ʒɛ
stertinius	st̪ɛrt̪iːnius
pāla	paːla
mellāceum	mɛllaːt͡ʃɛum
exos	ɛksɔs
glaciārium	ɡlat͡ʃiaːrium
wastina	vast̪ina
prāvicordius	pravikɔrd̪ius
palfurius	palfuːrius
