астрономија	astronǒmija
уводити	uʋǒditi
електрана	elektrǎna
човјекољубив	t͡ʃoʋjekoʎǔbiʋ
војнички	ʋǒjniːt͡ʃki
педантан	pědantan
ајам	ǎːjam
ломити	lǒmiti
дешавање	deʃaʋaɲe
лихварити	lixʋǎːriti
ситничав	sǐtnit͡ʃaʋ
шелак	ʃêlak
курат	kǔrat
рационалан	rât͡sionaːlan
протјеривати	protjerǐːʋati
најава	nâːjaʋa
злонамјерно	zlonǎːmjeːrno
добро	dǒbro
обичавати	obit͡ʃǎːʋati
узјахивати	uzjaxǐːʋati
беласати	belǎsati
лахор	lâxor
будалаштина	budalǎːʃtina
бошњак	bǒʃɲaːk
побједа	pôbjeda
извјештавати	izʋjeʃtǎːʋati
плачљив	plǎt͡ʃʎiʋ
репресија	reprěsija
иоле	îole
запријети	zǎprjeːti
соноризација	sonorizǎːt͡sija
саплести	sǎplesti
сјахати	sjâxati
конспиративан	kônspiratiːʋan
неодољиво	neodǒʎiʋo
морж	môrʒ
пиздети	pǐːzdeti
јакут	jǎkut
кахла	kâxla
веслачица	ʋeslǎt͡ʃit͡sa
шљем	ʃʎêm
преокрет	prêokreːt
трагедија	trǎɡeːdija
вечерњи	ʋět͡ʃeːrɲiː
други	drûɡiː
цепкати	t͡sêpkati
пасторчад	pâstort͡ʃaːd
лазар	lâzaːr
необјективно	nêobjektiʋno
смијати	smǐjati
талмуд	tǎlmud
завет	zǎːʋet
равнало	rǎʋnalo
развезивати	razʋezǐːʋati
тркачица	trkǎt͡ʃit͡sa
пијаца	pǐjat͡sa
приземље	prǐːzeːmʎe
факирски	fǎkiːrskiː
онанија	onǎnija
везивати	ʋezǐːʋati
сокак	sǒkaːk
крстити	křstiti
штап	ʃtâːp
сеанса	seǎnsa
спаљивати	spaʎǐːʋati
помоћни	pǒmot͡ɕniː
штранд	ʃtrând
средишни	srědiːʃniː
турчин	tǔrt͡ʃiːn
рођендан	rôd͡ʑendaːn
звиждач	zʋǐʒdaːt͡ʃ
капилара	kapilǎːra
покућство	pǒkut͡ɕstʋo
ништа	nîʃta
продор	prǒːdor
пробудити	probǔːditi
клептоманија	kleptomǎnija
пешке	pêʃkeː
прскати	přːskati
уљепшати	uʎěpʃati
магарац	mǎɡarat͡s
онечистити	onět͡ʃistiti
калварија	kǎlʋaːrija
акопрем	âkoprem
топоним	topǒniːm
патриотски	patrǐotskiː
потрајати	pǒtrajati
боцвана	bot͡sʋǎna
флора	flôːra
дерматологија	dermatolǒɡija
билијун	bilǐjuːn
такођер	takǒːd͡ʑer
писмен	pîsmen
дриблати	drîblati
усути	ǔsuːti
поднети	pǒdneːti
саборница	sǎːbornit͡sa
преживјети	preʒǐːʋjeti
фотогеничан	fotoɡěnit͡ʃan
унутрашњост	ǔnutraʃɲoːst
аргумент	arɡǔment
церовина	t͡sěroʋina
изискивати	iziskǐːʋati
смоквик	smǒkʋiːk
метеж	měːteʒ
карактеран	karǎkteːran
ноћити	nǒt͡ɕiti
незахвалан	nêzaxʋaːlan
садити	sǎːditi
ризичан	rîzit͡ʃan
пакосник	pâkosniːk
рачунало	rat͡ʃǔnalo
цветак	t͡sʋěːtak
навезати	naʋěːzati
авијација	aʋijǎːt͡sija
лимунов	lîmuːnoʋ
шетати	ʃěːtati
обестан	ôbeːstan
вукодлак	ʋukǒdlak
геј	ɡêːj
доживотно	dôʒiʋotno
непромишљено	neprǒmiʃʎeno
осица	ǒsit͡sa
вепровина	ʋěproʋina
пузати	pûzati
астролошки	astrǒloʃki
луцидан	lût͡siːdan
идилично	idǐlit͡ʃno
одбацити	odbǎːt͡siti
тривијално	trîʋijaːlno
сујеверје	sûjeʋeːrje
сиже	sǐʒeː
брак	brâːk
олакотност	ôlakotnoːst
упадљиво	upǎdʎiʋo
хектар	xêktaːr
етички	ětit͡ʃkiː
салдо	sâːldo
расформирати	rasformǐːrati
хабер	xǎber
израђати	izrǎːd͡ʑati
тузлук	tǔzluk
зближавати	zbliʒǎːʋati
гледиште	ɡlêdiːʃte
шашаво	ʃâʃaʋo
одстријелити	odstrijěːliti
звјездан	zʋjězdan
ноћу	nôt͡ɕu
замјењивати	zamjeɲǐːʋati
поступан	pǒstupan
бацати	bǎt͡sati
образовање	obrazoʋǎːɲe
хромост	xrômoːst
жиголо	ʒîɡolo
анка	âːnka
неуспјех	nêuspjex
шпренгати	ʃprênɡati
немоћан	nêmot͡ɕan
абнормалност	abnormǎːlnoːst
духовит	duxǒʋit
основати	osnǒʋati
пливачица	pliʋǎt͡ʃit͡sa
уздах	ûzdaːx
музејски	mǔzeːjski
рага	râɡa
теоретик	teorětik
небодер	nêbodeːr
вргањ	ʋřɡaːɲ
квасити	kʋâsiti
виталан	ʋîtaːlan
кречити	krêt͡ʃiti
јарџеван	jard͡ʒěʋaːn
творевина	tʋǒreʋina
подневник	pǒːdneːʋniːk
исјећи	ǐsjet͡ɕi
психопатологија	psixopatolǒɡija
љето	ʎêto
дописница	dǒpisnit͡sa
трудноћа	trudnǒt͡ɕa
шака	ʃâka
кран	krâːn
замислив	zamǐsliʋ
помагати	pomǎːɡati
новосадски	nôʋosadskiː
разрешивост	razrěʃiʋoːst
говедо	ɡǒʋedo
аристократ	aristǒkrat
кемичар	kěmit͡ʃaːr
опрост	ǒprost
незгодно	nězɡodno
приметљив	primětʎiʋ
иницијалан	înit͡sijaːlan
благдан	blâɡdaːn
шејтан	ʃěːjtaːn
просјак	prôsjaːk
окомит	ǒkomit
палити	pǎːliti
радозналост	radǒznaloːst
репортерка	repǒrteːrka
невјернички	něʋjeːrnit͡ʃkiː
применити	priměːniti
психоза	psixǒːza
стечај	stêt͡ʃaːj
отворен	ǒtʋoren
дуализам	dualǐzam
несвакидањи	nesʋakǐdaɲiː
кита	kîta
англосаски	anɡlǒsaskiː
гамбија	ɡǎmbija
дискретно	dǐskretno
предводница	prědʋodnit͡sa
местовина	mestǒʋina
убрзавати	ubrzǎːʋati
досег	dôseːɡ
пљескати	pʎêskati
пешачити	peʃǎːt͡ʃiti
обавестити	obaʋěːstiti
уврштавати	uʋrʃtǎːʋati
јагњетина	jǎɡɲetina
клобук	klǒbuːk
тетица	têtit͡sa
луцкастост	lût͡skastoːst
самокритички	samokrǐtit͡ʃki
претапати	pretǎːpati
захтев	zǎːxteʋ
разрјешив	razrjěʃiʋ
снижавати	sniʒǎːʋati
договорити	doɡoʋǒriti
прекјуче	prêkjut͡ʃeː
кремљолог	kremʎǒloɡ
транзицијски	trǎnziːt͡siːjskiː
несклад	nêsklad
пријевремен	prîjeʋremen
заглибити	zaɡlǐːbiti
над	nâd
донатор	dǒnaːtor
ексцерпт	ěkst͡serpt
предводник	prědʋodniːk
памучан	pǎmut͡ʃan
фашистички	faʃǐstitʃki
ребус	rěːbus
муљ	mûːʎ
ушће	ûːʃt͡ɕe
зоолог	zoǒloɡ
торокати	torǒkati
тужно	tûːʒno
ритмички	rǐtmitʃki
дунав	dǔnaʋ
вербалан	ʋěrbaːlan
утопистички	utopǐstitʃki
увјеравати	uʋjerǎːʋati
банчити	bâːnt͡ʃiti
хетеросексуалност	xeteroseksuǎːlnoːst
ципела	t͡sǐpela
комедија	kǒmeːdija
ћелавост	t͡ɕêlaʋoːst
аконто	akǒnto
цјелокупан	t͡sjelǒkupan
нагиб	nǎːɡib
кукумар	kukǔmar
еколошки	ekǒloʃki
треф	trêf
неприступачан	nêpristupaːt͡ʃan
ригидност	riɡǐːdnoːst
неистина	něistina
плесати	plěːsati
њ	ɲ
даномице	dânomit͡seː
поносити	ponǒsiti
морски	mǒrskiː
перун	pêrun
ведрина	ʋedrǐna
акцијски	ǎkt͡siːjskiː
шпуријус	ʃpûːrijus
шаумрола	ʃǎumrola
предзиђе	prědziːd͡ʑe
банкротер	bankrǒteːr
естонски	ěstoːnskiː
шкатуља	ʃkǎtuʎa
дебљати	děbʎati
фалсификат	falsifǐkaːt
есхатолог	esxatǒloɡ
кравујац	kraʋǔːjat͡s
биолошки	biǒloʃkiː
степа	stêpa
дионица	diǒnit͡sa
атлантски	ǎtlantskiː
свршени	sʋr̂ːʃeniː
раширити	raʃǐːriti
меласа	melǎsa
трифтоншки	trǐftonʃkiː
весалце	ʋesǎːlt͡se
забљешћивати	zabʎeʃt͡ɕǐːʋati
предмет	prěːdmet
кристални	krǐstalniː
торлачки	tǒrlat͡ʃkiː
имун	îmuːn
ршум	r̂ʃum
појам	pǒːjam
брдски	br̂dskiː
деконтаминација	dekontaminǎːt͡sija
нијесу	nijěːsu
пресликавати	preslikǎːʋati
збиљски	zbîːʎskiː
скупоцен	skupǒt͡sen
кобан	kôːban
градити	ɡrǎːditi
набављач	nabǎʋʎaːt͡ʃ
изоштравати	izoʃtrǎːʋati
кривудати	kriʋǔdati
ждребад	ʒdrêbaːd
комода	komǒːda
пензионерка	penziǒneːrka
кафа	kǎfa
фајда	fǎjda
залеђивати	zaled͡ʑǐːʋati
прегрејавати	preɡrejǎːʋati
реагирати	reaɡǐːrati
барем	bǎrem
дивљакуша	diʋʎǎkuʃa
гљивар	ɡʎǐʋaːr
некуд	nêkud
биралиште	bǐraliːʃte
курс	kûrs
обријати	ǒbrijati
нимфа	nîːmfa
мотивирати	motiʋǐːrati
презирати	prězirati
терли	těrli
схема	sxěːma
страхота	straxǒta
аглутинација	aɡlutinǎːt͡sija
шева	ʃěːʋa
истовар	îstoʋaːr
доксологија	doksolǒɡija
теракота	terakǒta
генијално	ɡênijaːlno
аквизиција	akʋizǐːt͡sija
абдест	ǎbdest
заради	zâradi
харач	xǎraːt͡ʃ
ступити	stǔːpiti
рањив	rǎɲiʋ
сласт	slâːst
колосијек	kôlosijeːk
јефтино	jêftino
циљан	t͡sîːʎan
метнути	mětnuti
буџак	bǔd͡ʒaːk
прекретати	prěkretati
надлежан	nǎːdleʒan
учинити	ut͡ʃǐniti
неискрен	něiskren
схизофренија	sxizofrěnija
затровати	zatrǒʋati
мезанин	mezǎniːn
књижица	kɲîʒit͡sa
епизода	epizǒːda
приушћивати	priuʃt͡ɕǐːʋati
скрб	skr̂ːb
трагикомичан	traɡikǒmit͡ʃan
рукометни	rûkomeːtniː
кроатоцентричност	kroatot͡sěntrit͡ʃnoːst
мошнице	môʃnit͡se
частољубље	t͡ʃâstoʎuːbʎe
препеличар	prêpelit͡ʃaːr
листавац	lîstaʋat͡s
деликатно	dêlikaːtno
ироничан	irǒnit͡ʃan
запливати	zǎpliʋati
израчунавати	izrat͡ʃunǎːʋati
хладњак	xlâːdɲaːk
прерушити	prěruʃiti
лезбијски	lězbiːjski
одликовање	odlikoʋǎːɲe
утаначивати	utanat͡ʃǐːʋati
седатив	sedǎtiːʋ
мирно	mîːrno
мастан	mǎːstan
теозоф	teǒzof
разјарити	razjǎːriti
јекавски	jěːkaʋski
абонирац	abonǐːrat͡s
квантитативан	kʋântitatiːʋan
удар	ûdaːr
тријасни	trîjaːsniː
квалитетан	kʋâliteːtan
самокрес	sâmokreːs
напитак	nǎːpitak
делотворан	dêlotʋoːran
шаумгума	ʃǎumɡuma
антагонизам	antaɡonǐzam
патрола	patrǒːla
херметично	xermětit͡ʃno
запрега	zâːpreɡa
тематски	těmatski
захваљивати	zaxʋaʎǐːʋati
блатњав	blâtɲaʋ
стаљинизам	staʎinǐzam
гладан	ɡlǎːdan
бритвица	brîtʋit͡sa
паланка	pǎlaːnka
дојиља	dǒjiːʎa
никамо	nîkamo
своједобно	sʋôjedobno
златити	zlǎːtiti
инфлацијски	inflǎːtsiːjski
капитулирати	kapitulǐːrati
обамрлост	ôbamrːloːst
ентузијасткиња	entuzǐjastkiɲa
судбоносан	sudbǒnosan
идиотски	idǐotskiː
повјереник	poʋjerěniːk
кандидат	kandǐdaːt
амиџа	ǎmid͡ʒa
шуштати	ʃǔʃtati
поврће	pǒʋrt͡ɕe
суицидално	sûit͡sidaːlno
усамљен	ǔsaːmʎen
возачки	ʋǒzaːtʃkiː
ганџа	ɡând͡ʒa
вежба	ʋêʒba
шахист	ʃǎxist
бећаруша	bet͡ɕǎruʃa
литераран	lîteraːran
полетјети	polětjeti
кликер	klǐker
телевизор	telěʋiːzor
полиандрија	poliǎndrija
трансформатор	transfǒrmaːtor
писменост	pîsmenoːst
радостан	râdostan
потпун	pǒtpun
безнадан	běznadan
резултатски	rezǔltaːtski
штибра	ʃtîbra
шпањур	ʃpǎɲuːr
будитељ	bǔditeʎ
себично	sěbit͡ʃno
зепсти	zêːpsti
завирити	zaʋǐːriti
сидвестер	sǐdʋester
навика	nâːʋika
католичанство	katolit͡ʃǎːnstʋo
хулник	xûːlniːk
необрађен	neǒbraːd͡ʑeːn
топломјер	tôplomjeːr
удомитељ	udǒmiteʎ
балван	bǎlʋan
опседати	opsěːdati
набрусити	nabrǔːsiti
монетарни	mônetaːrniː
кристалан	krǐstaːlan
акумулација	akumulǎːt͡sija
провала	prôʋala
зимовати	zimǒʋati
ћоза	t͡ɕôza
корисност	kôriːsnoːst
пораз	pôraːz
алузија	ǎluːzija
спискавати	spiskǎːʋati
пустоловина	pustolǒʋina
ледац	lêdat͡s
амфибија	ǎmfiːbija
талент	tǎlent
неразборит	nerǎːzborit
приступ	prǐːstup
решеност	rêːʃenoːst
пуч	pûtʃ
коса	kǒsa
непогодан	nêpoɡodan
неприметљив	neprimětʎiʋ
талмудски	tǎlmudskiː
јарац	jârat͡s
изградња	izɡrǎːdɲa
шпајхл	ʃpǎjxl
кривовјерство	kriʋǒʋjeːrstʋo
чопор	t͡ʃôpor
русија	rǔsija
кроничар	krǒnit͡ʃaːr
светлуцати	sʋetlǔt͡sati
грехован	ɡrěxoːʋan
ходати	xǒːdati
узнемирити	uznemǐːriti
крхати	kr̂xati
педагошкиња	pedǎɡoʃkiɲa
масив	mǎsiːʋ
поблиједјети	poblijěːdjeti
ловиште	lôʋiːʃte
малтешки	mǎlteːʃkiː
неразводњен	nerǎzʋodɲen
покоравати	pokorǎːʋati
коптски	kôptskiː
сукња	sûkɲa
племенитост	pleměnitoːst
подјармити	podjǎːrmiti
претплата	prêtplata
коагулација	koaɡulǎːt͡sija
улазак	ǔlazak
чокот	t͡ʃôkot
тресач	trěsaːt͡ʃ
сонатина	sonatǐːna
великодушност	ʋelikǒduʃnoːst
смрдљив	smřdʎiʋ
згрушавати	zɡruʃǎːʋati
прдити	přditi
претући	prětuːt͡ɕi
гроза	ɡrǒːza
регулатива	reɡulatǐːʋa
толеранција	tolerǎnt͡sija
стрпети	střːpeti
наслов	nǎːsloʋ
поједини	pojědiːniː
макар	mǎkar
језуит	jezǔiːt
донекле	dǒnekle
сколастичар	skolǎstit͡ʃaːr
мјесто	mjêsto
дигнути	dîɡnuti
мајка	mâːjka
доручак	dǒrut͡ʃak
гозба	ɡǒzba
опадати	opǎːdati
довијека	dôʋijeːka
сатрапски	sǎtrapski
хематологија	xematolǒɡija
борис	bôːris
еквадорски	ěkʋaːdorskiː
тетоважа	tetoʋǎːʒa
пивски	pîːʋskiː
дрога	drǒːɡa
ода	ǒːda
сервилан	sêrʋiːlan
буктиња	bǔktiɲa
владарски	ʋlǎdaːrskiː
материјалан	mâterijaːlan
затајивати	zatajǐːʋati
илир	ǐliːr
етанол	etǎnoːl
обуставити	obǔstaʋiti
непрокушан	neprǒkuʃaːn
дијаболичан	dijabǒlit͡ʃan
животињски	ʒiʋǒtiːɲski
кратковидо	kratkǒʋido
гриб	ɡrîːb
изранити	ǐzraniti
непреносивост	neprenǒsiʋoːst
свраб	sʋrâːb
јеврејин	jěʋrejin
коњушар	koɲǔʃaːr
изнајмљивати	iznajmʎǐːʋati
афрички	ǎfrit͡ʃkiː
бјекство	bjěkstʋo
бешуман	bêʃuːman
нередовито	neredǒʋito
фриволан	frîʋoːlan
дјелић	djělit͡ɕ
бахатити	baxǎtiti
незнан	nêznaːn
безобразлук	bezobrǎzluk
ругалачки	rǔːɡalat͡ʃki
сплеткарити	spletkǎːriti
трансверзала	transʋerzǎːla
плавуша	plǎʋuʃa
бости	bôsti
кинез	kǐneːz
сљепоочни	sʎepǒot͡ʃniː
мјесецима	mjesěːt͡sima
грозно	ɡrôːzno
излазак	ǐzlazak
спонтаност	spôntaːnoːst
омекшивач	omekʃǐʋaːt͡ʃ
дама	dǎːma
лаж	lâːʒ
самовоља	samǒʋoʎa
охолост	ôxoloːst
монструозан	mônstruoːzan
душман	dûʃman
поподне	popǒːdne
заседа	zâːseda
флексибилно	flêksibiːlno
двовидан	dʋǒʋiːdan
пробитачно	prôbitaːt͡ʃno
филогенеза	filoɡěneza
ароматичан	aromǎtit͡ʃan
заповедити	zapǒʋediti
обавјештајац	obaʋjeʃtǎːjat͡s
скандирати	skandǐːrati
непушач	nepǔʃaːt͡ʃ
чилаш	t͡ʃǐlaːʃ
букнути	bǔːknuti
сериозан	sêrioːzan
финале	finǎːle
искорак	îskoraːk
грамзив	ɡrǎmziʋ
неолитик	neolǐtik
отправљати	ǒtpraʋʎati
шетња	ʃěːtɲa
примерице	prǐːmerit͡seː
линеаран	lîneaːran
херц	xêrt͡s
коромач	korǒmaːt͡ʃ
загристи	zǎɡristi
хронолошки	xronǒloʃki
супротстављати	suprǒtstaʋʎati
свечан	sʋět͡ʃan
уверити	ǔʋeriti
див	dîʋ
алкалоид	alkalǒiːd
бранилац	brǎnilat͡s
сијед	sjêːd
брадавица	brǎdaʋit͡sa
казалишни	kǎzaliːʃniː
размијенити	razmjěːniti
аутор	ǎutor
раздјељив	razdjěʎiʋ
иритирати	iritǐːrati
бигот	bǐɡot
амебни	ǎmeːbniː
крпатити	křpatiti
флегматично	fleɡmǎtit͡ʃno
комплементаран	kômplementaːran
вјеридба	ʋjěridba
шпинат	ʃpǐnaːt
микроб	mǐkroːb
сума	sûma
реализирати	realizǐːrati
штос	ʃtôːs
плашљив	plǎʃʎiʋ
изоморфан	izomǒrfaːn
габула	ɡâbula
прождрљивац	proʒdřʎiʋat͡s
сумаглица	sǔmaɡlit͡sa
коауторство	koautǒːrstʋo
издајник	ǐzdaːjniːk
троделан	trôdeːlan
поздрављати	pǒzdraʋʎati
искуство	iskǔːstʋo
индија	ǐndija
присилити	prǐsiliti
несталан	nêstaːlan
дантеовски	dǎnteoʋski
умјерено	ǔmjereno
стампедо	stampêːdo
дух	dûx
батерија	bǎteːrija
летелица	lětelit͡sa
градиво	ɡrâdiːʋo
магма	mǎɡma
одредница	ǒdrednit͡sa
индивидуалан	îndiʋiduaːlan
дендрологија	dendrolǒɡija
балтички	bǎltit͡ʃkiː
драг	drâːɡ
протерати	prǒterati
чворнат	t͡ʃʋôrnat
даире	daǐːre
криводолски	kriʋǒdolskiː
смоћи	smôt͡ɕi
предграђе	prědɡraːd͡ʑe
мана	mâna
пресахњивати	presaxɲǐːʋati
челик	t͡ʃělik
лестве	lêstʋe
пест	pêːst
незнатно	nêznaːtno
мачји	mât͡ʃjiː
дагња	dâɡɲa
кривудаво	kriʋǔdaʋo
питак	pîtak
очистити	ǒt͡ʃistiti
проговорити	proɡoʋǒriti
једносмеран	jêdnosmeːran
империјалистички	imperijalǐstit͡ʃki
овамо	ǒʋaːmo
разјуривати	razjurǐːʋati
денталан	děntaːlan
панславист	panslǎʋist
дина	dǐːna
умријети	ǔmrjeːti
распознати	raspǒznati
поклањати	pǒklaɲati
развијати	razʋǐːjati
шперплоча	ʃpěrplot͡ʃa
сељачина	seʎǎt͡ʃina
ласер	lâser
опорећи	opǒret͡ɕi
руменило	ruměnilo
посебан	pǒːseban
јучер	jǔt͡ʃeːr
дувати	dǔːʋati
транслитерација	transliterǎːt͡sija
ревностан	rěːʋnostan
разићи	rǎziːt͡ɕi
псеудоним	pseudǒnim
цијеп	t͡sîːjep
антропоморфан	antropomǒrfan
увојак	ǔːʋojak
балегати	balěɡati
пунашан	pûnaːʃan
онтолошки	ontǒloʃkiː
расјед	rǎːsjed
сепаратан	sêparaːtan
читати	t͡ʃǐtati
клошар	klǒʃaːr
устројавати	ustrojǎːʋati
трагалац	trǎɡalat͡s
плурални	plûraːlniː
уважити	uʋǎːʒiti
млитавац	mlîtaʋat͡s
удат	ûdaːt
посећи	pǒset͡ɕi
конкавно	kônkaːʋno
пројект	prǒjekt
тромеђа	trǒmed͡ʑa
јарбол	jâːrbol
друкчије	drǔkt͡ʃijeː
снајперист	snajpěrist
равнодушност	raʋnǒduʃnoːst
набрусивати	nabrusǐːʋati
интелектуалан	întelektuaːlan
радионица	radiǒːnit͡sa
сврбеж	sʋřːbeʒ
расећи	rǎset͡ɕi
утонути	utǒnuti
обавезати	obaʋěːzati
биће	bǐːt͡ɕe
хоботница	xǒbotnit͡sa
искрасти	ǐskrasti
сустићи	sǔstit͡ɕi
глежањ	ɡlêʒaɲ
кретенаст	krětenast
бојадисати	bojǎdisati
умјетнички	ǔmjetnit͡ʃkiː
гољењача	ɡoʎěɲat͡ʃa
пелена	pêlena
стратегијски	strǎteɡiːjskiː
сљубити	sʎǔːbiti
православан	prâʋoslaːʋan
присилно	prǐːsiːlno
квебек	kʋebêk
слијеп	sljêːp
ступ	stûːp
буквално	bûkʋaːlno
гадан	ɡǎdan
личан	lît͡ʃan
интрига	ǐntriːɡa
господарственик	ɡospodǎrstʋeniːk
перманентност	permaněntnoːst
колосалан	kôlosaːlan
нису	nǐːsu
пријелом	prjěːlom
циклона	t͡siklǒːna
култни	kûltniː
тајни	tâːjniː
увлачити	uʋlǎːt͡ʃiti
предео	prěːdeo
пркосити	přkositi
перманентан	permaněntan
патолошки	patǒloʃkiː
карпати	karpǎːti
пратилац	prǎtilat͡s
нужно	nûʒno
посиједити	posijěːditi
земљорадник	zemʎǒraːdniːk
бацање	bǎt͡saːɲe
морнар	mǒrnaːr
свест	sʋêːst
расположив	raspolǒʒiʋ
спиритизам	spiritǐzam
жудети	ʒǔːdeti
разрада	râːzrada
англикански	anɡlǐkaːnskiː
поплава	pôplaʋa
сјенка	sjêːnka
зјапнути	zjâpnuti
крајанка	krǎjaːnka
мљезиво	mʎêziːʋo
покушај	pôkuʃaːj
суицидалност	suit͡sidǎːlnoːst
