மாங்காய்	mɑːŋɡɑːj
கட்டியடுப்பு	kʌʈːɨjʌɖɯpːɯ
அகலம்	ʔʌɡʌl̪ʌm
வடிவம்	ʋʌɖɨʋʌm
மரம்	mʌɾ̪ʌm
பெருக்கல்	peɾ̪ɯkːʌl̪
இல்லக்கிழத்தி	ʔɨl̪ːʌkːɨɻʌt̪ːi
கலப்பை	kʌl̪ʌpːʌɪ̯
ஜப்பான்	d͡ʑʌpːɑːn
இல்லாள்	ʔɨl̪ːɑːɭ
பிசறுதல்	pɨsʌrɯd̪ʌl̪
பூண்டு	puːɳɖɯ
சொற்பு	sorpɯ
பணிதி	pʌɳɨd̪i
பிரமாதமான	pɨɾ̪ʌmɑːd̪ʌmɑːna
காவு	kɑːʋɯ
ஆசிருந்தம்	ʔɑːsɨɾ̪ɯn̪d̪ʌm
சிவ	sɨʋa
அகரவரிசை	ʔʌɡʌɾ̪ʌʋʌɾ̪ɨsʌɪ̯
சேர்த்தி	seːɾ̪t̪ːi
பேச்சு	peːsːɯ
சிவப்புக்கல்	sɨʋʌpːɯkːʌl̪
புற்றுநோய்	pɯʈːɾɯn̪oːj
பெண்கள்	peɳkʌɭ
திருக்கார்த்திகை	t̪ɨɾ̪ɯkːɑːɾ̪t̪ːɨɡʌɪ̯
செடி	seɖi
சந்திப்பு	sʌn̪d̪ɨpːɯ
வழக்கு	ʋʌɻʌkːɯ
மர்தோவியா	mʌɾ̪t̪oːʋɨjɑː
நினைவு	n̪ɨnʌɪ̯ʋɯ
நிஷ்டை	n̪ɨʂʈʌɪ̯
பிசிறுலாடு	pɨsɨrɯl̪ɑːɖɯ
பவழம்	pʌʋʌɻʌm
விரிகாசம்	ʋɨɾ̪ɨɡɑːsʌm
கூலம்	kuːl̪ʌm
ஈரல்	ʔiːɾ̪ʌl̪
மந்தினி	mʌn̪d̪ɨni
இந்தியர்	ʔɨn̪d̪ɨjʌɾ̪
ஶஸ்யம்	ɕʌsjʌm
கருமம்	kʌɾ̪ɯmʌm
வாக்காளர்	ʋɑːkːɑːɭʌɾ̪
ஜிராயதி	d͡ʑɨɾ̪ɑːjʌd̪i
வல்லடி	ʋʌl̪ːʌɖi
பேரினம்	peːɾ̪ɨnʌm
தலையல்	t̪ʌl̪ʌɪ̯jʌl̪
தேசபாஷை	t̪eːsʌbɑːʂʌɪ̯
மாதறி	mɑːd̪ʌri
அந்தந்த	ʔʌn̪d̪ʌn̪d̪a
அந்நிலை	ʔʌn̪ːɨl̪ʌɪ̯
பைவன்	pʌɪ̯ʋʌn
கூரைவீடு	kuːɾ̪ʌɪ̯ʋiːɖɯ
நேர்ச்சி	n̪eːɾ̪sːi
லுங்கி	l̪ɯŋɡi
சிங்கம்	sɨŋɡʌm
மேய்ப்பு	meːjpːɯ
ஆண்டு	ʔɑːɳɖɯ
உறவு	ʔɯrʌʋɯ
ரகசியம்	ɾ̪ʌɡʌsɨjʌm
செங்	seŋ
ஆசீர்வதி	ʔɑːsiːɾ̪ʋʌd̪i
நோக்கு	n̪oːkːɯ
நடு	n̪ʌɖɯ
பழைய	pʌɻʌɪ̯ja
மேரை	meːɾ̪ʌɪ̯
தெரு	t̪eɾ̪ɯ
முட்டுக்கால்	mɯʈːɯkːɑːl̪
மாவு	mɑːʋɯ
வாள்	ʋɑːɭ
கூத்து	kuːt̪ːɯ
நொடிப்பு	n̪oɖɨpːɯ
அப்பால்	ʔʌpːɑːl̪
ஏலம்	ʔeːl̪ʌm
சீழ்	siːɻ
நிலவு	n̪ɨl̪ʌʋɯ
காளை	kɑːɭʌɪ̯
விழுக்காடு	ʋɨɻɯkːɑːɖɯ
சாம்பல்	sɑːmbʌl̪
வாழ்வு	ʋɑːɻʋɯ
கணக்காளர்	kʌɳʌkːɑːɭʌɾ̪
பதிமுகம்	pʌd̪ɨmɯɡʌm
வடை	ʋʌɖʌɪ̯
இரண்டு	rɛɳɖɯ
விளா	ʋiɭaː
கை	kʌɪ̯
உரோமம்	ʔɯɾ̪oːmʌm
வீராங்கனை	ʋiːɾ̪ɑːŋɡʌnʌɪ̯
வேலைநாணயம்	ʋeːl̪ʌɪ̯n̪ɑːɳʌjʌm
தியானம்	t̪ɨjɑːnʌm
ஆடை	ʔɑːɖʌɪ̯
பழம்பாடம்	pʌɻʌmbɑːɖʌm
சதை	sʌd̪ʌɪ̯
கல்விக்கூடம்	kʌl̪ʋɨkːuːɖʌm
குடம்	kɯɖʌm
சிருஷ்டி	sɨɾ̪ɯʂʈi
பண்டம்	pʌɳɖʌm
மதறாஸ்	mʌd̪ʌrɑːs
மந்து	mʌn̪d̪ɯ
சாளரம்	sɑːɭʌɾ̪ʌm
கதம்பகம்	kʌd̪ʌmbʌɡʌm
கார்	kɑːɾ̪
மணித்தக்காளி	mʌɳɨt̪ːʌkːɑːɭi
லங்கர்	l̪ʌŋɡʌɾ̪
உன்னம்	ʔɯnːʌm
இரை	ʔɨɾ̪ʌɪ̯
வதி	ʋʌd̪i
சிதல்	sɨd̪ʌl̪
மாங்கிஸ்	mɑːŋɡɨs
கண்டங்கத்தரி	kaɳɖəŋɡət̪ːəɾɨ
காப்ச்சா	kɑːpsːɑː
இங்ஙனம்	ʔɨŋːʌnʌm
அயோத்தி	ʔʌjoːt̪ːi
பக்கம்	pʌkːʌm
மனைவி	mʌnʌɪ̯ʋi
பெண்பால்	peɳpɑːl̪
நடிகர்	n̪ʌɖɨɡʌɾ̪
தூக்கு	t̪uːkːɯ
குரல்வளை	kɯɾ̪ʌl̪ʋʌɭʌɪ̯
உச்சரிப்பு	ʔɯsːʌɾ̪ɨpːɯ
சுரை	sɯɾ̪ʌɪ̯
படம்	pʌɖʌm
அதிகாரம்	ʔʌd̪ɨɡɑːɾ̪ʌm
சத்து	sʌt̪ːɯ
காபி	kɑːbi
காற்று	kɑːʈːɾɯ
அரசி	ʔʌɾ̪ʌsi
கூடாரம்	kuːɖɑːɾ̪ʌm
பணாகரம்	pʌɳɑːɡʌɾ̪ʌm
கடிதம்	kʌɖɨd̪ʌm
குடுவை	kɯɖɯʋʌɪ̯
அவதாரம்	ʔʌʋʌd̪ɑːɾ̪ʌm
கிருபை	kɨɾ̪ɯbʌɪ̯
திருப்பு	t̪ɨɾ̪ɯpːɯ
வங்காளம்	ʋʌŋɡɑːɭʌm
ஐதரசன்	ʔʌɪ̯t̪ʌɾ̪ʌsʌn
கன்னம்	kʌnːʌm
நிலக்கடலை	n̪ɨl̪ʌkːʌɖʌl̪ʌɪ̯
மலர்	mʌl̪ʌɾ̪
முட்டை	mɯʈːʌɪ̯
வாரம்	ʋɑːɾ̪ʌm
பதவி	pʌd̪ʌʋi
முன்னேற்றம்	mɯnːeːʈːɾʌm
ரோமம்	ɾ̪oːmʌm
புயல்	pɯjʌl̪
தன்மை	t̪ʌnmʌɪ̯
போன்றீயம்	poːnriːjʌm
பிசாசர்	pɨsɑːsʌɾ̪
விவசாயம்	ʋɨʋʌsɑːjʌm
பரங்கி	pʌɾ̪ʌŋɡi
மடுத்தல்	mʌɖɯt̪ːʌl̪
மதிப்பு	mʌd̪ɨpːɯ
அக்கச்சி	ʔʌkːʌsːi
கத்திரிணி	kʌt̪ːɨɾ̪ɨɳi
அருமை	ʔʌɾ̪ɯmʌɪ̯
தொடர்வண்டி	t̪oɖʌɾ̪ʋʌɳɖi
குழப்பம்	kɯɻʌpːʌm
பிரபை	pɨɾ̪ʌbʌɪ̯
கல்	kʌl̪
வரகு	ʋʌɾ̪ʌɡɯ
வேலை	ʋeːl̪ʌɪ̯
மைதா	mʌɪ̯t̪ɑː
வல்லேறு	ʋʌl̪ːeːrɯ
பொந்து	pon̪d̪ɯ
மாத்து	mɑːt̪ːɯ
நீலம்	n̪iːl̪ʌm
பட	pʌɖa
தோகம்	t̪oːɡʌm
நீண்டாயம்	n̪iːɳɖɑːjʌm
தேசம்	t̪eːsʌm
இலத்தீன்	ʔɨl̪ʌt̪ːiːn
தாய்மொழி	t̪ɑːjmoɻi
சதுரங்கம்	sʌd̪ɯɾ̪ʌŋɡʌm
எருமை	ʔeɾ̪ɯmʌɪ̯
மேயல்	meːjʌl̪
மான்	mɑːn
வரம்	ʋʌɾ̪ʌm
ஆணையம்	ʔɑːɳʌɪ̯jʌm
மேகம்	meːɡʌm
பூகண்டம்	puːɡʌɳɖʌm
இந்தி	ʔɨn̪d̪i
சிதர்	sɨd̪ʌɾ̪
சின்ன	sɨnːa
பெரியோன்	peɾ̪ɨjoːn
புதுச்சேரி	pɯd̪ɯsːeːɾ̪i
அப்படி	ʔʌpːʌɖi
உணர்த்தி	ʔɯɳʌɾ̪t̪ːi
உண்டாக்கு	ʔɯɳɖɑːkːɯ
கிரி	kɨɾ̪i
முருங்கை	mɯɾ̪ɯŋɡʌɪ̯
கிறிஸ்துமஸ்	kɨrɨst̪ɯmʌs
பறப்பன்	pʌrʌpːʌn
பலாப்பழம்	pʌl̪ɑːpːʌɻʌm
நெஞ்சு	n̪eɲd͡ʑɯ
வேலைவாங்கு	ʋeːl̪ʌɪ̯ʋɑːŋɡɯ
சினை	sɨnʌɪ̯
மேசை	meːsʌɪ̯
ஸார்த்தகம்	sɑːɾ̪t̪ːʌɡʌm
புறா	pɯrɑː
நாக்கு	n̪ɑːkːɯ
ரூபாய்	ɾ̪uːbɑːj
பர்வதம்	pʌɾ̪ʋʌd̪ʌm
நதிகேள்வன்	n̪ʌd̪ɨɡeːɭʋʌn
வருக்கணம்	ʋʌɾ̪ɯkːʌɳʌm
பளு	pʌɭɯ
பிசாசன்	pɨsɑːsʌn
பெருக்கம்	peɾ̪ɯkːʌm
சொந்த	son̪d̪a
பிறவிக்கடல்	pɨrʌʋɨkːʌɖʌl̪
வேண்டிய	ʋeːɳɖɨja
அது	ʔʌd̪ɯ
மேஜை	meːd͡ʑʌɪ̯
ருசரகம்	ɾ̪ɯsʌɾ̪ʌɡʌm
அந்நின்று	ʔʌn̪ːɨnrɯ
சர்ச்சை	sʌɾ̪sːʌɪ̯
அண்ணா	ʔʌɳːɑː
போற்று	poːʈːɾɯ
மணல்	mʌɳʌl̪
நதி	n̪ʌd̪i
மெய்யெழுத்து	mejːeɻɯt̪ːɯ
சுவாசியா	sɯʋɑːsɨjɑː
ஆயுதம்	ʔɑːjɯd̪ʌm
குடும்பம்	kɯɖɯmbʌm
இளம்பிறை	ʔɨɭʌmbɨrʌɪ̯
தளர்ச்சி	t̪ʌɭʌɾ̪sːi
அசர்	ʔʌsʌɾ̪
துப்பல்	t̪ɯpːʌl̪
தவளை	t̪ʌʋʌɭʌɪ̯
பூரணமி	puːɾ̪ʌɳʌmi
கோடரி	koːɖʌɾ̪i
மரக்கட்டை	mʌɾ̪ʌkːʌʈːʌɪ̯
கூடம்	kuːɖʌm
தெஹரான்	t̪ehʌɾ̪ɑːn
கணுமருது	kʌɳɯmʌɾ̪ɯd̪ɯ
தான்	t̪ɑːn
மறுபரிசீலனை	mʌrɯbʌɾ̪ɨsiːl̪ʌnʌɪ̯
நிமிஷம்	n̪ɨmɨʂʌm
வல்லுரம்	ʋʌl̪ːɯɾ̪ʌm
வரப்பு	ʋʌɾ̪ʌpːɯ
வழி	ʋʌɻi
கோடிமுனை	koːɖɨmɯnʌɪ̯
அம்பரம்	ʔʌmbʌɾ̪ʌm
நூலகம்	n̪uːl̪ʌɡʌm
சிதறியம்	sɨd̪ʌrɨjʌm
அரண்மனை	ʔʌɾ̪ʌɳmʌnʌɪ̯
சூரியன்	suːɾ̪ɨjʌn
பீர்க்கம்	piːɾ̪kːʌm
சின்னக்கரடி	sɨnːʌkːʌɾ̪ʌɖi
அரிசி	ʔʌɾ̪ɨsi
ரிஷி	ɾ̪ɨʂi
சாயங்காலம்	sɑːjʌŋɡɑːl̪ʌm
அபிஷேகம்	ʔʌbɨʂeːɡʌm
பாரதம்	pɑːɾ̪ʌd̪ʌm
தள்ளை	t̪ʌɭːʌɪ̯
பாட்டி	pɑːʈːi
மறை	mʌrʌɪ̯
பறவை	pʌrʌʋʌɪ̯
குளியல்	kɯɭɨjʌl̪
வெல்லம்	ʋel̪ːʌm
கண்	kʌɳ
பங்களா	pʌŋɡʌɭɑː
பின்லாந்து	pɨnl̪ɑːn̪d̪ɯ
யார்	jɑːɾ̪
தாளித்தல்	t̪ɑːɭɨt̪ːʌl̪
குளிர்மை	kɯɭɨɾ̪mʌɪ̯
மகரந்தம்	mʌɡʌɾ̪ʌn̪d̪ʌm
கவிதை	kʌʋɨd̪ʌɪ̯
அல்	ʔʌl̪
பசு	pʌsɯ
அருக்கன்வீதி	ʔʌɾ̪ɯkːʌnʋiːd̪i
குறங்கு	kɯrʌŋɡɯ
கல்வி	kʌl̪ʋi
கருவி	kʌɾ̪ɯʋi
கொண்டாட்டம்	koɳɖɑːʈːʌm
கிழக்கு	kɨɻʌkːɯ
கோட்டம்	koːʈːʌm
இப்பொழுது	ʔɨpːoɻɯd̪ɯ
எடுத்துக்காட்டு	ʔeɖɯt̪ːɯkːɑːʈːɯ
வகு	ʋʌɡɯ
மருந்துக்கடை	mʌɾ̪ɯn̪d̪ɯkːʌɖʌɪ̯
தலைமாறு	t̪ʌl̪ʌɪ̯mɑːrɯ
குணிப்பு	kɯɳɨpːɯ
இரசிதம்	ʔɨɾ̪ʌsɨd̪ʌm
நாங்கள்	n̪ɑːŋɡʌɭ
நெய்ப்பு	n̪ejpːɯ
பழக்கம்	pʌɻʌkːʌm
அபிமானம்	ʔʌbɨmɑːnʌm
பிசினி	pɨsɨni
சுனாமி	sɯnɑːmi
இந்த	ʔɨn̪d̪a
கொல்லற்றுவேலை	kol̪ːʌʈːɾɯʋeːl̪ʌɪ̯
விண்மீன்	ʋɨɳmiːn
தொழிற்சாலை	t̪oɻɨrsɑːl̪ʌɪ̯
நட்சத்திரம்	n̪ʌʈsʌt̪ːɨɾ̪ʌm
சோபானம்	soːbɑːnʌm
ரம்பம்	ɾ̪ʌmbʌm
வங்கி	ʋʌŋɡi
பேராசிரியர்	peːɾ̪ɑːsɨɾ̪ɨjʌɾ̪
துவக்கு	t̪ɯʋʌkːɯ
அகங்காரம்	ʔʌɡʌŋɡɑːɾ̪ʌm
கோடாலி	koːɖɑːl̪i
மக	mʌɡa
மூளை	muːɭʌɪ̯
எலும்பு	ʔel̪ɯmbɯ
இடப்பெயர்	ʔɨɖʌpːejʌɾ̪
கழுவு	kʌɻɯʋɯ
ஆயுள்	ʔɑːjɯɭ
தம்பம்	t̪ʌmbʌm
ஞானம்	ɲɑːnʌm
தீமுறி	t̪iːmɯri
பஞ்சாப்	pʌɲd͡ʑɑːp
திரவம்	t̪ɨɾ̪ʌʋʌm
உயிர்த்தெழு	ʔɯjɨɾ̪t̪ːeɻɯ
காகம்	kɑːɡʌm
சிரித்தை	sɨɾ̪ɨt̪ːʌɪ̯
பெயர்ச்சி	pejʌɾ̪sːi
வரடம்	ʋʌɾ̪ʌɖʌm
பல்வலம்	pʌl̪ʋʌl̪ʌm
அமைதி	ʔʌmʌɪ̯t̪i
சேர்ப்பு	seːɾ̪pːɯ
பெயர்	pejʌɾ̪
மனம்	mʌnʌm
செடிகொடி	seɖɨɡoɖi
தேசீயவியக்கம்	t̪eːsiːjʌʋɨjʌkːʌm
பெயலை	pejʌl̪ʌɪ̯
பிகுபண்ணுதல்	pɨɡɯbʌɳːɯd̪ʌl̪
செவ்வனம்	seʋːʌnʌm
மாட்டு	mɑːʈːɯ
முட்டாள்	mɯʈːɑːɭ
அடர்த்தி	ʔʌɖʌɾ̪t̪ːi
சூறை	suːrʌɪ̯
கத்திரி	kʌt̪ːɨɾ̪i
இத்தனை	ʔɨt̪ːʌnʌɪ̯
அந்தண்டை	ʔʌn̪d̪ʌɳɖʌɪ̯
பிசங்குதல்	pɨsʌŋɡɯd̪ʌl̪
அறம்	ʔʌrʌm
தேர்ச்சி	t̪eːɾ̪sːi
இருமல்	ʔɨɾ̪ɯmʌl̪
உபோதம்	ʔɯboːd̪ʌm
கணையாழி	kʌɳʌɪ̯jɑːɻi
அப்பம்	ʔʌpːʌm
புலி	pɯl̪i
பழிச்சு	pʌɻɨsːɯ
நிகழ்ச்சி	n̪ɨɡʌɻsːi
இழிவு	ʔɨɻɨʋɯ
இரைப்பை	ʔɨɾ̪ʌɪ̯pːʌɪ̯
நிலம்	n̪ɨl̪ʌm
திருப்புகை	t̪ɨɾ̪ɯpːɯɡʌɪ̯
புடவை	pɯɖʌʋʌɪ̯
கர்நாடகம்	kʌɾ̪n̪ɑːɖʌɡʌm
சமயம்	sʌmʌjʌm
ஒப்புகை	ʔopːɯɡʌɪ̯
ருப்புலக்கை	ɾ̪ɯpːɯl̪ʌkːʌɪ̯
உணர்ச்சி	ʔɯɳʌɾ̪sːi
பாம்பு	pɑːmbɯ
இலங்கை	ʔɨl̪ʌŋɡʌɪ̯
சாப்பாட்டுக்கடை	sɑːpːɑːʈːɯkːʌɖʌɪ̯
உருத்திரன்	ʔɯɾ̪ɯt̪ːɨɾ̪ʌn
அப்பா	ʔʌpːɑː
துயில்	t̪ɯjɨl̪
அம்பு	ʔʌmbɯ
சென்னை	senːʌɪ̯
அடிமை	ʔʌɖɨmʌɪ̯
எல்லை	ʔel̪ːʌɪ̯
ஸாஹுகார்	sɑːhɯɡɑːɾ̪
ஆய்வு	ʔɑːjʋɯ
சமவெளி	sʌmʌʋeɭi
நோக்காடு	n̪oːkːɑːɖɯ
சுற்றுச்சூழல்	sɯʈːɾɯsːuːɻʌl̪
கணக்கியல்	kʌɳʌkːɨjʌl̪
மெய்யியல்	mejːɨjʌl̪
சொல்வளம்	sol̪ʋʌɭʌm
ஆசிரியர்	ʔɑːsɨɾ̪ɨjʌɾ̪
பாறை	pɑːrʌɪ̯
தொற்று	t̪oʈːɾɯ
ஆமை	ʔɑːmʌɪ̯
வலங்கம்	ʋʌl̪ʌŋɡʌm
செந்தமிழ்	sen̪d̪ʌmɨɻ
குண்டம்	kɯɳɖʌm
பிங்கலகேசி	pɨŋɡʌl̪ʌɡeːsi
நாடா	n̪ɑːɖɑː
பனாயிப்பு	pʌnɑːjɨpːɯ
காளான்	kɑːɭɑːn
மேய்ச்சல்	meːjsːʌl̪
சலவைக்காரர்	sʌl̪ʌʋʌɪ̯kːɑːɾ̪ʌɾ̪
நட்டம்	n̪ʌʈːʌm
உறல்	ʔɯrʌl̪
எழுத்து	ʔeɻɯt̪ːɯ
கைப்பை	kʌɪ̯pːʌɪ̯
நகரம்	n̪ʌɡʌɾ̪ʌm
வார்த்தை	ʋɑːɾ̪t̪ːʌɪ̯
மிளகு	mɨɭʌɡɯ
பங்குரம்	pʌŋɡɯɾ̪ʌm
வாகடம்	ʋɑːɡʌɖʌm
சத்திரம்	sʌt̪ːɨɾ̪ʌm
பின்னிரக்கம்	pɨnːɨɾ̪ʌkːʌm
ஆடல்	ʔɑːɖʌl̪
கிராம்பு	kɨɾ̪ɑːmbɯ
அறிவு	ʔʌrɨʋɯ
சதகுப்பி	sadəɣʉpːɨ
ஆறு	ʔɑːrɯ
இங்குஷேத்தியா	ʔɨŋɡɯʂeːt̪ːɨjɑː
வியாழம்	ʋɨjɑːɻʌm
செச்சினியா	sesːɨnɨjɑː
கனவு	kʌnʌʋɯ
கிழவி	kɨɻʌʋi
கனடா	kʌnʌɖɑː
ஆயிட்டு	ʔɑːjɨʈːɯ
தங்கை	t̪ʌŋɡʌɪ̯
விஷாதம்	ʋɨʂɑːd̪ʌm
சினேகம்	sɨneːɡʌm
ராஜீயவாதி	ɾ̪ɑːd͡ʑiːjʌʋɑːd̪i
அடிக்கடி	ʔʌɖɨkːʌɖi
மாரிகாலம்	mɑːɾ̪ɨɡɑːl̪ʌm
ஸாலியானா	sɑːl̪ɨjɑːnɑː
உத்தரி	ʔɯt̪ːʌɾ̪i
நேர்வு	n̪eːɾ̪ʋɯ
அலர்த்தி	ʔʌl̪ʌɾ̪t̪ːi
விளக்கு	ʋɨɭʌkːɯ
கவிஞர்	kʌʋɨɲʌɾ̪
அடங்கு	ʔʌɖʌŋɡɯ
வலசை	ʋʌl̪ʌsʌɪ̯
கள்ளம்	kʌɭːʌm
கணவன்	kʌɳʌʋʌn
கிளம்பினவேலை	kɨɭʌmbɨnʌʋeːl̪ʌɪ̯
மொழிபெயர்ப்பு	moɻɨbejʌɾ̪pːɯ
மா	mɑː
மயில்	mʌjɨl̪
வன்முறை	ʋʌnmɯrʌɪ̯
வலுப்பு	ʋʌl̪ɯpːɯ
முகை	mɯɡʌɪ̯
உதவி	ʔɯd̪ʌʋi
கோளாறு	koːɭɑːrɯ
படிவம்	pʌɖɨʋʌm
அடிமுடி	ʔʌɖɨmɯɖi
ஈகை	ʔiːɡʌɪ̯
வினைவியம்	ʋɨnʌɪ̯ʋɨjʌm
யோசனை	joːsʌnʌɪ̯
நீண்மை	n̪iːɳmʌɪ̯
தலைவன்	t̪ʌl̪ʌɪ̯ʋʌn
அவர்	ʔʌʋʌɾ̪
ஐநூறு	ʔʌɪ̯n̪uːrɯ
மறுக்கம்	mʌrɯkːʌm
சமாதானம்	sʌmɑːd̪ɑːnʌm
கத்திரிக்காய்	kʌt̪ːɨɾ̪ɨkːɑːj
போது	poːd̪ɯ
பயம்	pʌjʌm
மூடு	muːɖɯ
வடக்கு	ʋʌɖʌkːɯ
இட்டம்	ʔɨʈːʌm
நாட்டாண்மை	n̪ɑːʈːɑːɳmʌɪ̯
அம்மா	ʔʌmːɑː
சினகர்	sɨnʌɡʌɾ̪
மஞ்சள்முள்ளங்கி	mʌɲd͡ʑʌɭmɯɭːʌŋɡi
பிசனம்	pɨsʌnʌm
விதி	ʋɨd̪i
அகற்று	ʔʌɡʌʈːɾɯ
பவ்வம்	pʌʋːʌm
துருக்மெனிஸ்தான்	t̪ɯɾ̪ɯkmenɨst̪ɑːn
வினவு	ʋɨnʌʋɯ
மெல்லிய	mel̪ːɨja
விமானம்	ʋɨmɑːnʌm
கன்று	kʌnrɯ
விலை	ʋɨl̪ʌɪ̯
அணியம்	ʔʌɳɨjʌm
உலகம்	ʔɯl̪ʌɡʌm
எரிமலை	ʔeɾ̪ɨmʌl̪ʌɪ̯
வேம்பு	ʋeːmbɯ
இரவு	ʔɨɾ̪ʌʋɯ
முலை	mɯl̪ʌɪ̯
அவதி	ʔʌʋʌd̪i
அவ்	ʔʌʋ
எங்கு	ʔeŋɡɯ
வயல்	ʋʌjʌl̪
சர்வத்திர	sʌɾ̪ʋʌt̪ːɨɾ̪a
கறி	kʌri
குமிழி	kɯmɨɻi
செயசூறை	sejʌsuːrʌɪ̯
பாப்பா	pɑːpːɑː
குடல்வால்	kɯɖʌl̪ʋɑːl̪
விநாடி	ʋɨn̪ɑːɖi
பிங்கம்	pɨŋɡʌm
பாவிப்பு	pɑːʋɨpːɯ
இயேசு	ʔɨjeːsɯ
பருவதம்	pʌɾ̪ɯʋʌd̪ʌm
வாய்க்கால்	ʋɑːjkːɑːl̪
கித்தார்	kɨt̪ːɑːɾ̪
மிகுதல்	mɨɡɯd̪ʌl̪
பசளி	pʌsʌɭi
குண்டி	kɯɳɖi
கடற்கரை	kʌɖʌrkʌɾ̪ʌɪ̯
புசிப்பு	pɯsɨpːɯ
மண்டலம்	mʌɳɖʌl̪ʌm
உன்னு	ʔɯnːɯ
குங்கிலியம்	kɯŋɡɨl̪ɨjʌm
செம்பு	sembɯ
வங்கிக்கடன்	ʋʌŋɡɨkːʌɖʌn
பிரிவு	pɨɾ̪ɨʋɯ
மாய்ச்சி	mɑːjsːi
