ajornor	ad͡ʒornɔr
dormetinti	dormetinti
mizero	mizero
organizati	orɡanizati
axoloto	aksoloto
desklozar	desklozar
agnoskus	aɡnoskus
horlojo	horlod͡ʒo
equilibronta	ekvilibronta
exasperate	eksasperate
ingrediento	inɡredi̯ɛnto
modo	mɔdɔ
persekutar	persekutar
stufoto	stufoto
abandonir	abandonir
gramo	ɡramo
partisi	partisi
signifiki	siɡnifiki
boliis	boliis
teorbi	teorbi
atentante	atentante
equilibronte	ekvilibronte
granizir	ɡranizir
globeto	ɡlobeto
enkorpigito	enkorpiɡito
sisos	sisɔs
agnoskote	aɡnoskote
kurato	kurato
dekano	dekano
kustumo	kustumo
abordar	abɔrdar
bico	bit͡so
exasperote	eksasperote
stadio	stadio
jornar	ʒornar
fluktuar	fluktuar
chanjinti	t͡ʃanʒinti
artokarpo	artokarpo
transitiva	transitiva
cernar	t͡sernar
abrikoto	abrikoto
etikala	etikala
fromajo	fromaʒo
legiono	leɡjono
standardo	standardo
helico	helit͡so
ipsa	ipsa
rivereti	rivereti
shamigos	ʃamiɡɔs
akompananti	akompananti
alejas	aleʒas
hiere	hiere
apertanti	apertanti
tentite	tentite
espisto	ɛspisto
jonko	ʒonko
t	t
explikus	eksplikus
dorsi	dorsi
nomo	nɔmɔ
faciligar	fat͡siliɡar
praktikala	praktikala
exuduro	eɡzuduro
mencionote	ment͡si̯onote
fotografinte	fotoɡrafinte
artificala	artifit͡sala
agavo	aɡavo
aplikoti	aplikoti
vivoza	vivoza
cesigonti	t͡sesiɡonti
abatinte	abatinte
monumenti	monumenti
nomo	nomo
sulfido	sulfido
nazi	nazi
arjenti	ard͡ʒenti
trompar	trompar
enoyar	enojar
dezirar	dezirar
balono	balono
fotografis	fotoɡrafis
subordinita	subordinita
banano	bananɔ
teritorio	teritori̯o
agnoskati	aɡnoskati
koncerne	kont͡serne
quik	kwik
laxigez	laksiɡɛz
homardi	homardi
abatonti	abatonti
kakao	kakao
babilachez	babilat͡ʃɛs
animas	animas
sorgonti	sorɡonti
monopolo	monopolo
tradukala	tradukala
predicar	predit͡sar
helpote	helpote
pupi	pupi
sponjo	sponʒo
projetato	proʒetato
acioni	at͡sjoni
abatanti	abatanti
personalizar	personalizar
boko	boko
kodexo	kodekso
mencioniti	ment͡si̯oniti
vakuo	vakuo
izobaro	izobaro
modo	modo
aceptus	at͡septus
kabaneto	kabaneto
pronuncebla	pronunt͡sebla
atingota	atinɡota
pendar	pɛndaɾ
abandonoti	abandonoti
temporalo	tɛmporalo
mondolinguala	mondolinɡwala
te	tɛ
aranjos	aranʒɔs
jetito	ʒetito
tormentor	tormentɔr
organizante	orɡanizante
enkorpigonti	enkorpiɡonti
kunvivebla	kunvivebla
developar	developar
fotografinti	fotoɡrafinti
ofensanta	ofensanta
lakrimifar	lakrimifar
apelis	apelis
linguistiko	linɡuwistiko
desklozez	desklozɛs
stufar	stufar
kontonti	kontonti
aceptante	at͡septante
musketo	musketo
biomekanismo	biomekanismo
kontanti	kontanti
pacema	pat͡sema
kunlaboranti	kunlaboranti
derivar	derivar
muziki	muziki
ajornez	ad͡ʒornɛs
citata	t͡sitata
nuco	nut͡so
agnoskoto	aɡnoskoto
ilu	ilu
manipular	manipular
tentanta	tentanta
aceptinta	at͡septinta
sublimis	sublimis
sinkar	siŋkar
nukleolo	nukleolo
parolar	parɔlar
exasperonti	eksasperonti
degenerar	deɡenerar
objekti	obd͡ʒekti
regenerante	reɡenerante
maxim	maɡzim
kunlaboronte	kunlaboronte
tentus	tentus
kaviaro	kaviaro
perturbez	perturbɛs
diferar	diferar
exasperati	eksasperati
donajo	donaʒo
legiono	leɡiono
koquante	kokvante
repudiis	repudiis
usa	usa
surpozez	surpozɛs
precipua	pret͡sipua
mineralo	mineralo
koquas	kokvas
je	ʒɛ
palio	pali̯o
b	b
agnoskas	aɡnoskas
radio	radio
buletini	buletini
akuzato	akuzato
apartamenti	apartamenti
kreskigar	krɛskiɡar
favorinta	favorinta
helpate	helpate
charioto	t͡ʃaɾiɔtɔ
pensez	pensɛs
mieltempo	mi̯ɛltɛmpo
saturez	saturɛz
eroris	eroris
dizastri	dizastri
grelar	ɡrelar
agnoskinti	aɡnoskinti
prejudiko	preʒudiko
partoprenar	partoprenar
lektar	lektar
evolucionez	evolut͡si̯onɛz
celerio	t͡seleri̯o
kantar	kantar
enkorpigis	enkorpiɡis
festinanti	festinanti
enkorpigati	enkorpiɡati
komprar	komprar
mustar	mustar
separis	separis
tormentata	tormentata
helpus	helpus
kunlaboror	kunlaborɔr
senci	sent͡si
mano	mano
stufonto	stufonto
arjento	arʒento
se	se
shildo	ʃildo
gracioza	ɡrat͡sioza
esinto	esinto
papaveri	papaveri
superba	superba
kand	kand
helpota	helpota
feto	feto
aplikati	aplikati
vertuo	vertuo
jornomezi	ʒornomezi
litiganti	litiɡanti
mencionante	ment͡si̯onante
enkorpigato	enkorpiɡato
de	de
enkorpigor	enkorpiɡɔr
chanjanti	t͡ʃand͡ʒanti
quantesala	kwantesala
sandalo	sandalo
filtrir	filtrir
equilibrinti	ekvilibrinti
cirkumaji	t͡sirkumad͡ʒi
kantez	kantɛz
rozea	rozea
favorar	favorar
koquati	kokvati
projetonte	proʒetonte
skikuronte	skikuronte
saturanto	saturanto
humida	humida
skrachar	skrat͡ʃar
skrubturnili	skrubturnili
sika	sika
festinir	festinir
bonveno	bonveno
jornomezo	d͡ʒornomezo
atentor	atentɔr
saciar	sat͡si̯ar
fabriki	fabriki
raspus	raspus
akompanir	akompanir
kilometro	kilometro
dop	dop
disciplinonti	dist͡siplinonti
frapite	frapite
nodo	nodo
tamtamo	tamtamo
judiko	d͡ʒudiko
vespereskinta	vespereskinta
unionar	unionar
gravitar	ɡravitar
lezar	lezar
oficios	ofit͡si̯ɔs
probar	probar
ponto	ponto
inicio	init͡sjo
pekunioza	pekunjoza
manjaji	manʒaʒi
helpar	helpar
abrejar	abreʒar
turbano	turbano
bestio	bestjo
darfas	darfas
stufite	stufite
evaluar	ɛvaluaɾ
imaginanta	imaɡinanta
prezidos	prezidɔs
nivelo	nivelo
plubeligar	plubeliɡar
koncesi	kont͡sesi
gravitis	ɡravitis
ordinara	ordinara
anticipez	antit͡sipɛz
kunlaborez	kunlaborɛz
monteto	monteto
promenite	promenite
asfalto	asfalto
tentonti	tentonti
adoptota	adoptota
atentate	atentate
interviuvar	intervjuvar
cirkumskribor	t͡sirkumskribɔr
shaminda	ʃaminda
kantus	kantus
produktar	pɾɔduktaɾ
stadio	stadiɔ
babilachar	babilat͡ʃar
insultar	insultar
datumo	datumo
faligar	faliɡar
sorgante	sorɡante
trahizonto	trahizonto
intermixi	intermiɡzi
litigonta	litiɡonta
delegiti	deleɡiti
jetonto	d͡ʒetonto
boliigos	boliiɡɔs
apologiar	apoloɡjar
demonstranti	demonstranti
kreskigar	kreskiɡar
naturi	naturi
vestono	vestono
regresis	reɡresis
magnezio	maɡnezi̯o
adoptoto	adoptoto
binoklo	binoklo
memorus	memorus
analoga	analoɡa
bastonagar	bastonaɡar
periodo	periodo
juntos	ʒuntɔs
ne	nɛ
indukto	indukto
filtras	filtras
judikoti	d͡ʒudikoti
apartamento	apartamento
mencioninti	ment͡si̯oninti
oficiar	ofit͡si̯ar
ajornor	aʒornɔr
dicanti	dit͡santi
apertas	apertas
akuzis	akuzis
hueto	hueto
komplezema	komplezema
favorato	favorato
apelante	apelante
aquirar	akvirar
il	il
voluntez	voluntɛs
perkutas	perkutas
gravitonta	ɡravitonta
vildo	vildo
juveli	ʒuveli
equilibranto	ekvilibranto
mencioninte	ment͡si̯oninte
laudanti	lau̯danti
bakanti	bakanti
laboristo	laboristo
stufota	stufota
atingus	atinɡus
projetinte	prod͡ʒetinte
rezistiva	rezistiva
printempo	pɾintɛmpɔ
boliigis	boliiɡis
bakota	bakota
koquonto	kokwonto
stufonti	stufonti
adpozez	adpozɛz
honesta	honesta
fabrikir	fabrikir
equilibrata	ekvilibrata
pozez	pozɛz
mokado	mokado
joyo	ʒojo
organizonto	orɡanizonto
deskovrar	deskovrar
deputinti	deputinti
raspinti	raspinti
inicio	init͡sio
kauciono	kau̯t͡si̯ono
weldar	weldar
frapote	frapote
imaginonto	imaɡinonto
granizor	ɡranizɔr
poniardo	poni̯ardo
figuro	fiɡuɾɔ
fabrikis	fabrikis
guidas	ɡvidas
fortiganti	fortiɡanti
urbestro	urbestro
abandonoto	abandonoto
v	v
likonte	likonte
monto	monto
apelez	apelɛs
trovebla	trovebla
kantinto	kantinto
monako	monako
parko	parko
saturanti	saturanti
shamigar	ʃamiɡar
refraktor	refraktɔr
umbiliko	umbiliko
exasperanti	eɡzasperanti
exteraji	eɡzterad͡ʒi
juntos	d͡ʒuntɔs
miligrami	miliɡrami
jetanto	ʒetanto
perturbis	perturbis
naskar	naskar
pasinta	pasinta
maligna	maliɡna
docar	dot͡sar
adopto	adopto
aranjez	arand͡ʒɛs
exasperite	eɡzasperite
frivoleso	frivoleso
pensonti	pensonti
fola	fola
abundanto	abundanto
indikilo	indikilo
equilibronte	eku̯ilibronte
likito	likito
konsilar	konsilar
brido	brido
vidar	vidar
delicio	delit͡sio
potato	potato
censurez	t͡sensurɛs
fanfaronado	fanfaronado
nomi	nomi
stufato	stufato
natar	natar
bandajizonte	bandaʒizonte
bakoti	bakoti
rezumis	rezumis
fortigez	fortiɡɛz
polo	polo
jokar	d͡ʒokar
ego	eɡo
frapez	frapɛs
atingi	atinɡi
abandononti	abandononti
juntar	d͡ʒuntar
quante	kwantɛ
kontante	kontante
koquero	kokvero
leonini	leonini
adoros	adorɔs
eceptar	et͡septar
fortiginti	fortiɡinti
skribez	skribɛs
plantacar	plantat͡sar
judikanto	d͡ʒudikanto
hefo	hefo
citez	t͡sitɛz
mencionanta	ment͡si̯onanta
sociologo	sot͡si̯oloɡo
mondumala	mɔndumala
abolisati	abolisati
tombeyo	tombeyo
bisquito	biskvito
deputati	deputati
prezidanta	prezidanta
fantazias	fantazi̯as
kapro	kapro
abrikoto	abrikɔtɔ
sat	sat
venti	venti
me	me
konceso	kont͡seso
aceptati	at͡septati
saloni	saloni
puritani	puritani
juvelisto	ʒuvelisto
glavi	ɡlavi
trahizote	trahizote
bastoneto	bastoneto
equilibrar	ekvilibrar
sisar	sisar
buxo	buɡzo
envolvos	envolvɔs
fundamentisti	fundamentisti
rideto	rideto
fanatikeso	fanatikeso
festinonte	festinonte
kalkular	kalkular
herdo	hɛɾdɔ
proletario	proletarjo
festininto	festininto
arjenti	arʒenti
ludar	ludar
kunlaborinte	kunlaborinte
moruo	moruo
kreitaro	kreitaro
liki	liki
tostar	tostar
algebro	alɡebro
grafika	ɡrafika
arjenta	ard͡ʒenta
laktumo	laktumo
gratitudo	ɡratitudo
exasperor	eɡzasperɔr
repugnar	repuŋɡar
ajornar	aʒornar
europa	ɛwɾɔpa
aceptita	at͡septita
apen	apen
arkitekto	arkitɛkto
memoroto	memoroto
datumi	datumi
judiciar	d͡ʒudit͡si̯ar
ca	tsa
mamuto	mamuto
lonchi	lont͡ʃi
explikez	eɡzplikɛs
alejis	aleʒis
fotografanta	fotoɡrafanta
junipero	d͡ʒunipero
sisez	sisɛz
bandajizonti	bandaʒizonti
idioto	idioto
susteno	susteno
sisinti	sisinti
saturoti	saturoti
dio	dio
desorganizor	desorɡanizɔr
strokar	strokar
termo	tɛɾmɔ
plumolito	plumolito
gramatiki	ɡramatiki
amortisar	amɔrtisar
exutorio	eksutori̯o
aktorulo	aktorulo
equilibros	eku̯ilibrɔs
refraktos	refraktɔs
transiro	transiro
judikanto	ʒudikanto
atingito	atinɡito
uzenda	uzenda
jenjivo	d͡ʒend͡ʒivo
morui	morui
alelo	alelo
akompanota	akompanota
fairo	fairo
fervoyi	fervoji
regenerinti	reɡenerinti
verki	verki
genuo	ɡenwo
kloko	kloko
strandar	strandar
aktiva	aktiva
desorganizonte	desorɡanizonte
m	m
adherar	adherar
kantinta	kantinta
iras	iras
bakonti	bakonti
skio	skio
senkapigar	senkapiɡar
akuzanti	akuzanti
bonvolo	bonvolo
adicionar	adit͡si̯onar
atingoto	atinɡoto
promulgar	promulɡar
festinanta	festinanta
puteo	puteo
ociar	ot͡si̯ar
vidar	vidaɾ
rodez	rodɛs
anticipus	antit͡sipus
ebonito	ebonito
aparos	aparɔs
per	pɛɾ
vaporo	vaporo
abandononta	abandononta
c	tse
desorganizato	desorɡanizato
litigate	litiɡate
frajila	fraʒila
bisquiti	bisku̯iti
balzamino	balzamino
mondumo	mɔndumɔ
vortolibro	vɔrtolibro
amoratino	amoratino
koquati	kokwati
seciono	set͡sjono
bandajizonta	bandaʒizonta
kuto	kuto
apertor	apertɔr
fendar	fendar
enemika	enemika
citoti	t͡sitoti
nektarini	nektarini
forjas	ford͡ʒas
cirkumiroti	t͡sirkumiroti
segun	seɡun
europa	ewropa
verdajo	verdaʒo
pesimisto	pesimisto
aceptato	at͡septato
organizonta	orɡanizonta
litigota	litiɡota
citruso	t͡sitruso
anticipoti	antit͡sipoti
prezidez	prezidɛz
koquito	kokvito
ido	ido
abatez	abatɛs
festinez	festinɛs
iraco	iɾat͡so
anticipiti	antit͡sipiti
quankam	kvankam
projetanto	proʒetanto
prosternus	prosternus
anso	anso
aceptas	at͡septas
alkoholo	alkoholo
nektarino	nektarino
abnegar	abneɡar
utensilo	utɛnsilɔ
fortigonte	fortiɡonte
remediacho	remedjat͡ʃo
fatigar	fatiɡar
jeristo	ʒeristo
organismo	orɡanismo
dizastro	dizastro
likanti	likanti
guidus	ɡvidus
atentanto	atentanto
raspanta	raspanta
blezar	blezar
akuzez	akuzɛz
persuadar	persuadar
incendiato	int͡sendi̯ato
forprenar	forprenar
pamfleto	pamfleto
sama	sama
adoptoti	adoptoti
judikinto	d͡ʒudikinto
kontito	kontito
fastar	fastar
atentonte	atentonte
fantaziar	fantaziar
derivajo	derivaʒo
trahizonte	trahizonte
donajo	donad͡ʒo
kreuro	kreu̯ro
konseque	konsekve
restauranti	restau̯ranti
avantaji	avantaʒi
adoranto	adoranto
frato	frato
orkestrala	ɔrkɛstrala
specala	spet͡sala
oficianti	ofit͡si̯anti
extirpar	eɡztirpar
projetoti	prod͡ʒetoti
atentote	atentote
projetiti	prod͡ʒetiti
explikez	eksplikɛz
marto	marto
skikurinta	skikurinta
stimular	stimular
rani	rani
purpura	purpura
direktado	direktado
projetas	prod͡ʒetas
giganta	ɡiɡanta
lojar	loʒar
supo	supo
prezidonto	prezidonto
mestiero	mestjero
botanizati	botanizati
kaseri	kaseri
kruelaji	kruelaʒi
cinemo	t͡sinemo
plani	plani
albumeno	albumeno
atentati	atentati
fortigar	fortiɡar
decidonto	det͡sidonto
likir	likir
bakati	bakati
defensati	defensati
kambiar	kambjar
kansono	kansono
bona	bona
kreskar	kreskar
akompanante	akompanante
optimisto	optimisto
respektar	respektar
depos	depos
glacio	ɡlatsjo
kurar	kurar
violacar	viɔlat͡saɾ
kultelo	kultelo
venez	venɛs
tapiso	tapiso
perplexa	perpleksa
bandajizinti	bandaʒizinti
boxar	boɡzar
sisas	sisas
dispozeso	dispozeso
neopreno	neopreno
bankisto	bankisto
insultinti	insultinti
aceptanto	at͡septanto
skribate	skribate
arto	arto
nevi	nevi
latvia	latvi̯a
chanjas	t͡ʃanʒas
akompaninte	akompaninte
sundio	sundiɔ
insultante	insultante
adoptato	adoptato
haltez	haltɛz
kontota	kontota
abreviez	abrevi̯ɛz
decidos	det͡sidɔs
saturor	saturɔr
idiotismo	idiotismo
shovinismo	ʃovinismo
linguala	linɡuala
movas	movas
akompanor	akompanɔr
krucho	krut͡ʃo
parasuni	parasuni
fe	fɛ
abrevio	abrevi̯o
augmentos	au̯ɡmentɔs
adoptiti	adoptiti
evolucionigar	evolut͡si̯oniɡar
nova	nova
equilibrite	eku̯ilibrite
botanizita	botanizita
sisonta	sisonta
akompanato	akompanato
folii	folii
fotografinto	fotoɡrafinto
panoramo	panoramo
homeosexualo	homeoseksualo
jemelo	ʒemelo
palpebragar	palpebraɡar
ruro	ruro
exasperanto	eɡzasperanto
laudor	lau̯dɔr
operaco	operat͡so
kreskar	krɛskar
literaturajo	literaturaʒo
libreti	libreti
q	kwe
polemiko	polemiko
dicito	dit͡sito
memorar	memorar
tentanto	tentanto
peizajo	pei̯zaʒo
kuniklo	kuniklo
kapricema	kaprit͡sema
amiki	amiki
no	no
sublimez	sublimɛz
torto	torto
superbeso	superbeso
atingoti	atinɡoti
kultelo	kultɛlɔ
forjar	ford͡ʒar
citanto	t͡sitanto
voluntar	voluntar
krono	krono
faro	faro
konsentar	konsentar
koquoti	kokwoti
envolvis	envolvis
rezistema	rezistema
rurani	rurani
pasajar	pasad͡ʒar
paroko	paroko
dina	dina
televiziono	televiziono
elefantini	elefantini
depose	dɛpɔsɛ
ofensas	ofensas
likinta	likinta
sonji	sond͡ʒi
skribinta	skribinta
egala	eɡala
pruritar	pɾuɾitaɾ
neglijar	neɡliʒar
prejudiki	preʒudiki
lamentar	lamentar
renkontrar	renkontrar
atenti	atenti
cesigati	t͡sesiɡati
komputar	komputar
favoranto	favoranto
leonino	leonino
atentita	atentita
figo	fiɡo
desorganizote	desorɡanizote
adorinti	adorinti
nubi	nubi
espado	espado
fiancitino	fiant͡sitinɔ
ofensez	ofensɛs
xe	kse
deputir	deputir
cititi	t͡sititi
projetato	prod͡ʒetato
pikniko	pikniko
chanjiti	t͡ʃanʒiti
perturbante	perturbante
extensar	ɛkstɛnsar
oficianto	ofit͡si̯anto
oceano	ot͡seano
disimulos	disimulɔs
rezumas	rezumas
atentoto	atentoto
sorgata	sorɡata
jacar	d͡ʒat͡sar
magiisto	maɡiisto
harpuno	harpuno
recenso	ret͡sɛnso
komo	komo
likus	likus
filtrez	filtrɛz
exasperinte	eɡzasperinte
odiati	odi̯ati
violentema	violentema
adjacanta	add͡ʒat͡santa
bandajizinto	bandad͡ʒizinto
flegar	fleɡar
aperto	aperto
trahizota	trahizota
defensanto	defensanto
koquiti	kokviti
akuta	akuta
n	n
insertir	insertir
tradukenda	tradukenda
praktikez	praktikɛz
citrusfrukto	t͡sitrusfrukto
simetreso	simetreso
vidas	vidas
enkorpiganto	enkorpiɡanto
justa	d͡ʒusta
kartono	kartono
projetis	proʒetis
enkorpigiti	enkorpiɡiti
extere	ekstere
sistemo	sistemo
exasperos	eɡzasperɔs
turnir	turnir
projetar	prod͡ʒetar
exasperinta	eksasperinta
chera	t͡ʃera
dissolvo	dissolvɔ
tisuo	tisu̯o
damnis	damnis
bandajizanto	bandaʒizanto
chanjati	t͡ʃanʒati
latero	latero
distrikto	distrikto
ofico	ofit͡so
desfacilajo	desfat͡silaʒo
oficionte	ofit͡si̯onte
roko	roko
neposibla	neposibla
urano	urano
inundar	inundar
augmentas	au̯ɡmentas
superesar	superesar
feko	feko
pupei	pupei
eskadrono	eskadrono
kruelajo	kruelad͡ʒo
akutigar	akutiɡar
moderna	mɔdɛɾna
unajo	unad͡ʒo
bruiso	brui̯so
ekswichar	ekswit͡ʃar
tormentez	tormentɛs
raspita	raspita
nemediate	nemedi̯ate
tuno	tuno
desorganizota	desorɡanizota
imaginita	imaɡinita
incendios	int͡sendi̯ɔs
grozelo	ɡrozelo
retroirar	retroirar
eviero	evi̯ero
exhortar	eɡzhortar
kaulo	kau̯lo
atencar	atent͡sar
fervoroza	fervoroza
questioni	ku̯esti̯oni
liberpensisto	liberpensisto
likez	likɛs
interlukti	interlukti
bici	bit͡si
litigote	litiɡote
fatala	fatala
bordo	bordo
promulgate	promulɡate
aniono	ani̯ono
kantiti	kantiti
esinta	esinta
extera	ekstera
skribato	skribato
koquota	kokvota
linguisto	linɡuisto
desorganizita	desorɡanizita
agnoskanto	aɡnoskanto
sundio	sundio
recepcionis	ret͡sept͡si̯onis
exasperonta	eksasperonta
enkorpigos	enkorpiɡɔs
exkavar	ɛɡzkavar
sisate	sisate
vejetar	ved͡ʒetar
fotografota	fotoɡrafota
botanizanto	botanizanto
jermifar	ʒermifar
quankam	ku̯ankam
akompaniti	akompaniti
agnoskoti	aɡnoskoti
solvuri	solvuri
abrikoti	abrikoti
jenerozeso	d͡ʒenerozeso
stufajo	stufaʒo
bokotuko	bokotuko
vovar	vovar
kunlaboranto	kunlaboranto
armoro	aɾmɔɾɔ
obstino	obstino
sublimante	sublimante
abandonas	abandonas
venir	venir
projetota	proʒetota
viro	viro
laudoti	lau̯doti
bulteni	bulteni
cirkumajo	t͡sirkumaʒo
jari	ʒari
vespereskanti	vespereskanti
apertez	apertɛz
atentez	atentɛs
per	per
cedrato	t͡sedrato
pasiva	pasiva
memoranto	memoranto
voyeti	vojeti
exekuto	eksekuto
likato	likato
aspektar	aspektar
pensor	pensɔr
japonia	d͡ʒaponi̯a
recensar	ret͡sɛnsar
garnizono	ɡarnizono
skrubagar	skrubaɡar
napo	napo
glatigez	ɡlatiɡɛz
g	ɡe
kunlaboronti	kunlaboronti
adjektiva	adʒektiva
lavendo	lavendo
skribite	skribite
ofensir	ofensir
konocar	kɔnɔcar
recepcionez	ret͡sept͡si̯onɛs
ancestro	ant͡sestro
remedio	remedjo
mondolinguo	mondolinɡuo
garantii	ɡarantii
ecepte	et͡septe
fotografonti	fotoɡrafonti
mitro	mitro
kastelo	kastelo
shamigez	ʃamiɡɛs
diocezo	di̯ot͡sezo
