berendezés	bɛrɛndɛzeːʃ
oszkár	oskaːr
foszlik	foslik
katonára	kɒtonaːrɒ
sztereoszkóp	stɛrɛoskoːp
kiadásban	kijɒdaːʒbɒn
villamosszék	vilːɒmoʃseːk
megakadályozni	mɛɡɒkɒdaːjozni
legegyetemesebb	lɛɡɛɟɛtɛmɛʃɛbː
ganéjok	ɡɒneːjok
janicsár	jɒnit͡ʃaːr
találmányai	tɒlaːlmaːɲɒji
magyarosítás	mɒɟɒroʃiːtaːʃ
sírépítmény	ʃiːreːpiːtmeːɲ
mellékvesekérgek	mɛlːeːkvɛʃɛkeːrɡɛk
izgalmak	izɡɒlmɒk
útlevél	uːtlɛveːl
pávák	paːvaːk
sorsotok	ʃorʃotok
alanyokká	ɒlɒɲokːaː
dologig	doloɡiɡ
legközvetlenebbül	lɛkːøzvɛtlɛnɛbːyl
székesegyházak	seːkɛʃɛchaːzɒk
kaland	kɒlɒnd
májkapugyűjtőér	maːjkɒpuɟyːjtøːjeːr
szalmakalapod	sɒlmɒkɒlɒpod
ölel	ølɛl
kicsoda	kit͡ʃodɒ
vaddisznó	vɒdːisnoː
tágulékony	taːɡuleːkoɲ
legszámítóbb	lɛksaːmiːtoːbː
afganisztáni	ɒvɡɒnistaːni
elgépel	ɛlɡeːpɛl
bevásárol	bɛvaːʃaːrol
kacajok	kɒt͡sɒjok
azé	ɒzeː
vonzzátok	vonzaːtok
irányíts	iraːɲiːt͡ʃː
tabletta	tɒblɛtːɒ
stílusok	ʃtiːluʃok
ukránia	ukraːnijɒ
villáktól	vilːaːktoːl
alakokból	ɒlɒkoɡboːl
legijedtebb	lɛɡijɛtːɛbː
játsszad	jaːt͡sːɒd
démon	deːmon
felmosok	fɛlmoʃok
gondtalanabbul	ɡontɒlɒnɒbːul
kerékpárok	kɛreːkpaːrok
mérnének	meːrneːnɛk
hitelek	hitɛlɛk
tanterveik	tɒntɛrvɛjik
fűts	fyːt͡ʃː
tirátok	tiraːtok
felett	fɛlɛtː
folyamatos	fojɒmɒtoʃ
füstölög	fyʃtøløɡ
mohák	moɦaːk
ártatlanabb	aːrtɒtlɒnɒbː
húsvéthétfő	huːʃveːtheːtføː
áfium	aːfijum
fáradhatatlan	faːrɒthɒtɒtlɒn
botanikusok	botɒnikuʃok
sarkantyús	ʃɒrkɒɲcuːʃ
művészetek	myːveːsɛtɛk
ügynök	yɟnøk
ütitek	ytitɛk
néptánc	neːptaːnt͡s
szmokingok	smokiŋɡok
licsik	lit͡ʃik
árnyékok	aːrɲeːkok
almája	ɒlmaːjɒ
nevében	nɛveːbɛn
szenderül	sɛndɛryl
nyakszirt	ɲɒksirt
körültekintés	køryltɛkinteːʃ
freskó	frɛʃkoː
hídnál	hiːdnaːl
hű	hyː
másnak	maːʃnɒk
groteszk	ɡrotɛsk
bárónők	baːroːnøːk
csalj	t͡ʃɒjː
oldalakkal	oldɒlɒkːɒl
adottakként	ɒdotːɒkːeːnt
egyikektől	ɛɟːikɛktøːl
bee	bɛɛ
vélük	veːlyk
rendellenességek	rɛndɛlːɛnɛʃːeːɡɛk
cseresznyemag	t͡ʃɛrɛsɲɛmɒɡ
zsákmányol	ʒaːkmaːɲol
csörgőbb	t͡ʃørɡøːbː
agyonüt	ɒɟonyt
vezetékek	vɛzɛteːkɛk
koronavírustól	koronɒviːruʃtoːl
cukornád	t͡sukornaːd
főzelék	føːzɛleːk
bármikor	baːrmikor
leányanya	lɛaːɲɒɲɒ
arábiai	ɒraːbijɒji
ortopéd	ortopeːd
autista	ɒutiʃtɒ
rotring	rotriŋɡ
kivonat	kivonɒt
bornak	bornɒk
ett	ɛtː
folyományok	fojomaːɲok
tájra	taːjrɒ
karvalybagoly	kɒrvɒjbɒɡoj
variál	vɒrijaːl
javaslatok	jɒvɒʃlɒtok
zajom	zɒjom
telefonokat	tɛlɛfonokɒt
márka	maːrkɒ
váltott	vaːltotː
általad	aːltɒlɒd
délibábot	deːlibaːbot
kempingszék	kɛmpiŋkseːk
liliomfehér	lilijoɱfɛɦeːr
néhányról	neːɦaːɲroːl
egyed	ɛɟɛd
alkákat	ɒlkaːkɒt
férfi	feːrfi
sorsaként	ʃorʃɒkeːnt
jutó	jutoː
fülről	fyrːøːl
uruguay	uruɡvaːj
lexikológia	lɛksikoloːɡijɒ
szeretnéd	sɛrɛtneːd
vonzanotok	vonzɒnotok
tetszett	tɛt͡sːɛtː
dalszövegtől	dɒlsøvɛktøːl
elkötelezett	ɛlkøtɛlɛzɛtː
kotlik	kotlik
fogsz	foks
hivatkozás	hivɒtkozaːʃ
ellj	ɛjː
hörgőt	hørɡøːt
evangélikusok	ɛvɒŋɡeːlikuʃok
gyönyörűbb	ɟøɲøryːbː
elválaszt	ɛlvaːlɒst
abakuszból	ɒbɒkuzboːl
inflációellenes	iɱflaːt͡sijoːɛlːɛnɛʃ
elnökjelöltségek	ɛlnøkjɛlølt͡ʃeːɡɛk
választást	vaːlɒstaːʃt
oktalan	oktɒlɒn
szívmelengető	siːvmɛlɛŋɡɛtøː
ladik	lɒdik
nyakú	ɲɒkuː
amelytől	ɒmɛjtøːl
modor	modor
leggyanúsabb	lɛɡɟɒnuːʃɒbː
ámen	aːmːɛn
ernyő	ɛrɲøː
kopaszok	kopɒsok
izzad	izːɒd
ájul	aːjul
adómentességek	ɒdoːmɛntɛʃːeːɡɛk
fogom	foɡom
hol	hol
gyalogátkelőhelyek	ɟɒloɡaːtkɛløːɦɛjɛk
balerinazokni	bɒlɛrinɒzokni
négyzetszám	neːɟzɛt͡sːaːm
harmadszor	hɒrmɒt͡sːor
balhék	bɒlɦeːk
határig	hɒtaːriɡ
táncolnak	taːnt͡solnɒk
mérné	meːrneː
denevért	dɛnɛveːrt
csinálni	t͡ʃinaːlni
vastagszik	vɒʃtɒksik
legelméletibb	lɛɡɛlmeːlɛtibː
folytatás	fojtɒtaːʃ
dajkákká	dɒjkaːkːaː
lépés	leːpeːʃ
ugrók	uɡroːk
ebédet	ɛbeːdɛt
alábbszáll	ɒlaːpsaːlː
zenélünk	zɛneːlyŋk
készebb	keːsɛbː
itassál	itɒʃːaːl
ingoványos	iŋɡovaːɲoʃ
archeológusok	ɒrɦɛoloːɡuʃok
lábadozik	laːbɒdozik
egyenlő	ɛɟːɛnløː
kérniük	keːrnijyk
ösztrogének	østroɡeːnɛk
akárkire	ɒkaːrkirɛ
valamiken	vɒlɒmikɛn
tuberkulózis	tubɛrkuloːziʃ
maradok	mɒrɒdok
adu	ɒdu
rehabilitációk	rɛɦɒbilitaːt͡sijoːk
csataló	t͡ʃɒtɒloː
csatok	t͡ʃɒtok
sántikál	ʃaːntikaːl
panaszkönyv	pɒnɒskøɲv
legegyedibb	lɛɡɛɟɛdibː
csipketerítő	t͡ʃipkɛtɛriːtøː
negyvennégy	nɛɟvɛnːeːɟ
konzervei	konzɛrvɛji
törékenyebb	tøreːkɛɲɛbː
környezetében	kørɲɛzɛteːbɛn
ügyeket	yɟɛkɛt
hajt	hɒjt
boldogságban	boldokʃaːɡbɒn
hátfal	haːtfɒl
alkalmazni	ɒlkɒlmɒzni
közlekedések	køzlɛkɛdeːʃɛk
taget	tɛɡɛt
másnál	maːʃnaːl
iparokat	ipɒrokɒt
kémény	keːmeːɲ
kapjam	kɒpjɒm
avarjaid	ɒvɒrjɒjid
egyszerűbben	ɛcsɛryːbːɛn
imádás	imaːdaːʃ
tireátok	tirɛaːtok
huzat	huzɒt
küldened	kyldɛnɛd
eseményre	ɛʃɛmeːɲrɛ
bámul	baːmul
mosnotok	moʃnotok
tíkfák	tiːkfaːk
bombardíroz	bombɒrdiːroz
cédrusfákat	t͡seːdruʃfaːkɒt
részedre	reːsɛdrɛ
mocsarakat	mot͡ʃɒrɒkɒt
reggelizik	rɛɡːɛlizik
panaszotok	pɒnɒsotok
tájképek	taːjkeːpɛk
számviteli	saːɱvitɛli
élsz	eːls
korrekt	korːɛkt
idegrendszer	idɛɡrɛnt͡sɛr
kertig	kɛrtiɡ
merénylet	mɛreːɲlɛt
sárgadinnye	ʃaːrɡɒdiɲːɛ
alkunk	ɒlkuŋk
kétell	keːtɛlː
dekoratívabb	dɛkorɒtiːvɒbː
protektorátusok	protɛktoraːtuʃok
igazgató	iɡɒzɡɒtoː
córesz	t͡soːrɛs
kisfröccs	kiʃfrøt͡ʃː
bugyog	buɟoɡ
alkén	ɒlkeːn
görbe	ɡørbɛ
tértetek	teːrtɛtɛk
szebbik	sɛbːik
síbajnok	ʃiːbɒjnok
menetel	mɛnɛtɛl
professzora	profɛsːorɒ
fejék	fɛjeːk
kávéházak	kaːveːɦaːzɒk
parkok	pɒrkok
lecsendesül	lɛt͡ʃɛndɛʃyl
címen	t͡siːmɛn
vadat	vɒdɒt
szabvány	sɒbvaːɲ
változása	vaːltozaːʃɒ
alább	ɒlaːbː
olyanban	ojɒmbɒn
költségvetés	kølt͡ʃeːɡvɛteːʃ
elvetemültebb	ɛlvɛtɛmyltɛbː
vettem	vɛtːɛm
gravitációs	ɡrɒvitaːt͡sijoːʃ
tárgyilagosság	taːrɟilɒɡoʃːaːɡ
lakocskák	lɒkot͡ʃkaːk
éltet	eːltɛt
égzengés	eːɡzɛŋɡeːʃ
oltalmaz	oltɒlmɒz
nézés	neːzeːʃ
jenkinek	jɛŋkinɛk
web	vɛb
érméim	eːrmeːjim
tartanál	tɒrtɒnaːl
muhar	muɦɒr
kifejezőbb	kifɛjɛzøːbː
kakaós	kɒkɒoːʃ
kapszula	kɒpsulɒ
beágyaz	bɛaːɟɒz
lávalámpájuk	laːvɒlaːmpaːjuk
étkezőasztal	eːtkɛzøːɒstɒl
túra	tuːrɒ
lakótelep	lɒkoːtɛlɛp
őreájuk	øːrɛaːjuk
interpretációk	intɛrprɛtaːt͡sijoːk
őszibb	øːsibː
kötéllétra	køteːlːeːtrɒ
alávágás	ɒlaːvaːɡaːʃ
krizantémok	krizɒnteːmok
sprőd	ʃprøːd
favágó	fɒvaːɡoː
éji	eːji
rágj	raːɡʝ
épül	eːpyl
hangulatban	hɒŋɡulɒdbɒn
tűkön	tyːkøn
csillapszik	t͡ʃilːɒpsik
merészségű	mɛreːʃːeːɡyː
fakul	fɒkul
hajlandó	hɒjlɒndoː
legkorosabb	lɛkːoroʃɒbː
garbó	ɡɒrboː
izgató	izɡɒtoː
vigyétek	viɟeːtɛk
állam	aːlːɒm
é	eː
felfelé	fɛlfɛleː
legsajátosabb	lɛkʃɒjaːtoʃɒbː
köszönsz	køsøns
legköltőibb	lɛkːøltøːjibː
árpád	aːrpaːd
tartottuk	tɒrtotːuk
szenvedőbb	sɛɱvɛdøːbː
alatt	ɒlɒtː
szarvashibájuk	sɒrvɒʃhibaːjuk
alkáim	ɒlkaːjim
mélyebb	meːjɛbː
csuklótól	t͡ʃukloːtoːl
kazla	kɒzlɒ
pontot	pontot
felhasználónév	fɛlɦɒsnaːloːneːv
kamaszig	kɒmɒsiɡ
