აღმოუფხვრელი	ɑɣmɔupʰxvrɛli
ძიება	d͡ziɛbɑ
დასამშვიდებლად	dɑsɑmʃvidɛblɑd
მცხეთა	mt͡sxɛtʰɑ
სახრახნისი	sɑxrɑxnisi
საგანძური	sɑɡɑnd͡zuri
ძამაშვილი	d͡zɑmɑʃvili
კლასმა	kʼlɑsmɑ
კენკრა	kʼɛnkʼrɑ
ურჩხული	urt͡ʃxuli
ოცდათოთხმეტი	ɔt͡sdɑtʰɔtʰxmɛtʼi
წინადადება	t͡sʼinɑdɑdɛbɑ
მოხდა	mɔxdɑ
აზბესტი	ɑzbɛstʼi
სიდიდე	sididɛ
დაუფარავი	dɑupʰɑrɑvi
შეუთავსებლად	ʃɛutʰɑvsɛblɑd
ფარული	pʰɑruli
მუნდშტუკი	mundʃtʼukʼi
დღეღამე	dɣɛɣɑmɛ
მორცხვობა	mɔrt͡sxvɔbɑ
რამდენიმე	rɑmdɛnimɛ
ბენინი	bɛnini
მასე	mɑsɛ
რეჰანს	rɛhɑns
ყიყინებს	qʼiqʼinɛbs
ზომვადი	zɔmvɑdi
კონვექცია	kʼɔnvɛkʰt͡siɑ
სუბსიდია	subsidiɑ
უნივერსიტეტით	univɛrsitʼɛtʼitʰ
მერკანტილური	mɛrkʼɑntʼiluri
მოგრძო	mɔɡrd͡zɔ
შეფასება	ʃɛpʰɑsɛbɑ
კალამი	kʼɑlɑmi
სვავი	svɑvi
მაზლი	mɑzli
შეივსო	ʃɛivsɔ
სასაცილოდ	sɑsɑt͡silɔd
გამძლეობა	ɡɑmd͡zlɛɔbɑ
გონივრულობა	ɡɔnivrulɔbɑ
გაახურებს	ɡɑɑxurɛbs
დოსიე	dɔsiɛ
არაწესიერი	ɑrɑt͡sʼɛsiɛri
წოვა	t͡sʼɔvɑ
უზრდელად	uzrdɛlɑd
ტურბულენტურად	tʼurbulɛntʼurɑd
აქლემი	ɑkʰlɛmi
ტავერნა	tʼɑvɛrnɑ
იდუმალება	idumɑlɛbɑ
სპა	spʼɑ
წიწაკა	t͡sʼit͡sʼɑkʼɑ
სიბოროტე	sibɔrɔtʼɛ
ასატანი	ɑsɑtʼɑni
აღელვებული	ɑɣɛlvɛbuli
აკუთა	ɑkʼutʰɑ
ხაზავს	xɑzɑvs
ფქვილოვანი	pʰkʰvilɔvɑni
რუსეთი	rusɛtʰi
თავზარი	tʰɑvzɑri
გამოძახება	ɡɑmɔd͡zɑxɛbɑ
ექსჰუმაცია	ɛkʰshumɑt͡siɑ
ფოტოგრაფიული	pʰɔtʼɔɡrɑpʰiuli
სექციით	sɛkʰt͡siitʰ
ხრინწიანი	xrint͡sʼiɑni
გეგმა	ɡɛɡmɑ
ეშმა	ɛʃmɑ
ხოხისმიერად	xɔxismiɛrɑd
დონკიხოტურად	dɔnkʼixɔtʼurɑd
დიეზი	diɛzi
ორბიტა	ɔrbitʼɑ
სპორტულად	spʼɔrtʼulɑd
ესპანეთმა	ɛspʼɑnɛtʰmɑ
ჰკითხე	hkʼitʰxɛ
იგავი	iɡɑvi
პასქა	pʼɑskʰɑ
სოლარიუმი	sɔlɑriumi
უმანკო	umɑnkʼɔ
აპირებს	ɑpʼirɛbs
კვერცხები	kʼvɛrt͡sxɛbi
კინამო	kʼinɑmɔ
ბალადა	bɑlɑdɑ
პაპიზმი	pʼɑpʼizmi
ნახვრეტი	nɑxvrɛtʼi
ავღანელი	ɑvɣɑnɛli
ქრისტიანობა	kʰristʼiɑnɔbɑ
გრუხუნით	ɡruxunitʰ
ხელსაყრელი	xɛlsɑqʼrɛli
ამოზნექილი	ɑmɔznɛkʰili
ქირა	kʰirɑ
დამატებითი	dɑmɑtʼɛbitʰi
გადაწერს	ɡɑdɑt͡sʼɛrs
ინტენსიურად	intʼɛnsiurɑd
ამერიკელი	ɑmɛrikʼɛli
კონცენტრული	kʼɔnt͡sɛntʼruli
მტირალი	mtʼirɑli
ქიმიური	kʰimiuri
ჯანმრთელობა	d͡ʒɑnmrtʰɛlɔbɑ
კარბუნკული	kʼɑrbunkʼuli
ცეცხლი	t͡sɛt͡sxli
კურწი	kʼurt͡sʼi
ევფემიზმი	ɛvpʰɛmizmi
სიცხარე	sit͡sxɑrɛ
ალმატი	ɑlmɑtʼi
გამომგონებელი	ɡɑmɔmɡɔnɛbɛli
ინტერიერი	intʼɛriɛri
კაპიტალი	kʼɑpʼitʼɑli
ნათება	nɑtʰɛbɑ
სივრცე	sivrt͡sɛ
ფინანსურად	pʰinɑnsurɑd
ოსლო	ɔslɔ
ჩალიჩობა	t͡ʃɑlit͡ʃɔbɑ
აკრძალვა	ɑkʼrd͡zɑlvɑ
გრძნეული	ɡrd͡znɛuli
სტრატოსფერო	stʼrɑtʼɔspʰɛrɔ
სიკარგე	sikʼɑrɡɛ
ფრჩხილი	pʰrt͡ʃxili
მენსტრუაცია	mɛnstʼruɑt͡siɑ
მუხანათური	muxɑnɑtʰuri
ხარისხად	xɑrisxɑd
აზარტული	ɑzɑrtʼuli
კარადა	kʼɑrɑdɑ
შერჩეული	ʃɛrt͡ʃɛuli
ორთოპედიული	ɔrtʰɔpʼɛdiuli
ლეგატი	lɛɡɑtʼi
პირველი	pʼirvɛli
სპონსორი	spʼɔnsɔri
სარჩელი	sɑrt͡ʃɛli
ჩაშენებული	t͡ʃɑʃɛnɛbuli
სამწუხარო	sɑmt͡sʼuxɑrɔ
დეგენერატი	dɛɡɛnɛrɑtʼi
სქელკანიანი	skʰɛlkʼɑniɑni
მაჰმადიანური	mɑhmɑdiɑnuri
ცისარტყელა	t͡sisɑrtʼqʼɛlɑ
ბიოგრაფიული	biɔɡrɑpʰiuli
ნათელა	nɑtʰɛlɑ
მტკიცედ	mtʼkʼit͡sɛd
კომპლექსური	kʼɔmpʼlɛkʰsuri
ბუქსირება	bukʰsirɛbɑ
არქიტექტურულად	ɑrkʰitʼɛkʰtʼurulɑd
არსი	ɑrsi
ორთქლი	ɔrtʰkʰli
ცელულოიდი	t͡sɛlulɔidi
შულერი	ʃulɛri
ბასკი	bɑskʼi
სტუმრობა	stʼumrɔbɑ
ეპიდიასკოპი	ɛpʼidiɑskʼɔpʼi
ბიმეტალური	bimɛtʼɑluri
რეაქტორი	rɛɑkʰtʼɔri
კვადრატულად	kʼvɑdrɑtʼulɑd
კოსმონავტიკა	kʼɔsmɔnɑvtʼikʼɑ
თანასწორი	tʰɑnɑst͡sʼɔri
უწესობა	ut͡sʼɛsɔbɑ
მორგვი	mɔrɡvi
ლიკანი	likʼɑni
იანკი	iɑnkʼi
ათბობს	ɑtʰbɔbs
დისკი	diskʼi
ვინები	vinɛbi
სკოლას	skʼɔlɑs
ცერემონია	t͡sɛrɛmɔniɑ
ულვაში	ulvɑʃi
წერა	t͡sʼɛrɑ
მანგო	mɑnɡɔ
მეანი	mɛɑni
პანდა	pʼɑndɑ
ბარჯი	bɑrd͡ʒi
პრაქტიკა	pʼrɑkʰtʼikʼɑ
სინანული	sinɑnuli
პითონი	pʼitʰɔni
ირიგაცია	iriɡɑt͡siɑ
ლაინერი	lɑinɛri
საყვარლები	sɑqʼvɑrlɛbi
ვეფხვი	vɛpʰxvi
პროვოკატორი	pʼrɔvɔkʼɑtʼɔri
კოწახური	kʼɔt͡sʼɑxuri
ბზობა	bzɔbɑ
ტროპი	tʼrɔpʼi
ოპერა	ɔpʼɛrɑ
სინჯი	sind͡ʒi
სულელური	sulɛluri
კასტეტი	kʼɑstʼɛtʼi
ადრიანი	ɑdriɑni
აფთიაქი	ɑpʰtʰiɑkʰi
სამართალმა	sɑmɑrtʰɑlmɑ
ინგრედიენტი	inɡrɛdiɛntʼi
ჭვირი	t͡ʃʼviri
ჯაყვა	d͡ʒɑqʼvɑ
თუთუბო	tʰutʰubɔ
ეტყობა	ɛtʼqʼɔbɑ
მანდოლინა	mɑndɔlinɑ
ჟილეტი	ʒilɛtʼi
ფილტვი	pʰiltʼvi
გამოსყიდვა	ɡɑmɔsqʼidvɑ
არაბინარული	ɑrɑbinɑruli
აქილევსი	ɑkʰilɛvsi
კეთება	kʼɛtʰɛbɑ
თავხედობა	tʰɑvxɛdɔbɑ
მაგარი	mɑɡɑri
რაზმები	rɑzmɛbi
ხელმძღვანელობა	xɛlmd͡zɣvɑnɛlɔbɑ
ხეებო	xɛɛbɔ
მძარცველურად	md͡zɑrt͡svɛlurɑd
გოგოებით	ɡɔɡɔɛbitʰ
პოზიტივიზმი	pʼɔzitʼivizmi
ხელმა	xɛlmɑ
არსენალი	ɑrsɛnɑli
ნორმალური	nɔrmɑluri
იდეოლოგიური	idɛɔlɔɡiuri
ციგურა	t͡siɡurɑ
დეფისი	dɛpʰisi
ფეკალია	pʰɛkʼɑliɑ
ვენტილაცია	vɛntʼilɑt͡siɑ
ლანდი	lɑndi
პარაპეტი	pʼɑrɑpʼɛtʼi
გამხდრად	ɡɑmxdrɑd
ძალით	d͡zɑlitʰ
სახელზმნა	sɑxɛlzmnɑ
მეჭეჭი	mɛt͡ʃʼɛt͡ʃʼi
ბარბადოსი	bɑrbɑdɔsi
მძივისებრი	md͡zivisɛbri
აქანა	ɑkʰɑnɑ
ოვაცია	ɔvɑt͡siɑ
ილი	ili
ღიპიანი	ɣipʼiɑni
მგონია	mɡɔniɑ
ხედავს	xɛdɑvs
საექიმო	sɑɛkʰimɔ
მატიანე	mɑtʼiɑnɛ
რეფორმა	rɛpʰɔrmɑ
ტოპოგრაფია	tʼɔpʼɔɡrɑpʰiɑ
სამკუთხედი	sɑmkʼutʰxɛdi
ქურდულად	kʰurdulɑd
ამბავი	ɑmbɑvi
ვერანდა	vɛrɑndɑ
ჯენი	d͡ʒɛni
შესწავლა	ʃɛst͡sʼɑvlɑ
ზეითუნი	zɛitʰuni
ღწევა	ɣt͡sʼɛvɑ
ადიულტერი	ɑdiultʼɛri
პროტოზოა	pʼrɔtʼɔzɔɑ
ჩრჩილი	t͡ʃrt͡ʃili
ბაქტერიული	bɑkʰtʼɛriuli
გუამი	ɡuɑmi
იდიომატურად	idiɔmɑtʼurɑd
ვეწევი	vɛt͡sʼɛvi
ეკონომიურად	ɛkʼɔnɔmiurɑd
ცხრაჯერ	t͡sxrɑd͡ʒɛr
თავისუფლება	tʰɑvisupʰlɛbɑ
ფოსფორი	pʰɔspʰɔri
ნათარგმნი	nɑtʰɑrɡmni
ზურგზე	zurɡzɛ
უბანი	ubɑni
იუნესკომ	iunɛskʼɔm
თეზამი	tʰɛzɑmi
ვაკანსია	vɑkʼɑnsiɑ
გამჭვირვალე	ɡɑmt͡ʃʼvirvɑlɛ
ვიტალიზმი	vitʼɑlizmi
ბრძოლამ	brd͡zɔlɑm
ზორვა	zɔrvɑ
სივიწროვე	sivit͡sʼrɔvɛ
იოჰანესბურგი	iɔhɑnɛsburɡi
სიცივე	sit͡sivɛ
გნომი	ɡnɔmi
იმედისმომცემად	imɛdismɔmt͡sɛmɑd
სამუდამოდ	sɑmudɑmɔd
შინ	ʃin
სახელწოდებას	sɑxɛlt͡sʼɔdɛbɑs
სისტემა	sistʼɛmɑ
ივნისი	ivnisi
ინდექსი	indɛkʰsi
სპორადულად	spʼɔrɑdulɑd
მთიანი	mtʰiɑni
ხენი	xɛni
ბრძნული	brd͡znuli
ასჯერ	ɑsd͡ʒɛr
ლხინი	lxini
ინდუსური	indusuri
უქნარა	ukʰnɑrɑ
მარა	mɑrɑ
დამწვრობა	dɑmt͡sʼvrɔbɑ
მოუსვენრად	mɔusvɛnrɑd
წვრილმანი	t͡sʼvrilmɑni
აუცილებელი	ɑut͡silɛbɛli
თბილისმა	tʰbilismɑ
დიალექტიკა	diɑlɛkʰtʼikʼɑ
სომხეთად	sɔmxɛtʰɑd
ბრაზიანად	brɑziɑnɑd
შეფასებადი	ʃɛpʰɑsɛbɑdi
თორემ	tʰɔrɛm
დიასახლისი	diɑsɑxlisi
აკრძალვითი	ɑkʼrd͡zɑlvitʰi
წაულა	t͡sʼɑulɑ
სოფელმა	sɔpʰɛlmɑ
ნესტო	nɛstʼɔ
ადამი	ɑdɑmi
მსგავსება	msɡɑvsɛbɑ
ცარცი	t͡sɑrt͡si
კლავიატურას	kʼlɑviɑtʼurɑs
ბაბთა	bɑbtʰɑ
ბეგრავს	bɛɡrɑvs
დაზღვევა	dɑzɣvɛvɑ
რიტმულად	ritʼmulɑd
მეტყველი	mɛtʼqʼvɛli
ანთროპოიდი	ɑntʰrɔpʼɔidi
ფრაკი	pʰrɑkʼi
შეუღწევადი	ʃɛuɣt͡sʼɛvɑdi
ვიკინგი	vikʼinɡi
დატბორილი	dɑtʼbɔrili
სენიორი	sɛniɔri
სახარება	sɑxɑrɛbɑ
სიტკბო	sitʼkʼbɔ
დამანგრეველი	dɑmɑnɡrɛvɛli
სამოცდაშვიდი	sɑmɔt͡sdɑʃvidi
წრფელი	t͡sʼrpʰɛli
ვაფლი	vɑpʰli
ინტერნაციონალურად	intʼɛrnɑt͡siɔnɑlurɑd
კავკასია	kʼɑvkʼɑsiɑ
თარო	tʰɑrɔ
ტროგლოდიტი	tʼrɔɡlɔditʼi
ხტომა	xtʼɔmɑ
თრითინა	tʰritʰinɑ
დური	duri
ცოლისძმა	t͡sɔlisd͡zmɑ
დინამიკი	dinɑmikʼi
სიზუსტე	sizustʼɛ
ბატი	bɑtʼi
ფინალი	pʰinɑli
მევახშეობა	mɛvɑxʃɛɔbɑ
დამფუძნებელი	dɑmpʰud͡znɛbɛli
პიკანტური	pʼikʼɑntʼuri
ნემსიწვერა	nɛmsit͡sʼvɛrɑ
კეთილშობილი	kʼɛtʰilʃɔbili
პრუსიული	pʼrusiuli
კორინთული	kʼɔrintʰuli
დაივიწყებს	dɑivit͡sʼqʼɛbs
შეიძლება	ʃɛid͡zlɛbɑ
ღრიალებს	ɣriɑlɛbs
კეთროვნები	kʼɛtʰrɔvnɛbi
ერთობლივად	ɛrtʰɔblivɑd
სტერილიზაცია	stʼɛrilizɑt͡siɑ
პრეზიდიუმი	pʼrɛzidiumi
შეგროვებული	ʃɛɡrɔvɛbuli
ერისკაცი	ɛriskʼɑt͡si
საფეხბურთო	sɑpʰɛxburtʰɔ
აბრაგი	ɑbrɑɡi
ქურდობა	kʰurdɔbɑ
აუცილებლად	ɑut͡silɛblɑd
პირსახოცი	pʼirsɑxɔt͡si
მოიგეთ	mɔiɡɛtʰ
კონტროლი	kʼɔntʼrɔli
კლონი	kʼlɔni
მანდ	mɑnd
ეროზია	ɛrɔziɑ
უიღბლო	uiɣblɔ
ცოტათი	t͡sɔtʼɑtʰi
გაზრდილიყო	ɡɑzrdiliqʼɔ
მილედი	milɛdi
ნიადაგი	niɑdɑɡi
ქრისტიანი	kʰristʼiɑni
ფონეტიკა	pʰɔnɛtʼikʼɑ
მორფოლოგიური	mɔrpʰɔlɔɡiuri
გამოდიან	ɡɑmɔdiɑn
თეორეტიკოსი	tʰɛɔrɛtʼikʼɔsi
კანიბალიზმი	kʼɑnibɑlizmi
ალერგიული	ɑlɛrɡiuli
შერჩევით	ʃɛrt͡ʃɛvitʰ
ცურვა	t͡survɑ
სიყრუე	siqʼruɛ
დრუიდი	druidi
არ	ɑr
ქერტლი	kʰɛrtʼli
სიფერმკრთალე	sipʰɛrmkʼrtʰɑlɛ
თავშეყუკავებლად	tʰɑvʃɛqʼukʼɑvɛblɑd
ხონჩა	xɔnt͡ʃɑ
ფუჩური	pʰut͡ʃuri
აბსტრაქტულად	ɑbstʼrɑkʰtʼulɑd
გამოუთქმელად	ɡɑmɔutʰkʰmɛlɑd
სინიორი	siniɔri
მეძავი	mɛd͡zɑvi
რაჭა	rɑt͡ʃʼɑ
მწყერი	mt͡sʼqʼɛri
ავტოსტოპად	ɑvtʼɔstʼɔpʼɑd
პასატი	pʼɑsɑtʼi
ივანე	ivɑnɛ
ტარიგი	tʼɑriɡi
დემაგოგია	dɛmɑɡɔɡiɑ
კრიტიკული	kʼritʼikʼuli
ურჩად	urt͡ʃɑd
გადავიხდი	ɡɑdɑvixdi
ნევროლოგი	nɛvrɔlɔɡi
მზიანი	mziɑni
აკვნებით	ɑkʼvnɛbitʰ
ლაიმი	lɑimi
არაოფიციალური	ɑrɑɔpʰit͡siɑluri
წვა	t͡sʼvɑ
აოთხმაგებს	ɑɔtʰxmɑɡɛbs
ძიძიშვილი	d͡zid͡ziʃvili
ფოსგენი	pʰɔsɡɛni
დამატკბობელი	dɑmɑtʼkʼbɔbɛli
შარიშური	ʃɑriʃuri
ერქვანი	ɛrkʰvɑni
შარშანდელი	ʃɑrʃɑndɛli
სკაფანდრი	skʼɑpʰɑndri
ბარდი	bɑrdi
უგულებელყოფა	uɡulɛbɛlqʼɔpʰɑ
აივნიანი	ɑivniɑni
პროვინცი	pʼrɔvint͡si
საშო	sɑʃɔ
შეავსებს	ʃɛɑvsɛbs
მონოგრამა	mɔnɔɡrɑmɑ
საბოდიშოდ	sɑbɔdiʃɔd
ბანგლადეში	bɑnɡlɑdɛʃi
სარჩული	sɑrt͡ʃuli
მუნჯად	mund͡ʒɑd
კურსანტი	kʼursɑntʼi
მეფით	mɛpʰitʰ
ქულა	kʰulɑ
კინოაპარატი	kʼinɔɑpʼɑrɑtʼi
დედამიწა	dɛdɑmit͡sʼɑ
