خطابت	xətˈaːbət
نورا	nˈuːraː
الشان	alʃˈaːn
ووٹرلسٹوں	ʋˌoːʈərəlˈʌsʈõː
جوکوئی	ɟoːkˈoːi
فطرے	fˈɪθreː
بیرئیر	bˌeːrˈiːr
کومتنازعہ	kˌoːmətnaːzˈaːa
ایمبولینس	ˌeːmboːlˈiːns
طلب	tˈʌləb
بھلے	bʰˈʌleː
لہان	ləhˈaːn
گرڈکے	ɡˈʌrɖəkˌeː
ہوان	haʋˈaːn
کابھرپور	kˌaːbʰərpˈoːr
ڈاکیارڈ	ɖaːkjˈaːrɖ
کہاجاتا	kˌəhaːɟˈaːtaː
معیار	maːjˈaːr
کردا	kˈʌrdaː
انقلابی	ˌɪnqɪlˈaːbi
جبری	ɟˈʌbrˌiː
کلچر	kˈalcar
ڈیفالٹ	ɖeːfˈaːlʈ
اورہر	ˈoːrəhˌər
شیطان	ʃeːtˈaːn
مسافرآٹھ	mˌʊsaːfɪrˈaːʈʰ
گردپاکستان	ɡˌərdəpˌaːkɪstˈaːn
وری	ʋˈʌri
پرہوتاہے	pˌərhoːtˈaːheː
مرغیوں	mˈʊrɣiˌõː
پرچھاپہ	pərcʰˈaːpˌa
فلائیڈ	fˌəlaːˈiːɖ
یونان	jɔnˈaːn
مواخذہ	maʋˈaːxəza
وپانی	ʋəpˈaːni
کواب	kaʋˈaːb
گھرانہ	ɡʰərˈaːnˌa
کلوز	kəlˈoːz
صدرالدین	ʂˌədrˌaːldˈiːn
مزمت	mˈʌzəmˌət
پھٹنے	pʰˈʌʈnˌeː
اصناف	ˌaʂnˈaːf
خواہمشند	xʋˌaːhəməʃˈʌnd
بجا	bˈʌɟaː
بحرالکاہل	bˌəhərˌaːlkˈaːhəl
تھم	tʰˈʌm
پراے	pərˈaːeː
مغویہ	məɣʋˈiːa
کنکشنوں	kˈʌnəkˌəʃnˌõː
ٹاٹا	ʈˈaːʈaː
تینتیس	tˌeːntˈiːs
اڑے	ˈar.eː
جانز	ɟˈaːnəz
فشر	fˈʌʃər
گوتم	ɡˈoːtəm
بسے	bˈʌseː
آشوتوش	ˌaːʃoːtˈoːʃ
خواہ	xʋˈaːa
چھری	cʰˈʌri
لیکس	lˈiːks
ریحانہ	reːhˈaːnˌa
ہیںجو	hˈẽɟoː
ہیںجن	hˈẽɟən
غیراخلاقی	ɣˌeːraːxlˈaːqi
آپشن	ˈaːpəʃˌən
ڈمپنگ	ɖˈʌmpɪnɡ
نیزہ	nˈeːzˌa
ناخواندگی	naːxʋˈaːndəɡˌiː
گھمبیر	ɡʰəmbˈiːr
شہر	ʃˈɛhɛr
مطلقہ	mʊtlˈaqa
باراتی	baːrˈaːti
اپیل	apˈiːl
جیکر	ɟˈeːkər
اشتہار	ˌɪʃtɪhˈaːr
انعاما	ɪnˈaːmaː
تجربے	taɟˈarbeː
پوٹاش	poːʈˈaːʃ
بنتاہے	bˌəntˈaːheː
سرشام	sˌərʃˈaːm
آلودہ	aːlˈuːda
سپاٹ	səpˈaːʈ
پرلگی	pˈʌrəlɡi
کریملن	kərˈiːməlˌən
کمپائونڈ	kˌəmpaːˈoːnɖ
وبالا	ʋəbˈaːlaː
دوکانیں	doːkˈaːnẽː
کوریوگرافر	kˌoːreːˌoːɡrˈaːfɪr
ٹب	ʈˈʌb
ریگولیشنز	rˌeːɡoːleːʃˈanz
ہووہاں	haʋˈoːhãː
سکولز	səkˈoːləz
ہنگامے	hˌənɡˈaːmeː
انسدا	ˈɪnsɪdˌaː
نسپل	nˈʌsəpˌəl
منوانے	mənʋˈaːneː
محسنوں	mˈoːhsˌɪnõː
سیز	sˈeːz
جوبلی	ɟˈoːblˌiː
اداے	adˈaːeː
عرا	ˈaraː
مالیتی	mˌaːliˈati
رحجان	rˌəhəɟˈaːn
بابو	bˈaːboː
پرسیکیورٹی	pˌərsˌiːkeːˈoːrʈi
دھڑا	dʰˈʌr.aː
سنگل	sˈʌnəɡˌəl
زرغون	zˌərɣˈuːn
کوخصوصی	kˌoːxʂˈoːʂi
افرادزیرحراست	ˌafrˌaːdzˌiːrəhərˈaːst
جمہویت	ɟˌəmhˌoːiˈat
چوٹیوں	cˈoːʈiˌõː
اغوابرائے	ˈaɣʋaːbraːˌeː
تماشے	təmˈaːʃeː
درجنوں	dˌarɟanˈoːn
بوسنیا	boːsˈʌnjaː
لیاجارہا	ljaːɟˈaːrhˌaː
دیونہ	deːˈoːnˌa
پسران	pˌəsrˈaːn
شپنگ	ʃˈʌpənɡ
مسالے	məsˈaːleː
بناء	bˈʌnaː
فرضیت	fˈarziˌat
معلوماتی	mˈaːluːmˌaːti
رکیٹ	rəkˈiːʈ
ویٹ	ʋˈeːʈ
کفالت	kəfˈaːlət
ابھریں	ˈʊbhrẽː
حبشی	hˈʌbʃˌiː
ہیرے	hˈiːreː
اوشین	oːʃˈiːn
لاوروف	lˌaːʋrˈoːf
لورالائی	lˌoːraːlˈaːi
ناشتا	nˈaːʃtˌaː
میٹروپولیٹن	mˌeːʈrˌoːpoːlˈiːʈən
حکمت	hɪkmˈat
یابی	jˈaːbi
بھیس	bʰˈeːs
یاداشت	jaːdˈaːʃt
تیزاب	teːzˈaːb
نشا	nˈʌʃaː
لنزے	lˈʌnzˌeː
کرسچن	kˈʌrəsˌəcən
دھڑکنے	dʰˈʌr.əkneː
جائیں	ɟˈaːẽː
رہوں	rˈahũː
فش	fˈʌʃ
متولی	mˌʊtaʋˈalli
یاتریوں	jˈaːtrˌiõː
پشیمانی	pˌəʃimˈaːni
نستا	nˈʌstˌaː
اٹھتے	ˈʊʈʰteː
فقط	faqˈat
مقابلو	mʊqˈaːbɪlˌoː
پار	pˈaːr
پرکنٹرول	pˌərəkˌənəʈrˈoːl
دعائیں	dʊˈaːẽː
گلاس	ɡlˈaːs
آئسکریم	ˈaːɪsˌəkrˌiːm
بیوروکریٹ	bˌeːoːrˌoːkrˈiːʈ
نیک	nˈeːk
بازل	bˈaːzəl
کابہترین	kˌaːbəhˌətrˈiːn
وقتوں	ʋˈʌqtˌõː
دریاؤں	dˌərjaːˈoːn
کوان	kaʋˈaːn
صحرائی	ʂˌəhərˈaːi
لامتناہی	lˌaːmətnˈaːhi
کارخاتون	kˌaːrxaːtˈoːn
نواک	nˈaʋaːk
داماد	daːmˈaːd
نامی	nˈaːmi
آٹے	ˈaːʈeː
روک	rˈoːk
اورگیس	ˌoːrɡˈiːs
جنگجو	ɟˈanɡɟuː
ایلان	eːlˈaːn
وڈیرے	ʋəɖˈiːreː
باضمیر	bˌaːzmˈiːr
مجاجن	məɟˈaːɟɪn
وہیں	ʋahˈiːn
بازیاں	bˈaːzjãː
ثبت	sˈʌbət
مہلوکین	mˈɛhluːkˌiːn
مناصب	mənˈaːʂɪb
غنی	ɣˈʌni
گٹکے	ɡˈʌʈkˌeː
ونوش	ʋənˈoːʃ
میڈیم	meːɖˈiːm
پراگر	pərˈaːɡər
راہموں	rˈaːhmõː
بوں	bˈõː
ٹکرایا	ʈˌəkrˈaːjaː
آتی	ˈaːti
پھیلاوٴ	pˈeːdɔcˈaʃmihˌeːcʰoːʈˈiːjeːlˈaːmˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːr
ٹیوٹ	ʈˈeːʋəʈ
رکاوٹوں	rˌʊkaːʋˈaʈõː
تولیہ	toːlˈiːa
اغاز	aɣˈaːz
بریلی	bərˈiːli
پنڈورا	pənɖˈoːraː
امدادکے	ˌɪmdˈaːdkeː
مسا	mˈʌsaː
کویقینی	kˌaʋiqˈiːni
خدوخال	xˌədoːxˈaːl
دونوں	dˈoːnõː
ہونیکا	hoːnˈiːkaː
یامین	jaːmˈiːn
نوشیر	noːʃˈiːr
کچھووں	kˈʌcʰʋõː
خوڑ	xˈoːr.
کہلاتی	kˈɛhlaːtˌiː
محمدبرجیس	mˌəhəmˌədəbˌərɟˈiːs
العلوم	alʊlˈuːm
نبھانا	nɪbʰˈaːnaː
پرنسپلزکو	pərˈʌnsəpˌələzkoː
عطاء	ˈataː
گالا	ɡˈaːlaː
موش	mˈoːʃ
یان	jˈaːn
امت	ˈamət
عدلیہ	ˌadlˈiːa
کمائے	kəmˈaːeː
قصر	qˈʌʂər
امتوں	ˈamtˌõː
خالق	xˈaːlɪq
اونرز	oːnˈʌrz
آلے	ˈaːleː
ازامکان	ˌazaːmkˈaːn
مسکراہٹیں	mˌʊskˌʊraːhˈaʈẽː
دوپٹہ	dˈoːpəʈa
ایکسپریس	ˈɛksprɛs
رچایا	rəcˈaːjaː
فنانس	fənˈaːns
چاہتے	cˈaːhteː
سزاؤں	sˌəzaːˈoːn
پورن	pˈoːrən
پرہیں	pˈʌrhˌẽː
کوآج	kaʋˈaːɟ
جنریٹروں	ɟˌənrˈiːʈrˌõː
کلونجی	kəlˈoːnɟi
حاجیوں	hˈaːɟiˌõː
بیٹری	bˈeːʈrˌiː
بلیدی	bəlˈiːdi
سیڈڈ	sˈeːɖəɖ
پرکسی	pˈʌrəksi
صورتحا	ʂuːrˈathaː
ٹرانزیکشنز	ʈrˌaːnzeːkʃˈanz
دہائیوں	dəhˈaːiˌõː
سیفما	sˈeːfmˌaː
مرتبہ	mˌartˈabˌa
لکھنا	lˈɪkʰnaː
مز	mˈʌz
اروناچل	ˌaroːnˈaːcəl
بستی	bˈʌstˌiː
ٹریفکنگ	ʈrˈeːfɪknɡ
میرانی	meːrˈaːni
بروکرز	bˌəroːkˈʌrz
صارف	ʂˈaːrɪf
بخشتے	bˈaxʃteː
بارایسوسی	bˌaːraːjasˈoːsi
بوجوہ	boːɟˈoːa
ڈھک	ɖʰˈʌk
طمانچہ	təmˈaːnca
الرحما	alrˈʌhəmˌaː
بقدر	bˈʌqədˌər
چنوں	cˈʌnõː
وردیاں	ʋˈʌrdjãː
نعمت	neːmˈat
انجینئیرنگ	ˌɪnɟinˈiːrɪnɡ
فرمائیں	fˌərmˈaːẽː
چڑھانے	cər.hˈaːneː
تماشائیوں	tˌəmaːʃˈaːiˌõː
کھوپڑی	kʰˈoːpr.ˌiː
عبدالفتح	ˌabdˌaːləfˌətˈah
سمیتی	sˌəmiˈati
نسیم	nəsˈiːm
سرطان	sˌərtˈaːn
بچاتا	bəcˈaːtaː
بدلنا	bˈʌdəlnaː
اعلان	eːlˈaːn
جمیکن	ɟəmˈiːkən
عبدالمنان	ˌabdˌaːləmnˈaːn
ریفلنگ	rˈeːflˌɪnɡ
آبادیوں	aːbˈaːdiˌõː
پریرا	pərˈiːraː
پرویزرشید	pˌərʋizˌərʃˈiːd
پاورپلانٹ	pˌaːʋərˌəplˈaːnʈ
بھیجوایا	bʰˈeːɟʋaːjˌaː
کردیاجس	kərdjˈaːɟəs
باندھی	bˈaːndʰi
حقیقی	həqˈiːqi
سینما	sˈeːnmˌaː
میامی	mjˈaːmi
انتقا	ˈɪntɪqˌaː
یعے	jˈaːeː
خانسعودی	xˈaːnsaːˌoːdi
اورایک	ˌoːraːjˈak
رضانے	rəzˈaːneː
پرتیار	pˌərtjˈaːr
النجار	alnəɟˈaːr
گیں	ɡˈiːn
کرادئیے	kərˈaːdjˌeː
صنفی	ʂˈɪnfi
اگاؤ	aɡˈaːoː
ہینگ	hˈeːnɡ
آغوش	aːɣˈoːʃ
سمجھوتہ	sˌəmɟʰˈoːta
حسیم	həsˈiːm
وسائل	ʋəsˈa͡ɪl
وعدالتی	ʋaːdˈaːltˌiː
شددت	ʃˈʌdədˌət
گرداپنی	ɡərdˈaːpnˌiː
مالدار	mˌaːldˈaːr
ذوق	zˈoːq
کھینچا	kʰˈeːncaː
خاطیوں	xˈaːtiˌõː
پرزور	pˌərzˈoːr
کلب	kˈʌləb
ایکسئین	ˌeːkəsˈiːn
حامدر	hˈaːmədˌər
صدیقہ	ʂədˈiːqˌa
پاس	pˈaːs
عاصمی	ˈaːʂmˌiː
اقتصادری	ˌɪqtɪʂˈaːdrˌiː
موضع	mˈoːzeː
تخلص	tˈʌxəlˌəʂ
نیو	njˈuː
ٹربو	ʈˈʌrbˌoː
پرگولہ	pˌərɡˈoːlˌa
نالوں	nˈaːlõː
لیکشن	lˈeːkʃan
کز	kˈʌz
سہراب	sɔhrˈaːb
سواریوں	saʋˈaːriˌõː
کشتیوں	kˈʌʃtiˌõː
یوروگوئے	jˌɔroːɡˈoːeː
ٹچ	ʈˈʌc
نیلو	nˈeːloː
قبائلیوں	qəbˈa͡ɪliˌõː
سگالی	səɡˈaːli
پھلوں	pʰˈʌlõː
پسند	pəsˈʌnd
مشیل	məʃˈiːl
گائوں	ɡˈaːõː
انڈوں	ˈanɖõː
فرنٹےئر	fˌərənʈeːˈar
افغانوں	ˌafɣˈaːnõː
لمبے	lˈʌmbeː
رویندرا	rˌaʋaˈindərˌaː
کادوسرا	kaːdˈoːsrˌaː
عبدالعزیز	ˌabdaːlˈaːziz
دبے	dˈʌbeː
امدادی	ˌɪmdˈaːdi
آکسفورڈ	ˌaːkəsfˈoːrɖ
زائدسامان	zˌa͡ɪdsaːmˈaːn
صد	ʂˈʌd
رسالت	rˌɪsaːlˈat
حرارت	hərˈaːrət
وگیس	ʋəɡˈiːs
اوریجنل	oːrˈiːɟənˌəl
رکھاجائے	rˌəkʰaːɟˈaːeː
پاپڑ	pˈaːpər.
ہیڈکواٹر	hˌeːɖkʋˈaːʈər
ڈاوٴن	ɖˈaːlˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːrnˈuːn
الشذری	alʃˈʌzrˌiː
اٹل	ˈaʈəl
فضائل	fəzˈa͡ɪl
دورسے	dˈoːrsˌeː
روسیف	roːsˈiːf
سیمونا	seːmˈoːnaː
شاہدآفریدی	ʃˈaːhdaːfridˌiː
روابط	raʋˈaːbət
تحائف	təhˈa͡ɪf
نکیل	nəkˈiːl
میدان	meːdˈaːn
ارسون	ˌarsˈoːn
ومذہبی	ʋəmˈazhabˌiː
گوں	ɡˈõː
نیکی	nˈeːki
گاہوں	ɡˈaːhõː
آقا	ˈaːqaː
بھی	bʰˈiː
باقر	bˈaːqɪr
چلنی	cˈʌlnˌiː
کمیرے	kəmˈiːreː
اصلیت	ˈaʂliˌat
بابرغوری	bˌaːbərɣˈoːri
سکیموں	səkˈiːmõː
بھرتیوں	bʰˈʌrtˌiõː
خلافت	xˌɪlaːfˈat
عرس	ˈʊrs
رہیگا	rəhˈiːɡaː
دلائے	dəlˈaːeː
لوہی	lˈoːhi
کہرام	kɔhrˈaːm
مقدمی	mʊqˈadmi
کیالیکن	kjaːlˈiːkən
غوطے	ɣˈoːteː
بیجوں	bˈiːɟõː
تزئین	tˌəzˈiːn
شان	ʃˈaːn
قدرت	qʊdrˈat
اگنی	ˈʊɡni
بقیہ	bəqˈiːa
آرٹیکلز	ˈaːrʈikˌələz
بالائے	baːlˈaːeː
وون	ʋˈoːn
مطلب	mˈatlab
گھبراتے	ɡʰˌəbrˈaːteː
گاجس	ɡˈaːɟəs
استقبالی	ɪstˈaqbaːlˌiː
انائی	anˈaːi
آفاق	aːfˈaːq
احادیث	ˌahaːdˈiːs
ٹریکٹر	ʈrˈeːkʈər
گنگ	ɡˈʌnɡ
دھرمیندر	dʰˌərmˈiːndər
معاونت	mˌʊaːʋɪnˈat
پاوڈر	pˈaːʋəɖˌər
مت	mˈʌt
پاتی	pˈaːti
آسٹرین	ˈaːsʈərˌiːn
نشترہسپتال	nˌəʃtərˌəhəsˌəptˈaːl
ہائوسز	haːˈoːsəz
ڈائریکٹریٹ	ɖa͡ɪrˈeːkʈərˌiːʈ
ٹیلوں	ʈˈeːlõː
استعفوں	ɪstˈeːfõː
اورآئین	ˌoːraːˈiːn
لائینوں	laːˈiːnõː
بڑھائی	bˈar.haːˌiː
وڈی	ʋˈʌɖi
سلف	sˈʌləf
آبزرور	ˌaːbəzrˈoːr
نادم	nˈaːdɪm
چیریٹی	ceːrˈiːʈi
عمرانی	ˈʊmraːnˌiː
لڑائیوں	lər.ˈaːiˌõː
وتی	ʋˈʌti
بخوشی	bˈaxʊʃˌiː
بگھی	bˈʌɡʰi
بنارہی	bənˈaːrhˌiː
اناج	anˈaːɟ
قوتیں	qˈoːtẽː
مستقل	mˌʊstˈaqɪl
تربت	tʊrbˈat
بھارت	bʰˈaːrət
محمدچوہدری	mˌəhəmˌədcˈoːhədri
گوٹھ	ɡˈoːʈʰ
مارا	mˈaːraː
تخیل	tˌaxaˈiːjʊl
دھماکےسکھرآئی	dʰˌəmaːkˌeːsəkʰrˈaːi
ممبئی	məmbˈai
فائض	fˈa͡ɪz
مسلمان	mʊsˈalmˌaːn
کٹر	kˈʌʈər
کلبھوشن	kˌəlbʰˈoːʃən
آفیسرز	ˌaːfisˈʌrz
بازیابی	bˈaːzjaːbˌiː
فلپائینی	fˌəlpaːˈiːni
وردنے	ʋˈʌrdənˌeː
ترجمانی	tˈarɟˌʊmaːnˌiː
گس	ɡˈʌs
پرچار	pərcˈaːr
میرواعظ	mˈeːrʋaːˌɪʐ
کرکامیاب	kˌərkˈaːmjaːb
العزیز	alazˈiːz
یوزر	jˈɔzər
زیراہتمام	zˌeːraːhˌətmˈaːm
ملتیں	mˈɪltĩː
پردھوم	pərdʰˈoːm
چھیل	cʰˈeːl
اوکٹا	ˈoːkʈˌaː
لہولہان	lˌahuːlɪhˈaːn
ابھیشک	abʰˈiːʃək
کومسترد	kˌoːməsətˈʌrd
جلوزئی	ɟəlˈoːzˌiː
عیادت	ajˈaːdət
موڑپرکھڑا	mˈoːr.əpˌərəkʰr.aː
کرلیاجائے	kˌərljaːɟˈaːeː
راہول	raːhˈoːl
مشابہت	mˌʊʃaːbɪhˈat
سملی	sˈʌmlˌiː
ادیبوں	adˈiːbõː
دیپک	dˈeːpək
ادائیگیاں	ˌadaːˈiːɡjãː
کچہ	kˈʌca
وائسرائے	ʋˌa͡ɪsrˈaːeː
شیواجی	ʃeːʋˈaːɟi
بولنگ	bˈoːlɪnɡ
ناول	nˈaːʋəl
ادویا	adˈoːjaː
برن	bˈʌrən
فیکیشن	fˌeːkeːʃˈan
بچھڑے	bˈɪchr.eː
مہارتوں	məhˈaːrtˌõː
مفرج	mˈʌfərˌəɟ
ذیادہ	zjˈaːda
اقدام	ɪqdˈaːm
لاقوامی	lˈaːqʋaːmˌiː
نیلے	nˈeːleː
بندہ	bˈʌnda
گردیزی	ɡərdˈiːzi
حرام	hərˈaːm
وت	ʋˈʌt
مدتوں	mʊdːˈatõː
پراچی	pərˈaːci
مروجہ	mʊrˈaʋʋɪɟˌa
بشیراحمد	bˌəʃirˈaːhəmˌəd
ایمی	ˈeːmi
انجینیر	ˌɪnɟiniˈar
چننے	cˈʊnneː
بکھیرنے	bɪkʰˈeːrneː
سیف	sˈeːf
جدون	ɟədˈoːn
اینڈروئیڈ	ˈeːnɖərˌoːiɖ
زرخیز	zˌərxˈiːz
واسطہ	ʋˈaːsta
کااحساس	kˌaːaːhəsˈaːs
گیٹ	ɡˈeːʈ
اوراخوت	ˌoːraːxˈoːt
پکانا	pəkˈaːnaː
سامناہے	sˌaːmnˈaːheː
الاپنے	alˈaːpnˌeː
وملت	ʋˈʌməlˌət
گہرائیوں	ɡˈɛhraːˌiõː
گووند	ɡaʋˈoːnd
عبرانی	ˌabrˈaːni
گزیں	ɡˈʊzĩː
جھاڑ	ɟʰˈaːr.
ہنزہ	hˈʊnza
فارغ	fˈaːrɪɣ
کرکام	kˌərkˈaːm
کانٹی	kˈaːnʈi
اورکہاکہ	ˌoːrəkhˈaːkˌa
فلیڈ	flˈeːɖ
کایکم	kaːjˈakəm
وویمنز	ʋʋˈeːmənˌəz
فوت	fˈoːt
کھاد	kʰˈaːd
محتاج	mɔhtˈaːɟ
پراچہ	pərˈaːca
نغموں	nˈaɣmõː
ہراساں	hɪrˈaːsãː
دوول	dˈaʋʋəl
گؤ	ɡˈʌoː
اسد	ˈasəd
کاروکاری	kˌaːroːkˈaːri
ویت	ʋˈeːt
پختونخوا	paxtˈuːnxʋaː
پڑگئی	pˌər.ɡˈai
انعقادکے	ˌɪnɪqˈaːdkˌeː
کوخراج	kˌoːxrˈaːɟ
عثمانیہ	ˌʊsmaːnˈiːa
انفرا	ˈɪnfɪrˌaː
کینولا	keːnˈoːlaː
ائیرویز	a͡ɪˈiːrʋiz
مچایا	məcˈaːjaː
گورچانی	ɡˈoːrcaːnˌiː
ہوتے	hˈoːteː
کشمیرکاحل	kˌəʃmˌiːrkˈaːhɪl
راشدین	rˌaːʃɪdˈiːn
انکاری	ɪnkˈaːri
ماؤں	maːˈoːn
پھلیاں	pʰˈʌljãː
رجوانہ	rəɟʋˈaːnˌa
وبھائی	ʋəbʰˈaːi
الاقوامی	alˈaqʋaːmˌiː
عروج	ʊrˈuːɟ
کانوٹس	kaːnˈoːʈs
پسندبھارت	pˌəsəndəbʰˈaːrət
لحکومت	ləhˌʊkuːmˈat
جیئے	ɟˈeːeː
جریدے	ɟərˈiːdeː
سمجھا	sˈʌmɟʰˌaː
اکہتر	ˈakəhˌətər
اورسکیورٹی	ˌoːrəskeːˈoːrʈi
تھمنے	tʰˈʌmnˌeː
سنگیتا	sˌənɡˈiːtaː
کنسیلر	kənsˈiːlər
سمبل	sˈʌmbəl
پرفلم	pˌərfˈɪlm
نشر	nˈaʃr
کامیڈین	kˌaːmiɖˈiːn
اسکاٹ	ˌaskˈaːʈ
نظرآئیں	naʐˈaraːˌẽː
فلیش	flˈeːʃ
وبربادی	ʋˌəbərbˈaːdi
بنانیکی	bˌənaːnˈiːki
پوسٹنگ	pˈoːsʈɪnɡ
اسپیس	ɪspˈiːs
گھات	ɡʰˈaːt
وارد	ʋˈaːrɪd
سلک	sˈʌlək
سردا	sˈʌrdaː
انیشیٹو	ˌaniʃˈiːʈoː
مہک	mˈɛhɛk
وارنٹ	ʋˈaːrənʈ
مرگ	mˈarɡ
میگاپراجیکٹس	mˌeːɡaːpraːɟˈeːkʈs
مدات	mˌədˈaːt
ڈنکے	ɖˈʌnkˌeː
استحصالی	ˌɪstˌeːhʂˈaːli
ایئرمارشل	eːˈarmˌaːrəʃˌəl
خانکراچی	xˌaːnəkrˈaːci
عیاشی	ajˈaːʃi
ٹرانسفر	ʈrˈaːnsəfˌər
ہیں	hẽ
سلسلوں	sˈɪlsˌɪlõː
قرارد	qərˈaːrd
کاسنجیدگی	kˌaːsnɟˈiːdɡˌiː
ہین	hˈeːn
اجلا	ˈʊɟlaː
خیبرپختونخواسے	xˌeːbərˌəpxtˌoːnxʋˈaːseː
اطلاع	ˈɪtlaː
سبیل	səbˈiːl
نظریاتخوبصورتی	naʐˈarjaːtxoːbʂuːrˌati
یثرب	jˈasrab
فائدے	fˈa͡ɪdeː
حاجی	hˈaːɟi
ایشیاء	ˈeːʃjaː
ڈھونڈنے	ɖʰˈuːnɖneː
اورفاٹا	ˌoːrfˈaːʈaː
ساحر	sˈaːhɪr
ایمپریس	ˈeːmpərˌiːs
کولاچی	koːlˈaːci
افشانی	ˌafʃˈaːni
انحطاط	ˌɪnhɪtˈaːt
جاریہ	ɟaːrˈiːa
جاگ	ɟˈaːɡ
شاہد	ʃˈaːhəd
رندیپ	rəndˈiːp
صابری	ʂˈaːbrˌiː
عبدالرشید	ˌabdˌaːlərʃˈiːd
ڈیر	ɖˈeːr
کاہلی	kˈaːhli
فرنگی	fˈʌrənɡi
آنند	aːnˈʌnd
راناثناء	raːnˈaːsnˌaː
غیراعلانیہ	ɣˌeːreːlˈaːniˌa
صابو	ʂˈaːboː
ہاریوں	hˈaːriˌõː
کاباقاعدہ	kˌaːbaːqˈaːjda
لافانی	laːfˈaːni
دکے	dˈʌkeː
اہلکارہلاک	ˌahəlkaːrhlˈaːk
لوئر	loːˈar
سٹیون	sʈeːˈoːn
چولہے	cˈuːlheː
درجہ	dˈarɟa
گلیات	ɡˌəliˈaːt
بیگناہ	bˌeːɡnˈaːh
پنشنر	pˈʌnəʃˌənər
کریتی	kˌəriˈati
راجر	rˈaːɟɪr
قبل	qˈabl
سلیکشن	səlˈeːkʃan
چرن	cˈʌrən
شل	ʃˈʌl
کہاگیاکہ	kəhˈaːɡjaːka
سکولوں	skˈuːloːn
بددیانت	bˌəddjˈaːnət
جذب	ɟˈaðb
اورآخری	oːrˈaːxrˌiː
کوگیس	koːɡˈiːs
لڑکا	lˈʌr.kˌaː
ڈاکٹرفاروق	ɖaːkʈˈarfaːrˌoːq
امتزاج	ˌɪmtɪzˈaːɟ
گستاخ	ɡˌəstˈaːx
حملہعمان	hˌəməlhˈaːmaːn
منشا	mˈʌnʃˌaː
سواکچھ	saʋˈaːkəcʰ
اڑاتے	ʊr.ˈaːteː
عربی	ˈarbˌiː
دیدی	dˈiːdi
باکسرز	bˌaːkəsˈʌrz
یش	jˈʌʃ
کاامن	kaːˈaːmən
دیاجاتا	djaːɟˈaːtaː
