Əbüləsvar	æbylæsvˈar
rəvac	rævˈad͡ʒ
oliqomer	oliɡomˈer
Qalisiya	ɡalˈisia
edirdilər	edirdilˈær
kimliyinə	cimlijˈinæ
nümayəndələr	nymajændælˈær
konsertinə	consertˈinæ
Kantilyon	cantiljˈon
araşdırmalar	aɾaʃdɯrmaɫˈar
pivə	pˈivæ
içərisini	it͡ʃæɾisinˈi
yaşamağa	jaʃamˈaː
qayalıqların	ɡajaɫɯɡɫaɾˈɯn
Bovuar	bovuˈar
vasitələrini	vasitælæɾinˈi
cinahı	d͡ʒinahˈɯ
ictimaiyyət	id͡ʒtima͡ɪjjˈæt
Buğda	buːdˈa
onomastikası	onomasticasˈɯ
keyfiyyətin	cejfijjætˈin
Nuşirəvan	nuʃiɾævˈan
rejissorların	reʒissorɫaɾˈɯn
hamarlanmış	hamarɫanmˈɯʃ
Ağsu	aːsˈu
qüllədən	ɡyllædˈæn
mübahisəni	mybahisænˈi
Arxivlər	arxivlˈær
geyinməyi	ɟejinmæjˈi
özülləri	œzyllæɾˈi
zəmin	zæmˈin
Təməl	tæmˈæl
kölgədə	cœlɟˈædæ
Sirab	siɾˈab
söylədiyi	sœjlædijˈi
nəfəsvermə	næfæsvˈermæ
üstündəki	ystyndæcˈi
həddinə	hæddˈinæ
Dəvə	dˈævæ
tərbiyəçi	tærbijæt͡ʃˈi
gizlədib	ɟizlædˈib
susur	susˈur
Qılman	ɡɯɫmˈan
dirilmə	diɾˈilmæ
olunar	oɫunˈar
rənglərdə	rænɟlˈærdæ
yumşalması	jumʃaɫmasˈɯ
tağtavanla	taːtavanɫˈa
moizə	moˈizæ
danışdıqdan	danɯʃdɯɡdˈan
gələcəkdə	ɟælæd͡ʒˈæçdæ
Çernyayevski	t͡ʃernjajevscˈi
nəşriyyatların	næʃrijjatɫaɾˈɯn
Brınza	brɯnzˈa
Əliəkbər	æliæçbˈær
Töyrətəpə	tœjrætˈæpæ
müşavirəsində	myʃaviɾæsˈindæ
yatırdı	jatɯrdˈɯ
vertolyota	vertoɫjotˈa
Agentliyində	aɟentlijˈindæ
xəlq	xˈælx
əşyalara	æʃjaɫaɾˈa
pud	pˈud
maldar	maɫdˈar
mövzusudur	mœvzusudˈur
kəşflərin	cæʃflæɾˈin
Qəzəblənmiş	ɡæzæblænmˈiʃ
solisti	solistˈi
Vəziyyəti	væzijjætˈi
Mississippi	mississippˈi
boşalır	boʃaɫˈɯr
Mahnının	mahnɯnˈɯn
Red	rˈed
Biosenozun	biosenozˈun
Heron	heɾˈon
enərək	enæɾˈæç
Sədrəzəm	sædræzˈæm
siqnallarına	siɡnaɫɫaɾɯnˈa
Miladın	miɫadˈɯn
birləşməyə	birlæʃmˈæjæ
Dərələyəz	dæɾælæjˈæz
ötürülməsi	œt͡syɾylmæsˈi
qitəyə	ɡitˈæjæ
bizlərə	bizlˈæɾæ
dövlətlərdən	dœvlætlærdˈæn
əlavə	æɫˈavæ
portretdə	portrˈetdæ
xəstəliklərini	xæstæliçlæɾinˈi
əkməyə	æçmˈæjæ
salınmasından	saɫɯnmasɯndˈan
mahiyyətindən	mahijjætindˈæn
sivilizasiyası	sivilizasijasˈɯ
diasporunun	diaspoɾunˈun
kanyonlar	canjonɫˈar
İnsanlıq	insanɫˈɯx
qurğularının	ɡurɣuɫaɾɯnˈɯn
böyütmüşdür	bœjytmyʃdˈyr
yaşlandıqca	jaʃɫandɯɡd͡ʒˈa
sarsıldı	sarsɯɫdˈɯ
saydıqları	sajdɯɡɫaɾˈɯ
istəməyən	istæmæjˈæn
cəsədinin	d͡ʒæsædinˈin
döndükdə	dœndˈyçdæ
kolorektal	coɫoɾeçtˈaɫ
qatılmış	ɡatɯɫmˈɯʃ
Məmmədəli	mæmmædælˈi
sevmədiyini	sevmædijinˈi
xəstəxananın	xæstæxananˈɯn
Kopernik	copernˈiç
təvazökarlığı	tævazœcarɫɯɯˈɯ
ordenin	ordenˈin
Dərslik	dærslˈiç
Vətəninə	vætænˈinæ
əməkdaşı	æmæçdaʃˈɯ
Cizre	d͡ʒizrˈe
Avstraliyaya	avstralijajˈa
Hannibal	hannibˈaɫ
Raul	raˈuɫ
Minarə	minˈaɾæ
Sendsin	sendsˈin
qrafikləri	ɡrafiçlæɾˈi
sözüdür	sœzydˈyr
göstərəcəkdir	ɟœstæɾæd͡ʒæçdˈir
Okinava	ocinavˈa
kargüzarlıq	carɟyzarɫˈɯx
məhkəmələri	mæhcæmælæɾˈi
nümayəndələrindən	nymajændælæɾindˈæn
gəzdirirlər	ɟæzdiɾirlˈær
Peç	pˈet͡ʃ
cinslərinə	d͡ʒinslæɾˈinæ
bədənlərini	bædænlæɾinˈi
partiyanın	partijanˈɯn
filosofu	fiɫosofˈu
Üzvləri	yzvlæɾˈi
arkada	arcadˈa
Ədib	ædˈib
azalırdı	azaɫɯrdˈɯ
forma	formˈa
tullantılarını	tuɫɫantɯɫaɾɯnˈɯ
mineralı	mineɾaɫˈɯ
Bədəlan	bædæɫˈan
Xəstədə	xæstˈædæ
adsız	adsˈɯz
Şumercə	ʃumˈerd͡ʒæ
prospekt	prospˈeçt
pisə	pˈisæ
BOK	bˈoç
Yağışlar	jaːɯʃɫˈar
millətçilərin	millætt͡ʃilæɾˈin
Deyilən	dejilˈæn
gəlməkdədir	ɟælmæçdædˈir
amanda	amandˈa
sübutu	sybutˈu
romanlarını	romanɫaɾɯnˈɯ
döndüyü	dœndyjˈy
Mani	manˈi
Vışka	vɯʃcˈa
katibdən	catibdˈæn
Həyət	hæjˈæt
maaşlı	maaʃɫˈɯ
Ella	elɫˈa
qələbəni	ɡælæbænˈi
beyninin	bejninˈin
gəlməklə	ɟælmˈæçlæ
edilməkdədir	edilmæçdædˈir
terminlərlə	terminlˈærlæ
toplanma	topɫanmˈa
respublikaçıların	respublicat͡ʃɯɫaɾˈɯn
təsadüfi	tæsadyfˈi
mövzularda	mœvzuɫardˈa
yetirərkən	jet͡siɾærcˈæn
paylanır	pajɫanˈɯr
kollektivdən	coɫleçtivdˈæn
Qazma	ɡazmˈa
istənilir	istænilˈir
şəhidlərin	ʃæhidlæɾˈin
Tabe	tabˈe
şeirlərdən	ʃeirlærdˈæn
bütü	byt͡sˈy
Məzrə	mˈæzræ
Verilmiş	veɾilmˈiʃ
Club	d͡ʒɫˈub
orqanizimlər	orɡanizimlˈær
aktuallığını	açtuaɫɫɯɯɯnˈɯ
çaşqınlıq	t͡ʃaʃɡɯnɫˈɯx
Siddiq	siddˈix
Walter	waɫtˈer
böyükdən	bœjyçdˈæn
məzmunu	mæzmunˈu
postamentin	postamentˈin
gözlərindən	ɟœzlæɾindˈæn
Tətil	tætˈil
Qaladakı	ɡaɫadacˈɯ
nefə	nˈefæ
Hilal	hiɫˈaɫ
İ	ˈi
qaçmaq	ɡat͡ʃmˈax
analoqudur	anaɫoɡudˈur
Alliance	aɫliand͡ʒˈe
Seysmik	sejsmˈiç
Əkka	æçcˈa
xronologiyası	xronoɫoɟijasˈɯ
Tərcüməçi	tærd͡ʒymæt͡ʃˈi
inciləri	ind͡ʒilæɾˈi
Məhsul	mæhsˈuɫ
Osip	osˈip
qəməri	ɡæmæɾˈi
faciəni	fad͡ʒiænˈi
Kalmık	caɫmˈɯç
Millət	millˈæt
pedaqogikası	pedaɡoɟicasˈɯ
mikroprosessoru	miçroprosessoɾˈu
Dövlətabad	dœvlætabˈad
həmkarlarına	hæmcarɫaɾɯnˈa
Şila	ʃiɫˈa
qurtaracağına	ɡurtaɾad͡ʒaːɯnˈa
mücadilə	myd͡ʒadˈilæ
ustaların	ustaɫaɾˈɯn
məhbus	mæhbˈus
əvəzləyicisi	ævæzlæjid͡ʒisˈi
Səfəvinin	sæfævinˈin
çəkilmələr	t͡ʃæcilmælˈær
ikidən	icidˈæn
həlledicilərdə	hælledid͡ʒilˈærdæ
fikirini	ficiɾinˈi
kreativ	çreatˈiv
Star	stˈar
artıqlığı	artɯɡɫɯɯˈɯ
federal	fedeɾˈaɫ
çərçivəsinə	t͡ʃært͡ʃivæsˈinæ
Sunja	sunʒˈa
Kəsəmən	cæsæmˈæn
Pareto	paɾetˈo
veteran	vet͡seɾˈan
axtarış	axtaɾˈɯʃ
Öz	ˈœz
məşq	mˈæʃx
anaerob	anaeɾˈob
vəzilərində	væzilæɾˈindæ
markalar	marcaɫˈar
yaponlardan	japonɫardˈan
kollektivlə	coɫleçtˈivlæ
bunlarda	bunɫardˈa
peşəkarlığa	peʃæcarɫɯɯˈa
nurani	nuɾanˈi
budaqlara	budaɡɫaɾˈa
istədiyimiz	istædijimˈiz
pafosu	pafosˈu
parafin	paɾafˈin
sərilir	sæɾilˈir
fotokimyəvi	fotocimjævˈi
kolleksiyasında	coɫleçsijasɯndˈa
tirəsi	tiɾæsˈi
çalar	t͡ʃaɫˈar
çırpılır	t͡ʃɯrpɯɫˈɯr
bəsləmişdir	bæslæmiʃdˈir
təxəyyülü	tæxæjjylˈy
diskşəkilli	disçʃæcillˈi
marafon	maɾafˈon
sovet	sovˈet
manqa	manɡˈa
Çester	t͡ʃestˈer
pozğunluqları	pozɣunɫuɡɫaɾˈɯ
limanlarına	limanɫaɾɯnˈa
verənlərdən	veɾænlærdˈæn
obrazlı	obrazɫˈɯ
Soft	sˈoft
siqnalizasiya	siɡnalizˈasia
sınaqların	sɯnaɡɫaɾˈɯn
qoruğunun	ɡoɾuːnˈun
Hyustonda	hjustondˈa
yanaşmasının	janaʃmasɯnˈɯn
monoqrafiyasının	monoɡrafijasɯnˈɯn
Konstantinoviç	constantinovˈit͡ʃ
rəislər	ræislˈær
Şirini	ʃiɾinˈi
Ala	aɫˈa
mülkünü	mylcynˈy
Qandinin	ɡandinˈin
cənubundadır	d͡ʒænubundadˈɯr
akademiyanı	academijanˈɯ
balalarına	baɫaɫaɾɯnˈa
yolu	joɫˈu
Xosrovu	xosrovˈu
həvəsləndirici	hævæslændiɾid͡ʒˈi
Liberal	libeɾˈaɫ
şəkildəki	ʃæcildæcˈi
sakit	sacˈit
düzdür	dyzdˈyr
Atropatena	atropatenˈa
şairlərlə	ʃa͡ɪrlˈærlæ
Morqanın	morɡanˈɯn
Buzun	buzˈun
kəngərlilərin	cænɟærlilæɾˈin
etnologiya	etnoɫˈoɟia
Alakol	aɫacˈoɫ
Faktorinq	façtoɾˈinx
satışların	satɯʃɫaɾˈɯn
nal	nˈaɫ
udma	udmˈa
qələbəsini	ɡælæbæsinˈi
Bugünkü	buɟyncˈy
məhsula	mæhsuɫˈa
Qdansk	ɡdˈansç
Adəmin	adæmˈin
hikmət	hiçmˈæt
yura	juɾˈa
bot	bˈot
ekstremizm	eçstremˈizm
almamışdı	aɫmamɯʃdˈɯ
sindromuna	sindromunˈa
əhatəlidir	æhatælidˈir
mələklərə	mælæçlˈæɾæ
Tszin	tˈeszˈin
Komitə	comˈitæ
Qozbel	ɡozbˈel
Siyahısında	sijahɯsɯndˈa
bayramlarını	bajramɫaɾɯnˈɯ
zorakılığın	zoɾacɯɫɯɯˈɯn
filmindən	filmindˈæn
texnologiyaların	texnoɫoɟijaɫaɾˈɯn
istərdik	istærdˈiç
mezoregiona	mezoɾeɟionˈa
ədərək	ædæɾˈæç
hadisəsində	hadisæsˈindæ
top	tˈop
mükafatından	mycafatɯndˈan
enerjisinin	enerʒisinˈin
akrobatik	açrobatˈiç
taxırlar	taxɯrɫˈar
qəhvə	ɡˈæhvæ
stadiondan	stadiondˈan
irsi	irsˈi
İsveçlilər	isvet͡ʃlilˈær
rəhm	rˈæhm
meydanındakı	mejdanɯndacˈɯ
Müşavirə	myʃavˈiɾæ
tutmasının	tutmasɯnˈɯn
Tokionun	tocionˈun
itki	itcˈi
buralara	buɾaɫaɾˈa
düşən	dyʃˈæn
Sinfi	sinfˈi
Lokk	ɫˈoçç
bəyənmir	bæjænmˈir
çalarlarla	t͡ʃaɫarɫarɫˈa
çökərək	t͡ʃœcæɾˈæç
fonun	fonˈun
səadətə	sæadˈætæ
ştatındakı	ʃtatɯndacˈɯ
inandırır	inandɯɾˈɯr
oynamır	ojnamˈɯr
diferensiasiya	difeɾensiˈasia
bildirilib	bildiɾilˈib
sonrasında	sonrasɯndˈa
ləqəbli	læɡæblˈi
Şirinov	ʃiɾinˈov
xanlığından	xanɫɯɯɯndˈan
müzikl	myzˈiçl
İnformasiya	informˈasia
darvaza	darvazˈa
vegetasiyası	veɟetasijasˈɯ
Əvvəlcə	ævvˈæld͡ʒæ
kəmiyyətin	cæmijjætˈin
salmışdı	saɫmɯʃdˈɯ
filmləri	filmlæɾˈi
ərəblərlə	æɾæblˈærlæ
kapsul	capsˈuɫ
Elementar	elementˈar
tərəfdarlarını	tæɾæfdarɫaɾɯnˈɯ
Redaktoru	redaçtoɾˈu
Penitensiar	penit͡sensiˈar
Xatirələr	xatiɾælˈær
Malların	maɫɫaɾˈɯn
olmalarının	oɫmaɫaɾɯnˈɯn
terrora	terroɾˈa
düşünülsə	dyʃynˈylsæ
proqramından	proɡramɯndˈan
dərəcənin	dæɾæd͡ʒænˈin
əyləncəsi	æjlænd͡ʒæsˈi
məbədinə	mæbædˈinæ
şanslarını	ʃansɫaɾɯnˈɯ
kəlmə	cˈælmæ
Sərkərdə	særcˈærdæ
növünü	nœvynˈy
pulcuqların	puɫd͡ʒuɡɫaɾˈɯn
bilgilər	bilɟilˈær
mövsümlərin	mœvsymlæɾˈin
duyaraq	dujaɾˈax
zövqünə	zœvɡˈynæ
Yermolov	jermoɫˈov
əhalisinə	æhalisˈinæ
spoofing	spoofˈinɟ
dəstəkdən	dæstæçdˈæn
qayaaltı	ɡajaaɫtˈɯ
məşrutə	mæʃrˈutæ
xanlığını	xanɫɯɯɯnˈɯ
əlamətlərinə	æɫamætlæɾˈinæ
dolaşmağa	doɫaʃmˈaː
ləngitdi	lænɟitdˈi
Bilqamıs	bilɡamˈɯs
sərəncamla	sæɾænd͡ʒamɫˈa
bazalt	bazˈaɫt
günbəz	ɟynbˈæz
Kompleksin	compleçsˈin
helikopterlərin	helicopterlæɾˈin
xeyriyyəçisi	xejrijjæt͡ʃisˈi
arktik	arçtˈiç
qabına	ɡabɯnˈa
udmaq	udmˈax
reklam	reçɫˈam
Subarunun	subaɾunˈun
xiyabanı	xijabanˈɯ
türbələrin	tyrbælæɾˈin
bürünür	byɾynˈyr
alverinin	aɫveɾinˈin
fərqləndirmək	færɡlændirmˈæç
yaxınlaşması	jaxɯnɫaʃmasˈɯ
atlas	atɫˈas
kontingenti	continɟentˈi
bilməyəcəyi	bilmæjæd͡ʒæjˈi
neft	nˈeft
görülər	ɟœɾylˈær
gövdələrində	ɟœvdælæɾˈindæ
ortaları	ortaɫaɾˈɯ
üzlər	yzlˈær
həll	hˈæll
düzənliklərinə	dyzænliçlæɾˈinæ
toksinləri	toçsinlæɾˈi
rəqabətə	ræɡabˈætæ
kalsiumlu	caɫsiumɫˈu
nekropolun	neçropoɫˈun
əsginasları	æsɟinasɫaɾˈɯ
stadionlar	stadionɫˈar
görmədiyi	ɟœrmædijˈi
qaydalara	ɡajdaɫaɾˈa
açıqlaya	at͡ʃɯɡɫajˈa
bolt	bˈoɫt
ərindən	æɾindˈæn
Volf	vˈoɫf
Foqtsun	foɡtsˈun
Asılı	asɯɫˈɯ
muzeylərində	muzejlæɾˈindæ
meduza	meduzˈa
yetirməkdən	jet͡sirmæçdˈæn
yəhudiliyi	jæhudilijˈi
Barıt	baɾˈɯt
Komandan	comandˈan
cəhdlərinin	d͡ʒæhdlæɾinˈin
başladılmışdır	baʃɫadɯɫmɯʃdˈɯr
tikib	ticˈib
Sincan	sind͡ʒˈan
təzkirəsində	tæzciɾæsˈindæ
bərk	bˈærç
kateqoriyalarını	cateɡoɾijaɫaɾɯnˈɯ
Yarışların	jaɾɯʃɫaɾˈɯn
əbədiləşdirmək	æbædilæʃdirmˈæç
biznesmeni	biznesmenˈi
bürüyən	byɾyjˈæn
açdığı	at͡ʃdɯɯˈɯ
əyalətlərin	æjalætlæɾˈin
döşəməsindən	dœʃæmæsindˈæn
Diaz	diˈaz
Hərbçi	hærbt͡ʃˈi
Şanyü	ʃanjˈy
yığır	jɯɯˈɯr
biyan	bijˈan
qazandırır	ɡazandɯɾˈɯr
haqqda	haɡɡdˈa
yükləri	jyçlæɾˈi
hamamdan	hamamdˈan
Turizm	tuɾˈizm
Dnepr	dnˈepər
müsəlmanlarının	mysælmanɫaɾɯnˈɯn
Doom	doˈom
arxalıq	arxaɫˈɯx
sığın	sɯɯˈɯn
Ozu	ozˈu
davranışların	davranɯʃɫaɾˈɯn
Dağının	daːɯnˈɯn
nəslə	nˈæslæ
Nikki	niçcˈi
Oynadığı	ojnadɯɯˈɯ
öpüşü	œpyʃˈy
Növün	nœvˈyn
izahına	izahɯnˈa
yazısının	jazɯsɯnˈɯn
Müharibədə	myhaɾibˈædæ
klipi	çlipˈi
Ayalon	ajaɫˈon
balığı	baɫɯɯˈɯ
qızmış	ɡɯzmˈɯʃ
çətindir	t͡ʃætindˈir
işlənmir	iʃlænmˈir
qapaqlarını	ɡapaɡɫaɾɯnˈɯ
əsillidir	æsillidˈir
etirazların	et͡siɾazɫaɾˈɯn
nizamnaməsinin	nizamnamæsinˈin
oxa	oxˈa
qalmamışdır	ɡaɫmamɯʃdˈɯr
Fatmanın	fatmanˈɯn
mənsəbində	mænsæbˈindæ
dağıldıqda	daːɯɫdɯɡdˈa
Züheyr	zyhˈejr
isitmək	isitmˈæç
Bilalın	biɫaɫˈɯn
şişlərinin	ʃiʃlæɾinˈin
idarəçiliyin	idaɾæt͡ʃilijˈin
xörəklərin	xœɾæçlæɾˈin
yayılmış	jajɯɫmˈɯʃ
sahədən	sahædˈæn
Sürfə	sˈyrfæ
Cəsarət	d͡ʒæsaɾˈæt
zadəganlara	zadæɟanɫaɾˈa
vedomosti	vedomostˈi
arxipelaq	arxipeɫˈax
ASCII	asd͡ʒɯˈɯ
komsomol	comsomˈoɫ
dəlikdən	dæliçdˈæn
vəsiyyətini	væsijjætinˈi
Partiyasına	partijasɯnˈa
qazılan	ɡazɯɫˈan
qalması	ɡaɫmasˈɯ
Mafiya	mˈafia
çatışmazlıqların	t͡ʃatɯʃmazɫɯɡɫaɾˈɯn
dükanların	dycanɫaɾˈɯn
korrupsiyada	corrupsijadˈa
körfəzin	cœrfæzˈin
Tower	towˈer
Elxanilərin	elxanilæɾˈin
xoşlayırdı	xoʃɫajɯrdˈɯ
etikanın	et͡sicanˈɯn
çəltikçilik	t͡ʃæltiçt͡ʃilˈiç
Anselmo	anselmˈo
qatına	ɡatɯnˈa
sülalələrinin	syɫalælæɾinˈin
Açılış	at͡ʃɯɫˈɯʃ
Federasiyasında	fedeɾasijasɯndˈa
itirdiyi	it͡sirdijˈi
Arpa	arpˈa
Slam	sɫˈam
tüfəngçi	tyfænɟt͡ʃˈi
pozulmadan	pozuɫmadˈan
canlılarla	d͡ʒanɫɯɫarɫˈa
hakimiyyətin	hacimijjætˈin
tonun	tonˈun
divarına	divaɾɯnˈa
suludur	suɫudˈur
qubernatorunun	ɡubernatoɾunˈun
xeyrinə	xejrˈinæ
paltarla	paɫtarɫˈa
Qurbanəli	ɡurbanælˈi
yaransın	jaɾansˈɯn
dəyişikliyinə	dæjiʃiçlijˈinæ
varlıları	varɫɯɫaɾˈɯ
ömrün	œmrˈyn
paltarın	paɫtaɾˈɯn
Albaniyası	aɫbanijasˈɯ
mülahizələrini	myɫahizælæɾinˈi
buraxdığı	buɾaxdɯɯˈɯ
stilinin	stilinˈin
gördüklərini	ɟœrdyçlæɾinˈi
qayaya	ɡajajˈa
şimalı	ʃimaɫˈɯ
ornamental	ornamentˈaɫ
qanununda	ɡanunundˈa
səfil	sæfˈil
Həftəlik	hæftælˈiç
Maarifçi	maaɾift͡ʃˈi
kameralar	cameɾaɫˈar
xali	xalˈi
anbarı	anbaɾˈɯ
Yarkənd	jarcˈænd
künclər	cynd͡ʒlˈær
Səhv	sˈæhv
biçimində	bit͡ʃimˈindæ
göstərməsinə	ɟœstærmæsˈinæ
auditoriyanı	auditoɾijanˈɯ
Küli	cylˈi
yarışın	jaɾɯʃˈɯn
Farsa	farsˈa
Konservativ	conservatˈiv
yaşındadır	jaʃɯndadˈɯr
qiymətləndirilməsini	ɡijmætlændiɾilmæsinˈi
müstəmləkəyə	mystæmlæcˈæjæ
Xanlarov	xanɫaɾˈov
virusdan	viɾusdˈan
Əsədullah	æsæduɫɫˈah
Texnologiya	texnoɫˈoɟia
Paşaya	paʃajˈa
ideyalar	idejaɫˈar
hədislərə	hædislˈæɾæ
həzmi	hæzmˈi
qəlbindən	ɡælbindˈæn
ötürücüləri	œt͡syɾyd͡ʒylæɾˈi
sədrinin	sædrinˈin
hekayəni	hecajænˈi
filmlərlə	filmlˈærlæ
qohumu	ɡohumˈu
sürülmüş	syɾylmˈyʃ
poeziyasını	poezijasɯnˈɯ
etdiklərindən	etdiçlæɾindˈæn
ideyasının	idejasɯnˈɯn
işçini	iʃt͡ʃinˈi
gətirilməsində	ɟætiɾilmæsˈindæ
Zeynalova	zejnaɫovˈa
Makfarleyn	maçfarlˈejn
yeməkxanası	jemæçxanasˈɯ
əlyazmaların	æljazmaɫaɾˈɯn
hissin	hissˈin
İrandilli	iɾandillˈi
kurqanlar	curɡanɫˈar
Nili	nilˈi
Diqqət	diɡɡˈæt
hidrokarbonatlı	hidrocarbonatɫˈɯ
SD	sˌedˈe
keçiddən	cet͡ʃiddˈæn
Brodvey	brodvˈej
sətirlərin	sætirlæɾˈin
kitabıdır	citabɯdˈɯr
sənayesindəki	sænajesindæcˈi
konus	conˈus
süzgəcindən	syzɟæd͡ʒindˈæn
Antonoviç	antonovˈit͡ʃ
Qəbirin	ɡæbiɾˈin
Kinooçerk	cinoot͡ʃˈerç
Müsabiqə	mysabˈiɡæ
bilindi	bilindˈi
süxurlarından	syxurɫaɾɯndˈan
sürüdən	syɾydˈæn
Kurbe	curbˈe
dadmaq	dadmˈax
qayalı	ɡajaɫˈɯ
rütbələr	rytbælˈær
mərkəzindədir	mærcæzindædˈir
başıayaqlı	baʃɯajaɡɫˈɯ
yetiriblər	jet͡siɾiblˈær
Xuanın	xuanˈɯn
Stern	stˈern
talanlar	taɫanɫˈar
modellərdə	modellˈærdæ
yanaşmışdır	janaʃmɯʃdˈɯr
liviyalı	livijaɫˈɯ
Tulun	tuɫˈun
yataqlarında	jataɡɫaɾɯndˈa
Risalə	risˈalæ
körpünü	cœrpynˈy
xadiminin	xadiminˈin
İkiillik	iciillˈiç
çalışan	t͡ʃaɫɯʃˈan
kartofun	cartofˈun
danışıqlarını	danɯʃɯɡɫaɾɯnˈɯ
Sonikin	sonicˈin
Şəklin	ʃæçlˈin
xanlığında	xanɫɯɯɯndˈa
idarəedilməsi	idaɾæedilmæsˈi
qərargahında	ɡæɾarɟahɯndˈa
Rene	renˈe
qəbiristanlığın	ɡæbiɾistanɫɯɯˈɯn
duran	duɾˈan
aşıqlardan	aʃɯɡɫardˈan
dəyişikliklərə	dæjiʃiçliçlˈæɾæ
Hərfi	hærfˈi
Ramil	ramˈil
ruhaniləri	ruhanilæɾˈi
köməyindən	cœmæjindˈæn
Pəncərələrin	pænd͡ʒæɾælæɾˈin
Parkına	parcɯnˈa
Arçil	art͡ʃˈil
lüzum	lyzˈum
sterlinqə	sterlˈinɡæ
tikintisindən	ticintisindˈæn
xatunla	xatunɫˈa
pediatr	pediˈatər
Fridrixin	fridrixˈin
xəritələrini	xæɾitælæɾinˈi
konsertin	consertˈin
canlandırıb	d͡ʒanɫandɯɾˈɯb
hindlilərin	hindlilæɾˈin
modelinin	modelinˈin
saraylarını	saɾajɫaɾɯnˈɯ
Tacikistan	tad͡ʒicistˈan
Maui	mauˈi
partiyalı	partijaɫˈɯ
Dövlətinə	dœvlætˈinæ
varidatını	vaɾidatɯnˈɯ
Tundra	tundrˈa
qızdırılmış	ɡɯzdɯɾɯɫmˈɯʃ
alçaltmaq	aɫt͡ʃaɫtmˈax
qazanılmış	ɡazanɯɫmˈɯʃ
məkanları	mæcanɫaɾˈɯ
ağrısız	aːɾɯsˈɯz
ailəsini	a͡ɪlæsinˈi
radiolokasiya	radioɫocˈasia
pozmaq	pozmˈax
Mari	maɾˈi
qruplarından	ɡrupɫaɾɯndˈan
dinlərində	dinlæɾˈindæ
ziyafət	zijafˈæt
Ələkbərova	ælæçbæɾovˈa
keçirmirlər	cet͡ʃirmirlˈær
Yukino	jucinˈo
Budapeştdən	budapeʃtdˈæn
Giza	ɟizˈa
xəstəlikdən	xæstæliçdˈæn
yuxarıdan	juxaɾɯdˈan
stilizə	stilˈizæ
qocalmış	ɡod͡ʒaɫmˈɯʃ
arxipelaqa	arxipeɫaɡˈa
itkiləri	itcilæɾˈi
müsabiqəsində	mysabiɡæsˈindæ
yazıçılarından	jazɯt͡ʃɯɫaɾɯndˈan
təsirinə	tæsiɾˈinæ
kollektoru	coɫleçtoɾˈu
oyanmasına	ojanmasɯnˈa
Şuşanın	ʃuʃanˈɯn
