မြင်း	mjɪ́ɴ
မုန့်အုပ်ကလေး	mo̰ʊɴʔoʊʔɡəlé
ရာဇသတ်	jàzəθaʔ
အပြာမယ်	ʔəpjàmɛ̀
ဆိုဆုံးမ	sʰòsʰóʊɴma̰
တိုက်	taɪʔ
ယောဇနာ	jɔ́zənà
တေးသွား	téðwá
အရောင်းအဝယ်	ʔəjáʊɴʔəwɛ̀
တောင်းပန်	táʊɴbàɴ
အိမ်မြှောင်	ʔèɪɴm̥jàʊɴ
အိန္ဒိယ	ʔèɪɴdḭja̰
ဇနပုဒ်	zənəpoʊʔ
ပူဇော်	pùzɔ̀
ကက်ပတိန်	kɛʔpətèɪɴ
ဗိုက်	baɪʔ
ဒကာ	dəɡà
ထွန်း	tʰʊ́ɴ
ခြေသည်း	t͡ɕʰèðé
လေးထောင့်	léda̰ʊɴ
အစွန်း	ʔəsʊ́ɴ
ကူးစက်ရောဂါ	kúzɛʔjɔ́ɡà
အာနီ	ʔànì
မုတ်ဆိတ်	moʊʔsʰeɪʔ
ထုတ်လုပ်မှု	tʰoʊʔloʊʔm̥ṵ
လို	lò
အမှန်တရား	ʔəm̥àɴtəjá
ခဏခဏ	kʰəna̰ɡəna̰
ဝမ်းနည်း	wáɴné
ရာဇဝတ်	jàzəwʊʔ
ဝါဏိဇ္ဇပဋိပက္ခ	wàneɪʔza̰pədḭpɛʔkʰa̰
အယ်လဘမ်	ʔɛ̀ləbàɴ
နာမည်	nàmjì
အခု	ʔəkʰṵ
စောပြာ	sɔ́bjà
မှန်စာ	m̥àɴzà
ပို့စကတ်	po̰səkaʔ
နိုင်ငံကူးလက်မှတ်	nàɪɴŋàɴɡúlɛʔm̥aʔ
ဩဌဇ	ʔɔ́tʰəza̰
လေထီး	lèdí
မင်းကွတ်	mɪ́ɴɡʊʔ
တောသီတင်း	tɔ́θìdɪ́ɴ
နွား	nwá
ရုပ်ကလာပ်	joʊʔkəlaʔ
ခို	kʰò
ယင်	jɪ̀ɴ
နတ်သုဓာ	naʔθoʊʔdà
နိုင်ဂျီးရီးယား	nàɪɴd͡ʑíɹíjá
ဆလိုဗားကီးယား	sʰəlòbákíjá
သံပရို	θàɴba̰jò
ပေါ်လစီ	pɔ̀ləsì
ကင်ပွန်း	kɪ̀ɴbʊ́ɴ
ခံယူချက်	kʰàɴjùd͡ʑɛʔ
ဗာတီကန်	bàtìkàɴ
ဘဏ္ဍာရေး	bàndàjé
တည်	tɛ̀
လုံခြုံရေး	lòʊɴd͡ʑòʊɴjé
နိုင်ငံ	nàɪɴŋàɴ
ခွေးရူးပြန်ရောဂါ	kʰwéjúbjàɴjɔ́ɡà
ရင်ဘတ်	jɪ̀ɴbaʔ
အတိုး	ʔətó
ဖျင်ဖျင်	pʰjɪ̀ɴbjɪ̀ɴ
ကြယ်	t͡ɕɛ̀
ခေါင်းဆောင်	ɡáʊɴsʰàʊɴ
ဟာနွိုင်း	hànwáɪɴ
လက်ခံ	lɛʔkʰàɴ
ရာဝဏ	ɹàwəna̰
မိုက်	maɪʔ
ထောက်ပံ့	tʰaʊʔpa̰ɴ
နိုဝင်ဘာ	nòwɪ̀ɴbà
ဘုရား	pʰəjá
စာရင်းကိုင်ပညာ	səjɪ́ɴɡàɪɴpjɪ̀ɴɲà
မ	mə
လက်ပံခါး	lɛʔpàɴɡá
ဗုဒ္ဓ	boʊʔda̰
ပုဏ္ဏား	pòʊɴná
ကောက်ရိုး	kaʊʔjó
ခေတ်	kʰɪʔ
ဒေါင်း	dáʊɴ
အမရပူရ	ʔəməja̰pùja̰
ယာဘ	jàba̰
ဖန်ခါး	pʰàɴɡá
ဘော်ဒါကြေး	bɔ̀dàt͡ɕé
ကုလားဖြူ	kələpʰjù
အတာ	ʔətà
ပန်းသေး	páɴðé
စုပ်စုပ်	soʊʔsoʊʔ
ဘင်း	bɪ́ɴ
ရှည်	ʃè
ဒန်း	dáɴ
ရိုက်	jaɪʔ
ဒါပေမဲ့	dàbèmɛ̰
အီနောင်	ʔìnàʊɴ
မော်လမြိုင်	mɔ̀ləmjàɪɴ
ဆူးပုပ်	sʰúboʊʔ
အကိုင်း	ʔəkáɪɴ
ရုပ်	joʊʔ
လငယ်	la̰ŋɛ̀
ဟင်္သာ	hɪ́ɴθà
နေ့စဉ်	nḛzɪ̀ɴ
ပေါက်စီ	paʊʔsì
ဘွား	bwá
ဒဂုံ	dəɡòʊɴ
အသီး	ʔəθí
ဂီတာ	ɡìtà
တီကေ့	tìkḛ
ဇာတိပ္ဖိုလ်စေ့	zàdeɪʔpʰòzḛ
ကြေးအိုး	t͡ɕéʔó
လုပ်	loʊʔ
ကင်း	kɪ́ɴ
တို	tò
နှောက်	n̥aʊʔ
အာတိတ်	ʔàteɪʔ
စိတ္တဇပန်းချီ	seɪʔdəza̰bəd͡ʑì
အမဲသားမစားပါဘူး	ʔəmɛ́ðáməsábàbú
ကျေးဇူးတင်	t͡ɕézútɪ̀ɴ
သန်လျင်း	θàɴləjɪ́ɴ
ကတ်	kaʔ
စီးပွားရေး	síbwájé
သရုပ်ဖော်	θəjoʊʔpʰɔ̀
နနွင်း	sʰənwɪ́ɴ
သံချေး	θàɴd͡ʑí
သူလိုငါလို	θùlòŋàlò
မကန်း	məɡáɴ
နိုင်ငံတော်သီချင်း	nàɪɴŋàɴdɔ̀θət͡ɕʰɪ́ɴ
သီတင်းကျွတ်	ðədɪ́ɴd͡ʑʊʔ
ရှေ့ဆက်	ʃḛzɛʔ
လင်မယား	lɪ̀ɴməjá
ကုဋေ	ɡədè
ပီယဒဿီဘုရား	pìja̰daʔθìpʰəjá
ထိပ်စုဖုရား	tʰeɪʔsṵpʰəjá
ဘိုကလေး	bòɡəlé
မူလ	mùla̰
ဇေ	zè
ယဝဒီပ	ja̰wa̰dìpa̰
ဂုန္တန်	ɡòʊɴdàɴ
စစ်ကိုင်း	zəɡáɪɴ
ဗီတာမင်	bìtàmɪ̀ɴ
ဗိုလ်ချုပ်ကြီး	bòd͡ʑoʊʔd͡ʑí
ကျိုင်းတုံ	t͡ɕáɪɴtòʊɴ
မျက်လှည့်	mjɛʔl̥ɛ̰
စင်	sɪ̀ɴ
ဖြည်းဖြည်းချင်း	pʰjípʰjít͡ɕʰɪ́ɴ
သီတင်း	ðədɪ́ɴ
ဂျပန်	d͡ʑəpàɴ
ဖန်ခါးသီး	pʰàɴɡáðí
ဥပေက္ခါ	ʔṵpɛʔkʰà
ခြ	t͡ɕʰa̰
သင်း	θɪ́ɴ
မြင်းခြံ	mjɪ́ɴd͡ʑàɴ
ငှါး	ŋ̊á
ဥဏ္ဏလုံမွေးရှင်	ʔòʊɴnəlòʊɴm̥wéʃɪ̀ɴ
လှပ	l̥a̰pa̰
ဘီနင်	bìnɪ̀ɴ
သံပရာ	θàɴbəjà
မတ်ပဲ	maʔpɛ́
နာနတ်သီး	nànaʔθí
စိမ်း	séɪɴ
ကတွတ်ယို	kədʊʔjò
ပိုက်သမား	paɪʔθəmá
ရင်းရဲ	jɪ́ɴjɛ́
ဝတ္ထု	wʊʔtʰṵ
အာဖရိက	ʔàpʰəɹḭka̰
ဘက္ကဒီးအစ်	bɛʔkədíʔɪʔ
ဉာဏ်ပူဇော်ခ	ɲànpùzɔ̀kʰa̰
လူသား	lùðá
စီးကလိပ်	síkəleɪʔ
ကာလ	kàla̰
ပန်းဆယ်မျိုး	páɴsʰɛ̀mjó
သရဏင်္ကရာ	θəɹənɪ̀ɴkəɹà
ဆွမ်းမွှေး	sʰʊ́ɴm̥wé
တံစဉ်း	dəzɪ́ɴ
ဝိနည်း	wḭní
မဟာဘွဲ့	məhàbwɛ̰
ဝမ်းကျ	wáɴd͡ʑa̰
ဝိနိစ္ဆယ	wḭneɪʔsəja̰ja̰
ကချေသည်	ka̰d͡ʑèðè
ကာကွယ်ဆေး	kàɡwɛ̀zé
ပလိပ်	pəleɪʔ
ဝနာ	wənà
မုန်ညင်းဆီ	mòʊɴɲɪ́ɴsʰì
ဘုံပိုင်	bòʊɴbàɪɴ
ဒိန်းမတ်	déɪɴmaʔ
ဘိသိက်	beɪʔθeɪʔ
မောင်နှမ	màʊɴn̥əma̰
မင်္ဂလ	mɪ̀ɴɡəla̰
စာတိုက်	sàdaɪʔ
ငရဲ	ŋəjɛ́
ခေါက်ဆွဲဆိုင်	kʰaʊʔsʰwɛ́zàɪɴ
ဒေသန္တရစကား	dèθàɴtəɹa̰zəɡá
သိန်း	θéɪɴ
သူများနည်းတူ	θùmjánítù
အာမခံ	ʔàma̰ɡàɴ
တေဇော	tèzɔ́
တံငါ	təŋà
စင်စင်	sɪ̀ɴzɪ̀ɴ
ပဲမှုန့်	pɛ́m̥o̰ʊɴ
ဆိုင်းဝိုင်း	sʰáɪɴwáɪɴ
အလုပ်ရုံ	ʔəloʊʔjòʊɴ
တရုတ်ဆီးသီး	təjoʊʔzíθí
သာဓု	θàdṵ
အင်္ဂါ	ʔɪ̀ɴɡà
သန်တူ	θàɴtù
နှုတ်ခမ်း	n̥oʊʔkʰáɴ
ဝိတ်	weɪʔ
ခပ်သိမ်း	kʰaʔθéɪɴ
ဗိုလ်ချုပ်	bòd͡ʑoʊʔ
လိပ်ပြာ	leɪʔpjà
ပရိသတ်	pəjeɪʔθaʔ
သဘာဝတ္ထဗေဒ	θəbàwʊʔtʰa̰bèda̰
ငါးသလောက်	ŋəθəlaʊʔ
ကြက်ဟင်းခါးသီး	t͡ɕɛʔhɪ́ɴɡáðí
အော့	ʔɔ̰
ဖူး	bú
ကောဏ္ဍည	kɔ̀ndəɲa̰
ပုလိပ်	pəleɪʔ
ပြစ်မှု	pjɪʔm̥ṵ
ဆပ်	sʰaʔ
ဖိတ်	pʰeɪʔ
လက်	lɛʔ
အကျည်းတန်	ʔət͡ɕítàɴ
ဥဏှဂူ	ʔòʊɴn̥əɡù
ပွေး	pwé
အလုပ်	ʔəloʊʔ
ဆု	sʰṵ
စက်ခေါင်း	sɛʔɡáʊɴ
အပိုင်း	ʔəpáɪɴ
မော်လီကျူး	mɔ̀lìt͡ɕú
ဝံ	wʊ̀ɴ
ကျောက်မီး	t͡ɕaʊʔmí
ဖင်	pʰɪ̀ɴ
ကလျာဏီ	kələjànì
လတ်	laʔ
မရန်း	məjáɴ
ရက်	jɛʔ
စမ်း	sáɴ
နေစကြဝဠာ	nèsɛʔt͡ɕàwəlà
ရင်ပတ်	jɪ̀ɴbaʔ
ဂျူး	d͡ʑú
ကံ့ကူတံ	ka̰ɴɡùdàɴ
မေးခွန်း	méɡʊ́ɴ
ဒေါ်လေး	dɔ̀lé
နားရွက်	nəjwɛʔ
ကင်းခြေများ	kɪ́ɴt͡ɕìmjá
နမ်း	náɴ
အာကာသယာဉ်	ʔàkàθa̰jɪ̀ɴ
ကိုလိုနီ	kòlònì
သဲကျောက်	θɛ́d͡ʑaʊʔ
ဆာယာ	sʰàjà
ကန်	kàɴ
အာဏာသား	ʔànàðá
ဖော့ဖျက်	pʰɔ̰bjɛʔ
ခံမြို့	kʰàɴmjo̰
မှန်မှန်	m̥àɴm̥àɴ
ကမာ	kəmà
မွှား	m̥wá
စွတ်ဖါး	sʊʔpʰá
ပုစဉ်း	bəzɪ́ɴ
သစ်သစ်	θɪʔθɪʔ
ပထွေး	pətʰwé
ကလောင်	kəlàʊɴ
ပြင်း	pjɪ́ɴ
သင်္ဂဟ	θɪ̰ɴɡəha̰
ဘကကျောင်း	ba̰ka̰t͡ɕáʊɴ
နှစ်	n̥ɪʔ
ရဲသား	jɛ́ðá
ရုံ	jòʊɴ
ဖြေ	pʰjè
သန်လျက်	θàɴjɛʔ
အမူအရာ	ʔəmùʔəjà
ဒြပ်ထု	dəɹaʔtʰù
လုံးလုံး	lóʊɴlóʊɴ
ယုတ္တိ	joʊʔtḭ
အင်းဆက်	ʔɪ́ɴsʰɛʔ
သမ္ဗန္ဓ	θàɴbàɴda̰
ဟ	ha̰
မြို့စား	mjo̰zá
ချေး	t͡ɕʰí
ဘထွေး	ba̰tʰwé
ချင်း	t͡ɕʰɪ́ɴ
သံကြိုးစာ	θàɴd͡ʑózà
ဘဏ္ဍာ	bàndà
ကျက်သရေ	t͡ɕɛʔθəjè
တံတိုင်း	dədáɪɴ
ကြောင်	t͡ɕàʊɴ
ကြွင်း	t͡ɕwɪ́ɴ
တေးသံရှင်	téθàɴʃɪ̀ɴ
သူပုန်ထ	ðəbòʊɴtʰa̰
ဆက္ကဂံ	sʰɛʔkəɡàɴ
အချုပ်အခြာအာဏာ	ʔət͡ɕʰoʊʔʔət͡ɕʰàʔànà
အထုပ်	ʔətʰoʊʔ
သေခြင်း	θèd͡ʑɪ́ɴ
ဘိုလီးဗီးယား	bòlíbíjá
အခွံ	ʔəkʰʊ̀ɴ
ဗြဟ္မစိုရ်တရား	bjəməzòjtəjá
နှင်းသီး	n̥ɪ́ɴðí
မိုးကုတ်	móɡoʊʔ
ကုတ်	koʊʔ
ပုံ	pòʊɴ
ခေး	kʰé
ပျူ	pjù
အလုပ်သမား	ʔəloʊʔθəmá
နို့လိမ်	no̰lèɪɴ
နွားမ	nəma̰
ကုလားအုတ်	kələʔoʊʔ
ရောမ	ɹɔ́ma̰
မြေပြန့်	mjèbja̰ɴ
နာဂရီ	nàɡəɹì
အိမ်ရှေ့မင်းသား	ʔèɪɴʃḛmɪ́ɴðá
ရိုးရာအမည်	jójàʔəmjì
လှ	l̥a̰
စားပြီးပြီလား	sápíbìlá
သူရိန်	θùjèɪɴ
ဗိုလ်ချုပ်မှူးကြီး	bòd͡ʑoʊʔm̥úd͡ʑí
ဆယ့်နှစ်လ	sʰɛ̰n̥əla̰
သဘောတူ	ðəbɔ́tù
သွားကြားထိုးတံ	θwád͡ʑátʰódàɴ
ခြေဖဝါး	t͡ɕʰèbəwá
မြက်ခုတ်ဓား	mjɛʔkʰoʊʔdá
လောင်	làʊɴ
ငို	ŋò
ပုဗ္ဗ	poʊʔba̰
ချဒ်	t͡ɕʰàd
ဖျား	pʰjá
ကုသိုလ်ကံ	kṵðòɡàɴ
အရွတ်	ʔəjʊʔ
တရား	təjá
သိုးထီး	θódí
ကျွဲကော	t͡ɕwɛ́ɡɔ́
အမြန်	ʔəmjàɴ
တူးရစ်	túɹɪʔ
ပို့	po̰
ကနေဒါ	ka̰nèdà
ဘုန်းဘုန်း	pʰóʊɴpʰóʊɴ
နှင့်တကွ	n̥ɪ̰ɴdəɡwa̰
တဏှာ	tən̥à
ဓမ္မပါလ	dàɴma̰pàla̰
မော	mɔ́
စပျစ်သီး	zəbjɪʔθí
အကို	ʔəkò
မီးပန်း	míbáɴ
ကမ္ဘာ	ɡəbà
အဖေ	ʔəpʰè
ပါဝါ	pàwà
အရမ်း	ʔəjáɴ
ပျော်	pjɔ̀
ယခု	jəkʰṵ
ဂေါ်ရခါးသီး	ɡɔ̀jəkʰáθí
ဥရောပ	ʔṵɹɔ́pa̰
ဘယ်လောက်	bɛ̀laʊʔ
မှန်လာ	m̥àɴlà
စက္ကန့်	sɛʔka̰ɴ
သူမ	θùma̰
ရောဂါ	jɔ́ɡà
ပရိယာယ်	pəɹḭjè
ပုန်းရည်ကြီး	póʊɴjèd͡ʑí
ကိုမိုရို	kòmòɹò
အတ္တဒဿီ	ʔaʔta̰daʔθì
သီရိ	θìɹḭ
ကြက်ခြေ	t͡ɕɛʔt͡ɕʰè
သာမဏေ	θàmənè
သုက်	θoʊʔ
လက်တင်အမေရိက	lɛʔtɪ̀ɴʔəmèɹḭka̰
တူရကီ	tùɹəkì
ပလတ်စတစ်	pəlaʔsətɪʔ
အပေါ်	ʔəpɔ̀
ဝန်ကြီးချုပ်	wʊ̀ɴd͡ʑíd͡ʑoʊʔ
နှောင်း	n̥áʊɴ
ဓာတ်ဆီဆိုင်	daʔsʰìzàɪɴ
ကောင်မငယ်	kàʊɴma̰ŋɛ̀
ယောက္ခမ	jaʊʔkʰəma̰
ရွှေချည်ထိုး	ʃwèd͡ʑìdó
လည်ပင်း	lɛ̀bɪ́ɴ
ဝါဒ	wàda̰
တိ	tḭ
အာလူး	ʔàlú
အင်းစိန်	ʔɪ́ɴsèɪɴ
သူမသာကိုယ်မသာ	θùməθàkòjməθà
လိုဏ်ခေါင်း	l̥àɪɴɡáʊɴ
ထိုင်	tʰàɪɴ
တိမ်	tèɪɴ
လောက	lɔ́ka̰
ဆိတ်ချေး	sʰeɪʔt͡ɕʰí
သု	θṵ
များ	mjá
ဘကုန်း	ba̰kóʊɴ
ပြီ	pjì
အမျိုးသား	ʔəmjóðá
ပိုလန်	pòlàɴ
ကဲ့	kɛ̰
ဆွမ်းအုပ်	sʰʊ́ɴʔoʊʔ
ဗဟုသုတ	bəhṵθṵta̰
ပသျှူးရာမ	pəʃújàma̰
ဝိညာဉ်	wèɪɴɲɪ̀ɴ
လပြည့်ဝန်း	la̰bjḛwʊ́ɴ
အတွင်းစကား	ʔətwɪ́ɴzəɡá
ခက်ရင်း	kʰəjɪ́ɴ
ညောင်	ɲàʊɴ
နား	ná
မယ်ဇလီ	mɛ̀zəlì
