miyako	ˈmiˌəˌkoʊ
preference	ˈpɹɛfɝəns,ˈpɹɛfɹəns
baranek	ˈbæɹənɪk
crossed	ˈkɹɔst
deliverer	dɪˈɫɪvɝɝ
scheduling	ˈskɛdʒʊɫɪŋ,ˈskɛdʒuɫɪŋ
membered	ˈmɛmbɝd
manning's	ˈmænɪŋz
aldenville	ˈɑɫdənvɪɫ
behney	ˈbɛni
raynor	ˈɹeɪnɝ
democratic's	ˌdɛməˈkɹætɪks
compas	ˈkɑmpəs
ellman	ˈɛɫmən
giza	ˈɡizə,ˈɡɪzə
intercable	ˌɪntɝˈkeɪbəɫ
balazs	ˈbɔɫəʃ
reoffended	ɹiɔˈfɛndɪd
steppes	ˈstɛps
linehan	ˈɫɪnɪhæn
compaq's	ˈkɑmˌpæks
bouncers	ˈbaʊnsɝz
new-hampshire's	ˈnuˈhæmpʃɝz
cruze	ˈkɹuz
grandchildren's	ˈɡɹænˌtʃɪɫdɹənz,ˈɡɹændˌtʃɪɫdɹənz
furrh	ˈfɝ
lino	ˈɫinoʊ
belting	ˈbɛɫtɪŋ
b'nai	bəˈneɪ
bisceglia	bɪsˈtʃɛɡɫiə
collamore	koʊˈɫɑmɔɹ
hauls	ˈhɔɫz
criger	ˈkɹaɪdʒɝ
brows	ˈbɹaʊz
quayles	ˈkweɪɫz
pugmire	ˈpəɡˌmaɪɹ
rockets	ˈɹɑkəts
hoofs	ˈhufs,ˈhʊfs
shieh	ˈʃi
finns	ˈfɪnz
pietz	ˈpits
vogl	ˈvɑɡəɫ
self-subsistence	ˌsɛɫfsəbˈsɪstəns
tillison	ˈtɪɫɪsən
breedlove	ˈbɹidˌɫəv
promptly	ˈpɹɑmpɫi,ˈpɹɑmptɫi
jagt	ˈdʒæt
nth	ˈɛnθ
pleasurama	ˌpɫɛʒʊˈɹæmə
gaige	ˈɡeɪdʒ
hangsang's	ˈhæŋˌsæŋz
jenison	ˈdʒɛnɪsən
vrba	ˈvɝˈbɑ
decertification	diˌsɝtəfəˈkeɪʃən
feigning	ˈfeɪnɪŋ
monzert	ˈmɑnzɝt
lemelin	ˈɫɛmɪɫɪn
palmstierna	ˌpɔɫmstiˈɛɹnə
submissions	səbˈmɪʃənz
jewell	ˈdʒuɪɫ
height	ˈhaɪt
signal	ˈsɪɡnəɫ
kojak	ˈkoʊˌdʒæk
webster	ˈwɛbstɝ
herwick	ˈhɝˌwɪk
electrify	ɪˈɫɛktɹəˌfaɪ
allinder	ˈæɫɪndɝ
lantana	ɫænˈtænə
kuwaiti	kuˈweɪti
ameritech's	əˈmɛɹɪˌtɛks
unsuitable	ənˈsutəbəɫ
envos	ˈɛnvoʊs
minchew	ˈmɪntʃju
stallard	ˈstæɫɝd
doors	ˈdɔɹz
argue	ˈɑɹɡju
galicia	ɡəˈɫɪʃiə
profusely	pɹəfˈjusɫi
mollusk	ˈmɑɫəsk
rembrandt's	ˈɹɛmˌbɹænts
farino	fɑˈɹinoʊ
falsehoods	ˈfæɫsˌhʊdz
betzler	ˈbɛtsɫɝ
wisdom	ˈwɪzdəm
etsy	ˈɛtsi
grandstaff	ˈɡɹændˌstæf
scapegoating	ˈskeɪpˌɡoʊtɪŋ
goats	ˈɡoʊts
dembinski	dɪmˈbɪnski
dribbed	ˈdɹɪbd
resubmitting	ˌɹisəbˈmɪtɪŋ
hoving	ˈhoʊvɪŋ
jackett	ˈdʒækɪt
schlarb	ˈʃɫɑɹb
obliges	əˈbɫaɪdʒɪz
fictional	ˈfɪkʃənəɫ
sant	ˈsænt
critics'	ˈkɹɪtɪks
crook	ˈkɹʊk
colorful	ˈkəɫɝfəɫ
barkes	ˈbɑɹks
masochist	ˈmæsəkɪst
warcraft	ˈwɔɹˌkɹæft
lawler	ˈɫɔɫɝ
erbamont	ˈɝbəˌmɑnt
daiwa	ˈdeɪwə
cage's	ˈkeɪdʒɪz
keystroke	ˈkiˌstɹoʊk
emphasize	ˈɛmfəˌsaɪz
viewer	ˈvjuɝ
jablonowski	jəbɫəˈnɔfski
soltero	soʊɫˈtɛɹoʊ
sisley	ˈsɪzɫi
coehlo	ˈkoʊɫoʊ
ortegas	ɔɹˈteɪɡəs
kinkel	ˈkɪŋkəɫ
kazunori	ˌkæzəˈnoʊˌɹi
theda's	ˈθidəz
speagle	ˈspiɡəɫ
calkin	ˈkæɫkɪn
lufkin	ˈɫəfkɪn
riga	ˈɹiɡə
inhabiting	ɪnˈhæbətɪŋ
aerodynamically	ˌɛɹoʊdaɪˈnæmɪkɫi
zylka	ˈzɪɫkə
characterizes	ˈkɛɹəktɝˌaɪzəz
commerciale's	kəˌmɝsiˈæɫz,koʊˌmɛɹsiˈæˌɫeɪz
hopman	ˈhɑpmən
madaris	ˈmædɝɪs
louima's	ɫuˈiməz
putter	ˈpətɝ
awol	ˈeɪˌwɔɫ
disenchanted	dɪsɪnˈtʃænɪd,dɪsɪnˈtʃæntɪd
brodie	ˈbɹoʊti
ipad's	ˈaɪˌpædz
megaton	ˈmɛɡəˌtən
dacey	ˈdeɪsi
surer	ˈʃʊɹɝ
residencies	ˈɹɛzɪˌdɛnsiz
hochstatter	ˈhɑkstətɝ
siedenburg	ˈsidənbɝɡ
toste	ˈtoʊst
timberlands	ˈtɪmbɝˌɫændz
almo	ˈɑɫmoʊ
perforation	ˌpɝfɝˈeɪʃən
wigley	ˈwɪɡɫi
bam	ˈbæm
sterilizing	ˈstɛɹəˌɫaɪzɪŋ
guatemalans	ˌɡwɑtəˈmɑɫənz
cartersville	ˈkɑɹtɝzˌvɪɫ
brining	ˈbɹaɪnɪŋ
beadles	ˈbidəɫz
predated	ˈpɹiˈdeɪtɪd,pɹiˈdeɪtɪd
cohabitation	koʊˌhæbəˈteɪʃən
kobacker	ˈkoʊˌbækɝ
anthropogenic	ˌænθɹəpəˈdʒɛnɪk
ludeman	ˈɫudmən
extradites	ˈɛkstɹəˌdaɪts
bottles	ˈbɑtəɫz
waterson	ˈwɔtɝsən
impotence	ˈɪmpətəns
deane	ˈdin
plimpton	ˈpɫɪmptən
dithyramb	ˈdɪθɝˌæm
hopi	ˈhoʊpi
poitier	ˈpwɑtˌjeɪ,ˈpɔɪtjɝ
mints	ˈmɪnts
patuxet	pəˈtəksət
rettinger	ˈɹɛtɪndʒɝ,ˈɹɛtɪŋɝ
greenback's	ˈɡɹinˌbæks
ramberg	ˈɹæmbɝɡ
leroy	ˈɫiˌɹɔɪ
reasoner	ˈɹizənɝ
goldsby	ˈɡoʊɫdzbi
warranty	ˈwɔɹənti
guinan	ɡwiˈnɑn
artur	ˈɑɹtʊɹ
earney	ˈɝni
oppressing	əˈpɹɛsɪŋ
dissipate	ˈdɪsəˌpeɪt
enforced	ɛnˈfɔɹst
grandpa's	ˈɡɹænˌpɑz
scouted	ˈskaʊtɪd
callegari	kɑɫɛˈɡɑɹi
abbreviates	əˈbɹiviˌeɪts
burchill	ˈbɝtʃɪɫ
bisuteki's	ˌbisuˈteɪkiz
pileggi	pɪˈɫɛdʒi
sooners	ˈsunɝz
phenomena	fəˈnɑmənə
bieser	ˈbisɝ
courage	ˈkɝɪdʒ,ˈkɝədʒ
intis	ˈɪntɪs
unrolling	ˌənˈɹoʊɫɪŋ
sight	ˈsaɪt
votava	voʊˈtɑvə
dumler	ˈdəmɫɝ
krabbe	ˈkɹæb
interim	ˈɪntɹəm,ˈɪnɝəm,ˈɪntɝəm
unruffled	ənˈɹəfəɫd
charlatan	ˈʃɑɹɫətən
lorries	ˈɫɔɹiz
poacher	ˈpoʊtʃɝ
lene	ˈɫin
indefinite	ˌɪnˈdɛfənət
phoebus	ˈfibəs
kuwaitis	kuˈweɪtiz
platen	ˈpɫætən
wallen	ˈwɔɫən
embankments	ɛmˈbæŋkmənts
gyrating	ˈdʒaɪˌɹeɪtɪŋ
koshered	ˈkoʊʃɝd
nitrous	ˈnɪtɹəs
defect	dɪˈfɛkt,ˈdifɛkt
sinead	ʃɪˈnid,sɪˈneɪæd
shiller	ˈʃɪɫɝ
sasser	ˈsæsɝ
revolved	ɹiˈvɑɫvd
egli	ˈɛɡɫi
billard	bɪˈɫɑɹd
southwell	ˈsaʊθˌwɛɫ
barrowman	ˈbɛɹoʊmən,ˈbæɹoʊmən
o'bara	oʊˈbɑɹə
leifheit	ˈɫaɪfhaɪt
smarten	ˈsmɑɹtən
thomley	ˈθɑmɫi
kongsberg	ˈkɔŋɡzbɝɡ,ˈkɔŋzbɝɡ
michio	ˈmɪtʃioʊ
usual	ˈjuʒəwəɫ,ˈjuʒuəɫ
hirt	ˈhɝt
tevlin	ˈtɛvɫɪn
hou	ˈhu
lamine	ɫəˈmin
rufus	ˈɹufəs
kuiken	ˈkukən
teater	ˈtitɝ
spektr	ˈspɛktɝ
constellations	ˌkɑnstəˈɫeɪʃənz
mcnall	məkˈnɔɫ
wazir's	wɑˈzɪɹz
bettes	ˈbɛtiz
tone	ˈtoʊn
lienemann	ˈɫinəmən
peterson's	ˈpitɝsənz
belcastro	bɛɫˈkæstɹoʊ
discombobulating	ˌdɪskəmˈbɔbjuɫeɪtɪŋ
unreliable	ˌənɹiˈɫaɪəbəɫ,ˌənɹɪˈɫaɪəbəɫ
kutscher	ˈkətʃɝ
nunez	ˈnunɛz
muffle	ˈməfəɫ
sabatino	sɑbɑˈtinoʊ
spees	ˈspiz
trosch	ˈtɹɑʃ
loews	ˈɫoʊz
millionths	ˈmɪɫjəntθs
buker	ˈbjukɝ
extinctions	ɪkˈstɪŋʃənz,ɪkˈstɪŋkʃənz
zemba	ˈzɛmbə
hintze	ˈhɪntz
townships	ˈtaʊnʃɪps
lars	ˈɫɑɹz
continent's	ˈkɑntənənts
pounced	ˈpaʊnst
music	ˈmjuzɪk
batignolles	ˌbætɪnˈjoʊɫəs
lauinger	ˈɫaʊɪŋɝ
badal	ˈbeɪdəɫ
speir	ˈspɪɹ
examiner's	ɛɡˈzæmənɝz
samarin	sɑˈmɑɹin
questionable	ˈkwɛstʃənəbəɫ
pesatori	ˌpɛsəˈtɔɹi
wiggin	ˈwɪɡɪn
lunging	ˈɫəndʒɪŋ
azure	ˈæʒɝ
chalkley	ˈtʃæɫkɫi
revisionist	ɹiˈvɪʒənɪst
soave	ˈsoʊv
apology	əˈpɑɫəˌdʒi
telamon	ˈtɛɫəmən
shavings	ˈʃeɪvɪŋz
alongside	əˈɫɔŋˈsaɪd
fechner	ˈfɛknɝ
tactic	ˈtæktɪk
makeshift	ˈmeɪkˌʃɪft
aimee	ˈeɪˈmi
skewes	ˈskjuz
ruth's	ˈɹuθs
tausch	ˈtaʊʃ
naclerio	nɑˈkɫɛɹiˌoʊ
gorum	ˈɡɔɹəm
bischel	ˈbɪʃəɫ
scolaro	skoʊˈɫɑɹoʊ
wisby	ˈwɪsbi
nolasco	noʊˈɫɑskoʊ
laporta	ɫəˈpɔɹtə
kolesar	kəˈɫɛsɝ
corporates	ˈkɔɹpɝəts
ailey	ˈeɪɫi
ellzey	ˈɛɫzi
firestone	ˈfaɪɹˌstoʊn
husby	ˈhəsbi
kismets	ˈkɪzmɪts
callaway	ˈkæɫəweɪ
quechee	ˈkwɛtʃi
pris	ˈpɹɪs
twomey	ˈtwɑmi
reputedly	ɹɪpˈjutɪdɫi
hubby	ˈhəbi
peacefulness	ˈpisfəɫnəs
loring	ˈɫɔɹɪŋ
exum	ɪɡˈzəm
kopas	ˈkoʊpəz
stems	ˈstɛmz
shoeprint	ˈʃuˌpɹɪnt
enhances	ɛnˈhænsɪz
doles's	ˈdoʊɫzɪz
tu	ˈtu
miazga	miˈɑzɡə
kiewit	ˈkiwɪt
mueller	ˈmjuɫɝ
capable	ˈkeɪpəbəɫ
data	ˈdætə,ˈdeɪtə
aloysia	ɑˈɫɔɪsiə
peatross	ˈpitɹəs
scorekeeper	ˈskɔɹˌkipɝ
augspurger	ˈaʊɡspɝɡɝ,ˈɔɡspɝɡɝ
silkey	ˈsɪɫki
uprising	əˈpɹaɪzɪŋ,ˈəˌpɹaɪzɪŋ
vahey	ˈvæˌheɪ
carriers	ˈkæɹiɝz,ˈkɛɹiɝz
teikoku	ˌteɪˈkoʊˌku
grieveson	ˈɡɹivəsən,ˈɡɹivsən
salaried	ˈsæɫɝid
consortiums	kənˈsɔɹʃəmz,kənˈsɔɹʃjəmz
flater	ˈfɫeɪtɝ
abdullah	ˌæbˈdəɫə
leaped	ˈɫipt,ˈɫɛpt
faiola	ˈfaɪoʊɫə
hairline	ˈhɛɹˌɫaɪn
wiemann	ˈwimən
winnable	ˈwɪnəbəɫ
mediated	ˈmidiˌeɪtɪd
moldenhauer	ˈmoʊɫdɪnhaʊɝ
suzanna	ˌsuˈzænə
pitzer	ˈpɪtzɝ
wanes	ˈweɪnz
nature's	ˈneɪtʃɝz
caregiving	ˈkɛɹˌɡɪvɪŋ
abatements	əˈbeɪtmənts
dulcie	ˈdəɫki
layaway	ˈɫeɪəˌweɪ
incubation	ˌɪŋkjuˈbeɪʃən
dougl	ˈduɡəɫ
scillas	ˈsɪɫəz
diefenderfer	ˈdifɪndɝfɝ
victoria's	vɪkˈtɔɹiəz
bannan	ˈbænən
rabenold	ˈɹæbɪˌnoʊɫd
simulates	ˈsɪmjəˌɫeɪts
calvi	ˈkɑɫvi
x.'s	ˈɛksɪz
pheasant	ˈfɛzənt
toshiba's	toʊˈʃibəz
rededication	ɹiˌdɛdəˈkeɪʃən
pius	ˈpaɪəs
militarize	ˈmɪɫətɝˌaɪz
compliments	ˈkɑmpɫəmɛnts
meisenheimer	ˈmaɪsɪnhaɪmɝ
blankenship	ˈbɫæŋkənˌʃɪp
peon	ˈpiən
haunts	ˈhɔnts
nickles	ˈnɪkəɫz
backwardness	ˈbækwɝdnəs
alsbury	ˈɔɫzbɛɹi,ˈæɫzbɛɹi
treetop	ˈtɹiˌtɔp
transit	ˈtɹænzɪt
riemer	ˈɹimɝ
rumpel	ˈɹəmpəɫ
interred	ˌɪnˈtɝd
allusion	əˈɫuʒən
kihn	ˈkɪn
rodak	ˈɹoʊdək
spas	ˈspɑz
maese	ˈmis
newsweekly	ˈnuzˌwikɫi
cranney	ˈkɹæni
perhaps	pɝˈhæps
robbin	ˈɹɑbɪn
palmdale	ˈpɑmˌdeɪɫ
buteco	ˌbuˈtɛkoʊ
nasrullah	nəzˈɹuɫə
caruth	ˈkæɹuθ
pelagreeny	pɛɫəˈɡɹini
coupler	ˈkəpɫɝ
livingston's	ˈɫɪvɪŋstənz
maneuvered	məˈnuvɝd
dimitroff	ˈdɪmɪtɹɔf
reassured	ˌɹiəˈʃʊɹd
connecter	kəˈnɛktɝ
manik	ˈmænɪk
afroamericans	ˈæfɹoʊəˈmɛɹəkənz
flogging	ˈfɫɑɡɪŋ
ruthenberg	ˈɹəθənbɝɡ
apter	ˈæptɝ
cameron's	ˈkæmɝənz
drexel	ˈdɹɛksəɫ
eisenhut	ˈaɪzənhət
pena	ˈpɛnə,ˈpeɪnjə
bobadilla	boʊbɑˈdɪɫə
abducting	æbˈdəktɪŋ,əbˈdəktɪŋ
delegates'	ˌdɛɫəˈɡeɪts
ronca	ˈɹoʊnkə
sundy	ˈsəndi
wray	ˈɹeɪ
shindler's	ˈʃɪndɫɝz
schnyder's	ˈʃnaɪdɝz
tumultuous	ˌtuˈməɫˌtʃuəs
herm	ˈhɝm
riksbank	ˈɹɪksˌbæŋk
fiorina	fiɔˈɹinə
warehime	ˈwɛɹˌhaɪm
outbound	ˈaʊtˌbaʊnd
isogenic	ˌaɪsoʊˈdʒɛnək
blindside	ˈbɫaɪndˌsaɪd
forgetting	fɝˈɡɛtɪŋ,fɔɹˈɡɛtɪŋ
dolinsky	dəˈɫɪnski
borge	ˈbɔɹdʒ
romaniello	ɹoʊmɑniˈɛɫoʊ
catrett	ˈkætɹɪt
gleisner	ˈɡɫaɪsnɝ
congresspersons	ˈkɑŋɡɹəˌspɝsənz
aslin	əˈsɫɪn
jackhammers	ˈdʒækˌhæmɝz
farless	ˈfɑɹɫəs
priority	pɹaɪˈɔɹəti
tonks	ˈtɑŋks
lavan	ˈɫeɪvən
colston	ˈkoʊɫstən
callery	ˈkæɫɝi
deductions	dɪˈdəkʃənz
burgomaster's	ˈbɝɡəˌmæstɝz
danelle	dəˈnɛɫ
burckhardt	ˈbɝkhɑɹt
cibro	ˈsɪbɹoʊ
moorman	ˈmʊɹmən
rey	ˈɹeɪ
tinsel	ˈtɪnsəɫ
soliz	ˈsoʊɫiz
jemimah	dʒɛˈmaɪmə
witzel	ˈwɪtzəɫ
unclassified	ənˈkɫæsɪˌfaɪd
iphiginia	ˌɪfədʒiˈniə,ˌɪfədʒiˈnaɪə
flashing	ˈfɫæʃɪŋ
agate	ˈæɡət
punxatauney	ˌpəŋksəˈtɑni
pointers	ˈpɔɪntɝz
goyko	ˈɡɔɪkoʊ
intermediates	ˌɪntɝˈmidiəts,ˌɪnɝˈmidiəts,ˌɪnɝˈmidieɪts,ˌɪntɝˈmidieɪts
saturdays	ˈsætɝdiz,ˈsætɝdeɪz
creaking	ˈkɹikɪŋ
ouimette	wiˈmɛt
postle	ˈpɑsəɫ
ponte	ˈpɑnt
thiesen	ˈθisən
concentrating	ˈkɑnsənˌtɹeɪtɪŋ
alfre	ˈæɫˌfɹi,ˈæɫfɝ
bernheim	ˈbɝnhaɪm
runup	ˈɹəˌnəp
repap	ˈɹipæp
luxor	ˈɫəksɝ
cousy	ˈkuzi
wussler	ˈwəsɫɝ
madhusudan	ˌmɑdhuˈsudən
non-management	nɑnˈmænɪdʒmənt
toiletry	ˈtɔɪɫətɹi
shertzer	ˈʃɝtzɝ
straggle	ˈstɹæɡəɫ
crewes	ˈkɹuz
greek	ˈɡɹik
updated	əpˈdeɪtɪd,ˈəpˌdeɪtɪd
manhood	ˈmænˌhʊd
parents	ˈpɛɹənts
benighted	bɪˈnaɪtɪd
doctrine	ˈdɔktɝɪn,ˈdɑktɹən
costed	ˈkɑstɪd
hardister	ˈhɑɹdɪstɝ
baudendistel	ˈbaʊdɪndɪstəɫ
pingel	ˈpɪŋɡəɫ
morehead	ˈmɔɹhɛd
measurable	ˈmɛʒɝəbəɫ
bta	ˈbiˈtiˈeɪ
perceval	pɝseɪˈvæɫ
aromatherapy	əˌɹoʊməˈθɝəpi
colaluca	ˌkoʊɫəˈɫukə
retracts	ɹiˈtɹækts
orangutan's	ɔˈɹæŋətænz,ɔˈɹæŋətɑnz
ireland	ˈaɪɹɫənd,ˈaɪɝɫənd
rawdon	ˈɹɔdən
guaranteed	ˌɡɛɹənˈtid
kunzler	ˈkənzɫɝ
chevys	ˈʃɛˌvis,ˈtʃɛˌvis
pizzitola	pitsiˈtoʊɫə
hanoi's	həˈnɔɪz
tooling	ˈtuɫɪŋ
byers	ˈbaɪɝz
ognibene	oʊɡniˈbɛnə
excises	ˈɛkˌsaɪzɪz
wikle	ˈwaɪkəɫ
stumper	ˈstəmpɝ
waists	ˈweɪsts
besancon	bɪˈsænkən
impresses	ˌɪmˈpɹɛsɪz
disinfectant	dɪsɪnˈfɛktənt
mercedes's	mɝˈseɪdizɪz,mɝˈseɪdiz
marymount's	ˈmɛɹiˌmaʊnts
conser	ˈkɑnsɝ
cordasco	kɝˈdɑskoʊ
yu	ˈju
rentas	ˈɹɛntəz
charitably	ˈtʃɛɹɪtəbɫi
o'mahoney	oʊməˈhoʊni
alleman	ˈeɪɫmən
icy	ˈaɪsi
ru	ˈɹu,ˈɑɹˈju
garramone	ˈɡæɹəˌmoʊn
processes	ˈpɹɑsɛsəz
sky	ˈskaɪ
tarpley	ˈtɑɹpɫi
forint	ˈfɔɹɪnt
farai	ˈfɑɹeɪ,ˈfɑɹaɪ,ˈfɛɹeɪ
cymbal	ˈsɪmbəɫ
spinning	ˈspɪnɪŋ
kollman	ˈkɑɫmən
tomasino	toʊmɑˈsinoʊ
usmc	ˈjuˈɛˈsɛmˈsi
nitroglycerine	ˌnaɪtɹoʊˈɡɫɪsɝən,ˌnaɪtʃɹəˈɡɫɪsɝən,ˌnaɪtɹəˈɡɫɪsɝən
inapplicable	ˌɪˈnæpɫɪkəbəɫ
dearinger	ˈdɪɹɪŋɝ
burget	ˈbɝɡɛt
menudo	mənˈjudoʊ
sleuth	ˈsɫuθ
scuba	ˈskubə
efficient	ɪˈfɪʃənt
grannis	ˈɡɹænɪs
gopi	ˈɡoʊpi
salinity	səˈɫɪnəˌti
kosakowski	kəsəˈkɔfˌski
percentiles	pɝˈsɛnˌtaɪɫz
steenrod	ˈstinɹəd
roady	ˈɹoʊdi
peg	ˈpɛɡ
t.s	ˈtiz
hochstetler	ˈhɑkstɛtɫɝ,ˈhɑkstɪtəɫɝ
aoki	eɪˈoʊki
euan	ˈjuən
rationalized	ˈɹæʃənəˌɫaɪzd
hormone	ˈhɔɹˌmoʊn
semmens	ˈsɛmənz
dryly	ˈdɹaɪɫi
stamberg	ˈstæmbɝɡ
sonoma	səˈnoʊmə
myers	ˈmaɪɝz
nonconvertible	nɑnkənˈvɝtəbəɫ
milward	ˈmɪɫwɝd
postholes	ˈpoʊstˌhoʊɫz
producing	pɹəˈdusɪŋ
reddick	ˈɹɛdɪk
kroc's	ˈkɹɑks
dosages	ˈdoʊsɪdʒɪz
runkel	ˈɹəŋkəɫ
emmott	ˈɛmət
pronouncement	pɹəˈnaʊnsmənt
chaperone	ˈʃæpɝˌoʊn
elderman	ˈɛɫdɝmən
tramples	ˈtɹæmpəɫz
caravan	ˈkɛɹəˌvæn,ˈkæɹəˌvæn
meek	ˈmik
lamborghini's	ˌɫæmbɝˈɡiniz
parity	ˈpɛɹəti
commissar	ˈkɑməˌsɑɹ
cervix	ˈsɝvɪks
holed	ˈhoʊɫd
yerkes	ˈjɝkiz
dewulf	ˈduəɫf
predominately	ˌpɹɪˈdɑmənəntˌɫi
maraud	mɝˈɔd
protract	ˈpɹoʊtɹækt,pɹoʊˈtɹækt
contrasts	kənˈtɹæsts,ˈkɑntɹæsts,kənˈtɹæs,ˈkɑntɹæs
duensing	ˈdʊnsɪŋ
uninjured	əˈnɪndʒɝd
chapman	ˈtʃæpmən
hailstones	ˈheɪɫˌstoʊnz
av	ˌeɪˈvi
grondahl	ˈɡɹɑnˌdɑɫ
g.s	ˈdʒiz
vrain	ˈvɹeɪn
backfired	ˈbækˌfaɪɝd
gallahan	ˈɡæɫəhæn
cloy	ˈkɫɔɪ
sutro's	ˈsutɹoʊz
ne	ˈni,ˈneɪ
vaults	ˈvɔɫts
troika	ˈtɹɔɪkə
serbia	ˈsɝbiə
raczka	ˈɹɑtʃkə
ellan's	ˈɛɫənz
horvat	ˈhɔɹvət
moma	ˈmoʊmə
tapias	təˈpiəs
phillipine	ˈfɪɫəˌpin,ˌfɪɫəˈpin
kleinpaste	ˈkɫaɪnˌpeɪst
reul	ˈɹuɫ
salles	ˈsɑɫɛs
gatherer	ˈɡæðɝɝ
finigan	ˈfɪnɪɡən
coldness	ˈkoʊɫdnəs
stoessel	ˈstoʊsəɫ
occlusion	əˈkɫuʒən
frieda	ˈfɹidə
porath	ˈpɔɹəθ
biotite	ˈbaɪəˌtaɪt
saavedra	sɑˈveɪdɹə
venezuela's	ˌvɛnɪzˈweɪɫəz
speer	ˈspɪɹ
larks	ˈɫɑɹks
foskey	ˈfɑski
totaling	ˈtoʊtəɫɪŋ
silvia	ˈsɪɫviə
technologist	ˌtɛkˈnɑɫədʒɪst
stils	ˈstɪɫz
chertkow	ˈtʃɝtkaʊ
inhabitants	ɪnˈhæbɪtənts,ɪnˈhæbətənts
incorporation	ˌɪnˌkɔɹpɝˈeɪʃən
saintly	ˈseɪntɫi
sutera	suˈtɛɹə
