артуына	ˈɑɾtwənɑ
айыптарға	ˈɑjəptɑɾʀɑ
секторлардың	sektoɾɫˈɑɾdəŋ
шошқаның	ʃoʃqˈɑnəŋ
Гулмурод	ɡwɫmwɾˈod
тиесілі	təjesɪlɪ
түсетініне	tusetɪnɪnˈe
істедік	ɪstedˈɪk
босану	bosˈɑnw
біреулерге	bɪɾewleɾɡˈe
Генрих	ɡˈenɾəjx
оқталған	oqtɑɫʀˈɑn
алатынын	ɑɫˈɑtənən
аяқтайтын	ɑjaqtˈɑjtən
қамтиды	qˈɑmtəjdə
категориядағы	kɑteɡˈoɾəjjadɑʀə
сценариймен	stsenˈɑɾəjjmen
Арсенал	ɑɾsenˈɑɫ
мұсылманды	mˈʊsəɫmɑndə
қандастар	qɑndɑstˈɑɾ
Кравчук	kɾˈɑvt͡ʃwk
Наурыздан	nˈɑwɾəzdɑn
міндеттерін	mɪndetteɾˈɪn
Лена	lenˈɑ
қалғым	qˈɑɫʀəm
волонтер	voɫontˈeɾ
тартылғандардың	tˈɑɾtəɫʀɑndɑɾdəŋ
сайысына	sˈɑjəsənɑ
ғылымына	ʀəɫəmənɑ
кемшіліктерді	kemʃɪlɪkteɾdˈɪ
жармады	ʒɑɾmˈɑdə
цех	tsˈex
капитализм	kˈɑpəjtɑɫəjzm
ескерсе	eskeɾsˈe
кеткенмен	ketkenmˈen
мамандарынан	mɑmɑndˈɑɾənɑn
хатшылары	xˈɑtʃəɫɑɾə
инемен	əjnemen
көшке	kɵʃkˈe
дарыған	dˈɑɾəʀɑn
бұзушылыққа	bˈʊzwʃəɫəqqɑ
шештім	ʃeʃtˈɪm
докторантура	doktoɾɑntwɾˈɑ
полицияға	pˈoɫəjtsəjjaʀɑ
видеоның	vəjdeonəŋ
Үміт	umˈɪt
әпербақан	æpeɾbɑqˈɑn
Бекет	bekˈet
құрылғыларын	qˈʊɾəɫʀəɫɑɾən
Варвара	vɑɾvɑɾˈɑ
ұйымдастырушыларға	ˈʊjəmdɑstəɾwʃəɫɑɾʀɑ
медиафорум	mˈedəjɑfoɾwm
Өтемісованың	ɵtemɪsovˈɑnəŋ
инженерлік	əjnʒeneɾlɪk
Қорытындысында	qˈoɾətəndəsəndɑ
зұлымдық	zˈʊɫəmdəq
Тұрсыновтың	tˈʊɾsənovtəŋ
қақтығыстар	qˈɑqtəʀəstɑɾ
берудің	beɾwdˈɪŋ
Нақыпбекова	nˈɑqəpbekovɑ
қолдамауы	qoɫdɑmˈɑwə
алаңдағы	ɑɫɑŋdˈɑʀə
оңған	oŋʀˈɑn
борап	boɾˈɑp
шикілік	ʃəjkɪlɪk
ұстаздарым	ʊstɑzdˈɑɾəm
енуі	enwˈɪ
түспен	tuspˈen
өндірісті	ɵndɪɾɪstˈɪ
жығып	ʒəʀəp
тұруым	tˈʊɾwəm
аударманы	ɑwdɑɾmˈɑnə
саудалап	sɑwdɑɫˈɑp
кітаптарға	kɪtɑptɑɾʀˈɑ
түгендеп	tuɡendˈep
өткенмен	ɵtkenmˈen
қашуды	qˈɑʃwdə
оңдырмай	ˈoŋdəɾmɑj
қылғытып	qəɫʀətəp
сенбілік	senbɪlˈɪk
бұның	bˈʊnəŋ
Костановты	kostɑnˈovtə
артуда	ɑɾtwdˈɑ
плакаттарды	pɫɑkɑttˈɑɾdə
әкетпек	æketpˈek
жендет	ʒendˈet
арытып	ˈɑɾətəp
сөйлету	sɵjlˈetw
сатылап	sˈɑtəɫɑp
заманалы	zɑmɑnˈɑɫə
оқырмандарымыздың	ˈoqəɾmɑndɑɾəməzdəŋ
орайында	oɾˈɑjəndɑ
Эрик	ˈeɾəjk
жұптар	ʒʊptˈɑɾ
Левит	lˈevəjt
көшкін	kɵʃkˈɪn
жаймашуақ	ʒɑjmɑʃwˈɑq
шыңдалып	ʃəŋdɑɫəp
Арандатушылар	ɑɾɑndˈɑtwʃəɫɑɾ
тұратындардың	tʊɾˈɑtəndɑɾdəŋ
Өйткен	ɵjtkˈen
қабілет	qɑbɪlˈet
Мектепте	mekteptˈe
Благодать	bɫɑɡodˈɑtʔ
Тәуелсіздіктің	tæweɫsɪzdɪktˈɪŋ
заңнамаларға	zɑŋnɑmɑɫɑɾʀˈɑ
сыныбын	sənəbən
Шерушілердің	ʃeɾwʃɪleɾdˈɪŋ
Сайланған	sɑjɫɑnʀˈɑn
селт	sˈeɫt
мойындалмаған	mˈojəndɑɫmɑʀɑn
тайпасы	tɑjpˈɑsə
қаупінің	qɑwpɪnˈɪŋ
Жігіттің	ʒɪɡɪttˈɪŋ
Шаймерден	ʃɑjmeɾdˈen
әлсіздігін	æɫsɪzdɪɡˈɪn
материалда	mɑtˈeɾəjɑɫdɑ
бөлінгенін	bɵlɪnɡenˈɪn
магистратураға	mˈɑɡəjstɾɑtwɾɑʀɑ
сусындарды	swsəndɑɾdə
сызылған	səzəɫʀɑn
орындатты	ˈoɾəndɑttə
сабақтайды	sɑbɑqtˈɑjdə
Хабардың	xɑbˈɑɾdəŋ
ағарып	ɑʀˈɑɾəp
жұмсалды	ʒʊmsˈɑɫdə
ақталмаған	ɑqtɑɫmɑʀˈɑn
азаптаудың	ɑzɑptˈɑwdəŋ
боксының	bˈoksənəŋ
Жалилов	ʒˈɑɫəjɫov
тағайындалады	tɑʀˈɑjəndɑɫɑdə
армандап	ɑɾmɑndˈɑp
қаламсап	qɑɫɑmsˈɑp
жағамды	ʒɑʀˈɑmdə
сайлаушылар	sɑjɫˈɑwʃəɫɑɾ
кіріс	kɪɾˈɪs
ірісі	ɪɾɪsˈɪ
шыдамайды	ʃədɑmɑjdə
қызметкерлерді	qəzmetkeɾleɾdɪ
ғазиз	ʀˈɑzəjz
тұтанып	tʊtˈɑnəp
өсуіне	ɵswɪnˈe
батырларымыз	bˈɑtəɾɫɑɾəməz
экологтар	ekoɫoɡtˈɑɾ
курсқа	kwɾsqˈɑ
Байқау	bɑjqˈɑw
ілімді	ɪlɪmdˈɪ
жинапты	ʒəjnɑptə
жеткізгім	ʒetkɪzɡˈɪm
білгендерін	bɪɫɡendeɾˈɪn
таныстыру	tˈɑnəstəɾw
оппозицияны	oppˈozəjtsəjjanə
Куан	kwˈɑn
қоныс	qˈonəs
мекендердің	mekendeɾdˈɪŋ
жертөлесінде	ʒeɾtɵlesɪndˈe
қызықтап	qəzəqtɑp
емдеп	emdˈep
екіжүзділік	ekɪʒuzdɪlˈɪk
апатының	ɑpˈɑtənəŋ
сатқындыққа	sˈɑtqəndəqqɑ
жазулар	ʒɑzwɫˈɑɾ
титықтап	təjtəqtɑp
Рысқұловтың	ɾəsqʊɫovtəŋ
автопарк	ɑvtopˈɑɾk
телевизиялық	telˈevəjzəjjaɫəq
апталарда	ɑptɑɫɑɾdˈɑ
сеніп	senˈɪp
ағаңның	ɑʀˈɑŋnəŋ
еңбектену	eŋbektˈenw
сыйлықпен	səjɫəqpen
беларусьтық	beɫˈɑɾwsʔtəq
атаға	ɑtɑʀˈɑ
қамтамасыз	qɑmtɑmˈɑsəz
зауыттағы	zˈɑwəttɑʀə
суреттейді	swɾettejdˈɪ
тоғызыншы	tˈoʀəzənʃə
бағдарламалар	bɑʀdɑɾɫɑmɑɫˈɑɾ
кедейліктің	kedejlɪktˈɪŋ
ілігіп	ɪlɪɡˈɪp
дауды	dˈɑwdə
картадан	kɑɾtɑdˈɑn
картинада	kˈɑɾtəjnɑdɑ
Вербицкий	vˈeɾbəjtskəjj
пайдаланбай	pɑjdɑɫɑnbˈɑj
жарғыны	ʒˈɑɾʀənə
жоғалтса	ʒoʀɑɫtsˈɑ
талқылануда	tˈɑɫqəɫɑnwdɑ
Өтеулиев	ɵtˈewɫəjev
республикаға	ɾˈespwbɫəjkɑʀɑ
қазақтармен	qɑzɑqtɑɾmˈen
Алланың	ɑɫɫˈɑnəŋ
Шиеттей	ʃəjettej
жылжуы	ʒəɫʒwə
сопаң	sopˈɑŋ
Айтатын	ɑjtˈɑtən
түсінігі	tusɪnɪɡˈɪ
омбудсмен	ombwdsmˈen
лирика	ɫəjɾəjkɑ
Манезаның	mɑnezˈɑnəŋ
мәселесімен	mæselesɪmˈen
жатуды	ʒˈɑtwdə
шолуға	ʃoɫwʀˈɑ
тыныштықты	tənəʃtəqtə
көлемінде	kɵlemɪndˈe
шатқалындағы	ʃɑtqˈɑɫəndɑʀə
қорықтым	qˈoɾəqtəm
арылып	ˈɑɾəɫəp
шығардан	ʃəʀɑɾdɑn
заңнамасына	zɑŋnɑmˈɑsənɑ
тармағының	tɑɾmˈɑʀənəŋ
ашуланып	ɑʃwɫˈɑnəp
Бой	bˈoj
Уақытты	wˈɑqəttə
Николае	nəjkoɫɑe
болмағанына	boɫmɑʀˈɑnənɑ
кейбіреуі	kejbɪɾewˈɪ
облыстарында	ˈobɫəstɑɾəndɑ
бейнежазба	bejneʒɑzbˈɑ
түсіргенде	tusɪɾɡendˈe
Газадағы	ɡɑzɑdˈɑʀə
қызғаныштан	qəzʀɑnəʃtɑn
кабель	kɑbˈeɫʔ
әйелін	æjelˈɪn
жеті	ʒetˈɪ
сенен	senˈen
өшпенділікті	ɵʃpendɪlɪktˈɪ
Тарихшылар	tˈɑɾəjxʃəɫɑɾ
қалуымыз	qˈɑɫwəməz
НТВ	nətəvə
пресвитериан	pɾˈesvəjteɾəjɑn
жақсаруына	ʒɑqsˈɑɾwənɑ
ұшырасып	ˈʊʃəɾɑsəp
бопсалау	bopsɑɫˈɑw
толықтыруларды	tˈoɫəqtəɾwɫɑɾdə
кооператив	koopeɾˈɑtəjv
мата	mɑtˈɑ
грантына	ɡɾˈɑntənɑ
Ливиядан	ɫəjvəjjadɑn
даталар	dɑtɑɫˈɑɾ
бұрылған	bˈʊɾəɫʀɑn
күкірт	kukˈɪɾt
Қарағым	qɑɾˈɑʀəm
қорасына	qoɾˈɑsənɑ
қылықтарынан	qəɫəqtɑɾənɑn
сағаттарында	sɑʀɑttˈɑɾəndɑ
тәсілдің	tæsɪɫdˈɪŋ
Рафсанджани	ɾɑfsɑndʒˈɑnəj
Моңғолияда	moŋʀˈoɫəjjadɑ
террордан	teɾɾoɾdˈɑn
пайдаланатындар	pɑjdɑɫɑnˈɑtəndɑɾ
корпорация	koɾpoɾˈɑtsəjja
тиіспіз	təjɪspɪz
квота	kvotˈɑ
іргелі	ɪɾɡelˈɪ
Жасөспірімдер	ʒɑsɵspɪɾɪmdˈeɾ
рудан	ɾwdˈɑn
келісті	kelɪstˈɪ
пысықайлар	pəsəqɑjɫɑɾ
Түзету	tuzˈetw
оралдық	oɾˈɑɫdəq
Астанадағылар	ɑstɑnɑdˈɑʀəɫɑɾ
голды	ɡˈoɫdə
шабуылдап	ʃˈɑbwəɫdɑp
мәтін	mætˈɪn
тарқату	tɑɾqˈɑtw
төлемін	tɵlemˈɪn
желілерінде	ʒelɪleɾɪndˈe
қайтарылды	qɑjtˈɑɾəɫdə
Миллиондар	məjɫɫəjondɑɾ
Аламан	ɑɫɑmˈɑn
сайлаудың	sɑjɫˈɑwdəŋ
кандидаттарын	kˈɑndəjdɑttɑɾən
алғам	ɑɫʀˈɑm
тормен	toɾmˈen
Келешекте	keleʃektˈe
Бай	bˈɑj
конфессиялар	konfˈessəjjaɫɑɾ
тірейді	tɪɾejdˈɪ
ыстықтан	əstəqtɑn
сыйы	səjə
клондау	kɫondˈɑw
паналатқан	pɑnɑɫɑtqˈɑn
Рене	ɾenˈe
Түгелбаев	tuɡeɫbɑˈev
көлеңкеде	kɵleŋkedˈe
қолданылмады	qoɫdˈɑnəɫmɑdə
қостады	qostˈɑdə
буынды	bwəndə
асықпайды	ˈɑsəqpɑjdə
қуанамын	qwɑnˈɑmən
Фарзона	fɑɾzonˈɑ
Металлургтер	metɑɫɫwɾɡtˈeɾ
сыншысы	sənʃəsə
ағылған	ˈɑʀəɫʀɑn
тынышын	tənəʃən
ойлағанда	ojɫɑʀɑndˈɑ
күндердің	kundeɾdˈɪŋ
мал	mˈɑɫ
маѕан	məˈɑlˈetəˈɑnə
мерейтойдың	meɾejtˈojdəŋ
уағдаласты	wɑʀdɑɫˈɑstə
Қазығұрт	qˈɑzəʀʊɾt
Түптеп	tuptˈep
тілдік	tɪɫdˈɪk
елін	elˈɪn
орден	oɾdˈen
жырмен	ʒəɾmen
басыңа	bˈɑsəŋɑ
ген	ɡˈen
судьялардың	swdʔjaɫˈɑɾdəŋ
Кубада	kwbɑdˈɑ
бақылауы	bˈɑqəɫɑwə
Ақтөбенің	ɑqtɵbenˈɪŋ
егеді	eɡedˈɪ
секторындағы	sektˈoɾəndɑʀə
жылдамдық	ʒəɫdɑmdəq
күтіледі	kutɪledˈɪ
Мәдиев	mˈædəjev
өзіндегі	ɵzɪndeɡˈɪ
плакат	pɫɑkˈɑt
моноқалалардың	monoqɑɫɑɫˈɑɾdəŋ
Әдебиет	ædˈebəjet
стансалардың	stɑnsɑɫˈɑɾdəŋ
жазылатынын	ʒˈɑzəɫɑtənən
Сарыарқаның	sˈɑɾəɑɾqɑnəŋ
балуанға	bɑɫwɑnʀˈɑ
шығармайтынын	ʃəʀɑɾmɑjtənən
ұнатпай	ʊnɑtpˈɑj
мұрағатқа	mʊɾɑʀɑtqˈɑ
кеудесін	kewdesˈɪn
Такси	tˈɑksəj
Денистің	dˈenəjstɪŋ
күйлері	kujleɾˈɪ
түгел	tuɡˈeɫ
бұзылғаны	bˈʊzəɫʀɑnə
оңайлату	oŋɑjɫˈɑtw
шешетін	ʃeʃetˈɪn
кездегідей	kezdeɡɪdˈej
солқылдап	sˈoɫqəɫdɑp
ұласатынын	ʊɫɑsˈɑtənən
нұқсан	nʊqsˈɑn
қиынның	qəjənnəŋ
Қуандықов	qwˈɑndəqov
баға	bɑʀˈɑ
Брук	bɾwk
ауырлығы	ˈɑwəɾɫəʀə
қатысқаннан	qˈɑtəsqɑnnɑn
түсінер	tusɪnˈeɾ
белсендісі	beɫsendɪsˈɪ
сайлаушылары	sɑjɫˈɑwʃəɫɑɾə
элитасы	ˈeɫəjtɑsə
әуесқой	æwesqˈoj
ойсырап	ˈojsəɾɑp
ойшылы	ˈojʃəɫə
сәтімен	sætɪmˈen
итере	əjteɾe
аязға	ɑjazʀˈɑ
Ерік	eɾˈɪk
қияға	qəjjaʀɑ
замандастары	zɑmɑndɑstˈɑɾə
күндеріне	kundeɾɪnˈe
Аршалы	ɑɾʃˈɑɫə
ешкімнен	eʃkɪmnˈen
Екіншісі	ekɪnʃɪsˈɪ
жаршысы	ʒˈɑɾʃəsə
жанкүйерлерінің	ʒɑnkujeɾleɾɪnˈɪŋ
дүниелердің	dˈunəjeleɾdɪŋ
жылғы	ʒəɫʀə
қорланған	qoɾɫɑnʀˈɑn
жыртып	ʒəɾtəp
ұрпақтарымыз	ʊɾpɑqtˈɑɾəməz
супермаркетте	swpeɾmɑɾkettˈe
телеарнаны	teleɑɾnˈɑnə
домбырамен	dˈombəɾɑmen
жарылғанын	ʒˈɑɾəɫʀɑnən
қадағалауға	qɑdɑʀɑɫɑwʀˈɑ
орнына	ˈoɾnənɑ
танымал	tˈɑnəmɑɫ
оспадарсыз	ospɑdˈɑɾsəz
есіне	esɪnˈe
тараса	tɑɾɑsˈɑ
хиджабқа	xəjdʒɑbqɑ
бойыңды	bˈojəŋdə
жапқысы	ʒˈɑpqəsə
сұлтанға	sʊɫtɑnʀˈɑ
үзіндісін	uzɪndɪsˈɪn
алумен	ɑɫwmˈen
тік	tˈɪk
мұқтаждығы	mʊqtˈɑʒdəʀə
Хажбикар	xˈɑʒbəjkɑɾ
тәсілдері	tæsɪɫdeɾˈɪ
саналатынын	sɑnɑɫˈɑtənən
отанында	otˈɑnəndɑ
Әбілғазы	æbɪɫʀˈɑzə
Айна	ɑjnˈɑ
Мешімбаеваның	meʃɪmbɑevˈɑnəŋ
сияқтанады	səjjaqtɑnɑdə
құралып	qʊɾˈɑɫəp
жарығымен	ʒˈɑɾəʀəmen
киіміне	kəjɪmɪne
мұрагерді	mʊɾɑɡeɾdˈɪ
әңгіме	æŋɡɪmˈe
тыжырына	təʒəɾənɑ
Казактардың	kɑzɑktˈɑɾdəŋ
үйрен	ujɾˈen
сызығы	səzəʀə
қолымыз	qˈoɫəməz
беруімді	beɾwɪmdˈɪ
Мұсабек	mʊsɑbˈek
арзандай	ɑɾzɑndˈɑj
ойлағаннан	ojɫɑʀɑnnˈɑn
мәңгілік	mæŋɡɪlˈɪk
жексен	ʒeksˈen
шілдедегі	ʃɪɫdedeɡˈɪ
берсеңіз	beɾseŋˈɪz
мөлшермен	mɵɫʃeɾmˈen
жайттары	ʒɑjttˈɑɾə
сәтіне	sætɪnˈe
нашарлығы	nɑʃˈɑɾɫəʀə
тойхана	tojxɑnˈɑ
теспей	tespˈej
шартына	ʃˈɑɾtənɑ
Сүлеев	suleˈev
ауысса	ˈɑwəssɑ
Артқы	ˈɑɾtqə
мешіттер	meʃɪttˈeɾ
Гуля	ɡwɫjˈa
тасадан	tɑsɑdˈɑn
комиссарлар	kˈoməjssɑɾɫɑɾ
бизнесмен	bəjznesmen
дәлелденбеген	dæleɫdenbeɡˈen
достары	dostˈɑɾə
тілшісінен	tɪɫʃɪsɪnˈen
отырғаннан	ˈotəɾʀɑnnɑn
шығушылар	ʃəʀwʃəɫɑɾ
әуенге	æwenɡˈe
журналистке	ʒwɾnˈɑɫəjstke
құйқалы	qʊjqˈɑɫə
лезде	lezdˈe
Ногай	noɡˈɑj
Қасымның	qˈɑsəmnəŋ
қатерге	qɑteɾɡˈe
ұлтпен	ʊɫtpˈen
құқыққорғаушы	qˈʊqəqqoɾʀɑwʃə
саты	sˈɑtə
куәгерлердің	kwæɡeɾleɾdˈɪŋ
қабылданып	qˈɑbəɫdɑnəp
федерацияның	fedeɾˈɑtsəjjanəŋ
құтылатын	qˈʊtəɫɑtən
бекіністер	bekɪnɪstˈeɾ
жатқызып	ʒˈɑtqəzəp
келеңсіз	keleŋsˈɪz
Қабыловтың	qˈɑbəɫovtəŋ
ойындарындағы	ˈojəndɑɾəndɑʀə
Ақылды	ˈɑqəɫdə
сатираға	sˈɑtəjɾɑʀɑ
жетекке	ʒetekkˈe
Клинтонмен	kɫəjntonmen
көрсетілгендей	kɵɾsetɪɫɡendˈej
біраздан	bɪɾɑzdˈɑn
азиялық	ˈɑzəjjaɫəq
Эрика	ˈeɾəjkɑ
ашуланса	ɑʃwɫɑnsˈɑ
қисын	qəjsən
Медицинада	mˈedəjtsəjnɑdɑ
шаралары	ʃɑɾɑɫˈɑɾə
көлемдегі	kɵlemdeɡˈɪ
шалдырып	ʃˈɑɫdəɾəp
қимылдар	qəjməɫdɑɾ
мәлімдегеннен	mælɪmdeɡennˈen
ертеңіне	eɾteŋɪnˈe
қабылдана	qˈɑbəɫdɑnɑ
жасақтай	ʒɑsɑqtˈɑj
Сұлтановты	sʊɫtɑnˈovtə
қалды	qˈɑɫdə
әкіміне	ækɪmɪnˈe
толеранттылық	toleɾˈɑnttəɫəq
Мельниченконың	mˈeɫʔnəjt͡ʃenkonəŋ
ұғымдары	ˈʊʀəmdɑɾə
ауғанстандық	ɑwʀɑnstˈɑndəq
Шақпақ	ʃɑqpˈɑq
ролик	ɾˈoɫəjk
Шынайы	ʃənɑjə
аялдамасына	ɑjaɫdɑmˈɑsənɑ
Африканың	ˈɑfɾəjkɑnəŋ
айтасыз	ɑjtˈɑsəz
Сынақ	sənɑq
тасқынына	tˈɑsqənənɑ
жабылғанына	ʒˈɑbəɫʀɑnənɑ
шыбық	ʃəbəq
банктің	bɑnktˈɪŋ
сезімі	sezɪmˈɪ
Әскер	æskˈeɾ
серіктес	seɾɪktˈes
туындыларына	twəndəɫɑɾənɑ
тоғайы	toʀˈɑjə
телефондарын	telefondˈɑɾən
ед	ˈed
Асаубаевтар	ɑsɑwbɑevtˈɑɾ
Лиза	ɫəjzɑ
сайттардың	sɑjttˈɑɾdəŋ
сымсыз	səmsəz
Тұрсынбеков	tˈʊɾsənbekov
Мамытбеков	mˈɑmətbekov
кедейлердің	kedejleɾdˈɪŋ
байыта	bˈɑjətɑ
Баграм	bɑɡɾˈɑm
акциясына	ˈɑktsəjjasənɑ
сыналатын	sənɑɫɑtən
институционалдық	əjnstəjtwtsəjonɑɫdəq
бағдаршамның	bɑʀdɑɾʃˈɑmnəŋ
тігіліп	tɪɡɪlˈɪp
мәслихат	mˈæsɫəjxɑt
Арқа	ɑɾqˈɑ
қуатқа	qwɑtqˈɑ
теріске	teɾɪskˈe
шекаралас	ʃekɑɾɑɫˈɑs
шақырылатын	ʃˈɑqəɾəɫɑtən
сынақты	sənɑqtə
шегерген	ʃeɡeɾɡˈen
көңілінің	kɵŋɪlɪnˈɪŋ
боксшыларды	bˈoksʃəɫɑɾdə
табалдырығын	tɑbˈɑɫdəɾəʀən
Отаны	otˈɑnə
енетін	enetˈɪn
даңғаза	dɑŋʀɑzˈɑ
күзету	kuzˈetw
мұнай	mʊnˈɑj
доктринаға	dˈoktɾəjnɑʀɑ
барамын	bɑɾˈɑmən
грантын	ɡɾˈɑntən
мектебінен	mektebɪnˈen
пайымынша	pˈɑjəmənʃɑ
бекерге	bekeɾɡˈe
оппонент	opponˈent
Саржал	sɑɾʒˈɑɫ
акционер	ˈɑktsəjoneɾ
шеру	ʃˈeɾw
Директорлар	dəjɾektoɾɫɑɾ
тырмысып	təɾməsəp
тауарлы	tɑwˈɑɾɫə
айқайын	ɑjqˈɑjən
тәжіне	tæʒɪnˈe
