künjekleriniň	kˌønd͡ʒœklerˈiniŋ
gyzlary	ɡɯðɫˈɑrɯ
gaýgyrmajakdygyna	ɡˌɑjʁɯrmˌɑd͡ʒɑqdɯʁˈɯnɑ
awtory	oβtˈorʊ
ruhuna	rʊxˈʊno
hyzmatdaşlary	xˌɯðmɑtdɑʃɫˈɑrɯ
köpugurly	kˌœpʊʁˈʊrɫʊ
Sülçi	θˈølt͡ʃø
suratkeşleriniň	θˌʊrotkˌeʃlerˈiniŋ
Gürrüň	ɡˈørrøŋ
Maslahat	mɑθɫˈɑxɑt
medallar	medˈɑɫɫɑr
synlamak	θˌɯnɫɑmˈɑq
Bedew	bˈedœβ
käni	kˈæni
stansiýasy	θθˌɑnθijˈɑθɯ
özleşdirildi	ˌœðlœʃdørˈølli
bejerişiň	bˌed͡ʒerˈiʃiŋ
etnografiýa	ˌetnoʁrofˌijɑ
energiýasynyň	ˌenerʁˌijɑθˈɯnɯŋ
emele	emˈele
bäsdeşler	bæθθˈeʃler
getirildi	ɡˌetirˈilli
meýdanda	mejdˈɑnnɑ
ýarysy	jɑrˈɯθɯ
täsinlikleri	tˌæθinliklˈeri
gurnalypdyr	ɡˌʊrnoɫˈʊpdɯr
Geleşikleriň	ɡˌeleʃiklˈeriŋ
Gatnaşyjy	ɡˌɑtnɑʃˈɯd͡ʒɯ
Belarusuň	bˌelɑrˈʊθʊŋ
ýakymly	jɑqˈɯmɫɯ
tohumlaryna	tˌoxʊmɫorˈʊnɑ
saçýar	θˈɑt͡ʃjɑr
hasylynyň	xˌɑθɯɫˈɯnɯŋ
düzýän	dˈøðjæn
tehnikalary	tˌehnikɑɫˈɑrɯ
gatnaşyklarda	ɡˌɑtnɑʃɯqɫˈɑrdɑ
obada	oːβˈodo
güne	ɡˈønœ
goldanylmagy	ɡˌoɫɫonʊɫmˈɑʁɯ
buýrujysy	bˌʊjrʊd͡ʒˈʊθʊ
Ruhyýet	rʊxˈʊjet
berilmezden	bˌerilmˈeððen
bilimini	bˌilimˈini
ökde	ˈœkdœ
üýtgedilip	ˌøːjtʁedˈilip
aralyga	ˌɑrɑɫˈɯʁɑ
tälimçi	tælˈimt͡ʃi
ulgamy	ʊɫʁˈomʊ
ýagdaýy	jɑʁdˈɑjɯ
bölümiň	bœlˈømøŋ
woleýbol	βoɫˈejboɫ
tomaşaçylara	tˌomoʃˌot͡ʃɯɫˈɑrɑ
adamlardan	ˌɑdɑmɫˈɑrdɑn
geçirmäge	ɡˌet͡ʃirmˈæːɡe
çaphana	t͡ʃɑpxˈɑːnɑ
oturtmak	ˌotʊrtmˈɑq
çekýär	t͡ʃˈekjæːr
Söwda	θˈœβdɑ
hakyndaky	xˌɑqɯndˈɑːqɯ
hormata	xormˈoto
hödürledi	hˌœdørlˈœdø
möhüri	mœhˈørø
Zerur	ðˈerʊr
däne	dˈæne
ýurtlaryna	jˌʊrtɫɑrˈɯnɑ
ýaýdan	jˈɑjdɑn
maddalaryň	mˌɑddɑɫˈɑrɯŋ
ýetişdirmegiň	jˌetiʃdirmˈeʁiŋ
oňyn	ˈoŋʊn
kömegi	kœmˈœʁø
okatmak	ˌoqotmˈoq
giňelmegi	ɡˌiŋelmˈeʁi
durýandygyny	dˌʊrjɑnnɯʁˈɯnɯ
ruha	rˈʊxo
suwdaky	θʊβdˈɑːqɯ
saklanan	θɑqɫˈɑnɑn
Gahryman	ɡɑxrˈɯmɑn
çemenini	t͡ʃˌemenˈini
uşu	ˈʊʃʊ
çykýar	t͡ʃˈɯqjɑr
konfederasiýasynyň	qonfˌederˌɑθijɑθˈɯnɯŋ
geçdiler	ɡet͡ʃdˈiler
meýdanyny	mˌejdɑnˈɯnɯ
dökünleriniň	dˌœkønlœrˈønøŋ
altmyş	ˈɑɫtmɯʃ
yklym	ˈɯqɫɯm
Ataýew	ɑtˈɑjœβ
hadysalarynyň	xˌɑdɯθˌɑɫɑrˈɯnɯŋ
etraplarynda	ˌetrɑpɫɑrˈɯnnɑ
sazlaşykly	θˌɑðɫɑʃˈɯqɫɯ
metrologik	mˌetroɫˈoɡik
sülçiniň	θølt͡ʃˈønøŋ
çäkler	t͡ʃˈækler
ýyldyzly	jɯɫɫˈɯðɫɯ
umumytoparlaýyn	ˌʊmʊmˌʊtoporɫˈojɯn
yzda	ˈɯððɑ
ösdüriljekdigine	ˌœθθørˌøld͡ʒœkdiʁˈine
Aýyplanýan	ˌɑjɯpɫˈɑnjɑn
Balkanabadyň	bˌɑɫqɑnɑβˈɑdɯŋ
çäklendirilmezden	t͡ʃˌæklennˌirilmˈeððen
çagalaryň	t͡ʃˌɑʁɑɫˈɑrɯŋ
asyrlar	ɑθˈɯrɫɑr
pursatlar	pʊrθˈotɫɑr
töletdirip	tˌœlœtdˈørøp
bedewleri	bˌedœβlˈœri
guýularyň	ɡˌʊjʊɫˈorʊŋ
kesgitnamasy	kˌeθʁitnɑmˈɑθɯ
harajatlar	xˌɑrɑd͡ʒˈɑtɫɑr
Binanyň	binˈɑnɯŋ
düşündirişi	dˌøʃønnørˈøʃi
düzgün	dˈøðʁøn
günäli	ɡønˈæli
bilmezler	bilmˈeðler
goldaw	ɡˈoɫɫoβ
düzgünlere	dˌøðʁønlˈœrœ
sergilerine	θˌerʁilerˈine
azyklyk	ɑðˈɯqɫɯq
boljakdygy	boɫd͡ʒˈoqdʊʁˌɯ
Kazan	qˈɑðɑn
kepillendirilýär	kˌepillˌennirˈiljæːr
bellenilip	bˌellenˈilip
institutlarynda	ˌinθθitˌʊtɫorˈʊnnɑ
gelmegi	ɡelmˈeʁi
geňeşiniň	ɡˌeŋeʃˈiniŋ
sowgatlary	θˌoβʁotɫˈorʊ
döwletini	dˌœβlœtˈønø
bedeniň	bedˈeniŋ
gurluşygynda	ɡˌʊrɫʊʃʊʁˈʊnnɑ
Türkmen	tˈørkmœn
bölek	bˈœːlœk
bildirilmegi	bˌillirilmˈeʁi
önümçilikleriň	ˌœnømt͡ʃˌøløklˈeriŋ
baýdagyny	bˌɑjdɑʁˈɯnɯ
saýlap	θˈɑjlɑːp
Bag	bˈɑːʁ
basdy	bˈɑθθɯ
isleýjiniň	ˌiθlejd͡ʒˈiniŋ
goragçylarynyň	ɡˌoroʁt͡ʃˌʊɫɑrˈɯnɯŋ
Girewe	ɡirˈœβe
aýtmak	ɑjtmˈɑq
dollar	dˈoɫɫor
hasylyň	xɑθˈɯɫɯŋ
Önümleriň	ˌœnømlˈœrøŋ
guramalaryndan	ɡˌʊromˌoɫɑrˈɯnnɑn
alanyňda	ˌɑɫɑnˈɯŋŋɑ
çagyrylýar	t͡ʃˌɑʁɯrˈɯɫjɑr
gozgamasyz	ɡˌoðʁomˈoθɯð
miweleriň	mˌiβelˈeriŋ
iýmiti	ijmˈiti
oýun	ˈojʊn
tutanyňda	tˌʊtonˈʊŋŋɑ
wezipelerden	βˌeðipelˈerden
dolanyşyk	dˌoɫonˈʊʃʊq
agyr	ˈɑʁɯr
Kepil	kˈepil
lýuks	ljˈʊqθ
okamak	ˌoqomˈoq
sulfat	θˈʊɫfˌot
Hökümeti	hˌœkømˈœtø
Däbe	dˈæβe
guşlaryň	ɡʊʃɫˈorʊŋ
Ýöne	jˈœːnœ
işlenilende	ˌiʃlenilˈenne
Aziýany	ˌɑðijˈɑnɯ
barlagyndan	bˌɑrɫɑʁˈɯnnɑn
hukugyndan	xˌʊqʊʁˈʊnnon
edebiýat	ˌedeβˈijɑt
artistleriniň	ˌɑrtiθθlerˈiniŋ
asma	ˈɑθmɑ
girmek	ɡirmˈek
kompozitor	qˌompoðˈitor
gatnaşmak	ɡˌɑtnɑʃmˈɑq
derejelerini	dˌered͡ʒˌelerˈini
sowallar	θoβˈoɫɫor
Binagärlik	bˌinɑɡˈærlik
güwänama	ɡˌøβænˈɑːmɑ
hojalyklarynda	xˌod͡ʒoɫˌʊqɫorˈɯnnɑ
ýollar	jˈoːɫɫor
haýsy	xˈɑjθɯ
Işgärleriň	ˌiʃʁærlˈeriŋ
berlen	bˈerlen
maglumatyň	mˌɑʁɫʊmˈotʊŋ
agzasynyň	ˌɑʁðɑθˈɯnɯŋ
etrap	ˈetrɑːp
figuralaýyn	fˌiʁʊroɫˈojɯn
polipropileni	pˌoɫiprˌopilˈeni
ýakynda	jɑqˈɯnnɑ
toýuny	tojˈʊnʊ
gatnawlarynyň	ɡˌɑtnoβɫorˈɯnɯŋ
töleýjä	tœlˈœjd͡ʒæ
gowşadandygy	ɡˌoβʃodonnˈʊʁɯ
küreklemek	kˌørœklœmˈek
Nyýazow	nɯjˈɑðoβ
çeşme	t͡ʃˈeʃme
çözgüdini	t͡ʃˌœðʁødˈønø
begendirdi	bˌeʁennˈirdi
nusgasy	nʊθʁˈoθʊ
Azerbaýjandan	ˌɑðerβɑjd͡ʒˈɑnnɑn
atşynaslarynyň	ˌɑtʃɯnˌɑθɫɑrˈɯnɯŋ
okaýanlaryň	ˌoqojɑnɫˈɑrɯŋ
Ýokarda	joqˈordo
ulanyp	ʊɫˈonʊp
miraslyk	mirˈɑθɫɯq
ätiýaçlandyrylan	ˌætijˌɑt͡ʃɫɑnnɯrˈɯɫɑn
oýunçylary	ˌojʊnt͡ʃʊɫˈɑrɯ
daglarynyň	dˌɑʁɫɑrˈɯnɯŋ
kepilidir	kˌepilˈidir
aýallaryň	ˌɑjɑɫɫˈɑrɯŋ
saýtynda	θɑjtˈɯnnɑ
zawodynda	ðˌoβodˈʊnno
bergi	bˈerʁi
paýlaýjy	pɑjɫˈɑjd͡ʒɯ
belgisini	bˌelʁiθˈini
bedewleriň	bˌedœβlˈœriŋ
enjamlaryň	ˌend͡ʒɑmɫˈɑrɯŋ
guramalarynda	ɡˌʊromˌoɫɑrˈɯnnɑ
boý	bˈoj
geçirilmelidir	ɡˌet͡ʃirˌilmelˈidir
bölünen	bœlˈønœn
alyşmagyň	ˌɑɫɯʃmˈɑʁɯŋ
Müdiriýetiniň	mˌødørˌøjetˈiniŋ
jemgyýet	d͡ʒemʁˈɯjet
pursatda	pʊrθˈotdo
orunbasarlaryna	ˌorʊnmˌoθorɫɑrˈɯnɑ
giňligi	ɡiŋlˈiʁi
dabaralara	dˌɑβɑrɑɫˈɑrɑ
