riksja	rɪkʃaː
besnot	bəsnɔt
handdoek	ɦɑnduk
speculatie	speːkylaːtsi
marije	maːrɛi̯ə
vroegpredicatie	vruxpreːdikaːtsi
stoomwagen	stoːmʋaːɣən
biosfeer	bioːsfeːr
spintepel	spɪnteːpəl
hooimijt	ɦoːi̯mɛi̯t
ceel	seːl
zonnewind	zɔnəʋɪnt
allochtoon	ɑlɔxtoːn
troeteldier	trutəldiːr
havengebied	ɦaːvənɣəbit
oorsmeer	oːrsmeːr
schaats	sxaːts
kindschap	kɪntsxɑp
handhaving	ɦɑntɦaːvɪŋ
genetica	ɣəneːtikaː
stuwraket	styu̯raːkɛt
instituut	ɪnstityt
geur	ɣøːr
geiten	ɣɛi̯tən
luiden	lœy̯dən
overvallen	oːvərvɑlən
riemen	rimən
sportschool	spɔrtsxoːl
arendsnest	aːrəntsnɛst
vis	vɪs
schildwacht	sxɪltʋɑxt
knaagtand	knaːxtɑnt
taiga	tɑi̯ɡaː
overlommeren	oːvərlɔmərən
apenstaart	aːpənstaːrt
dewelke	dəʋɛlkə
scholten	sxɔltən
walrus	ʋɑlrʏs
onevenwicht	ɔneːvənʋɪxt
brevier	brəviːr
ontschieten	ɔntsxitən
gelukkigerwijs	ɣəlʏkəɣərʋɛi̯s
travertijnsteen	traːvərtɛi̯nsteːn
orde	ɔrdə
zwanenzang	zʋaːnənzɑŋ
telegeleid	teːləɣəlɛi̯t
mogelijkheid	moːɣələkɦɛi̯t
gala	ɣaːlaː
reëel	reːjeːl
bestanden	bəstɑndən
koekenbakker	kukənbɑkər
wereldbank	ʋeːrəltbɑŋk
banketbakker	bɑŋkɛtbɑkər
windscherm	ʋɪntsxɛrm
journalist	ʒuːrnaːlɪst
wiiën	ʋiən
kaveling	kaːvəlɪŋ
detineren	deːtineːrən
steenkolenveld	steːnkoːlənvɛlt
deed	deːt
bouwmarkt	bɑu̯mɑrkt
miriam	mɪriɑm
café	kaːfeː
deelneemster	deːlneːmstər
ivriet	ivrit
schenken	sxɛŋkən
geleedpotig	ɣəleːtpoːtəx
kiprollade	kɪprɔlaːdə
verdorren	vərdɔrən
bekwamen	bəkʋaːmən
britpop	brɪtpɔp
academie	aːkaːdeːmi
fysiotherapeut	fizioːteːraːpœy̯t
stemvee	stɛmveː
bewaren	bəʋaːrən
ertussen	ɛrtʏsən
wachtpost	ʋɑxtpɔst
tijdstip	tɛi̯tstɪp
sachet	sɑʃɛ
past	pɑst
fruittaart	frœy̯taːrt
vaginose	vaːɣinoːzə
continuïteitsvergelijking	kɔntinyitɛi̯tsfərɣəlɛi̯kɪŋ
vrezen	vreːzən
besogne	bəsɔnjə
vlammenzee	vlɑmənzeː
gekkin	ɣɛkɪn
belang	bəlɑŋ
steken	steːkən
delicaat	deːlikaːt
acroniem	ɑkroːnim
invloedssfeer	ɪnvlutsfeːr
gedachtetrant	ɣədɑxtətrɑnt
beschuldiging	bəsxʏldəɣɪŋ
ijsbericht	ɛi̯sbərɪxt
stalen	staːlən
gouderts	ɣɑu̯tɛrts
westen	ʋɛstən
beuken	bøːkən
rechthoek	rɛxtɦuk
afwendbaar	ɑfʋɛntbaːr
moeiteloos	mui̯təloːs
verbrouwen	vərbrɑu̯ən
dosis	doːzɪs
verpulveren	vɛrpʏlvərən
mannetje	mɑnətjə
sheddak	ʃɛdɑk
folteraar	fɔltəraːr
cabarettrio	kaːbaːrɛtrioː
rioolrat	rioːlrɑt
sleutelhanger	sløːtəlɦɑŋər
staatszender	staːtsɛndər
etterkop	ɛtərkɔp
vatbom	vɑtbɔm
ledebraken	leːdəbraːkən
smilde	smɪldə
uitvoeren	œy̯tfuːrən
speels	speːls
jazzy	dʒɛzi
agnosticus	ɑxnɔstikʏs
onvergetelijk	ɔnvərɣeːtələk
brielle	brilə
staatsgreep	staːtsxreːp
binnenplaneet	bɪnənplaːneːt
krukas	krʏkɑs
uitscheidt	œy̯tsxɛi̯t
wolvega	ʋɔlvəɣaː
barsten	bɑrstən
aron	aːroːn
dienstverlening	dinstfɛrleːnɪŋ
gemaal	ɣəmaːl
getijdendok	ɣətɛi̯dəndɔk
staatspensioen	staːtspɛnʃun
tablet	tɛblət
schuldenlast	sxʏldənlɑst
hinterland	ɦɪntərlɑnt
naslagwerk	naːslɑxʋɛrk
voorgeslacht	voːrɣəslɑxt
onverzettelijk	ɔnvərzɛtələk
kwelduivel	kʋɛldœy̯vəl
dichtwerk	dɪxtʋɛrk
kiestoon	kistoːn
plattekaas	plɑtəkaːs
zandvlo	zɑntfloː
sneeuwkroon	sneːu̯kroːn
sterfgeval	stɛrfxəvɑl
naaien	naːjən
weldoorvoed	ʋɛldoːrvut
memorandum	meːmoːrɑndʏm
trekzak	trɛksɑk
doelrationeel	dulraːtʃoːneːl
suikerziekte	sœy̯kərziktə
eng	ɛŋ
buitenmoeder	bœy̯tənmudər
golfslag	ɣɔlfslɑx
schaarverrekijker	sxaːrvɛrəkɛi̯kər
darmbreuk	dɑrmbrøːk
industriestad	ɪndʏstristɑt
was	ʋɑs
beulin	bøːlɪn
nederland	neːdərlɑnt
asigmatisch	aːsɪxmaːtis
cavaleriecharge	kaːvaːləriʃɑrʒə
versoepelen	vɛrsupələn
stadsarrest	stɑtsɑrɛst
uitmaken	œy̯tmaːkən
lessenaarsdak	lɛsənaːrsdɑk
broeikasgasuitstoot	brui̯kɑsxɑsœy̯tstoːt
weersverwachting	ʋeːrsfɛrʋɑxtɪŋ
scheepskok	sxeːpskɔk
verkleinwoord	vɛrklɛi̯nʋoːrt
kees	keːs
spreeuw	spreːu̯
brandstichter	brɑntstɪxtər
knuffeldier	knʏfəldiːr
vector	vɛktɔr
nerveus	nɛrvøːs
babisme	baːbɪsmə
verzorgpony	vɛrzɔrxpɔni
woelmuis	ʋulmœy̯s
rook	roːk
niezen	nizən
vuurtorenwachter	vyːrtoːrənʋɑxtər
antideeltje	ɑntideːltjə
calibreren	kaːlibreːrən
voetbalster	vutbɑlstər
draaideurcrimineel	draːi̯døːrkrimineːl
koeling	kulɪŋ
kaapstad	kaːpstɑt
ridderorde	rɪdərɔrdə
broedzorg	brutsɔrx
fietskaart	fitskaːrt
lansknecht	lɑnsknɛxt
luchtzee	lʏxtseː
cytologie	sitoːloːɣi
dekker	dɛkər
zweetklier	zʋeːtkliːr
onverlaat	ɔnvərlaːt
vertroebelen	vərtrubələn
contrast	kɔntrɑst
blaasje	blaːʃə
abbink	ɑbɪŋk
rafelen	raːfələn
nagelknipper	naːɣəlknɪpər
bloedvergieten	blutfərɣitən
journalistiek	ʒuːrnaːlɪstik
deurmat	døːrmɑt
complex	kɔmplɛks
krimpkous	krɪmpkɑu̯s
wenen	ʋeːnən
alantwortel	aːlɑntʋɔrtəl
opgewonden	ɔpxəʋɔndən
vlammetje	vlɑmətjə
smeets	smeːts
onderzouten	ɔndərzɑu̯tən
ovenplaat	oːvəmplaːt
huisduif	ɦœy̯sdœy̯f
hulpverlener	ɦʏlpfɛrleːnər
daag	daːx
hoofdverdachte	ɦoːftfɛrdɑxtə
berg	bɛrx
wijle	ʋɛi̯lə
vuurzee	vyːrzeː
kek	kɛk
sax	sɑks
aftands	ɑftɑnts
ahorn	aːɦɔrn
begeleider	bəɣəlɛi̯dər
basisdemocraat	baːzɪsdeːmoːkraːt
hecht	ɦɛxt
warenhuis	ʋaːrənɦœy̯s
vruchtvlees	vrʏxtfleːs
krakkemikkig	krɑkəmɪkəx
hartverscheurend	ɦɑrtfərsxøːrənt
bestek	bəstɛk
sardine	sɑrdin
sensor	sɛnzɔr
depressie	deːprɛsi
gallium	ɣɑliʏm
keurvorst	køːrvɔrst
tiptop	tɪptɔp
praatgroep	praːtxrup
zitskiër	zɪtskiər
geloven	ɣəloːvən
bacteriën	bɑkteːriən
speelhuis	speːlɦœy̯s
heerkracht	ɦeːrkrɑxt
feestvarken	feːstfɑrkən
hoofdzonde	ɦoːftzɔndə
pruisisch	prœy̯sis
kerosine	keːroːzinə
keus	køːs
poos	poːs
hagelgeweer	ɦaːɣəlɣəʋeːr
boobytrap	r
amstels	ɑmstəls
aandachtsgroep	aːndɑxtsxrup
spijs	spɛi̯s
seismisch	sɛi̯smis
gasachtig	ɣɑsɑxtəx
locker	lɔkər
wond	ʋɔnt
achtervloed	ɑxtərvlut
seks	sɛks
michiel	mɪxil
buitenlands	bœy̯tənlɑnts
uitdrijving	œy̯tdrɛi̯vɪŋ
conditie	kɔnditsi
welbevinden	ʋɛlbəvɪndən
zonzijde	zɔnzɛi̯də
vedisch	veːdis
pijpleiding	pɛi̯plɛi̯dɪŋ
omgeven	ɔmɣeːvən
mislukken	mɪslʏkən
kasteeltoren	kɑsteːltoːrən
volksverhuizing	vɔlksfərɦœy̯zɪŋ
eindigen	ɛi̯ndəɣən
bal	bɑl
reageren	reːjaːɣeːrən
aanklaging	aːnklaːɣɪŋ
parachute	paːraːʃyt
sjoel	ʃul
lierhert	liːrɦɛrt
verkeersregel	vərkeːrsreːɣəl
ijzig	ɛi̯zəx
tronies	troːnis
steenvrucht	steːnvrʏxt
omslag	ɔmslɑx
olifant	oːlifɑnt
doornbos	doːrnbɔs
binnenruimte	bɪnənrœy̯mtə
sof	sɔf
maalsteen	maːlsteːn
paarden	paːrdən
drugsverslaafde	drʏɡsfərslaːfdə
ijsbeer	ɛi̯sbeːr
bokaal	boːkaːl
afkopen	ɑfkoːpən
rietdekker	ritdɛkər
negorij	neːɣoːrɛi
looppas	loːpɑs
volkslatijns	vɔlkslaːtɛi̯ns
inheems	ɪnɦeːms
banketbakkersspijs	bɑŋkɛtbɑkərspɛi̯s
achtervolgen	ɑxtərvɔlɣən
klisteer	klɪsteːr
invasiemacht	ɪnvaːzimɑxt
inspraak	ɪnspraːk
gevangenisbewaarder	ɣəvɑŋənɪsbəʋaːrdər
diabetes	diaːbeːtəs
vede	veːdə
jochem	jɔxəm
zeelt	zeːlt
fysisch	fizis
takkewijf	tɑkəʋɛi̯f
labbekak	lɑbəkɑk
middelpuntvliedend	mɪdəlpʏntflidənt
western	ʋɛstərn
oorbeek	oːrbeːk
skunk	skʏŋk
steenuil	steːnœy̯l
decor	deːkɔr
brilsmurf	brɪlsmʏrf
bedachtzaam	bədɑxtsaːm
venetisch	vəneːtis
uitbeelding	œy̯tbeːldɪŋ
schaamteloos	sxaːmtəloːs
verdobbelen	vɛrdɔbələn
orthodox	ɔrtoːdɔks
aartsvijand	aːrtsfɛi̯ɑnt
doop	doːp
tienpuntenschaal	tinpʏntənsxaːl
beroepsdiplomaat	bərupsdiploːmaːt
amfibrachisch	ɑmfibrɑxis
vergroenen	vɛrɣrunən
rattenvergif	rɑtənvərɣɪf
bigamie	biɣaːmi
administratief	ɑtministraːtif
maaike	maːi̯kə
zweven	zʋeːvən
vulpen	vʏlpɛn
matennaaier	maːtənaːjər
hatsjoe	ɦaːtʃu
tulpenbol	tʏlpənbɔl
timing	tɑi̯mɪŋ
enzymatisch	ɛnzimaːtis
vlees	vleːs
swa	sʋaː
heel	ɦeːl
gij	ɣɛi̯
programmeerbaar	proːɣrɑmeːrbaːr
bouwval	bɑu̯vɑl
vermoedelijk	vərmudələk
legeraanvoerder	leːɣəraːnvuːrdər
aanleg	aːnlɛx
pointillisme	pʋɑntilɪsmə
green	ɣreːn
zuid	zœy̯t
veteraan	veːtəraːn
adamsappel	aːdɑmsɑpəl
begrafenis	bəɣraːfənɪs
aaneen	aːneːn
gomhars	ɣɔmɦɑrs
bumpersticker	bʏmpərstɪkər
volgende	vɔlɣəndə
borne	bɔrnə
bezeilen	bəzɛi̯lən
democratiseren	deːmoːkraːtiseːrən
immunoloog	imynoːloːx
straatsteen	straːtsteːn
zenuw	zeːnyu̯
zijwaarts	zɛi̯ʋaːrts
maaksel	maːksəl
ontmythologisering	ɔntmitoːloːɣizeːrɪŋ
motorfiets	moːtɔrfits
gedaagde	ɣədaːxdə
sinas	sinɑs
onzijdig	ɔnzɛi̯dəx
gipsvlucht	ɣɪpsflʏxt
geneesvlees	ɣəneːsfleːs
altviolist	ɑltfioːlɪst
zitbeen	zɪtbeːn
cambrisch	kɑmbris
diepspoeler	dipspulər
jap	jɑp
bevederd	bəveːdərt
breng	brɛŋ
aimabel	ɛmaːbəl
loonmatiging	loːnmaːtəɣɪŋ
verbrand	vɛrbrɑnt
bouwterrein	bɑu̯tərɛi̯n
zwetsen	zʋɛtsən
digestief	diɣɛstif
portretteren	pɔrtrɛteːrən
constant	kɔnstɑnt
oogholte	oːxɦɔltə
celibatair	seːlibaːtɛːr
martelwerktuig	mɑrtəlʋɛrktœy̯x
venetisch	veːneːtis
glottisslag	ɣlɔtɪslɑx
mikwa	mɪkʋaː
ruimtevaart	rœy̯mtəvaːrt
band	bɛnt
stilstand	stɪlstɑnt
regent	reːɣɛnt
bod	bɔt
populier	poːpyliːr
zaterdagsmorgens	zaːtərdɑxsmɔrɣəns
station	staːʃɔn
af	ɑf
neonlamp	neːɔnlɑmp
verloopnippel	vɛrloːpnɪpəl
waterstaat	ʋaːtərstaːt
kiessysteem	kisisteːm
hitler	ɦitlər
pon	pɔn
ongenaakbaar	ɔŋɣənaːkbaːr
beconcurreren	bəkɔŋkʏreːrən
energiewende	eːnərʒiʋɛndə
luchtwaardin	lʏxtʋaːrdɪn
almacht	ɑlmɑxt
zeggingskracht	zɛɣɪŋskrɑxt
gastvrijheid	ɣɑstfrɛi̯ɦɛi̯t
indruk	ɪndrʏk
zoroastristisch	zoːroːɑstrɪstis
teamgenoot	tiːmɣənoːt
lesplan	lɛsplɑn
rijstepap	rɛi̯stəpɑp
benauwd	bənɑu̯t
lactoscoop	lɑktoːskoːp
columbarium	koːlʏmbaːriʏm
gele	ɣeːlə
kwestie	kʋɛsti
meeneemchinees	meːneːmʃiːneːs
myriameter	miːriaːmeːtər
drankzucht	drɑŋksʏxt
marketender	mɑrkətɛndər
gading	ɣaːdɪŋ
binnentrekken	bɪnəntrɛkən
omissie	oːmɪsi
epistemologie	eːpisteːmoːloːɣi
gun	ɣʏn
onafhankelijkheidsstrijder	ɔnɑfɦɑŋkələkɦɛi̯tstrɛi̯dər
volksnaam	vɔlksnaːm
rivierdonderpad	riviːrdɔndərpɑt
kloostermop	kloːstərmɔp
reformeren	reːfɔrmeːrən
draaglijk	draːxlək
tabbetje	tɑbətjə
drieëndertig	driɛndɛrtəx
kerstgedachte	kɛrstxədɑxtə
schuilkerk	sxœy̯lkɛrk
schuilgaan	sxœy̯lɣaːn
spaanplaat	spaːnplaːt
concedo	kɔnseːdoː
boedel	budəl
weg	ʋɛx
kunstvliegen	kʏnstfliɣən
aeronautiek	ɛːroːnɑu̯tik
maand	maːnt
kerstspel	kɛrstspɛl
pleitbezorger	plɛi̯tbəzɔrɣər
stroomafwaarts	stroːmɑfʋaːrts
volkoren	vɔlkoːrən
improvisatie	ɪmproːvizaːtsi
wittekool	ʋɪtəkoːl
avonturierster	aːvɔntyriːrstər
